Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,2.2384822558337256,2.810916695360223,3.499477602814323,4.316979656591806,5.275663896787804,6.3881043464725575,7.667852956667147,9.129798404438038,10.790566551257733,12.668728462227543,14.785057476429138,17.162810131052087,19.827861107691348,22.80904963878789,26.138425382342966,29.85132697330359,33.98688735929339,38.588330690190645,43.70309555311167,49.382961886289074,55.68489431986916,62.67114984268738,70.40917405576846,78.97169825735998,88.43795747996096,98.8935215596922,110.42948716381066,123.14248555387826,137.13610263543427,152.52049286789918,169.4098773453086,187.9223714083648,208.18155058306775,230.31556063865966,254.45193012066153,280.71708553997087,309.23844118875144,340.1419122322797,373.54389275460767,409.5507539974435,448.26252719908655,489.76682077074133,534.129986359932,581.3979351078256,631.601939403522,684.7479835042175,740.8111114337053,799.7404040611142,861.4632076177306,925.8750173401986,992.8391073239659,1062.1963697815584,1133.7642880014348,1207.334618453773,1282.6768414508315,1359.5471148300157,1437.687529841804,1516.8297555212807,1596.6996409276967,1677.0197420195618,1757.5149617179814,1837.9169846161105,1917.9662665465585,1997.409143648366,2076.006113152472,2153.53755326132,2229.802921514602,2304.613898108265,2377.8002399974125,2449.21446778927,2518.7313744572025,2586.2414661464654,2651.6522564806273,2714.8912801170472,2775.9058314854337,2834.6579227473576,2891.1226209281413,2945.2898172164723,2997.1633273573193,3046.7589492641937,3094.1008026437758,3139.222621905526,3182.166074466872,3222.9805321483846,3261.720114085748,3298.444061205714,3333.2151814066924,3366.0992760616746,3397.1647649475585,3426.481141663726,3454.119506447963,3480.1508567077185,3504.645917285543,3527.675029875934,3549.3075079957944,3569.612123156775,3588.6558815092903,3606.5038200997787,3623.2190068707096,3638.862479596296,3653.4935111587065,3667.1694137011673,3679.9450599647853,3691.8728764530056,3703.0028434316077,3713.38255956996,3723.0577274137477,3732.071873150412,3740.4663401274684,3748.280317459661,3755.550840028969,3762.3127884846,3768.598971796391,3774.4407893778234,3779.8675271613392,3784.90680106687,3789.5847018435306,3793.9257950696356,3797.953121152679,3801.6881953293496,3805.1510630756775,3808.3609435999656,3811.335288373306,3814.090389521787,3816.641646029786,3819.003563739978,3821.1897553533245,3823.2129404290836,3825.0849453848036,3826.816715537955,3828.418750497752,3829.9003034644447,3831.2698181507767,3832.5353077335485,3833.704354853614,3834.7841116158834,3835.781299589327,3836.702209806964,3837.5527027658736,3838.3382084271893,3839.063771627096,3839.733825626402,3840.352244989753,3840.922720059898,3841.448764243348,3841.9337140103826,3842.380728895045,3842.792791495145,3843.172707472257,3843.5231055517215,3843.846437522644
B,0.5710147588562284,0.8178036291027276,1.1448136195112508,1.5643808798586996,2.08863272622192,2.7302603868527306,3.5030791009269855,4.422354812821271,5.505179489256869,6.770682811813646,8.240308425225802,9.938108331641505,11.890906050651195,14.12866786297102,16.68482075114794,19.59634718711767,22.904307841021254,26.654202408995385,30.89619066414323,35.685231742136395,41.08191607827225,47.15266639120048,53.96974312773851,61.61134063336536,70.16276037712683,79.7163073030048,90.3705539691415,102.23033543780392,115.40806780618878,130.0233587178911,146.20040679918048,164.06779181994165,183.7598777660181,205.41583648220995,229.17404186774482,255.17149867529832,283.5458118511451,314.43249312684173,347.9562183092486,384.2302408017032,423.360229339781,465.4377721293218,510.53086119572646,558.6848182506227,609.9286196104238,664.2636928082094,721.6580620635577,782.0518556154145,845.3619158533548,911.471618479593,980.2307032883635,1051.4657267845378,1124.9791871532132,1200.547766408929,1277.925967031055,1356.8551753178713,1437.0633648620637,1518.2692405514579,1600.186750112551,1682.5273221900748,1765.0061195192857,1847.3466649193006,1929.2825485657877,2010.5541092502099,2090.9171315471667,2170.1485645450734,2248.045620207013,2324.4183341877742,2399.095713998361,2471.9302505318533,2542.7973664007386,2611.588662875208,2678.213216666066,2742.600412017026,2804.6996446376643,2864.475235659086,2921.904754813229,2976.9806478646706,3029.709295359738,3080.1090731794116,3128.2067162443996,3174.038526040238,3217.6486443601225,3259.088826042493,3298.415517792221,3335.6902175347414,3370.9778767556577,3404.3463261526226,3435.865906202731,3465.607956056525,3493.64532218811,3520.050647560489,3544.896203322492,3568.253780911503,3590.194070399301,3610.787132745959,3630.10118681163,3648.2024090584337,3665.1549335504474,3681.0207979111387,3695.860213866747,3709.731366676755,3722.689952945231,3734.7891741359854,3746.0797365725666,3756.6099181414115,3766.4260583768882,3775.572269359253,3784.0904480104714,3792.0203067783295,3799.399373636439,3806.26299208423,3812.6444045490202,3818.5754158161326,3824.085680554121,3829.2031633027623,3833.9542858713253,3838.36392733858,3842.455424052804,3846.2505696317667,3849.769670651257,3853.032189511876,3856.055795913935,3858.8569880942973,3861.4513615549104,3863.853609062812,3866.077520650126,3868.135983614062,3870.0409825169177,3871.803611279652,3873.4345079153413,3874.9430466808685,3876.337784530755,3877.626843166655,3878.817909037356,3879.918233338779,3880.934632013974,3881.8734857531304,3882.7407399935632,3883.5419049197253,3884.2820997741733,3884.965820477029,3885.5969986374184,3886.1793796880224,3886.71653018286,3887.2118377972893,3887.6685113280078,3888.089580693055,3888.477896931806,3888.836132204979,3889.16677979463
C,7.459220271101873,8.671183346556967,10.059025785952805,11.640140958188123,13.432148940304051,15.453688924434484,17.724992676265884,20.26822084186401,23.107838775185357,26.270830257472475,29.786970859801745,33.68908229713706,38.01321150216953,42.79899962476854,48.08985092223789,53.93300840339714,60.38015412500217,67.48760426470675,75.31627448949894,83.93178473098828,93.40542671484748,103.81399367065931,115.23930422180734,127.76826128406667,141.49420654709593,156.51631858742252,172.93799850638104,190.86680695941288,210.41603775400347,231.70383860393585,254.84932840830825,279.9723108398388,307.1951562242337,336.64140016980605,368.42889177879795,402.66921143369706,439.47053102213545,478.93460820123363,521.1476277340278,566.1798759800148,614.0907897654085,664.9225815265821,718.6916975458281,775.3903148612485,834.9933997642548,897.4490205390886,962.6741701309438,1030.560485685145,1100.9787365083541,1173.7718412008678,1248.7555054801546,1325.7272233118613,1404.4662211643158,1484.734044066172,1566.2776329517471,1648.8359143688594,1732.1411153650436,1815.923225904431,1899.9129956646707,1983.842597013347,2067.4522522701113,2150.494265556805,2232.7335138734215,2313.9434677954832,2393.9142621739443,2472.4572079872823,2549.4037899576956,2624.59800861865,2697.9021160219972,2769.199831505525,2838.3957295595947,2905.4091420837085,2970.1751965619737,3032.6467186687137,3092.7939015696384,3150.5999328700973,3206.059532635152,3259.179985949867,3309.9802581835293,3358.4893617242915,3404.7433250026834,3448.7860235270487,3490.6676267130124,3530.4444077375742,3568.1763329131413,3603.927331606582,3637.7638574407083,3669.7543995544893,3699.9691785954446,3728.478919536359,3755.3552415716517,3780.669204973291,3804.491170740337,3826.8907135500963,3847.93613198175,3867.694829042741,3886.232306658382,3903.612001921311,3919.895287091481,3935.141438049411,3949.4078749825144,3962.7499904669057,3975.2207945835603,3986.870910159327,3997.7485727669246,4007.89969411427,4017.3682989025283,4026.1962546828067,4034.423337636774,4042.087264977326,4049.2236949485878,4055.8662268259077,4062.0464770042463,4067.7946694365187,4073.1389845281365,4078.1060133976293,4082.720895361717,4087.007317935307,4090.9875168315,4094.6822759615807,4098.1109782141975,4101.292183300815,4104.242759405881,4106.978472638674,4109.514234775744,4111.864103260902,4114.041281205235,4116.058117387097,4117.926106252106,4119.655899101883,4121.257703361624,4122.7405317576895,4124.112625440403,4125.381809270933,4126.555491821313,4127.640665374422,4128.643905923994,4129.571373174616,4130.428810541731,4131.221545151631,4131.954531053451,4132.632130740527,4133.258167045129,4133.836282621024,4134.369946923725,4134.862456210493,4135.316933540338,4135.736328774019,4136.1234185740395,4136.480806404658,4136.810922531874
D,23.134655843193894,28.142766108954458,34.000986326731336,40.7927807408095,48.59991958289163,57.50739877391581,67.60691517802405,78.99878289857405,91.7940559608275,106.11561772237017,122.0995060486223,139.89631456978887,159.6718900996207,181.60907686715368,205.9086738942669,232.78977287538777,262.4923941796503,295.27855174207315,331.4322097280898,371.25976908775107,415.0944458010995,463.29567522919467,516.2471210597159,574.3569602738172,638.0640505059487,707.8353945179465,784.1590726308589,867.5439822662282,958.5270311876491,1057.6693284508508,1165.5388851493815,1282.709343773516,1409.7685453771464,1547.3122756693801,1695.9133533186703,1856.1189802207646,2028.4635679454955,2213.4549642507027,2411.532514886116,2623.0654185202047,2848.375180982397,3087.7059252287654,3341.184324683311,3608.825975539578,3890.567010966152,4186.217989342174,4495.443142164105,4817.786111180403,5152.6903530441505,5499.463654990597,5857.280074051174,6225.222263292774,6602.280259718807,6987.351211174921,7379.25396389562,7776.762026658297,8178.607717763,8583.501955885053,8990.149997402243,9397.256768794045,9803.556897730157,10207.833969981653,10608.924821503537,11005.702472857118,11397.1144704225,11782.205669717767,12160.113901767414,12530.035626737681,12891.25299451242,13243.151418543172,13585.216955010468,13917.007221272088,14238.156628855446,14548.387540674068,14847.508904110578,15135.394650676422,15411.976380199778,15677.249882207985,15931.271085016366,16174.147781932777,16406.02399592956,16627.085003180524,16837.54997939826,17037.671019907477,17227.72044298266,17407.992242209893,17578.79531827104,17740.45101572713,17893.29148786717,18037.652881030954,18173.877635529774,18302.307135087616,18423.280972162596,18537.136451255195,18644.2055825606,18744.81726187954,18839.292017766813,18927.941115995764,19011.066559558305,19088.96074747625,19161.90747244125,19230.181264804487,19294.045275526765,19353.751244166717,19409.53949888074,19461.639219047694,19510.270424501105,19555.642897595884,19597.956178047276,19637.399679391292,19674.152688984734,19708.38436800518,19740.25411372294,19769.914437181276,19797.507899055803,19823.169147604316,19847.02556148121,19869.19724973754,19889.797051821006,19908.930537575907,19926.696259894397,19943.18867094856,19958.493832568984,19972.692251480978,19985.86009978039,19998.06921493368,20009.387099777832,20019.876922520423,20029.597516739595,20038.603438467675,20046.9470300157,20054.674626888842,20061.828633577385,20068.449320505882,20074.57482403314,20080.24114645222,20085.482155990438,20090.32958680938,20094.81303900488,20098.959978607032,20102.79598259743,20106.34364383989,20109.622756566398,20112.652186131236,20115.44990612834,20118.032998391285,20120.417652993296,20122.61916824723,20124.651950705607,20126.529515160564,20128.264484643903
E,3.240645364905115,3.7169433276370594,4.279140958176789,4.939622697285951,5.711098250483658,6.607164058723493,7.64272400117038,8.834254236505602,10.200113477338634,11.760737280155402,13.538904028342417,15.559993417303303,17.85217053642864,20.446749939331227,23.3784909912861,26.685695204488248,30.410745838445447,34.60044819133805,39.306242817430906,44.584345773316066,50.49658452745176,57.11058822848952,64.4997867337103,72.74350884348027,81.92815931008226,92.14711481740115,103.50000465227001,116.09271151373632,130.03870007454165,145.45864161119735,162.4779000229779,181.22633626872894,201.83972211132087,224.4587926132532,249.22383576633297,276.27414778192014,305.7499609939147,337.7898041884807,372.5220230580072,410.06419877750653,450.52679166480493,494.0067418401373,540.5781151084166,590.2929186159481,643.1870866361458,699.2693269553108,758.5151783508513,820.8722274597737,886.2645233410385,954.5820805968613,1025.680522157687,1099.3913668389123,1175.5210111333577,1253.8484422465817,1334.1288467812715,1416.1029313179317,1499.4962789088668,1584.0232234006376,1669.3916349422257,1755.3055643154066,1841.4712549221667,1927.6017931809306,2013.4192002406276,2098.651447611775,2183.041204261361,2266.3518455379067,2348.366632657029,2428.8816352098715,2507.71187359034,2584.6963249251144,2659.6974263935676,2732.5942508684266,2803.283867543271,2871.684633297158,2937.735937236272,3001.392902568391,3062.624614397723,3121.41609914698,3177.7674088907224,3231.6915568393033,3283.210586348302,3332.357016957998,3379.17211096056,3423.7056278365735,3466.0126105324157,3506.153783398999,3544.1939583172216,3580.201425551445,3614.2475398689467,3646.4049820191003,3676.7483698802193,3705.3524390230477,3732.2918583991577,3757.641103460165,3781.4736805096313,3803.862684529895,3824.8794755045883,3844.593451091636,3863.0720466232524,3880.38063901453,3896.5827869248833,3911.740065686511,3925.911509303835,3939.1536018876486,3951.5202776551223,3963.062980052351,3973.8311374876666,3983.871916231994,3993.2301669779176,4001.948447925216,4010.0670247808675,4017.62387075905,4024.6547511842405,4031.1939099537763,4037.2733547070775,4042.9232987377222,4048.172308161525,4053.0473019165393,4057.573551763057,4061.7746822836084,4065.672729787797,4069.2888303562268,4072.6422229226164,4075.7508877252767,4078.6318282087595,4081.3010710238595,4083.7736660276155,4086.0636862833067,4088.184228060457,4090.147423957442,4091.9649201075513,4093.647007374077,4095.203088988452,4096.642091917176,4097.972466861817,4099.202188259008,4100.338754280447,4101.389186832898,4102.360031558193,4103.257357833229,4104.086812525695,4104.853371752455,4105.561387170139,4106.215005318651,4106.818175898822,4107.374651772418,4107.887988962134,4108.361546651603,4108.798487185384,4109.201776068972,4109.574181968793
F,2.8914623984353316,3.715884722331725,4.726525459449318,5.945099712559562,7.3925760003248575,9.090592039282216,11.062457984725294,13.333710632602703,15.93273234703872,18.891068722440377,22.243816660938275,26.03005436530134,30.293035469480817,35.08069502082854,40.44600599316812,46.4470865170369,53.14791914632939,60.61874090621214,68.93615898347802,78.18330622021,88.45102942389161,99.83789352782861,112.44983768660926,126.40027112944544,141.8117437822967,158.81544114390672,177.5495441507296,198.15917427129398,220.79831027731547,245.62889970966162,272.8164146626875,302.5295090802652,334.94222222516584,370.23234927256243,408.5730050151901,450.13184743691596,495.0743561418556,543.5599864129682,595.7301626838854,651.7076838066201,711.6027284905612,775.5042350817964,843.4678835887346,915.5177348508533,991.6551762279715,1071.8450037137195,1156.008780603766,1244.03229769255,1335.7716081163016,1431.0416145274344,1529.616375635611,1631.2420022440774,1735.6360391034361,1842.486639754714,1951.4570224194608,2062.1959099965393,2174.338194824131,2287.510626818655,2401.3368662904973,2515.4395024444593,2629.4486369455467,2743.0076679118197,2855.77486030002,2967.4185510057696,3077.6284075585504,3186.122356725117,3292.645338575341,3396.9593249626805,3498.8512764845627,3598.138497382383,3694.6678775893697,3788.3072674861105,3878.9470597646514,3966.503551069329,4050.9185404610494,4132.152910937658,4210.18448173804,4285.009947143444,4356.643668907583,4425.115228810437,4490.4648274344345,4552.74476059335,4612.017226773737,4668.354039073993,4721.832913493392,4772.537906211396,4820.55739004865,4865.983327099152,4908.910795343637,4949.436036937241,4987.657112981013,5023.671735827395,5057.577054585431,5089.469514473598,5119.444028023022,5147.594591765678,5174.012747613055,5198.787325161063,5222.004441690046,5243.747420805462,5264.097114137666,5283.131675883749,5300.925964995922,5317.55153650681,5333.076641529467,5347.566309605558,5361.082957250585,5373.686040284088,5385.432070597154,5396.374653968555,5406.56449006475,5416.049372439878,5424.874295707236,5433.082305078195,5440.713584935946,5447.806061109492,5454.395591126838,5460.515964214979,5466.198901299919,5471.474055006655,5476.369082715614,5480.91048858162,5485.122380576939,5489.0272913837425,5492.646531531981,5496.000189399375,5499.107131211427,5501.985001041415,5504.650220810392,5507.118006487015,5509.402951675782,5511.51794782658,5513.4747792835815,5515.284634417198,5516.958105624088,5518.505189327152,5519.935285975537,5521.257200044638,5522.479140036092,5523.6087184777825,5524.653016665857,5525.618273258451,5526.509949726693,5527.333250135765,5528.093131328856,5528.79430292714,5529.441227329791,5530.038119713983,5530.588948034884,5531.0974330256595,5531.56704819747
G,0.6566842337912034,0.8635103700667695,1.1233823853079907,1.4435939065614376,1.8314214300777476,2.2945661605847714,2.8414796172757693,3.481560041888881,4.225381072489005,5.084827100738326,6.073275687903257,7.205788210415203,8.499225765927749,9.97250251694512,11.64681810811611,13.545728844787705,15.695508161488414,18.125430161097583,20.867980251205143,23.958969688320266,27.438110217495527,31.349275277907108,35.74066034171757,40.66488057777871,46.17981596256936,52.34875867030441,59.24029785505733,66.92837110578118,75.49326358383252,85.02164256553868,95.60553894150013,107.34229691522029,120.3356318278271,134.69532896279927,150.53447365549582,167.96917898615777,187.11981537865404,208.10954491241822,231.0592225863993,256.08695732326913,283.3100954789723,312.840879278776,344.77979975374933,379.21570963722223,416.22915783415675,455.8835548343274,498.21978785380713,543.2590234949546,591.0053932414622,641.435214199851,694.4955659825755,750.11186411,808.1858649894002,868.5900878045211,931.1704832540074,995.7555305433536,1062.152764788209,1130.1496495528804,1199.5189695224249,1270.023577848497,1341.418379649946,1413.4536709391868,1485.8791761205107,1558.444256278186,1630.903728347306,1703.0237812533444,1774.5819362979921,1845.3645144795144,1915.1705139391972,1983.8180153786534,2051.1441758397714,2117.000013937089,2181.2516708943217,2243.7853426949473,2304.50733321552,2363.3390538047533,2420.215227138894,2475.087267807388,2527.922761331892,2578.703285638907,2627.4199847210907,2674.0759448874305,2718.684894727635,2761.270930478315,2801.8646586911004,2840.503732123473,2877.2317251140266,2912.097508255858,2945.154727023752,2976.459425840731,3006.0710314680605,3034.0504915168212,3060.460060645101,3085.3631203202776,3108.8229149913695,3130.9033735649264,3151.6676211010526,3171.177686719624,3189.494503600295,3206.677664744625,3222.78549795132,3237.875080338466,3252.0014106458916,3265.2173940871826,3277.5738423496855,3289.1194919755876,3299.9013367402667,3309.964587446919,3319.3523647449115,3328.1056878216077,3336.263474402369,3343.862540750553,3350.9376732672727,3357.522265618608,3363.6477403983436,3369.3438139621853,3374.6386108154907,3379.558663613275,3384.128913160203,3388.372708410594,3392.3118639897666,3395.967363813537,3399.3584090992917,3402.5029640318835,3405.418021476095,3408.1196029766356,3410.6227587581425,3412.9415677251804,3415.0891374622415,3417.077617759371,3418.9187100733993,3420.6227957811593,3422.199362466131,3423.6574174886896,3425.0054879861086,3426.251620872559,3427.4033828391134,3428.467860353739,3429.4516596613016,3430.3609067835664,3431.2013134776607,3431.977933921213,3432.695173843573,3433.357232505203,3433.968111797627,3434.5316162434365,3435.0513529962855,3435.5307318408927,3435.972965193043,3436.381068099584,3436.7578582384285
H,0.577717960475749,0.79108273519998,1.0658715744834584,1.4108811477625565,1.834895674319218,2.3471685542534897,2.9577721034146753,3.6778029185041796,4.519617155673185,5.4969645198195165,6.625162778615348,7.921278588775033,9.404233290914647,11.095035448522953,13.016963589755465,15.195623143465118,17.659281807106964,20.43907244059607,23.569097500644343,27.08650966663628,31.032044202683586,35.45009010681371,40.38862206280943,45.89925276109049,52.037981186071356,58.865052948806806,66.44436301263138,74.84344165150026,84.13430645976322,94.39314535778438,105.69848820089652,118.13106217975411,131.77474023000357,146.7158698233905,163.03957064135642,180.82937489298365,200.1686061947968,221.1386513381274,243.813416901964,268.2590014826705,294.53629901402786,322.6969369158873,352.7774345622556,384.79986262671554,418.7759306062735,454.7001218486724,492.5462153772444,532.2707605193168,573.8159651658693,617.1036073870661,662.034998056676,708.4973798499293,756.3634433832387,805.4903686913098,855.7220418113794,906.8945372971315,958.8360071597053,1011.3692368914357,1064.3143712013466,1117.490243936736,1170.7182387938522,1223.825114979493,1276.6440411046892,1329.0125243660289,1380.7777687085884,1431.8001888170022,1481.9528561317825,1531.116904266748,1579.1853123401888,1626.0657180592707,1671.6800798392926,1715.9604853098658,1758.8499441658118,1800.3041908826483,1840.2915064806816,1878.7895378575254,1915.7842353539736,1951.27091630937,1985.2536883875923,2017.744226700999,2048.7594636691806,2078.322384986019,2106.4609659978214,2133.2080274830955,2158.599365370662,2182.673980360881,2205.473102589143,2227.0398305921767,2247.418892860801,2266.655657733741,2284.796476152927,2301.887609730625,2317.975123519365,2333.104814793837,2347.3217881786386,2360.670770232899,2373.1953442609674,2384.937820886349,2395.9392380517156,2406.239316740021,2415.876615885858,2424.888424927771,2433.310460148846,2441.1768602006305,2448.5201861031387,2455.371460543998,2461.760463760768,2467.715567436093,2473.2637330321368,2478.43052924728,2483.2401320161166,2487.715324509454,2491.8775490864946,2495.7473213944268,2499.3437885703925,2502.6850157280837,2505.7880777126384,2508.669059100646,2511.34305420014,2513.824167050607,2516.1255467867795,2518.2597961616234,2520.238369922607,2522.0719692147445,2523.77071218961,2525.3441340053446,2526.8011868266526,2528.150239824799,2529.399079177616,2530.554915855299,2531.62466585342,2532.614430552819,2533.5297829894903,2534.3760136034393,2535.158130238685,2535.8808581432586,2536.5486399692027,2537.1656357725733,2537.7357230134367,2538.262496555874,2538.7492982938556,2539.199066115566,2539.614369421549,2539.9976565094507,2540.3512593753653,2540.6773937138287,2540.978158917821,2541.255538078769,2541.5113979865414,2541.7474891294555,2541.965445694267
I,1.5786866500370467,2.0459340774342367,2.6205833534266665,3.315886406806997,4.144814643769349,5.120836137093154,6.258463752271283,7.573558250375772,9.083666035986932,10.8081945915304,12.768628562374095,14.988758044179573,17.49479492852328,20.315657449575024,23.483139654372636,27.031969223455512,31.000233071067292,35.429566167813256,40.365170838979665,45.855900475012525,51.95496448543352,58.71987535394475,66.21217622393334,74.49749462354927,83.64655001180957,93.73481402003627,104.841471412104,117.04939177292368,130.446330570924,145.12440776062533,161.17749229976639,178.7010193574232,197.79343474781132,218.5552959894988,241.08448891189695,265.4758244421912,291.82314529248174,320.2171883317299,350.7388942208663,383.4591249121313,418.4422430955525,455.74123846117806,495.39101510247076,537.4093133353489,581.8017575973666,628.5538457013353,677.627085770811,728.9630737246324,782.4868353746339,838.099833785895,895.6799468841465,955.0887557063454,1016.1709660192948,1078.753212325551,1142.6465787057984,1207.65291599278,1273.5646507468114,1340.1676295894185,1407.2443368576075,1474.5755421685012,1541.9447172754064,1609.1413101661237,1675.9621008232061,1742.2088780680456,1807.6947452168768,1872.248356752679,1935.71330477959,1997.9428648708054,2058.804430914208,2118.183076261344,2175.9811819886477,2232.1134332902166,2286.5077729101404,2339.107779500908,2389.872478811987,2438.7724483970933,2485.788494554903,2530.9131095128664,2574.1498017321446,2615.5115696495977,2655.01798278666,2692.696265611722,2728.580029622792,2762.7090911145615,2795.1270749707,2825.8817115298534,2855.0236810653205,2882.606164187154,2908.6845323934344,2933.315038322669,2956.555285821425,2978.462893844577,2999.09535967089,3018.509963537459,3036.7631770509056,3053.911087803308,3070.008428900818,3085.1084099306777,3099.262716961218,3112.5214382986273,3124.9332348805488,3136.545232310252,3147.4026101327636,3157.5485954340897,3167.0244628412083,3175.86957858643,3184.121751364852,3191.8170520021085,3198.9897832742186,3205.672497638554,3211.8959972338403,3217.6893338801556,3223.079872834537,3228.093806756333,3232.7556175166374,3237.088417758568,3241.114062522436,3244.853149245758,3248.325017763243,3251.547750306804,3254.5382161048183,3257.312590399524,3259.8855989209906,3262.2710066827613,3264.4818320525346,3266.53034675217,3268.4280758576783,3270.1857977992318,3271.813544361157,3273.320610664956,3274.7159174657863,3276.0073492799575,3277.2021125680594,3278.307049129027,3279.328636100137,3280.2729859570095,3281.14584651361,3281.952600922246,3282.698267673568,3283.387500596571,3284.024629993069,3284.613472614781,3285.15736704768,3285.6594946284986,3286.122885779523,3286.5504200085916,3286.9448259090927,3287.3086811599687,3287.644412525715,3287.954295856377,3288.240456087552
J,1.0422640144292799,1.2731579738296246,1.5536547630177568,1.891480106670479,2.2950386121989776,2.7736629882448387,3.337828902358061,3.9993226160536954,4.771449117819901,5.669189485224122,6.709434535465346,7.91119781801988,9.295803495912338,10.887223702962585,12.71239737255855,14.801337144774415,17.187636624296847,19.908875596767487,23.00696407380877,26.528314545841894,30.524623803239372,35.053331752759995,40.1779719322553,45.96832863129618,52.50161141699317,59.86283957286398,68.14500077914897,77.4491650772462,87.88592207198086,99.57569531244897,112.64799031611821,127.24140735499425,143.505208320432,161.59928296298517,181.6913588475393,203.95676052222146,228.58015920407644,255.7540883332926,285.673067577012,318.5330787156138,354.5340644443355,393.87450289174575,436.74284455066254,483.31739754365776,533.7702704547364,588.2549575843339,646.8983695935276,709.803698875167,777.053515605717,848.692104774865,924.7223389753377,1005.1154462654945,1089.8066502190572,1178.6826420927114,1271.5847485318911,1368.3232178606909,1468.6679879083906,1572.3461379471548,1679.050972242789,1788.4524999662808,1900.1946418683726,2013.8983490723554,2129.170700349388,2245.610211792759,2362.8113385484426,2480.373317906596,2597.9014230598286,2715.010524734801,2831.3272948228177,2946.5027546749216,3060.213123171366,3172.1542748446377,3282.0433149578075,3389.6296901322025,3494.695864726213,3597.0495639412716,3696.5204761226014,3792.9686612181285,3886.284500039712,3976.3847332501477,4063.2037206415985,4146.6994190841615,4226.852132552477,4303.663972268725,4377.150681587554,4447.342807928245,4514.284891964112,4578.034359610907,4638.660356808756,4696.238038564016,4750.851197093606,4802.58900733145,4851.545588011255,4897.819556372722,4941.510584562772,4982.721504182109,5021.555423084502,5058.115065742816,5092.502773249009,5124.819710152575,5155.165541431548,5183.63899466469,5210.335825111253,5235.348773755005,5258.767567304226,5280.678855536145,5301.166424817091,5320.311641689119,5338.192411794318,5354.883084812769,5370.454454462549,5384.973758499733,5398.504779248135,5411.108854853683,5422.844140642001,5433.765771976978,5443.926004774721,5453.374215503573,5462.156901184095,5470.317679389084,5477.897390742373,5484.935402533215,5491.467950052127,5497.528991296489,5503.150665764366,5508.363294454483,5513.195379866235,5517.673605999687,5521.822838355577,5525.66614988821,5529.22582248673,5532.521705030067,5535.571953453127,5538.393809897198,5541.003602709942,5543.41674644541,5545.647741864025,5547.7101759325915,5549.61672182429,5551.379138918687,5553.008414980941,5554.514296703835,5555.905257451315,5557.189379938399,5558.374374846529,5559.467580823563,5560.475964483789,5561.406120407919,5562.264271143091,5563.056267202858,5563.787587067203
