Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,754.5769641099782,923.7577531646326,1118.4324158734041,1338.6224974565912,1585.4396328158382,1860.7746169229708,2167.1057065321047,2507.4263448543998,2885.177433358805,3304.244292574193,3768.974587762787,4284.171519342856,4855.137916348771,5487.694845513195,6188.250502229508,6963.818691670066,7822.018458653286,8771.12322448643,9820.18153302157,10979.02405001273,12258.12808136008,13668.71162304603,15222.924061572843,16933.826230392173,18815.002905833753,20880.61968289973,23145.741210126158,25626.29622771177,28338.27443192149,31297.596674651777,34520.6496005199,38024.233695739946,41824.14499352942,45934.80068839266,50370.08187612139,55143.221615793,60264.590960769,65741.40819557486,71578.99109092822,77780.4728341983,84343.7527549713,91262.26660287657,98526.56329168839,106123.5933199307,114033.51463348068,122232.51983728792,130694.20562038987,139388.058090806,148277.99499549333,157326.47912387532,166495.04480324243,175742.22344497667,185025.0922460496,194302.24401058187,203533.47280601214,212678.38755487776,221699.10464477492,230561.19013749083,239233.01745777272,247685.74353146393,255894.4600904843,263838.0584642656,271498.80947249325,278863.2521232221,285921.4977959717,292666.28073186276,299093.0304974469,305201.0448899459,310992.5487396216,316471.0983510487,321641.57146864396,326511.34831330384,331089.9049240421,335386.97771713184,339412.4706044666,343177.36832765676,346694.0644424534,349974.64741161885,353030.7608491314,355873.94338404376,358516.55023811886,360970.53047639807,363247.1258397062,365356.90591335774,367310.5053630022,369118.444478247,370790.5272312953,372335.8524618672,373762.89883428585,375080.1103826258,376295.4959830634,377416.46385602676,378449.8364909539,379401.8862045727,380278.73860733846,381086.1643535418,381829.48216156004,382513.58616614825,383142.94591844047,383721.7111668807,384253.9124770268,384743.2244554992,385193.04294183746,385606.48845574853,385986.4061971072,386335.3963881646,386655.98396809405,386950.4493051075,387220.89496733045,387469.2641009108,387697.3404300191,387906.7482568487,388098.9656401576,388275.42998148414,388437.4141992327,388586.0865166051,388722.532962593,388847.75737197814,388962.6813853318,389068.1444490155,389164.9084473008,389253.7155083418,389335.2099983326,389409.9772484504,389478.56442806195,389541.4805447241,389599.1964441834,389652.14481037634,389700.7201654292,389745.2794752157,389786.1682698715,389823.68766278366,389858.1051816828,389889.67155644053,389918.62071906915,389945.1698037222,389969.5191466941,389991.8522864199,390012.335963476,390031.12012057944,390048.3429643355,390064.13949206227,390078.629303807,390091.9227415151,390104.1211648532,390115.3169512096,390125.5934956939,390135.0252111367,390143.6775280904,390151.6068948287,390158.86077734653
B,275.42159718850183,372.703963654627,489.9352862224964,627.5562848462528,786.9015848111205,969.9611029027336,1179.239273124182,1417.709487703017,1688.7734503760262,1996.269625913263,2344.501922219333,2738.2453510342416,3182.7925233337182,3683.9855199103345,4248.283519319983,4882.782474866779,5595.237576723012,6394.113977557763,7288.695953030626,8289.098338805743,9406.17030969613,10651.574829790457,12037.958698546068,13578.93662486243,15288.749268624075,17182.29405474938,19275.405858236485,21584.8226424329,24127.412300055275,26920.010765590487,29979.89699811973,33324.73770797088,36971.17172927832,40934.39405887065,45228.93574500998,49868.54657178878,54863.965884318364,60222.59256864549,65949.71370335668,72048.22165640547,78515.55909918186,85344.4947294721,92524.73944659547,100042.24919545719,107876.0579077727,116001.17881327518,124390.0280891407,133010.9342503556,141826.74120508615,150798.981993884,159888.4179223801,169053.00213367052,178249.46249667814,187436.22586370987,196573.10290704214,205619.96199301642,214539.33502608066,223297.28297822693,231862.77424608837,240207.71266030232,248307.93777183729,256143.04578009344,263696.00388467533,270954.07674783,277908.02195492235,284551.1261582141,290879.2879971008,296892.2349809537,302592.5250110078,307983.97446283186,313071.654109252,317863.06398139114,322367.72002103116,326595.3620549249,330555.8656161884,334260.1383104748,337720.43701056286,340948.70220470626,343956.42508367775,346754.97886902466,349356.51481908263,351772.7767078846,354014.8114386731,356093.00325036066,358017.7895496555,359799.48764472053,361447.7130651988,362971.3907360007,364378.8374528382,365678.3304894265,366877.7199352958,367984.26867448166,369004.66689080035,369945.06662171957,370811.47418029147,371609.5484579102,372344.5065291577,373021.1502016682,373643.8660161272,374216.7273656389,374743.6906317325,375228.36437467084,375674.08411590796,376083.91569203977,376460.655254804,376806.8589424689,377125.00933453185,377417.35003342724,377685.9501740535,377932.7223451286,378159.4225891904,378367.65040259657,378558.86168535415,378734.47296606627,378895.7399347536,379043.815264208,379179.7706344908,379304.5967329318,379419.2032541303,379524.4188999547,379620.9959636961,379709.66795338545,379791.0727109629,379865.78975876555,379934.3608341687,379997.2898895864,380055.0430924709,380108.0488253131,380156.69768564234,380201.3430903939,380242.32766877284,380279.9508458055,380314.47871642926,380346.1606178175,380375.2291293792,380401.90007275966,380426.3725118401,380448.8287527375,380469.43434380525,380488.338075632,380505.67728543933,380521.58706521173,380536.1871354635,380549.5878800053,380561.89062948927,380573.18766141013,380583.56220010435,380593.0884167506,380601.83142936963,380609.84730282397,380617.18304881884
C,2265.9661321845124,2608.2649944957184,2992.3135289534334,3420.024992655006,3894.4472867399054,4419.486114245527,4999.743252273857,5640.463309418901,6347.488956365081,7127.268342442125,7986.881409402596,8934.058517515694,9977.211769352452,11125.440683752453,12388.649228126342,13777.562056342918,15303.640494606825,16979.14271758644,18817.298414993642,20832.29610621994,23038.94654136537,25452.79637552415,28090.408213764797,30969.30358960165,34107.171897426204,37521.93226241743,41232.21104707503,45257.266137051876,49615.558649154256,54324.55254935326,59401.5624279755,64863.66352435063,70725.46792756152,76998.66137770153,83693.39979316288,90818.1608435597,98376.66450897128,106367.73621022714,114787.35544184265,123628.32507721262,132876.47224006022,142512.12087507977,152512.46387606475,162850.7491784579,173492.7340519366,184400.57414011064,195534.59794221,206851.6394925919,218303.81426773279,229843.18078613578,241422.2734499838,252992.0673101015,264503.77558503626,275911.5317309989,287172.04452431336,298243.5722777562,309088.1440424458,319672.02805448056,329965.22708071413,339941.90103753575,349580.5581561455,358863.6130665836,367777.19109377504,376312.5218243168,384464.3423742321,392229.70370230783,399608.1371219728,406603.42261698144,413222.0721431909,419471.5924005649,425360.5180471273,430899.8170705951,436102.36577724357,440981.0319297265,445548.59607799305,449818.7541195959,453806.4470443857,457526.1130903466,460991.56764176866,464216.3615395332,467214.7298923343,470000.36091007275,472586.11654442677,474984.06910554954,477206.2532065577,479264.48659750266,481169.78708464094,482932.38795764826,484561.8245945361,486067.52639960684,487458.4196171121,488742.7742098079,489928.21969487384,491021.78143350943,492030.2897970298,492960.17224975943,493817.364608111,494607.339660437,495335.1071670296,496005.3215068308,496622.48668367416,497190.7184263308,497713.82695996325,498195.3205795715,498638.40564999345,499046.01831060153,499421.00109324866,499765.9278466481,500083.17622957606,500374.94704962795,500643.26426321757,500889.9749755782,501116.76352307486,501325.2642191175,501516.9297899706,501693.0962008428,501855.00675925415,502003.8121150354,502140.57026032865,502266.2465295866,502381.7186978154,502487.8409879776,502585.3588089107,502674.9508150131,502757.2517920872,502832.85265734076,502902.3004593855,502966.09837823827,503024.7057253204,503078.5386336802,503128.0003688323,503173.4446674467,503215.186667115,503253.52175259666,503288.7255558186,503321.0539558756,503350.7430790302,503378.00929871254,503403.0492355204,503426.0397572194,503447.1442870314,503466.5240813939,503484.32243693667,503500.67151867214,503515.69269196957,503529.4965225565,503542.1827765177,503553.84042029525,503564.54762068955,503574.3717448579,503583.3693603156
D,9784.875265771234,11651.223381205302,13767.111777395996,16138.656900548804,18780.461555920974,21713.287682101465,24962.643924267355,28558.269648377172,32533.655782789487,36926.03436736043,41776.509348341766,47130.04098946746,53035.7234396055,59546.83367702372,66721.42682212222,74622.45082902117,83317.4221448575,92878.7353089632,103384.64942926564,114919.24686770339,127570.68708602294,141431.8499499727,156601.9168523656,173186.07549396684,191291.24307450178,211026.41094102748,232505.34067016124,255846.15525965867,281163.41690085776,308566.96090010944,338166.6614160117,370071.92731093604,404379.0813530784,441168.5864020117,480512.8620900686,522475.4090811541,567092.9117754934,614374.1137749008,664311.3055229208,716878.3118933798,772007.8664978215,829599.6442645931,889533.7303347968,951665.6485546175,1.0158046398806153e6,1.0817361865691112e6,1.1492323711914034e6,1.2180416274924434e6,1.2878806021371165e6,1.3584623919479735e6,1.4294998531033448e6,1.5006927503370245e6,1.5717386045186394e6,1.6423501049913953e6,1.7122530353996195e6,1.7811792260891944e6,1.8488815084460948e6,1.9151376669529695e6,1.9797470860254634e6,2.042532642988331e6,2.103343956129169e6,2.162055293243938e6,2.218563955905899e6,2.272798220332921e6,2.3247091393047087e6,2.3742635391550898e6,2.421444891445049e6,2.4662634554217816e6,2.5087478692303156e6,2.5489343283329406e6,2.5868667041091444e6,2.622605139517384e6,2.65622299756508e6,2.6877945786540224e6,2.7173945680250013e6,2.745104350043421e6,2.771014223104793e6,2.7952119759508646e6,2.817782020774971e6,2.8388076946279984e6,2.8583774875636217e6,2.876576889171511e6,2.893486411979456e6,2.9091818281569793e6,2.9237391407187968e6,2.9372334173981156e6,2.949734741279481e6,2.961308284133941e6,2.972014880671136e6,2.9819150194210126e6,2.991066147829582e6,2.9995215152253024e6,3.0073302716552517e6,3.0145377110472545e6,3.021188059058601e6,3.0273230649566287e6,3.032981288892189e6,3.0381982845412786e6,3.043006599105044e6,3.0474365064156028e6,3.051517443454058e6,3.055276334928243e6,3.0587381010599467e6,3.0619256813293407e6,3.064860034474974e6,3.0675603554165317e6,3.0700453128423262e6,3.072331840920883e6,3.0744355758354594e6,3.076370984631287e6,3.07815136521557e6,3.079788846357489e6,3.0812944847445274e6,3.0826790624927906e6,3.0839521831308445e6,3.0851226717766705e6,3.086198737167593e6,3.0871879716602853e6,3.0880973512307634e6,3.0889332354743946e6,3.0897014031304815e6,3.0904075115315444e6,3.091056510361009e6,3.091652900347177e6,3.092200888572571e6,3.092704388473935e6,3.0931670198422344e6,3.093592108822656e6,3.0939826879146057e6,3.09434150083072e6,3.0946712236965587e6,3.0949742180071725e6,3.0952525835214346e6,3.095508286375493e6,3.0957431590827713e6,3.095958900533971e6,3.09615707599707e6,3.09633911711732e6,3.096506321917252e6,3.096659854796672e6,3.096800795797514e6,3.0969302314224336e6,3.097049124061968e6,3.097158359339302e6,3.0972587486267993e6,3.097351029046008e6,3.0974358634676547e6,3.09751384051165e6,3.097585474547082e6,3.097651205692226e6,3.097711399814534e6
E,1109.3798899465803,1277.0362360873055,1470.1248323988907,1690.1226151073708,1939.326235880238,2220.666134449633,2537.6053401365966,2894.116123030874,3294.664315580058,3744.2291736733505,4248.343568654794,4813.119955807822,5445.294910258133,6152.268018069045,6942.196649838704,7824.017560351343,8807.455612386839,9903.092754580053,11122.504742122643,12478.271909604366,13983.841825793425,15653.630893344794,17503.23785413983,19549.42163642158,21809.659211739257,24302.190532919558,27046.372442083295,30062.635328034266,33371.51966980565,36993.4888966763,40949.528925873055,45261.08094791459,49948.30894335975,55029.61020640425,60522.588835249866,66443.91401187773,72806.612463354,79619.68783661173,86889.62200557171,94620.02954252761,102807.95216293566,111444.80180610718,120518.29717969324,130011.60963761278,139899.51564731202,150151.87334139625,160735.31212213062,171611.41581800923,182735.00666316875,194059.15573848755,205535.82616209012,217113.39834001398,228738.5691120692,240359.91468004574,251927.51637609623,263391.3382364195,274704.43872915546,285824.07602306886,296710.95712880854,307329.2542028482,317647.93100516184,327640.5667566348,337284.8765096749,346563.82914496184,355464.756230726,363978.2012157655,372098.01401855366,379822.81937709765,387154.8489162922,394098.00210953376,400657.8365656019,406843.0196234331,412664.8373959166,418134.94420146506,423265.248376801,428069.0331804253,432561.36983669945,436756.9984224639,440670.15135298047,444314.97181891743,447706.66151791817,450859.95867694635,453788.75275386934,456506.1277837945,459025.2831952227,461359.31504158373,463520.4452842933,465520.03270154673,467368.6792584822,469076.9725108595,470654.97899716825,472112.0197271433,473456.68808501784,474696.89481133,475840.38536513364,476894.4762892513,477865.91666494834,478760.92143997503,479585.17142856604,480343.94830755645,481042.3998446677,481685.2277392698,482276.77879847825,482821.0492882047,483321.6849331562,483782.02045699663,484205.3056922839,484594.4840612795,484952.2701691297,485281.17319082964,485583.4968712204,485861.3395249916,486116.6114972397,486351.17879227304,486566.69993304636,486764.6970793009,486946.5851161338,487113.67165399774,487267.15702870087,487408.1343014076,487537.5955442721,487656.5129955569,487765.73500182165,487866.03186286485,487958.1233336872,488042.67862449103,488120.3164006806,488191.60478286166,488257.06134684186,488317.15396728023,488372.3389800779,488423.0178368379,488469.5468853482,488512.25973941595,488551.46727886813,488587.45764955063,488620.49626332935,488650.825798089,488678.66619773407,488704.2146721883,488727.6539765303,488749.1673464941,488768.9167634286,488787.05127314,488803.70741418237,488819.0092178574,488833.06820821477,488845.98340205196,488857.8413089144,488868.71593109524,488878.6687636354
F,1380.9701310499045,1722.5973165801427,2117.8974914188193,2567.1203467657165,3072.743018724011,3638.8266966018477,4270.618524702748,4974.399392481849,5757.33812996982,6627.479553806803,7593.770574241224,8666.034841037976,9855.053394860553,11172.581734163485,12631.467701795615,14245.681570008004,16030.279882588366,18001.469231955813,20176.821569994092,22575.27227276479,25216.77630454028,28122.447365673645,31314.901261458515,34818.19686093137,38656.940870312916,42856.3538959472,47442.85279278427,52443.96346014524,57886.60067924649,63796.7881970195,70200.6854437841,77124.47487618201,84591.54848447148,92621.84231834207,101233.53551939558,110442.84846463113,120259.974188092,130688.75044172394,141729.20977502383,153377.11461561837,165618.7357977491,178432.61327596667,191792.62785923772,205666.8512218771,220012.45721789356,234780.9145421817,249920.41675281484,265373.4819728932,281074.98541448126,296958.83675720997,312958.781015882,329005.324345453,345028.28813208954,360961.01024881966,376739.8464938221,392302.4160053988,407591.21997540176,422554.6307852222,437146.0551971077,451324.2997116892,465054.44404899125,478307.36781663087,491059.32530734135,503293.73204064084,514999.32591965125,526168.531742755,536797.65400516,546889.1725985191,556449.8242372923,565488.0826278141,574014.1817578871,582042.0934562335,589588.8171808028,596671.5404213979,603307.510607783,609515.491564534,615316.2665827469,620730.012848088,625776.1047149722,630473.6437629769,634842.8835374359,638903.3639438053,642673.4667697173,646170.4701608598,649411.6836672348,652414.1781389092,655193.8752960743,657765.5667515604,660143.0448885967,662340.005697385,664369.4383245037,666243.3739380437,667972.9088219178,669568.2594270789,671039.3886399432,672395.6870827876,673645.8228493624,674797.7837458451,675858.8772908428,676835.8948483577,677735.4286805713,678563.5015688399,679325.6860543728,680027.1098149858,680672.4556651021,681266.0097737553,681811.9335064064,682313.9953973573,682775.6743036819,683200.1884117245,683590.4952371015,683949.2916246991,684279.0351111845,684582.1170926883,684860.6632447644,685116.6267160692,685351.8242493817,685567.936181603,685766.5064437573,685948.9425609908,686116.5233687524,686270.4971500406,686411.9532028805,686541.8821261761,686661.2100562095,686770.7986666389,686871.4451685004,686963.8823102079,687048.7783775526,687126.7382345945,687198.3496803535,687264.1290263275,687324.53552316,687379.9993976956,687430.9218529798,687477.6750682598,687520.6021989826,687560.0173767976,687596.2057095541,687629.4232813036,687659.9070013025,687687.8923673815,687713.5882132156,687737.1869308733,687758.8649837719,687778.782906676,687797.0853056983,687813.9008582993,687829.3423132879,687843.5064908199,687856.4742823995
G,269.1627936640736,345.3101487510417,435.6678524777028,540.8477261069842,662.0395153035457,800.873031736048,959.341129366938,1139.7803584539195,1344.8567565065869,1577.5796577570509,1841.3321067261754,2139.8861678525786,2477.441819323471,2858.665527787523,3288.7512225954924,3773.43883686144,4319.056386991022,4932.577822672072,5621.714923923831,6394.936042029104,7261.449387109284,8231.289358779884,9315.458691321337,10525.930498407586,11875.493381628952,13377.808360758025,15047.642902824304,16900.860448455664,18953.975484794413,21224.07146411088,23729.17666978785,26488.23697494161,29520.163104583873,32843.518802785264,36477.08780330863,40439.78770178085,44748.940040034315,49419.8938357097,54466.862728266824,59902.65847019071,65735.96134957472,71971.65132949532,78611.91957423445,85655.53757530151,93094.5612941194,100916.49251616251,109105.36468083913,117640.07732549703,126492.41210208245,135630.92297658496,145021.44113892558,154624.5429013745,164396.87581227248,174294.72075538218,184273.65622240902,194286.43006566566,204286.5833282151,214230.17874254964,224074.92698514587,233779.46530878282,243306.2082608445,252621.74015278646,261696.03272756547,270502.6965583041,279019.7544068299,287229.0315595706,295116.0823630437,302670.63059794623,309886.52780638717,316760.088566629,323290.00007325,329478.4158942765,335330.7473035724,340853.43685318297,346053.80421984365,350941.0741812967,355526.88017308805,359822.9872622039,363841.0394134141,367592.9854068059,371092.3471918072,374352.5012613986,377386.15654887946,380205.40020721534,382822.74315711734,385250.8850212451,387501.7197062811,389586.33005492727,391515.11038657825,393298.65860989847,394947.1564220978,396470.02998119796,397875.96703673596,399172.9702303619,400368.99377537926,401471.6207693528,402487.8360671934,403424.0609669093,404286.15320960473,405079.57216048695,405809.72205905605,406481.54078472464,407099.5836457499,407668.02841374924,408190.67532370036,408670.99544267944,409112.4204487287,409518.0652163711,409890.7944279643,410233.2495574232,410547.84887021926,410836.7874233814,411102.0584126313,411345.6374864363,411569.2835796657,411774.6051437201,411963.09391739394,412136.12492687645,412294.9564857503,412440.7301949926,412574.47863318445,412697.2298491004,412809.8826814684,412913.2490754917,413008.08608586807,413095.0958767896,413174.92572194233,413248.1680045071,413315.36021715845,413376.9859902078,413433.52426894027,413485.40006821096,413532.9879107862,413576.63750386453,413616.6737390767,413653.39669248596,413687.0816245873,413717.97898030875,413746.31438901,413772.288664483,413796.0893157073,413817.9117282438,413837.92674399226,413856.29072946875,413873.14615353063,413888.6215873755,413902.83170454274,413915.8772809114,413927.84519470256,413938.80842647736,413948.82605913846
H,223.12299891629468,294.0201780804754,378.7682845636249,477.958582457709,592.7059562501896,724.5175791575207,875.2172528553579,1046.9226859117807,1242.0262434092344,1463.2017882784921,1713.4229036070394,1995.9704241980253,2314.457387017082,2672.845841495118,3075.493341791558,3527.1639375002337,4033.0287254624996,4598.697293696754,5230.288703931877,5934.43516626538,6718.197027761992,7589.112312090442,8555.308269266583,9625.4868503065,10808.66861915654,12114.21268022114,13552.003497223823,15132.425385641884,16865.825554002524,18762.411609719144,20832.575477742823,23086.856403099562,25535.004376877303,28185.725834526296,31047.22111547232,34127.111519274804,37431.01309119057,40962.36192475364,44723.24736199214,48714.23864597789,52932.47330356838,57372.20116889155,62025.84379621976,66883.56301608305,71931.31157572917,77152.68517585559,82529.81917076219,88042.46552759779,93667.15602867641,99379.77036115022,105155.85971338252,110969.39975513305,116793.75883331828,122603.44595204222,128373.91331326948,134080.75915131433,139701.27652402382,145214.94775929415,150603.07133231024,155848.79521807775,160937.67458310307,165857.5470455771,170598.30826381332,175152.4991024138,179514.77652281916,183681.31634609526,187649.86794384074,191420.5253067105,194995.09728527538,198376.14178059335,201566.96512118346,204572.35348420055,207398.31915205184,210050.99823308428,212536.59704739114,214861.9481812665,217034.70942423271,219062.33648306908,220952.00147683595,222710.79849564092,224346.3006332107,225865.82662231722,227276.261619036,228584.07843688666,229795.78274434071,230917.8066176191,231956.14627771167,232916.36886776422,233803.66379772502,234623.1977116453,235379.8730523199,236078.22694191476,236722.44013979947,237316.35860908977,237863.7392680193,238368.12418816975,238832.77990659873,239260.71385176684,239654.6743435373,240017.2146444895,240350.8168492414,240657.7462368955,240940.09712942893,241199.7949838938,241438.59639241634,241658.10775754298,241859.89072663485,242045.3579644373,242215.81250163272,242372.4589396106,242516.4034504677,242648.6537770078,242770.127427618,242881.71815130278,242984.21921274165,243078.35886964633,243164.81421034734,243244.21115379414,243317.1244495548,243384.07767781636,243445.5461745379,243501.99419674644,243553.82614091106,243601.40941246625,243645.08741031692,243685.17952683815,243721.98114787572,243755.7636527454,243786.77441423357,243815.23718797878,243841.3693929419,243865.36164379554,243887.38330246203,243907.59299842862,243926.13862874775,243943.15735803632,243958.77561847641,243973.10910981498,243986.2627993636,243998.3309219993,244009.40059406357,244019.55829357414,244028.8806406229,244037.43820212697,244045.29568079294,244052.51191511727,244059.1398793853,244065.22668367266,244070.8135738441,244075.93593155406,244080.62327424652
I,615.1041165984213,771.269212443707,953.4553553955299,1162.1890342758225,1399.0068036362782,1666.1707900697468,1966.4964437505223,2303.2898542982966,2680.2891813868737,3101.6633768647275,3572.0281019283702,4096.442421727543,4680.443764254685,5330.056505633559,6051.8595849398125,6853.000677150156,7741.1682215158635,8724.630698935232,9812.349875379377,11013.979076148718,12339.683573590743,13800.221268760159,15407.124248676188,17172.66992656113,19109.431931105166,21230.330204185942,23548.94197972915,26079.460859257837,28835.84893864583,31831.717805221793,35080.873838517946,38597.26643380309,42393.600206389965,46481.0191821978,50869.986346565725,55570.18597677027,60588.47862468002,65928.72666897927,71593.07053239495,77581.68404320386,83890.06335509408,90509.85514495618,97430.36195592329,104637.91494347813,112113.11156629655,119833.38824615395,127774.22251419551,135907.8037833043,144201.82242090398,152622.96262235267,161137.3226165174,169708.64660325076,178299.6262072444,186874.32147899983,195397.89008163667,203835.44708136236,212154.2675978157,220324.5373261685,228318.83673890258,236112.15391417703,243682.8085095309,251012.33436859632,258085.1494796341,264889.35112899955,271416.10413262784,277658.84080298623,283613.3269530515,289278.70528384787,294656.68847472686,299750.18356475537,304563.28414281143,309102.3092007955,313375.46533735737,317391.23005549744,321158.26860268903,324686.24192630174,327986.1130851802,331068.61186208716,333944.104486066,336622.89739934943,339116.0759235287,341434.39491310285,343587.99407645926,345586.4295644001,347439.34844216215,349156.33022430615,350746.31791370665,352217.6252333373,353578.01473184064,354835.2446816034,355996.6959947309,357069.2039882828,358059.07137841295,358972.10142339603,359813.980163625,360590.0818897084,361305.3644465633,361964.3935865388,362571.3429694169,363130.0939740011,363644.43257086206,364117.8173674339,364553.44590173056,364954.2578476458,365322.93501495366,365661.9306141732,365973.6371041201,366260.2219918415,366523.68419116567,366765.87127070443,366988.47945385374,367193.0536187926,367381.00023293134,367553.69405287795,367712.35727807495,367858.1115096688,367991.99923625676,368114.9838338877,368227.9495660614,368331.7015837292,368426.9705856414,368514.4731519807,368594.83467186,368668.62289885175,368736.3682899374,368798.5640055058,368855.6659093547,368908.0925686898,368956.22525412496,369000.4085656405,369040.97881459666,369078.23194509285,369112.4305676887,369143.8205161913,369172.63084765576,369199.0738423846,369223.3450039283,369245.62305908476,369266.0699578997,369284.8308736666,369302.0403727376,369317.83351011574,369332.3295922537,369345.6383818318,369357.86041715275,369369.08701214223,369379.40025634866,369388.87301494344,369397.5689287204,369405.54241409653,369412.8386631115
J,385.87948313401887,468.6988219183,566.3466092457684,680.447290551785,813.0283768642253,966.4810072622921,1143.551903424666,1347.3602857786786,1581.4239803335886,1849.6916604342107,2156.594395238739,2507.090226285249,2906.708523882577,3361.615008521624,3878.705368564801,4465.63068131098,5130.865838499469,5883.805620484829,6734.889908434819,7695.635323298296,8778.658450981795,9997.809952969557,11368.367985802868,12907.052409762555,14631.912986308102,16562.43522478759,18719.86044959649,21127.18639008073,23808.727063331913,26790.059026783154,30098.52761745257,33763.228770163056,37813.940445002394,42280.77164403005,47194.90070486028,52588.48193887092,58492.51986510452,64936.3559586787,71948.71103670684,79557.33078880113,87785.32270492606,96651.39763391286,106171.21119191342,116356.27736609295,127209.07324958434,138725.6244267703,150896.81980793562,163705.7147127889,177123.99481471034,191117.219780594,205645.435965068,220658.7063133068,236098.51895736763,251903.3318286064,268007.96225144406,284339.22551440296,300822.1093938756,317383.18676701875,333949.0156569325,350443.7311132935,366795.72352420073,382939.1002278296,398812.04681067384,414355.72997227864,429518.2799244378,444254.84322672006,458527.1878885978,472302.6881464529,485556.2679233517,498268.34392189403,510424.5440166688,522016.82896783185,533043.7826059909,543507.0441274529,553410.9778306817,562764.1870193015,571580.626714525,579875.4585380887,587664.4512313141,594964.7149334822,601797.1757001659,608183.2160861696,614143.4416136185,619697.7642892086,624867.514547794,629675.0351262209,634141.3893724522,638286.3054865923,642128.4308446905,645687.2874619588,648981.9130072307,652029.9511833731,654847.6781352761,657450.1185354347,659852.4967257138,662069.5198503375,664114.7247472338,666000.5410910748,667738.291393277,669338.5700388155,670812.0820249198,672168.6313108258,673417.2432968204,674566.1756357009,675622.9182327761,676594.305852167,677487.2279958505,678307.9697535016,679062.294435185,679755.5021770815,680392.429941489,680977.4515168215,681514.5279509173,682007.6668276096,682460.454183948,682876.1559721072,683257.793036485,683608.1411137013,683929.730832599,684224.8477142438,684495.5506614121,684743.938094832,684971.8565232261,685180.9637372744,685372.8011105426,685548.7935994839,685710.2497434355,685858.3616646219,685994.2050681525,686118.7417461125,686232.9475985245,686337.7041946453,686433.7815694954,686521.8959282591,686602.7096462862,686676.8312690902,686744.8155123481,686807.1632619023,686864.3215737591,686916.6836740888,686964.6218945385,687008.550683029,687048.827795276,687085.7780203888,687119.6947689219,687150.840072873,687179.4445856839,687205.70758224,687229.7969588705,687251.8492333491,687271.9695448925
