FIP,County,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
13001,"Appling County, Georgia",18785.64909496381,18777.676351150734,18768.555855961633,18758.093977661436,18746.085981121436,18732.312414394757,18716.535242454534,18698.49463067983,18677.905098559222,18654.452895636023,18627.792726576354,18597.543905611034,18563.289030243046,18524.571363210176,18480.88911026303,18431.694687980736,18376.395577213974,18314.35116114443,18244.867461813923,18167.197606932103,18080.55160114847,17984.095395105443,17876.94473500006,17758.16805102532,17626.817803463906,17481.93634892174,17322.548564238812,17147.66664115169,16956.35685600595,16747.761650877936,16521.083971859545,16275.593990164947,16010.741001647413,15726.19060048566,15421.781159739838,15097.533418049572,14753.803026769774,14391.292075278014,14010.952454813323,13613.999055563008,13202.074316533273,12777.15094155953,12341.39205348075,11897.17369019352,11447.1966698664,10994.252473642533,10541.109333004903,10090.576472363693,9645.417229932227,9208.206846745994,8781.35450740287,8366.989070491629,7966.923232752314,7582.702336554121,7215.532415784374,6866.2803405986715,6535.528980838136,6223.5740085866655,5930.427966874649,5655.894172181322,5399.591048872941,5160.978621625263,4939.386202349709,4734.053465045203,4544.157897695921,4368.8482629263735,4207.250485311918,4058.4787597616732,3921.6617890176594,3795.965284184051,3680.586926435949,3574.740841025086,3477.6878975096342,3388.7457196288883,3307.2773087897044,3232.667874221037,3164.350857128936,3101.8114235459557,3044.5787160333684,2992.201671992139,2944.2665182864657,2900.3996163699553,2860.265324115356,2823.5450765318274,2789.9434187654224,2759.1934333070144,2731.05606101443,2705.313475797661,2681.757365167175,2660.1988006226684,2640.4670988479793,2622.4098075905713,2605.8870303375784,2590.7651524891203,2576.92340948908,2564.25227562972,2552.65346383054,2542.0387228145,2532.3229944223995,2523.4289108142816,2515.286010677666,2507.8303803346967,2501.004653742144,2494.7571838886106,2489.0377897928065,2483.8013884767706,2479.0067662206557,2474.6162624771364,2470.595769871409,2466.914734201192,2463.5450373270946,2460.4594205518456,2457.634019849733,2455.046802263578,2452.677506125443,2450.507641056627,2448.5204879676717,2446.7010955986743,2445.0350562242056,2443.5091360425004,2442.111747152999,2440.8321100741628,2439.6602537434756,2438.587015517439,2437.604041171577,2436.703784900432,2435.8794664177262,2435.124345085584,2434.4326044830486,2433.7990475242254,2433.2188280685646,2432.6874509208615,2432.200771831257,2431.754997495238,2431.346685553635,2430.972744592624,2430.6304078877993,2430.3168972161834,2430.029719397493,2429.7666234860735,2429.5255351869196,2429.3045568556736,2429.101967498629,2428.916222772728,2428.7459549855603,2428.589973095367,2428.447262711038,2428.31698547026,2428.197880168801,2428.088660038665,2427.9885257172105
13003,"Atkinson County, Georgia",8329.089530309906,8322.796131593055,8315.777348804213,8307.92228571836,8299.115378838465,8289.233905872321,8278.145711750612,8265.70757366939,8251.763291893176,8236.142551109047,8218.659633389694,8199.111650062125,8177.2783944347875,8152.921837912201,8125.783601369963,8095.584868394503,8062.02871349143,8024.799513131654,7983.560813688221,7937.956216090097,7887.61802646866,7832.167976704077,7771.214561294602,7704.355221562572,7631.198176756497,7551.366000637598,7464.491297432238,7370.219584301746,7268.248825853122,7158.339504353757,7040.302130443257,6914.000421095225,6779.40824967223,6636.622116226604,6485.828851370508,6327.30881108016,6161.502137606566,5989.0013167109055,5810.491985824387,5626.756320549652,5438.733919544469,5247.464991110522,5054.0206662666915,4859.510587416354,4665.1195554111355,4472.00879061042,4281.270692509262,4093.9562662694243,3911.046453800502,3733.4040062112836,3561.787072861749,3396.821059935639,3238.9917368333677,3088.6709636832493,2946.102566951034,2811.4094647048796,2684.615285183717,2565.652942428856,2454.3710109429253,2350.556096034592,2253.943638141082,2164.232287210831,2081.091653663085,2004.1695991105319,1933.105330232251,1867.5420158622778,1807.126125239345,1751.5041066197414,1700.3356714274905,1653.3003705215033,1610.0940725617238,1570.4209324244578,1534.004903313566,1500.5926744625276,1469.948973685512,1441.847359540156,1416.0796945651393,1392.4569618875066,1370.8064134068902,1350.9628798740825,1332.7748497313107,1316.1052212582908,1300.8305517460904,1286.8338512325115,1274.0066428312753,1262.2506251770938,1251.4774207077635,1241.6063334508935,1232.5604496502067,1224.2698391083607,1216.6710867047093,1209.707287504904,1203.3261502616735,1197.4779504792102,1192.1176054321675,1187.2040778031828,1182.7003756074655,1178.573148767086,1174.7904396182787,1171.3231542799888,1168.1447051093305,1165.230886108987,1162.5598729272103,1160.1119436850508,1157.868082800694,1155.8111810114701,1153.925547341134,1152.1967990795347,1150.6118617826141,1149.1589692724076,1147.8272857031254,1146.6064038803513,1145.4871690216921,1144.4611080011846,1143.5204085666198,1142.6579193395385,1141.867149815236,1141.1422691600105,1140.4776911627805,1139.8683132236874,1139.30963942821,1138.7974795481878,1138.3279490418236,1137.8974690536816,1137.50276641469,1137.1408736421383,1136.8091139830756,1136.504857374136,1136.22583540799,1135.9700103924188,1135.7354784568784,1135.5204695525026,1135.3233474520996,1135.142609750154,1134.9768878628258,1134.8249470279525,1134.6856772268634,1134.55798252033,1134.4408859764978,1134.3335013804049,1134.2350091037335,1134.1446561048122,1134.0617559286136,1133.9856887067565,1133.9159011575045,1133.851906585766,1133.7932848830958,1133.7396823165504,1133.6906081549405,1133.6455686005681,1133.604239618654
13005,"Bacon County, Georgia",11290.567952528692,11284.117970885147,11276.876951910077,11268.718804724866,11259.511971617578,11249.116661400642,11237.382182796267,11224.144916091545,11209.225909788433,11192.429350309314,11173.540715514853,11152.324449855903,11128.523404483129,11101.85753623821,11072.02050573444,11038.679337759264,11001.475631030022,10960.023882243297,10913.908431352005,10862.683948725471,10805.882492810731,10743.013192829048,10673.558608387342,10596.97667870017,10512.721360067866,10420.2462289744,10318.999756151326,10208.42831805849,10088.018090145128,9957.308024750908,9815.878977441063,9663.357690706336,9499.484560792762,9324.134431748253,9137.287314542715,8939.033725610818,8729.6642837154,8509.67320223876,8279.69679776947,8040.52061996919,7793.173553567848,7538.866756067404,7278.908939263451,7014.719081579853,6747.889331827553,6480.047980359991,6212.793534891285,5947.732619893748,5686.431441504824,5430.3357290414,5180.784980569767,4938.951057923818,4705.819467990196,4482.219482566226,4268.786346740899,4065.963281557377,3874.033279584487,3693.1198016330145,3523.1903835878256,3364.0973381178446,3215.591966627745,3077.3409107349917,2948.9412277464526,2829.9413885956483,2719.8578357451092,2618.194239670993,2524.4440138477826,2438.094371762065,2358.642563355085,2285.60834002952,2218.5305727501277,2156.9576204440386,2100.4650043521756,2048.6610072892686,2001.179988157397,1957.6688577844589,1917.8021573064377,1881.2839923251872,1847.8435764889946,1817.2213613110594,1789.1791007770678,1763.5014664388418,1739.994826289014,1718.4753122943662,1698.7722871943995,1680.7314450050576,1664.2144231381344,1649.0950294858037,1635.2525768077876,1622.5775083955016,1610.970747818819,1600.3436908803167,1590.614971823231,1581.7068943786346,1573.5491681568712,1566.0779864765932,1559.2360262386358,1552.971760751076,1547.2355555244471,1541.9822339596672,1537.170619500665,1532.7633301448268,1528.7267784429937,1525.0306964155288,1521.6457014319196,1518.5453752151907,1515.7055500816673,1513.1041272774332,1510.721076978327,1508.5384382899447,1506.5396759680343,1504.7087760136142,1503.0317008724414,1501.4954839486993,1500.088195115102,1498.798940712896,1497.6178635518575,1496.5361409046268,1495.5452757393725,1494.637463701702,1493.8058623631578,1493.044104719796,1492.3462991921863,1491.7070296254115,1491.1213552890672,1490.5848108772639,1490.0933814822545,1489.6430796017041,1489.2304612308496,1488.8524464353202,1488.506162587003,1488.188944364045,1487.8983337508512,1487.6320800380854,1487.3881398226697,1487.1646770077843,1486.960047405813,1486.772601637605,1486.6008588340858,1486.4434811844565,1486.2992354481746,1486.166992954958,1486.0457296047803,1485.9345258678743,1485.8325667847298,1485.739141966095,1485.653645592976,1485.5755760509023,1485.5041836696248,1485.4387041913053,1485.3786604743998
13007,"Baker County, Georgia",2884.811736243588,2861.1160285494643,2835.7140975238863,2808.6533396006052,2779.947466208681,2749.5926830057138,2717.578384622696,2683.892777761726,2648.52797782633,2611.4824258939148,2572.76340667626,2532.387567637318,2490.3830628706446,2446.7929242687924,2401.670006094383,2355.077204810716,2307.096081970085,2257.8227184457596,2207.360528988768,2155.821306127489,2103.3364762450883,2050.048113771733,1996.0993788350786,1941.6356346845882,1886.8174090469167,1831.810498082289,1776.7739491287887,1721.8607346115548,1667.2305127247473,1613.04252119811,1559.4426239596314,1506.5637424677323,1454.5381482859857,1403.492668887902,1353.537715492878,1304.7680180482407,1257.2739281694871,1211.1370678273458,1166.4231326982526,1123.1833170876228,1081.4639876339613,1041.3014623411168,1002.718819820178,965.7282074640474,930.337289111214,896.5443207332662,864.3378183166963,833.6998307798356,804.6071395691147,777.0298770501901,750.9331742772465,726.2776549883941,703.0197831705394,681.1130392248753,660.5082707678459,641.1543979069434,622.9985364396146,605.9870607272821,590.066330209211,575.1823350272056,561.2810574474317,548.3099835239501,536.2180691243626,524.9543257518632,514.4694124498483,504.7167372115222,495.65186424361616,487.23070234803254,479.41151629636494,472.15534229035376,465.42536229594066,459.1856487729028,453.4025656894481,448.04502955898135,443.0839282623935,438.49100627242285,434.2400096283004,430.3067667577663,426.6688702770793,423.3047127057848,420.19421003984684,417.31890392312454,414.6618797969618,412.2069777292385,409.93904345742163,407.84413879765043,405.90951560403477,404.1233667429168,402.4743946104311,400.9521854312261,399.54716381279957,398.25059220897367,397.0543516755938,395.95070756689165,394.93255386323347,393.9933449358175,393.12709553795935,392.328331427953,391.5918162867728,390.9127315172782,390.28662898485396,389.70941559781346,389.17735330739936,388.6870224850001,388.23514121635947,387.81872111676375,387.43499835074806,387.08141896354823,386.7556388811001,386.45552391003946,386.17909609113576,385.92446427822784,385.68993830113715,385.47394514014763,385.27502593993967,385.09183600958977,384.92314482257086,384.7678358283748,384.62484167975805,384.493181664279,384.3719793681934,384.26041522489294,384.1577265149051,384.06320736589356,383.9762087526583,383.89613849713464,383.82245866230716,383.75464248038196,383.69222838750926,383.6347981728368,383.5819602539997,383.53334967712055,383.4886281168092,383.44748387616295,383.4096318867661,383.37481370869074,383.34279578120777,383.31334729225415,383.2862596783304,383.261342723832,383.23842009464806,383.2173293381601,383.1979218832431,383.18006304026534,383.1636320010878,383.1485218390646,383.1346395090431,383.12190580430274,383.11021379004296,383.09945588079484,383.08955935989957
13009,"Baldwin County, Georgia",45517.44964577907,45500.182243996365,45479.962282073015,45456.10461389396,45427.931610187865,45394.748707759645,45355.82365524974,45310.37278916496,45257.54546564121,45196.41541458246,45125.971275785836,45045.103582038355,44952.60351347782,44847.15727346487,44727.32988618247,44591.56421895236,44438.18996440484,44265.41748909303,44071.32546443974,43853.86453288667,43610.897121900896,43340.200559331206,43039.45308119395,42706.244819574364,42338.18822832719,41932.94021677175,41488.183107547375,41001.64042030975,40471.29004584034,39895.42726339997,39272.60905148918,38601.673034083666,37882.06006290135,37113.89914028549,36297.84740335713,35435.111118080415,34527.83517455511,33579.08081363506,32592.50565253768,31572.38578549639,30523.979737986487,29453.210541769924,28366.263701045027,27269.629379193364,26170.31509359332,25075.257313187478,23991.045601466347,22924.075414300132,21880.360206520396,20865.234961233564,19883.42737595156,18938.873225826323,18034.668867119286,17173.22005153503,16356.149547111716,15584.336837145547,14858.050628361383,14176.997985993923,13540.361378896581,12946.94014725797,12395.217276818414,11883.444573681792,11409.691501045016,10971.896422189626,10567.94294422723,10195.73499596568,9853.194627076982,9538.247449726368,9248.89815158543,8983.2695833909,8739.58266109723,8516.11040906783,8311.243999025133,8123.509628262828,7951.541140160907,7794.026457344977,7649.761781327126,7517.655928604498,7396.713696309739,7285.985372703926,7184.601388808403,7091.776207063908,7006.803958857122,6929.016788302023,6857.796540413512,6792.583855498894,6732.87667678202,6678.2173538822035,6628.17031246231,6582.340117812281,6540.368602128875,6501.934836163087,6466.744316430602,6434.517367128694,6405.000749150494,6377.96415943648,6353.200230541956,6330.522247325048,6309.751481369121,6290.725465700268,6273.295834282633,6257.327610738995,6242.69920835077,6229.30086502977,6217.0268685044575,6205.782257614016,6195.479987350758,6186.04030729585,6177.390761619309,6169.466189080016,6162.206629594031,6155.55459565489,6149.459591847469,6143.874892607977,6138.757426274683,6134.067775087931,6129.7701751901295,6125.832510016838,6122.224048922822,6118.916800090714,6115.88611798468,6113.109032228736,6110.564247606744,6108.232144062411,6106.094776699288,6104.135875780777,6102.34076610954,6100.69507353769,6099.186441875856,6097.803770922075,6096.536686405521,6095.375539986502,6094.311409256462,6093.3360977379825,6092.442134884779,6091.6227760817055,6090.871954806526,6090.18371712915,6089.552785229556,6088.974368844242,6088.444033724476,6087.957701636303,6087.511650360538,6087.102513692775,6086.727281443377,6086.3832994374825,6086.068269515005,6085.780248446559,6085.5166041243065,6085.27470213907,6085.052788544412
13011,"Banks County, Georgia",19182.369491343008,19173.322497325164,19162.893315406265,19150.83119822475,19136.873873875455,19120.742895634747,19102.13859958443,19080.735948713846,19056.179675215688,19028.081072603254,18996.014223424198,18959.51140067366,18918.061930480482,18871.109872435176,18818.04761242995,18758.215328367532,18690.904140620147,18615.353851975142,18530.747685571147,18436.213749018687,18330.841640570186,18213.683977639954,18083.750466914757,17940.01256754562,17781.450577494947,17607.06348484211,17415.86096705171,17206.87017467371,16979.227593194584,16732.206746666314,16465.19444772874,16177.698988826583,15869.48995996971,15540.635533398661,15191.433104879086,14822.418340751974,14434.534176887739,14029.120956286579,13607.776570552598,13172.365793409523,12725.177273816817,12268.784103967704,11805.867821098143,11339.236208233342,10871.91373642525,10406.885427456578,9946.976738490777,9494.91969978135,9053.271726394789,8624.288184902429,8209.954154431678,7811.907133448466,7431.417758726542,7069.456429055725,6726.655966309569,6403.330473767886,6099.533921185729,5815.083488185245,5549.576542335419,5302.451777643245,5073.018570857606,4860.494093529028,4664.023988031067,4482.703749954577,4315.611144726695,4161.837951800225,4020.4885903774084,3890.672830102002,3771.5377072677743,3662.2834749665926,3562.1547096955983,3470.420371141976,3386.4011670408167,3309.476277766705,3239.0716585173654,3174.637240586111,3115.669316857082,3061.7120686674716,3012.350550819592,2967.189508234725,2925.8675969296696,2888.058774197634,2853.470474755545,2821.8262982390534,2792.8707815179237,2766.3729555014215,2742.125708352659,2719.940457300606,2699.6379686565324,2681.0556765327865,2664.0464200791484,2648.4784316720024,2634.230904574101,2621.1892728010707,2609.249874404729,2598.3184721938132,2588.3102535555563,2579.1488990984667,2570.7614466831587,2563.0816432311126,2556.0490013895346,2549.6085066240794,2543.7106172188473,2538.310629987265,2533.365552540462,2528.836807021445,2524.6890363021002,2520.8898499066427,2517.4098240116195,2514.2225014459073,2511.303550115634,2508.6296869857474,2506.1804757732416,2503.937005747516,2501.881844766743,2499.9990392778686,2498.27411431661,2496.694070859536,2495.2464869938963,2493.920074396811,2492.7048952249747,2491.591686038577,2490.571857801306,2489.6374958803463,2488.781360046379,2487.9968844735836,2487.278145861807,2486.6193590998996,2486.0155618750396,2485.4622946213544,2484.9553883682343,2484.4909647403288,2484.0654359575506,2483.675504835071,2483.3181647833226,2482.990699807999,2482.690665960087,2482.4156762592834,2482.1636208180817,2481.932583344066,2481.720789021872,2481.526604513185,2481.348537956739,2481.1852389683218,2481.035498640769,2480.8982495439677,2480.7725657248525,2480.657662287133,2480.552490852614,2480.456005588635,2480.3675042084037
13013,"Barrow County, Georgia",81085.5158581683,81015.39322580559,80936.99739472075,80849.68374642069,80752.61164904849,80644.7840206888,80525.06686438722,80392.19192740122,80244.7575616546,80081.22312998342,79899.90002059453,79698.94465392163,79476.35148578904,79229.94962661262,78957.3834778573,78656.11078640292,78323.41828549595,77956.41827487222,77552.02784143332,77106.9756895817,76617.87637402985,76081.23527320438,75493.4222447602,74850.69049800596,74149.36942160693,73385.89594094951,72556.77287588317,71658.59461786601,70688.40434982555,69643.78807364694,68522.76186896021,67323.80130038122,66046.36968410974,64691.04259530255,63259.2199558857,61753.15797300365,60176.60302237127,58534.74159315219,56833.66390794386,55080.40066541387,53283.524318232405,51452.63096030031,49597.69139385488,47729.12771997443,45858.182331767646,43995.97203025359,42153.0514043894,40339.6737046177,38565.50292527782,36839.13535376311,35168.22049688436,33559.16208963076,32017.039912966622,30545.84465665526,29148.320462523177,27826.023152698563,26579.525323445465,25408.486537533394,24311.709364826078,23287.361026348706,22333.076213468976,21446.094304927068,20623.337825943003,19861.490404382163,19157.12501955054,18506.82932896272,17907.201789352494,17354.826083795837,16846.40123646656,16378.809123137495,15949.081515414044,15554.323564848608,15191.828906202001,14859.11000917478,14553.85242825518,14273.825010771949,14016.974617250502,13781.435044433869,13565.498946523277,13367.532060286496,13186.034125290671,13019.64691944039,12867.146826240536,12727.373270353875,12599.249405593062,12481.799135981524,12374.144652714427,12275.484106485386,12185.052676805482,12102.154767347502,12026.159507846058,11956.500705613178,11892.657900972274,11834.13583460803,11780.48538267129,11731.297699690058,11686.204217818817,11644.872611368775,11606.984219676495,11572.248809869296,11540.401144541893,11511.19974203841,11484.42687645238,11459.885778977057,11437.386583033349,11416.758376955984,11397.844417849266,11380.501033873015,11364.597624242575,11350.01665922881,11336.64987963526,11324.393201427656,11313.155041956257,11302.850640737855,11293.401851291515,11284.73714113859,11276.791591802723,11269.506886706531,11262.82711898233,11256.701165345743,11251.083981744434,11245.93358846984,11241.211070157184,11236.880575785473,11232.9093186775,11229.267576499828,11225.928539967048,11222.86583225292,11220.056686849312,11217.480656249058,11215.118636255103,11212.952865980507,11210.966927848423,11209.145747592112,11207.475594254944,11205.944080190398,11204.540068118811,11203.252539855375,11202.071678203481,11200.988580583602,11199.99501203921,11199.083405236785,11198.246860465822,11197.479145638823,11196.774696291288,11196.12861558173,11195.536674291672,11194.995308716836,11194.499588986895,11194.044555198378,11193.626944410154
13015,"Bartow County, Georgia",107128.25286830652,107041.6381613292,106944.14855347511,106834.35786460979,106710.71827390866,106571.5499981371,106415.02559947221,106239.15452677287,106041.76438773524,105820.48777772883,105572.74698790119,105295.73415218422,104986.40883845915,104641.4949319391,104257.44926343135,103830.46115705393,103356.48988885162,102831.26228584656,102250.24578314523,101608.66292486835,100901.62470782557,100124.14626819073,99271.11199813767,98337.30842637215,97317.7498963151,96207.73108893589,95002.76340093913,93698.61633717854,92291.8882267645,90780.1404506465,89161.70042138238,87435.70390730501,85602.88437150148,83665.71650454537,81627.91658317126,79494.47866598368,77272.54695972736,74971.25353034769,72600.84736838144,70172.72789133016,67700.20259346746,65197.66865082455,62679.65193227286,60160.90164328772,57656.83380527365,55182.24744307608,52750.753170767806,50375.143937766785,48067.071999572225,45836.47829024712,43691.798479722645,41639.692391445344,39684.9932068592,37831.070753371285,36079.719282697486,34431.281304697535,32884.923524970225,31438.78903625275,30090.098749625504,28835.405242676236,27670.734172398043,26591.780298816928,25593.991012713595,24672.621133981615,23822.90379241037,23040.203937277074,22319.99733252986,21657.796506746887,21049.325561874,20490.59050128267,19977.828440420166,19507.39933517334,19075.92382837194,18680.313942683802,18317.71367595688,17985.38424957999,17680.81548575886,17401.73227460795,17146.06008005694,16911.82126980908,16697.20494792579,16500.573453561134,16320.453488425886,16155.452155078474,16004.280339541303,15865.76981346631,15738.870123186667,15622.622781423353,15516.116971216185,15418.524838179479,15329.095239199463,15247.153685025076,15172.080819131272,15103.289640118695,15040.247871736148,14982.470638728719,14929.520465967587,14881.002722041914,14836.540627267435,14795.791548159386,14758.442107589666,14724.206739512269,14692.827688963263,14664.071881426835,14637.71559835761,14613.557745841317,14591.413732246627,14571.11420326942,14552.505041932782,14535.447368586998,14519.813346677154,14505.480913671476,14492.342632866155,14480.298981668777,14469.258115854649,14459.135869566782,14449.855755315908,14441.34895055746,14433.549768303414,14426.39852579613,14419.84253438638,14413.83264653088,14408.3232557923,14403.27229683925,14398.64124544629,14394.395118493921,14390.502310239444,14386.932019865222,14383.657778495513,14380.655753794847,14377.903653519508,14375.380725517483,14373.067757728504,14370.947078184026,14369.002555007235,14367.21959641304,14365.585054239122,14364.086116590892,14362.71145775113,14361.45077736943,14360.294526541596,14359.233907809643,14358.260875161788,14357.36813403246,14356.549141302297,14355.798105298143,14355.109985793051,14354.4804918366,14353.903992582544,14353.37488610457,14352.889357783037
13017,"Ben Hill County, Georgia",17047.702545950768,17036.62354138268,17023.918256648427,17009.2232654008,16992.191698894945,16972.478365172185,16949.72809491475,16923.56900024114,16893.6049737257,16859.412374141684,16820.537133897436,16776.488937379923,16726.743033438077,16670.740399970273,16607.880891854773,16537.523757511324,16458.997898168418,16371.60057034569,16274.592824872396,16167.202717752763,16048.651383573684,15918.154862758056,15774.91797789241,15618.140270065098,15447.073614640422,15261.029117351221,15059.364979059106,14841.493368852078,14606.975457303659,14355.540302378735,14087.048156505845,13801.49690901663,13499.14796487206,13180.544349585467,12846.423064012453,12497.719862158452,12135.704343855028,11761.947965022999,11378.179234332252,10986.288150232005,10588.442861759173,10186.957333395965,9784.138529721524,9382.302121265115,8983.84406431381,8591.041642190658,8205.96648396225,7830.546110778994,7466.519415294305,7115.350428261901,6778.264318599993,6456.2098960998055,6149.853526228395,5859.638598398545,5585.769803624111,5328.233234303916,5086.84004588741,4861.249988828238,4650.986958788554,4455.478154363944,4274.075331323432,4106.084038727279,3950.776274085779,3807.398695591851,3675.197815701434,3553.4430094617355,3441.4232823948905,3338.4356114710536,3243.8110763524746,3156.925485392854,3077.1915149258393,3004.0417715096733,2936.949765776448,2875.4346031854448,2819.051768940076,2767.3751998164867,2720.014466594119,2676.615793996006,2636.8566832063702,2600.429679395098,2567.053263130478,2536.4729086569087,2508.459695577997,2482.797124159263,2459.284779108951,2437.7410846844923,2418.0028227154016,2399.9210690991376,2383.354189763761,2368.1734620784036,2354.2621285804344,2341.5153879871255,2329.8369923418327,2319.1356239644647,2309.3284933556765,2300.3402092887054,2292.1027786725067,2284.554884951317,2277.6379089318434,2271.298529699543,2265.487996635019,2260.161902565797,2255.2801837663283,2250.806622952716,2246.7063984329643,2242.9482033859026,2239.5033111257817,2236.3453760427196,2233.4504336027026,2230.796900347587,2228.364905612394,2226.13543451756,2224.091756745918,2222.218379980887,2220.501012650534,2218.9265639275777,2217.483143729384,2216.1600605847416,2214.9470951384606,2213.8349429793684,2212.815396917168,2211.8808043173626,2211.0240671012507,2210.238641745929,2209.518539284294,2208.858325305038,2208.2530937237175,2207.698047047172,2207.189054865219,2206.722401938853,2206.294615267701,2205.9024640900116,2205.5429598826636,2205.2133563611615,2204.9111494796352,2204.6340774308446,2204.380105068668,2204.14723734182,2203.9336995214458,2203.737879265459,2203.5582842546555,2203.393542192709,2203.242400806175,2203.1037278444865,2202.9765110799594,2202.859858307787,2202.752997346045,2202.6552756656356,2202.565804063654,2202.483691233402,2202.408345575066
13019,"Berrien County, Georgia",19563.1922347375,19552.110136121424,19539.34568689125,19524.543546041474,19507.35085348516,19487.405195871877,19464.32457888058,19437.70103496888,19407.093402851682,19372.02360257091,19331.97289326568,19286.375936715784,19234.621395013764,19176.051135475896,19109.952877959306,19035.560374220084,18952.062445501775,18858.60197930196,18754.27081291828,18638.1130475266,18509.153260125164,18366.4001071871,18208.840097971915,18035.444567460698,17845.23711939683,17637.3047237153,17410.7860207383,17164.879869151282,16898.961299322877,16612.608136895462,16305.561247119002,15977.732908057804,15629.36293933066,15261.044376472397,14873.620112266293,14468.18915765822,14046.272892998582,13609.776414989094,13160.810508906605,12701.696401993751,12235.104337081926,11763.88810980774,11290.894578670479,10818.98086694504,10351.094829610449,9890.030104998244,9438.318403870358,8998.302804283048,8572.082449213869,8161.409495865969,7767.733287634928,7392.159004971329,7035.44222006307,6698.063401277092,6380.213220838222,6081.819331075183,5802.600257683397,5542.097269096708,5299.694760866086,5074.666712974596,4866.2032479950185,4673.446891811734,4495.50712548564,4331.468791616271,4180.422472764662,4041.4915942897583,3913.82788641156,3796.5958930363145,3689.004171458576,3590.317007837095,3499.844698127884,3416.923118027112,3340.9377876458448,3271.3288880874147,3207.5803565319657,3149.1988091840026,3095.7330678448193,3046.775006781563,3001.9533069520758,2960.9147396857356,2923.336395927809,2888.926635250271,2857.423492164364,2828.579664814592,2802.1665960108085,2777.977350433644,2755.8260462477233,2735.543262882099,2716.9681835882184,2699.954772100152,2684.370609667467,2670.0968847773474,2657.0245848888717,2645.0504857264777,2634.081053854658,2624.0311247121745,2614.8239024574127,2606.390156446366,2598.663830551882,2591.5849068307225,2585.0985113667502,2579.154657943762,2573.7082480454897,2568.7185212400937,2564.1463763629295,2559.956697370523,2556.1172581927594,2552.5984996495527,2549.373529450849,2546.4181221966273,2543.709987046715,2541.2278565801525,2538.953025631413,2536.8681691858233,2534.9573010762483,2533.205773983098,2531.600279434318,2530.128845470325,2528.780050863425,2527.5435284289547,2526.4101292556225,2525.371320062912,2524.419183201079,2523.5464166511474,2522.7463340249183,2522.01286456496,2521.340524862853,2520.7239751019606,2520.158628050193,2519.640353762869,2519.1652899019327,2518.7298417359543,2518.3306821401306,2517.964751596283,2517.6292581928597,2517.3216776249337,2517.0397368470735,2516.781222534374,2516.544170973879,2516.3267958497827,2516.127442601992,2515.9445884261277,2515.776842273524,2515.6229448512254,2515.4817686219926,2515.3523178042956,2515.233728372322,2515.1252676616564,2515.025954831857,2514.934810665149,2514.8511778183633
