Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,2.2384822558337256,2.810916695360223,3.499477602814323,4.316979656591806,5.275663896787804,6.3881043464725575,7.667852956667147,9.129798404438038,10.790566551257733,12.668728462227543,14.785057476429138,17.162810131052087,19.827861107691348,22.80904963878789,26.138425382342966,29.85132697330359,33.98688735929339,38.588330690190645,43.70309555311167,49.382961886289074,55.68489431986916,62.67114984268738,70.40917405576846,78.97169825735998,88.43795747996096,98.8935215596922,110.42948716381066,123.14248555387826,137.13610263543427,152.52049286789918,169.4098773453086,187.9223714083648,208.18155058306775,230.31556063865966,254.45193012066153,280.71708553997087,309.23844118875144,340.1419122322797,373.54389275460767,409.5507539974435,448.26252719908655,489.76682077074133,534.129986359932,581.3979351078256,631.601939403522,684.7479835042175,740.8111484669552,799.7417079465722,861.4645947228897,925.8740008577627,992.8380015117286,1062.197143095341,1133.7647099420037,1207.3336535319747,1282.6762449798703,1359.5470520581694,1437.6873394945464,1516.8292400356245,1596.6986326573701,1677.0191143071158,1757.5148445832726,1837.9169842872934,1917.9655110414815,1997.4079064283594,2076.005324063815,2153.5379552474083,2229.803698679296,2304.613823777874,2377.799660490943,2449.214735097041,2518.732448638769,2586.2418206075527,2651.651660722694,2714.8910314219697,2775.906627557639,2834.65845079271,2891.122398817963,2945.2893751177744,2997.1636882528533,3046.75931212818,3094.10086603311,3139.2222031017996,3182.1659619258803,3222.980474656997,3261.7202038988707,3298.44402999333,3333.2149436938357,3366.09900057669,3397.1643876809926,3426.48108937613,3454.119574784441,3480.1507940297724,3504.645531827324,3527.674381532497,3549.307193172669,3569.6122089175587,3588.656063035671,3606.503703136361,3623.218366603908,3638.861730347155,3653.49312915401,3667.169497781246,3679.945370954494,3691.872927013728,3703.002382518438,3713.3818247223285,3723.057036129245,3732.071498301411,3740.466391859428,3748.2805964822737,3755.5509539895884,3762.312634635355,3768.5986321491473,3774.4401844245594,3779.86678814308,3784.9061987740884,3789.584430574857,3793.9257584279117,3797.953303391017,3801.6885834908107,3805.1515248419614,3808.3609680605214,3811.334668263926,3814.0892950709876,3816.6404326019024,3819.0025794782455,3821.189186775442,3823.2131615115272,3825.085952429691,3826.8181614355417,3828.4198290564054,3829.9004344413297,3831.268895361077,3832.5335682081295,3833.702247996691,3834.7821683626826,3835.780042291416,3836.7022626562525,3837.554146507793,3838.3406081427624,3839.066333072596,3839.7357780234406,3840.353170936153,3840.922510966303,3841.44756848417,3841.931885074744,3842.378773537728,3842.791317460494,3843.1719711112837,3843.522907634972,3843.846414535585
B,0.5710147588562284,0.8178036291027276,1.1448136195112508,1.5643808798586996,2.08863272622192,2.7302603868527306,3.5030791009269855,4.422354812821271,5.505179489256869,6.770682811813646,8.240308425225802,9.938108331641505,11.890906050651195,14.12866786297102,16.68482075114794,19.59634718711767,22.904307841021254,26.654202408995385,30.89619066414323,35.685231742136395,41.08191607827225,47.15266639120048,53.96974312773851,61.61134063336536,70.16276037712683,79.7163073030048,90.3705539691415,102.23033543780392,115.40806780618878,130.0233587178911,146.20040679918048,164.06779181994165,183.7598777660181,205.41583648220995,229.17404186774482,255.17149867529832,283.5458118511451,314.43249312684173,347.9562183092486,384.2302408017032,423.360229339781,465.4377721293218,510.53086119572646,558.6848182506227,609.9286196104238,664.2636928082094,721.6580993902082,782.053181654144,845.3633448406149,911.4705988465207,980.2295489034091,1051.466429197391,1124.9795956790465,1200.5468122961204,1277.9253021517295,1356.8550509479142,1437.063213741491,1518.2687695265545,1600.1856803782262,1682.5266356495404,1765.0060281196454,1847.346733976485,1929.2818193968462,2010.5528662065765,2090.9163485374197,2170.149029003594,2248.0464679521715,2324.41831871432,2399.0951758421365,2471.9305557855896,2542.7984694581864,2611.5890580227197,2678.212663715965,2742.6001898141267,2804.7004450175878,2864.4757804910687,2921.9045678073826,2976.9802331969004,3029.709654438131,3080.1094349142727,3128.2068010470202,3174.038137556552,3217.648541247185,3259.0887626761137,3298.415612271099,3335.6902066315793,3370.9776602429733,3404.346054827849,3435.865528047365,3465.607908615829,3493.645404893058,3520.0506011646908,3544.8958264670973,3568.253138022397,3590.1937591407323,3610.7872241505465,3630.1013783557737,3648.202303088768,3665.1543057786175,3681.0200588371936,3695.8598348269898,3709.7314503560083,3722.690266077751,3734.7892329935235,3746.079292800497,3756.609202122282,3766.425375607832,3775.5718914660665,3784.0904914658704,3792.0205809360955,3799.399494831361,3806.262860130376,3812.6440916559786,3818.5748270200256,3824.0849415437365,3829.2025482576933,3833.9539979018423,3838.3638807769303,3842.4556140545324,3846.2509836580684,3849.770165457773,3853.0322380282955,3856.0551826486912,3858.855883302426,3861.450126677376,3863.852602165827,3866.0769399675055,3868.136213397445,3870.0420184108116,3871.8050957622577,3873.4356187362164,3874.9431931468953,3876.3368573382813,3877.6250821841363,3878.8157710880023,3879.916259983197,3880.933358250343,3881.8735470551187,3882.7422178860916,3883.5443553994573,3884.284712952361,3884.967812602895,3885.597945110094,3886.179169933946,3886.715315235383,3887.2099778762854,3887.6665234194784,3888.0880856911785,3888.477156679183,3888.8359424817686,3889.1667681979343
C,7.459220271101873,8.671183346556967,10.059025785952805,11.640140958188123,13.432148940304051,15.453688924434484,17.724992676265884,20.26822084186401,23.107838775185357,26.270830257472475,29.786970859801745,33.68908229713706,38.01321150216953,42.79899962476854,48.08985092223789,53.93300840339714,60.38015412500217,67.48760426470675,75.31627448949894,83.93178473098828,93.40542671484748,103.81399367065931,115.23930422180734,127.76826128406667,141.49420654709593,156.51631858742252,172.93799850638104,190.86680695941288,210.41603775400347,231.70383860393585,254.84932840830825,279.9723108398388,307.1951562242337,336.64140016980605,368.42889177879795,402.66921143369706,439.47053102213545,478.93460820123363,521.1476277340278,566.1798759800148,614.0907897654085,664.9225815265821,718.6916975458281,775.3903148612485,834.9933997642548,897.4490205390886,962.6741956162045,1030.561428564712,1100.9798042108303,1173.7711316402156,1248.7545773503764,1325.7274888549873,1404.4664648056225,1484.7334294856573,1566.2769722298463,1648.8356595452594,1732.1411459997018,1815.9230335002972,1899.912017107777,1983.8419127583898,2067.45226902286,2150.4945258185417,2232.7330043377588,2313.942451226403,2393.9136442267627,2472.4577444486904,2549.4046486449565,2624.5981215781826,2697.90175280668,2769.2001560973904,2838.396691047041,2905.4095408039857,2970.174811124968,3032.6465755463296,3092.794566268008,3150.600411440041,3206.059437792272,3259.1796859143287,3309.9805513359333,3358.48965978388,3404.7434364763913,3448.7857544804083,3490.667560744684,3530.4443469564894,3568.17642650678,3603.9273656688233,3637.763720388758,3669.7541873731184,3699.9688667869987,3728.478897569338,3755.355346584774,3780.6692055223343,3804.4908802109067,3826.8901911241355,3847.935884966201,3867.694926572263,3886.2324988733885,3903.61194649755,3919.8947922049765,3935.140840356976,3949.407565631193,3962.7500690383795,3975.2210779223924,3986.8709926547863,3997.7482456663106,4007.8991342103427,4017.3677376767027,4026.1959269671584,4034.4233644954256,4042.0875041871723,4049.2238337103436,4055.8661826768616,4062.0462852616797,4067.7942039435907,4073.1383434630648,4078.1054508222483,4082.7206152849635,4087.007270069069,4090.987722587977,4094.6827237166594,4098.111513447209,4101.292295827579,4104.242238961576,4106.977475008865,4109.513100184969,4111.863174761261,4114.040758092701,4116.05836547644,4117.927119077562,4119.657334090797,4121.258785120749,4122.740706181881,4124.1117906985255,4125.380191504882,4126.553520845016,4127.638850372855,4128.6427496362385,4129.571472313063,4130.430240210713,4131.223886570196,4131.957021262029,4132.634030786259,4133.259078272438,4133.8361034796435,4134.36882279647,4134.860729241026,4135.31509246094,4135.7349583213645,4136.122763245014,4136.480671087335,4136.810953656361
D,23.134655843193894,28.142766108954458,34.000986326731336,40.7927807408095,48.59991958289163,57.50739877391581,67.60691517802405,78.99878289857405,91.7940559608275,106.11561772237017,122.0995060486223,139.89631456978887,159.6718900996207,181.60907686715368,205.9086738942669,232.78977287538777,262.4923941796503,295.27855174207315,331.4322097280898,371.25976908775107,415.0944458010995,463.29567522919467,516.2471210597159,574.3569602738172,638.0640505059487,707.8353945179465,784.1590726308589,867.5439822662282,958.5270311876491,1057.6693284508508,1165.5388851493815,1282.709343773516,1409.7685453771464,1547.3122756693801,1695.9133533186703,1856.1189802207646,2028.4635679454955,2213.4549642507027,2411.532514886116,2623.0654185202047,2848.375180982397,3087.7059252287654,3341.184324683311,3608.825975539578,3890.567010966152,4186.217989342174,4495.443271453679,4817.790826605017,5152.69560201326,5499.460073271555,5857.275619529842,6225.224025193784,6602.281586533329,6987.348024598562,7379.251000559447,7776.7610901016205,8178.607643511134,8583.500720997923,8990.145436004628,9397.253692884951,9803.55684911477,10207.834884545377,10608.922137687316,11005.697453090042,11397.111386809034,11782.208019802525,12160.117817595827,12530.035864495088,12891.250967499669,13243.152877227405,13585.221692119409,13917.009014926462,14238.154455732714,14548.386729766295,14847.512363501522,15135.397047479633,15411.975705701578,15677.248250182214,15931.272751426019,16174.149464620219,16406.02447901474,16627.083457592584,16837.549717480593,17037.670979359827,17227.72104075092,17407.992315360287,17578.794513134075,17740.45009870488,17893.290144588947,18037.652895219217,18173.87811200993,18302.30705714226,18423.279599442205,18537.13396948896,18644.204490639648,18744.817821768364,18839.292957074264,18927.940849673654,19011.06410832597,19088.957798572126,19161.906050566206,19230.1817982638,19294.046779422006,19353.75169898457,19409.537802478444,19461.636304865206,19510.267631310187,19555.641425318034,19597.95654873273,19637.401081737597,19674.153457458015,19708.384018413326,19740.252913571763,19769.911969701418,19797.50475511212,19823.16657965545,19847.024494724716,19869.19730155472,19889.79818115162,19908.93264796963,19926.698676956665,19943.189007558587,19958.491143719228,19972.687353880327,19985.85467098161,19998.064892460734,20009.384757756638,20019.8782977898,20029.602561431566,20038.610497115533,20046.952290491212,20054.675364424023,20061.8243789953,20068.441231502264,20074.56505645806,20080.232225591746,20085.476548073668,20090.330275624245,20094.820396038067,20098.971896146933,20102.808612106826,20106.353229397908,20109.6272828245,20112.651156515112,20115.444083922404,20118.024147823242,20120.40828031864,20122.61226072321,20124.648742377558,20126.528984875444,20128.264795791732
E,3.240645364905115,3.7169433276370594,4.279140958176789,4.939622697285951,5.711098250483658,6.607164058723493,7.64272400117038,8.834254236505602,10.200113477338634,11.760737280155402,13.538904028342417,15.559993417303303,17.85217053642864,20.446749939331227,23.3784909912861,26.685695204488248,30.410745838445447,34.60044819133805,39.306242817430906,44.584345773316066,50.49658452745176,57.11058822848952,64.4997867337103,72.74350884348027,81.92815931008226,92.14711481740115,103.50000465227001,116.09271151373632,130.03870007454165,145.45864161119735,162.4779000229779,181.22633626872894,201.83972211132087,224.4587926132532,249.22383576633297,276.27414778192014,305.7499609939147,337.7898041884807,372.5220230580072,410.06419877750653,450.52679166480493,494.0067418401373,540.5781151084166,590.2929186159481,643.1870866361458,699.2693269553108,758.5152167880966,820.8735832783105,886.2659710598524,954.5810323521315,1025.679369959869,1099.3921560591657,1175.52144965387,1253.84744736182,1334.128218953204,1416.1028607320782,1499.4960902396379,1584.022695400796,1669.3905819994611,1755.3049118942897,1841.4711410941768,1927.6018024161833,2013.4184173786762,2098.650162109183,2183.0403895524564,2266.3522747414227,2348.367453636197,2428.8815593321524,2507.7112712338935,2584.696616629466,2659.6985737882806,2732.5946291620016,2803.2832408985755,2871.684384670804,2937.736810301265,3001.3934805997746,3062.6243815999837,3121.415641173877,3177.767833843004,3231.691983143771,3283.210666168015,3332.3565724914088,3379.172023669456,3423.7056236431226,3466.012744386538,3506.1537581918537,3544.1937120903176,3580.201178476983,3614.2471955333554,3646.4049657920614,3676.7484534395826,3705.3523802468058,3732.2914871700978,3757.640462794117,3781.4733906620427,3803.862802730973,3824.8796793232746,3844.5933499749826,3863.071399592144,3880.379877117978,3896.5824205821305,3911.740189354784,3925.911864146663,3939.1536811789065,3951.5198070293495,3963.062210367736,3973.830426921719,3983.8715573306386,3993.2302671455172,4001.9487868290626,4010.0671774248995,4017.6237159587736,4024.654381556671,4031.193266531157,4037.27259094264,4042.922702599363,4048.172077057412,4053.0473195529335,4057.5737837170664,4061.7751067501754,4065.673213086724,4069.2888446513,4072.6415608586294,4075.749738613563,4078.630572311087,4081.3000738363135,4083.773113613417,4086.063968632835,4088.185336840591,4090.1489898282407,4091.9660803752668,4093.6471424490824,4095.2020912050302,4096.64022298638,4097.970215324333,4099.200126938016,4100.337443067615,4101.389303120161,4102.361661207835,4103.260024392489,4104.089645156446,4104.855521402493,4105.5623964538945,4106.2147590543755,4106.816843368135,4107.372628979839,4107.885840894624,4108.359949060668,4108.797721510451,4109.20161441061,4109.574212103103
F,2.8914623984353316,3.715884722331725,4.726525459449318,5.945099712559562,7.3925760003248575,9.090592039282216,11.062457984725294,13.333710632602703,15.93273234703872,18.891068722440377,22.243816660938275,26.03005436530134,30.293035469480817,35.08069502082854,40.44600599316812,46.4470865170369,53.14791914632939,60.61874090621214,68.93615898347802,78.18330622021,88.45102942389161,99.83789352782861,112.44983768660926,126.40027112944544,141.8117437822967,158.81544114390672,177.5495441507296,198.15917427129398,220.79831027731547,245.62889970966162,272.8164146626875,302.5295090802652,334.94222222516584,370.23234927256243,408.5730050151901,450.13184743691596,495.0743561418556,543.5599864129682,595.7301626838854,651.7076838066201,711.6027284905612,775.5042350817964,843.4678835887346,915.5177348508533,991.6551762279715,1071.8450037137195,1156.0088223242556,1244.0338041095574,1335.773264716735,1431.040464565949,1529.6149949141632,1631.2426551308145,1735.6364769133752,1842.4855947148894,1951.4561493407793,2062.1956700299756,2174.3381118221405,2287.5101778862763,2401.335506335628,2515.4385993427986,2629.4485862929027,2743.0078772540082,2855.774020240903,2967.417030584287,3077.627465041423,3186.123019799971,3292.6464751871817,3396.9593707683216,3498.8506522921316,3598.1389172933955,3694.669280366574,3788.307793595609,3878.9464032262463,3966.5032991032913,4050.9195570043717,4132.1536135843535,4210.184275086505,4285.009453144512,4356.644141703336,4425.115705978051,4490.464959923878,4552.744297470043,4612.017127456315,4668.353992784321,4721.833064652381,4772.537918361546,4820.557143062149,4865.9830237922915,4908.910359817415,4949.436012809148,4987.6572426957355,5023.671702924583,5057.576619020936,5089.468745594096,5119.443673330851,5147.594736706936,5174.01301393185,5198.787225542926,5222.003689435783,5243.746523369075,5264.096667288301,5283.131810064374,5300.926389493618,5317.551647267522,5333.0761192162445,5347.565435253744,5361.082117116111,5373.6855839787795,5385.43215245652,5396.3750366034465,5406.564686781406,5416.049249204041,5424.873933931661,5433.081575699955,5440.7126530005235,5447.80528808086,5454.39524694436,5460.515941765876,5466.199195704466,5471.474644345425,5476.369771971929,5480.910582290184,5485.12159842941,5489.0258629418595,5492.6449378028,5495.998904410525,5499.106414264578,5501.985357659547,5504.651641046801,5507.120014280142,5509.404453197604,5511.518159621459,5513.473561358206,5515.282312198584,5516.955291917564,5518.502606274352,5519.933642907473,5521.2573471430405,5522.481184642484,5523.612063214862,5524.656571386707,5525.620978402017,5526.5112342222565,5527.3329695263665,5528.091495710748,5528.791804889279,5529.438569893303,5530.036143678425,5530.5880041062765,5531.097238909595,5531.567092952341
G,0.6566842337912034,0.8635103700667695,1.1233823853079907,1.4435939065614376,1.8314214300777476,2.2945661605847714,2.8414796172757693,3.481560041888881,4.225381072489005,5.084827100738326,6.073275687903257,7.205788210415203,8.499225765927749,9.97250251694512,11.64681810811611,13.545728844787705,15.695508161488414,18.125430161097583,20.867980251205143,23.958969688320266,27.438110217495527,31.349275277907108,35.74066034171757,40.66488057777871,46.17981596256936,52.34875867030441,59.24029785505733,66.92837110578118,75.49326358383252,85.02164256553868,95.60553894150013,107.34229691522029,120.3356318278271,134.69532896279927,150.53447365549582,167.96917898615777,187.11981537865404,208.10954491241822,231.0592225863993,256.08695732326913,283.3100954789723,312.840879278776,344.77979975374933,379.21570963722223,416.22915783415675,455.8835548343274,498.21982679397314,543.2603339332001,591.0066932562416,641.4341227342154,694.4946164515915,750.1130718367099,808.1863740668415,868.5889760554722,931.1702546259871,995.7558292885578,1062.1523156921435,1130.148843449196,1199.5183669077462,1270.0233609190764,1341.418122771227,1413.4532459445861,1485.8782885160558,1558.4431112445768,1630.9029576552869,1703.0238132339682,1774.5822954137302,1845.3640661539016,1915.1696768482918,1983.8180925948297,2051.1451866364455,2117.000130349621,2181.250743848989,2243.7849462044665,2304.5082898202945,2363.3395749684737,2420.21472355144,2475.0866110051743,2527.9233331428372,2578.703844504484,2627.419917926962,2674.0752262791193,2718.684811806887,2761.2711269781544,2801.864850426778,2840.5035378819066,2877.2312939664334,2912.0973406940193,2945.1545279018646,2976.4594565250145,3006.0709990677196,3034.050294879664,3060.4597089268077,3085.3625450268864,3108.822690576419,3130.90349053472,3151.667747360793,3171.1775441172067,3189.493831819223,3206.6768881768953,3222.785180684908,3237.8752657071773,3252.0017884768463,3265.2174636075833,3277.5732822118052,3289.1185909718984,3299.9005926892705,3309.964314432506,3319.3526075373666,3328.106147606794,3336.263645395174,3343.8622490411194,3350.937084770446,3357.5214837047006,3363.646991996254,3369.343370828306,3374.6385964148812,3379.558861807536,3384.1291791936783,3388.3729965105936,3392.3121194585087,3395.9671865536316,3399.357669128151,3402.5018713302316,3405.416930124023,3408.118815289653,3410.6223712488377,3412.9418994702396,3415.090173245854,3417.0790390549455,3418.919721243202,3420.622822022727,3422.1983214720444,3423.655577536097,3425.0033260262458,3426.249680620273,3427.402181106632,3428.468054933081,3429.4533330528466,3430.3635899166793,3431.2041433413206,3431.980054509495,3432.696127969915,3433.3569116372787,3433.9666967922717,3434.529518081566,3435.049153517817,3435.5291239858952,3435.97223176021,3436.380964762283,3436.7579480502345
H,0.577717960475749,0.79108273519998,1.0658715744834584,1.4108811477625565,1.834895674319218,2.3471685542534897,2.9577721034146753,3.6778029185041796,4.519617155673185,5.4969645198195165,6.625162778615348,7.921278588775033,9.404233290914647,11.095035448522953,13.016963589755465,15.195623143465118,17.659281807106964,20.43907244059607,23.569097500644343,27.08650966663628,31.032044202683586,35.45009010681371,40.38862206280943,45.89925276109049,52.037981186071356,58.865052948806806,66.44436301263138,74.84344165150026,84.13430645976322,94.39314535778438,105.69848820089652,118.13106217975411,131.77474023000357,146.7158698233905,163.03957064135642,180.82937489298365,200.1686061947968,221.1386513381274,243.813416901964,268.2590014826705,294.53629901402786,322.6969369158873,352.7774345622556,384.79986262671554,418.7759306062735,454.7001218486724,492.54623767837415,532.2715554598988,573.8168246636392,617.1029926582764,662.0342971182706,708.4977908312563,756.3636857215442,805.4897955225862,855.7216353462895,906.894458264913,958.8359215571078,1011.3689587304864,1064.3137203844421,1117.4898265315533,1170.7181887112968,1223.8251648445564,1276.643598262514,1329.0117643361605,1380.7772917856885,1431.8004804094617,1481.953383500664,1531.116894827215,1579.184979105211,1626.0659101832573,1671.6807706051281,1715.9607296991835,1758.8495947321492,1800.30405327523,1840.2920166343067,1878.7898821962983,1915.7841130361037,1951.2706548008937,1985.2539275177437,2017.7444662257058,2048.759515947323,2078.322134625507,2106.460910361758,2133.208007459218,2158.5994353541473,2182.673970759148,2205.4729641341537,2227.0396757382973,2247.4186748431516,2266.6556387418427,2284.796527129232,2301.887579730896,2317.974900071668,2333.1044280863184,2347.3216061066364,2360.6708331652076,2373.195464967654,2384.937761584768,2395.9388566661632,2406.2388644987905,2415.8763887645437,2424.8884853656873,2433.310662424859,2441.176905818674,2448.5199165962485,2455.371017163541,2461.7600419395144,2467.715339176134,2473.2637709583755,2478.4307132042186,2483.2402199746766,2487.715249832107,2491.8773558630373,2495.746953089457,2499.343327659604,2502.6846368479737,2505.787909055318,2508.6690449784146,2511.3431888750356,2513.8244401092575,2516.1258668244545,2518.2598298659905,2520.237982781211,2522.071271819448,2523.7699359320195,2525.3435067722294,2526.8008331213987,2528.150403312359,2529.3997556186896,2530.5558761396574,2531.625383111995,2532.614526909915,2533.529190045099,2534.3748871667012,2535.156765061352,2535.8796026531504,2536.5478376521482,2537.1656965664897,2537.736698904513,2538.2640996027244,2538.7510031093757,2539.2003633844643,2539.614983899734,2539.997517638678,2540.350467096536,2540.6761842802894,2540.976870708673,2541.2545771249866,2541.5109344390553,2541.7473873713534,2541.965459488055
I,1.5786866500370467,2.0459340774342367,2.6205833534266665,3.315886406806997,4.144814643769349,5.120836137093154,6.258463752271283,7.573558250375772,9.083666035986932,10.8081945915304,12.768628562374095,14.988758044179573,17.49479492852328,20.315657449575024,23.483139654372636,27.031969223455512,31.000233071067292,35.429566167813256,40.365170838979665,45.855900475012525,51.95496448543352,58.71987535394475,66.21217622393334,74.49749462354927,83.64655001180957,93.73481402003627,104.841471412104,117.04939177292368,130.446330570924,145.12440776062533,161.17749229976639,178.7010193574232,197.79343474781132,218.5552959894988,241.08448891189695,265.4758244421912,291.82314529248174,320.2171883317299,350.7388942208663,383.4591249121313,418.4422430955525,455.74123846117806,495.39101510247076,537.4093133353489,581.8017575973666,628.5538457013353,677.6271112003344,728.9639786062664,782.4878088921708,838.0991216503103,895.6791483268439,955.0892424983648,1016.1712475799053,1078.7525501409884,1142.6461300315943,1207.652847841479,1273.5645467566237,1340.1672977123944,1407.2435953986983,1474.5750768180453,1541.9446561384696,1609.1413486269396,1675.9615600112234,1742.20796750218,1807.694170255383,1872.2486812499833,1935.7139072587456,1997.9428138232333,2058.8039942172336,2118.183286048734,2175.982011271815,2232.113699387547,2286.5073039171784,2339.1075884981337,2389.8731119320573,2438.7728619904965,2485.7883089131024,2530.9127607027654,2574.150111677846,2615.5118793342654,2655.018029258522,2692.695922972169,2728.5799616068007,2762.70909122318,2795.1271702057793,2825.881680772613,2855.023488777333,2882.605984714377,2908.6842831747886,2933.3150239141028,2956.5553375294835,2978.462842436342,2999.095088857621,3018.509496040164,3036.7629632220737,3053.9111692066904,3070.008572326269,3085.108335337978,3099.262244990352,3112.520878698698,3124.932962013616,3136.545318197539,3147.4028682247354,3157.5486559124092,3167.0241220066696,3175.8690149432377,3184.121224367695,3191.8167798179807,3198.989850724385,3205.6727464095557,3211.8961155386464,3217.6892311166516,3223.0796107980314,3228.0933319966507,3232.7550429017315,3237.087962477857,3241.113880464967,3244.8531588409855,3248.3251986345845,3251.5480854277002,3254.5385984547765,3257.3126134650347,3259.8851027224746,3262.270135005873,3264.4808756087855,3266.529586339545,3268.4276566970666,3270.186018942286,3271.8143988305173,3273.321814577687,3274.716810864631,3276.007458837101,3277.2013561057584,3278.305626746179,3279.326921298849,3280.2714167691693,3281.1448512377583,3281.9526973179645,3282.6995210505956,3283.389546294938,3284.026801758795,3284.615120998486,3285.158142418847,3285.65930927323,3286.1218696635033,3286.5488765400514,3286.9431877017755,3287.30746543052,3287.6438343765285,3287.954180359121,3288.240487158125
J,1.0422640144292799,1.2731579738296246,1.5536547630177568,1.891480106670479,2.2950386121989776,2.7736629882448387,3.337828902358061,3.9993226160536954,4.771449117819901,5.669189485224122,6.709434535465346,7.91119781801988,9.295803495912338,10.887223702962585,12.71239737255855,14.801337144774415,17.187636624296847,19.908875596767487,23.00696407380877,26.528314545841894,30.524623803239372,35.053331752759995,40.1779719322553,45.96832863129618,52.50161141699317,59.86283957286398,68.14500077914897,77.4491650772462,87.88592207198086,99.57569531244897,112.64799031611821,127.24140735499425,143.505208320432,161.59928296298517,181.6913588475393,203.95676052222146,228.58015920407644,255.7540883332926,285.673067577012,318.5330787156138,354.5340644443355,393.87450289174575,436.74284455066254,483.31739754365776,533.7702704547364,588.2549575843339,646.8984323706136,709.8057513167151,777.0554400944558,848.6902688175053,924.721008134152,1005.117807548229,1089.807489617832,1178.6807076069224,1271.584897895472,1368.3241447019745,1468.6669209910901,1572.3445298627646,1679.0507636664402,1788.4528561644065,1900.1940703804196,2013.897095314965,2129.169265933385,2245.608774315235,2362.810309858185,2480.3727923168976,2597.90129206993,2715.0092485289138,2831.325627230162,2946.502568456695,3060.2145786314986,3172.15400633763,3282.041246597122,3389.628789469079,3494.697669648854,3597.0503352461656,3696.519068618199,3792.9671478467467,3886.2858188427067,3976.3859880949867,4063.2032711692173,4146.697565891034,4226.852025130879,4303.664803982505,4377.151147787676,4447.342053799367,4514.283703534817,4578.034299829547,4638.660399296277,4696.238198598638,4750.850822622561,4802.588314764041,4851.545072323796,4897.818775003948,4941.51035883577,4982.7216582215415,5021.5554057900235,5058.114732427386,5092.501620955875,5124.81837436445,5155.165088368941,5183.639398035687,5210.336477781538,5235.34887966816,5258.766459374318,5280.677050049551,5301.165049417731,5320.311297485311,5338.19307654132,5354.88411115737,5370.454820658722,5384.973035459903,5398.503355049906,5411.107194464304,5422.842793123709,5433.765214833748,5443.926347785082,5453.374907596847,5462.157491996625,5470.318026586507,5477.897504614635,5484.934753303106,5491.466433847971,5497.52704141924,5503.14890516089,5508.362188190841,5513.194966554262,5517.674363414964,5521.8247166618985,5525.668621562832,5529.227493297181,5532.521566956022,5535.569897542093,5538.390359969778,5540.999649065128,5543.413279565847,5545.64568231392,5547.710748702549,5549.620074287012,5551.384375067241,5553.013879767486,5554.518329836306,5555.906979446566,5557.188595495452,5558.371457604458,5559.463358119387,5560.4716021103595,5561.403006366003,5562.262959809381,5563.056243253267,5563.787939631954
