Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,15.742215757127415,19.03767421827755,22.73666514865336,26.801895853742877,31.230489092497045,36.04193724966438,41.27042327929941,46.96158344434094,53.16928614863408,59.954924584575025,67.38719332427497,75.54106380179171,84.49869836759147,94.34896719882163,105.18883313615105,117.12367394114193,130.26569746603175,144.7345555066588,160.66067342754502,178.1850720352784,197.45260554480606,218.61451519415667,241.83459867374268,267.2882949299028,295.14702117898645,325.5804202595166,358.7685871738724,394.90096381133276,434.1472815364944,476.6547359867847,522.572012387593,572.0482082962437,625.1844797535505,682.025281866242,742.6000482130323,806.9212373483886,874.9101458086833,946.3957018866201,1021.177404327244,1099.0182028434085,1179.540245547057,1262.2672912314079,1346.700102591589,1432.2923636089286,1518.336023389882,1604.080442989752,1688.79106243411,1771.6730863985895,1851.8814071502843,1928.6057530136084,2001.0266533164245,2068.382367306759,2129.990841740353,2185.2052161982697,2233.4796870569426,2274.3782222876016,2307.552473976382,2332.7704709159884,2349.923445813257,2359.000897271983,2360.102090668779,2353.4184080288055,2339.221118774781,2317.8823464260818,2289.84024607847,2255.557165660939,2215.5286105198415,2170.3235824214494,2120.5200142390336,2066.6734960010394,2009.3335531848654,1949.0842681370689,1886.4781711804405,1822.017024418191,1756.1725240650946,1689.4261229596787,1622.2129353237592,1554.9130594174694,1487.864185090123,1421.3989722679976,1355.8092288457365,1291.3390206195315,1228.1881426970986,1166.54446212251,1106.5700620448529,1048.3920826743674,992.1038826356807,937.7755417676311,885.4695873695267,835.2253745685882,787.062142952566,740.9790412318459,696.9638281774903,654.9999686011346,615.0579452520096,577.0990723624682,541.0754960296483,506.93196118548025,474.6143573317361,444.06272474914186,415.21431273564696,388.0042067374245,362.36532834887123,338.22943209958595,315.5313649526653,294.2043429082111,274.18245340549885,255.40109387092846,237.7969717180245,221.30810434743574,205.87461032120933,191.43944740459887,177.946466842518,165.34172568011368,153.57353283798835,142.59244911220094,132.35128717426534,122.80511131485143,113.91121513679201,105.62922529504047,97.92075575885792,90.74926719619782,84.0800669737059,77.88030915672032,72.11899450927136,66.76697049408213,61.79688138495435,57.182619423837295,52.900636396184396,48.92886461102104,45.24630280025537,41.83301611867816,38.670136143962864,35.7398608766656,33.02545474022533,30.51124858096353,28.18255466050703,26.02545260488528,24.028582609831936,22.18138354561823,20.47368580993377,18.895711327886524,17.438073552002823,16.091777462227377,14.848219565923245,13.69918789787185,12.636862020272975,11.653815051526156,10.744933356890975,9.905903740793033,9.1314309150655
B,6.178718709088306,8.305095620361383,10.79682612390513,13.633268955878542,16.821254757045512,20.38572659463096,24.363939871885805,28.803188978507173,33.75854763763957,39.29254048805583,45.47523986557973,52.383632238465,60.102547806545296,68.72455839976612,78.3511705573013,89.09314919756476,101.0696159096166,114.40856419155541,129.24959773015468,145.74385878554705,164.04847351575148,184.32839416168702,206.76167106273516,231.53864634917105,258.84760731551586,288.87598155328953,321.8212520545866,357.8898690786185,397.2688753524867,440.1218921800448,486.6116695667346,536.8989521149713,591.0937292620323,649.2450605778848,711.3822387362261,777.5128150853783,847.5469294506629,921.2951790036277,998.5334496394706,1078.9959115645995,1162.2684830431588,1247.8330092515143,1335.146743908817,1423.6180810322187,1512.489706470447,1600.9633091865262,1688.2613688734482,1773.5491281165469,1855.9461950634013,1934.614401884127,2008.7137058512258,2077.4697436926335,2140.1957426086437,2196.247841965808,2245.0899898650105,2286.301297560178,2319.5548914527135,2344.6434075040574,2361.483762594562,2370.0938821770087,2370.602702523623,2363.2288997018086,2348.2691040252435,2326.1210260359485,2297.2455846590015,2262.123930924137,2221.2673546769347,2175.259420413052,2124.6892968558523,2070.1210654873894,2012.1104690822074,1951.2456524824906,1888.0813774726016,1823.120337289699,1756.8338794667318,1689.701583485355,1622.155996555803,1554.5743976218816,1487.2912967323928,1420.6353375849258,1354.8942307835864,1290.308226696633,1227.0735416962564,1165.3741843911687,1105.3684223527275,1047.1799931684877,990.8992632531196,936.5935501627291,884.322570704779,834.1232106710944,786.012579320862,739.9880336760262,696.0357239714431,654.1375746180051,614.2627909674897,576.3716141177249,540.4153212875713,506.33796216690763,474.08477198571677,443.5953070670508,414.80643372199154,387.6529435930127,362.0675536539797,337.9818879172946,315.3306951291959,294.04719456493376,274.06550450095585,255.32107228137636,237.75067431797657,221.29241609020406,205.88651859673226,191.47608298740695,178.0051364230605,165.41990269027906,153.66884752504973,142.70267861276074,132.47434558820072,122.93903980940411,114.05419412245814,105.77960583147103,98.07704802708251,90.91012634093745,84.24427894568548,78.04677655498129,72.28672242348424,66.93505234685911,61.964486316237156,57.349018111516735,53.065206055738514,49.09107364241902,45.4057007347881,41.98922356578911,38.82283473807877,35.88878322402715,33.17037436571793,30.651969874948072,28.31890449448054,26.157302405448977,24.15585688816578,22.30405065829093,20.591750618999015,19.00920786097918,17.547057662435215,16.19631948908547,14.948396994162913,13.795078018415088,12.728534590104134,11.741325006842864,10.82836478712334,9.985379381296841,9.207075653874773
C,35.50835385547934,40.717542855292706,46.476541504550944,52.77735012221538,59.6421535365776,67.11310291188907,75.24595943354188,84.10749199003517,93.77296995118706,104.32563300105413,115.85647878268027,128.46388567203647,142.25388055288278,157.3390765727425,173.84122608233872,191.89141072558633,211.6258669429822,233.18695368060202,256.7279269848188,282.412266835486,310.4016032360928,340.8593232601933,373.95958284786735,409.88560673557555,448.8043247502813,490.8700122606854,536.242236444663,585.0840567033557,637.5190726129664,693.6289991960882,753.4887610649934,817.1650361792811,884.6512046483573,955.8596180748287,1030.68078747788,1108.9813231512956,1190.5129868873441,1274.9187451438459,1361.8166175493932,1450.7919329997712,1541.2801622698967,1632.626470975018,1724.1761093039063,1815.2479484964897,1905.0175095658092,1992.6512985694171,2077.3668229347704,2158.3562980288257,2234.798867411799,2305.9427472308184,2371.066795487321,2429.534696354189,2480.8114321576163,2524.426776217452,2560.023242810522,2587.3567880850196,2606.2848892429342,2616.7752760603407,2618.901860187823,2612.834383855626,2598.842085781267,2577.260670625545,2548.484418137368,2512.9985740424913,2471.332807029772,2424.017719619908,2371.598179756881,2314.681357531618,2253.866061203272,2189.716323693817,2122.7792425121934,2053.6248197298587,1982.7844989849511,1910.7352685852097,1837.9196501356846,1764.7830181989757,1691.7234279810632,1619.0852002476133,1547.1705808554668,1476.2736969907535,1406.6492942181198,1338.507608263076,1272.0175138925572,1207.3354874708086,1144.5936004891062,1083.8921935499955,1025.3009787548453,968.8684021701558,914.6356305451156,862.6230892552996,812.8333802111351,765.2513040618393,719.8516032621893,676.605315025162,635.472196083465,596.4041564669043,559.3452598426809,524.233302131985,491.00749514611016,459.6022498116302,429.94986096798596,401.9810648748822,375.6250392122874,350.8103018826363,327.46862542117253,305.53076712939156,284.92860552164535,265.5955296666149,247.46643918731004,230.47774426106943,214.5680979282877,199.67917988124492,185.75381831791407,172.73708820293578,160.5763523031074,149.2212611873839,138.62375322687635,128.73805435675663,119.52070001247998,110.93071763352857,102.92914997708729,95.47888603146454,88.54466101609215,82.09305638152553,76.09249980944345,70.51326521264865,65.32742676140322,60.50841137575594,56.03225881099322,51.87647898501451,48.01964980176338,44.44141715122736,41.12249490943803,38.044664938470916,35.19077708644576,32.54474918752618,30.09148481675486,27.816722504920413,25.708816395994653,23.75691853716794,21.9505718409653,20.279710085246382,18.7346579132055,17.306130833371625,15.985235219608349,14.763468311113941,13.632718212421286,12.585266051378056,11.6158292122137,10.71995951002625,9.89214979859496
D,152.69601232821674,179.57259299469055,209.36529679949066,241.91369375880524,277.26277286990927,315.59062701350507,357.1627095127486,402.312698576963,451.4234531327781,504.92271190077344,563.2812153832833,627.0070946877272,696.6497786910501,772.7946965149137,856.0734064842213,947.1649948888793,1046.7789527204498,1155.6582593757248,1274.6021324921994,1404.4632237391875,1546.091276147853,1700.3497958183432,1868.159300465963,2050.4893695883848,2248.237479738414,2462.2457112760526,2693.3874865642238,2942.5589646998706,3210.470562015063,3497.6335299719967,3804.530510621779,4131.608367342986,4478.957634306736,4846.271226350456,5233.133539097969,5639.00977021849,6062.79059709621,6502.816096456441,6957.288460018801,7424.232014389364,7900.89722219887,8384.051308669626,8870.429693548127,9356.600349232107,9838.357463088105,10311.401239059287,10771.646468027719,11214.825884619473,11636.550325266335,12032.73884875617,12399.41222440563,12732.991042381527,13030.388783475932,13288.81372963475,13506.04291427679,13680.438369343627,13810.872891138382,13896.805879601765,13938.279171460272,13935.844729301967,13890.596629731574,13804.023876751355,13677.963560807451,13514.754887700396,13317.014456208843,13087.411886960786,12828.73273600311,12544.119892786675,12236.711420002455,11909.492339351187,11565.385660346894,11207.466051290761,10838.623941182654,10461.473565688293,10078.46018812768,9692.064784484297,9304.522721413585,8917.78291535794,8533.57191271881,8153.584258230888,7779.303089539352,7411.9661239152865,7052.5832433128035,6702.101251334913,6361.334685532696,6030.918457674641,5711.313651351312,5402.861331390952,5105.864641741805,4820.507670587432,4546.870015342962,4284.926907327677,4034.5946546086134,3795.7691654297887,3568.2789345465185,3351.903896456543,3146.3754273625445,2951.385779552987,2766.634863268722,2591.7926750289757,2426.513765956639,2270.4405007278365,2123.20305757193,1984.4249905244944,1853.7480026722906,1730.8054623572261,1615.234746342041,1506.6796043515628,1404.7901590727083,1309.2229061544795,1219.6456593557389,1135.7431796849155,1057.2045608352053,983.7304289798001,915.0332162122872,850.8371605466539,790.8783059172783,734.9045035927685,682.6765344836343,633.9686549137026,588.5654028806479,546.2612851241365,506.86077712582727,470.1783231093694,436.03833604040375,404.27519762656533,374.73303260562864,347.263780378781,321.7336197792781,298.01667661456116,275.9929544392964,255.54833455537488,236.5745760119124,218.96931560524945,202.6360678789523,187.48422512381148,173.42860686473358,160.38885258689737,148.29938006337193,137.0990183419606,126.7287291166173,117.13160672744652,108.2528781607034,100.03990304879355,92.44217367027326,85.41131494984927,78.90108445837903,72.86738524932865,67.28042430352612,62.11522301535574,57.34038562302895
E,13.680236728123276,16.12861849281737,18.956720444267226,22.163056365425735,25.76718593378391,29.802915467591834,34.314229111221174,39.35381910980153,44.98167768179508,51.26502283178181,58.278554964833546,66.10432865004934,74.83240527067503,84.56079494520401,95.39704354030893,107.45851818483725,120.87107083958702,135.76982570807758,152.30214944733504,170.6275283776892,190.91146293650576,213.32757777773233,238.06329931059668,265.31898411288205,295.29264981019827,328.1814586515556,364.1933624198055,403.5459570499114,446.4367389721309,493.03918966151036,543.526539112254,598.0705786525475,656.7908806370399,719.7444751752722,786.9686541814698,858.4788585934782,934.1898884151444,1013.9136825371417,1097.4260103636789,1184.458994760132,1274.5899067020034,1367.2863739923484,1461.9878414789744,1558.0800528076375,1654.7725290491717,1751.2273303074257,1846.6228906701067,1940.0723009746303,2030.6348478476007,2117.4080361150263,2199.480715751434,2276.0053930297377,2346.22196128097,2409.410284695224,2464.9609201413423,2512.384464715047,2551.288166364513,2581.4064976160303,2602.60835278509,2614.870665339378,2618.2906495755637,2613.0666407650833,2599.485039580181,2577.943162139146,2548.9115172674187,2512.888705062748,2470.411071540882,2422.09638287394,2368.573916697185,2310.4504428523474,2248.327736301927,2182.8468398471095,2114.615889225112,2044.1888959685032,1972.0882214505373,1898.848246254892,1824.9535907890208,1750.8291830404833,1676.8540542861224,1603.4027063381964,1530.8052252269708,1459.3391357796954,1389.2332289186252,1320.7036322326353,1253.9383718522581,1189.0864748333588,1126.2592026657978,1065.5418484507925,1007.0117110316554,950.7200524800683,896.6952034244564,844.9425902961292,795.45467731864,748.2193291192181,703.2094727874161,660.3872274630875,619.7039047662099,581.1020617421955,544.5256203502541,509.91167665112664,477.1937258735386,446.3023755837754,417.1653456856824,389.70866613625964,363.8619429317644,339.55266404735886,316.7089677233279,295.2601572502622,275.1367009690585,256.2702322709188,238.59458931281955,222.04691939635111,206.56508189727035,192.0892506196518,178.56197252448942,165.92816772969795,154.13512951011094,143.13252454500392,132.87258195356247,123.31015774283398,114.40217678841135,106.10758141175889,98.38733138021261,91.20440390698002,84.52379365114004,78.3125127176438,72.53954203499279,67.17537045208503,62.193339124485675,57.56840241921618,53.27669827289895,49.295548191757064,45.603457251614394,42.18011409789556,39.006390945626116,36.06434357943227,33.33711880508798,30.80879638046341,28.466407170327308,26.297869801947396,24.291530294576425,22.436162059452208,20.720965899797637,19.135570010820654,17.670029979714247,16.314828785656484,15.060876799810462,13.899514301347784,12.824894391246975,11.83212061752682,10.915043147693758
F,24.414634475649656,30.149140614308255,36.61674658421668,43.75672993315742,51.56741110055231,60.08528843964979,69.37175495644,79.50751092038563,90.58694490741325,102.71686913898851,116.01601642153031,130.6130991790445,146.6482833806651,164.27207882615028,183.64733780701928,204.94970639194318,228.3644389174024,254.0868932697913,282.3278179068997,313.3128343207715,347.2697890058747,384.43244542300016,425.05062286391995,469.38838237387887,517.6954655239599,570.2107008783653,627.1826114486813,688.8673423040644,755.4776612388413,827.1785108918085,904.1282970052122,986.4770640940452,1074.2857114406702,1167.5137161770815,1266.0908667882602,1369.9144644368807,1478.731770163551,1592.143552178239,1709.7096219840516,1830.938467158885,1955.130165558589,2081.4501378379664,2209.0484952863417,2337.024341618285,2464.2623720204415,2589.6142494332325,2711.9832070373486,2830.216334777266,2943.120983850351,3049.5828989806614,3148.5088143234316,3238.9105861310304,3319.931694480505,3390.7910813613375,3450.8612591553506,3499.673904747564,3536.897183004649,3562.3595638682064,3576.050357138036,3578.096740913666,3568.7734496824623,3548.465109930586,3517.65261548889,3476.952266648953,3427.05689444115,3368.675455449595,3302.549277690506,3229.5154732385786,3150.4106289376823,3066.030488168085,2977.154201332028,2884.601332458087,2789.141825340735,2691.4713106493923,2592.239844183116,2492.1065274380376,2391.6643952384707,2291.429677102098,2191.858941781783,2093.399709433172,1996.4428485467506,1901.3138568554843,1808.2775486169412,1717.5816706579244,1629.4385497923129,1544.013035247706,1461.4240778754536,1381.758909049996,1305.0944344662078,1231.4762120502764,1160.9225325308612,1093.4244526307064,1028.9576336866608,967.4921831381699,908.9807040175727,853.3633750941475,800.5679513900574,750.5121942142731,703.1157803019016,658.2906674482426,615.9450592939709,575.9842560150895,538.3106543229314,502.825149468614,469.4332762283648,438.0385447298046,408.5457169260388,380.861411045655,354.89410159272416,330.5541193467992,307.7548343933912,286.4139227595293,266.45037057637677,247.78626820462796,230.34687672315818,214.06062792902483,198.85912433746574,184.67713915813863,171.4527514380781,159.12752571618506,147.6458063184353,136.95455828763335,127.0033673834127,117.74444008223544,109.13260357739242,101.1253057790039,93.68255125598698,86.7662884051199,80.34217522123555,74.3779605604077,68.84292003769842,63.70785602715795,58.94509766182488,54.52850083372596,50.43344819387648,46.6368491522798,43.117021460493845,39.85348334813926,36.8295282308918,34.02959265971574,31.43866835774155,29.042302220265974,26.82659631475193,24.778207880828624,22.884349330291432,21.132788247101985,19.511847387388116,18.01040784980252,16.620911295096395,15.33701017929571,14.150788743123707
G,5.442716044585087,6.906360452276728,8.59456378460587,10.4993604688385,12.628775773248393,15.001561738390102,17.64398195970881,20.588609153850804,23.873153689890582,27.540377138644207,31.638301567447808,36.21997380777236,41.344138578310414,47.07543560278654,53.48526280585385,60.652040784888875,68.661160477239,77.60559001245169,87.58764291589874,98.71909972804015,111.11886169438961,124.9143859130952,140.2449422639389,157.2613380918598,176.1189754340059,196.97885512452902,220.0141330745639,245.40965639785094,273.3467750025306,304.00099147632136,337.55514267972916,374.1988120443078,414.09947599186836,457.3951404090966,504.2181794614318,554.6938958019209,608.8906359546237,666.8145297073055,728.4479634523359,793.743933640882,862.5475995915472,934.6190964709685,1009.6842709572967,1087.4151141175362,1167.3324868895484,1248.8916857962276,1331.527947575793,1414.5895519947417,1497.3397432424738,1579.02921974646,1658.8501235230858,1736.0026713706436,1809.7185035442844,1879.212450567491,1943.7581146166171,2002.7061307373647,2055.4509607148966,2101.484713286206,2140.4205217929098,2171.9512569494705,2195.872034415542,2212.095292611821,2220.634795141475,2221.6037768035185,2215.2102731783293,2201.728709820109,2181.4989416782473,2154.946551891818,2122.5426748123045,2084.76837617817,2042.1249128911654,1995.1722683206192,1944.4618436642397,1890.511559142362,1833.82546203396,1774.936545282319,1714.3415846145656,1652.4863026675373,1589.7790669926428,1526.6353465963355,1463.431667938057,1400.4924580446636,1338.0941156355611,1276.505852709235,1215.9714881761834,1156.6925880222987,1098.829486274869,1042.5150817155275,987.8770783279216,935.0139364199384,883.9968292831923,834.8696728489754,787.6613971120269,742.3970674353118,699.0831966739694,657.7119092758097,618.2609417874709,580.6962715482765,544.9856224928158,511.08760013365884,478.9547331737138,448.5343375492664,419.7685164299809,392.59579424827456,366.95862271292134,342.7955156473643,320.0442630159109,298.6426052889277,278.5282334428404,259.63878896013296,241.91348947127685,225.2950302998053,209.72552108049413,195.14885837178724,181.5108153745854,168.75904193224784,156.84306453058988,145.71428812707666,135.32675133643977,125.63688609794777,116.60267246771278,108.18395809430505,100.34245821875318,93.04175567454364,86.24730088762128,79.9264118763895,74.04823976191761,68.58356523080208,63.505859627895454,58.79009029233492,54.41237211275941,50.34996752730963,46.581286523628066,43.085886638858874,39.8444729596482,36.83889812214383,34.05207268029309,31.467909208753486,29.073367915677387,26.856276242200074,24.80486123619847,22.907749552291097,21.15396745183816,19.53294080294145,18.034495080444405,16.648855365932086,15.366646347731166,14.178895216315064,13.079776491343997,12.064487687864531,11.12672539247635
H,5.185480289379822,6.7763447921336715,8.620552687237645,10.70907047305919,13.049576792405764,15.660799282765034,18.569018476342265,21.806698700707386,25.41113456146279,29.424244883211177,33.892603500017664,38.86710118580717,44.40341615653348,50.561832225781224,57.408112258950396,65.01366967751436,73.45459580020946,82.81200878020572,93.17392920776788,104.63515146871713,117.29302751916391,131.24876892005489,146.6110783653734,163.4955408002075,182.01447600978773,202.27794917500495,224.4012760006654,248.5042708640861,274.6921297208957,303.05319151906195,333.6742977898541,366.64007312429015,402.001237082464,439.76875373321553,479.9413128638245,522.5041446521421,567.3810647260908,614.4342458342738,663.5062658675823,714.4157604826391,766.8910583001857,820.5990050029134,875.1948564272354,930.3071240607082,985.4658200317007,1040.1797182187545,1093.9738825433594,1146.3418236193897,1196.7523131223738,1244.702511237643,1289.6911396852615,1331.2584453709776,1368.9990570006657,1402.5349745830415,1431.5539127051884,1455.8133190174058,1475.1278099573294,1489.3838357725938,1498.5421906331128,1502.6244057636832,1501.7186051861665,1495.9662577677866,1485.555178960887,1470.7340312498065,1451.7891406681024,1429.0183836180443,1402.7373357320266,1373.30534782033,1341.0848265062912,1306.4225521344952,1269.6599770565774,1231.1584081380774,1191.2586797540282,1150.2696584353414,1108.4810049502062,1066.1876980703626,1023.6559173033567,981.1178779420669,938.7795604170332,896.8436695167904,855.4878138679782,814.8603211636665,775.0823648703737,736.2678392553963,698.514919216201,661.900375208473,626.4802788749307,592.2964708609045,559.3863331945529,527.7730818519623,497.46757648007673,468.4683354770317,440.7669362155211,414.35250316788813,389.2061955490235,365.30350421552725,342.6142519006275,321.1036987512125,300.7379600858369,281.47960431821537,263.28944271691887,246.1269159771083,229.9500942205343,214.71631223084418,200.38494635633555,186.9143895498548,174.26354002821265,162.39207543426107,151.26045283689365,140.82990873104524,131.06299122959769,121.92411995524654,113.37824416634902,105.39166037234811,97.93204239327653,90.96844135975726,84.47128571300264,78.41238119699368,72.76496786017996,67.50379112962963,62.604802268995144,58.04509195010232,53.80289025295024,49.857566665711275,46.189630084730965,42.78072881452848,39.61362218766721,36.67190468796404,33.94078489248676,31.406380022916768,29.055467617203536,26.875485529564543,24.85453193048528,22.981365306719262,21.245404461288132,19.63672851348146,18.146025357455038,16.764501775148297,15.485004613147257,14.300874060422622,13.20568760378235,12.193260027871622,11.25764341517288,10.393127146005813,9.59423789852734,8.85573964873163,8.172633670450098,7.540159916363889,6.955105209913,6.414781118669491,5.915812685829812
I,12.143513945980036,15.064130627773023,18.385469691413256,22.083787385478928,26.16392115110216,30.649150860717384,35.57483396770651,40.98578064664882,46.93363733442585,53.476322445597134,60.67780128176525,68.60731513540505,77.33995859051825,86.95600924427843,97.5422891785656,109.19236478015051,122.00434966385214,136.08137566874856,151.53465461957438,168.48313465526212,187.04613642601362,207.34568222067367,229.5123364653174,253.68418961125548,279.99092633876114,308.5561725457456,339.50926796854094,372.9841682451263,409.09176925149916,447.91811437963366,489.5475701584466,534.0619142317998,581.4970587556645,631.8370852368084,685.0535331868007,741.1039396122643,799.868771367785,861.1535386739082,924.7451525428593,990.4061497806114,1057.789463709037,1126.4770177287642,1196.0424565428673,1266.0313290548233,1335.8707697126686,1404.9654940860287,1472.7425671731196,1538.5916852564087,1601.8721275262237,1661.9770876127027,1718.3001938856087,1770.2832452884074,1817.4315882469962,1859.2811342824739,1895.4451921833997,1925.6198433671643,1949.5685028925184,1967.1412497681144,1978.278843194906,1982.9959184671854,1981.3890761491311,1973.6224268491655,1959.9189259179252,1940.5779306710401,1915.9479587748142,1886.3948678225765,1852.309088287314,1814.137735629763,1772.33460624777,1727.3362282829169,1679.5745445218042,1629.509011111912,1577.575020188913,1524.1687428399573,1469.663339070618,1414.440625149058,1358.846596596496,1303.1842257112658,1247.723443551141,1192.7312069335755,1138.442573303454,1085.0546941991895,1032.7295932987215,981.6204513113797,931.8603774853141,883.554312511993,836.7799125859547,791.5961666521267,748.0565980247416,706.1959494485146,666.0323671790318,627.5674207700873,590.7933998426129,555.6995056963201,522.2641440287742,490.45789626157807,460.2435198542615,431.5774596155969,404.4173405890604,378.7159062778929,354.42330533215977,331.48761263052654,309.8548292802594,289.46976920280673,270.27998932784897,252.23155789425707,235.27104187352364,219.34588504873392,204.4044080145652,190.39580817728714,177.2709388266457,164.9831628896199,153.4863861295624,142.73622712071608,132.69006083082365,123.30701862112855,114.54798824637359,106.37561407958857,98.754458358227,91.65105380832043,85.03345944361723,78.8712264273095,73.13539807203308,67.79850983986753,62.834589342335995,58.21915634040575,53.9291875655379,49.94279422945681,46.24020375522593,42.80283456508266,39.61298129132202,36.65381477629673,33.909382072417074,31.364606442151036,29.00528735802434,26.81810050262025,24.790529729889865,22.910758761955876,21.169161040813595,19.55676668233059,18.06492216641659,16.685290337023513,15.40985040214547,14.230897933818751,13.141044868121824,12.13321950517534,11.200666509142133,10.336948784221342,9.53772433285442,8.799358275524305,8.117279867884388
J,6.428756077455874,7.835205154604017,9.469995636719052,11.34903744308868,13.497076718075093,15.945672622970122,18.732166355195876,21.899523184206597,25.496281398006765,29.576869099261085,34.20218707518851,39.440052990977335,45.36577460747212,52.06275812374782,59.623907297336594,68.15194672408361,77.75960041142571,88.57078226999874,100.72275334231394,114.36639617409256,129.66432903027973,146.79291801958735,165.946180903181,187.3356529351347,211.18372562371718,237.72514752920142,267.21480838177274,299.9273837414049,336.1412759884034,376.1361653938504,420.2084790483562,468.6708614610691,521.8193418775238,579.9242445171486,643.258095514569,712.0939348260746,786.6444739808169,867.053414856619,953.4410179349196,1045.8965544291668,1144.3754148470168,1248.7226229854366,1358.7347515207427,1474.1322378214854,1594.4205010319783,1718.996493133794,1847.2074081884284,1978.2509578890085,2111.166948787825,2244.936394882193,2378.4031745540565,2510.3706539678556,2639.636277617639,2764.906026261213,2884.9175141056267,2998.476223895284,3104.385410780253,3201.557934434302,3289.073280744292,3366.090202813616,3431.8940941941696,3485.971620165046,3527.982271815391,3557.7161894061937,3575.1404807644476,3580.3843808037327,3573.720568300404,3555.559924867034,3526.439913796389,3486.967193960381,3437.821232045486,3379.808358795469,3313.7631351928762,3240.501264265024,3160.846251390375,3075.7005408951827,2985.931624795337,2892.337059848737,2795.6672316485565,2696.708243747793,2596.1915825946717,2494.7603101800632,2392.976520655714,2291.4024679760605,2190.563992134857,2090.9070866564193,1992.799053067354,1896.557101217064,1802.497779366717,1710.880553070013,1621.907864984758,1535.725190946126,1452.448244797232,1372.1898211592413,1295.0226828624232,1220.9864857518303,1150.0877797479789,1082.3060907331767,1017.6266675497998,956.0144344724323,897.4181460058873,841.7722546221079,788.9969107601685,739.0019944338643,691.7065858209775,647.0192398254652,604.8442261335243,565.0831095339469,527.6347499181187,492.3953022800192,459.2627059823609,428.1425603135863,398.9366206384348,371.5487320177445,345.88506800792607,321.8541306609639,299.36675052441353,278.3360942306592,258.68067860205934,240.32334565613846,223.18853494906705,207.20376086398633,192.29961261100885,178.40975422721755,165.47092457666608,153.42293735038,142.20866269373215,131.774572801385,122.07187614823718,113.05420708202789,104.67720863634618,96.89853253063117,89.67783917017184,82.976797646107,76.75908573542566,70.99038990096659,65.63825745339501,60.672455815547806,56.06874069373927,51.804382880012604,47.85729375527237,44.206025289284554,40.829770040676564,37.70836115693721,34.822272374416706,32.15261801832668,29.68115300274011,27.390279460855933,25.269343858051897,23.30983856450262,21.49964624399523
