FIP,County,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
13001,"Appling County, Georgia",18785.64909496381,18779.69548578372,18773.02688547903,18765.622685294275,18757.443396780694,18748.437626038558,18738.546295978755,18727.70398579094,18715.840635834393,18702.88122650466,18688.74635682267,18673.352060724774,18656.609519418053,18638.425011344872,18618.699632701693,18597.329447963548,18574.205164434792,18549.21154890965,18522.22707423894,18493.12491029559,18461.77477549278,18428.039427278858,18391.774426876393,18352.828139282126,18311.043275217056,18266.26218242699,18218.321661112015,18167.05197232485,18112.276878716737,18053.814024996314,17991.484334420686,17925.111179603682,17854.512956971557,17779.502916980204,17699.889167530764,17615.484607078008,17526.122751007035,17431.639447924983,17331.87060540589,17226.652189990724,17115.823278224976,16999.258612399073,16876.859009852964,16748.532180661292,16614.192540140295,16473.761324962896,16327.195412355195,16174.515764896536,16015.760796304385,15850.98223140682,15680.245106142533,15503.64156960643,15321.352536748027,15133.594801793837,14940.598079278272,14742.605168180093,14539.87772200651,14332.763596620962,14121.66275137428,13906.977923265806,13689.114390488818,13468.482191621488,13245.554030250247,13020.854522375816,12794.893426587158,12568.163463726944,12341.14101598867,12114.331331422369,11888.275971459983,11663.483409572777,11440.425464216234,11219.537320701,11001.247017020762,10786.000315718757,10574.1999133844,10366.202294839975,10162.317733140622,9962.8211008967,9767.990413993582,9578.062945454742,9393.234434340862,9213.660081160375,9039.4545623645,8870.715300353899,8707.51470643447,8549.886499727787,8397.842881368408,8251.374534503886,8110.4506242947855,7975.022011095243,7845.012858417964,7720.324245288106,7600.8530030175625,7486.492040500645,7377.1303389770255,7272.643355434567,7172.876925568642,7077.676995717862,6986.895979320261,6900.392756913297,6818.032052747263,6739.661158611035,6665.112001992761,6594.226583789322,6526.856941310994,6462.865148281456,6402.121175774968,6344.478274935358,6289.786878926211,6237.908377949548,6188.714511562817,6142.0873686788955,6097.917088814252,6056.080449916913,6016.455511032121,5978.929943730235,5943.40020530723,5909.771538784693,5877.9572687642085,5847.863670084975,5819.395587711573,5792.465733447685,5766.993632221879,5742.905622087612,5720.134854223226,5698.616788719055,5678.279364888462,5659.056300161405,5640.886348108386,5623.713181594508,5607.48539277945,5592.156493117491,5577.680667590765,5564.007179867441,5551.090050774334,5538.886719641631,5527.358012909246,5516.468144126823,5506.184713953728,5496.478058335739,5487.314448714767,5478.661476702251,5470.489583908471,5462.771468114332,5455.48208327136,5448.598639501705,5442.100603098137,5435.969239230551,5430.18154773399,5424.717266228157,5419.558523751629
13003,"Atkinson County, Georgia",8329.089530309906,8324.387023977955,8319.238905519172,8313.643921909903,8307.58757079128,8301.046859727809,8293.993350810128,8286.394316263722,8278.214132931433,8269.414250518079,8259.953818761636,8249.789703167105,8238.876389208162,8227.166178784953,8214.60907151472,8201.152910269506,8186.743373192116,8171.323697156844,8154.834472448766,8137.214406456112,8118.40166394374,8098.331766327138,8076.937449220385,8054.148662436142,8029.893704944407,8004.102955208126,7976.705359163185,7947.627988968932,7916.796076808003,7884.133330206254,7849.56793388951,7813.031817946886,7774.456193960903,7733.7714592691045,7690.9071991186975,7645.79818354676,7598.393384100719,7548.644832713509,7496.506372040472,7441.9336554593765,7384.885828090777,7325.343108014254,7263.300600337761,7198.75755971307,7131.717290303909,7062.187204688017,6990.19326354781,6915.793134475956,6839.051675939718,6760.038796982266,6678.829457222678,6595.510074799149,6510.2060561343615,6423.055681384379,6334.19945430837,6243.780184025268,6151.945529352808,6058.876192667085,5964.769309564493,5869.818023040443,5774.211489619306,5678.1358410184885,5581.797050270712,5485.414432784475,5389.196107782362,5293.338562241098,5198.0269531041395,5103.4520414769795,5009.81057775887,4917.282844979089,4826.0323410367355,4736.2057880715165,4647.943485456327,4561.385211195842,4476.65288774312,4393.851458830515,4313.068889469665,4234.379656719776,4157.854090020457,4083.5459361676612,4011.4963261419866,3941.7342072904803,3874.2763480219173,3809.13294879265,3746.3003394243237,3685.7631030028474,3627.5014998133397,3571.491467340117,3517.704620266708,3466.1064044518916,3416.6478390902694,3369.2757655398545,3323.9377875143923,3280.5822757630663,3239.158355421307,3199.61011224573,3161.8707146123934,3125.875230630342,3091.562216479694,3058.8737164116433,3027.754983884767,2998.1448544698965,2969.9773130183676,2943.1907333542395,2917.727562009871,2893.5343182259203,2870.56077928693,2848.7509584683467,2828.048431141112,2808.400890343568,2789.759864371547,2772.080716778382,2755.321835265188,2739.4372189694295,2724.3816436822885,2710.1133319894775,2696.59364349659,2683.787074829109,2671.6610199433585,2660.18067952186,2649.3110098786424,2639.0197392236605,2629.2769913491206,2620.055285629481,2611.3295370214546,2603.075562105759,2595.266852186335,2587.8789485250495,2580.889155432464,2574.2765010830935,2568.0217375154084,2562.107340631832,2556.516113329529,2551.229360534617,2546.23004757568,2541.5023407220297,2537.0315967878555,2532.804363132223,2528.8083776590734,2525.032354028334,2521.463747518586,2518.090524341987,2514.901645979633,2511.8868720173,2509.036760145438,2506.34266615918,2503.796743958334,2501.3917944478353,2499.119259693574,2496.9715297959965,2494.9418269677712
13005,"Bacon County, Georgia",11290.567952528692,11285.749309182695,11280.442965113221,11274.642811702013,11268.329001260381,11261.472954110292,11254.040488479046,11245.992926719327,11237.288454946303,11227.881999073168,11217.725771358095,11206.769215588782,11194.95884211603,11182.238319163915,11168.548308515084,11153.826556868431,11138.007768543994,11121.02326086596,11102.800738409947,11083.264953480913,11062.33895189337,11039.94183975814,11015.988632864035,10990.390256677845,10963.054572195433,10933.889851392043,10902.801386263181,10869.690894661057,10834.456548303293,10796.993228451709,10757.198512376026,10714.972082707629,10670.211032665573,10622.809759966593,10572.659968977427,10519.656893646485,10463.709101362847,10404.726960201455,10342.621222115251,10277.303022935203,10208.685751384419,10136.704964402232,10061.312288785333,9982.463542366375,9900.118615795107,9814.241542620028,9724.817877562627,9631.871619396652,9535.43678699953,9435.55489352835,9332.274946419862,9225.661666713699,9115.83195307027,9002.9230472239,8887.07887356936,8768.450138288925,8647.197741534863,8523.532223230544,8397.69327618316,8269.920976546297,8140.4556745726695,8009.5393053537455,7877.449018049376,7744.490416341959,7610.959318026144,7477.140602386278,7343.30862307013,7209.753252939646,7076.783600797683,6944.68894687737,6813.736945733644,6684.173639121,6556.240265491462,6430.186748596943,6306.238003599222,6184.592622089778,6065.422872089766,5948.880777809542,5835.119030980517,5724.2666795291,5616.429684793165,5511.691507868852,5410.113117765134,5311.745592780249,5216.624503165463,5124.763820296204,5036.166043205148,4950.822198582201,4868.7118407745165,4789.804113214935,4714.051539845581,4641.394390389856,4571.771010056003,4505.117977021082,4441.370096668964,4380.454277343229,4322.280227127505,4266.758102819905,4213.801990795847,4163.329907008059,4115.263424693466,4069.513956240287,4025.984136988621,3984.582518405505,3945.2234762050603,3907.8272103484856,3872.318502643474,3838.61248791565,3806.622739458336,3776.2691387699865,3747.477512822106,3720.179634059253,3694.3118996281714,3669.8030483535927,3646.5825786265505,3624.585502658935,3603.7518691538944,3584.02676330584,3565.359903928287,3547.696988802988,3530.9829137475867,3515.1670875021446,3500.2028282494434,3486.0473636149836,3472.6618306669866,3460.008701752131,3448.046163691993,3436.7357205611565,3426.041773008807,3415.931551517667,3406.3751164039945,3397.3453578175877,3388.8155667944434,3380.756229028884,3373.1405647980077,3365.9437672124513,3359.142984272855,3352.7173188698703,3346.6478287841583,3340.9171530763565,3335.505610268849,3330.394281716807,3325.5658955129056,3321.0044867749975,3316.6953976461214,3312.625277294495,3308.7820819135204,3305.154811193194,3301.7300137875854,3298.4958231467226,3295.4417575640614
13007,"Baker County, Georgia",2884.811736243588,2867.0696980099115,2848.2641150399804,2828.6123571372395,2808.254767092864,2787.2831449890987,2765.7603530884317,2743.7296153508078,2721.2245223018213,2698.2706510858757,2674.890778081412,2651.1059636351547,2626.9354756699545,2602.3991469853077,2577.517083052523,2552.3096045711595,2526.797902085905,2501.003407885822,2474.947348964721,2448.6519361882965,2422.1426561580047,2395.4438962996646,2368.578650943526,2341.5685213242687,2314.4354671405267,2287.206163386073,2259.905722122525,2232.557625788962,2205.1837924844663,2177.8049845009864,2150.4445626600727,2123.1263241219895,2095.8718503500413,2068.700472970492,2041.6292752956156,2014.6760104271139,1987.8612506093168,1961.2033130914429,1934.7184026249402,1908.4206114634928,1882.322478767353,1856.4390547949952,1830.785053788307,1805.3732430231748,1780.2145144070462,1755.317899636525,1730.6931720872758,1706.3518476471181,1682.3038406442724,1658.5576295728288,1635.1202570927537,1611.9982218190517,1589.2002550549028,1566.7343089096732,1544.607229146793,1522.8247843184274,1501.3919529671061,1480.3153506124843,1459.6015149461334,1439.2560627899395,1419.2837787843534,1399.6887055256757,1380.475733718721,1361.6498340857859,1343.2151690575151,1325.17519974261,1307.5327080803077,1290.2906667215786,1273.451868894173,1257.018364152727,1240.9916101454396,1225.3724731672748,1210.1615530935858,1195.3588306470176,1180.96356489586,1166.9746013401586,1153.3903719117181,1140.2089483332118,1127.4274307021428,1115.0418849115085,1103.0482456882312,1091.4423467230306,1080.2199208702016,1069.3763309058747,1058.9048799673556,1048.7984344218473,1039.05020366666,1029.6537401292114,1020.602939267026,1011.891234384091,1003.5095922442384,995.4492961584723,987.7020817396863,980.2601147072075,973.1159876657324,966.2616458272049,959.6876207972881,953.3848853265561,947.3449343533237,941.5597850036469,936.0219350580071,930.7229898388911,925.6539338399066,920.8063274609934,916.1722355591623,911.7442274484955,907.5152687603169,903.477534502911,899.6231180594876,895.9446160203328,892.43508920348,889.0880626547113,885.8974218014587,882.856454895323,879.9585194164885,877.1974043849422,874.5672919696158,872.0627574883852,869.6787387561125,867.4098727575936,865.2507401670217,863.196284509826,861.2417678762125,859.382770921164,857.6151928644405,855.9350530543326,854.3380477168937,852.820144996387,851.3775638380973,850.0067689646733,848.7044708761266,847.4676258498324,846.293242020716,845.1781121562317,844.1192644889561,843.1139112744515,842.1594473950538,841.2534503598743,840.3936803047978,839.5780488996421,838.8042863497575,838.0701934415814,837.3737296660505,836.7129862604501,836.0861862084132,835.4916842399217,834.9279668313047,834.3936277501188,833.887044313696,833.4067528366622,832.9514294391067
13009,"Baldwin County, Georgia",45517.44964577907,45504.56763913366,45489.85697315269,45473.13795738589,45454.21496177643,45432.88403126543,45408.93597465855,45382.155712055566,45352.32209734175,45319.20620501898,45282.57010378481,45242.1656921824,45197.734345352,45149.00503488504,45095.69364925797,45037.50463347621,44974.1293538994,44905.24419920148,44830.50967145073,44749.574768399834,44662.082840045696,44567.66089692145,44465.918918596544,44356.44985367675,44238.8353141586,44112.66425683889,43977.51537912973,43832.954940492986,43678.53693255668,43513.80465139223,43338.32171900348,43151.669021126036,42953.42175246592,42743.148917478036,42520.41334168637,42284.80349624742,42035.98245247231,41773.62962248387,41497.43407479039,41207.09453428562,40902.32859671181,40582.96981009922,40248.93558795432,39900.16870450364,39536.63674033824,39158.33241075964,38765.354819668035,38357.98561200597,37936.55205281927,37501.4148125849,37052.96796721092,36591.6755698595,36118.23098570388,35633.40851370302,35138.00124009611,34632.82147921283,34118.71538118428,33596.72735830951,33068.0051029837,32533.678139917723,31994.857594980997,31452.641731801315,30908.250206751385,30362.987347575967,29818.094163546768,29274.745134023688,28734.049967073377,28197.153949844705,27665.2414936578,27139.3993589804,26620.61387639403,26109.771002128768,25607.718580936347,25115.303133651247,24633.26353403714,24162.235303245856,23702.75060981729,23255.259610143734,22820.189135397246,22397.86634553168,21988.54117295272,21592.38891449406,21209.510259982453,20839.966586607195,20483.73877924195,20140.736832806924,19810.843983872073,19493.91671065711,19189.784733031534,18898.24140358602,18618.997564331832,18351.73859200672,18096.15429246889,17851.938974658668,17618.79137854358,17396.381379896582,17184.316093448822,16982.214092692637,16789.71471529493,16606.478063097198,16432.1833818562,16266.473318007393,16108.963240647116,15959.294474296934,15817.13239396916,15682.166425166859,15554.105322779762,15432.625157764152,15317.400209285533,15208.128837887032,15104.53180992617,15006.35229757486,14913.35121080934,14825.264754590213,14741.834137859896,14662.82051495682,14588.003174660518,14517.179540191637,14450.163798843201,14386.757954412486,14326.763060205612,14269.996072980533,14216.287655151687,14165.48217479002,14117.437705622982,14072.017584445792,14029.072321502452,13988.464200063381,13950.065492046262,13913.75823482111,13879.434231210307,13846.995049488569,13816.344202785816,13787.377049491259,13759.998365660433,13734.119665656073,13709.659143540233,13686.541673074276,13664.698807718905,13644.067586378682,13624.578185302527,13606.163778783419,13588.763084962267,13572.319256902654,13556.779882590865,13542.096984935853,13528.227021769258,13515.130062197491,13502.758844136393,13491.071325450726,13480.03005186147
13011,"Banks County, Georgia",19182.369491343008,19175.615230291023,19167.998949564753,19159.483000719552,19150.009503685564,19139.508302226208,19127.901598841578,19115.10523109623,19101.030385843664,19085.583085949143,19068.66466444878,19050.171469371096,19029.994580806087,19008.019608654617,18984.126370429618,18958.189298266563,18930.07704361818,18899.65174182001,18866.768587820385,18831.277469761328,18793.025597526404,18751.85298859972,18707.59216766144,18660.06816658783,18609.10087470987,18554.512883438692,18496.122192827213,18433.741194813745,18367.176741562474,18296.230798093067,18220.713732330856,18140.443104473838,18055.233777826747,17964.89770168062,17869.2439161697,17768.092273269143,17661.294686149944,17548.710045795648,17430.201308606174,17305.635496397823,17174.88769183742,17037.883293591713,16894.584273397777,16744.96370684082,16589.005525929842,16426.70466183382,16258.102530297569,16083.320553878166,15902.50030879233,15715.798121960697,15523.385071007877,15325.462986390427,15122.334450047107,14914.337748825514,14701.819397170379,14485.134325516821,14264.652276109944,14040.830033589064,13814.169714382406,13585.165069327017,13354.30135219022,13122.05774908293,12888.96637643544,12655.59607601029,12422.487127790491,12190.149808864893,11959.06517025873,11729.729232932774,11502.654404072617,11278.3094317014,11057.118238052295,10839.459944293563,10625.696388981774,10416.188166838148,10211.248199022795,10011.143860163958,9816.096978358002,9626.293274506788,9441.908147986598,9263.073264311257,9089.886879873278,8922.414997597984,8760.691379466934,8604.732978692027,8454.521884961767,8310.009848196902,8171.137690209059,8037.835304700738,7910.021657265319,7787.600452079668,7670.439961599014,7558.398265574556,7451.336022145015,7349.116492367023,7251.605507780458,7158.6568971695815,7070.098018221901,6985.761766807803,6905.490438453879,6829.135728342921,6756.558027080342,6687.602371044864,6622.1026272149065,6559.904127477276,6500.862771107849,6444.845024771573,6391.725894703741,6341.366729052266,6293.628478905759,6248.382512939315,6205.509876175516,6164.901289984432,6126.455167239205,6090.059656239614,6055.605256684377,6022.990987885373,5992.12360667945,5962.917607428418,5935.29464346754,5909.171362721798,5884.464179469462,5861.0962440952235,5838.996498123333,5818.099674217596,5798.3462961813675,5779.679149962812,5762.035769151556,5745.358673917395,5729.594571096475,5714.694260318772,5700.612634008074,5687.308677381992,5674.742222205909,5662.869788861815,5651.651846113914,5641.051666820973,5631.035303488245,5621.571588267457,5612.632132956816,5604.190835618111,5596.218798754887,5588.688408133539,5581.574344673487,5574.85312291782,5568.503091033286,5562.504430810313,5556.839157662995,5551.490784367802,5546.439851604857,5541.669045763017,5537.162940309002
13013,"Barrow County, Georgia",81085.5158581683,81033.10181946101,80975.4873928423,80913.02758939902,80845.82291782141,80773.81204121288,80696.83354178279,80614.65178939483,80526.98740178182,80433.51865625582,80333.89675733508,80227.74766511221,80114.66983733383,79994.24147816513,79866.01901889214,79729.5357941508,79584.30458513793,79429.81557037887,79265.53412224648,79090.90570125046,78905.36902067503,78708.33706293242,78499.19572314205,78277.30380913062,78042.00253404757,77792.64769324625,77528.57953824247,77249.1179350785,76953.56263029505,76641.19582200823,76311.33556748186,75963.32967443591,75596.51491959866,75210.21615292628,74803.74631675996,74376.46036814692,73927.83732124155,73457.37981857061,72964.60253937553,72449.03219961257,71910.22294843165,71347.91791745649,70761.99407914502,70152.36429320069,69518.97639009186,68861.81372193652,68181.03001200507,67477.07380463857,66750.46243299014,66001.76244677023,65231.58961224655,64440.669715749274,63630.10095518239,62801.109946818055,61954.9518099538,61092.910949213125,60216.325406691656,59326.85856688443,58426.343133092174,57516.58483816323,56599.36240121486,55676.43672921177,54749.772814454365,53821.479875292374,52893.57017198939,51967.954107319434,51046.4431079492,50130.914581032375,49223.318533820624,48325.45221140366,47438.955317947,46565.310106176934,45705.94281282895,44862.28451527529,44035.59435540465,43226.96521566759,42437.3237190764,41667.464834796345,40918.14747982328,40189.9681845208,39483.395468212795,38798.77400041004,38136.324647752655,37496.202270300324,36878.426668269196,36282.89758679287,35709.46723693377,35157.94029568313,34628.07390596107,34119.56174857992,33631.95618428065,33164.76308965021,32717.492537913316,32289.658936912405,31880.780911400154,31490.325523689255,31117.650242957476,30762.128869801698,30423.1678330574,30100.20618979872,29792.712902961557,29500.092439135293,29221.699944529053,28956.932854437287,28705.2279879165,28466.061547785266,28238.941100954908,28023.31657932538,27818.632862137278,27624.375134380323,27440.066140645697,27265.26618512606,27099.565120848714,26942.5090790893,26793.651572513478,26652.580058021216,26518.912888381677,26392.299312233197,26272.417105109784,26158.922238876305,26051.46816431311,25949.735700237306,25853.429321841675,25762.27716069467,25676.031004740445,25594.451534668402,25517.276444924784,25444.26369256416,25375.188661048596,25309.843772975597,25248.03849007809,25189.599313224448,25134.35599311807,25082.123539177275,25032.733382916766,24986.028823732526,24941.86492620456,24900.10852009686,24860.63820035741,24823.34220910485,24788.09643361342,24754.781865096124,24723.289320506257,24693.517493569907,24665.372954785937,24638.770151425986,24613.631407534474,24589.885442509567,24567.447698843243,24546.24294569662,24526.204146911445
13015,"Bartow County, Georgia",107128.25286830652,107063.53837113977,106992.05487734883,106913.89396552932,106828.92116004393,106736.85876516518,106637.33948067625,106529.92735282073,106414.14288036757,106289.4629920851,106155.33278384077,106011.16622712214,105856.34454474907,105690.22062540328,105512.11725169003,105321.32881236216,105117.12213294428,104898.73266021133,104665.36143888143,104416.18627875266,104150.38200303024,103867.08999684273,103565.4161253107,103244.43073354701,102903.18550618316,102540.76887373185,102156.25440429756,101748.69455467425,101317.12117566925,100860.55018412627,100378.06983030382,99868.82978552797,99331.97559570555,98766.64727889543,98171.97935666206,97547.18815264927,96891.70236958656,96204.99965151631,95486.58820445463,94736.00679639164,93952.84875874322,93137.01310746135,92288.6130513315,91407.8201609108,90494.8628584713,89550.02724350305,88573.85957650188,87567.34730195158,86531.56966366891,85467.66699644443,84376.84072604275,83260.44147047926,82120.34331154384,80958.57798273212,79777.18808118116,78578.22820888294,77363.79950413632,76136.42545021357,74898.81998145474,73653.61687225784,72403.37034598192,71150.56809454087,69897.93043395889,68648.3147183366,67404.40477777786,66168.70746864942,64943.55676484456,63731.33123348819,62534.44728666147,61355.090338044814,60195.21613254555,59056.55087243588,57940.72074678922,56849.31148703148,55783.673607682336,54744.943933864975,53734.04560130598,52751.73005982654,51798.6731552913,50875.33576927869,49982.034448228245,49118.94719896884,48286.113544693864,47483.49158755507,46710.84694760785,45967.81226116868,45253.98527900568,44568.92886633859,43912.1710028389,43283.16796094884,42681.17858080615,42105.43260673917,41555.18257281505,41029.70332809826,40528.291828488094,40050.184921363136,39594.4876073955,39160.33951783367,38746.93067053204,38353.50146995089,37979.339024943874,37623.65364029791,37285.602425992794,36964.40141704586,36659.32001533973,36369.68098962219,36094.85032323264,35834.127001386514,35586.809481211225,35352.24803488343,35129.8409058195,34919.034308675415,34719.312682809774,34530.110794718916,34350.87570558333,34181.096556495395,34020.30069393569,33868.05366977313,33723.956421173985,33587.586032592626,33458.51903244552,33336.36523219635,33220.76310405646,33111.3797809848,33007.91105668795,32910.064212380385,32817.52142948019,32729.989602984726,32647.196455679546,32568.89008144076,32494.838945235027,32424.831883119554,32358.662259261622,32296.107624517837,32236.965146184575,32181.046048107488,32128.175491478694,32078.19257483681,32030.95033406696,31986.313322452374,31944.132647264523,31904.26593350296,31866.58233368971,31830.96026909458,31797.287429735148,31765.460774376712,31735.38653053237,31706.97852783186,31680.136044160256,31654.769160607488,31630.797472698217
13017,"Ben Hill County, Georgia",17047.702545950768,17039.432790463034,17030.164704603165,17019.812479426597,17008.284455555848,16995.486705039042,16981.32447655801,16965.701936871385,16948.52209267295,16929.686107691283,16909.09276847285,16886.63802104688,16862.21504160575,16835.713357239612,16807.018591953678,16776.013674274986,16742.578111397634,16706.587028844817,16667.910736823134,16626.417539521834,16581.97698630159,16534.454138196284,16483.709204705603,16429.597543795026,16371.972961017753,16310.698009333782,16245.633885086683,16176.639618110283,16103.572177526908,16026.287321183247,15944.654881666038,15858.556486004898,15767.874191734161,15672.490248272696,15572.28710217611,15467.162065919534,15357.049015190212,15241.890378468806,15121.633950891986,14996.23289425244,14865.649639975052,14729.896932762715,14589.022251634895,14443.081645531704,14292.139456790626,14136.26845342389,13975.582408988663,13810.264864895156,13640.511985614003,13466.527458297882,13288.522492781485,13106.729886291088,12921.463404635,12733.058915274898,12541.850987958356,12348.173079112232,12152.3630565095,11954.822741267499,11755.980825557472,11556.250618860664,11356.030209736007,11155.704560474078,10955.69299952338,10756.43399094386,10558.337150791678,10361.782886217197,10167.123052301482,9974.715520168464,9784.923217842548,9598.07262745716,9414.454222978302,9234.322490193534,9057.916456704095,8885.469414005785,8717.178499577152,8553.208165791691,8393.690179917821,8238.730233823015,8088.423528816247,7942.832817519757,7801.999029815155,7665.94217090006,7534.661329976166,7408.143801684928,7286.3484747029515,7169.214113922558,7056.674323870653,6948.6575487087275,6845.087072232863,6745.875677821812,6650.90671299139,6560.058912723523,6473.2146407471355,6390.259829814837,6311.083951003989,6235.5675410833655,6163.570866410851,6094.959504625376,6029.606925358895,5967.394490236374,5908.210884920474,5851.932915718982,5798.428949024114,5747.576528323485,5699.261567474045,5653.3783507020635,5609.82793943543,5568.500754119319,5529.286947232498,5492.084814875923,5456.80020924579,5423.346538633549,5391.643216797411,5361.601599625877,5333.134824892454,5306.162683664763,5280.611013158426,5256.4116967370755,5233.502210925618,5211.816060011504,5191.286481976626,5171.852000721633,5153.455697790685,5136.045212371455,5119.57274129512,5103.99224726352,5089.253465313681,5075.31003959874,5062.118942480942,5049.640400836127,5037.83789605374,5026.6781640368345,5016.128598752615,5006.153882033479,4996.72182859891,4987.802509900885,4979.3682347188915,4971.393549159922,4963.855236658481,4956.731919594458,4949.999925341428,4943.63656845456,4937.621026998588,4931.933975039293,4926.557582643507,4921.4755158791195,4916.672936815065,4912.136224350798,4907.849267495025,4903.7977240469245,4899.968804808611
13019,"Berrien County, Georgia",19563.1922347375,19554.920161679456,19545.60846150168,19535.180557822354,19523.546114561195,19510.606867739167,19496.259635196937,19480.396753650384,19462.90683109135,19443.674114965677,19422.57840675743,19399.494664136542,19374.292961414223,19346.837882929693,19316.988230994546,19284.598086782156,19249.5162369609,19211.585218859913,19170.640811815607,19126.514899202262,19079.03925177194,19028.03935882865,18973.334027221226,18914.735381343347,18852.052527704134,18785.103277048867,18713.70319895774,18637.664655157216,18556.79691499158,18470.907188755664,18379.818873278513,18283.369263325945,18181.396358111353,18073.738584876268,17960.234805328728,17840.74220754968,17715.16300804226,17583.41096238639,17445.407617843288,17301.08231335548,17150.377009113206,16993.297083780024,16829.8925002846,16660.22574928393,16484.371516822626,16302.416846697875,16114.501419394719,15920.853417682234,15721.718530245436,15517.353495643361,15308.02610230907,15094.032447439713,14875.77014954008,14653.66510797344,14428.14197958045,14199.62439446229,13968.541689443524,13735.40159184831,13500.744015628656,13265.088517594577,13028.93444766642,12792.763506961208,12557.097324624856,12322.478016952504,12089.409896194646,11858.359091161314,11629.754357653856,11404.028863880201,11181.617985162444,10962.910497522407,10748.24951462062,10537.932512611847,10332.236024630689,10131.426101915202,9935.723858865333,9745.310624198171,9560.327940947933,9380.885397708957,9207.077775703143,9038.96018220074,8876.562690230197,8719.891454394929,8568.928721004644,8423.642706547396,8283.966506708588,8149.81061258715,8021.081130018929,7897.6797795767,7779.5038965701715,7666.439036620548,7558.335013258431,7455.038402652249,7356.401368182761,7262.281545870196,7172.542004045048,7087.035829446257,7005.593111415787,6928.051302827449,6854.2578474441725,6784.070179918006,6717.3550453485595,6653.965843222129,6593.747025970499,6536.554238922127,6482.2532190556485,6430.7197949998845,6381.838034478009,6335.480226155716,6291.518936103418,6249.836303983421,6210.323324693147,6172.879848365105,6137.412813857632,6103.820358877842,6072.003005359744,6041.868940637102,6013.333308260396,5986.318207996819,5960.752186094029,5936.559546547378,5913.664556859791,5891.9975001831235,5871.493833025026,5852.094185248945,5833.744360074128,5816.392237199127,5799.981179768914,5784.459002292276,5769.77725908669,5755.891161820737,5742.759579514103,5730.345038537582,5718.6108659161655,5707.517517599192,5697.028966655055,5687.11170263565,5677.734710091384,5668.869468571176,5660.489952622464,5652.572195345983,5645.089777680345,5638.017425436935,5631.331928900388,5625.011736860064,5619.036956610052,5613.389353949166,5608.052353180952,5603.010734079197,5598.246606140758,5593.74402395617,5589.488751447214
