Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,659.2071970977961,761.2309287860623,847.2506613902476,924.7441797818445,998.4716649742913,1071.4871238927735,1145.8324944794776,1222.8488372945571,1303.5364348643113,1388.5911713578516,1478.5974065718076,1574.0628742355884,1675.400084629901,1783.0294731591541,1897.3684174619266,2018.8075134907463,2147.7524942887903,2284.613702778087,2429.7842034537935,2583.666546508375,2746.786753318333,2919.622600598776,3102.5910812470147,3296.0484043425686,3500.3464709836144,3716.052426894448,3943.7069301060865,4183.74036626496,4436.473720733209,4702.111872285131,4981.103446040523,5274.073701925218,5581.400525192105,5903.203215240486,6239.342532762018,6589.719950213311,6954.860228959562,7335.056063774244,7730.175780430404,8139.663335700618,8562.61407395008,8998.835672009296,9448.456335075092,9910.9717788841,10385.219467326679,10869.381717605096,11361.904631054582,11862.452518833306,12370.0795338535,12883.001878745954,13398.597805859961,13913.888146986501,14427.657840584314,14938.564044312938,15444.328930638017,15941.74544065006,16426.911091650647,16897.747866932168,17352.79070269248,17789.69900825676,18205.275741239315,18595.572751724405,18958.26712359876,19292.30194250502,19595.944104016962,19866.79892207802,20101.845526852758,20299.37781010592,20459.33324290145,20581.21714275547,20664.1258677082,20706.74784120675,20708.56204028937,20670.750309287996,20594.262295039396,20479.875136127488,20328.19346288331,20140.016962761827,19917.463045292912,19662.48794840322,19377.057967386852,19063.18893896747,18722.9466912563,18358.960546160626,17973.496912127655,17568.4640889876,17146.108801220045,16709.016197953886,16260.109852967395,15802.29818550787,15337.09421047448,14865.933825332813,14390.64455379366,13913.44139344311,13436.924519648775,12963.152377836099,12492.692943016798,12026.341601900285,11565.288044277957,11111.116263023205,10665.76244238908,10230.054898677081,9803.872745154276,9387.469389904294,8981.419728702156,8586.620145014269,8204.169038690312,7834.014054012272,7475.703708475314,7129.089251025314,6794.286362943551,6471.675157846706,6161.783609501623,5864.190752309407,5578.271896976799,5303.644089777166,5040.125670677564,4787.73627333874,4546.663434826669,4316.525855287712,4096.637601954676,3886.506748569395,3685.791803310442,3494.3017087931294,3311.9958420695075,3138.7752044940694,2974.00521622824,2817.1665006074836,2667.852408786979,2525.7639235423057,2390.709659269441,2262.605861984768,2141.284329448506,2026.218681861798,1916.9951860184428,1813.2767339799902,1714.801509790122,1621.3829894746502,1532.909941041512,1449.3180239447747,1370.2777328738389,1295.4305008712458,1224.4928854035618,1157.233729175153,1093.474160128188,1033.0875914426342,975.9997215362619,922.1667997160718,871.2904827559644,823.1603438255156,777.63873618402
B,372.37206137224933,452.161577645564,521.7183807704433,586.559536294981,650.1670330958873,714.7674740589755,781.8604010128654,852.4477394635361,927.303049178539,1006.9922158962487,1092.0150678215412,1182.8280302703847,1279.8279369367285,1383.4261707794835,1494.0388972447934,1612.0702772416282,1737.9413267336274,1872.0793291120817,2014.8992297410052,2166.828358379948,2328.4018586220777,2500.1129739950416,2682.402238456672,2875.657476395001,3080.260367548998,3296.7790163254713,3525.759326532229,3767.6420879539005,4022.763495363339,4291.345110098045,4573.82819497341,4870.819995406382,5182.68388007508,5509.528234979818,5851.206499030855,6207.5966511290735,6579.17260851718,6966.178158600819,7368.431162681185,7785.323555954946,8215.894167950219,8659.871771926095,9117.299721237327,9587.587597277283,10069.484869063175,10561.083980857351,11060.734713596576,11567.997072072485,12081.825400401756,12600.341920623036,13120.836732696916,13640.249206369112,14157.2833087354,14670.523331939938,15177.63895005465,15675.391181466766,16159.866104282904,16628.977945664672,17081.257843104646,17514.39357529804,17925.250349394613,18309.975255082794,18666.335619303594,18993.347293066185,19289.383454283226,19552.193133435692,19778.93590023902,19968.065982446005,20119.62506227459,20233.246727466423,20308.186342383215,20343.32204070968,20338.298792530935,20294.36612864874,20212.549856972444,20093.72385202325,19938.6100549342,19748.122981840177,19524.38181312598,19269.326576266267,18984.92068864444,18673.18916555074,18336.219042795048,17976.614483001256,17596.553056762335,17197.87260007243,16782.75029171461,16353.702653260845,15913.585549072071,15465.223022186296,15010.028157961446,14549.36571462496,14084.983077959423,13619.005086007233,13153.931741684713,12691.729903467025,12232.92276380848,11778.259385263162,11328.870159420932,10886.266806907406,10452.30167220269,10027.75875191851,9612.510032983244,9206.789768357214,8811.142656908605,8426.423843413453,8053.684056371718,7692.868081534709,7343.536819547097,7005.543468329588,6678.996816335384,6364.2612425501775,6061.844593529373,5771.341235349204,5492.1478781687665,5223.894995210795,4966.408141775477,4719.707955240466,4483.977958336294,4258.85226308185,4043.668337895489,3837.951524830495,3641.373509788456,3453.7523225192667,3275.0523366211432,3105.1816147189074,2943.5265135618397,2789.5840110186764,2642.9612127491087,2503.370428577644,2370.6291724935973,2244.6601626511037,2125.3037071385543,2012.0483904483076,1904.491892127437,1802.3071971956356,1705.2412995177174,1613.1152018036144,1525.8239156083685,1443.3085673348774,1365.2487484607757,1291.2937152810466,1221.166704503992,1154.6426825713074,1091.5483456580819,1031.762119672797,975.2141602573297,921.864726151317,871.4204687217386,823.6753039775241,778.4953579493771
C,1394.6590715757459,1558.3144033174083,1701.8089489061467,1835.266918335959,1965.0888907716383,2095.35225132576,2228.766533183003,2367.096843994987,2511.654154706057,2663.3414939991644,2822.912586054836,2991.0159923262736,3168.172079651742,3354.9033317300573,3551.715472491662,3759.08133744492,3977.4853330881183,4207.392950257977,4449.212446129097,4703.367126566375,4970.496116621986,5251.120556291562,5545.620160473547,5854.233218969198,6177.172424016428,6515.042041853339,6868.362606179415,7237.435412129798,7622.344843611816,8022.956734894237,8439.554252174354,8872.696967661286,9322.514795991417,9788.69004171155,10270.457527615981,10767.146593672012,11279.101654646036,11806.278425902185,12347.978943838927,12902.851565889012,13469.030580684874,14045.812783324174,14632.954752989386,15229.329541636786,15832.89892395437,16440.7189745924,17050.34756041628,17661.095207694918,18271.47395159253,18878.954514216704,19479.966304618367,20070.58411559009,20649.32566877664,21214.56325340156,21763.614307649394,22292.75345037603,22797.52002736476,23275.832107938775,23726.342408487002,24146.79084830743,24534.04982865815,24884.25165271819,25195.48661542115,25467.207207763906,25698.21006342773,25886.692775652777,26030.293225999263,26128.09223225335,26180.735127591928,26188.470631602977,26151.239477544288,26068.675478151694,25941.21328909615,25770.669540139792,25558.629578881588,25306.62743510159,25016.145820760787,24688.916938390208,24327.50999765992,23934.15109763558,23511.21725491325,23061.278750962785,22587.099528337756,22091.864081455587,21577.751191489777,21046.619379503925,20500.82619122645,19943.228197050594,19377.180992034428,18805.903821354732,18230.562318204717,17652.46025243962,17073.385653232093,16495.596730850964,15921.818688925076,15354.092971314314,14792.769997932748,14238.512798246567,13692.430787425728,13156.079766343943,12631.413945259193,12119.159058688467,11619.03835012095,11131.199650408187,10656.142849826427,10194.71989807661,9748.005598393633,9315.849516593533,8897.694935654705,8493.313070750235,8102.759706308881,7726.375196015055,7364.660968265729,7017.120242408826,6683.04773115328,6361.996772386212,6053.7361607440425,5758.250147612509,5475.703236697962,5205.6617144834545,4947.37012858693,4700.28002588381,4464.004425634865,4238.317819486233,4023.1561714694158,3818.3952015254713,3623.3393819215626,3437.414269924552,3260.1674887794807,3091.2633588885433,2930.4828978110772,2777.723820263581,2632.7939389457174,2495.1118687816584,2364.215830176562,2239.728409224491,2121.355137847826,2008.8844937972626,1902.1879006518054,1801.1887719575873,1705.5188701662603,1614.7735644889203,1528.6314118471416,1446.8298112325942,1369.1650037070422,1295.4920724023411,1225.7249425204448,1159.8117594004693,1097.4120093334934,1038.2847979883065,982.271546092761
D,7726.979241723371,8752.517933492309,9635.825897732253,10445.49931942629,11224.919818370565,12001.695983527763,12794.12141907238,13614.044755597819,14470.2009950263,15368.524751274128,16313.920135889777,17310.566991315878,18361.745687142717,19470.760697073492,20640.824167301398,21874.873770700953,23175.923799146833,24546.920829001778,25990.519066785986,27509.417718647415,29107.52961608549,30788.134181711626,32553.744992787935,34406.10978122725,36346.83794188477,38379.717326167665,40508.10582721596,42734.1359239727,45058.72637634207,47481.56258994327,50004.706608301596,52631.8214403716,55364.12001446613,58200.261396973234,61136.35148597402,64169.01566050264,67300.72362939782,70531.71592727341,73858.43581902419,77273.52929982523,80766.6356200541,84334.08880036001,87974.91965977229,91682.93764490103,95446.5588577857,99248.83769338182,103075.64812486446,106923.14942879624,110782.71124152449,114639.40018670156,118471.97987528465,122256.94651277043,125985.21867676565,129646.78692853918,133225.10084120723,136697.13556132256,140035.22666533678,143225.8967976661,146260.09664706665,149122.9813862502,151794.15540419033,154248.44608879,156472.54275466755,158461.60669119825,160206.53353303194,161694.24148809802,162907.91514499742,163839.68194858168,164491.7853613287,164863.84689661136,164953.30923815488,164755.44296431437,164270.607157823,163508.64641045645,162477.9470713366,161186.34379079964,159641.11952039567,157851.06638845845,155831.3735251444,153595.48214180607,151157.56025076087,148532.76687651116,145737.25471549976,142790.24375576733,139705.9432816751,136496.49635266617,133176.97742329282,129765.39234321576,126282.67835720484,122749.22913132435,119173.66752631223,115565.06410038154,111935.4825486606,108299.91141097539,104676.24548970205,101078.29701986999,97509.28051874648,93974.27271786955,90481.19360716405,87040.8064349418,83666.41665845283,80363.53159136199,77131.11034815275,73970.80396819432,70886.54442054388,67884.54460394655,64972.46270457012,62149.939819970765,59413.850466684635,56763.206455627456,54198.88877612776,51723.647595926996,49341.28675766111,47048.95040940352,44842.31729465461,42718.77678974708,40677.150366485446,38717.69159214618,36841.85046098177,35047.029183217426,33328.40237275903,31682.525544114338,30107.039109983714,28600.668381260162,27163.22356702933,25794.092760541473,24488.741558960035,23243.431655399498,22055.252452992445,20922.084856966805,19842.601274645804,18816.26561544808,17841.91516017664,16915.688450704652,16034.529064572896,15195.957544749348,14398.061708089921,13639.496645338444,12919.484721126606,12237.601739444906,11591.394900262194,10978.142239178957,10395.693912584764,9842.305375019023,9316.637379170968,8817.755975879649,8345.132514133968,7898.471857829758,7475.459924909205,7074.4735896523125,6694.460345888255
E,693.1369384665516,794.5723146799156,885.4533795670075,971.9687807264759,1058.011726203164,1146.068702484065,1237.8185608615859,1334.3900561125376,1436.664527307708,1545.2973535090366,1660.875453173718,1783.9412880231796,1914.9755361059692,2054.4766390715913,2202.94853832593,2360.887744205199,2528.811470334902,2707.2403154186245,2896.674548461592,3097.6347322492757,3310.7845315014706,3536.7285256136524,3775.997912763872,4029.0505099127563,4296.336341404535,4578.556381170135,4876.377175498276,5190.3281729344735,5520.802662910894,5868.047444984138,6232.596090251452,6615.193050462615,7016.273595515019,7435.9499043903115,7874.011118755023,8330.286074177713,8805.36105703218,9299.531798058479,9812.56360527066,10343.691363956706,10891.713337950478,11456.301376514208,12037.517541151863,12634.64033563362,13246.133087185754,13869.647854996792,14503.165450772865,15146.166307762505,15797.381215088599,16454.516211388713,17114.25258481506,17772.841758615657,18428.70922064241,19080.125897241625,19724.23358902166,20357.05247371285,20973.768318642655,21571.80622493521,22149.337944879662,22703.487887485702,23230.358771576342,23725.159751486295,24185.078067328694,24608.824912130236,24994.307951034196,25338.653204971186,25638.247650594378,25891.061192217025,26097.019986877785,26255.53899403845,26365.555510940525,26425.53039498495,26434.868190482262,26394.980877577284,26307.00728647728,26171.892284320103,25990.38677517421,25763.479851371703,25493.701702091344,25183.38832983972,24834.90225028786,24450.679451981072,24033.2299284522,23585.732607833088,23110.907268191997,22611.059003318136,22088.913408674016,21547.61658139543,20990.73512029151,20421.82074001618,19842.729157905458,19255.238073438777,18661.608334065157,18064.57860722975,17467.3626106594,16872.523457959946,16280.811641010483,15693.257822406793,15111.379511747351,14537.181065633307,13973.102451408458,13420.232119766064,12878.486031726909,12348.24069505038,11830.272466456294,11325.757551624896,10836.124819736184,10361.376115518564,9901.005535975835,9454.88471030552,9023.217266349197,8606.538830592504,8205.571245061665,7819.8399403511985,7448.601479550593,7091.417504403171,6748.105377212648,6418.738180843108,6103.6023876426625,5802.255882549245,5513.855070743776,5237.803239508023,4973.697404951562,4721.32831201178,4480.680434453882,4251.661581266832,4033.4767173616174,3825.473959703656,3627.1486530227,3438.136854627357,3258.2153344050653,3087.3015748221196,2925.200602285543,2771.237616493192,2624.8821861380843,2485.705676443512,2353.379511506932,2227.6751742999627,2108.4642066683764,1995.6802519628404,1888.8982209527264,1787.6477795035953,1691.559237992974,1600.3336256399332,1513.7426905050877,1431.6288994905935,1353.9054383401524,1280.5262690257823,1211.0934111329743,1145.329121628927,1083.055049969641
F,1385.7587574787196,1608.8774468066263,1798.297242218026,1969.9159131644587,2133.80780876272,2296.3961523078483,2461.9419852126716,2633.2081680129386,2812.2302982860774,3000.3904947925803,3198.8289938267844,3408.5165469887515,3630.2121001906207,3864.68179708134,4112.673798252697,4374.867144154338,4651.959243497841,4944.640495702063,5253.546106543701,5579.315397667649,5922.840713981327,6284.887480039456,6666.066534560357,7066.834130425976,7487.6174830327955,7929.293541934978,8392.656899236292,8878.243493611692,9386.332697809477,9916.939095560925,10470.580795850276,11048.123754967128,11649.902831686557,12275.698969347164,12924.739331167497,13596.350001081275,14291.12566458649,15009.175367916547,15749.76629168809,16511.323750900883,17291.599909729273,18089.80549625554,18905.755264332824,19738.089588689763,20584.233498930105,21440.403519619864,22303.42056982564,23172.410792130995,24045.4173723938,24919.04363684356,25788.453052081364,26648.27536002144,27496.39989607523,28330.512061475863,29146.788290137356,29939.91028134052,30703.48233558873,31434.350253811263,32130.39400906924,32788.14804325846,33402.85333338401,33968.63534142784,34482.36112747862,34942.88771503218,35348.075250285365,35694.84648915651,35979.243418436134,36199.39584253442,36355.83065372641,36448.45543056356,36476.65100810792,36439.2730503996,36336.3699576235,36170.26172103444,35942.9189684448,35656.157382516416,35311.63770076062,34911.358415671384,34458.875562241476,33957.34763552435,33410.0705035533,32820.538984335,32192.447473879514,31530.213454593515,30837.161666086646,30116.116507803217,29370.551064433992,28604.58710591624,27822.995087433766,27030.424210845093,26228.8710448448,25420.401692475327,24607.754981205224,23794.327851771737,22984.171168674267,22180.40535627017,21383.732604304005,20595.271689319477,19816.78556045431,19050.681339440267,18299.9417994916,17565.773615040926,16847.89474511444,16146.634406620233,15462.83898997738,14797.872059115916,14153.42455298019,13529.370660789114,12924.963062137766,12339.93889327667,11774.458218924301,11229.10403226715,10704.697912558675,10200.561675603178,9715.693490282003,9249.477655039389,8801.621049497451,8372.153134456232,7961.372950990347,7568.673861434272,7192.956828809056,6833.433349732268,6489.557786745732,6161.02736831553,5847.782188832016,5549.66920982473,5265.666223408319,4994.931967146749,4736.809196515829,4490.816566554032,4256.648631862481,4034.1758466049782,3823.130721534367,3622.652808479155,3432.062048200204,3250.8056031981378,3078.45570215757,2914.7096399471106,2759.3897776193444,2612.3964955013107,2473.186150721997,2341.159275324619,2215.8420458515757,2096.849253775539,1983.884305499462,1876.73922235657,1775.294640610373,1679.4824994074047,1588.7967391716,1502.881737305856,1421.5061614411886
G,298.64708790406195,355.6872165246857,406.45093575158114,454.6594336501104,502.66700628450513,551.9914939233893,603.6719832936838,658.4225572002632,716.8135318580141,779.2842344572902,846.2380057933677,918.0570457926033,995.0913984515736,1077.708983291361,1166.2893153274215,1261.2118645431299,1362.8763982725795,1471.6970308893758,1588.0905041104907,1712.4916531223855,1845.4146809094561,1987.3598404102052,2138.8066562905756,2300.213924943962,2472.048961082202,2654.9127174010364,2849.40751678976,3056.081119154733,3275.4269870835747,3507.8755109808217,3754.019309808424,4014.5820494597842,4290.134123663061,4581.084810495139,4887.68228124239,5210.195749395126,5549.3328693813355,5905.652970442873,6279.411664833565,6670.5608478191525,7078.793201515693,7504.303870835952,7947.550514618257,8408.48814418209,8886.544184545022,9380.620268602937,9889.767587023418,10414.011176560018,10952.854298679034,11505.047562390202,12068.58892424663,12641.098298843954,13221.640623826659,13809.152897961338,14401.63057044491,14996.129188309895,15588.96112528365,16177.996060058704,16761.665595856153,17337.414072341206,17901.695752400607,18450.071065233165,18979.571878074585,19488.530896484463,19974.42068773154,20433.822432112112,20862.461317316007,21257.352845584544,21617.44849994095,21941.08756347072,22225.935243131804,22468.98376555151,22668.053504173287,22823.355913902942,22934.799605969994,23001.868286194123,23023.6207549852,22999.216461051168,22930.108045910372,22817.894749164723,22663.953137596265,22469.47601626207,22235.47304161549,21963.879253901105,21657.40933212978,21318.34243984926,20949.099557188503,20552.243480857545,20130.47882414762,19686.77959514513,19223.74311098542,18743.478071657417,18248.445651700724,17741.474460775502,17225.75969998672,16704.1609500725,16178.027848281028,15648.841013286072,15118.53312205993,14589.48890987336,14064.502607230183,13545.162192175594,13031.831223492534,12525.290052538696,12026.729372435257,11537.75021806685,11060.2173475811,10594.50238783227,10140.358979018905,9697.938137831688,9267.753522344692,8850.681432015383,8447.80092706146,8058.835508041251,7683.1545172002225,7320.467899626747,6970.776764269627,6634.37338393811,6311.792293790553,6002.703096407657,5706.270239981013,5421.941392430618,5149.391068115051,4888.5206278314945,4639.458278815726,4402.233013127752,4176.008206079355,3960.1071726492055,3754.0285251593295,3557.4384356094065,3370.1706356767622,3192.22641671639,3023.4632338541687,2863.138558573174,2710.6809053680936,2565.6410445189026,2427.6898786444485,2296.618442702444,2172.337903989462,2054.832481252535,1943.6370732424457,1838.2264396845794,1738.1973656888392,1643.231632991192,1553.0960199536662,1467.6423015643463,1386.807249437386,1310.5755871909078,1238.4941634504808,1170.2564393898253,1105.6769251692433
H,267.9213335801744,321.48705516708935,369.3111288555761,414.733877566662,459.8511318661733,505.99579889510125,554.0624699610215,604.6469238484541,658.2100193691705,715.0892284985805,775.583788117629,839.9675939628992,908.479727296927,981.3673004551325,1058.8787331467684,1141.256797071112,1228.7536054363873,1321.6210413328658,1420.0979182914048,1524.4321059980837,1634.9469278293425,1751.931459744221,1875.6327810902662,2006.255974603533,2143.999937320181,2289.197263642684,2442.159435993388,2603.122369184113,2772.246946309131,2949.6141133838332,3135.4569755822536,3330.119116538552,3533.778873881768,3746.4420062011905,3967.941724811578,4198.133994231263,4437.275263853461,4685.4686924335465,4942.540724340484,5208.0410895568175,5481.2934474450785,5762.084312248709,6050.404488492588,6345.843561386232,6647.57415956825,6954.354054920807,7265.122271811108,7579.597807754398,7897.121877189943,8216.521461290073,8536.109307960161,8853.991164957582,9169.395749260491,9481.480834778493,9788.846173364296,10089.53761951835,10381.193373092534,10662.596928295066,10932.913988047292,11190.797793825632,11434.403409557068,11661.452059954761,11870.663016613657,12061.51497041645,12233.09486406706,12384.111031861634,12512.914319836023,12618.640412131626,12701.37906580932,12760.968298187348,12797.014409806681,12808.892585031297,12796.436355586382,12760.437013103792,12701.5449166958,12620.315186694965,12517.207704654104,12392.794497973136,12248.36518711636,12085.095335063519,11904.173073180238,11706.822228374112,11494.302579528428,11268.184980397265,11029.776702002277,10780.178522822624,10520.697894128365,10252.848939980437,9978.352457230663,9698.912185641366,9415.376253901675,9128.561722110679,8839.521196661219,8549.539799909342,8260.133801145714,7972.4990208105755,7686.947891995751,7403.931237724649,7124.137071562348,6848.490597615602,6578.129296908242,6313.536295590131,6054.630522087522,5801.555778378292,5554.650445425863,5314.447483179175,5081.603340346172,4856.088744972127,4637.633566880692,4426.150953813149,4221.715068506907,4024.561088695508,3835.015112825743,3652.8309792402115,3477.636619220607,3309.2073278145035,3147.441844088692,2992.3623511291853,2844.0941864899223,2702.415493094067,2566.9149611237012,2437.300066203639,2313.3712783526166,2195.022061983297,2082.238875902268,1974.972219995218,1872.8391030735222,1775.5259192440776,1682.7893448006917,1594.4532192680922,1510.408545401925,1430.613489188761,1354.9730908409388,1283.1655271350762,1214.938171235527,1150.0867306182877,1088.4544189442256,1029.9319560590745,974.4575679934369,921.9990021619695,872.354515622682,825.301607283036,780.6654481743923,738.3046401030571,698.1112156502832,660.0106381722688,623.961801800159,589.9429141418377,557.7663520609279,527.3012798002068,498.46377309315614
I,616.8498742621473,721.8197295035,812.6759103075387,896.5014191571461,977.7506978923017,1059.2453069748528,1142.8512080032297,1229.7763634496798,1320.9170995075033,1416.8880825043757,1518.2046612347358,1625.313113422314,1738.57214529621,1858.3465681266334,1984.9946515740814,2118.8509783667973,2260.2612705714723,2409.5659367053167,2567.0765329216197,2733.1141424723965,2908.1324993334697,3092.520921263599,3286.5902690299554,3490.5729464081196,3704.6906460741757,3929.4033044273174,4165.128803517122,4412.158686638432,4670.659443203691,4940.669925766183,5222.489238168571,5516.594807025791,5823.20533308968,6142.269557898291,6473.466332772463,6816.531871415978,7171.84243357292,7539.538401250348,7919.34786920688,8310.586644952624,8712.241149573163,9124.028573786603,9545.974712637788,9977.520241515806,10417.4996544869,10864.144551268957,11315.980965056013,11772.69458023023,12233.42074349487,12696.554715603794,13159.751671361426,13620.377199244402,14077.434812590298,14529.81697606005,14975.609392024362,15412.097361686108,15835.976521744113,16245.582017909537,16639.779706183494,17016.684415294178,17373.68115908265,17707.517159430416,18016.349850654973,18299.40291614587,18555.316980712792,18782.168218527586,18977.49857711819,19139.95675500591,19269.551958367883,19365.916480788575,19428.332007429333,19455.730478692778,19447.6963005199,19405.216375298245,19329.074713474893,19219.90972007535,19078.214194703578,18904.64208236732,18700.938741152924,18468.712743192616,18209.589245847874,17925.243206735697,17617.399765236565,17288.266732775162,16939.743170743226,16573.435432327475,16191.250819959729,15795.397585316863,15388.384929320871,14972.723261785164,14549.735597959749,14120.6815319848,13687.171234160129,13251.162151236576,12814.957072694833,12380.402500108612,11948.041177619614,11518.616747875072,11093.22930112297,10673.33537521203,10260.710995374764,9856.156019607402,9459.614638437211,9071.366963946019,8691.987375243372,8322.344518466532,7963.493822054114,7615.446632989874,7277.8391268135765,6950.58525524308,6633.844018246926,6328.019464044322,6033.653369992205,5750.405387330495,5477.734913433083,5215.326600308824,4963.054238818294,4720.980758673813,4489.326912023215,4267.773625944677,4055.7032152991683,3852.680598466828,3658.414176494206,3472.7558330942634,3295.7009346463765,3127.1875628651087,2966.6312657305793,2813.5533942363904,2667.5844338364286,2528.459170327142,2396.0166898475322,2270.200378879165,2150.869650233351,2037.5267676752007,1929.7811199956952,1827.3175804635182,1729.8952146099195,1637.3472802287129,1549.5812273762724,1466.5504572034117,1387.9413095851996,1313.406414948401,1242.6731204048126,1175.521211700865,1111.782913217622,1051.3428879707792,994.1382376106662,940.1362445887089,889.0424695462208,840.6517917887877,794.832889875167
J,332.6831233076325,389.7135874709221,444.153244213619,498.80290078279575,555.4483491734072,615.2727722021174,679.1297757526677,747.6562031039624,821.4068040527402,900.8605531588762,986.4893708894161,1078.7673552898787,1178.1633256953273,1285.1747520770086,1400.3221479082943,1524.1461527095369,1657.2195182661476,1800.138413552298,1953.510657964851,2117.9805016272835,2294.292308126406,2483.185954829977,2685.3895171137965,2901.6192683617046,3132.6143007218957,3379.282418923,3642.546537942169,3923.2817598716438,4222.315733433386,4540.417803178072,4878.562913268134,5237.897480081864,5619.404631193505,6023.89492551928,6452.0063548539865,6904.414013116586,7382.338519985358,7886.842627894345,8418.635730594106,8978.073863151632,9565.208720036506,10180.717474376945,10825.631914786323,11500.36075335899,12204.655716031244,12937.613372021822,13698.50038275499,14487.850897684377,15305.524081389925,16150.374556703624,17020.252404709434,17912.469367508744,18826.224359744312,19760.546916778734,20713.109516808494,21680.226954512083,22657.10934806758,23641.020992165395,24630.01124703833,25620.579246930287,26607.648782801883,27584.69732540582,28547.173777247262,29492.44571557428,30416.384900936362,31313.266949746616,32175.821364889143,32998.549298656144,33779.048289589,34513.724022534276,35197.582227556624,35824.23027665482,36388.39576630343,36889.075766618516,37324.64619109187,37692.40064074072,37988.55040410762,38209.18104737371,38355.00667307741,38427.42254229751,38427.035542361555,38353.71222135048,38206.57983744107,37986.53409897565,37697.6671824411,37343.380510786585,36926.8199567496,36450.87584285594,35918.18294141984,35332.28650852989,34698.44194293215,34020.47479014802,33302.55549217,32549.257298399396,31765.55873323637,30956.546519676987,30125.485720889395,29275.58961249411,28410.769872362853,27535.636580618586,26655.448334013603,25773.839766175566,24892.316626222873,24012.99936132539,23138.742387673312,22273.134090477237,21420.257617497788,20581.576555609754,19757.238589325258,18948.124554094553,18155.823107310232,17382.63072830726,16631.248729652463,15901.692151899333,15193.131517206406,14505.420582586601,13839.017910500828,13194.98686885801,12574.895130151664,11978.467228665559,11404.252390259855,10851.39044740421,10319.51477926898,9808.752311725188,9319.72351734454,8852.819619359445,8406.45084634654,7979.340604640839,7570.6061060173,7179.741753242788,6806.6191400760745,6451.487051267849,6114.251444741794,5793.391213376642,5487.757831001974,5196.484781275319,4918.9827366379095,4654.939558314683,4404.320296314261,4167.255621120791,3942.7926805109373,3729.8118762487716,3527.4790775264664,3335.159700340032,3152.4187074893143,2979.0206085779896,2814.9294600135786,2660.218681287612,2513.8886830446863,2375.291051255085,2244.0666389533562
