Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,448280.71513366414,447979.2120356441,447639.2092059698,447265.3933182807,446860.0476573794,446423.91082067613,445956.762830793,445457.6857873814,444925.3636407456,444358.11007473787,443754.0256910368,443111.0242313995,442426.81472112465,441698.98286797013,440924.9806773593,440102.10579714517,439227.5349933251,438298.3146868185,437311.34467324,436263.4022067017,435151.23667982226,433971.44368194015,432720.4556428013,431394.54183255933,429989.86931791564,428502.71030141745,426929.24564959353,425265.5316375211,423507.50163063244,421650.9826996202,419692.0360008314,417626.91309327784,415451.79441788356,413162.7835866104,410755.9075043667,408227.45726191904,405574.5014673491,402794.2492850061,399883.9780584111,396841.03331025783,393662.9250995094,390348.33751683775,386896.7798358719,383307.9728685231,379581.8432471673,375718.5268433006,371719.20764660375,367586.891377636,363324.9927592624,358937.2122101058,354427.5358445476,349800.6116461932,345063.3760920057,340223.5332165351,335288.927756896,330267.5498820173,325167.6852391063,319999.5913391434,314774.52526263765,309503.52105651685,304197.3888454442,298866.7716858392,293523.51098282845,288180.26722146774,282849.0357535351,277541.11746843177,272267.1368530168,267038.0598513709,261865.22062008732,256758.95900278617,251728.59844670503,246782.44657367177,241928.42507408332,237174.42869276516,232527.27479179943,227992.75797459067,223575.650085865,219279.91494920265,215109.28524183808,211066.50546768375,207153.57859726594,203371.79267791595,199721.72111822863,196203.56716369488,192816.7373827293,189559.96270767375,186431.74488613027,183430.35648096132,180553.84087028992,177799.90384062091,175165.43618980682,172647.11591498225,170241.69307223696,167945.98997528467,165756.90041360998,163671.04874595185,161684.4602700692,159793.2966579274,157993.9407020851,156282.99631569406,154657.27224089595,153113.2292931071,151647.07997502165,150255.30209792967,148934.6166282315,147681.98768743806,146494.5761916651,145369.23508913632,144302.81285958056,143292.3955065219,142335.28922121268,141429.02038263343,140571.29059967774,139759.5717360365,138991.39182867514,138264.471664081,137576.70685009946,136926.16781593376,136311.0867933575,135729.58520009185,135179.7818706038,134659.94736250784,134168.48238194926,133703.91778360418,133264.9145706796,132850.18520366258,132458.32708614343,132088.05020397803,131738.15823304825,131407.54643434455,131095.201653966,130800.20232312047,130521.64655424713,130258.56087780205,130010.06038056318,129775.3226514553,129553.58723729613,129344.15564279651,129146.3913305603,128959.70884134546,128783.46223466191,128617.0352058701,128459.86241934012,128311.41924622482,128171.22176445958,128038.8267587624,127913.83172063401,127795.86753127149,127684.50115765704,127579.34686010618,127480.06053717688
B,439427.5749031822,439212.55540387664,438963.64812920406,438684.2606499654,438375.80993272085,438038.4393051056,437671.5031276727,437273.7759886692,436843.6974966028,436379.3888655578,435878.7794662489,435339.6252819953,434759.4914177157,434135.8171459981,433465.90620473644,432746.9093978508,431975.851671449,431149.623335295,430264.96595966374,429318.49521954916,428306.78576013754,427226.2615069372,426073.1875022163,424843.6699050034,423533.712643066,422139.41312652157,420656.7864575014,419081.7358533276,417410.05420911335,415637.4404291554,413759.83185197343,411773.36998512445,409674.15077071555,407458.21911527496,405121.56900912453,402660.48027018027,400072.03356048977,397353.4853771014,394502.19555984,391515.62729130744,388391.4425511737,385128.51025164657,381726.561669901,378185.5717320644,374505.7528128487,370687.5580913499,366732.5135335566,362643.98787161073,358425.7715775207,354081.94899183646,349616.89832365024,345035.6616504433,340345.5452506995,335554.60063625965,330670.9952793544,325703.0171247194,320659.2216574806,315550.06696953,310386.94398607995,305180.97821350006,299943.0291729537,294683.7462961276,289414.89346615394,284148.96234743815,278897.7494882074,273672.3316369721,268483.0835275663,263340.6602882372,258256.00550470653,253239.07166421443,248298.80820066622,243443.16205247497,238679.679112203,234015.828230164,229458.03220986185,225011.73531825328,220681.40328574777,216470.7247814878,212383.13244231758,208421.1059779003,204586.4323702057,200880.2315856373,197302.9568406725,193854.70325944555,190534.7770832951,187341.85286608202,184274.40295110017,181330.69747107697,178508.80434817346,175806.46901650057,173220.62963056006,170748.04051702743,168385.53290812785,166130.0144936973,163978.4686281697,161927.61782773188,159973.60660493816,158112.71527967285,156341.4385146921,154656.48531562433,153054.76325282647,151532.84385399814,150087.05934637962,148713.99771029945,147410.480912965,146173.56490846237,145000.49501044696,143888.21930012395,142833.6804631813,141834.04987411932,140886.71099825558,139989.25939172518,139139.45938903315,138334.85297834035,137573.0350623659,136851.78669625433,136169.05793065243,135522.96781170924,134911.79180201373,134333.69754579072,133786.84877049597,133269.55621973364,132780.25703521457,132317.5147567565,131880.01932228386,131466.5104869899,131075.61485513268,130706.06795775727,130356.69676948522,130026.41767013172,129714.23644470565,129419.24828340937,129140.56733258939,128877.23647673462,128628.38481989423,128393.20281560929,128170.94173622984,127960.91367291518,127762.49153563361,127575.09833482187,127398.09677120463,127230.87780309333,127072.8826157025,126923.59259482904,126782.52932685273,126649.25459873598,126523.37039802372,126404.51159124859,126292.24860488085,126186.19883653126,126086.02100950677
C,578593.7491214111,578008.6332073406,577363.1023287309,576663.3835721045,575912.4003100939,575110.9674016362,574258.6051386839,573353.9008462181,572394.9243358065,571379.2683755159,570304.2672231952,569167.0345439248,567964.4456054929,566693.2496870249,565350.0571056724,563931.3264238945,562433.4125166934,560852.5497076724,559184.8273280547,557426.2546329551,555572.9221753031,553620.7880422985,551565.6624926595,549403.2079566222,547129.0550308193,544739.1780801933,542229.5326027458,539596.0124813956,536834.4534899362,533940.6640723799,530910.9817410117,527742.1767048929,524431.0293498675,520974.32138779096,517368.8360483983,513611.8817170788,509702.03805436974,505638.1462552566,501419.2004748464,497044.3478283686,492513.02391426294,487826.3444370497,482986.53513478255,477996.04934742866,472857.5600451848,467573.96435867116,462149.4661420811,456590.47990490065,450903.7471044414,445096.181086809,439174.8670869023,433147.51984192757,427024.3623451376,420816.2197353384,414533.80434126966,408187.72244857665,401788.6507827385,395349.1885099096,388882.66602189967,382401.8775874633,375919.0917588117,369446.117071203,362995.74604591355,356581.2533458922,350214.99535099044,343908.41023756925,337672.0380932499,331516.5420257162,325452.63573060825,319489.9180153404,313636.90352732304,307901.02335378405,302289.2098960902,296808.11633443966,291463.31096307375,286259.41010792507,281200.07812661654,276288.20881174726,271526.2767759487,266915.7625610442,262457.53879138205,258151.89737317775,253998.54973986986,249996.83626763005,246145.1332896502,242441.24400442786,238882.8666411427,235467.59445965648,232192.91575051338,229055.99394052307,226052.99076999136,223179.99156611966,220433.22061727516,217809.03720669236,215303.93448963543,212914.118007417,210635.15851944234,208462.8123358836,206393.0885265036,204422.2489206557,202546.78989663723,200762.83585757847,199066.25852093787,197453.21850981208,195920.13612441707,194463.691342088,193080.77452848575,191767.9524516707,190521.79075124508,189339.10562467048,188216.9449937353,187152.588504555,186143.5004967037,185186.9056383339,184280.08791005478,183420.53472387162,182605.91825413553,181834.09543754338,181103.09437221524,180410.828105523,179755.20666440047,179134.3015081485,178546.32338543306,177989.62233428535,177462.68768210162,176964.06485876025,176492.17747714787,176045.56913678764,175622.88532943427,175222.8712348084,174844.3717205972,174486.33134245392,174147.7171606707,173827.41897793248,173524.42245481745,173237.78257881533,172966.62308575012,172710.1364597802,172467.5839333983,172238.28363116158,172021.48781336017,171816.4804743367,171622.6027155931,171439.24175261843,171265.83091488926,171101.84964586928,170946.82350300965,170800.3158693602,170661.8178210462,170530.87431920733,170407.07778257303
D,3.581709066356008e6,3.5784820093913567e6,3.574890508121596e6,3.5709764958146974e6,3.56676055367858e6,3.562249623730249e6,3.5574422757878266e6,3.5523310499563436e6,3.5469051599230734e6,3.541150750846958e6,3.535052329838328e6,3.528593014391314e6,3.521754396771625e6,3.514517298527998e6,3.50686168891631e6,3.498766544133103e6,3.490210180046029e6,3.481170174804638e6,3.4716232255926044e6,3.461545451385147e6,3.450913311031204e6,3.4397024347136132e6,3.4278875379733373e6,3.41544242170947e6,3.4023405934907827e6,3.3885573120694263e6,3.374067634632244e6,3.358846157267502e6,3.342867033268052e6,3.326104139619916e6,3.3085341718505807e6,3.2901361301285205e6,3.2708889563190844e6,3.250771484016902e6,3.229762439619265e6,3.207843383412762e6,3.185002935438427e6,3.1612311262816363e6,3.136518783911496e6,3.110857533680838e6,3.084240571926634e6,3.0566706220809766e6,3.0281567585426657e6,2.9987094104478154e6,2.96834031715582e6,2.9370625544881774e6,2.904896809847456e6,2.8718767077368605e6,2.838038006107885e6,2.803417709040303e6,2.768054066742165e6,2.7319892655404345e6,2.69528056601497e6,2.657989230274694e6,2.620176317108368e6,2.5819027212701146e6,2.543230219515132e6,2.5042325880159275e6,2.4649886535667344e6,2.42557462857524e6,2.3860641612273264e6,2.3465287253322015e6,2.3070463856856194e6,2.267698940068125e6,2.2285631744348095e6,2.189710815275692e6,2.1512086490026405e6,2.1131247882891344e6,2.075528427011573e6,2.038482276591469e6,2.0020426470011412e6,1.9662594503419322e6,1.9311798495019835e6,1.8968498706040452e6,1.8633089380778882e6,1.830590505367989e6,1.7987220549335259e6,1.7677262609819593e6,1.7376235296084618e6,1.708428106668032e6,1.6801501324544714e6,1.6527958052319705e6,1.6263673828249476e6,1.6008647153783324e6,1.5762818291577152e6,1.5526088428919774e6,1.529834829034022e6,1.5079478137607756e6,1.4869347769731886e6,1.4667804916118714e6,1.447463624828577e6,1.4289619196970463e6,1.4112537202796172e6,1.394317955426231e6,1.3781341325136113e6,1.36267983910836e6,1.347928529411829e6,1.3338546066376388e6,1.3204339157474218e6,1.3076437434508242e6,1.295462706781153e6,1.283866984924873e6,1.27283100877762e6,1.2623309379652622e6,1.2523445044346333e6,1.242851012453533e6,1.2338310280558185e6,1.2252629758851898e6,1.2171251738909495e6,1.2093975004162828e6,1.2020612813845489e6,1.19509929029928e6,1.1884954460443412e6,1.1822320641872697e6,1.1762917823940245e6,1.1706585314438753e6,1.1653174181992628e6,1.1602547256057996e6,1.1554578242837987e6,1.1509132992124227e6,1.1466076714787295e6,1.1425285004564007e6,1.1386642437560367e6,1.1350042572251554e6,1.1315387949481942e6,1.1282584609905467e6,1.1251530266204418e6,1.1222130337752805e6,1.1194296877002197e6,1.1167948425471387e6,1.1143010013746384e6,1.1119413161480415e6,1.1097090748743748e6,1.107597031501018e6,1.1055985639004575e6,1.103707504517965e6,1.101918136552958e6,1.1002251939590003e6,1.0986238614438e6,1.0971096953390024e6,1.095677800326352e6,1.0943234801144868e6,1.0930424152154112e6,1.091830590284157e6,1.0906842941187837e6,1.0896001196603754e6,1.0885749639930471e6,1.0876059723545678e6,1.0866897946163653e6,1.0858234392144522e6,1.0850042300269152e6
E,565935.274464233,565608.333985285,565239.8331051174,564833.3648337083,564390.2913238759,563910.5503414565,563393.1984419107,562836.6439021975,562238.9193593273,561597.6993238763,560910.4400813332,560174.3994234769,559386.6179037546,558543.9890225318,557643.2477789728,556680.9552314702,555653.5264048249,554557.2174640474,553388.1085938311,552142.137892122,550815.2052850904,549403.0317462247,547901.1490371958,546304.8997078576,544609.5093185392,542810.3317200413,540902.6225535845,538881.5035017986,536741.9643214565,534478.8829989346,532087.4312494843,529563.0271528336,526901.0284462222,524096.725842727,521145.3431764868,518042.4443784754,514784.5490772098,511368.37403866346,507790.7465401177,504048.60437016515,500139.1105629278,496060.8569180268,491813.4452953221,487396.7523007611,482810.92229600553,478056.3714450274,473134.78114046366,468050.0083624857,462806.4026611407,457408.6587903234,451861.81670777383,446171.7042852687,440346.8431184369,434396.6488841693,428330.69501565635,422158.71832586924,415890.7950857211,409539.2956443152,403117.7369450382,396639.36452207394,390117.15261173726,383563.8707412245,376993.66925193934,370421.6287602743,363862.0541683913,357328.44379863667,350833.51037179545,344390.3553201765,338012.4922238329,331712.2887629635,325500.9449695644,319388.4938810957,313384.52007387066,307498.56290337106,301738.9199437025,296112.7115338275,290625.88077756466,285283.4358002647,280090.09039846546,275049.406161507,270164.07859761233,265435.9674069248,260866.09680635447,256455.03967448935,252202.4033453744,248106.9922272925,244167.32560383296,240381.63763389108,236747.87735166866,233263.57364173193,229925.25499584683,226729.1797037408,223671.67007716373,220749.11245769012,217957.9563032658,215294.3084103973,212753.53316895978,210331.13655664265,208022.87100113943,205824.73538014796,203732.9557031251,201743.3229085833,199851.30574493392,198052.67856970566,196343.4976884764,194720.10135487287,193179.0540537886,191716.53301356267,190328.69293923667,189011.97077685234,187763.0658932552,186578.94007609488,185456.76261373464,184393.41053805914,183385.8183374995,182431.15467223598,181526.80112644722,180670.35220831048,179859.59923104983,179092.18928128586,178365.75707968097,177678.12460879565,177027.2754232729,176411.35464983838,175828.66898730042,175277.58710040606,174756.3255714928,174263.23964283743,173796.80285145814,173355.60440328228,172938.34917314613,172543.85770479517,172170.97361826815,171818.44346988338,171485.12526720838,171169.9572326456,170871.95711140774,170590.22217151735,170323.9292038073,170072.32033515396,169834.5559863444,169609.83185630664,169397.40983414522,169196.60488495143,169006.7850498031,168827.3714457643,168657.83826588583,168497.70290786988,168346.3948566505,168203.40618370209,168068.28397284687
F,793814.7692241592,793189.9140450978,792484.2750048847,791707.6467024335,790864.8789131253,789957.6576197918,788985.7224419094,787947.4082616671,786840.2710850454,785661.1470975506,784406.4842518412,783072.3996815198,781654.6459458478,780148.7874706683,778550.1818144628,776853.9408415236,775055.0094897053,773148.1511160807,771127.9158017789,768988.6984285584,766724.9394434441,764330.8765512005,761800.5261736024,759127.6834494373,756306.0544612892,753329.6972570943,750192.6087692112,746888.6663875608,743411.6317932098,739755.1872572531,735913.6211401649,731881.7237275139,727654.2664947473,723225.9910202565,718591.6092241529,713746.4628680258,708687.4854707901,703411.943013865,697917.2946145311,692201.1925259294,686261.6579362235,680098.9040679744,673714.6311844212,667110.8822333398,660290.0320848142,653254.7935222791,646009.6666711546,638562.1963125211,630920.4694163509,623092.902836167,615088.2433090407,606916.1930091559,598590.0289094856,590124.0186645179,581532.4151400212,572829.465104154,564029.6537620525,555150.3309834418,546210.0839378572,537226.8948071506,528218.1494329502,519200.7290892793,510193.09527991543,501214.62321826816,492283.48885507,483416.65196361946,474629.8845997199,465939.2771897251,457361.19408154965,448910.43570994854,440600.252209329,432442.34427779994,424447.7524355609,416627.2693172352,408990.0983628468,401543.99940009887,394295.2886443709,387249.12544876547,380410.16904486547,373781.61772554595,367365.68432148243,361163.6356338716,355175.7928197775,349401.9231195193,343840.4673943591,338488.9448095204,333344.6280527332,328404.54333423363,323665.4703867648,319123.6885720477,314774.09811412485,310611.3822654162,306630.3743467054,302826.054602587,299193.5487742321,295727.5549500993,292421.8318772508,289270.369520027,286267.5042129751,283407.9186608496,280686.6161076586,278098.04864030005,275636.2776760695,273295.7738709001,271071.38005910476,268958.31125337636,266952.08265487594,265047.7236067247,263240.24848288175,261525.03665624262,259897.80589286465,258354.6123519677,256891.78080827682,255505.2723379323,254191.12821659897,252945.68909852277,251765.5676709131,250647.6486539433,249589.06847096997,248586.78620649708,247637.75045660173,246739.14832782553,245888.37271120813,245083.0222822866,244320.90150109612,243599.89557458856,242917.70230017736,242272.19640491693,241661.4032902355,241083.4957284869,240536.79386295026,240019.7652078305,239530.9084708406,239068.60301076365,238631.37006412263,238217.8332804936,237826.71785327527,237456.85051968886,237107.15956077786,236776.6569718731,236464.25368579116,236168.90645862924,235889.65653842507,235625.61317242795,235375.95360709837,235139.92308810828,234916.83486034107,234706.05771309216,234506.85053483405,234318.5521112824,234140.57150887078
G,480126.09806089534,479962.3050922499,479774.0977094164,479563.5839409013,479331.5072389074,479077.73388678767,478801.58050460543,478501.95305034635,478177.5102044003,477826.6715471188,477447.70001587464,477038.71188088116,476597.66175579943,476122.3827478512,475610.5779725709,475059.80519024347,474467.48999573983,473830.9172065868,473147.2202130558,472413.3895958162,471626.3251797152,470782.7560854388,469879.2348298723,468912.13732610055,467877.69404191704,466772.10460490093,465591.4276805115,464331.5521808342,462988.1979595461,461556.92325792863,460033.33945835935,458413.09284526476,456691.6883886825,454864.48561595,452926.6986888762,450873.624793581,448701.01209181163,446404.6343781921,443980.23610356974,441423.5323750143,438730.28015948425,435897.0408179123,432920.96019318374,429799.31992903276,426529.5329958517,423109.14646249224,419536.5269824102,415811.5424154185,411934.4670649634,407905.8858187475,403726.694148729,399398.4327386572,394924.78372334613,390310.3155024632,385559.9395239355,380678.91440123087,375672.98797067394,370550.05937861744,365319.36797235307,359990.2956539089,354572.3615913522,349075.2770888487,343510.3933002308,337890.46238481684,332227.96979426744,326535.0776973208,320823.6420579611,315106.34905552625,309396.93469039723,303708.40002019476,298052.9092734786,292441.7903740558,286886.27738277655,281398.1764308548,275988.26498434605,270666.1807252116,265440.42155131773,260318.61970309378,255308.5593426093,250417.02490710872,245649.71605484703,241011.27127807218,236505.2682746413,232134.84016492518,227902.51939348155,223809.80997695096,219857.60745443768,216046.19888751005,212375.26286020078,208843.9825357124,205450.8780762613,202193.8084316425,199070.47765144732,196078.4444373481,193215.1221292871,190477.55497571346,187861.99998452023,185364.68015836633,182981.95853984798,180710.33821149883,178546.4467758496,176486.44615551626,174526.0772363956,172661.32469017015,170888.42033734557,169203.8431472499,167604.26425234834,166085.9088339096,164644.91485072585,163277.69918557713,161980.94287101514,160751.59108936283,159586.79324256396,158483.34242564972,157438.0583129653,156448.0096771812,155510.49316741063,154623.03330920907,153783.36403238052,152989.03066062194,152237.537115051,151526.59288315361,150854.08572160927,150218.08165629086,149616.8249822648,149048.61950297042,148511.56882039472,148003.92776070212,147524.08356747028,147070.55282853844,146641.98147600697,146237.14478623788,145854.83523943558,145493.71454884548,145152.56964613512,144830.27757645427,144525.80467013805,144238.20654270673,143966.62809486553,143710.28628967464,143468.2904989448,143239.78484865278,143023.988674376,142820.1808317611,142627.69969652322,142445.94316444674,142274.36865138475,142112.48103841904,141959.67279013,141815.4085455436,141679.2160300432
H,281303.43792667775,281144.8121199915,280962.9220634186,280759.89587246504,280536.5864757989,280293.0343621713,280028.77985093254,279742.9977791237,279434.6547604865,279102.5202284412,278745.24760074576,278361.3863073196,277949.37189602066,277507.5671614862,277034.25605624134,276527.6356111877,275985.8328767454,275406.89816625405,274788.7956255285,274129.4235498628,273426.6734178165,272678.3514389818,271882.17284238426,271035.76187648426,270136.69330856606,269182.63162651315,268171.2018596424,267099.9708874631,265966.4486353814,264768.0995470394,263502.56700824806,262167.6446814619,260761.10703445942,259280.70568213018,257724.16946555136,256089.42601540996,254374.93413246248,252579.2663152979,250701.06101486826,248739.0226344899,246691.98258003188,244559.5408854272,242341.8354097614,240039.14279584057,237651.87447586042,235180.57879132638,232626.4629974669,229991.8662555736,227279.36275637153,224491.68222780316,221631.709935029,218702.71680869313,215709.34524676285,212656.66328968699,209549.78007859606,206393.84878341397,203194.15789876902,199957.13654943282,196689.7545230282,193398.79719573125,190090.86631015828,186772.41463531143,183450.55984821627,180132.84702792787,176826.39005748308,173537.85862399245,170273.48915939542,167039.68732114864,163843.03564221723,160689.5179537003,157584.5134839368,154532.7971972105,151538.90718999662,148607.34783062912,145741.99592916388,142946.13996291964,140222.4800764782,137573.25080728083,135000.54517650732,132505.88624064263,130090.37633652159,127754.7125016757,125499.18663628736,123323.87735769698,121228.39528850479,119211.9643609496,117273.67983272692,115412.50828698865,113627.28763234337,111916.6597988263,110278.78250680295,108711.69070629204,107213.4611530333,105782.2123904656,104416.10429481369,103113.13661110283,101870.94996692735,100687.26232228405,99559.92049564817,98486.90016397311,97466.29624421116,96495.99354430809,95573.72219500922,94697.36795196179,93864.9601692426,93074.6717993585,92324.79163355248,91613.41894840075,90938.6444532014,90298.70081576868,89691.95270889984,89116.8968103752,88572.13443223848,88056.12268561283,87567.34835236798,87104.4151600141,86666.03314734889,86251.01866445779,85858.28633723829,85486.67924810042,85135.03466472913,84802.2829580591,84487.43473054923,84189.58081618261,83907.89228046688,83641.57083169268,83389.7424185735,83151.60181466634,82926.40228836316,82713.45429359833,82512.1254698486,82321.84064213307,82142.03578730315,81972.09842617727,81811.4712171966,81659.63633402111,81516.11512111076,81380.46809372556,81252.2949379253,81131.22746892631,81016.85669104817,80908.79090717516,80806.67100187384,80710.16392603217,80618.96269685954,80532.78639788668,80451.38017896564,80374.51036632029,80301.89952609249,80233.301046538,80168.49537309093
I,426487.6412103892,426183.07402804476,425837.878072684,425456.64442677493,425041.5623799376,424593.29289320816,424111.5623504586,423595.42425747914,423043.5614954813,422454.31323510886,421825.833162857,421156.11572200176,420442.98023951065,419684.152444822,418877.2544469215,418019.7896174894,417109.17679111316,416142.73955403466,415117.6898232187,414031.1622788707,412880.3160111334,411662.1983700272,410373.7350536527,409011.7301081903,407572.93513924436,406054.2767903778,404452.63461045886,402764.80988776917,400987.52766656125,399117.45461917215,397151.54561779427,395086.986266037,392920.92404891003,390650.46258037945,388272.66172334674,385784.86966880306,383185.2062422747,380471.92486594024,377643.3414965793,374697.8346255733,371633.9345531994,368451.24782696477,365150.1044479224,361730.9826196979,358194.5035012687,354541.4343121415,350773.43576285127,346893.7182471542,342905.7741070964,338813.2722759513,334620.05827821995,330330.4837902392,325950.7969967326,321487.81403360405,316948.3988909501,312339.4680440352,307668.1211993006,302943.0670443628,298173.7843141759,293369.52494612266,288539.3174124105,283692.0158610884,278837.4544414047,273986.1229738032,269147.9617875495,264332.34406664484,259548.09103094472,254804.3210013361,250110.47331249353,245475.1930937032,240906.31682741974,236410.87281196326,231995.5961143688,227667.22765445444,223431.64371337922,219293.89553207444,215258.20931124344,211328.15950790717,207507.13757833862,203797.7270365549,200201.8905298994,196720.99105898093,193355.79221217177,190106.74085628826,186973.60647057067,183955.57537099655,181051.61863621484,178260.4921075461,175580.7363889823,173010.5885717176,170547.574262193,168189.00719923124,165932.23981522614,163774.66363867625,161713.70867174806,159746.5552890319,157869.83898119515,156080.2907611843,154374.81764138432,152750.50263361854,151204.59077751625,149734.00672133086,148335.43315513682,147005.77394066894,145742.13829544818,144541.84079278127,143402.36043850452,142320.8880499967,141294.5939347765,140320.85565737096,139397.2437718184,138521.52182166837,137691.60563077207,136905.19194261116,136160.0177453416,135453.99307897102,134785.18540539965,134151.81960842028,133552.26598683698,132984.7858155215,132447.62940765728,131939.18591534454,131457.96431982747,131002.59343149427,130571.8218898773,130164.44368651666,129779.13791499613,129414.68648821628,129069.95921249302,128743.91182720625,128435.58600479957,128144.10935078064,127868.62607773807,127608.20697890992,127362.00575614459,127129.23575958522,126909.1694699573,126701.1384985687,126504.53358730976,126318.79398655125,126143.29733350917,125977.44729702859,125820.69683522466,125672.53838423787,125532.50385823405,125400.1646494043,125275.13162796511,125157.04775345643,125045.4899509917,124940.08180901589,124840.48791016736
J,798564.2904813616,798370.8778325503,798150.7165353389,797904.8697774127,797633.2262866041,797334.9118140311,797008.5604834445,796652.4245455028,796264.5047559328,795842.5511553759,795384.124506765,794886.5996112794,794347.1491024443,793762.7677612411,793130.261788008,792446.2364460813,791707.0966851682,790909.0318720668,790048.0028521698,789119.7529873274,788119.861766647,787043.6399124237,785886.1219764287,784642.0663399068,783305.9877845229,781872.2820540984,780335.0938316259,778688.273949508,776925.3799602994,775039.6811504344,773024.4057388664,770872.7189648917,768577.4999309507,766131.3361143542,763526.523451468,760755.3331535596,757810.4603684646,754684.5072104235,751369.9069719461,747858.9241238126,744143.7415785947,740217.4145790742,736073.6165592442,731706.0731208653,727108.5555746374,722274.884554178,717199.8277243386,711880.0247829519,706312.591572202,700494.9974433661,694425.065256816,688101.4367706617,681525.6807070978,674700.6457308943,667629.7370299362,660316.9222531276,652766.941201695,644987.796919788,636989.7001657317,628783.3540677141,620379.9470474583,611791.2371557106,603031.8681539746,594119.1864977595,585070.6153607104,575903.5547337072,566635.4072554092,557285.4937112066,547875.6846596714,538427.2438903716,528960.5924716748,519495.30945926794,510051.4217155047,500650.94049142423,491314.6686796101,482061.77976592234,472909.81782949605,463875.1800822442,454975.39706979383,446226.82724266197,437643.8391558422,429238.83552922716,421022.25386844506,413003.89598062466,405193.38305841887,397598.369408979,390224.9473431465,383077.64717545157,376159.43722411455,369472.36689426773,363018.0708362207,356796.35675028234,350806.30367971404,345046.2947731397,339514.0192273047,334206.5016234531,329119.3605028309,324247.7431541634,319586.7609247646,315131.4892205368,310876.95172539714,306817.326012634,302945.827013352,299255.90863047884,295741.341001994,292396.2105009274,289214.8320005594,286190.62330150447,283316.6677896649,280586.5083844122,277994.139446987,275534.0067804986,273200.89414159616,270988.8087546495,268891.70657408057,266904.0136830396,265020.5928056245,263236.74330688,261548.16319718832,259950.1034364038,258437.65318620205,257006.31299750297,255651.9464847812,254370.780326066,253159.40426294119,252014.50814140643,250932.28781506832,249909.23905989598,248942.13689695433,248028.02901453205,247164.23576814122,246348.35018051782,245577.98014522242,244850.39638604675,244163.13308508028,243513.91840814668,242900.67264270724,242321.50819786018,241774.72960434094,241258.7932162181,240771.88082004074,240312.23189683288,239878.2513150832,239468.47370889722,239081.56347799752,238716.31478772318,238371.65156903028,238046.59831937865,237739.8936612953,237450.44004147986,237177.28207480488
