Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,0.5722890839659062,0.6865195814217475,0.8092340938518525,0.9377856860094188,1.0708118653680618,1.2078265654080014,1.348728993506123,1.4938689392053282,1.6436347368965936,1.7986552337128532,1.9596008643705243,2.1271223373718993,2.302002769714881,2.485014460657789,2.6769143349491524,2.8785280903891395,3.0906743168386432,3.3141511908198193,3.5498224195611963,3.7987073994906106,4.061647067062809,4.339469295478253,4.6330019579375845,4.9431721518909235,5.27124791778458,5.6181587285565335,5.984767261180317,6.371938781186423,6.780533620919003,7.2118979354125505,7.667270091214454,8.147328488622085,8.652737058486895,9.184159717998696,9.742583513970063,10.329765892658555,10.94621960840196,11.592110675696349,12.26760510903617,12.972904814925595,13.709442775333994,14.47813946591892,15.278176450430326,16.108664971314017,16.968716179427133,17.858321436444964,18.77885602258616,19.728533059056403,20.704895558850033,21.705486534960137,22.728291501809974,23.774029953021746,24.840411208972295,25.923111450471694,27.017794308189597,28.120378949697365,29.23013847694245,30.344424049309097,31.45740440787167,32.56318318367598,33.65601576913408,34.73373706405098,35.79344368884311,36.82875100153967,37.833234573441096,38.80054139644671,39.72780792249684,40.6123637191881,41.448576557789565,42.231060570793225,42.954432846484785,43.61597889235486,44.21415309321475,44.74513960059127,45.206103304088,45.59420909331348,45.90767327950482,46.14690762399539,46.309783109012756,46.39674157701615,46.40838699458486,46.34532485421228,46.20974167383346,46.00103651593454,45.72044238765568,45.37188258430025,44.959280401172336,44.48655913357262,43.95669413697013,43.36954305525451,42.72907874770563,42.04041157405728,41.30863743924628,40.53884468308626,39.73375683987127,38.89451044087441,38.02592373300558,37.13286320932216,36.22019536288154,35.2926635723455,34.35144301719831,33.39872023230383,32.4386121676956,31.474811513097197,30.511010958233026,29.550560904558218,28.59374554300365,27.642885562191303,26.70055984765221,25.769112605928314,24.850888043561486,23.947915184010988,23.05990217090683,22.188369760026173,21.33465386161372,20.499891947941997,19.685221491282185,18.891689619395855,18.118814444123895,17.36702151050333,16.636843187185427,15.92855065181272,15.242415082028216,14.578707655473309,13.937266580365401,13.31729449344251,12.718989840682697,12.142126217504579,11.58646220402538,11.051756380363358,10.537767326635961,10.04393303455308,9.569430410818832,9.114040937472573,8.677308985282599,8.258776028841922,7.857983542744469,7.474473001583965,7.1077506596207405,6.756965889277444,6.421589385683303,6.101179532983264,5.795262235411377,5.503363397201531,5.225008922587742,4.959724715803725,4.707010946897582,4.466058642038615,4.236522975077635,4.018019441786334,0.0
B,0.24668177694587817,0.3254917274882209,0.41335005204011577,0.508352691047597,0.6095734481951737,0.7167477810080891,0.829899388292991,0.9493927518306738,1.075625246733045,1.2091822553517424,1.3506874905946404,1.5007631097265124,1.6601437739501383,1.829564874104967,2.009764673617188,2.2015516233671493,2.4057419998656417,2.623140312914933,2.854622366189878,3.1011943641841495,3.363743750273424,3.6431492637549496,3.9402896439261403,4.256130380872229,4.59195132111454,4.948744045416397,5.327433400963274,5.728946333080948,6.154196533297811,6.604564667026715,7.081342093059413,7.585243314108407,8.116967331723963,8.677213095238876,9.266970190169243,9.888028811091894,10.540895099892953,11.225681906410966,11.942502080483006,12.691493410215017,13.474049134923398,14.291057619895588,15.141515029536798,16.024337476266574,16.938440709628956,17.883650583542938,18.861274070492467,19.869238943066264,20.904742179312464,21.964980757277925,23.04762978574748,24.153276962617944,25.279307037623276,26.420966917436523,27.57349079359053,28.732396648632488,29.896795306131978,31.06372559883795,32.226976371943984,33.380280707080594,34.51753965914242,35.63646395045915,36.7339157114247,37.80330563277743,38.838041940967585,39.83160972404903,40.781134433788154,41.68384018976092,42.534116908506334,43.32667553738056,44.05623009842525,44.720197887390405,45.31705235824941,45.843168041738245,46.29600846788736,46.67303716673236,46.972746396738515,47.19563027552638,47.339774090949454,47.40597447450971,47.395191846697394,47.30838808876951,47.14794102052241,46.913305497849535,46.606003931072394,46.23022566482296,45.79016004373443,45.2899964124361,44.73284635641492,44.118515745518415,43.45123479598659,42.736223915479066,41.978683442224416,41.18380570258792,40.35434386754517,39.49149376346362,38.60012786036046,37.68511791382344,36.75133567944059,35.803529043540536,34.84287370856383,33.87157274173778,32.89371682671291,31.91296246355861,30.932966152344267,29.957044534526766,28.98547542789065,28.020554723939156,27.064819654918324,26.120573435107236,25.190119278784195,24.275448931616317,23.376259440271667,22.494036823533406,21.63008466033141,20.78551049073146,19.96142185479939,19.158837053406486,18.37726058230235,17.61709050577484,16.878838282476096,16.16275834696705,15.469105133808622,14.798133077561223,14.149666682883389,13.522893120785623,12.917993646073223,12.334734548301746,11.772867281613728,11.23214330015171,10.712314058057233,10.212809815656431,9.732792821932964,9.272037095698185,8.830084953864143,8.406475833856774,8.000749173104287,7.612444409033649,7.241065211567507,6.885749519865347,6.545960192813688,6.221255361796552,5.911160720210333,5.615201961450479,5.332904778913369,5.063794865994795,4.807371099252644,4.562809166866215,4.329766347614271,4.107859425701249,0.0
C,1.2117215739245824,1.3844743716908394,1.5675748449823277,1.758030224866887,1.9543391097053664,2.156009636843654,2.3629848719086106,2.5757172140418967,2.7946925762805033,3.0206588483032752,3.25440079752969,3.496673160434646,3.7483586764636327,4.010316495294479,4.283394625104471,4.56848646515989,4.866447969257303,5.1780961938033965,5.504341423281904,5.846308336290698,6.204764212148705,6.580451598045712,6.97411304117169,7.386619720980571,7.819297979039644,8.272931708893669,8.748152741742551,9.24559551569493,9.765872163107566,10.310247523631881,10.87980036965206,11.474745043137215,12.095272820839693,12.741574974120525,13.41428447776508,14.11501273990497,14.843659272799243,15.599667895288505,16.38248242621121,17.19161520227843,18.028160279269997,18.89245301527132,19.782773198763476,20.697324718365294,21.634313432531968,22.593145675664918,23.57467618581282,24.576232606286496,25.59451666925535,26.62623010688697,27.66868538282855,28.72219534794039,29.783762067139904,30.84863698811877,31.912069513016498,32.969635455134984,34.020456116245555,35.06149014854785,36.087174900046804,37.09195522816149,38.07044794247082,39.02075334884355,39.93998000052141,40.82276244019489,41.66384374919662,42.458037126639255,43.20320943747845,43.89704333201815,44.53543080015454,45.11468420722994,45.63111849025663,46.08312605279818,46.46956963467207,46.78820745361402,47.03788096671542,47.21743163107231,47.326427750080285,47.36540343861105,47.33342095942812,47.2320555139597,47.063013798314465,46.82800353751614,46.529438847834705,46.16691766622543,45.74242670654564,45.26010434707936,44.72408896611205,44.13851894192488,43.50629604056176,42.82703726022318,42.1049118844254,41.34458951568435,40.550709076700336,39.727901655742485,38.87853833109675,38.00371041262607,37.107688504447246,36.194644504023415,35.26875030881722,34.334069705841465,33.39157881194025,32.44317153505893,31.492303156323683,30.542038186575986,29.595441136657897,28.65528796191863,27.721781214797197,26.796833040772913,25.88254339622285,24.980812386970662,24.09354011884063,23.22236416476596,22.366983476359152,21.52860199113162,20.70827571616236,19.90689586962185,19.12535366968023,18.364464888563933,17.62375838578414,16.903512762148868,16.204118335723408,15.525750088091034,14.868583000833738,14.232792055533718,13.61818315327366,13.024003976231613,12.450363839828983,11.897027554161808,11.363747321839524,10.850275345472763,10.356363827671615,9.881483346794424,9.424859030946422,8.986261283404273,8.56526645970501,8.161448425520284,7.774381046521973,7.403638188382164,7.048761554058034,6.708958840257736,6.383727532904469,6.072660248923371,5.775321274519876,5.491274895900928,5.220085399272774,4.96131707084133,4.714509067856475,4.478896392860092,4.254162829439644,4.039955429916839,0.0
D,5.007013691884779,5.8428919102441785,6.730030948341359,7.651840649058516,8.59978223989185,9.57077858580175,10.564109844868685,11.581817232354139,12.62611638042539,13.70064260750381,14.809225796312898,15.955503073368398,17.14381735058592,18.37838227190799,19.663278030929042,21.002848065723278,22.401267310628104,23.86252392221442,25.39096496043226,26.99193922078674,28.669179255159886,30.42630362789842,32.26693090335008,34.195244162936596,36.217450089071704,38.33736138391481,40.558096262796404,42.88278397289341,45.314456581036524,47.85908061360977,50.52179630997841,53.30388102341874,56.20650914861031,59.23085506856294,62.380091284700484,65.66179269217965,69.07586031933006,72.62016212428429,76.29256606516567,80.09124925450938,84.02151408616635,88.08525422340045,92.27511588004403,96.5834039454776,101.00243162698645,105.52988263739363,110.17001447281277,114.9111058765544,119.73856583423755,124.63780333147363,129.59693017604334,134.6176309873072,139.68656566730067,144.78221699864596,149.8830525934242,154.9689784987559,160.035947564355,165.07016479184415,170.04579922450108,174.9369994188194,179.7186757765872,184.38163484220502,188.91237784042602,193.28521748037025,197.4748206164038,201.4561705708215,205.2184360174343,208.75034609375172,212.03132135188343,215.04248475872527,217.76497118786537,220.1898500088765,222.31108771868713,224.1164305791025,225.59834533605982,226.74929873552426,227.56538488529534,228.0484428334168,228.19255665499338,228.00316028028521,227.48631210003023,226.6480757982785,225.49882892180332,224.03627379931436,222.26829635787817,220.2132235910109,217.88938249223753,215.31510005505876,212.50358524109635,209.45346530312835,206.18332838484284,202.71512078262475,199.07067714849308,195.27179800010813,191.3299848690218,187.2503088892901,183.0532338673098,178.75915231689498,174.38845675185496,169.9610286603908,165.4819289663137,160.96039009601657,156.413660815851,151.8572306377329,147.30658907358335,142.7758128063752,138.26621384999206,133.7874730177309,129.35052429817426,124.96534748943587,120.64192238962356,116.38890745682596,112.20510850994457,108.09690782011677,104.07012442459137,100.12976008659048,96.28081656934727,92.52790746249542,88.86897994064654,85.30580011672478,81.84080753234588,78.47534613375811,75.21075986719833,72.04839267891225,68.98763903001735,66.0249171543987,63.161192434344244,60.3956275310092,57.72731873632393,55.15536234222188,52.678854640633446,50.2953650000481,48.00113814318586,45.795333401318814,43.67603710261745,41.64132201205706,39.68926089462092,37.81792651529002,36.02520949314024,34.3071538405976,32.66143080564492,31.08613420180143,29.579188250951336,28.138517174969866,26.7620451957437,25.447696535147333,24.19325999725159,22.994869020248252,21.851031427804227,20.76005795021397,0.0
E,0.4761706516985582,0.5604061014458004,0.6532027382164969,0.7529994321621577,0.8590803019164892,0.9712983575874382,1.0897522881831836,1.2148321900444174,1.3469560586243732,1.4867027782038766,1.6346845463232198,1.791516199951702,1.9579085902162197,2.1345742628134814,2.3222369511655105,2.5216815101917414,2.7336981358536416,2.9590660311830126,3.1986420087633096,3.453409518713251,3.724229747268527,4.011955190967196,4.3174383463474735,4.641621346234917,4.985762718062633,5.3508259458036616,5.7377135160919766,6.147330207034237,6.580570722589571,7.038789899639472,7.523250483230492,8.0346609159629,8.573714934547953,9.141106236271918,9.737820732224105,10.36561351422285,11.025001670652745,11.716133410075445,12.439156941051044,13.194248035890741,13.982795090632528,14.805689485746793,15.662027316402916,16.55082974534483,17.471117628035866,18.422783708411878,19.40712821351599,20.422224697436903,21.46545163112703,22.5341874855374,23.626258833455054,24.742262415691588,25.87973320673413,27.03413880308391,28.200933992292885,29.37583559916858,30.557966881663262,31.74448893067635,32.929364431163854,34.10649318274913,35.26993013938143,36.41735640486371,37.54568991201678,38.64837600638921,39.718828367952625,40.75053289217345,41.74048798865218,42.685876135335576,43.580938517354106,44.42017356446314,45.198082666348974,45.91183686773884,46.55977948686636,47.13800153401313,47.6435801022749,48.073592284752664,48.426165356488134,48.701631123540295,48.89779834282173,49.015040981820036,49.05389476954748,49.01489697124649,48.900188097027986,48.709142480043354,48.4429609070352,48.105544137714574,47.70079293179393,47.23260804898123,46.703977609472794,46.11480720093687,45.46906412616926,44.771920474039206,44.02853571051841,43.244061994675675,42.42131102718148,41.561454066020254,40.66940876618777,39.750183898286735,38.80878823291916,37.850107231340935,36.87541587728809,35.8869708704134,34.889060612990185,33.885562424628624,32.88035362493946,31.876961432688237,30.875742193552497,29.879130084107977,28.889889273114143,27.910548805528997,26.943637726310502,25.991355436876084,25.05344826988725,24.131556102950835,23.22717195649849,22.341584467501917,21.476082272931762,20.631857440444353,19.80845137537588,19.006362089897006,18.226237973293827,17.46845271725678,16.733380013475756,16.021393553640067,15.332388436943615,14.665541092341078,14.021135719914454,13.39900146859054,12.798951056747208,12.22079720276305,11.664352625015646,11.129061784892574,10.614060751495654,10.119179334981888,9.643978999415337,9.188017901032081,8.75085419606897,8.33204604076266,7.93110853884044,7.547125817911358,7.179569127957228,6.827999434807322,6.491936720365093,6.170900966533628,5.864412155216704,5.571990268317958,5.2931243746949885,5.026926812097088,4.773054023772825,4.531116255861209,0.0
F,0.8241866815287044,1.007327849472629,1.2051388699226662,1.41346959569471,1.6301824139302419,1.8545061698262,2.0862629873564624,2.32597122824582,2.574201033997211,2.831888845345129,3.100029187761986,3.3795793329415074,3.671691014117567,3.9774932489257298,4.298086783024003,4.6346612584660205,4.988382935860528,5.360378419838199,5.751868219859847,6.164317766991854,6.598848702661482,7.056558068803906,7.5385429073545485,8.04604016381943,8.580798683677559,9.14400446088648,9.736679691529822,10.35984934321791,11.014511672493517,11.702422462111349,12.425147081421908,13.183258560368309,13.977303252487037,14.807827475747017,15.675876684127122,16.583695044810806,17.531493567654373,18.51891129041621,19.545587250852343,20.611227469686863,21.717455139504008,22.865026964284333,24.052065930407952,25.276592220064312,26.536627352763965,27.831625163685437,29.16297646464017,30.527478699004213,31.92104264096018,33.339579064688785,34.77973305156508,36.24207772858484,37.72285500478945,39.21576391959703,40.714494714569966,42.21314347379739,43.710526151620805,45.20264837435653,46.681731308624656,48.139967272696914,49.569771880210055,50.96835430066795,52.33171158769006,53.651937202851606,54.92119327611151,56.131737868369996,57.280215423015115,58.36323070662999,59.37431637529636,60.30748053843816,61.15673499294289,61.919230665380354,62.59315514830422,63.174546355629225,63.66084522692084,64.04949270175233,64.33909289227459,64.53026132523846,64.62102726608484,64.61282629807206,64.50728815318067,64.30604423736015,64.01219037990239,63.62506592402234,63.1468946196074,62.58310601524837,61.93912965953822,61.220395101064106,60.430856843893764,59.57016987267117,58.643823148230794,57.658385067003316,56.62039322222215,55.536374994037494,54.40977453997684,53.24210379919451,52.03947845524141,50.807993299892665,49.5537431249232,48.282668604053164,46.996255108612175,45.69725681772874,44.39080514406898,43.08149534671211,41.773922684737954,40.472258539533904,39.1768633821669,37.890611300923425,36.61671674395354,35.35810522754874,34.117702267999356,32.898040853676086,31.698742469980775,30.521681515434413,29.36853797339663,28.240747181617216,27.13974447784458,26.06685120549251,25.021440903268935,24.004017485962674,23.015261469394996,22.055528958803553,21.125176059424277,20.224558876493862,19.3534712006244,18.51085810061712,17.69697287274002,16.911540470567793,16.154266606524494,15.424856993034421,14.723017342521606,14.048021598651314,13.3987740516373,12.775003997313116,12.176135165623684,11.60158744073986,11.050780706832168,10.523134848071843,10.018019693708574,9.534294968296303,9.071270598798087,8.628381588800496,8.205016990001182,7.800565854098762,7.414417232791912,7.045960177778556,6.694546256483555,6.359071483782398,6.039095779134421,5.73412378606813,0.0
G,0.2067552606396143,0.25887074326770576,0.3161265793431217,0.37741805878051254,0.44222798055594864,0.5104375657080513,0.5821027051881569,0.657485836315611,0.736870962222401,0.8206579370784299,0.9092718648390075,1.003139578767848,1.1027609805427683,1.2086394843879193,1.321281794423717,1.4412471679749974,1.5691071675777257,1.7054316719613267,1.8508355774688254,2.0060069001548997,2.1716094278004743,2.348304763291503,2.5367545095140236,2.737679032601105,2.951990053331257,3.1804614695501026,3.423869241978917,3.682991350861247,3.958613635472738,4.251788153358809,4.563532379732335,4.894630465480936,5.245861041206456,5.618002738348414,6.01201805288588,6.429309366764979,6.870647823584144,7.336630433708395,7.827854207501777,8.344933282113395,8.889192290969131,9.461707244392798,10.062545340241916,10.691731613698671,11.349290319594846,12.035725173571844,12.752457661877898,13.498929204055843,14.274117672341042,15.077000938967927,15.906777855417713,16.76441243471548,17.648932311676766,18.557805623856837,19.488486359079733,20.438553412060845,21.40778019701357,22.394767427474513,23.39538875529865,24.405417399095438,25.42070499681846,26.43957626615632,27.46012390732454,28.4770186628551,29.484741935454153,30.477817906535595,31.45342340835126,32.40940387622718,33.34012606562575,34.239832950007944,35.10276956768649,35.925494280884564,36.70639223241736,37.440668300273,38.12379041868763,38.75122652190158,39.31951496651784,39.82848654448689,40.27487810166921,40.65665802069549,40.9719229741751,41.218771365602436,41.397803192750644,41.50832040156233,41.549469967037176,41.522790307402026,41.429819840884996,41.272096985710746,41.051397598648975,40.768313248423006,40.424468501408356,40.02368074134266,39.56980073438942,39.06667723657422,38.51682016381956,37.920940656356684,37.28309474985824,36.6079084030235,35.900007574551694,35.16391995784384,34.40101927418478,33.613245658559215,32.8049251617504,31.98016295207343,31.14306419784418,30.297393483201667,29.443644907582613,28.584337390621258,27.722692038229088,26.861728888770568,26.004467980610904,25.153569029860122,24.308909723238276,23.47245378882569,22.646208085120346,21.83196939213557,21.031534489885388,20.24658668555348,19.47682311508354,18.723037915421916,17.98631783782551,17.267440592618556,16.56718389012513,15.886325440668791,15.225038170977019,14.582561509538502,13.959547498148973,13.35609688593293,12.77228992820851,12.208206880294345,11.663927997508814,11.139040683846801,10.632724424643694,10.145064055462889,9.675772992886426,9.224560188081048,8.791134592213991,8.375205156452516,7.976418112251452,7.593824283186653,7.227031739337959,6.875698586253123,6.539416794661093,6.21777833529149,5.91037517887304,5.6167992961354996,5.336603179583695,5.0688471268391835,4.813256204424112,4.569496898667842,0.0
H,0.21328172186157635,0.27361595050070564,0.34022657759436,0.41183278147745345,0.4878116166193177,0.5679835943748978,0.6523603651252338,0.7411796649734443,0.8346984045808632,0.9332956722962407,1.037373300827969,1.1473293908585158,1.2636313848833107,1.386744288638454,1.5171347754499847,1.655308274909766,1.8017688057652057,1.95700932196025,2.1215712151255817,2.2960880196336815,2.4810845680836575,2.6770779880425604,2.884585407077539,3.104183185712554,3.336663230081909,3.5826012387982336,3.8425162860602824,4.1169287584720475,4.406348835566108,4.7116064938197555,5.033462177988062,5.37226992851411,5.728372853601555,6.10211403709043,6.494042673135122,6.905236331430241,7.33590538594295,7.786005944487926,8.25549411487879,8.744349607592795,9.25339095578036,9.783081272204404,10.33268448080144,10.901415802667799,11.488490656255632,12.093743332536881,12.71792718716467,13.359671800952212,14.01717175184937,14.688621617805095,15.372535850811506,16.069264193592918,16.77714401076163,17.493240739026884,18.214613586387866,18.93850390881516,19.664389187955408,20.390447569035015,21.11291972630309,21.828019221844208,22.532063396130095,23.22369780053854,23.901037603719082,24.560131994960408,25.197035546532852,25.80784911479075,26.390867384992205,26.94444591570636,27.465228171786528,27.95005009135967,28.395749444656428,28.800783790562594,29.164259565817915,29.483999461204224,29.75846646227214,29.986123554575304,30.16605296944406,30.29856357040833,30.382500811020016,30.418312027987472,30.40654236484162,30.347737858915654,30.243327064686657,30.092990236241196,29.8976178510698,29.659716627269873,29.38179328293965,29.066354536174668,28.715285328291547,28.32849540663049,27.908511453997246,27.45851361026676,26.98167143542937,26.48114980810251,25.95864896518802,25.41488093810426,24.852834549947943,24.275528778591283,23.685982601906552,23.087139279225603,22.47973481808326,21.865113888691994,21.245839473064716,20.62421817545974,20.002556600136288,19.382948953280852,18.765568946439764,18.151851392568563,17.543425269826532,16.941776461245183,16.348390849855864,15.764555570616544,15.190078254183918,14.625910132692358,14.072916537260427,13.531839710850983,13.003421896426143,12.488347357052179,11.986307206693416,11.497567482805321,11.02249174627368,10.561279395994026,10.114129830861055,9.68124244976998,9.262529480230919,8.857468695663467,8.466208102804744,8.088627649685108,7.724597475119965,7.37398771792532,7.03666851691638,6.712289042327448,6.400309643824866,6.100612727926346,5.812924068576946,5.5369674705199845,5.272466738499546,5.019145677259767,4.776702322974072,4.544573617966472,4.322428259615715,4.109995867654675,3.906982121793833,3.7130927017429216,3.5280332872121094,3.3515095579112852,3.183208179982183,3.0225842400285314,2.869428231796338,2.7235026490531253,0.0
I,0.4671075342920935,0.5726817676149348,0.6873198496882291,0.8087098739300053,0.9356668120307478,1.0677658404446815,1.204908012906432,1.3473779319795247,1.4954860377551573,1.6497423300198857,1.8106869100823848,1.9788406433429324,2.154826559291284,2.3392536824143715,2.5327228613775734,2.735877940834734,2.949343193498152,3.1737177833216066,3.4096672438953526,3.658008531245931,3.9193289819617765,4.194199867325427,4.4831924586195875,4.786969960359638,5.106521681106629,5.4424693577517775,5.7953361927557605,6.165647354198935,6.5539160279502555,6.961126960408313,7.3881417087910055,7.835227081374897,8.302634181975938,8.790614119310685,9.299744756710687,9.831316098683374,10.385409035514598,10.961788267278923,11.560218494049517,12.180515355349943,12.823653969104004,13.490074445195372,14.178734032838657,14.888535378630504,15.618382333754095,16.368046305804388,17.13840095021292,17.92770337758958,18.733729950433013,19.55425703124068,20.38749066174238,21.23389715500005,22.09146139214556,22.956738550730012,23.826279481216602,24.696862546355902,25.56795155301709,26.437418716630503,27.300931698823497,28.15413712051459,28.992803674937477,29.81541162461695,30.6197974494967,31.401423507528953,32.15576484782963,32.87834918844051,33.567210817204455,34.22045471283547,34.83419583080554,35.40476223457889,35.92848406242302,36.40353773301342,36.828858393692585,37.20188027191949,37.52075087314118,37.78361770280869,37.98934542397241,38.13823597942252,38.22889053939244,38.261744820547534,38.23734725387745,38.15624734117556,38.0200685463422,37.82838697090256,37.58218146680072,37.28435239418396,36.93780011320065,36.545424983995716,36.10943079038075,35.62971619293295,35.1092182479339,34.55172747402839,33.96102398000012,33.34088252597136,32.69335416534034,32.019266670908195,31.322221769123452,30.605895698096624,29.873964695938,29.130014171239722,28.374957022078352,27.610418954829587,26.839558160624986,26.065235038356505,25.290309986916974,24.51738323960272,23.74668500258627,22.97999092685041,22.21935100174858,21.466642580770305,20.72374301740501,19.992282306688235,19.272039542481895,18.564217843468082,17.86993199424126,17.19014481678417,16.525819133079132,15.877844729364725,15.245856386293823,14.630209863890101,14.031392579117522,13.449686250666648,12.885372597227462,12.338733337489991,11.809683920760776,11.297584007005902,10.802647251769056,10.324746136744286,9.86374064367066,9.419490754287906,8.991856450335181,8.58041297110162,8.18449373337214,7.803971859423925,7.4385161014019925,7.087792665531911,6.7514677580394356,6.429207585150701,6.120644661690377,5.825074042092072,5.542093141363936,5.271369461596126,5.012538437919301,4.765235505464718,4.529096099363157,4.303755654745425,4.08882542843047,3.883621293808345,3.6878830628654278,3.501314825700672,0.0
J,0.23081569467658591,0.2793937113996012,0.3333303241113477,0.39209966620129993,0.4555635338929496,0.523845554565456,0.5971864433541759,0.6759669791337294,0.7605914657200473,0.851551790841978,0.94936753041975,1.0545786632470886,1.167791940011978,1.289628822012434,1.4207366587317556,1.561827605329705,1.713640237915747,1.876920223006195,2.052484547921758,2.2412254240867946,2.444064351772712,2.661924445144326,2.895728818366567,3.1464810978379583,3.4154288483312993,3.7036832529419352,4.012400354275586,4.342739489387618,4.695884184410236,5.073340570866601,5.47659287736346,5.9069361892228915,6.365662103465608,6.854062249979882,7.3736716492665035,7.926546978526964,8.514082131844559,9.137510918526495,9.798067147878715,10.49701302867758,11.236483208774555,12.018347964142075,12.843353100888702,13.712199154498142,14.625585622577455,15.584792898788754,16.592267494343794,17.648074824673063,18.751712094057222,19.902676506775723,21.100710998244736,22.347801110710797,23.643529615689665,24.985393253671397,26.37086782825821,27.797554180079864,29.26584466568629,30.77473691175766,32.31926794773469,33.89430175785232,35.4947766003299,37.11882954611701,38.76459273927035,40.42473770524025,42.09152545777683,43.75726038117903,45.4178211967322,47.07062757225548,48.70688196613941,50.31723366397508,51.89233422560155,53.42616241473403,54.91644679652637,56.35462303949233,57.731681136462846,59.038611080275516,60.26807821387362,61.41937168593658,62.48620064382875,63.46225418620767,64.34137069497666,65.11739140538883,65.78919678998764,66.35592356916244,66.81354177370025,67.1611073330979,67.39767617685447,67.52230423446315,67.53617827508036,67.4415405888782,67.23756351943084,66.92833110731533,66.51804970865764,66.01093184480176,65.41078492329484,64.71815006286847,63.93827596304605,63.07819337258323,62.144933040236054,61.145414670518726,60.08224593472946,58.958043979308364,57.780136799064415,56.555886316008554,55.29265445215294,53.997258118767085,52.670785954736346,51.31753032056572,49.94388093836315,48.55597746138754,47.159959542899095,45.76128671767618,44.35988247289416,42.95962724344442,41.56503618569731,40.180264624132,38.80946788322584,37.45656571579544,36.12120335118123,34.805211539676336,33.51140022301605,32.24198203803683,30.9991696215753,29.785175610467416,28.600829630810324,27.444713114639548,26.318724013937455,25.223620518834988,24.16011527377538,23.128920923203623,22.13075011156172,21.16510545146301,20.23044315120722,19.327458372768824,18.455964172847892,17.615762768783437,16.806656377914756,16.02844721758273,15.280770785055681,14.56170723686358,13.870801096375471,13.207651108590461,12.571674215658662,11.962287359729872,11.378907482954881,10.820951527483421,10.287736231836886,9.777304994339248,9.28932849501957,8.823335463102046,0.0
