Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,301.5030980200597,340.00282967430064,373.8158876891629,405.3456609011963,436.13683670334035,467.14798988304085,499.0770434116648,532.322146635852,567.2535660076757,604.0843837010921,643.0014596373359,684.2095102748254,727.8318531545427,774.0021906108484,822.8748802140418,874.5708038200091,929.2203065066682,986.9700135784627,1047.942466538294,1112.165526879491,1179.7929978821403,1250.9880391387555,1325.9138102419936,1404.6725146437084,1487.1590164981508,1573.4646518239879,1663.7140120724164,1758.0300068887095,1856.5189310122437,1958.9466987887552,2065.1229075535502,2175.1186753942798,2289.010831273161,2406.876082243712,2528.4502424476723,2652.955794569897,2780.2521823430543,2910.2712265949976,3042.944748153235,3178.108210748457,3314.5875826715915,3451.5576809658605,3588.8069673487666,3726.1296213558185,3863.316403866775,3999.3191966968225,4132.316268967692,4261.898618373652,4387.780549156593,4509.676365558156,4626.924198354423,4737.2355541875095,4839.842875470631,4934.6054596390095,5021.377874878816,5099.8646429109795,5168.093899962883,5225.0660765057455,5271.004206120804,5306.13221107272,5330.617159604926,5343.2607030107165,5343.243761360733,5331.231467932668,5307.918285103362,5273.980615414908,5229.077001645879,5172.839231283573,5106.26161730119,5030.360556081149,4946.151873033229,4854.02149958848,4753.9963813182,4647.153900965695,4534.51681720876,4417.1078887256635,4295.735136662361,4170.629707364517,4042.7797741543905,3912.92687041781,3781.7859193500067,3650.071559687264,3518.1539545337687,3386.829780965552,3256.7746750555793,3128.21782154347,3001.3884051689342,2876.5156106714235,2753.93702966904,2634.467650814042,2518.3202748246104,2405.422842745257,2295.703096952275,2189.0895616747234,2085.851667658133,1986.5884758826555,1891.163612141771,1799.3559558422949,1710.9443863910294,1625.7240747981373,1544.0429477888595,1466.1493180854104,1391.777877092001,1320.6854696981618,1252.6289407934637,1187.4114957729264,1125.341102528796,1066.4222295557538,1010.4173530586676,957.1062853092474,906.2688385792421,857.7297829556798,811.7188636412332,768.1799073613628,726.9201645941185,687.7648139815516,650.539034165698,615.0810225762432,581.5015932656837,549.8033294880439,519.834508095955,491.46498055858433,464.56459834507893,439.0032129245826,414.72936701703674,391.8581175191319,370.27688216539116,349.8919709297954,330.61179870370813,312.3447803785072,294.9993308455603,278.5557688733553,263.0856764450691,248.50049723884752,234.73772910790234,221.73541415917697,209.43159449962474,197.76431223620136,186.68248921483115,176.24660668354977,166.4270287918245,157.17278652995566,148.4431731153084,140.19748176525604,132.39500569716773,124.99503812838509,117.964189362524,111.366373614456,105.15429755086251,99.28632292929797,0.0
B,215.019499305585,248.90727467256477,279.38747923866356,308.4507172445682,337.37062761538937,366.9361774327939,397.7271390034848,430.07849206635785,464.30863104497803,500.6093993089818,539.1541842536037,580.1338642796052,623.6742717174786,669.9109412616061,718.9968068857913,771.0577264017597,826.2283361539303,884.6573756313829,946.4707401145226,1011.7094594116027,1080.5242532003963,1153.0740047208237,1229.5175972129396,1309.9572619373423,1394.2995165445432,1482.626669020091,1575.0506041737951,1671.681644214283,1772.6137799578846,1877.608577182084,1986.461866848826,2099.219214409024,2215.931655440565,2336.6501061504787,2461.0887389443074,2588.4467096904373,2718.548183388356,2851.2898172614105,2986.5682685326074,3124.1847401337845,3262.932299527043,3401.948581745599,3540.9899378365353,3679.8189192156096,3818.194721498945,3955.0445577932505,4088.525661945905,4218.216294090085,4343.822585684149,4465.050668186195,4581.236673206986,4690.116399743761,4790.944614439925,4883.605356905258,4967.978154634964,5043.795467238829,5109.1546879505195,5163.122983450065,5205.965772579897,5237.949040546489,5259.282876825977,5268.8528299735935,5265.931118715887,5251.212859230716,5225.417851235345,5189.248109405773,5142.423239329036,5084.654783530746,5016.933840492107,4940.2634635482245,4855.646148191204,4763.482940271904,4663.85088203904,4557.79602030223,4446.296891608545,4330.332032505508,4210.678504259935,4087.5923391702163,3962.0264644172958,3834.6736076945817,3706.200784568462,3577.2747449647463,3448.2535812270107,3319.926176150381,3192.9242172131317,3067.449914981847,2943.7054800231754,2821.893122903526,2702.33533167287,2585.839385940491,2472.589113532652,2362.507608899574,2255.5184144306077,2151.5458655275975,2050.8508004378145,1954.011222793656,1860.891325265332,1771.2767649807388,1684.953199067776,1601.7220627978718,1521.9193988282998,1445.7845076185472,1373.0616360801823,1303.5167973344523,1236.9160045026363,1173.069898015371,1112.2757103230356,1054.5388369426005,999.6305890620005,947.3388758637522,897.4516065303919,849.8000026920496,804.6064106927975,761.8179159744465,721.248366111555,682.7287656018967,646.0901189432151,611.1760096955088,578.0942562230015,546.8487752947433,517.2925507623518,489.2991845190536,462.7422784580721,437.4954344726421,413.5088352939822,390.8956318571969,369.546897375403,349.3711882720484,330.2790993534781,312.18122542609734,294.98816129625357,278.68095081999536,263.3308558548025,248.85165684036363,235.18200428495186,222.26107937942584,210.02806331467187,198.42213728158333,187.39320081175313,177.00156361723262,167.2189681112613,157.99518739088117,149.29002087343915,141.06326797628478,133.27472811677555,125.88420071225349,118.85880677512313,112.26298636774104,106.04976834959868,100.17782702448983,0.0
C,585.1159140706534,645.5308786097305,699.718756626381,750.9832620105683,801.4329084578234,852.362262952148,904.7042924658442,958.9765104114297,1015.6559602906701,1075.0011523207586,1137.2326792702852,1202.5889384319175,1271.195918468262,1343.1925813523044,1418.7306817780013,1497.9139072011349,1580.8628090209254,1667.7223796175972,1758.5726950997744,1853.3324576519374,1952.1341330044665,2055.125549639003,2162.4545360373545,2274.1529258029,2389.876950625955,2509.6454774475583,2633.5201213502596,2761.5589914592756,2893.7894175563515,3029.6823313681743,3168.805036118824,3311.1473550254113,3456.7079620765608,3605.485339392637,3756.9543313195013,3909.8436627090396,4063.8917991131793,4218.94578041016,4374.8526464778215,4531.323914105627,4686.679477213273,4839.809302267138,4990.485787353972,5138.489302243778,5283.5956865137105,5424.498216590072,5558.9862371804575,5686.73280045913,5807.566017632493,5921.3139999066525,6027.347244974782,6123.157496790052,6208.142609799017,6282.415394068891,6346.081892692965,6399.071665838133,6439.462272828804,6466.522488010063,6480.788434436322,6482.785828651595,6472.974687608692,6450.371025289472,6414.492700021354,6366.257994901798,6306.585113421137,6236.372144319332,6155.4960675336415,6063.906295108046,5962.717715267818,5853.014488017302,5735.880173539137,5611.813457693692,5481.093561650609,5344.805371365912,5203.900855148671,5059.33198130853,4911.869314869255,4761.932035798549,4610.514214904573,4458.223769662125,4305.641418204309,4153.347633307928,4001.7134722397823,3851.702977979811,3703.889285222337,3558.3773632851676,3415.2721814862266,3274.678709143106,3136.9218099902923,3003.0031705317833,2872.999203871629,2746.7709488445107,2624.1834105827925,2505.102717056926,2389.8164822183885,2278.9594879747233,2172.3461835587577,2069.723809379992,1970.8396058479002,1875.4590240184357,1783.9540390588031,1696.5773366406163,1613.0400111257482,1533.0823853949769,1456.4447823291327,1382.9168136022076,1312.8220768151114,1246.1617004255763,1182.6851265746122,1122.1606309351805,1064.356489180272,1009.0880078513121,956.5948583698105,906.8177282791197,859.5531861831486,814.6164697360996,771.8228165921604,731.0010653281213,692.2662666922319,655.6214411225582,620.9051562519905,587.9781227154139,556.7010511476939,526.9346521837305,498.6228233413526,471.8873816124145,446.608340360175,422.68380735342055,400.01409462586764,378.49951421123353,358.04037814324033,338.61418178321827,320.2981827382189,302.99652311502155,286.6398760021373,271.1594930652209,256.48662596992347,242.55252638187773,229.30030223672918,216.79581780142314,205.0073390234378,193.87775874361975,183.36096297464317,173.41083772919836,163.98126901996903,155.02614285962719,146.50763364948406,138.49804831396898,130.9435018388585,123.79653663431245,0.0
D,3227.0569646512677,3591.5012697608145,3914.0123068993403,4215.942136116244,4510.929948332033,4807.347942422,5111.225831483257,5425.890033269272,5754.409076115951,6098.421008630008,6459.31544701368,6838.61761968937,7237.098243626677,7655.609611687789,8095.144783207679,8556.36408707363,9040.005241391096,9546.949212033805,10077.774207457815,10632.140353941813,11210.876317590935,11814.8967402759,12445.116263867883,13101.82821868707,13783.281421356354,14489.67743718237,15221.477364742037,15979.123999449781,16762.893648136327,17569.96776933512,18398.041722060658,19247.1738094354,20117.472302182625,21009.044397636928,21919.056206503185,22840.447974335235,23771.80915679028,24712.342370141116,25661.250230657275,26616.961754204254,27569.949845657306,28513.86353831103,29447.348094849996,30369.093291995523,31277.76266764176,32165.74464072236,33020.10211059571,33838.701628974944,34620.297067582156,35363.64229813814,36064.80120173017,36708.69952546518,37291.33574027516,37812.913166326674,38273.59583825314,38672.50175498263,38997.63149920415,39243.93444919366,39414.024991494596,39510.46734791328,39535.4358951255,39482.339646582055,39347.44561749369,39135.76563331587,38852.35915911729,38502.16627305164,38083.86071350617,37596.36127756131,37046.150420103564,36439.629590327764,35783.19665920908,35079.600839948886,34329.97889793826,33540.93252615699,32718.432709899364,31868.45043446314,30995.793951566422,30102.731373497438,29195.422940429446,28277.974213560894,27354.327222500742,26428.42240702344,25502.667446614938,24582.886220617176,23672.98626573813,22774.01385795515,21887.015273246154,21013.036787587163,20154.28536131726,19316.866783294496,18501.705131530776,17708.199417428754,16935.76485338659,16183.822912619673,15454.293405251059,14751.309696530916,14073.92277419034,13420.690890216867,12790.172296597953,12181.036669671,11595.721856279812,11035.976147253072,10500.070812358055,9986.433530628889,9493.491981100153,9019.984397714403,8568.052170628875,8137.8019942403025,7727.673474666537,7336.219031733943,6961.991085268888,6603.844254938926,6263.381857071685,5940.281793244954,5633.250950149133,5341.113244612432,5062.69259346317,4796.901322001082,4544.525071375997,4305.627733693143,4079.171022328732,3864.256700364197,3659.986530881195,3465.4622769611715,3280.333957647633,3105.4343701047437,2939.992845161346,2783.346075060766,2634.845153081037,2493.841172500497,2359.6852265970533,2232.2412736666497,2112.0433733566033,1998.4676005604927,1891.0593824924113,1789.3679650067772,1692.9425939577948,1601.3325152002956,1514.166104797541,1431.8950126507227,1354.3202118651952,1281.0648990753275,1211.824931253973,1146.2961653738776,1084.1744584078804,1025.1556673286698,968.9916384791056,916.1777382026128,866.3554019128985,819.2091875368769,0.0
E,326.940478947971,368.5008801675459,406.4682714091441,443.0735098324045,479.7409824195099,517.3518995457915,556.554539713151,597.724542870163,641.2200354510801,687.2592425430703,736.0406578561825,787.7815197224444,842.6288812226983,900.741243559059,962.2925475026209,1027.428826645273,1096.3089407775574,1169.108870216252,1245.9707017089615,1326.9326070316952,1412.1735388657823,1501.882709028803,1596.249329338304,1695.390389318372,1799.1775984978308,1907.7091664567756,2021.1190517859632,2139.5391803420544,2263.081322521874,2391.4517494505026,2524.4040966504795,2661.9987066115345,2804.302603495173,2951.382666240158,3102.898798011495,3257.895301265417,3416.175038546521,3577.627498545556,3742.142169952647,3909.493807237462,4078.2536449009463,4247.411622704664,4416.692994560997,4585.83000475557,4754.550850978163,4921.590304563715,5084.7727779781035,5243.605701344783,5397.743870817453,5546.842082549492,5690.112422505119,5824.861166831819,5950.194234267614,6065.953868512914,6171.976689787089,6267.923240148142,6351.499441406031,6421.558699276951,6478.372422964239,6522.211910336716,6553.281870512699,6570.201489285124,6572.040491665015,6559.5745918831035,6533.610369754567,6494.9334268412185,6443.155051618939,6377.863096343641,6300.2034608693775,6211.343793399128,6112.451088468678,6003.973807225075,5885.957170499579,5759.642959668541,5626.20840987504,5486.83075626281,5342.4449772998905,5193.34540179929,5040.684236958443,4885.327563894707,4728.11119068751,4569.870600570395,4411.057131865098,4252.636329114955,4095.411118081855,3939.6666234595414,3785.6879699418837,3633.760282222409,3484.303709936722,3338.3186458851105,3196.075292106014,3057.509626577138,2922.5576194736022,2791.1561544242886,2663.647892868503,2540.775241437508,2422.3966123171376,2308.2655555032097,2198.1356209915166,2091.7796770228133,1989.6327945418059,1892.0171636493963,1798.6271752282432,1709.180881229288,1623.3963336035501,1541.0473010842563,1462.521040225919,1387.840074325998,1316.7221623843511,1248.9048835970918,1184.125817160325,1122.1774623602678,1063.3520756754524,1007.5922005596619,954.6636652635559,904.3535457887247,856.4489181367541,810.7529772606691,767.4099497639993,726.4322016048415,687.6324708853138,650.8491855227549,615.9207734345205,582.6856625379285,551.0818868944041,521.2615289132356,493.08592865538327,466.4367913792779,441.19844817587455,417.25523013613287,394.49146835096883,372.8840865270227,352.53014838476645,333.3182026750105,315.16803456275505,298.000121237899,281.73493989036973,266.2929677100616,251.60886865334612,237.76434880951962,224.72413003780616,212.42202216139628,200.80494919376224,189.819835148391,179.41360403878429,169.5331798784103,160.13535801596748,151.30805121943115,142.98867294837862,135.12221085524232,0.0
F,624.855179061389,705.639040213059,776.6283024511346,842.767789308455,907.2212933331131,971.9351778827089,1038.3141802421978,1107.1371766216096,1179.1239874948642,1254.6628457094616,1334.0845703210598,1417.7537356722974,1505.8584751794872,1598.6056562056478,1696.2409729390356,1798.9313518182726,1906.8583736247188,2020.2353143017056,2139.2173732204833,2263.7589851143357,2394.062892243804,2530.350377597805,2672.8427241654413,2821.6289881478738,2976.3572041949183,3137.0884878831066,3303.9423816504436,3477.0345943509337,3656.444535956767,3841.5661170880994,4031.8974126511444,4227.457232766447,4428.275474490714,4634.381796103772,4845.146356127022,5058.977397235759,5275.542456925012,5494.648399334083,5716.102088601643,5939.534589705713,6162.753868249257,6384.272883553134,6603.748951081508,6820.850148525459,7035.238562535103,7245.126851124394,7447.470358633682,7641.726896170037,7827.566580184154,8004.659527126269,8172.050299884739,8326.164099670454,8466.010244967592,8591.6035244967,8702.950035867074,8799.811342101533,8879.322778610609,8940.24704558478,8983.189130706618,9008.745374200327,9017.420343670996,9007.633809363753,8978.472061647308,8931.134363198084,8866.83689145062,8786.767363899613,8690.607409994776,8578.083108175415,8450.75837160119,8310.183500619574,8157.907931528956,7994.591842238977,7820.483118325829,7637.170954388246,7446.09896274806,7248.710755727842,7046.163195605513,6838.956403899929,6628.551319319608,6415.933404063464,6202.048687610968,5987.842814093957,5773.869700258103,5561.45572516026,5351.522584838768,5144.316756787228,4940.084718499495,4739.072947468909,4541.7818147170865,4349.590457922868,4162.715848708611,3981.00791871083,3804.319744118388,3632.505828354868,3465.993824132754,3305.7230728485283,3151.4623572238597,3002.865307051833,2859.5855521255207,2721.3025531910343,2588.5674673585568,2461.7709642304985,2340.503805169422,2224.393811795348,2113.0688057284174,2006.228598500355,1904.359048151332,1807.4751238428607,1715.2118266391958,1627.2307633779978,1543.1935408968998,1462.8315436908847,1386.5084703445532,1314.1441213332662,1245.4391180761893,1180.1214276096318,1117.919016969909,1058.5801829732627,1002.2822644728808,949.0357498954037,898.6021287761671,850.7756166174679,805.3504289214907,762.1207811904574,721.0059265075608,682.1932744112237,645.5058952604088,610.7931146814085,577.9075617486399,546.70186553661,517.0286551197876,488.8567369899384,462.30546007687735,437.23294664105066,413.53678362901707,391.11542721830943,369.8673335864601,349.6909589110388,330.50258890472196,312.40328608190754,295.34722716194767,279.2499202041429,264.0433659971526,249.65956532958108,236.0305189900636,223.08822776724347,210.77714724888094,199.20717825811556,188.29842355170885,177.98060241160022,0.0
G,163.792968645372,188.20738283347788,210.51376851508877,232.07670199398277,253.7733521197539,276.1533821822122,299.627454259132,324.44284594594626,350.8386572814777,378.9715312441735,408.98813499343316,441.0501250817978,475.2790079481566,511.804775280355,550.7727823275376,592.3151945035929,636.572789152991,683.6969935311317,733.8306172394848,787.0644161009559,843.5690942763777,903.5212555664561,967.0975037718558,1034.4432841834546,1105.5894370162212,1180.6769243893505,1259.8754996773291,1343.3542212880793,1431.2747016175513,1523.5837995691675,1620.2466130946723,1721.4044565821216,1827.20277273265,1937.7869270737028,2053.0738952952124,2172.612701769412,2296.377713619452,2424.3982746224688,2556.703728555329,2693.252215530111,2833.2393415720026,2976.08062472859,3121.6402641508766,3269.7869331811507,3420.3865333594294,3572.619480081904,3724.984566991821,3877.0753504550676,4028.581246215911,4179.191670018558,4328.261410071704,4473.649015311055,4614.46822088302,4750.375978527675,4881.02512270467,5005.926430556894,5122.928592056443,5230.691406264379,5329.072318444171,5417.934062556695,5497.0845025035715,5564.883788617877,5619.930915413886,5662.492590549483,5692.892096946646,5711.435639359655,5717.293002434882,5709.414365129077,5688.534670202458,5655.490746716069,5611.118899422823,5555.51299127928,5488.100951921754,5409.911446508715,5322.084259134452,5225.759173893898,5121.801848223943,5010.060360484482,4891.534435500558,4767.308852261713,4638.444776774874,4506.003003430826,4370.428109716156,4232.320771443557,4092.709416530638,3952.2025225133043,3811.408566927611,3670.936027309239,3531.280324488363,3393.1044594511704,3257.0696446187826,3123.330780195214,2992.0332140991886,2863.322308061006,2737.5671535736556,2615.5549911932103,2497.319826153892,2382.7216185183506,2271.620328349143,2163.891435649255,2060.000620333309,1960.368919120704,1864.7525462253973,1772.9043528246127,1684.577190095648,1599.5788949016119,1518.3554184386908,1440.9939831837428,1367.2156651487085,1296.7563145620516,1229.351781652264,1164.7978467989292,1103.4508169141952,1045.2841126844357,990.0486357840541,937.5165097705857,887.4598582015564,839.6692768285641,794.3333717585651,751.4935455709457,710.944231897383,672.5071615443667,636.0040653184252,601.2566740260421,568.2054792943577,537.050682575714,507.64105969261294,479.8441932318127,453.53073893188355,428.5713525314353,404.83668976903,382.3095468023684,361.1206905900891,341.14490271040535,322.29206968083145,304.4729063161954,287.5981274313598,271.5784478411657,256.34180519089455,241.99579072980157,228.50565029204614,215.79617427673628,203.80784261496927,192.4811352378555,181.75653207650168,171.57451306199366,161.8876129657095,152.80824828906123,144.2642445863798,136.19251550037225,0.0
H,158.62580668626578,181.8900565729764,203.0261909535438,223.30939666606554,243.55211362761156,264.2545112388861,285.7820718086671,308.3430186372773,332.13453204535386,357.27262769533337,383.8612934262645,412.01441129899996,441.80473453437014,473.3111052448051,506.6204450536507,541.8027344424167,578.9347104912407,618.1025407256009,659.3720756657225,702.7501320461839,748.3219788348104,796.1785965974593,846.4109659000422,899.0685679181895,954.061682052895,1011.4297668707702,1071.230972179353,1133.522252081643,1198.3490883419638,1265.532538791339,1334.9223267861735,1406.537647002497,1480.4013523292497,1556.5362165787765,1634.7434501414427,1714.4918829474127,1795.6678171646843,1878.20530042963,1962.038380378358,2047.0400544579688,2132.441694604711,2217.7054756657635,2302.6926139208535,2387.268319980128,2471.2956845340473,2554.1157938595434,2634.5967418932532,2712.503499202109,2787.6805285683604,2859.9722927741,2928.993126335919,2993.371561930289,3052.681957075873,3106.8832110909125,3155.9312951820502,3199.690884645008,3237.0213493362025,3267.382026404532,3290.957327296979,3307.9308855730415,3318.45167484678,3321.8547870952193,3317.7128202884046,3306.4569704447845,3288.5314334906134,3264.3694645970427,3233.8018382467676,3196.6516789314,3153.5176885168908,3105.004469763534,3051.7162867262987,2993.89000721389,2931.5593593674375,2865.351901465299,2795.8559662442603,2723.65988644139,2649.229269197385,2572.7056307735197,2494.658935864704,2415.509904121041,2335.663834845886,2255.5258653883257,2175.309278590363,2095.482069192219,2016.430927555166,1938.284528222675,1861.1715457382663,1785.2206546452906,1710.6278335171019,1637.8772920233246,1567.091800510916,1498.229553258741,1431.2487625677195,1366.1080956519163,1302.9676837108314,1242.1866441754946,1183.6876446432814,1127.3418266359047,1073.0203316750553,1020.60391976192,970.3026999030911,922.271349298859,876.3542430474806,832.4077827191488,790.2883698841008,749.880165805974,711.3726851517724,674.7744951993518,639.9436374327199,606.7481068688378,575.0558985246529,544.7623781366742,516.011746625684,488.7743332448531,462.9331923538999,438.38201266518996,415.014482891077,392.73232721951706,371.60708913787556,351.64458337127337,332.7517066700409,314.8482275098976,297.8539143665652,281.6885357157563,266.3214487742081,251.8284131191782,238.14060390717944,225.1995263031799,212.94799476481313,201.32882374972473,190.2848277155443,179.80485482991196,169.93736112587027,160.6272089806898,151.8348831754908,143.52121291032142,135.64702738521973,128.1731558002416,121.0674689989904,114.37077787814334,108.06578387302898,102.11990530132654,96.50707584165318,91.20122917262692,86.17629897287415,81.4062189210128,76.86981264540346,72.61084022775114,68.5984795544938,64.80567344710059,0.0
I,304.56718234445464,345.1959553607793,381.23364590908386,415.08204683729684,448.2694867294648,481.7305427496017,516.1380929794154,551.8627619978631,589.2482603724603,628.480072251836,669.7174408552181,713.1354824910943,758.8277946885873,806.8979979004611,857.4648294321929,910.6128263762445,966.4372370784693,1025.049730815968,1086.5275443480532,1150.8462677373782,1218.1176411061253,1288.4633163744238,1362.0049454624443,1438.7949689459517,1518.658348866556,1601.6421799189045,1687.824722689732,1777.2822212079034,1870.0730473891113,1965.9090013778305,2064.5593517573147,2166.0622171269347,2270.461468530576,2377.800857032678,2487.7920545438087,2599.6634265283465,2713.2813763344675,2828.5833693608856,2945.5068710060004,3063.900072373901,3182.686726234641,3301.143379042419,3419.1218282244135,3536.4791184291753,3653.069189127181,3767.9985492903784,3879.717515696987,3987.944140057776,4092.5018311451927,4193.213997731272,4289.574487980851,4379.686793506534,4462.9829631284865,4539.415142654062,4608.930846914845,4671.3468447345695,4725.054154937798,4769.282730186934,4804.2593680532145,4830.207533712087,4847.301551322129,4854.561419683765,4851.331467601434,4838.1611862537775,4815.61772090465,4784.253035700119,4743.77002960861,4693.847688842593,4635.280218790332,4568.876266283445,4495.444015456466,4415.2766975945,4328.368459914344,4235.583941075215,4137.748181304747,4035.6862208310285,3930.0498033362583,3821.021929568562,3709.4105417837027,3595.8365066555043,3480.8994709184562,3365.1988468091768,3249.0513558834846,3133.134385717608,3018.0310995741493,2903.9567347816646,2791.1265286687594,2679.755718563809,2570.147817264694,2463.014309524602,2358.5670629617643,2256.7673840050866,2157.576176549891,2060.9549669281782,1967.1533827161497,1876.7163078367853,1789.5482200108465,1705.4731197999845,1624.3150077657992,1545.911856102274,1470.584056185377,1398.5735661940594,1329.6592144678527,1263.6356452207785,1200.2975026669153,1139.4803542767347,1081.472388507824,1026.294115220212,973.7382774055243,923.6118855525558,875.7219501500653,829.9161908962718,786.4136881609193,745.1741972695509,706.0246663705686,668.8076735713785,633.365796979374,599.5536215832996,567.4801713154864,537.1564078641981,508.4434923127494,481.22159551708944,455.3708883331743,430.7715416169534,407.3782033606701,385.3057715205266,364.45142677984114,344.7272757232319,326.047385286803,308.32582240668285,291.4766540189503,275.48327304255366,260.4190988281628,246.2012227653103,232.76999655936268,220.0662896279335,208.03097138859107,196.60491125895047,185.73960075851335,175.49665304208455,165.8500364805717,156.75046180392215,148.15845098678852,140.03452600384156,132.33920882975193,125.0330214391744,118.08387450868966,111.5578024647184,105.40814197582594,99.5938988485266,0.0
J,193.41264881122038,220.16129721145444,245.84675792608493,271.6434908085846,298.31447257292837,326.3513305867963,356.13593794192514,387.919789569606,421.9536005570727,458.426648610735,497.524895485564,539.4505088353042,584.3813412028838,632.5059732332895,684.0253419266695,739.1397609131342,798.0648131015625,861.0290198968299,928.2498648424257,999.8912206805576,1076.2218542232074,1157.5179359952404,1244.0556365216883,1336.0785553837918,1433.7057304245668,1537.1882224725382,1646.8198821178346,1762.8939892085345,1885.6988098650747,2015.2754115678604,2151.686773974946,2295.2190339408417,2446.163816596654,2604.8126628860346,2771.1902979082824,2944.8727850950377,3125.9531580412204,3314.6002384773446,3510.9828481334707,3715.182545218005,3926.326999520467,4143.798019829991,4367.543438378828,4597.517546227893,4833.671020459526,5075.05682983931,5319.802941386643,5567.433210749925,5817.594128835789,6069.932186550483,6323.628486154115,6575.7560635642185,6825.034976203249,7070.908700958206,7312.814776808428,7549.981051432693,7779.144281906764,7998.096754056522,8206.346098017613,8403.40702025579,8588.709891747738,8759.369001735859,8912.681656214987,9048.571137049285,9167.060627003064,9268.147478298097,9349.913544202587,9409.809051535263,9448.440769299728,9466.65141869683,9465.28301240684,9443.887743763235,9400.481224080562,9336.271811814055,9252.888913687731,9151.961936426313,9034.637747251816,8899.783012450363,8748.569827131916,8582.98808681984,8405.00362661503,8216.581660782016,8018.357887820402,7810.512922205865,7595.0136494397675,7373.422065832561,7147.300167694943,6918.209951336965,6687.070329846867,6454.296058046989,6221.714085938377,5990.053070568354,5760.008906574325,5532.275545834887,5307.5176038516265,5087.141120622242,4871.617348667481,4660.982229398836,4455.271704227793,4254.537495139674,4059.625712763201,3871.4989992819956,3689.918382873001,3514.5676284849405,3345.1305010666365,3181.378500367976,3024.2086990548414,2873.955511839684,2730.159405252662,2592.3689374251317,2460.132666488477,2333.112638902441,2212.0853869466227,2097.102180568954,1987.692891040917,1883.420877415203,1783.8494987444283,1688.5801096917498,1598.0597607845164,1512.450250201764,1431.3401886990303,1354.3665127217114,1281.1661587152112,1211.3760631248806,1144.8961215347144,1082.2203263381607,1023.0487551723324,967.102162941603,914.107882422295,863.7932463908049,815.8855876234375,770.3700352953771,727.5837591757198,687.2633009664937,649.214676933499,613.2457654394539,579.1644448471027,546.7785935192047,515.9363881229015,486.9123961773315,459.6489232078797,433.98058174968486,409.77760618589053,386.9102308997125,365.2486902743359,344.6632186929389,325.053249651597,306.7046580833568,289.4536198154718,273.15796667502184,0.0
