Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,26.123168804816974,31.574156882445497,37.544338326288226,43.8552276549304,50.41110489768918,57.16798760046408,64.11240958855129,71.25204116162631,78.6047758482041,86.19781406226554,94.06192302180278,102.23051443456147,110.74038705669328,119.62874005626168,128.93359914931594,138.69464929769043,148.95207413641762,159.74697673906513,171.12204824046242,183.12078629532405,195.78399726288148,209.15497553217057,223.27988369614138,238.2077525516588,253.98853262263736,270.6659679833599,288.2850264046234,306.8939594996791,326.5442617923576,347.29055819764903,369.1786709519981,392.2474297678308,416.5406200438081,442.10728195800993,469.00170781865586,497.27251631515355,526.9431293731582,558.0379100410836,590.5871201420581,624.6269202739202,660.1964431925609,697.3004464387113,735.9214903699308,776.0493279029979,817.6815780754517,860.8236157499487,905.4562251284543,951.5007172331048,998.8806595305742,1047.5294950466575,1097.3905423662666,1148.4007153362388,1200.414794649891,1253.2712795286375,1306.8236744290814,1360.9403559275618,1415.4970006022565,1470.2888722593652,1525.0726787126937,1579.6277051268464,1633.7559524887397,1687.278819517816,1739.9559046360714,1791.4974350765565,1841.644797872505,1890.1719881895863,1936.8844589681087,1981.552668397017,2023.9021958890808,2063.696815726977,2100.7398764466166,2134.8742635285776,2165.939720989084,2193.744654946865,2218.1379745919185,2239.006660078792,2256.2757625265854,2269.8937441123253,2279.7952351821896,2285.957003031416,2288.381622478126,2287.0956460509583,2282.149581935858,2273.5950364221394,2261.532186826744,2246.0954776373032,2227.416405321054,2205.6235183248305,2180.8424170750736,2153.2107002016037,2122.9366558536594,2090.234503789941,2055.299671372717,2018.30892385991,1979.4204566197045,1938.8122264029978,1896.7197380275675,1853.3595309440134,1808.921141012678,1763.5671005036452,1717.4347562553812,1670.6975004187764,1623.5545349509562,1576.1763275805815,1528.7073867951108,1481.2662618407956,1433.950786943934,1386.8942438380561,1340.2313155393529,1294.0728731725765,1248.5080878820522,1203.6044308316798,1159.4128160882592,1116.0127925751192,1073.4797109855663,1031.8711273164267,991.2289920876649,951.5796503423851,912.9353475440789,875.3248250345387,838.779920985758,803.319680946942,768.9531028525087,735.6791370220917,703.4866861605392,672.3634791204458,642.3139118952897,613.3335828319281,585.4121669467411,558.5336621848463,532.6763894200992,507.81299245509285,483.91834102125944,460.9790584254969,438.97583509474714,417.8865126429601,397.6861447659909,378.3469972415986,359.83854792944544,342.128634041245,325.1953011170881,309.01704683023,293.5701339714708,278.8296434897868,264.7694744923303,251.36234424442924,238.5797881695882,226.39296570894456,214.78316889648625,203.72910619579253,193.2076393153929
B,10.399999999999993,13.979988684076526,18.06798172963983,22.53811097053979,27.325770094565325,32.404222524514516,37.768857933044146,43.430489625406274,49.40744187659984,55.72509742951978,62.41182698284815,69.4984307439703,77.01872966441978,85.00749797115068,93.5008078144808,102.53656812038156,112.15373467908059,122.39267864708032,133.29572716715685,144.9063670680144,157.2663252956854,170.41991315269289,184.41434171704543,199.2997218422379,215.1273681524216,231.9433126681354,249.7947235755124,268.73188979304257,288.80818870208435,310.08005127828426,332.5954073251547,356.3950163805537,381.52419288618864,408.0331066234242,435.9767803343126,465.4043639328222,496.3390802415149,528.8043114412542,562.8288525445594,598.4469113956013,635.6951766351847,674.574423074735,715.0615212400987,757.1401367996358,800.8014684981484,846.0441361554272,892.8407410085185,941.1013099840196,990.7377631921372,1041.6720561093214,1093.8361795782612,1147.1552721678572,1201.4689860042688,1256.6002389223288,1312.3879702366144,1368.6870063294996,1425.360200693855,1482.1879290975492,1538.912044634617,1595.298806502596,1651.1389818552504,1706.244404351722,1760.3649467314235,1813.2024808147469,1864.4921464723639,1914.003588180592,1961.5397672156498,2006.8698485074256,2049.7209581019206,2089.8600440446126,2127.0946355157557,2161.272804620315,2192.24078387016,2219.8171392779736,2243.861747071465,2264.2720705073084,2280.9831598711376,2293.953394009662,2303.130699565389,2308.5060503133263,2310.0945302988516,2307.933471917502,2302.0824345428086,2292.6025154172366,2279.606085696474,2263.2381093940176,2243.638686375985,2220.9430523611127,2195.281578920759,2166.7963977451554,2135.70235896933,2102.2175988604295,2066.540487066921,2028.8498280353726,1989.30495803014,1948.08477391261,1905.4248363136885,1861.5409912214611,1816.6219067473555,1770.8290731261416,1724.2986179177465,1677.20214903225,1629.736301476906,1582.0690686324529,1534.342682836366,1486.6736153828551,1439.15775437551,1391.925791245898,1345.109645176945,1298.817737681717,1253.1370891744457,1208.133318970529,1163.8557068119221,1120.3817117387614,1077.784701380481,1036.1205291181839,995.4296850392236,955.7372959372043,917.054607898523,879.4091747920556,842.8317351878829,807.3404365510769,772.9435205406619,739.6393230096149,707.4162740048663,676.2616771008444,646.1794576991566,617.164921478498,589.2075076612559,562.2910316251775,536.3936849033662,511.48803518428474,487.54889222939926,464.56288209212573,442.51078274739416,421.3705212035855,401.1172338266759,381.72326634023455,363.1581738254241,345.3898693051305,328.3965411663283,312.15691218104627,296.64744919809397,281.8434084821362,267.71883571369335,254.24656598914018,241.3982238207079,229.1450423327887,217.4685455852101,206.34761832263627,195.75925147419096
C,58.10817544412792,66.60825814229852,75.75040172990764,85.32930276213294,95.23735498684803,105.4275165309859,115.88803109200222,126.63134822086364,137.68122479037905,149.0716854714908,160.8402999918607,173.02713538033657,185.67551463436686,198.82866446355624,212.53026815478597,226.82498305533397,241.75725610284923,257.37213625949306,273.71622789081914,290.8357653365413,308.771332661684,327.5661257806203,347.26653686033865,367.92215432044344,389.5823956789286,412.2849403532443,436.0680948302949,460.9735258363378,487.04617736977264,514.3339184464521,542.8697990962573,572.6754073810466,603.7780119888723,636.2109759867409,670.0137523499847,705.2159821071996,741.8115172386065,779.7952390835015,819.1691971779061,859.9426092545618,902.127761223237,945.6917444621787,990.5749384235698,1036.7274478407257,1084.1097992938062,1132.6927904774636,1182.4176206587556,1233.1579898872938,1284.7936534196012,1337.2181306471816,1390.338705096512,1444.0575619206338,1498.1903772810228,1552.5418899060746,1606.936840930223,1661.2197306587623,1715.246557467514,1768.7960312476648,1821.6176394694783,1873.4882091284503,1924.2113854323375,1973.61421136201,2021.470742106417,2067.5204530325454,2111.5363252716734,2153.3246341753,2192.72383842684,2229.5470550810014,2263.581158124167,2294.649618188614,2322.6108868942893,2347.35836283153,2368.7868785879214,2386.779752891113,2401.256149320004,2412.163920474225,2419.4796079741395,2423.198045481333,2423.3173347401753,2419.875273131494,2412.924215505628,2402.529405772315,2388.7689603679387,2371.723850000313,2351.5320708881277,2328.355203442931,2302.3438430956767,2273.6376002967277,2242.3651005158563,2208.6654904576253,2172.75374285516,2134.8392993842604,2095.1103610133678,2053.734327233344,2010.8579034057925,1966.6462591707598,1921.3158446961677,1875.0626104877647,1828.0568230243093,1780.443064757571,1732.3419416176457,1683.9063733219245,1635.3108839984907,1586.7035583844488,1538.2091006592511,1489.9288344446957,1441.9453929477595,1394.3725790376993,1347.324929728227,1300.895929073514,1255.1599521159446,1210.1722648861166,1165.9735462795893,1122.6296724452254,1080.202917659219,1038.7399668357198,998.2738368202749,958.8238763898313,920.3970882938246,883.0151520437386,846.7028157983118,811.4736097706045,777.3322130304814,744.2744535046133,712.2873079764757,681.3568020943019,651.4841504811254,622.6629536216694,594.88151435078,568.1230543488415,542.3657141417741,517.5825531010374,493.74872024771093,470.8503489414701,448.8683459272421,427.7809928399477,407.5640006818869,388.1905098227376,369.6310899995549,351.8548012073954,334.84030614512545,318.56692836919893,303.01188819512515,288.15125145469096,273.95992949596035,260.4116791832739,247.47910289725036,235.1344309868753,223.35972446438223,212.1345201580658,201.43653919383615
D,244.95052770693096,287.7177058216622,333.8938592673014,382.2986672831368,432.3026093752904,483.61836328347727,536.1583813616479,589.9722085842942,645.1734395681233,701.9337600560864,760.4446168524937,820.9111389799718,883.556835818668,948.603856706079,1016.2759038594533,1086.8027763855785,1160.4127712658433,1237.3360333450134,1317.809256155929,1402.0683201953639,1490.322750663553,1582.793944094356,1679.717932515928,1781.345383450721,1887.9264177180808,1999.6574198533744,2116.7373729111177,2239.3812857074017,2367.8198352281097,2502.297850188128,2642.991182925581,2790.0221029735603,2943.5401487909025,3103.72409006829,3270.7819069414586,3444.8760527005275,3626.0005321395615,3814.1544923965903,4009.3714821367935,4211.719451552478,4421.281377068777,4637.926160312204,4861.395461354849,5091.476975928979,5328.007786198561,5570.873645940334,5819.818712249398,6074.262806344419,6333.652741155723,6597.499569942263,6865.378586291629,7136.838674545527,7411.008082675728,7686.95715601356,7963.8491049288905,8240.938873235611,8517.533165658297,8792.556256591903,9064.780328331226,9333.10534199174,9596.556939376489,9854.269792976958,10105.10908800989,10347.754638998713,10581.045561718038,10803.980774628699,11015.713553934254,11215.261495727747,11401.491508937841,11573.448855036655,11730.352803687407,11871.596465159691,11996.573754087087,12104.597041788704,12195.157448675182,12267.896890380758,12322.60807776328,12359.17920895027,12377.492839946377,12377.626576675766,12359.745111394423,12324.092047197966,12270.98981080222,12200.774321851757,12114.048645488312,12011.547159179692,11893.9649784253,11761.957956756112,11616.1426857347,11457.191602300101,11286.143116970467,11104.029297696403,10911.784597293921,10710.247518365904,10500.161107365866,10282.363358725872,10057.959231468018,9827.958328484441,9593.243292001087,9354.569803577693,9112.575138286742,8868.064908436516,8621.963963558872,8375.063598841549,8128.03513726003,7881.429929577541,7635.703617380325,7391.477594520262,7149.382147263748,6909.937104841125,6673.561399393814,6440.573065974338,6211.213189136051,5985.858681218753,5764.869894758795,5548.523310543942,5337.02145310313,5130.492890706482,4928.999347949729,4732.682238630461,4541.70105226009,4356.153820782897,4176.089526590059,4001.508102519647,3832.3604318566363,3668.591653107233,3510.230501252489,3357.2637797508473,3209.6481987989223,3067.3115524969185,2930.152718848622,2798.0416597614185,2670.8592327019246,2548.547044010536,2431.017171744257,2318.166251593192,2209.875777909485,2106.0121037073113,2006.4264406628765,1910.960807818929,1819.5104507588026,1731.973810870018,1648.2368819624428,1568.1785155094526,1491.6704206479283,1418.5771641782535,1348.7561705643218,1282.0621379211511,1218.4046600316722,1157.6785889220603,1099.7680112184746
E,22.43130152721392,26.446684189287517,30.953247024617866,35.84182877492496,41.058527147015326,46.583400268218156,52.416219167329444,58.57048073989506,65.06631889920172,71.93015857669391,79.19111473101702,86.88053442599583,95.03251525904025,103.6821435396785,112.86583326439433,122.6216805567214,132.98884959280142,144.00801960899676,155.72192757810654,168.17436723856989,181.4072299728303,195.46511543537756,210.39565959897192,226.2495347546446,243.07861934656705,260.9291939504373,279.84881849042745,299.8882976039207,321.1016430403281,343.5460046157291,367.269885215866,392.3146459590013,418.72636857620887,446.55615650242174,475.86013236773215,506.6885372286079,539.0656994523166,573.0163485160011,608.5707926047224,645.7649186114569,684.637222815398,725.190434870869,767.4037562744493,811.2632825496752,856.7627173124821,903.9032592371482,952.6602223691999,1002.9468505118307,1054.678275977979,1107.7794856606308,1162.1853210328154,1217.8236391683586,1274.5370284654846,1332.1510854549538,1390.5068309421526,1449.4605727136448,1508.8760752731168,1568.534099501086,1628.1758907803028,1687.5661409333152,1746.493111890834,1804.7652117789653,1862.1275271820598,1918.2749449833334,1972.9346543935933,2025.8675706661008,2076.867153935481,2125.691364246691,2172.0527484196427,2215.7032393846625,2256.4354886717956,2294.0828284058243,2328.4757598760175,2359.4131181643675,2386.735332121874,2410.321974254898,2430.091760725172,2445.9876650176434,2457.9388017666524,2465.917335135608,2469.922245538522,2469.9774811478214,2466.1319354650605,2458.436068794319,2446.989874250937,2431.9287927132145,2413.385991941427,2391.4923665778224,2366.376538146624,2338.179794894736,2307.115834495243,2273.405460982063,2237.250801838871,2198.83542450563,2158.3244279946307,2115.903513690175,2071.8185976067816,2026.2967438329763,1979.5374331182443,1931.7125628730305,1882.9683122519962,1833.4886233689012,1783.4853984987944,1733.1409037323094,1682.6103749611977,1632.022017878333,1581.4824822090532,1531.136163336333,1481.1298386826293,1431.585132567326,1382.600628302265,1334.2518681917466,1286.5968206273244,1239.7244321738158,1193.7198056681482,1148.6488544446852,1104.560568159534,1061.4870127905494,1019.444956505326,978.4692478773549,938.5986261427295,899.8577921316187,862.2602763331761,825.8084388955393,790.4934696258313,756.3052057949163,723.2522038638392,691.3333767426609,660.5408513812754,630.8602376103945,602.2706281415473,574.7445985670804,548.2571324924552,522.7966232269717,498.3447462687328,474.8797535352519,452.3765413882762,430.8066506337848,410.1382665219886,390.33753766214016,371.382307999351,353.25096663460977,335.9191695532078,319.36103297168233,303.5491333378165,288.4545073306387,274.0466518604238,260.29447666961676,247.17873462800503,234.6770037800057,222.76454865349348
F,39.197590465080346,48.37561567190136,58.47794078796049,69.2083504992029,80.40793262427617,92.00319110207936,103.97066290862881,116.32139546746127,129.08281787816935,142.2973102556069,156.01268683118994,170.28069666943605,185.15824103193896,200.7024136506571,216.9712031425372,234.02477239701653,251.92348483829787,270.72860923713955,290.50344067686024,311.3117601520022,333.2117649568905,356.26491252058463,380.53656725762454,406.0960005680306,433.0129067421924,461.3448038571532,491.15005106159504,522.4912788219314,555.4353123910906,590.052896209447,626.3981197125391,664.5117736695719,704.4416399051427,746.2429927083641,789.9785939677472,835.7000230049026,883.4156789271653,933.1348125147762,984.875411356023,1038.6641998472342,1094.5317232130187,1152.452278797253,1212.3654250512461,1274.2223281729334,1337.9867340961484,1403.6347851451508,1471.1044075782556,1540.2445468193034,1610.9100715309564,1682.9724888088545,1756.319944181608,1830.832661823026,1906.2737035500843,1982.3879006277382,2058.944945442819,2135.7391213311885,2212.5782794613274,2289.161821261391,2365.1436762925123,2440.2130397924134,2514.0940247958106,2586.5409925614645,2657.230382827055,2725.7828683152993,2791.8642360339063,2855.1860041213404,2915.5038661764543,2972.533305383616,3025.943307168119,3075.45431064186,3120.8376381735857,3161.9154467567496,3198.5093933219514,3230.413989070027,3257.475732289933,3279.5859987300414,3296.681041598135,3308.7252923738383,3315.677748852008,3317.553175196804,3314.3929949588946,3306.262919615394,3293.2529227608934,3275.45601677811,3253.0382649719313,3226.204442444132,3195.1493093696295,3160.057610996483,3121.1040776458985,3078.4788746419426,3032.473112932299,2983.3775875804768,2931.4556976656318,2876.943858283337,2820.0516371826197,2761.0148697519585,2700.1441665518782,2637.723263592565,2573.9999325767017,2509.185980899466,2443.4596611762413,2377.046279151783,2310.204207363451,2243.154090589025,2176.0827309034735,2109.14308767895,2042.4611022693205,1976.2089202288794,1910.5607062145136,1845.6596698755438,1781.6207996980183,1718.5308630047182,1656.4550998795642,1595.4964066065527,1535.7527023509292,1477.2986388973088,1420.1884083306768,1364.4557430363905,1310.115890007759,1257.206071109962,1205.7682105264466,1155.8273401027138,1107.3951030437138,1060.4697539138456,1015.0361586369576,971.0776655138529,928.6003865369116,887.5989015145572,848.0597042926013,809.9615277088345,773.2753435930255,737.9643627669236,703.9948294895105,671.3493863262099,640.0026867855876,609.9253305994171,581.0839458050118,553.441188745225,526.9557440684462,501.5839222757695,477.2963533750155,454.06450610036643,431.8566022335756,410.6390519877559,390.37645400738035,371.0315953682806,352.56545157764947,334.938355218239,318.1252396183078,302.0971998130327,286.82254989577297
G,9.099999999999996,11.534454419452498,14.267173916340358,17.223736496243124,20.367044546796336,23.68310738561847,27.1714765302166,30.84118233765153,34.705933945072836,38.78386415872855,43.095071825850795,47.66129930558045,52.506335486642655,57.654770416402286,63.13221471655373,68.96572557101639,75.1833460336165,81.81430585560864,88.88932386787948,96.44034640571994,104.49905556536191,113.09915352298222,122.27653086474653,132.06926658680965,142.51685060269364,153.65705065342334,165.52907911087905,178.17474501752343,191.63844259331324,205.96718816547335,221.204681675525,237.39192288460904,254.57350103604534,272.79775977685836,292.11679610282107,312.58088320377186,334.2273839579122,357.09478373789113,381.2257552821272,406.6671586948056,433.46846818236236,461.6598918349008,491.2583437414172,522.2853904383296,554.7677241223737,588.7371013192801,624.2104048306514,661.1657674386363,699.5816369377575,739.4422151341495,780.7374578455568,823.4523633820689,867.5138185690103,912.8337711346796,959.3323185161572,1006.9376639685273,1055.5808263379079,1105.129804778574,1155.416414095933,1206.2849876891246,1257.5928895341367,1309.2080875386903,1360.9431151781325,1412.5581383256115,1463.8324279865196,1514.5669026943644,1564.5832562860758,1613.6648813728195,1661.5372973849283,1707.9528491187543,1752.6955111264072,1795.5808593544505,1836.4141539104032,1874.9461912107079,1910.9592052858475,1944.2736101810647,1974.747999956365,2002.2632575187338,2026.6601719232806,2047.8068533359922,2065.6075039826273,2080.0011560681423,2090.9616488274146,2098.460432656615,2102.4815647207483,2103.0506439658966,2100.2087888343863,2094.012637264784,2084.534346691904,2071.8571478313465,2056.1000257351625,2037.4124176706327,2015.938595718892,1991.817080640525,1965.180656401934,1936.1789720616864,1905.0189074004825,1871.9009519562321,1837.0053913620766,1800.4923073463856,1762.5030274384224,1723.2151148134226,1682.8404039852242,1641.566111258092,1599.5548108494017,1556.9444348896373,1513.8534802662439,1470.4410881914519,1426.8741396462358,1383.2942502363537,1339.8192667574974,1296.5432671952947,1253.542364733238,1210.9281549047737,1168.810855214141,1127.279523876442,1086.4042292452602,1046.2360498126618,1006.8089072481336,968.1781039260838,930.4049347342341,893.5343117769361,857.59773738276,822.6133041044931,788.5856947191418,755.5178779362552,723.4355588602009,692.3529742091927,662.2757179510875,633.2010552665245,605.1179225489235,578.0069274044887,551.8512858325989,526.6504913212698,502.3954869973298,479.072537688088,456.66331265216115,435.144885579475,414.4897345912618,394.6673860204014,375.66149666391414,357.4559512381469,340.03084432997775,323.3639733827915,307.43083869647813,292.2046434274331,277.6562935885582,263.7555750688686,250.48653604245334,237.82898511268104,225.75954324881675
H,8.89999999999999,11.61216944686964,14.672198722507819,17.99672277276448,21.543034683204056,25.293469181473334,29.244905488720374,33.404306694379265,37.783456138287185,42.39865663890584,47.26802993438446,52.41114776006428,57.84940082629222,63.604649284451895,69.6994568287387,76.15737166887955,83.00242964465103,90.25944624992972,97.95439613156505,106.11373101689313,114.76229215021769,123.92649713667292,133.6345678892087,143.9165306285912,154.80293882435123,166.32017252533205,178.49521302554055,191.3569652737708,204.93623089814974,219.26564463013875,234.37170724891655,250.275891361417,267.00262040034363,284.57946962103244,303.0371643569743,322.40228070797366,342.6841168720491,363.8922319590378,386.03980620151975,409.14364095481443,433.222202480659,458.27073622124345,484.2695475377033,511.20364049471584,539.0631660124602,567.8433480301262,597.5231304089416,628.0426133804782,659.3437938199614,691.3754974495611,724.0933788383894,757.4493132679834,791.3428141144173,825.6640318491986,860.3135972011461,895.2025247462733,930.2473411042198,965.3146782257732,1000.2486300368636,1034.9086371293622,1069.1694783035534,1102.9191619413748,1136.008524396747,1168.2600107204016,1199.5163671724274,1229.6412797364856,1258.5186549219256,1286.0121300450749,1311.9601663600909,1336.2250930980335,1358.6934892338297,1379.2761605968665,1397.8826591837997,1414.4055455582163,1428.761935549421,1440.8913430234297,1450.7556798829726,1458.3306832355481,1463.5852313457592,1466.5136449845236,1467.1247638434043,1465.4408395448713,1461.4975227287898,1455.3311413609615,1447.0082411565027,1436.6151138867126,1424.2353871500227,1409.9500243719935,1393.8373248053197,1375.98259158725,1356.5146422765285,1335.564960055632,1313.2532831654505,1289.6877089636237,1264.9647505254509,1239.192803592961,1212.5152926794326,1185.0640191314624,1156.9542882385922,1128.284909233309,1099.1393012377741,1069.6229315680569,1039.8573523147493,1009.9466244019895,979.9789425925951,950.0266354880619,920.1493785886736,890.4288911118939,860.948188381335,831.7756517018969,802.9662846860731,774.5617132539471,746.5933771419702,719.1108283229938,692.1614073458587,665.781372759409,639.9972296251166,614.8257295170807,590.2748167933315,566.363042640627,543.1112937045211,520.5323817935789,498.6327163247882,477.41230432356065,456.86475042373195,436.98295851415577,417.7707889031397,399.22657457318735,381.34477417647247,364.1161281098292,347.52765851475135,331.5626692773928,316.20592422320055,301.45004024298595,287.2837900404196,273.6939998489793,260.66558885184077,248.1815691818778,236.22304592166086,224.76998166169858,213.80916997800816,203.32777192005918,193.31138549055592,183.7447349415175,174.61167077427734,165.89516973948304,157.57733483709714,149.6399501309823,142.07171765134348,134.85950342961866,127.98883957545074
I,20.508709977698267,25.41038254807564,30.841132045362098,36.648505083925166,42.751451978128316,49.113009112666234,55.721803995183635,62.58405638138568,69.71420930286727,77.13426720837741,84.86893936937375,92.9449181842518,101.39147645199631,110.23802617923317,119.51451381652063,129.25188893119625,139.48120567294643,150.2341351696773,161.543606304377,173.44262507735868,185.9607582493809,199.12955691987463,212.98294317213907,227.55721007334196,242.88884886612402,259.00694227766684,275.9412431403325,293.72410045584553,312.39040823806937,331.97741144925357,352.51277946603,374.016769871968,396.5139318238888,420.03339193222064,444.60885137143566,470.2678771050441,497.01398021147327,524.851739268381,553.7911583659314,583.8476671067905,615.0393385696561,647.353371917395,680.7584190343889,715.2302473795053,750.7522607483438,787.3153962768771,824.8900278167418,863.3981053640538,902.7654830576662,942.9277120057031,983.8300402855563,1025.4138179228405,1067.5560913265597,1110.1240296266071,1152.9985460921337,1196.0741457464292,1239.2528230616995,1282.3761110288012,1325.2594489480869,1367.7371709778909,1409.6623406085741,1450.9041642231732,1491.2870213810847,1530.6016299808462,1568.6627562099725,1605.3097805502252,1640.4058345931558,1673.7893589466653,1705.2683275775573,1734.6785953205867,1761.8842772628154,1786.7777217392456,1809.249239692591,1829.1681004238244,1846.4323441901665,1860.9664408958806,1872.7212900922755,1881.6640331479882,1887.7531564657595,1890.9772562751746,1891.342612889103,1888.871888778394,1883.6041129462542,1875.5791852524246,1864.8734971204797,1851.5878280990046,1835.8203576514575,1817.6666651561713,1797.2197299063516,1774.5814218216315,1749.9070165110777,1723.3561279401636,1695.0745078278426,1665.194155383789,1633.833384747971,1601.1255555779958,1567.248250355592,1532.3652910122328,1496.6203495799032,1460.1369481910945,1423.0198267564813,1385.4016347865338,1347.4359235962588,1309.2546073813546,1270.969827222308,1232.6739510843895,1194.4436087039144,1156.3835673482777,1118.600710579096,1081.1834443846085,1044.2032312216825,1007.7145900158125,971.759151218439,936.401789893152,901.7048007901103,867.7162910222567,834.4718455274212,801.9945270683222,770.2960882375843,739.4019290624699,709.3405646475679,680.1300729056738,651.7802103195243,624.292411941797,597.6597913951114,571.8745089741765,546.942895651221,522.8641137978371,499.6322334944624,477.2364335580372,455.6610015420048,434.8853337363125,414.89066444008847,395.6683981194044,377.204897585247,359.4839333071552,342.48673457210447,326.19198948450656,310.5758449662087,295.6129044284528,281.28663043715136,267.5809152835459,254.47757086098795,241.95722873806102,229.99934015858076,218.5821760415943,207.6828269813813,197.27792707839984,187.3530992477043,177.89154351214617,168.87469050175244
J,10.59999999999999,12.908592999699003,15.510352276884156,18.364760673289492,21.456666279962956,24.78649831832356,28.363843368742188,32.20486963625554,36.32923247699878,40.76004486856638,45.52238059954013,50.643158192347514,56.15145187642767,62.077833367310106,68.45457598470927,75.31586196102427,82.6976501605092,90.63796134849179,99.17716860398279,108.35760627914661,118.22221775343658,128.81699677444468,140.19115923548495,152.3971431755937,165.48983615540425,179.52337428679476,194.55448386833058,210.6437973933376,227.85584434007072,246.259150191157,265.9198767656785,286.90241997538175,309.27643825485205,333.11704069623516,358.5047861259819,385.51968442751627,414.22855856907506,444.70076861591866,477.01190689612037,511.2437980005632,547.4827681644082,585.7942513017668,626.2290715924014,668.8448647443962,713.7066834084737,760.8869288621431,810.4415574834334,862.3799020028133,916.7121173902746,973.4562253728593,1032.638114434655,1094.2782426030476,1158.3230709789984,1224.69842700276,1293.340048606522,1364.1935629622621,1437.2076533753957,1512.245237357004,1589.1156740393346,1667.642272040175,1747.6632803956256,1829.0286558819741,1911.505891539134,1994.7776586753257,2078.54783817498,2162.546228610807,2246.5273689564374,2330.1810347928645,2413.091195839894,2494.8733527788095,2575.185115820167,2653.726168389543,2730.170802184896,2804.0773755019964,2875.0422924521836,2942.7209366608995,3006.827671267697,3067.109189389663,3123.2111160998525,3174.7985572088937,3221.604595016423,3263.429099812225,3300.1386947100627,3331.5897981773,3357.600320145706,3378.059113979475,3392.9049976911983,3402.126753941861,3405.76313004085,3403.86604572542,3396.4846752587982,3383.7509995701175,3365.8101321263307,3342.8183333262787,3314.942898810902,3282.3701663000893,3245.3734549924543,3204.2372276366423,3159.225708608013,3110.582883908636,3058.534066374868,3003.360659243849,2945.4141421094646,2885.0148397044877,2822.4463798524152,2757.9556934674642,2691.761108252772,2624.1556946774253,2555.458749562732,2485.946612652639,2415.8536328249115,2345.37216809112,2274.663186099579,2203.959398077233,2133.4987133230334,2063.4783961982494,1994.0583618835258,1925.3611763788865,1857.47570179308,1790.5366434019531,1724.6961385352504,1660.0725828710083,1596.7557255540014,1534.8066691957413,1474.2578698744787,1415.1384160962689,1357.5289463942618,1301.486325349559,1247.0476338556687,1194.2308243441455,1143.0347207845846,1093.4390186846267,1045.4290526167104,999.0278339878505,954.2389755634672,911.0545443687466,869.4552454988474,829.4104221188954,790.8780554639857,753.8085985993526,718.1851130426764,683.9909766197911,651.1999622838164,619.7796716236284,589.691534863857,560.8908108648867,533.3265871228589,506.9445810553432,481.72378800862117,457.63250933229654,434.63080875669243
