Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,1314.1873821864835,1291.0295126957058,1306.9440714248205,1349.1949585247914,1409.9679968413127,1484.5478034764465,1570.0692726643351,1664.9582995481342,1768.287160119359,1879.7089174280018,1999.1137118889565,2126.56677103571,2262.339996879223,2406.7291364707835,2560.072687386021,2722.790771768864,2895.3082617234427,3078.072413679045,3271.589795101195,3476.3709840855854,3692.723709701861,3921.045500196799,4161.8451319581245,4415.7426295145215,4683.3543261975465,4964.871293968949,5260.49656801738,5570.567019841437,5895.550952072992,6236.044240634272,6592.091281959377,6963.301639610461,7349.552368196679,7751.005692825191,8168.108872654085,8600.999961792573,9048.451203452583,9509.365519670311,9983.067596907149,10469.303886049613,10968.08989229589,11477.765047541934,11995.725401085687,12520.025028572485,13049.413227663237,13583.315755007476,14119.481880987198,14654.64659090654,15186.424852873932,17015.634241867927,18635.00209680874,20140.844195713144,21581.747822806075,22980.196355016076,24344.38052021336,25673.796825849935,26962.44107898775,28198.55912422898,29369.578912632027,30460.33055691416,31455.447158343686,32341.33060074112,33103.36273977327,33728.923982802466,34208.96623117996,34534.92537304242,34701.02459940701,34706.50976152615,34552.22895392719,34240.850418086746,33779.780773198276,33179.14329601233,32449.016543366626,31602.333185394822,30654.73330457198,29620.945936782053,28515.80352997181,27355.068876665646,26154.332370699165,24927.334038100198,23687.16519083416,22445.94372194643,21214.21015147433,20001.47991203824,18816.17697212744,17664.68363943043,16551.412658441568,15480.531741236395,14456.07081016785,13480.23109455865,12553.31436344618,11675.15003481977,10846.679127905145,10067.688229390176,9336.58526519017,8650.903375453236,8009.676899425576,7411.715617676264,6854.952989032519,6336.506822201663,5854.177714484065,5406.615936930784,4991.971621528255,4607.892268779266,4251.762529155146,3922.072647142439,3617.4437338150883,3336.203488630561,3076.4027639703063,2836.081394621855,2614.1502800118374,2409.5274477980884,2220.9766509332394,2047.1133667917788,1886.4908243440477,1738.2474622601808,1601.6664963715552,1475.9398473652864,1360.1827507458413,1253.433756835039,1154.8295827186694,1063.921426055309,980.2320355745144,903.2444045346219,832.4027170354238,767.1123480181657,706.7892872426844,651.1350831819532,599.8837556481528,552.7417469568452,509.3960621871387,469.51426918168715,432.7444985466911,398.74314619908046,367.3532306620956,338.43760576101533,311.84097391793426,287.39769797225165,264.9318011806721,244.25696721720522,225.17654017316562,207.50125830297694,191.1648043517373,176.10852666324686,162.26073476822197,149.54287804497955,137.86954571943747,127.14846686511429,117.28051040312931,108.15968510220226,99.68662702675945
B,877.2630092788313,874.1323203766885,901.5917269652956,949.904113644533,1013.2293039970222,1088.1484094754744,1172.6639152786606,1265.7647855731118,1366.9172495745306,1476.02478988333,1593.1602764351042,1718.522612946838,1852.465967416896,1995.3586712516314,2147.600393064942,2309.6517032852953,2481.975060105632,2665.051848238409,2859.4144392472695,3065.5939325975914,3283.9390186710257,3514.8747064838385,3758.9211710169398,4016.693753215904,4288.80158206706,4575.461526641881,4876.886943345117,5193.40773131323,5525.468410508806,5873.628602983477,6237.913970002178,6617.912610857308,7013.460373388403,7424.658450097881,7851.873256922271,8295.165147367972,8753.238203693743,9224.907175836737,9709.395888424462,10206.337240774741,10715.624154104991,11235.479815263076,11763.174862650741,12296.63661703803,12834.48759352357,13376.026786065153,13918.883151112013,14459.681203780718,14995.935401973462,16815.311364906265,18425.64285593595,19921.9030346961,21351.845788877512,22737.427072288923,24086.511522813125,25398.43860006344,26667.197958235887,27881.203977374746,29028.171427471534,30093.37547722646,31062.007079844934,31921.089811596394,32656.747783484156,33257.12611828484,33713.89927701622,34019.25165704949,34168.07753428282,34160.118832946646,33996.64048114989,33680.622368622426,33219.54862241554,32623.458196739353,31902.296313775827,31068.687427703844,30137.791975021377,29123.86536156236,28041.234141816294,26905.079289166984,25730.392750761413,24530.407019315906,23317.72576871841,22104.008063407444,20899.400053798876,19713.095613949536,18553.242969502367,17426.024314638344,16335.726296513196,15286.417966407926,14282.044833924338,13324.78367255908,12414.974193163482,11552.499126102048,10738.32172739119,9972.282652389014,9252.878928702912,8577.752822747478,7946.004074389354,7356.512029164169,6807.294930203782,6295.568773401799,5819.211751119982,5376.932482896972,4966.944878800495,4586.964225947043,4234.4426142035845,3907.91661253698,3606.0504412416094,3327.21490331941,3069.503490633653,2830.9951389659473,2610.629147017871,2407.3508173055375,2219.9494715477285,2047.0643446522784,1887.2701217523936,1739.7224773175863,1603.7209294492668,1478.4720382671119,1363.103814108346,1256.6657175277405,1158.3037782793083,1067.5787398274692,984.0222177368281,907.1245980203003,836.335981724772,771.0661849310983,710.7345481526042,655.0476550732128,603.7445868676004,556.53579528011,513.111276147509,473.1405693989918,436.2727590561781,402.1645843307573,370.66172612187125,341.6297978220801,314.9155184723319,290.35462113079245,267.77185287284556,246.98097479109248,227.78476199535217,209.99311953289833,193.5412727490687,178.37214919354497,164.41509920231456,151.59219799325916,139.81824566615484,129.0007672026719,119.040012466375,109.82895620272281,101.26717844408151
C,2341.3475312659434,2342.3470615872247,2396.4268848050856,2486.4096393247187,2601.810416489968,2736.3336447018087,2886.1659573441225,3049.216598158849,3224.2423402256104,3410.7607338609405,3608.5876652471716,3817.7560959098696,4038.552555996456,4271.281066385532,4516.292698835463,4774.011454995908,5044.844338474318,5329.226378909001,5627.681641081153,5940.691079528449,6268.345306985401,6610.878843334093,6968.707870204114,7342.430230972582,7732.609851286513,8139.029934320955,8561.501209937902,9000.050561159711,9454.915884854765,9926.528840411987,10414.400442503967,10917.360230715778,11434.67715126749,11966.086827857664,12511.79129541339,13071.49255368011,13642.841533598365,14223.769490936966,14812.881842814788,15409.458167700714,16013.2082755257,16621.461687588428,17230.385692568405,17837.155136156387,18439.992457297536,19038.14218081543,19628.683209935967,20207.45651213174,20771.61688550334,23040.647266935892,25001.78054126342,26781.744711925738,28445.87587643107,30025.927451102514,31535.263828030966,32976.3514514911,34344.98746784264,35630.19015821413,36820.359781680585,37901.21227889191,38858.59488137051,39680.68480149828,40354.781926599695,40870.55343627215,41221.60448714467,41402.08301451537,41408.97592657063,41244.29567483604,40911.49097402749,40415.62677001868,39766.184741106226,38975.0338373743,38053.796521410935,37016.568400315045,35879.73267601595,34658.670897784395,33368.74090003045,32025.895963802643,30645.713948056313,29242.16359236763,27828.47092835635,26416.675949255798,25017.177218051307,23639.75530617203,22293.071058793634,20983.562129167887,19715.54929254709,18493.431569654535,17321.578561524242,16202.382349191606,15136.203794183486,14122.970034986016,13163.895014193151,12258.932279737177,11406.532213961542,10604.19420501492,9851.069705518064,9146.052006878272,8487.051473321737,7871.061902607965,7295.812054132411,6759.955445366372,6261.568637748778,5798.145627740677,5366.865081248712,4966.125281720146,4594.458395565791,4250.046895381584,3930.741644487438,3634.363861487804,3359.716271403503,3105.601649542909,2870.6327037297974,2653.238786816204,2451.7655576051543,2265.2312651641064,2092.8199544550434,1933.6012439866531,1786.5468535187333,1650.5306040621917,1524.536217540533,1408.0388681583108,1300.4780354065883,1201.240912116673,1109.6635160778176,1025.0306900372166,946.6362373654053,874.1206686834449,807.1646113964435,745.4124527724815,688.4820851750646,635.9649060631289,587.4258179910362,542.4378549168739,500.80719022115045,462.36574640099985,426.92132463984046,394.2672237610137,364.18224022778423,336.430668143339,310.7622992507882,286.93521527264284,264.8658506117612,244.48159700659033,225.6922648341465,208.39790125028446,192.48879018969808,177.84545236591993,164.3386452713215,151.82936317711275,140.1869656508764
D,13395.880375860543,13295.271759850733,13538.353380267115,14012.474582534933,14648.599570715876,15405.061889924447,16256.454592953685,17188.6784175351,18193.215977596723,19266.571524114024,20407.225036875952,21615.093353788554,22891.805652924406,24239.100391346306,25659.00496777608,27154.12576044514,28726.992674059893,30380.264231352034,32117.0780735749,33940.43596186254,35851.229958822536,37851.13315998658,39942.808414977255,42129.90832750819,44415.92538794292,46800.12956639129,49281.90870582459,51861.850914510804,54541.71833047082,57324.36293294222,60207.540213678934,63185.19208124713,66253.7062926571,69412.06974786021,72661.86704122438,76001.89968159252,79419.42264284543,82903.20256864966,86445.7712058296,90043.425404367,93694.86343943757,97385.25487617808,101093.0072234577,104802.1757100997,108502.7011732012,112190.26399900498,115848.02125977456,119451.88631794634,122985.14798855215,136704.75415081167,148639.63039385434,159547.26384975947,169818.4298104952,179643.0987995426,189101.17055511798,198206.77071689293,206933.2784505318,215212.29226140078,222970.4485908386,230116.82778941415,236559.8530508525,242220.5957345764,247013.40472716428,250865.82645069543,253728.44085084833,255554.28183233147,256313.39611513438,256006.77081803232,254644.36850247026,252246.59835797938,248862.44753505522,244556.92291870638,239394.414845848,233456.57263818962,226841.35822791242,219641.56824433606,211951.17820119107,203869.96916648577,195496.9871043839,186921.30045825077,178228.41447484476,169497.8176049743,160799.46306856192,152198.56727774593,143753.65723566027,135509.88818929179,127499.57668454891,119754.42475331861,112305.62200270138,105171.88732964428,98359.0057567318,91869.56955031081,85713.83589855957,79893.87229394098,74401.91796836136,69223.8688202852,64355.86641859623,59792.23976125831,55520.78578939534,51523.190410883275,47785.70740112623,44300.47838776133,41055.7727817483,38035.934193473426,35223.12757070141,32607.417801154632,30179.692126588772,27928.46334475658,25839.98665155463,23900.254975445987,22101.706035474803,20436.745030638238,18896.473794506714,17470.7349066078,16148.775193584432,14924.291619263357,13792.067657051266,12746.099310774836,11779.704569524936,10885.52340765662,10056.910637523715,9290.499961213358,8582.67368786488,7929.449527773356,7326.488032613117,6769.092595437731,6252.614536460967,5774.729646551031,5333.376076474475,4926.240373033734,4550.823107127951,4204.438873752988,3884.216292001418,3587.332230230511,3312.533421674518,3058.7351472041983,2824.6857723543676,2609.0318923352556,2410.3183320325134,2226.988146007207,2057.382618495822,1899.8958906238063,1753.991940985582,1619.2051913246528,1494.9491084048568,1380.5693617374502,1275.343823581114,1178.4825689419472,1089.1278755734727,1006.3542239766298,929.291160158023
E,1254.7719497349556,1267.3087895828276,1313.7525085102393,1383.4736647185637,1470.14746219809,1570.111052136494,1681.2550286618132,1802.5449593079918,1933.4607499661424,2073.954940744577,2224.1602003987373,2384.3435608293053,2554.9370143603146,2736.387528426346,2929.1776079743754,3133.848871548942,3350.9428727290524,3581.027364572386,3824.735303974879,4082.6881982648615,4355.274598536292,4642.9815665335655,4946.41835904801,5266.316427917882,5603.39786275961,5957.888716499985,6330.019717769547,6720.169094863455,7128.859877548177,7556.757806530525,8003.8755270824595,8469.701132458158,8954.029797785015,9456.984912486603,9979.017924472842,10520.20950456818,11079.011766957015,11654.022912298622,12244.338441545848,12849.551155945006,13469.569811842102,14102.307016616469,14744.553393042961,15393.885546516973,16048.710487017994,16708.243335605715,17369.712917444154,18029.15346473446,18683.655215533676,20933.897858927652,22925.716828913603,24777.45065212854,26549.098123437252,28268.733569537322,29946.956856517358,31583.757990739537,33172.42516006057,34699.24694403422,36149.490739461995,37505.259880395206,38748.35254741069,39862.583426191675,40830.46225631101,41636.75437665377,42270.32436021558,42720.4934738321,42979.76314556404,43046.45851539201,42920.71976597717,42604.79232774531,42106.51248291073,41436.95152173727,40607.1868432387,39631.79408852868,38528.700108915335,37314.90083136643,36007.68205575898,34625.655500561,33187.432832174665,31709.547146029614,30207.924978996904,28697.52541872442,27191.564410138668,25702.03911150003,24239.71242752231,22812.986346953898,21427.97393121861,20090.409944844698,18805.847631569868,17577.621322968233,16406.745129016625,15293.601631742476,14239.873723585755,13245.7930633317,12309.844934951761,11429.38380785821,10603.570590512356,9831.255406719873,9110.14504065767,8436.877391171754,7808.90924525397,7224.749276846472,6682.238910709599,6178.543896209441,5710.46160519494,5276.189224254746,4874.078468262074,4502.0781040612765,4157.754671260163,3838.6402072077385,3543.39628458231,3270.6848289132067,3018.9499691694077,2786.4257762987286,2571.2507316258543,2372.334817782193,2188.7770977395203,2019.545963965311,1863.4982357132824,1719.3791590233914,1586.059557885871,1462.9691305838312,1349.4957429384467,1244.96795387087,1148.6562896651435,1059.7732439681977,977.5414046608164,901.5743644040871,831.5291437604199,767.0217920277194,707.6385223959899,652.9357119473373,602.4399016559671,555.6866363382541,512.4714308432121,472.6167802708972,435.9181604101206,402.1549275215044,371.090318337482,342.4714500622975,316.0293203720063,291.5040722965607,268.8100686475016,247.87214089979534,228.59574039427554,210.8757129975144,194.59629910182335,179.63113362525175,165.8432460115884,153.08506023036009,141.2179375485675
F,2683.62640682566,2644.4956397406545,2685.2593621804567,2779.688853242908,2911.6871324706362,3071.5244977963716,3253.2608229361686,3453.595034416552,3670.533403438891,3903.259063393035,4151.421416874818,4415.00957297531,4694.419823434069,4990.076354929812,5302.471163555779,5632.244308021588,5980.023824275548,6346.463201119423,6732.318244227333,7138.329755068435,7564.792191606192,8012.165195787973,8481.118353366492,8972.53119389983,9487.252093027117,10025.227014710068,10586.414950430664,11171.032669846672,11779.549499349085,12412.67342951787,13069.989042450015,13750.221812990483,14452.63106039322,15177.044463043,15923.857753652752,16692.847099131155,17481.18087500506,18286.340090948786,19106.643032586875,19941.245261493998,20789.836758393998,21649.02220109774,22513.81612158406,23380.51025597787,24246.7318552183,25111.410085350584,25970.57213994964,26818.55447377013,27651.376554706818,30787.9968943531,33524.64608227359,36032.40782562484,38398.92226021842,40666.18196415913,42851.19105560284,44956.0089214954,46973.43786701144,48886.767344918466,50678.2174737919,52326.028910251305,53808.3910051513,55106.559763822814,56200.33963433646,57072.75845755486,57712.39769513915,58108.53669262301,58254.57488520346,58151.321007060425,57801.772470211836,57211.42498115185,56392.54433063729,55361.16573126846,54133.10432980088,52728.1674392604,51169.919498813535,49480.56115635949,47682.42761377265,45799.085017820995,43853.78451130171,41867.27892454356,39859.368864024786,37848.33479663354,35850.125526610405,33879.49990905596,31949.605045709897,30070.432166017865,28248.94476806796,26491.963744529774,24806.189548325587,23195.448734818183,21660.59258354296,20201.763790177956,18820.900598010423,17518.088714393994,16291.195154558121,15136.669513988945,14053.340324578814,13039.64942724415,12092.58690717579,11207.78766712392,10381.95325886769,9613.1381658106,8898.54679655161,8234.524330250848,7616.949556122131,7043.492184266778,6512.018534769798,6019.880794942807,5563.943593995286,5141.027955446772,4749.396971929887,4387.313634724643,4052.762412836744,3743.459136027179,3456.997283296107,3191.9567146386166,2947.159470321061,2721.260314230585,2512.771095530004,2320.0607486577987,2141.6592136894637,1976.8138420716994,1824.7191025548354,1684.4934308940267,1555.180859960214,1435.7510197401214,1325.1867442358066,1222.9749018704297,1128.6595565911794,1041.7321926238255,961.645977756411,887.8157633392491,819.6180842849229,756.4413377125499,698.0109245303266,644.0884463325203,594.4006796053152,548.6535862195457,506.53231343069814,467.7011938789103,431.803745588971,398.4954979381324,367.65934412975236,339.1930144196316,312.96904205915195,288.84608837371474,266.66894276274184,246.26852269967472,227.461873731975,210.05216948112377,193.85448254172783
G,641.0633176633943,644.6635490399075,669.0143240334997,707.690874223247,756.8845863589275,814.4070788623501,879.0182251736169,950.1368224719887,1027.5004336586173,1111.1413220791085,1201.208683681159,1297.9411376005664,1401.6879513677723,1512.8157435306125,1631.7203458910178,1758.849074969485,1894.6617930166503,2039.6414852474838,2194.3148259534546,2359.222523581168,2534.805269269621,2721.56603908867,2920.081996425556,3131.0044919849142,3354.9971040316823,3592.492446688166,3843.9334738630705,4109.854395218703,4390.879615162159,4687.726696676406,5000.7774409556905,5330.130577034906,5676.062655283728,6039.040103471347,6419.719160585152,6818.566152649741,7235.103840510023,7668.917648689031,8119.87956920035,8588.148161548062,9074.068711868376,9576.757533852766,10094.55395828401,10626.252927032,11171.138629685944,11728.969957942718,12298.149998505485,12876.21592223927,13461.310002806904,15251.262044991117,16878.400966806752,18433.29459860885,19962.0019900178,21486.206673814864,23014.231676610503,24545.95031672199,26075.591712521167,27591.215673832066,29079.292292383947,30522.786905274224,31903.40749248679,33203.56052929017,34403.43055428246,35484.19891249506,36429.86954759848,37223.99273195218,37852.51506540279,38306.6205991175,38579.01015021288,38664.44785160541,38563.78037588975,38281.665730119574,37823.180302079396,37198.08811447738,36420.88114374754,35505.72771592689,34467.92278728095,33325.60725017982,32098.05201256332,30802.279201875874,29455.45700617566,28074.849351502697,26676.480150487587,25274.254096624587,23881.06599607591,22507.929014394605,21163.932037727147,19856.800667603366,18593.80159329454,17380.02979156339,16218.206256835192,15110.089557693835,14058.395908543996,13064.28971323404,12127.020087799545,11244.52728422151,10416.436561833592,9641.989576835089,8919.144207265652,8244.649422412347,7616.051238226259,7031.985302262091,6490.33675585273,5988.224642840556,5522.33608034138,5090.859552843454,4692.14072849969,4324.071012869034,3984.1098189628988,3669.667125890269,3379.3845858794552,3111.8978017186537,2865.59837563972,2638.642440527481,2429.0767146231883,2235.789775644529,2057.8713665453283,1894.266221656903,1743.795395951052,1605.1562650400483,1477.181395411625,1359.3064895525315,1250.917749967222,1151.3366401741068,1059.821289929281,975.5664952265199,897.7771945011519,826.0752354071661,760.1242496389538,699.5438233989885,643.9217373991121,592.8139668605384,545.7446815138502,502.2473459241975,462.1271581603319,425.21377342791453,391.3084883863498,360.1960201336354,331.64450620636353,305.4055045797206,281.2139936674865,258.81446246798487,238.12889528035228,219.08693938659445,201.5985661426941,185.5633440739728,170.87043887509122,157.3986134100489,145.01622771218453,133.58123898417503,122.9603358823147
H,613.8995052923653,618.9148037109475,643.3506100790529,681.0566617506486,728.3596918937095,783.1193115097452,844.0901528599967,910.6457009888874,982.455283627408,1059.4592639471564,1141.7003565985988,1229.2969157797286,1322.460183942874,1421.4078548221119,1526.3757710646812,1637.6312747577706,1755.4391889995054,1880.0768870996703,2011.8564203636051,2151.0806284168543,2297.91749696095,2452.5887412438665,2615.3832658903066,2786.6571649017064,2966.7586693579833,3155.753587078954,3353.7104096780026,3560.7791373902824,3777.1896972393934,4003.2499493120504,4238.90375458777,4483.806401114122,4737.784257127841,5000.846377608566,5273.184414784763,5554.785952830421,5844.751372565262,6142.268831568213,6446.802784770929,6758.093984457758,7076.059801322357,7399.544033033431,7726.801710155653,8056.521487043922,8387.848730110547,8720.373600197394,9052.637777271524,9382.559691894514,9708.637403512546,10857.075039797744,11868.318448350563,12803.37933341573,13693.190807207113,14552.2461286185,15386.051152675187,16194.693238425245,16974.870695537298,17719.762137317168,18422.106614731612,19073.109489325936,19663.909288805557,20186.765279718515,20633.3449777999,20996.529052966755,21271.337909811547,21453.05332469763,21538.5781469378,21527.75903178511,21421.33112923299,21221.04400017047,20931.401162816033,20558.460306987643,20108.19972833624,19588.260961596305,19007.868631933223,18375.69401495272,17700.4722754204,16991.511112791097,16258.037448628005,15508.196895506388,14749.780477558052,13990.039174717396,13235.314273164637,12491.348134002077,11763.254784074636,11054.952477496254,10369.203411577795,9708.613600905173,9075.715535409783,8471.944209374327,7897.589988737106,7352.6503016715515,6837.792798852677,6352.979230344877,5897.321866714365,5469.389678059246,5068.663057111262,4694.48063887313,4345.630770884827,4020.388449035358,3717.4430732623414,3436.00802901452,3174.978222220905,2932.926819502354,2708.255243676757,2500.053221247678,2307.489607318519,2129.5428120978086,1965.0110138242917,1812.6804512271256,1671.8864379602503,1541.9664927019373,1422.1562997789133,1311.593478836468,1209.3725758437554,1114.9602117609563,1027.9144033291293,947.7323948575869,873.8599197422978,805.6912004658849,742.6818483068748,684.5539825217896,631.0103450299821,581.7266031102253,536.3519586399528,494.50914809525773,455.826620256379,420.117870572875,387.21697999863585,356.939306282621,329.0867708920011,303.44785901215846,279.7976195466865,257.9158483219239,237.70428057838788,219.0773077873864,201.93700183448885,186.1782373686081,171.68869180200045,158.3488453102657,146.03198083234741,134.61590852929731,124.05941774928324,114.32616761562167,105.37099016037436,97.14397309709415,89.59045982082546,82.6510494081039,76.26159661695642,70.35321188690114,64.86124356526572
I,1256.366331091945,1248.7479511711203,1278.650083313531,1333.7646635453407,1406.6091373461536,1492.711508336254,1589.3753994970907,1695.135072838921,1809.1242312893132,1931.018367328397,2060.7021302612798,2198.21273808776,2343.7708446226056,2497.6085926888027,2659.990562737613,2831.2427114999646,3011.6840080985958,3201.652110113413,3401.542312291392,3611.7347086884447,3832.375225897672,4063.7030682565637,4306.074182377074,4559.961257145624,4825.823240755414,5103.647192404833,5393.440454511822,5695.351109379908,6009.664963698106,6336.79647692535,6676.590968406355,7028.467199013111,7392.124479576005,7767.560026901191,8155.068805452517,8554.637254892768,8964.9368963738,9384.806092280192,9813.512613471416,10250.753639281751,10696.502315864676,11149.169067559398,11606.35311641172,12066.297525558191,12527.918929783495,12990.790387060515,13452.994099905174,13911.731404003149,14365.042405436001,16026.001323615146,17484.375607674137,18830.250769141363,20109.84130429245,21345.35219837768,22545.83092873393,23712.36760553944,24841.041438255117,25922.716114294133,26947.483325243968,27903.067356236024,28776.913221840412,29557.876542303045,30233.760165370106,30793.904263845958,31230.51874562081,31536.016061946517,31705.001264357925,31736.200423820985,31629.55555096113,31386.460550374548,31012.321998302068,30514.861654751512,29901.791076545232,29183.38661388446,28372.39411340551,27480.91458505598,26521.306186878537,25506.959714863955,24451.32425562673,23366.363846183853,22263.64887351521,21154.099041963542,20047.397898625495,18952.337897458714,17876.83162340344,16827.08844825741,15807.66344243539,14822.81519722768,13876.670358138519,12971.731422143328,12108.79837497982,11288.20028312032,10511.214273846219,9778.047708606871,9087.618021525726,8438.005375143523,7828.615325523006,7258.621573829176,6726.351085929694,6229.33893462682,5765.7217617522,5334.410265178197,4933.820605223718,4561.868198790684,4216.194851205557,3895.4750181147524,3598.495845768115,3323.746173625407,3069.4318821573697,2833.7328761183444,2615.6624827118358,2414.2334836253094,2228.2978202966938,2056.5523254056707,1897.6232584187705,1750.7059239858233,1615.1344877767397,1490.146898290394,1374.899046192324,1268.4647643147307,1170.0106235706894,1079.1146486998489,995.3238892035811,918.1420074418897,847.030219620505,781.4072957908809,720.6996770088665,664.6213128766633,612.9178997607609,565.3052442454878,521.4774751817737,481.1070436871497,443.84472314574776,409.3481051254694,377.4655272009544,348.06504655049775,320.9950654594289,296.09234270052815,273.1819935340265,252.07748970760613,232.5806594563998,214.5001685690411,197.77218737109027,182.340551157911,168.1350175091365,155.07769104777407,143.08302344020547,132.05781339618665,121.90120666884795,112.50469605469361,103.76637652149883
J,650.1243426909649,677.9596351895077,723.2715138060505,781.2796155792007,849.2897043816552,925.8796682305526,1010.3591889239351,1102.5453333042296,1202.4959406308428,1310.4971686642327,1426.928324034301,1552.2444221700437,1686.9931190232378,1831.748871265953,1987.1248736552711,2153.7819397235407,2332.405492135274,2523.7227676190505,2728.524551325741,2947.6203168328702,3181.717806948473,3431.6128502182437,3698.2027525265385,3982.486297096378,4285.491212709854,4607.9912040359095,4950.790336775926,5314.817464354692,5701.1249745787545,6110.893768007093,6544.927422572564,7003.710180556256,7487.956212217557,7998.624094379291,8536.916742220725,9103.833346697797,9699.243579561977,10323.099106634607,10975.715710853687,11657.77329227375,12370.197598899058,13112.398829637777,13882.788538608376,14680.346519513421,15504.666049341922,16355.935217848246,17232.583234031743,18131.889602599527,19051.866722757066,21725.784960885394,24193.920721344148,26590.54268203831,28985.180986248437,31412.01789621453,33885.975755298605,36409.550075838764,38976.7000639569,41571.738726586285,44175.879165665196,46764.09483133369,49308.21165702417,51779.76322476954,54145.19390228265,56370.77100133176,58425.53922517695,60275.866348550546,61890.313961284315,63244.690331535996,64315.89566335079,65083.20177671215,65536.02865844496,65670.24739214046,65482.254411216694,64977.86711821263,64172.8293070825,63083.18994210122,61728.425015199085,60135.852237689,58337.1254255675,56360.18286983967,54235.170070508684,51995.10497772466,49672.4799707767,47294.71715696913,44888.37637442623,42478.290669327755,40087.21575838264,37733.50981146587,35434.27267897131,33203.10870326625,31049.53086286591,28980.617735946795,27004.275175413513,25125.458136066485,23345.322676234715,21662.245284465913,20077.198749951665,18590.26875331923,17198.828521730895,15897.66895574097,14682.889319122767,13552.6252691644,12503.38593512295,11529.99247999983,10626.25784697033,9788.981956402391,9015.244738783398,8301.109626916883,7641.666804487987,7031.8400095794805,6469.115526539583,5950.940758434575,5474.2070726147695,5035.267534994699,4630.207886125411,4256.897553029889,3913.6210448931315,3598.3313073237337,3308.695323182278,3042.0941125813183,2796.1850375653744,2569.9174388794813,2362.1204587522707,2171.472644260318,1996.5050073860034,1835.6010250175043,1687.156799546457,1550.4636213692963,1424.892084257001,1309.7117307174121,1204.1180072797795,1107.2322644947656,1018.1017569344438,935.7889729367564,859.9377062954158,790.2357227060264,726.30682131702,667.7368051155044,614.0734809272659,564.8266594167665,519.4681550871464,477.4879758201333,438.75233745549116,403.13738956309084,370.4761143030891,340.5786375403679,313.2322288445358,288.2013014899269,265.22741245560115,244.02926242534338,224.3425773125388
