Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,754.5769641099782,923.1758304839419,1114.0058084498858,1324.3135633731367,1552.7348517308424,1798.8041026541414,2062.6185029552707,2344.689022930051,2645.7673710763424,2966.83126298584,3308.9935309532816,3673.4876257937694,4061.68038550183,4475.025167716937,4915.069094581493,5383.468487590993,5881.972094358445,6412.428259230898,6976.795954578649,7577.136675908952,8215.5616050621,8894.314179039391,9615.77617912458,10382.467730883889,11197.019494975335,12062.068593745891,12980.368791887106,13954.823925381219,14988.487370791208,16084.559383717344,17246.204406879784,18476.575664372518,19778.990978362443,21156.93712438097,22614.069778771438,24154.03435421973,25780.165171256373,27495.867744482755,29304.680318332557,31210.27386707149,33216.3991044039,35326.28688026738,37542.83295879386,39868.99373457962,42307.79228363029,44862.312478144464,47534.94790364844,50327.52193469196,53241.82657245771,56288.81203666668,59504.53213199754,62925.30219280104,66575.99474398288,70474.7887811355,74635.74618900004,79069.78121983334,83785.1545940779,88786.90965007976,94077.8563689379,99657.6842351435,105523.20936427603,111668.74083971737,118084.86103060588,124759.13170861894,131676.54922697807,138818.37260343222,146163.02199474664,153687.06947048043,161364.2131389071,169165.77760545138,177062.42988958972,185023.79187698715,193017.97932899487,201013.70935596217,208980.60739598144,216888.4125448433,224708.12389279547,232412.9403058032,239978.00945715196,247380.3003378158,254599.40636962844,261617.52965582124,268419.21924213367,274992.0231102428,281326.1393680978,287413.73614223377,293248.96477446717,298828.7340661026,304152.59972191765,309221.2681638429,314036.48849691317,318601.64271752,322922.44138253387,327005.1533817213,330856.29289846186,334482.84305682493,337893.3906603089,341096.89843780803,344102.0740805429,346917.3924353172,349551.85790538974,352014.9873103482,354315.8439193607,356463.00078538654,358464.67315846076,360329.4623439029,362065.71738475614,363681.2478649662,365183.33204175736,366578.87904546404,367874.9262175478,369078.1108857181,370194.60134428146,371230.10096285073,372189.9073731242,373079.30607521837,373903.28454662784,374666.46147128684,375373.10130988073,376027.11429984635,376632.18297065696,377191.93069589464,377709.68193265545,378188.51846061694,378631.2802854378,379040.5656387571,379418.7717266399,379768.26361963304,380091.19700124033,380389.56809278135,380665.2243720008,380919.86457306874,381155.03868658014,381372.1725585021,381572.6766677237,381757.81236112694,381928.74697938235,382086.56539055274,382232.26999009354,382366.7807008526,382490.9349730706,382605.50341434084,382711.2546319344,382808.85932369606,382898.93741666083,382982.06717589236,383058.7852044831,383129.586443554,383194.924172255,383255.2100077644,383310.8188813827
B,275.42159718850183,372.29216916396683,486.77019461347055,617.2152449132323,763.0055288284254,924.1743541653224,1101.1652341696133,1294.7277060867123,1505.7945667939769,1735.4756678148228,1984.9956757353139,2255.6864652766335,2548.9985138249995,2866.47057189929,3209.736306689556,3580.5357234349003,3980.7059194902936,4412.188475736867,4877.038589290809,5377.417797651036,5915.551369672193,6493.798242374681,7114.656119338562,7780.761470703569,8494.86641892063,9259.74820884683,10078.301238585176,10953.568173098773,11888.739557195808,12887.152042104855,13952.117890295114,15086.941561269736,16295.08387657126,17580.166164378432,18945.97021066198,20396.266638046716,21934.517853598085,23564.242253426903,25289.07511725212,27112.768608400518,29039.13964456877,31071.47432046369,33212.70341764403,35465.79515979207,37833.761412517524,40319.65180391501,42925.802634308275,45653.95435620345,48505.79052942087,51492.01822969983,54648.135990497554,58009.8756468408,61601.62718478555,65441.122962615445,69541.97944924334,73914.65301569586,78566.92903785959,83503.37015201522,88726.29517837595,94234.91379750025,100025.58650349661,106092.19592878394,112424.96566961883,119011.17383136303,125835.610440113,132879.44879402555,140121.14030671614,147537.38770008934,155102.15672569568,162787.1741116304,170563.59028365999,178401.60522780917,186270.03195143843,194138.3179522832,201976.8364604938,209756.12728486117,217447.99143180242,225026.37753604917,232467.14207295157,239747.9364044285,246848.95794772627,253752.92633887165,260444.8364504634,266912.5978535083,273146.6819545155,279139.4627587983,284885.23063065065,290380.95201929467,295626.1572414724,300621.4933434251,305368.62068114587,309870.78567407076,314133.4984051675,318162.81716528453,321965.0447660629,325546.9453472795,328916.8487368948,332083.4592465325,335055.2395372257,337840.4320376705,340447.80217681034,342886.6252101108,345165.7397691378,347293.5109899525,349277.95988712664,351127.4936001756,352850.2801282618,354453.96275155054,355945.6678176012,357332.1641418127,358620.3546012062,359816.7545395247,360927.4205545682,361957.954492224,362913.56187117484,363799.4425687825,364620.50787586335,365381.30682085466,366086.0403646781,366738.5614007399,367342.5005294511,367901.4355787509,368418.6509407659,368897.19152418023,369339.86364559404,369749.2350295234,370127.67549445527,370477.52709178824,370800.9264793829,371099.85230130644,371376.1357890572,371631.4607615648,371867.3636251905,372085.25807876687,372286.54560054874,372472.4808552053,372644.22491997323,372802.85675604665,372949.37320857483,373084.68900666386,373209.63676337595,373324.9827951809,373431.4937821757,373529.83961221157,373620.6393280953,373704.4702469824,373781.86796037824,373853.32633413695,373919.2975084622,373980.1918979073,374036.38347936317
C,2265.9661321845124,2607.120631155664,2983.678666877347,3392.3184067285774,3831.5543862904124,4301.081117089719,4801.325976455556,5333.252775027806,5898.133277273739,6497.5282642674065,7133.168256428587,7806.934661351477,8520.873245212088,9277.134616390369,10077.983971860585,10925.810863342955,11823.108408858616,12772.48755944194,13776.694134519557,14838.575412721308,15960.985403327853,17146.93088493836,18399.581781641722,19722.271163016554,21118.433444432605,22591.39381053797,24144.58628109319,25781.597803428685,27506.166657846195,29322.17160987352,31233.303395947034,33243.119089928245,35355.33072922279,37573.81201146178,39902.59819101641,42345.57421902624,44905.99661573583,47587.13141407033,50392.339752177904,53325.077873429225,56388.81122274074,59586.097761161145,62918.92066285579,66389.27558271773,69999.17742279547,73750.65199371518,77644.67724288742,81681.38694188262,85860.85289210928,90195.31917446037,94730.35201844678,99511.04652105868,104566.62738922558,109916.89428405068,115575.7558304884,121552.70912392277,127853.62609554098,134480.1867421875,141431.3069492287,148702.15587865916,156284.6363597554,164167.91190186297,172337.10453289142,180774.249549587,189458.85811721152,198366.7306843348,207471.0261435572,216743.3385619611,226152.67610686278,235666.05546215153,245250.23070697248,254871.3132474587,264494.39895094384,274085.5675380676,283612.1528730968,293042.0605112281,302344.8404207166,311492.454608216,320459.05970534857,329221.0418437746,337757.5845180182,346050.55297006364,354084.2926991318,361846.48749077495,369327.5590373399,376519.8924693029,383417.86755491415,390018.87113883597,396323.0601830375,402331.73947411374,408047.26368314424,413473.7108596851,418617.6406380523,423486.1833385936,428086.717919488,432427.1163432548,436516.9808538857,440366.3221411206,443984.88373002154,447382.16607712326,450568.25434099406,453553.810030313,456349.015058706,458963.5297529784,461406.63672244403,463688.0614065824,465817.27329636225,467803.15647623874,469654.01789935125,471377.76661204774,472982.4753236673,474475.7864430295,475864.82160044636,477156.18600342504,478356.0349382718,479470.5257942741,480505.4940545893,481466.3568470208,482358.1284749522,483185.4204173464,483952.58798431273,484663.93491726834,485323.42567452946,485934.7418555439,486501.2832174763,487026.1676752079,487512.2796845288,487962.47772967926,488379.38159242325,488765.42075788043,489122.8466902651,489453.7328328853,489759.97460814327,490043.31960939954,490305.5067777834,490548.10155147535,490772.55413300236,490980.2131468303,491172.3256393653,491350.03707895277,491514.39135587786,491666.3508016701,491806.88397427154,491936.84269881254,492057.01457456884,492168.13419183827,492270.88313194044,492365.8899672165,492453.7302610293,492534.92656776385,492609.9560400044
D,9784.875265771234,11644.891631845838,13719.186664146295,15984.45810756756,18429.573116715594,21051.214727521492,23850.908309418784,26833.710321767998,30006.681064560933,33378.75680133344,36959.946693947786,40761.20348441377,44794.521822318486,49072.523701981176,53608.51855997561,58416.603413316574,63511.50477555277,68908.64653245415,74624.24885754669,80675.18264237094,87078.43353351876,93851.89502867367,101014.42612507458,108585.85131951616,116586.63648912337,125036.75750567456,133956.86231778693,143368.5327232279,153294.27645436212,163757.47270109094,174780.56030195497,186385.32685995055,198594.52377925863,211431.90418205378,224922.22234397638,239089.5041041301,253954.36068202328,269537.5502322241,285860.46966365486,302945.15463958966,320813.79757844313,339483.56715874706,358968.45195012086,379282.5911370625,400440.31449970143,422456.09470531176,445338.48618554557,469091.2614024567,493717.8625423887,519294.94349891396,546099.5577309361,574407.1300294677,604398.899190402,636200.5449389166,669903.347776749,705572.9074375693,743253.74387787,782965.7559743291,824712.5792191614,868475.5453422006,914216.2706529138,961879.6272490218,1.0113856615507507e6,1.0626350118965232e6,1.115512130440548e6,1.169877787005883e6,1.2255752765308593e6,1.282436884457924e6,1.3402773841282998e6,1.3988974370500562e6,1.4580943304175478e6,1.517659539197676e6,1.5773760741413287e6,1.6370313448879926e6,1.6964189754074789e6,1.7553341900974722e6,1.8135808333334208e6,1.8709768578901244e6,1.927352912415856e6,1.982552077615693e6,2.0364344375510875e6,2.088876828474385e6,2.1397714249611334e6,2.1890305382334543e6,2.2365839155187146e6,2.282374299386867e6,2.3263575614623656e6,2.3685083836227665e6,2.4088193854260524e6,2.447291203316923e6,2.483931821380493e6,2.5187606275188443e6,2.551813280448206e6,2.58312972258817e6,2.6127520562600424e6,2.6407260657949694e6,2.6671091000661044e6,2.6919616630597063e6,2.715342944955913e6,2.737310968740645e6,2.757927924072519e6,2.777260168073786e6,2.7953712374546514e6,2.812321542577021e6,2.8281693022801243e6,2.842975941566565e6,2.85680148355551e6,2.869702289385022e6,2.881731108397458e6,2.8929382590678157e6,2.9033753729731417e6,2.9130914170985976e6,2.9221320321185817e6,2.930539560296011e6,2.938353486869526e6,2.9456134714021673e6,2.9523571746575055e6,2.9586195538460775e6,2.9644329626697823e6,2.9698271513218842e6,2.9748302495706547e6,2.9794701626941417e6,2.9837726041908264e6,2.9877614454131783e6,2.991458722287119e6,2.99488463531202e6,2.9980578748602583e6,3.0009970346594932e6,3.0037191696744063e6,3.0062400884894095e6,3.008574434526144e6,3.0107356860434785e6,3.0127361561375153e6,3.0145871964900885e6,3.0163001506785783e6,3.017885236823764e6,3.0193519149519373e6,3.020708977835356e6,3.0219645509922463e6,3.023126092686805e6,3.024200393929194e6,3.0251937141761584e6,3.026112386916944e6,3.0269619842124805e6,3.02774765370258e6,3.02847419358536e6,3.0291460526172332e6,3.0297673301129183e6,3.03034177594543e6,3.0308727905460866e6,3.031363478586417e6
E,1109.3798899465803,1276.398670523694,1465.2749702796043,1674.4286632560547,1903.3861455445747,2152.383788139428,2422.1024676712536,2713.5561471320466,3027.9602511158655,3366.7262219606127,3731.3958067855783,4123.633848607618,4545.240392233392,4998.120245033356,5484.290866207805,6005.891972751847,6565.177871918549,7164.5281233743135,7806.458681336152,8493.60799394719,9228.683705574922,10014.55376840085,10854.252934678518,11750.98275673352,12708.079959401759,13728.897799330414,14816.929255711926,15975.844128890874,17209.488428465404,18521.881350519066,19917.001865873717,21398.81319400691,22971.46608229031,24639.303867749568,26406.862415044572,28278.65778174983,30258.826058435927,32351.572596288657,34561.24480679114,36892.33216172361,39349.40255196901,41936.38314381039,44656.77963641791,47514.14811935104,50512.10220920249,53654.30600147761,56943.5745377111,60382.01766916632,63971.685683327,67725.95858333014,71689.31085556334,75906.50816877208,80408.14767750433,85216.54744001842,90348.94850684683,95818.73526020243,101636.06128857256,107807.18177720535,114335.67055024204,121221.36052659657,128460.65118696933,136046.94620538893,143969.20406487098,152212.7731457606,160759.92230628722,169588.44908463347,178672.72587631148,187984.85714069108,197493.45678470307,207164.22085534479,216961.9407057142,226850.03906891556,236790.0043643727,246743.8887912419,256674.67626782868,266545.3260746687,276320.1431703778,285965.9363691459,295451.7253047187,304748.5607064713,313830.5588511244,322674.92916443886,331261.66089917516,339574.25864746154,347599.4296075712,355326.3234720797,362746.54317375785,369855.0208367345,376649.9536413275,383131.0423623201,389299.35773997905,395158.0345405511,400713.1358097835,405971.51601762045,410940.4293089331,415627.7985284433,420043.6137556079,424198.42967840045,428102.5614195817,431766.11050960625,435199.9149730783,438415.54371903266,441424.0549002888,444235.94248796534,446861.30290873896,449310.7894042074,451594.79416657146,453723.0566371405,455704.6728103936,457548.30391171,459262.83017503587,460856.65477851854,462337.5962102729,463712.893318615,464989.2825952016,466173.5226008133,467272.0152453748,468290.69334827445,469235.03869929764,470110.08205862663,470920.57229555614,471671.2107728149,472366.3188551449,473009.90349812247,473605.65842328314,474156.9641181225,474666.94303076295,475138.69518833247,475575.05475210794,475978.64611890307,476351.8979720981,476697.04328164016,477016.1193040419,477311.00150046643,477583.55895139044,477835.4686389369,478068.2819631268,478283.4401500008,478482.27425161935,478666.0051460613,478835.7435374259,478992.5120095165,479137.3408304913,479271.1321686833,479394.7191494688,479508.87828700215,479614.3294842157,479711.7360328193,479801.7046133012,479884.78529492696,479961.47955146723
F,1380.9701310499045,1721.3809119230157,2108.6400845766043,2537.1818519400513,3004.2844776579363,3509.056090263253,4051.740794379105,4633.411886829294,5255.614460588108,5920.33526634413,6629.81418012689,7386.513607751422,8193.142945860673,9052.559680149288,9967.783008315597,10942.02228581833,11978.638088861666,13081.154883437106,14253.282701162061,15498.893327999229,16821.905814130612,18226.451566187297,19716.886559748877,21297.791339343516,22973.90589387933,24749.895400138717,26630.587333716117,28621.031312361185,30726.497614726097,32952.46695743677,35304.24036697709,37786.99548889487,40406.13911486984,43167.31559438183,46076.40671511821,49139.15508561795,52360.564736944354,55745.68116320153,59299.70396686849,63027.98685879886,66935.9309380761,71027.82040274085,75307.22051393236,79777.73205959088,84443.00115864942,89306.7083822607,94371.18482393668,99637.66268651832,105107.288360778,110797.63592201623,116771.2939210552,123090.61099537692,129796.8403814407,136918.78044403988,144477.497492937,152488.2376752145,160961.4309432952,169901.84950537773,179310.47593635606,189183.09689901042,199510.8774061489,210281.04552450505,221475.00275341928,233069.58692829136,245037.8377572407,257347.23464445386,269961.17081521836,282840.49449033197,295941.977513749,309219.1288428987,322624.75243572774,336110.3712655201,349625.60166664515,363121.202923473,376549.5049785521,389863.30791000184,403017.53405870486,415970.5056854448,428683.60058741976,441121.18277725816,453251.6445762525,465047.32261597324,476484.1567358787,487542.81620736205,498208.0211459025,508467.4733081759,518311.8884568611,527736.3304533042,536739.9755046337,545323.7824367839,553490.337357802,561244.8015320622,568596.022554871,575553.7570387287,582128.1858360554,588330.2671844277,594173.5434947247,599672.2068696474,604840.0917587492,609690.7095106135,614238.4647132069,618498.6446747233,622485.8530450561,626213.9455338167,629696.2420849843,632946.7385769945,635979.0720277124,638806.0301152656,641439.5632573395,643891.0493686789,646172.1229434209,648293.7955235338,650266.321302065,652099.2035526165,653801.2927461596,655381.4526583649,656848.0811755273,658208.9683302975,659471.3192496446,660641.7541548581,661726.5238879957,662731.8094129437,663663.2989065708,664526.271240898,665325.5974795492,666065.7408777506,666750.8276237271,667384.9493703004,667971.8518431699,668515.0064699233,669017.628369871,669482.6763540464,669912.8529252051,670310.6481070028,670678.5407585364,671018.7589966652,671333.3657091426,671624.2784352842,671893.2693659664,672141.9653436282,672371.8478622698,672584.2818650889,672780.6413432688,672962.1322822153,673129.8691651614,673284.8911672632,673428.1621555994,673560.5706891727,673682.930018908,673795.9780876542,673900.38822328
G,269.1627936640736,344.99381965488857,433.2432533829015,532.943144167003,643.803749804516,765.9736820446884,899.8794134494218,1046.1582463106276,1205.578982399063,1379.0394553915937,1567.527420937672,1772.1169160592672,1993.977439981307,2234.356153776472,2494.5832632640886,2776.081584229973,3080.363310472393,3409.0362476910514,3763.810363041142,4146.497168971377,4558.985507343394,5003.29011371505,5481.555130778729,5996.054108361348,6549.179790714147,7143.397198045713,7781.298085392928,8465.627372149218,9199.283136979366,9985.318596261239,10826.840861006725,11727.020498007016,12689.205680433923,13716.925265485219,14813.888771439657,15983.883407023848,17230.57648399767,18557.756443488302,19969.381862776263,21469.58145529515,23062.620781690108,24752.49281351724,26543.02218196683,28438.151732789316,30441.948313337056,32558.59839367353,34791.84753763211,37145.077109149264,39621.6960591225,42233.68641862866,45016.496257793464,48006.58907959489,51230.545900350284,54709.42459486209,58461.11522372288,62501.14947895932,66843.09470369964,71497.95150035642,76474.95453679522,81780.64898057946,87418.94663228362,93391.36159266694,99695.65523674461,106326.30015191043,113274.81089812098,120528.3210138101,128070.27198317005,135881.35646080234,143938.2081060482,152213.70727765508,160678.87665003914,169302.3549734279,178049.56178044423,186885.3694509459,195774.5378077791,204680.4705413309,213566.75035046588,222398.7598005755,231143.3328809964,239768.16603875897,248243.57517228724,256542.86199134777,264641.86737728346,272519.2135812116,280156.78818546433,287539.29200611723,294654.1991095733,301492.06280166697,308046.9140526064,314314.7222815532,320293.2190867699,325982.4367154276,331385.6036919366,336507.0884393801,341351.9471662533,345926.17547870026,350238.11927921296,354296.9561809983,358111.7848491348,361691.647698739,365046.52754321875,368187.361114384,371124.6528695471,373868.4033828254,376428.2886196529,378814.7049575548,381037.8634175383,383107.3304362897,385032.0367766154,386820.5070805219,388481.58544505714,390023.65170295705,391454.4889098784,392781.28873998433,394010.736836149,395149.5944975133,396204.27305166726,397180.7001583201,398084.3393641684,398920.1901028962,399692.9736493943,400407.390640092,401067.7495686753,401678.03646621906,402241.9161869914,402762.73240845266,403243.5674240991,403687.4971401426,404097.3247113038,404475.63974292384,404824.8334729534,405147.0987719519,405444.430143088,405718.65966572514,405971.62098394753,406204.9511602725,406420.1612156728,406618.6524803715,406801.71659384156,406970.5355048065,407126.1814712393,407269.6397477999,407401.9059828239,407523.84581155446,407636.25693436945,407739.88199333276,407835.40857219585,407923.4691963962,408004.6413330586,408079.4473909938,408148.3623593893
H,223.12299891629468,293.71590654432094,376.4378431053273,470.36773930025265,575.212743783524,691.0819591435971,818.3347616922075,957.5168921113685,1109.2850023685335,1274.4031948009606,1453.705066358596,1648.0892510791223,1858.525933297103,2086.038860141087,2331.7095331969026,2596.6823476763952,2882.1594017726807,3189.406034244861,3519.756911605394,3874.6075471320896,4255.383876619479,4663.592279395909,5100.8231509225925,5568.750902793627,6069.115474043962,6603.654062779613,7174.170900842194,7782.55691043565,8430.789319968042,9120.92953340419,9855.002972751492,10635.013330958727,11463.054929786957,12341.315486972835,13272.076081018213,14257.592735187694,15299.898098218599,16401.050843381516,17563.175191777376,18788.460912337283,20079.128521229904,21437.037523526207,22863.80917206434,24361.08451555337,25930.528265975576,27573.82501460827,29292.196628891856,31086.482940402562,32957.49159626289,34911.826840086964,36972.00306553312,39160.60457975011,41492.88429756408,43979.7860996375,46629.58954699261,49448.547259843675,52441.21452316544,55610.1168781353,58956.3903085093,62479.24642954836,66176.15152251878,70043.06600730195,74073.71405883733,78260.03507418312,82592.46835783613,87059.25537647564,91646.99195426701,96341.22618207101,101125.84483759372,105983.3751982709,110896.00294799467,115845.33765605532,120812.13693129268,125777.54549464423,130723.27248352366,135631.11780771788,140483.64420429882,145264.725339093,149959.39729393486,154553.78328537318,159035.56578872207,163393.97658116053,167619.6435087868,171704.98103044918,175643.9856932734,179431.8345575248,183064.89309957522,186541.1806942799,189860.31175055975,193022.60250113253,196029.00631841793,198881.46850636188,201583.35260900768,204138.37375051298,206550.40812692643,208823.62818627153,210963.19524724915,212974.5153404263,214862.8505713564,216633.33241186276,218291.4291709351,219842.93981249715,221293.3949998593,222648.03309856652,223911.88174847892,225090.22029454858,226188.18401183697,227210.58076428826,228161.89581303415,229046.39281177218,229868.42675964476,230632.11159990152,231341.27300838826,231999.4508982349,232609.93655058547,233176.0220082727,233700.81954380186,234187.21262131026,234637.8648127993,235055.21979813505,235441.58168882082,235799.22418018986,236130.23553565063,236436.5520370904,236719.9585507575,236982.08852726067,237224.45005209325,237448.5354288333,237655.7070782281,237847.2267489118,238024.26225996838,238187.88750093163,238339.08243178495,238478.74895816762,238607.7823989571,238726.984864907,238837.09862155543,238938.8134171484,239032.7664826401,239119.54253169216,239199.67376067454,239273.6500607922,239341.9623799916,239405.0399559751,239463.27939569188,239517.05052969322,239566.69641213308,239612.53332076743,239654.85075695452,239693.91144565525,239729.95481573208
I,615.1041165984213,770.6802152899545,948.9660415856553,1147.645502609001,1365.6882446445181,1602.885445317131,1859.5349545017802,2136.3045688435664,2434.072163444564,2753.914139196375,3097.022555028865,3464.692820447226,3858.334685135662,4279.4306603938185,4729.542998492513,5210.323655045182,5723.499587337134,6270.881354342266,6854.37401706884,7475.9606044334,8137.644703500088,8841.539700620107,9589.875197120222,10384.997009302777,11229.33219754776,12125.266216147249,13075.271645367608,14081.938823777451,15147.975023049421,16276.199420264795,17469.34443263737,18730.087458377428,20061.233243428767,21465.718232703646,22946.610510629704,24506.920533738587,26149.30011747359,27876.440397032376,29691.13020106022,31596.256051649754,33594.74897801,35689.00053947634,37881.06335227806,40173.03407214946,42567.05859018373,45065.326537412446,47669.372293457986,50380.201164590355,53198.799927663036,56134.75276554901,59221.172068291526,62491.230611401676,65967.26967225963,69665.29527837595,73597.43207893122,77772.89701686666,82198.5055326242,86878.20704808172,91814.03294256277,97005.32932081135,102449.01342885119,108139.90857036196,114069.6896245502,120227.50363258077,126600.35401617247,133172.08773897798,139924.1454424816,146836.38754715133,153886.20166557492,161048.9030732237,168299.16916244416,175610.69822784886,182955.79091559435,190307.13788582617,197638.0816382287,204921.92226425942,212132.90265108613,219247.04775566573,226241.95419983537,233096.65690712357,239792.38960116036,246312.6127354389,252642.7868049604,258770.90243152803,264687.2706034967,270383.9793637424,275854.9008695618,281096.32238379517,286106.9122382654,290886.4419161857,295435.6880572411,299756.93696318823,303854.61963802046,307733.75246045075,311399.6494626672,314858.1189370025,318116.48863142764,321182.50572194974,324063.745198,326767.6288097915,329302.1226641323,331675.7338474026,333896.5965346575,335972.4323264348,337910.6727501467,339719.16131765966,341405.5514284996,342977.0173163327,344440.26085763075,345801.6651231173,347067.77549165435,348244.7868532177,349338.46405638364,350354.1456209374,351296.80061167397,352171.4144860802,352982.71012104256,353735.064988127,354432.5244445327,355078.8017330931,355677.4023947202,356231.79644508124,356745.1738383246,357220.49284050113,357660.48089447414,358067.6346199182,358444.26039074495,358792.64732006803,359114.88830967795,359412.9216217196,359688.5412226806,359943.39678339113,360178.99367902416,360396.7179047783,360597.949986457,360783.928580574,360955.7997541696,361114.62832562026,361261.39786463795,361397.01069227024,361522.28788090055,361637.9854360365,361744.86432915897,361843.59087789076,361934.7805203802,362019.0069622094,362096.8021763945,362168.6564033853,362235.0181510653,362296.2941947519,362352.8553846791
J,385.87948313401887,468.3226923334308,563.4729180768949,671.0936201965319,791.4569290177404,925.1692515898263,1073.0580022132328,1236.1279941131274,1415.5088553272433,1612.457529913466,1828.3354475443036,2064.6094801498616,2322.861508668412,2604.7820402505786,2912.176708696058,3246.9739053453586,3611.2299932093947,4007.1392392472744,4437.041363407775,4903.420920083684,5408.885345432122,5956.225142802739,6548.418052086377,7188.629049715098,7880.202213227502,8626.616259725235,9431.545570685386,10298.896113570227,11232.805627385556,12237.648871475692,13317.92976962708,14478.29280514467,15723.662810574502,17059.248900582606,18490.544454797568,20023.21817225241,21662.885341448695,23415.39138066733,25286.878095944197,27283.783681069857,29412.806242122293,31680.422905127376,34093.00327200181,36657.16896682135,39379.802189928996,42268.04031394909,45328.584457764846,48567.79416838689,51992.169053054524,55620.75005928207,59506.79508230146,63705.82274079526,68259.81690061111,73203.5486392308,78567.99929587818,84381.50392660937,90670.30345449425,97457.65619625767,104764.93082820342,112610.21642607992,121008.26860124289,129970.75734607907,139504.10137378203,149609.91374914985,160285.35346579304,171520.66885639404,183299.91967765693,195602.27984655125,208399.63254465125,221656.64961083388,235333.72203321563,249385.90002380605,263760.9643987174,278404.0167882255,293258.25123971753,308262.2996778715,323352.95111090766,338468.5685515182,353548.41311565076,368530.83838723233,383357.5315833544,397974.78923407843,412332.5614567009,426383.8170507222,440087.0245053506,453406.1288527122,466310.38034717797,478773.66254816967,490776.1911658491,502302.4970053783,513341.04902271996,523884.8088534029,533932.8854029448,543487.2438881659,552551.7895504311,561132.754220739,569241.1961372497,576890.3593487681,584093.7966519392,590865.3990002134,597221.2699638641,603179.8426990714,608759.0183464176,613975.9808028345,618847.5486399117,623392.3085491518,627628.7604691129,631574.2724302593,635245.0936944698,638656.8285676657,641825.9777884186,644768.2558709364,647498.2515008647,650029.4378660804,652374.3527097433,654545.8512592555,656556.185696242,658416.6665657195,660137.7014088397,661728.7947628903,663198.9479277021,664557.2292105033,665811.9428787343,666970.7569286944,668040.7057784243,669028.1902677047,669939.1061673175,670779.4039501527,671554.5056380788,672269.4087670394,672928.7181157026,673536.6457054579,674097.0108004181,674613.3168445661,675089.1105246413,675527.553010998,675931.5547202447,676303.8095041767,676646.7946497754,676962.770879208,677253.7823498278,677521.7048597826,677768.4578721315,677995.7041308683,678204.9715623282,678397.6800935538,678575.1416522971,678738.5601670168,678889.0315668795,679027.5437817598,679154.9935282887
