Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,448280.71513366414,447979.2120356441,447639.2092059698,447265.3933182807,446860.0476573794,446423.91082067613,445956.762830793,445457.6857873814,444925.3636407456,444358.11007473787,443754.0256910368,443111.0242313995,442426.81472112465,441698.98286797013,440924.9806773593,440102.10579714517,439227.5349933251,438298.3146868185,437311.34467324,436263.4022067017,435151.23667982226,433971.44368194015,432720.4556428013,431394.54183255933,429989.86931791564,428502.71030141745,426929.24564959353,425265.5316375211,423507.50163063244,421650.9826996202,419692.0360008314,417626.91309327784,415451.79441788356,413162.7835866104,410755.9075043667,408227.45726191904,405574.5014673491,402794.2492850061,399883.9780584111,396841.03331025783,393662.9250995094,390348.33751683775,386896.7798358719,383307.9728685231,379581.8432471673,375718.5325454654,371719.5562663071,367587.57692605467,363325.5369889974,357467.6872552724,351387.65709911037,345032.1777344347,338374.847391811,331405.6120948675,324125.17557451804,316542.5117087795,308673.4548259298,300540.9118294786,292172.49363381177,283601.27546172595,274864.3307901259,266001.5213117362,257056.3014900237,248073.54185395234,239098.2719487805,230176.2872276599,221352.08187953837,212667.23904683953,204161.16982027714,195870.1064555888,187825.30642556335,180053.55922296026,172577.71216360037,165415.36601075108,158578.90607653034,152076.81203663157,145913.44935832155,140089.1046027837,134600.55957681208,129441.98574094509,124605.12636233277,120079.75088766849,115854.09411239214,111915.0593229103,108248.78085613629,104841.27227709838,101678.43024357404,98745.84793918791,96029.03888169541,93514.19650590129,91188.25353398174,89038.54427634452,87052.50353881525,85218.39360029799,83525.39045158698,81963.44376324148,80522.66172202582,79193.80293437367,77968.42418721477,76838.8612373718,75797.80672317804,74838.27929393934,73953.91299161257,73138.94154784593,72388.1253533839,71696.37399559327,71058.9796427981,70471.65973982206,69930.54948312587,69432.1203368266,68972.94269812596,68549.87772141887,68160.06439575845,67800.91697930143,67470.09725617606,67165.3373411947,66884.5477435917,66625.81941685505,66387.41567522517,66167.77219369488,65965.44257189264,65779.02601746746,65607.2552426851,65448.96572210714,65303.095286750206,65168.68412408594,65044.858315216945,64930.761355837836,64825.62128930767,64728.72762746591,64639.42694249342,64557.122866912716,64481.276093587796,64411.394989762,64346.99332622529,64287.63981174024,64232.93707108841,64182.51726716307,64136.04210096932,64093.20281162393,64053.720176355455,64017.33879950778,63983.80268334679,63952.88978414288,63924.395603863,63898.12991655111,63873.916768328156,63851.59447739203,63831.01563401765,63812.047100556905,63794.56811704979
B,439427.5749031822,439212.55540387664,438963.64812920406,438684.2606499654,438375.80993272085,438038.4393051056,437671.5031276727,437273.7759886692,436843.6974966028,436379.3888655578,435878.7794662489,435339.6252819953,434759.4914177157,434135.8171459981,433465.90620473644,432746.9093978508,431975.851671449,431149.623335295,430264.96595966374,429318.49521954916,428306.78576013754,427226.2615069372,426073.1875022163,424843.6699050034,423533.712643066,422139.41312652157,420656.7864575014,419081.7358533276,417410.05420911335,415637.4404291554,413759.83185197343,411773.36998512445,409674.15077071555,407458.21911527496,405121.56900912453,402660.48027018027,400072.03356048977,397353.4853771014,394502.19555984,391515.62729130744,388391.4425511737,385128.51025164657,381726.561669901,378185.5717320644,374505.7528128487,370687.5638072116,366732.86237201653,362644.67220464133,358426.31298551074,352627.1572028463,346607.38659737946,340315.01514013775,333724.7165705187,326827.38612422475,319624.5805529527,312126.0109006334,304348.1142528686,296314.2154031777,288052.1554129253,279595.0030428485,270979.58362837526,262245.2827169502,253434.80823568796,244592.07096834478,235760.97170957146,226985.99164005322,218310.22023437382,209773.82508490572,201414.78190435312,193267.93458822745,185363.3027976593,177726.57980926707,170379.65192755358,163339.37316831056,156617.6015833151,150222.44841137348,144158.08428197567,138424.77873909025,133019.44377884304,127936.47571849082,123167.93478582852,118703.97925612718,114533.28122972601,110643.20881429058,107020.37415956346,103651.25638715082,100522.20515666879,97619.25677448047,94928.3518695762,92436.07410222798,90129.70775889243,87996.91315557701,86025.43498834634,84203.81157511972,82521.46087695916,80968.54524747112,79535.37461774092,78212.8863962541,76992.79336994942,75867.56518228565,74830.01674390772,73873.27750564663,72991.07812996907,72177.73597194938,71428.08349755676,70737.09693356582,70100.12641607341,69512.94031888289,68971.71795248102,68472.96910783788,68013.29866638515,67589.59732442546,67199.03029343442,66839.03478501448,66507.29246055993,66201.55266310854,65919.74011746552,65659.95848164584,65420.48239283575,65199.75746739299,64996.34583149204,64808.85302699935,64636.016903246746,64476.67762231066,64329.77725553871,64194.35978354972,64069.55454010771,63954.50676827865,63848.44539169022,63750.66075652858,63660.50023725987,63577.368236630326,63500.72618566622,63430.08304392295,63364.952043307625,63304.90091918613,63249.53144883302,63198.47506314881,63151.392846660056,63107.97553751923,63067.94352750482,63031.04103247474,62997.01077207041,62965.629275558415,62936.69078996179,62910.003975692256,62885.391906550285,62862.69206972505,62841.75636579446,62822.45110872511,62804.6549999451
C,578593.7491214111,578008.6332073406,577363.1023287309,576663.3835721045,575912.4003100939,575110.9674016362,574258.6051386839,573353.9008462181,572394.9243358065,571379.2683755159,570304.2672231952,569167.0345439248,567964.4456054929,566693.2496870249,565350.0571056724,563931.3264238945,562433.4125166934,560852.5497076724,559184.8273280547,557426.2546329551,555572.9221753031,553620.7880422985,551565.6624926595,549403.2079566222,547129.0550308193,544739.1780801933,542229.5326027458,539596.0124813956,536834.4534899362,533940.6640723799,530910.9817410117,527742.1767048929,524431.0293498675,520974.32138779096,517368.8360483983,513611.8817170788,509702.03805436974,505638.1462552566,501419.2004748464,497044.3478283686,492513.02391426294,487826.3444370497,482986.53513478255,477996.04934742866,472857.5600451848,467573.9716439144,462149.90800053434,456591.33946062793,450904.41935634334,443153.6130344436,435180.8692703811,426923.87484183203,418354.23101461615,409463.9165420409,400258.03333442,390751.28449288255,380965.9656736228,370931.9133973701,360683.4465628855,350260.09469768405,339704.7822739058,329062.4354902528,318380.83472532994,307708.2863851308,297092.35595827585,286580.56994952617,276218.4157113442,266047.816085396,256107.98550823142,246434.55075437736,237057.92096687332,228003.8506983209,219294.01889437027,210944.88959625305,202967.7860173417,195370.13155262696,188155.29148624785,181322.68692214548,174868.32217388228,168785.53803077183,163065.28401505257,157696.5963874476,152666.98256258975,147962.46275879157,143568.25627613743,139469.4685744124,135651.08487776268,132097.63482224787,128793.47942648895,125723.66454177818,122873.97659104427,120230.5561424917,117779.55525054217,115507.97371262916,113403.75847518294,111455.64978974368,109652.49803294134,107983.82667332992,106440.0143674704,105012.27428279785,103692.18444418645,102471.65452523973,101343.27159808739,100300.28642025591,99336.5313276963,98445.99017073678,97623.0704443419,96862.66417632675,96160.13983426716,95511.24842535458,94911.84575145031,94358.12113091648,93846.58963100264,93374.08919629666,92937.74794737468,92534.77203944743,92162.5753016282,91818.7883605597,91501.24942887848,91208.00430521488,90937.24014644658,90687.19469605012,90456.26703705465,90242.98320528408,90045.99570581177,89864.08351296063,89696.13152272983,89541.04296049011,89397.82408134744,89265.55884030821,89143.403532555,89030.58679344674,88926.40959851847,88830.23317074179,88741.42280940458,88659.41197875903,88583.67810981032,88513.7371120981,88449.14337369642,88389.48976121379,88334.40761979314,88283.55912071024,88236.6031282517,88193.2415588182,88153.1997389603,88116.22215262086,88082.07244113526,88050.53340323118,88021.40699502881,87994.51433004059,87969.69276791053
D,3.581709066356008e6,3.5784820093913567e6,3.574890508121596e6,3.5709764958146974e6,3.56676055367858e6,3.562249623730249e6,3.5574422757878266e6,3.5523310499563436e6,3.5469051599230734e6,3.541150750846958e6,3.535052329838328e6,3.528593014391314e6,3.521754396771625e6,3.514517298527998e6,3.50686168891631e6,3.498766544133103e6,3.490210180046029e6,3.481170174804638e6,3.4716232255926044e6,3.461545451385147e6,3.450913311031204e6,3.4397024347136132e6,3.4278875379733373e6,3.41544242170947e6,3.4023405934907827e6,3.3885573120694263e6,3.374067634632244e6,3.358846157267502e6,3.342867033268052e6,3.326104139619916e6,3.3085341718505807e6,3.2901361301285205e6,3.2708889563190844e6,3.250771484016902e6,3.229762439619265e6,3.207843383412762e6,3.185002935438427e6,3.1612311262816363e6,3.136518783911496e6,3.110857533680838e6,3.084240571926634e6,3.0566706220809766e6,3.0281567585426657e6,2.9987094104478154e6,2.96834031715582e6,2.937062596621776e6,2.9048993702927614e6,2.871881701897586e6,2.838041926625816e6,2.791831003573007e6,2.744191501091299e6,2.694737180906747e6,2.643284153726989e6,2.5897702721785423e6,2.5342119734143065e6,2.4766838073588903e6,2.4173068351240046e6,2.3562489842340187e6,2.293707102926558e6,2.2299118440398443e6,2.165117211554788e6,2.0995923697516527e6,2.033627204107276e6,1.9675182867603903e6,1.9015611093306246e6,1.836054488857069e6,1.7712879500117095e6,1.7075319520864652e6,1.6450429925039096e6,1.5840576383885972e6,1.5247815767766042e6,1.4673928465757852e6,1.4120450881980774e6,1.358859360239652e6,1.307924285984832e6,1.25930375598825e6,1.2130353725204729e6,1.169130548123439e6,1.1275778790027054e6,1.0883481085394642e6,1.0513953615248036e6,1.0166599949269461e6,984071.2537199998,953547.9483347597,925002.5311220017,898345.4618729514,873485.2206241707,850326.7616789668,828773.1649049227,808731.1624580116,790111.5573572762,772826.9290004604,756789.5273368943,741916.6769702616,728131.4937737143,715361.9219766704,703536.4050878907,692587.5348941287,682453.3120625166,673077.0169613452,664404.1774467961,656382.353687744,648963.4534449567,642103.6571437712,635762.8818556671,629901.9565020727,624484.4251212971,619476.9815281008,614849.417549173,610574.003210876,606623.6420600528,602973.4014248395,599600.4801989846,596484.190114607,593605.7385657377,590946.8112787958,588490.439989643,586221.0810170429,584124.5549267259,582188.0465313899,580399.6619583371,578747.8147385082,577221.9773850528,575812.4594334448,574510.4042341609,573307.788952682,572197.2867769167,571171.6743686616,570224.4029613314,569349.4375746833,568541.2214356589,567794.6759783835,567105.2008441675,566468.5925186109,565880.6625720446,565337.6700466248,564836.1655610544,564372.9547413277,563945.0982207302,563549.9116398393,563184.9656465227,562848.0341906958,562536.8612029323,562249.4743097225,561984.0569292676,561738.9198053081,561512.5010071252,561303.36592954,561110.2072929138,560931.845143148,560767.2066734718
E,565935.274464233,565608.333985285,565239.8331051174,564833.3648337083,564390.2913238759,563910.5503414565,563393.1984419107,562836.6439021975,562238.9193593273,561597.6993238763,560910.4400813332,560174.3994234769,559386.6179037546,558543.9890225318,557643.2477789728,556680.9552314702,555653.5264048249,554557.2174640474,553388.1085938311,552142.137892122,550815.2052850904,549403.0317462247,547901.1490371958,546304.8997078576,544609.5093185392,542810.3317200413,540902.6225535845,538881.5035017986,536741.9643214565,534478.8829989346,532087.4312494843,529563.0271528336,526901.0284462222,524096.725842727,521145.3431764868,518042.4443784754,514784.5490772098,511368.37403866346,507790.7465401177,504048.60437016515,500139.1105629278,496060.8569180268,491813.4452953221,487396.7523007611,482810.92229600553,478056.3782099838,473135.19426726724,468050.819512528,462807.0451950918,455600.42648459045,448120.8257359151,440302.9277916602,432114.1052710792,423541.5798302816,414585.5798746994,405256.2757771479,395572.04745243455,385559.7348506553,375251.7755960518,364687.12870686466,353909.5553307215,342966.20816677256,331908.6209710821,320790.179621054,309664.6686369264,298587.0198991128,287610.90110985294,276786.8258640908,266163.02696519013,255784.25370612388,245689.60917192267,235913.11925103783,226484.31204141016,217426.57406066227,208757.14912103917,200488.63811330017,192628.67648633284,185179.89576978446,178140.59105893868,171505.76211265352,165267.27523102076,159414.37719250857,153934.23511924307,148812.1935498664,144032.43799273515,139578.77910441562,135434.66363154596,131583.00812899694,128006.45578153929,124688.33498631873,121612.740914738,118764.14684443349,116127.043331063,113686.8614459176,111430.09701123678,109344.14145850002,107416.52519294084,105635.54341166212,103990.46527984274,102471.51089969742,101069.32011137574,99774.91315611289,98580.08003580321,97477.36490185777,96459.9725144841,95521.2788446919,94655.13870257896,93855.95288961756,93118.65892140943,92438.62423866581,91811.33094489206,91232.63425379296,90698.75233840256,90206.26305042348,89752.06695710093,89333.14804518943,88946.71989489728,88590.23496894869,88261.37415245356,87958.04675290735,87678.31640773646,87420.29991724942,87182.29081644329,86962.72057082124,86760.15803423017,86573.30944886069,86400.99573062986,86242.0558876866,86095.44070534175,85960.18445188354,85835.39894018412,85720.27352769954,85614.07511646958,85516.13497988207,85425.78778832637,85342.44151037934,85265.55078302031,85194.61091718278,85129.1578977545,85068.76838357741,85013.05970744768,84961.68168360596,84914.28029064287,84870.54737567504,84830.19931522988,84792.97244331198,84758.62305140326,84726.9273884629,84697.68166092728,84670.70203271008,84645.8216158263
F,793814.7692241592,793189.9140450978,792484.2750048847,791707.6467024335,790864.8789131253,789957.6576197918,788985.7224419094,787947.4082616671,786840.2710850454,785661.1470975506,784406.4842518412,783072.3996815198,781654.6459458478,780148.7874706683,778550.1818144628,776853.9408415236,775055.0094897053,773148.1511160807,771127.9158017789,768988.6984285584,766724.9394434441,764330.8765512005,761800.5261736024,759127.6834494373,756306.0544612892,753329.6972570943,750192.6087692112,746888.6663875608,743411.6317932098,739755.1872572531,735913.6211401649,731881.7237275139,727654.2664947473,723225.9910202565,718591.6092241529,713746.4628680258,708687.4854707901,703411.943013865,697917.2946145311,692201.1925259294,686261.6579362235,680098.9040679744,673714.6311844212,667110.8822333398,660290.0320848142,653254.8033444635,646010.2638883475,638563.3620453253,630921.3854468077,620473.1520637327,609689.2091426576,598481.5908879703,586808.6843917503,574656.8394982257,562030.5343164906,548947.7399843278,535437.2852565391,521538.9485460879,507299.322506733,492772.931009535,478019.76295523567,463103.3295345227,448091.9249544475,433055.2872389049,418062.7384610085,403184.1904859051,388487.1458804034,374034.38104982703,359885.1508472239,346093.7943835618,332707.1783967875,319765.4859393159,307303.0267456562,295346.37360279635,283914.42368815944,273020.27010294795,262670.8884159519,252867.20614316047,243604.91343022673,234875.67125054094,226667.4207548383,218965.06410320118,211751.0850217964,205005.72821043732,198707.93251145957,192836.33614831255,187369.2777016646,182284.42685733756,177559.1623715786,173171.81302343847,169101.74946390145,165328.84707321547,161832.999824071,158595.32822534748,155598.33112183213,152825.66371566846,150261.1485931367,147889.591783757,145697.05059891703,143670.80363252547,141798.6647916547,140068.93390057734,138470.90087588833,136994.8256515996,135631.81789642313,134373.2073841767,133210.94147396463,132137.67308376005,131146.74880160514,130232.07147528711,129387.6942272478,128608.15430789458,127888.46094844576,127224.09114953056,126610.94197257109,126045.02141814512,125522.6374250681,125040.41050962963,124595.26029372709,124184.4055048658,123805.26784704778,123455.34058434791,123132.34905385818,122834.2004803812,122558.98327356968,122304.96702792645,122070.57286863233,121854.24727712067,121654.58435389947,121470.28896308369,121300.1689838781,121143.13531057737,120998.20185256601,120864.46820564187,120741.03937024914,120627.11763781654,120521.9676242794,120424.90838910575,120335.3134352963,120252.6107093843,120176.28260143571,120105.85507224305,120040.8493619953,119980.84790210768,119925.46610331816,119874.34629507756,119827.15772554955,119783.59656161064,119743.38588885016,119706.27571157034,119672.03889865673
G,480126.09806089534,479962.3050922499,479774.0977094164,479563.5839409013,479331.5072389074,479077.73388678767,478801.58050460543,478501.95305034635,478177.5102044003,477826.6715471188,477447.70001587464,477038.71188088116,476597.66175579943,476122.3827478512,475610.5779725709,475059.80519024347,474467.48999573983,473830.9172065868,473147.2202130558,472413.3895958162,471626.3251797152,470782.7560854388,469879.2348298723,468912.13732610055,467877.69404191704,466772.10460490093,465591.4276805115,464331.5521808342,462988.1979595461,461556.92325792863,460033.33945835935,458413.09284526476,456691.6883886825,454864.48561595,452926.6986888762,450873.624793581,448701.01209181163,446404.6343781921,443980.23610356974,441423.5323750143,438730.28015948425,435897.0408179123,432920.96019318374,429799.31992903276,426529.5329958517,423109.15110742213,419536.81411723356,415812.1154403173,411934.931422765,406553.50068970857,400906.77786966227,394936.12316359126,388607.6972722151,381902.7014285109,374812.2364648041,367335.3377855055,359477.92311727535,351253.4471442758,342680.94768748566,333786.17443452374,324600.5713935036,315160.28228096943,305507.36733390024,295687.7628423892,285750.00592279265,275746.10686099937,265729.16773221997,255751.38085876164,245864.80906387884,236119.91764469858,226562.88029168147,217235.9718893534,208177.9418018695,199421.56854337372,190993.42711846644,182915.41564079144,175204.01337143444,167869.75530216153,160917.98530252586,154350.18390414104,148163.72338678694,142352.2579721676,136906.48407363275,131814.8294705966,127063.84353644098,122638.98628480142,118524.68499493695,114704.68389554833,111162.13000046053,107880.55984965232,104844.03148277367,102036.85579322156,99443.29080931736,97048.46307942961,94838.53729097586,92800.55517886314,90921.69167614766,89189.89200907596,87594.11576067691,86124.31432517373,84770.87328882038,83524.56820725792,82376.98715271024,81320.51686947385,80348.24190090928,79453.41526383851,78629.79128193606,77871.70049511344,77174.03973256247,76532.1560460122,75941.50394805486,75397.92696889795,74897.64704659421,74437.26096581083,74013.70040222131,73623.9733925079,73265.32302685741,72935.23780953157,72631.44035893785,72351.88740762965,72094.69082435928,71858.01013474942,71640.18485389031,71439.6932015319,71255.15152406735,71085.31429453287,70929.05038431127,70785.2424386061,70652.88519879835,70531.05592072921,70418.90816513578,70315.67179765108,70220.65298880404,70133.2208080392,70052.74552682781,69978.67003899656,69910.48242954841,69847.7098522045,69789.91852940393,69736.71375230394,69687.73988077976,69642.6722743935,69601.18199564164,69562.98494627107,69527.8202193863,69495.44555732654,69465.63735166588,69438.190643213,69412.91912201153,69389.65512733973,69368.24691394526
H,281303.43792667775,281144.8121199915,280962.9220634186,280759.89587246504,280536.5864757989,280293.0343621713,280028.77985093254,279742.9977791237,279434.6547604865,279102.5202284412,278745.24760074576,278361.3863073196,277949.37189602066,277507.5671614862,277034.25605624134,276527.6356111877,275985.8328767454,275406.89816625405,274788.7956255285,274129.4235498628,273426.6734178165,272678.3514389818,271882.17284238426,271035.76187648426,270136.69330856606,269182.63162651315,268171.2018596424,267099.9708874631,265966.4486353814,264768.0995470394,263502.56700824806,262167.6446814619,260761.10703445942,259280.70568213018,257724.16946555136,256089.42601540996,254374.93413246248,252579.2663152979,250701.06101486826,248739.0226344899,246691.98258003188,244559.5408854272,242341.8354097614,240039.14279584057,237651.87447586042,235180.5823693788,232626.681086244,229992.2933643211,227279.6999235675,223558.30229741707,219703.55720534307,215682.76973110958,211480.10547326598,207089.94756331755,202513.35469345507,197756.44174608597,192829.45986059078,187746.88185060813,182525.9066897139,177186.90400258268,171752.50593364716,166246.87294276457,160696.1830387529,155127.33947552546,149567.2350226076,144043.1372968432,138581.4886146189,133206.96964295194,127942.962500306,122810.97740491535,117829.60136378834,113014.80536504404,108380.26674043614,103936.58719606537,99691.30771955852,95649.68007147247,91814.52835830863,88186.25062031181,84763.15517433932,81541.98603965483,78518.01160599804,75685.28438180308,73036.90509378332,70565.14651205075,68261.77915397024,66118.45599404613,64126.71659243478,62277.89183741737,60563.22940826401,58974.35749587261,57503.323077317706,56142.39457752157,54883.87995810811,53720.573805123924,52645.81462787068,51653.40054429528,50737.2144782401,49891.52796234316,49111.09851709032,48391.15811296574,47727.15230518783,47114.720524568904,46549.881631871925,46029.02536835433,45548.866703035404,45106.208167592136,44698.08801239047,44321.810325249215,43974.94042785359,43655.25322713806,43360.5816148977,43088.940008073005,42838.5180339321,42607.67892645944,42394.94177455087,42198.867272558164,42018.127521231574,41851.509159799025,41697.90827900129,41556.3304210919,41425.855344391144,41305.58949282507,41194.72401414828,41092.515698521165,40998.28671860593,40911.424629566696,40831.37164347177,40757.57945727159,40689.55331338721,40626.837937441815,40569.01470541804,40515.7016436579,40466.55342886284,40421.25522469935,40379.49448877799,40340.99362238551,40305.49694354299,40272.76785246585,40242.588831563815,40214.76144544096,40189.10634089568,40165.45945852322,40143.655494724786,40123.55086969332,40105.01342625445,40087.92029107569,40072.15787466641,40057.62187137773,40044.21725940271,40031.858300776206,40020.467211407624
I,426487.6412103892,426183.07402804476,425837.878072684,425456.64442677493,425041.5623799376,424593.29289320816,424111.5623504586,423595.42425747914,423043.5614954813,422454.31323510886,421825.833162857,421156.11572200176,420442.98023951065,419684.152444822,418877.2544469215,418019.7896174894,417109.17679111316,416142.73955403466,415117.6898232187,414031.1622788707,412880.3160111334,411662.1983700272,410373.7350536527,409011.7301081903,407572.93513924436,406054.2767903778,404452.63461045886,402764.80988776917,400987.52766656125,399117.45461917215,397151.54561779427,395086.986266037,392920.92404891003,390650.46258037945,388272.66172334674,385784.86966880306,383185.2062422747,380471.92486594024,377643.3414965793,374697.8346255733,371633.9345531994,368451.24782696477,365150.1044479224,361730.9826196979,358194.5035012687,354541.43933988665,350773.7424379123,346894.3194795191,342906.2496088713,337443.0661444209,331791.7325352827,325903.94057330635,319755.7040518534,313337.7039710337,306650.1444812119,299700.4117683611,292501.75791847287,285073.46418981976,277438.72587742464,269625.342079808,261664.48599558824,253589.69847582938,245437.65461895504,237246.3673435587,229054.16019522556,220900.25510655617,212823.05109746053,204858.7649950016,197042.08375929244,189405.2949967292,181976.6988269044,174781.01565762755,167839.79888556525,161170.19547782236,154784.93147378412,148693.39432796705,142901.3690487239,137410.97924143967,132221.17316749034,127328.48485462766,122727.12804832228,118409.362258551,114365.8953794064,110586.08318880445,107058.40232176226,103771.02442970863,100711.82609194695,97868.28621628169,95227.66577101412,92777.7150408737,90506.73582387262,88403.30000916582,86455.98529123486,84654.05638316968,82987.5588365171,81447.19466032556,80023.76478502183,78708.63174263008,77493.87595064139,76372.27875836879,75336.92952956469,74381.19676636018,73499.01728616882,72684.88484416546,71933.78084182805,71240.81182885128,70601.43782042107,70011.52229764823,69467.32534064326,68965.42451810761,68502.48147636131,68075.43360632283,67681.4865296517,67318.11166788108,66983.0188803092,66673.97945132665,66388.93441378674,66126.00132385611,65883.46651095606,65659.78507776276,65453.52614120903,65263.29823331424,65087.84055859069,64925.99420038248,64776.701719730234,64639.007155370855,64512.03926181031,64394.94038009619,64286.93556191507,64187.31149536832,64095.412114383595,64010.638598714664,63932.449373941534,63860.350410150604,63793.850449907506,63732.51248287127,63675.93392527581,63623.74219409761,63575.594707055774,63531.178882612025,63490.21213997064,63452.4358821268,63417.58894271361,63385.44409107042,63355.79216311478,63328.438692210824,63303.20390916943,63279.922742248134,63258.444817151154,63238.63445702939,63220.368504420345
J,798564.2904813616,798370.8778325503,798150.7165353389,797904.8697774127,797633.2262866041,797334.9118140311,797008.5604834445,796652.4245455028,796264.5047559328,795842.5511553759,795384.124506765,794886.5996112794,794347.1491024443,793762.7677612411,793130.261788008,792446.2364460813,791707.0966851682,790909.0318720668,790048.0028521698,789119.7529873274,788119.861766647,787043.6399124237,785886.1219764287,784642.0663399068,783305.9877845229,781872.2820540984,780335.0938316259,778688.273949508,776925.3799602994,775039.6811504344,773024.4057388664,770872.7189648917,768577.4999309507,766131.3361143542,763526.523451468,760755.3331535596,757810.4603684646,754684.5072104235,751369.9069719461,747858.9241238126,744143.7415785947,740217.4145790742,736073.6165592442,731706.0731208653,727108.5555746374,722274.8906619595,717200.2077701186,711880.789749628,706313.2186921346,698539.291410091,690326.9230808045,681580.3178267125,672239.0457013653,662263.7397783138,651628.5939550634,640318.796972342,628329.240432227,615665.9349700233,602343.4979573465,588387.3089652902,573832.6191674074,558723.4157421981,543114.9797981025,527071.304905168,510663.3783602385,493971.2202051103,477080.3104564793,460078.2917219471,443056.54589391185,426107.6650600663,409320.22506552265,392779.28643672157,376566.8880108406,360756.3851405629,345411.59777462063,330589.33862001006,316337.13759365695,302691.12730508175,289677.3525001161,277314.37592298014,265611.73997873015,254570.17849091924,244183.3108997452,234439.65787834718,225322.5880925633,216811.57012787645,208882.3845788072,201508.9970475739,194663.2499435087,188316.6624350583,182440.7879808118,177007.1080291157,171986.6508152421,167351.63675383225,163075.92541522707,159134.76666351588,155503.55052148938,152158.97657774304,149079.62990673236,146245.94482684913,143639.1427234579,141241.13608425175,139035.42207792815,137007.07180052265,135142.5266250296,133428.51271472173,131852.7316193729,130404.04290487396,129072.4450476356,127848.83246565009,126724.26899705616,125690.5913980171,124740.40110670775,123867.05695777916,123064.59042715422,122327.15133143454,121649.3495181813,121026.28968209239,120453.54799103782,119927.1720860599,119443.5123571913,118998.98792450732,118590.37767735877,118214.73780836121,117869.4005971863,117551.97441056192,117260.2933196035,116992.20012466887,116745.75793283441,116519.19378035508,116310.88569847037,116119.36271340419,115943.30484636512,115781.51491542603,115632.78647194259,115496.05526503806,115370.34610090527,115254.76019321023,115148.47516309172,115050.74503916167,114960.90025750487,114878.33088665828,114802.41188375982,114732.60582108783,114668.42058731584,114609.40009087467,114555.12425995272,114505.20904249573,114459.30640620684,114417.10433854672,114378.32107218429
