Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,310.9516718809394,358.96676416795225,399.54862351774767,436.19222736959455,471.12241347535473,505.76703913363554,541.081540387457,577.6943335588751,616.075070281681,656.5515776267208,699.3998994922083,744.8605452014006,793.1298645708249,844.4080516201682,898.8939465947366,956.7742889042922,1018.2430622751131,1083.4962665449405,1152.7214799855835,1226.111132680175,1303.9168796132433,1386.367040406352,1473.6605895909133,1565.9671566081888,1663.4541916135083,1766.3925023803668,1875.0399616532468,1989.601251892382,2110.228285597441,2237.01693354413,2370.179983400189,2510.014991018184,2656.7002818048227,2810.2895534098793,2970.711898334053,3137.91566673319,3312.1487449095216,3493.547202717449,3682.0427407929797,3877.362690553702,4079.066491740439,4287.0560992218225,4501.387501654511,4721.812607938209,4947.766877566248,5178.374479614094,5413.094727104235,5651.538702266661,5892.949520267157,6186.828850091644,6564.103574003132,6998.655925669216,7475.009074623813,7983.117478341935,8515.477260495463,9065.789029587304,9628.212108287296,10197.568372209182,10768.176287955877,11334.48318782492,11890.676639915187,12430.313243953578,12947.376283294061,13435.759279709295,13889.00653912487,14301.513914455118,14668.142498182724,14983.676682126497,15244.0390168743,15446.371410249601,15588.08800696653,15667.495919136738,15684.66957781902,15640.22395631592,15535.249534610259,15372.322689683486,15154.859861506127,14886.530964294201,14571.51492361783,14214.787509361044,13821.41920736045,13396.54759306553,12945.51765061673,12473.405990518675,11984.99912361391,11485.130841468788,10978.652235466217,10469.661216114506,9961.444213711824,9457.291422696002,8960.5364675448,8474.001041175907,7999.346571881764,7538.173103679954,7092.168397050551,6662.913959130341,6250.932542381286,5856.501768967371,5480.026215100788,5122.016296518359,4782.48313005148,4460.901675976121,4156.873234974976,3870.1425622229704,3600.499260929729,3347.2087884973002,3109.464611387563,2886.6037337568578,2678.100888592926,2483.4545202807944,2301.8133790180464,2132.3681209698434,1974.427906293769,1827.4178751283462,1690.8405163686948,1563.9934476283277,1446.1715459044128,1336.7634331417373,1235.2443603985075,1141.1762078463503,1054.126673432024,973.535657453807,898.9080277371489,829.8074759561687,765.8560400240461,706.7341040930205,652.1563522304247,601.7501492686165,555.1736825927755,512.1254370438402,472.33942505462755,435.5851866498341,401.66778944603476,370.4139261502815,341.5929546840682,314.99819601937344,290.44760761744203,267.77890335745883,246.84955353654865,227.53678486977662,209.73758049014754,193.3598107577813,178.2722081133256,164.3610461224444,151.5269492985085,139.6810408617876,128.7449427394509,118.65077556556652,109.34115868110194,100.76921013392338,92.8932130081873
B,171.39741421933746,209.06084371726274,242.0603984537924,272.9658058959762,303.39754025687364,334.39177021569236,366.6472516975724,400.63217895817166,436.70969159783124,475.1472337957974,516.1823748985274,560.0331793985448,606.8906719631968,656.9530358482119,710.4209193234851,767.4900942672276,828.3645001191983,893.2508035474523,962.3493851541123,1035.8670326520923,1114.06318113512,1197.1764268399634,1285.4192477740735,1378.9780037155892,1478.0358207396687,1582.8670581698716,1693.734815588843,1810.8503362407519,1934.3732645108698,2064.4066932408364,2201.161049624695,2344.927853062344,2495.878685150307,2654.0597401005225,2819.3918422859024,2991.8075575128637,3171.5312928182725,3358.674427851539,3553.1394416099374,3754.6199124385785,3962.6363324288004,4177.047395352486,4397.865727433585,4624.7941621057735,4857.212911149708,5094.184788673032,5335.110097595696,5579.542718041574,5826.664681871135,6125.804173448245,6507.753173414738,6946.374294937323,7426.129935808902,7936.890630179487,8471.057455107857,9022.235373394502,9584.495117574117,10152.58406630034,10720.771606186307,11283.483040676465,11834.91997901247,12368.695673834023,12878.884541778323,13359.511647733121,13804.296684416562,14207.832947873792,14565.200786412704,14871.432706974103,15122.695890981624,15316.360057125552,15450.069278116287,15522.341334015584,15533.403039760937,15483.999780513908,15375.332646929079,15210.022789258821,14991.486419538809,14723.377212280791,14409.829530754509,14055.72172906073,13666.014447751235,13245.73073214048,12800.087136088712,12334.019728412673,11852.181460530084,11359.274663364073,10860.021027749763,10358.402254361048,9857.61084617983,9360.847219473631,8871.357620839288,8391.891677196008,7924.068701240834,7469.45074636018,7029.688260724926,6606.330597060558,6199.893400740901,5810.65307461269,5439.011947840443,5085.477662825711,4750.069193072844,4432.278296623547,4131.721233836701,3848.156034375831,3581.3854182810214,3330.694814369768,3095.29732909722,2874.547853871247,2667.937414126964,2474.9803087708938,2294.8430107646,2126.732220423671,1969.9719980474044,1824.0012840714799,1688.3354809797843,1562.2847846643128,1445.1550792010892,1336.3453172473166,1235.340519235212,1141.7117733720006,1055.0353432087632,974.7580508200322,900.3908317169395,831.5032731847593,767.7231387216088,708.7363680384458,654.262887511891,603.9336929563347,557.4097674926255,514.392427016388,474.61855678636493,437.8606114244202,403.92661491553645,372.6460917330281,343.7897442697271,317.1517225977095,292.5509585012354,269.8262623317941,248.8363230081043,229.45970801611432,211.5948634090017,195.15107723053939,179.99719989953581,166.01937269193033,153.11827083320532,141.20520721347435,130.20213238748295,120.04163457460784,110.66693965885754,102.03191118887156,94.09552216853592
C,590.7107478473222,660.3054966117875,721.1773527339299,777.6691696824299,832.5276200806511,887.5027083193629,943.7569932082614,1002.0472334743805,1062.934595078478,1126.8046821896576,1193.9785455386566,1264.7317467659118,1339.2845015107073,1417.857777827637,1500.6653103116582,1587.9063699679355,1679.7850930191246,1776.4977657262887,1878.2166243978559,1985.1200435423063,2097.477417413703,2215.5085354582984,2339.3736946641875,2469.173699561312,2604.9986575075377,2747.1036985034366,2895.7087792667894,3050.9416373615877,3212.8387721771473,3381.34477762674,3556.5800753758717,3738.781505160298,3928.0051223583528,4124.118643066907,4326.801498107396,4535.772962859334,4751.17964009521,4973.004531161418,5200.955477659755,5434.465161447381,5672.749836449695,5915.515017022323,6162.659795972967,6413.711148613698,6667.812231149559,6923.729036124582,7180.683838702691,7438.126492494838,7695.078736785871,8011.803073173935,8424.89685714161,8901.418223501832,9421.510271426063,9972.15813542154,10543.731638737507,11128.34526264101,11718.95321113925,12309.571903820464,12893.912608910001,13466.083198029693,14020.139251116181,14549.67919583891,15048.947983178856,15512.265617232842,15933.760597402037,16308.539489079882,16632.265305152898,16900.625279660664,17110.462373477116,17259.79900840493,17346.951872361424,17371.088006544254,17332.954132541,17233.787755254983,17075.26792385744,16860.33999821811,16592.641461539366,16276.049518854397,15914.882555595894,15514.034235963512,15078.463586805434,14613.224165697648,14123.549138054666,13614.267140841392,13089.93956424135,12555.22893646634,12014.859354230546,11472.746329998721,10932.019534389343,10395.855622842404,9867.508097114973,9349.73567804784,8844.156146373285,8352.350413812612,7876.004723864653,7416.715350895258,6975.0306829416695,6551.263325663604,6145.859584697152,5759.378187738655,5391.879588900437,5042.882156277917,4712.0316036729855,4399.119055858431,4103.980847275545,3825.914040820436,3564.135091523403,3318.0054346013517,3087.025817081986,2870.718367186342,2668.234039714642,2478.760083848832,2301.605190173119,2136.1969622831703,1982.0412555592886,1838.4201856985364,1704.604769074714,1579.9638630810564,1463.9570612756697,1356.1346933815291,1256.050275455806,1163.1112073656266,1076.7910580682064,996.626651799783,922.2175642381028,853.226122502421,789.3507322381628,730.1878447734802,675.3634355938702,624.5479815483917,577.4513608844235,533.8228532476626,493.4511396821261,456.1483945884094,421.6576742124807,389.74587712474903,360.207999340669,332.8617397928433,307.54750033102255,284.12838572210535,262.49020365013837,242.53093331806832,224.09969360461255,207.0638646394827,191.3078341615593,176.72857171430778,163.23562864577886,150.75113810860827,139.20981506001698,128.5589562618105,118.7515828473338
D,2988.113577086688,3382.4499080976743,3721.2475155457387,4031.058916097844,4328.684773199607,4624.819090211957,4926.544515498763,5238.443236458483,5563.8856792284605,5905.153278938373,6264.123998172548,6642.391734457829,7041.198821367638,7461.794598740925,7905.390876351296,8373.090259592318,8866.023199423254,9385.293567376024,9931.89262757711,10506.826481061762,11111.56367976869,11747.330362728577,12415.059648487113,13115.391635105037,13848.913184662304,14617.04157451189,15421.029244658674,16261.661889457686,17139.262955950253,18053.687069744108,19005.693525769162,19996.649273837993,21026.991451620077,22096.188062871322,23202.73824427895,24345.34163868791,25524.915832850624,26741.5333951839,27993.83065309915,29279.00769300223,30593.128978282723,31934.79832926024,33303.639314239466,34697.30511992291,36111.41415907829,37539.58503687031,38977.81467797774,40423.26695172133,41870.81668256176,43652.650110861636,45971.98470039454,48649.32002244903,51577.07324112421,54685.17523856421,57921.98964857547,61245.28303672684,64617.22430874797,68005.56966706774,71376.09679489599,74696.42990277542,77933.52250053779,81051.40220619325,84017.24287046178,86798.19757004808,89359.90932618403,91673.06034461888,93711.06636152441,95447.09936402156,96860.54381626972,97937.25595394672,98664.55629882359,99034.4745015,99048.1582746298,98709.59500525836,98025.32420150952,97009.51060382968,95680.6621486857,94058.81470933536,92166.80285380369,90031.49500937064,87680.45247470567,85141.91730279516,82445.44967036076,79619.04833355083,76689.38661214203,73683.73195629602,70629.75662771397,67550.97828890561,64466.55234519317,61395.868126513626,58358.750124025326,55372.25704437683,52446.904309868536,49592.934291736696,46821.168025330735,44141.87895999039,41559.191478155655,39075.77097782671,36695.028144969176,34420.996512160615,32254.718441897778,30193.943773461553,28237.135491377296,26383.58798236394,24632.82846429145,22981.09753219236,21424.09633394756,19958.370575188143,18581.277860950566,17290.274651578653,16080.524397170057,14947.37404949364,13886.88907943715,12895.838456649395,11971.446890302575,11109.543464007536,10305.859832182514,9556.712991322378,8858.962937850585,8210.012668119187,7607.269844376648,7047.2206872381175,6526.743740159035,6043.0995750291,5593.927720802888,5177.246663499839,4791.289003569981,4433.64342622913,4102.069059009494,3794.5959282745207,3509.493766544655,3245.272012497347,3000.6798109670467,2774.607173811071,2565.506426504704,2371.9703409251565,2192.7639263909346,2026.7911941317675,1873.095157288613,1730.8578309136562,1599.400231970308,1478.1166071464236,1366.0914184858182,1262.5187341908652,1166.6975942413574,1078.0045500806625,995.8936646157234,919.8965122170569,849.622178718755,784.7572614184813,725.022643426965
E,262.76481072678166,304.22273972263827,341.4555673829983,376.99180395936935,412.4213907427933,448.76021092502725,486.69547877944245,526.6908992739211,569.1104059575778,614.2266578480458,662.2852973147669,713.5146138275861,768.1183912774717,826.3082657976827,888.2986453924009,954.3015326536549,1024.5378822761447,1099.2303665188142,1178.5935323274896,1262.8507616785205,1352.285185305873,1447.1555840264639,1547.6904477583855,1654.087975520909,1766.5431898993647,1885.3557176406289,2010.811181632414,2143.1377930797235,2282.5067255426693,2429.0274826573104,2582.9296804341375,2744.5318721381846,2914.022096553885,3091.451988152164,3276.7367986447784,3469.807468839889,3670.914472437971,3880.1854360295356,4097.522810114386,4322.603869101581,4554.920103962927,4794.331906538295,5040.865484681966,5294.2134947624545,5553.721453105258,5818.393370954396,6087.597844102638,6360.8685225537965,6637.33748795742,6973.014725922956,7402.9310255858,7897.602654770159,8439.570604000599,9017.529074802622,9623.065936990874,10249.153394859375,10889.306125861183,11537.803930258937,12188.383739001412,12834.934375220753,13471.05955746165,14089.667603399539,14684.122098458964,15247.670237852906,15773.158085771891,16254.332604507868,16685.418174781174,17060.52635135995,17374.977592792533,17625.39333366618,17808.667817691705,17922.648614577967,17967.1053326382,17942.39583858847,17849.396670065922,17690.633725696513,17469.58667935647,17190.035114971528,16856.348008018285,16473.845851420752,16048.000138641757,15584.3859179823,15088.850147448498,14567.040888283405,14024.326655847346,13466.144473478347,12897.971077797938,12324.520146236424,11749.635554455797,11177.170716265195,10611.035910805167,10054.590452318484,9509.90568738827,8978.979976470808,8463.91070790494,7966.676448191856,7488.050667074044,7028.515167130603,6588.692594537583,6169.322784048993,5770.562659772198,5391.931963741435,5033.089573148256,4693.856058853663,4374.098123614567,4073.0533975042117,3789.861337842286,3523.8259458782186,3274.409302005986,3041.0952917217614,2822.9369652982796,2619.0279504574996,2428.600423515608,2251.0221796984583,2085.749767126409,1931.981844640027,1788.904721304888,1655.8161039644563,1532.1168076071197,1417.3107553661844,1310.904923200981,1212.2404275042245,1120.7342005479184,1035.8744031321976,957.2198440493811,884.3999800839684,817.0847168983294,754.8293979408063,697.2236866391293,643.9068532352458,594.5619271740868,548.9156971035659,506.7387108745795,467.82751254504035,431.9021891649372,398.7103280662934,368.0303950384456,339.66563414543987,313.4440677260309,289.2184963936833,266.86649903657064,246.278878910255,227.29343628073448,209.76877623096715,193.5818706942885,178.62313921988752,164.79644897280718,152.01911473394392,140.22189890004796,129.34901148372268,119.35086536596057
F,554.7864276230675,645.2406916800694,722.3273884228001,792.4302129204444,859.5921499642433,926.3906809294482,994.5370186753177,1065.1427166404717,1139.0294265688406,1216.7580584356135,1298.7938724253884,1385.535266833474,1477.296737040453,1574.3963859120136,1677.1456214132293,1785.829170444558,1900.7397299223112,2022.167172588771,2150.3788053564203,2285.644562079681,2428.33898563931,2578.7843593201565,2737.239318451133,2903.8988504052263,3078.946085945179,3262.7501074969455,3455.646117115417,3657.862298877523,3869.520674250978,4090.6334440859896,4321.421192447047,4562.248952484648,4813.261110358015,5074.3719089706465,5345.265503172822,5625.66616768661,5915.82512324978,6215.791607488588,6525.263827614413,6843.588960423718,7169.833064288328,7503.668427919065,7845.019338498808,8193.31931611895,8547.493857961817,8905.969040254975,9267.749103774353,9632.1180279907,9997.785538503264,10445.349897018381,11024.324258541992,11691.277187322134,12420.200906303695,13194.124023145421,14000.462448250264,14828.8347848276,15669.85194793031,16515.424134721736,17356.911343481475,18186.086157712783,18994.522068733124,19773.03251123877,20513.21720895586,21206.674027930025,21844.620894575044,22419.58054198776,22924.797332432932,23353.47071759602,23700.420014435043,23962.154269378807,24135.572161139153,24218.797678362018,24212.31830744533,24117.348073067125,23935.748566373884,23671.3366770906,23329.026010286103,22914.0917724072,22432.49797370913,21891.210420176678,21297.332294448242,20658.101954754835,19981.057111265778,19273.294370571395,18541.536337987654,17792.627838127635,17033.487486450464,16269.947432072171,15506.711921025482,14748.530177667677,14000.247335725771,13265.996818853138,12548.259469473867,11849.4459621117,11172.109255370082,10518.662905337907,9889.989650868612,9286.616628279247,8709.259355580802,8158.791077909179,7635.351410916721,7138.280188844001,6667.099219080052,6221.5396290122735,5801.3952263296305,5405.666637198543,5033.233565114824,4683.18617619013,4354.816838624846,4047.447417276358,3759.8550455063246,3490.86914886463,3239.4958160393226,3004.914090329335,2786.416500743828,2582.9682661925704,2393.5185907965797,2217.1588942680105,2053.112359471227,1900.7339324228037,1759.3827976651537,1628.2059495427848,1506.446873004274,1393.440548729667,1288.6127164018435,1191.4798747065188,1101.6106006611462,1018.4261477370543,941.3911434032365,870.0343058150872,803.9410036509958,742.7532561123472,686.1697329235232,633.9228336328737,585.6458383353099,541.0069484322152,499.7145780893891,461.5095347512373,426.16501914077264,393.48662525961447,363.3123403879886,335.497494632408,309.82799487915815,286.1163523423568,264.1992279537419,243.93106769980028,225.18410262176818,207.84834881563037,191.83160743212122,177.05946467672297,163.46566362824362
G,130.27205563936016,154.9524286166939,176.8042932615143,197.4604337449758,217.95451922204262,238.95266813993254,260.9098765255579,284.1375182058996,308.8828047753121,335.33459686862477,363.66516402438685,394.0368106330079,426.59706960676203,461.5007908468112,498.90743845856133,538.975828877166,581.8731777311303,627.7726378282642,676.8482523979993,729.2813589523234,785.2869471459443,845.0737983454532,908.8415815259058,976.7808532708232,1049.085543867984,1126.0062844732738,1207.7940050247669,1294.6761590765773,1386.8568387355535,1484.513116452112,1587.8908265055002,1697.2911532804922,1812.9500663666806,1935.0349992463227,2063.644853440216,2198.887547780075,2341.0565546082726,2490.3823518929735,2646.96699034754,2810.784093430505,2981.6978357791286,3159.785038275847,3345.233067190394,3538.01759016979,3737.892134488593,3944.391567695008,4157.268263031826,4376.362418542624,4601.242216983252,4873.698507994346,5220.855119113479,5622.108621499738,6065.748831224537,6544.540829418983,7053.25821622203,7587.55987603113,8143.34860381654,8716.918188531468,9303.927741135876,9899.91893818947,10499.932984736186,11098.152179614746,11688.820533334436,12265.749181889976,12822.049686853716,13351.281185507938,13847.09561880719,14302.69656181005,14712.109298140163,15070.35503992218,15372.47369260556,15614.23940759565,15793.305364498761,15907.84399477369,15956.470759750548,15939.664107926475,15859.085884311166,15716.737051836268,15515.34946654466,15259.167392367253,14952.784716424972,14600.938812003918,14208.817872288695,13782.035116841003,13326.053373987213,12846.35711933751,12348.460098174957,11837.53490320497,11318.006335935732,10794.247731576002,10270.655885204027,9751.145003917098,9238.39512172479,8734.957740211892,8243.45167617722,7766.353284949885,7304.896774828362,6859.965119676484,6432.561364536429,6023.785976470468,5634.101542288153,5263.256155748134,4911.123971810313,4577.734949742839,4263.150527064463,3966.728176847376,3687.6969960361766,3425.4534886598067,3179.5550300858754,2949.5704441791013,2734.581075571493,2533.701691005647,2346.1919135318685,2171.4530588792873,2008.9764647529685,1857.9613282347111,1717.5870076600402,1587.1506611482714,1466.0581474722576,1353.824026058385,1249.9616299356037,1153.7988566311622,1064.7441009441532,982.2807001979565,905.9662939182664,835.4328238330874,770.3536782782445,710.2762977485422,654.7846944342843,603.5148115412193,556.1480995493434,512.4115162129012,472.0775265603856,434.94510990771045,400.7313199233983,369.18287433429543,340.07837682401373,313.22171280982286,288.4420494426518,265.59383560708727,244.55680192137498,225.22390320145513,207.4331856047144,191.04514999212702,175.93886914272045,162.00677182070515,149.1546427754748,137.30162274160563,126.3802084388573,116.33625257217182,107.12182609497711
H,132.14051757288482,158.66694545689768,182.2415401861385,204.54428393422458,226.6302469825284,249.17061249021873,272.61538886269886,297.2635666650993,323.34546777709045,351.0287190356599,380.46115393509695,411.7774064879197,445.09415161468496,480.5318354245844,518.2113668464402,558.250380187573,600.7709716760161,645.8951302873868,693.7384242263852,744.4205625050294,798.0980255355115,854.9105358415572,914.9772661792731,978.3968395371509,1045.2647776506094,1115.7417299933204,1189.9780221127487,1268.0870552613474,1350.145566453616,1436.191259644517,1526.3360225018241,1620.7455573076243,1719.50499315751,1822.61531342645,1929.9933714002336,2041.5672008827182,2157.459958946675,2277.7201228924764,2402.261509629624,2530.8632756767374,2663.1946353557896,2799.1503064531175,2938.724387626,3081.716030838092,3227.7218178269577,3376.1391105787384,3526.586039356899,3678.78438844871,3832.2240686187693,4018.7313486784387,4258.060722256456,4533.266416636922,4834.258944172415,5154.47151590253,5489.011872789478,5833.803053377109,6185.105646857569,6539.64631312179,6893.876747132682,7244.370045429289,7587.574169448243,7919.579627720119,8236.77076756281,8535.50010406889,8811.926404500897,9062.742918481294,9284.93295050561,9475.43631936081,9631.881392507592,9752.626490588393,9836.184125894037,9881.594135370111,9888.947046159055,9858.645695957312,9791.366697520245,9688.669952875081,9552.613159575389,9385.400942051761,9189.540434705828,8968.021558287524,8723.894547241576,8460.252832196893,8180.320593145202,7887.173561283127,7583.71985092647,7272.901881672298,6957.67904292345,6640.568099738825,6323.5989755730425,6008.808621027734,5698.266072751806,5393.73454142444,5096.269087738635,4806.888825436674,4526.670185371204,4256.627220872611,3997.1187844918572,3748.3500006251334,3510.6060623525095,3284.2392051576853,3069.2887235083595,2865.4539837314205,2672.512914233253,2490.3335383939575,2318.811543353183,2157.5075044227897,2005.933097138063,1863.690370032611,1730.468164901882,1605.9690702456608,1489.6683036127429,1381.0653889848884,1279.7350341661568,1185.3255386477967,1097.5338211199567,1015.9217435276577,940.0468079387863,869.5264279009986,804.0334267006441,743.2960373627636,687.0450507985905,634.9254228092387,586.623205970925,541.8624012648853,500.40464883068717,462.0492279662286,426.61720342378123,393.8705850671467,363.5903767114028,335.5838096260674,309.68123924203445,285.7361451515733,263.62513110832913,243.23867202326295,224.4281039929239,207.0597671373106,191.01619539764852,176.19290816729622,162.49841029174556,149.85419206862156,138.19472924768243,127.46151728259841,117.5691084223539,108.44323217696811,100.01916232266129,92.2391552503318,85.05244996555632,78.41526808858934,72.29081385436365,66.64927411248983,61.46414282875738
I,270.951071030506,317.22189925823534,357.37028411196343,394.4896870280261,430.5235825257182,466.7016645633598,503.83634521612066,542.4528346663676,582.9405767015547,625.566198342983,670.5530986080578,718.0945483059118,768.3456287887307,821.463901036017,877.603766021832,936.9093653702255,999.5294759686295,1065.6099052030816,1135.2829859801782,1208.6852509989612,1286.0124038960819,1367.4306559407096,1453.070427808564,1543.0263495819158,1637.3878382539067,1736.3509434257548,1840.0921627070807,1948.7309754893129,2062.330431405369,2180.896166550231,2304.5498566949213,2433.492251133467,2567.8084875489867,2707.463100380569,2852.300052503172,3002.18932536401,3157.2855453142647,3317.638310413693,3483.114679234167,3653.399170859643,3828.030948851615,4006.8742503948984,4189.929507369914,4376.940115320492,4567.38334977152,4760.474903647208,4955.737254041045,5152.840963625698,5351.152542303191,5594.142451708847,5908.672537967708,6271.575677010903,6669.077338069503,7092.264077762491,7534.5690078272055,7990.591456514256,8455.439791258967,8924.890994304726,9394.381210270047,9859.523793395723,10315.765908432733,10758.074033027942,11181.780930086668,11582.145886465347,11954.139505691224,12293.389676945206,12595.859756936665,12857.41476892226,13074.779073456035,13245.596671136229,13367.686721856247,13439.53731423164,13461.005671231109,13432.359320805564,13354.228373501166,13228.426194488113,13057.451194960104,12844.018662029055,12591.271877015879,12303.047428732203,11983.297764109906,11636.058156859892,11265.569887408892,10875.936516069698,10471.065389327765,10054.92220417962,9631.509957078826,9204.279647704021,8776.049122545577,8349.648524530621,7927.955185768626,7513.445509893392,7107.649319489496,6712.044933804649,6328.186296670214,5957.541813531614,5600.689696520658,5257.99275745392,4929.918752521746,4617.022864062185,4319.42822167883,4036.78489329645,3768.8459233687163,3515.4841454882926,3276.6063232589922,3051.6512422637575,2839.9840880766706,2641.0918766994323,2454.578660243263,2280.0641725808405,2116.8470548116807,1964.255602754571,1821.7207918323622,1688.7741001095887,1565.0126347624919,1449.8411299047186,1342.6547487456724,1242.9313313473524,1150.22523351919,1064.167326818043,984.3905238493174,910.4040300940396,841.7733459499146,778.1169109388003,719.1056717633173,664.463082306848,613.9426251351022,567.2124184255084,523.9660794070552,483.93415028655886,446.879747202616,412.59856022560314,380.918853357677,351.68824288102843,324.69743830494565,299.7576370427289,276.7030500655311,255.38636168762326,235.67872956639485,217.46978470235365,200.66763143912584,185.19024713384897,170.91619344308918,157.73955918306254,145.56813371929496,134.3197445305841,123.92225720899958,114.31357545988277,105.44164110184688,97.26443406677664,89.74458211365695
J,136.3803054914665,159.9445797470734,182.32296286723894,204.70352161083594,227.84416113226777,252.2465286832325,278.27139379772103,306.1865553972752,336.2239456575216,368.5824906315548,403.4573609890131,441.0439962095961,481.53493692037034,525.1343944857944,572.0559296136,622.520981386403,676.7641206623466,735.0295655302072,797.5663056688028,864.6380824426715,936.5497442616938,1013.6042677681412,1096.0997429814465,1184.329373298206,1278.595643118259,1379.2702505382263,1486.7311174569413,1601.336393302416,1723.4245984736892,1853.3101110401333,1991.3917926556692,2138.1390702285403,2293.953961497908,2459.1672470541234,2634.03847086931,2818.842218632273,3014.0776736779944,3220.1788653402787,3437.434032423199,3665.9856232010684,3905.850460663935,4157.302845754024,4420.763181074841,4696.3949589035465,4984.090771704439,5283.476580209352,5594.446544077198,5916.9993310587215,6250.7898728278315,6655.325804514462,7170.200693145661,7767.586853036262,8432.302102775962,9155.505697321492,9931.164133930748,10754.463416939783,11620.88582813705,12526.390694762971,13465.908096287036,14434.048038796056,15424.47452675204,16429.327902784556,17440.53579353545,18448.9956773419,19444.105631853756,20415.505702269053,21352.475442092753,22243.022704432944,23075.94622591049,23841.169804045196,24528.10360372946,25126.894585739625,25630.586871172924,26032.782632925075,26327.508210940334,26512.076333103476,26586.011992676984,26549.353938251763,26403.49812704125,26153.314165092277,25804.60292221185,25363.46710568158,24837.095703730058,24234.668476774244,23565.43096937682,22838.609276730058,22063.5007183907,21249.78550128102,20406.208866268105,19541.344131508413,18663.776272880797,17781.475191323676,16900.459047913424,16026.426248516816,15165.149215535646,14322.131560379348,13500.651137292323,12703.237237468751,11932.596737500384,11191.577489121179,10481.779361313442,9803.339619253096,9156.59209640275,8542.141939184796,7960.620822348457,7411.202189040264,6892.742618262945,6404.411111232593,5945.677783377365,5516.0076126857475,5113.82004040799,4737.569014024389,4385.990952561449,4058.0985214681673,3753.0725821185306,3469.455580359075,3205.7237085851607,2960.588124179545,2732.976579230437,2522.0334205314875,2326.8865285254064,2146.253754761131,1979.0118877649365,1824.188565689231,1680.960930884117,1548.6556298973887,1426.678992575149,1314.1602408853012,1210.298536624075,1114.3982476318515,1025.855393203779,944.1576440897767,868.8843224945322,799.6661826954888,735.9555313500089,677.2634377540475,623.1655431878818,573.2881222161125,527.3080826876648,484.9529657357874,446.00094577805373,410.2555270846251,377.4027706237223,347.17420523860386,319.338790978786,293.69197061146957,270.0556696215421,248.27829621157545,228.2347413018275,209.82637853024082,192.96639643179225
