Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,301.5030980200597,340.00282967430064,373.8158876891629,405.3456609011963,436.13683670334035,467.14798988304085,499.0770434116648,532.322146635852,567.2535660076757,604.0843837010921,643.0014596373359,684.2095102748254,727.8318531545427,774.0021906108484,822.8748802140418,874.5708038200091,929.2203065066682,986.9700135784627,1047.942466538294,1112.165526879491,1179.7929978821403,1250.9880391387555,1325.9138102419936,1404.6725146437084,1487.1590164981508,1573.4646518239879,1663.7140120724164,1758.0300068887095,1856.5189310122437,1958.9466987887552,2065.1229075535502,2175.1186753942798,2289.010831273161,2406.876082243712,2528.4502424476723,2652.955794569897,2780.2521823430543,2910.2712265949976,3042.944748153235,3178.108210748457,3314.5875826715915,3451.5576809658605,3588.8069673487666,3726.1296213558185,3863.310701701961,3998.9762791583125,4131.979340252366,4262.039937057262,5857.849733725018,6080.030156162038,6355.479364675663,6657.330342623656,6969.2352969435315,7280.436520349491,7582.663865738546,7869.05688284973,8132.542996451157,8368.418195666869,8571.218172085793,8736.944671600053,8862.809478389732,8945.219821712466,8982.759636071338,8975.269905171857,8921.98472112061,8824.205348121546,8684.84283269881,8506.06922656238,8291.06336468835,8044.800030025425,7771.747202603106,7475.847059359896,7162.34615284927,6836.459934220772,6502.094039898785,6163.362678309964,5824.344755537884,5488.545025971613,5158.573835867006,4836.859378612317,4525.375474664274,4225.6567752763585,3939.034789481843,3666.2784667739934,3407.508579037906,3162.842033524351,2932.582304386128,2716.809057492492,2514.8423757941346,2325.942971919535,2149.7092576372333,1986.040737529255,1834.1099385172624,1693.0031487110105,1561.9466883454902,1440.782041215672,1328.8587876521333,1225.3787471589244,1129.5629498429585,1041.0545141937532,959.5274292386983,884.3663023267841,814.9714437666509,750.816194462013,691.7513577906345,637.3943527951523,587.3199029760608,541.1102566961774,498.4291462992766,459.1776387006397,423.0649767070853,389.81332566041715,359.14741645702543,330.81972312536845,304.75991498137273,280.78959760299625,258.7283267366413,238.40374162987985,219.64348153030028,202.32962180223873,186.41655442517788,171.77077478235685,158.28952057795362,145.8704353569315,134.41116266426937,123.82580886899993,114.09695937911624,105.14006653014474,96.89366184178363,89.30068497248402,82.3040755807078,75.84677332490989,69.88110382580268,64.40166353670426,59.353514485053154,54.702740651842845,50.419803925325226,46.47516619375651,42.83928934538744,39.482635268474326,36.38137684768651,33.53611616098499,30.91289920391037,28.494180279873092,26.265687311884847,24.21314822296017,22.32229093612233,20.578843374379517,18.96853346075511,17.478983507105198,0.0
B,215.019499305585,248.90727467256477,279.38747923866356,308.4507172445682,337.37062761538937,366.9361774327939,397.7271390034848,430.07849206635785,464.30863104497803,500.6093993089818,539.1541842536037,580.1338642796052,623.6742717174786,669.9109412616061,718.9968068857913,771.0577264017597,826.2283361539303,884.6573756313829,946.4707401145226,1011.7094594116027,1080.5242532003963,1153.0740047208237,1229.5175972129396,1309.9572619373423,1394.2995165445432,1482.626669020091,1575.0506041737951,1671.681644214283,1772.6137799578846,1877.608577182084,1986.461866848826,2099.219214409024,2215.931655440565,2336.6501061504787,2461.0887389443074,2588.4467096904373,2718.548183388356,2851.2898172614105,2986.5682685326074,3124.1847401337845,3262.932299527043,3401.948581745599,3540.9899378365353,3679.8189192156096,3818.1890056372386,3954.7014351951175,4088.1901673752295,4218.359219130521,5799.155782664369,6019.770605466851,6292.371457241708,6590.298569619086,6897.330446293961,7202.805571271969,7498.569652319316,7777.896647764859,8033.898849690957,8262.059990252346,8457.152370076827,8615.419414473185,8734.300911425013,8810.47448126231,8842.737267343204,8831.099258773256,8774.980069518258,8675.771405679418,8536.395149468099,8359.043180552624,8146.847316125608,7904.63179056817,7636.722988392204,7346.927881713539,7040.278759242991,6721.771584995485,6395.153171941621,6064.364129397841,5733.3055428853695,5405.334960247227,5082.96806035222,4768.540932662297,4463.955529701349,4170.698026401165,3890.072415435398,3622.8346547271676,3369.1177724126314,3129.051230482032,2902.948382188292,2690.904904904284,2492.2777673482324,2306.3663433355364,2132.79460331541,1971.4781672306788,1821.6234132266036,1682.350698160562,1552.915629488039,1433.1706297302012,1322.4882214868364,1220.093026304667,1125.2281876637953,1037.5484383778996,956.7392382610864,882.1993756775794,813.3421580196721,749.6524743926286,690.9865639909497,636.9705174924056,587.1860971905242,541.2223664018702,498.7488446431412,459.6704414527369,423.70134195968143,390.5670309910364,359.9955084199472,331.742324454549,305.7397974513923,281.8125456430093,259.78163581969045,239.47608881006622,220.72492544276764,203.4116359009554,187.4928044926953,172.83612375260844,159.33928093608208,146.90036677193734,135.41747198900003,124.80524344201683,115.04777182906862,106.06137658841062,97.78463516164358,90.16051926871089,83.13200062954571,76.64205096409655,70.64314174328352,65.13100061532185,60.0511241214959,55.36947035311418,51.056385684195845,47.082216488761375,43.417309140824784,40.03201001440368,36.902495030092126,34.030260404325404,31.38149651198887,28.938485596630144,26.68681426952989,24.61206914196775,22.699836825233078,20.935703930598393,19.30525706935451,17.79610878001401,0.0
C,585.1159140706534,645.5308786097305,699.718756626381,750.9832620105683,801.4329084578234,852.362262952148,904.7042924658442,958.9765104114297,1015.6559602906701,1075.0011523207586,1137.2326792702852,1202.5889384319175,1271.195918468262,1343.1925813523044,1418.7306817780013,1497.9139072011349,1580.8628090209254,1667.7223796175972,1758.5726950997744,1853.3324576519374,1952.1341330044665,2055.125549639003,2162.4545360373545,2274.1529258029,2389.876950625955,2509.6454774475583,2633.5201213502596,2761.5589914592756,2893.7894175563515,3029.6823313681743,3168.805036118824,3311.1473550254113,3456.7079620765608,3605.485339392637,3756.9543313195013,3909.8436627090396,4063.8917991131793,4218.94578041016,4374.8526464778215,4531.323914105627,4686.679477213273,4839.809302267138,4990.485787353972,5138.489302243778,5283.588401270404,5424.063643380079,5558.568539906475,5686.920104284619,7750.806321899754,7972.743764062424,8256.994428549026,8569.643827215928,8890.31447257528,9205.883207620765,9506.74884153755,9785.318819259786,10034.052276252589,10248.46683448468,10423.351865201486,10555.312423778198,10642.34678365298,10681.600764922843,10672.548340199255,10615.930426854888,10511.786008749694,10362.154238181845,10170.599625948313,9939.830577164548,9673.4347538541,9376.629787504022,9054.070268552445,8709.831803950627,8349.129298117181,7977.10357891132,7597.654464714806,7214.84006637912,6832.604564102322,6454.364748263253,6082.784143110428,5720.254015719228,5368.687627604975,5029.613824857856,4704.519803798193,4394.206482654142,4098.78770172501,3818.383696649717,3553.450055514829,3304.15539575893,3069.8148847107345,2849.687950733948,2643.420448552574,2451.000891949523,2271.5815379129813,2104.215237446229,1948.108685439275,1803.1517568023526,1668.6713596113977,1543.8123058595138,1427.7400846725363,1320.0898386114172,1220.52991894671,1128.3829271523455,1042.9851778314933,963.7550925596144,890.5411569594932,822.9197263948938,760.4062680151433,702.5243420595932,648.8914089125644,599.4026739042745,553.724620533852,511.5314999138305,472.50043470597757,436.3412489219858,402.9759079272442,372.1967378192352,343.78694106849815,317.53893168122136,293.24512366361336,270.7641587682711,250.04545039645802,230.92765899547544,213.28383177058055,196.9874994722961,181.9121928511643,167.951990230811,155.08856223969914,143.21887914266932,132.26524103924535,122.155307753191,112.81673910827848,104.177194928258,96.176427776681,88.81036133720087,82.01083064554982,75.73386894870461,69.94099771222841,64.59373840168716,59.653612482634784,55.0821414206373,50.84849908291419,46.955992458523184,43.361569433492306,40.041819857925304,36.977586339430275,34.14971148560669,31.53903790405981,29.126408202389115,26.892664988206008,24.82156213006722,0.0
D,3227.0569646512677,3591.5012697608145,3914.0123068993403,4215.942136116244,4510.929948332033,4807.347942422,5111.225831483257,5425.890033269272,5754.409076115951,6098.421008630008,6459.31544701368,6838.61761968937,7237.098243626677,7655.609611687789,8095.144783207679,8556.36408707363,9040.005241391096,9546.949212033805,10077.774207457815,10632.140353941813,11210.876317590935,11814.8967402759,12445.116263867883,13101.82821868707,13783.281421356354,14489.67743718237,15221.477364742037,15979.123999449781,16762.893648136327,17569.96776933512,18398.041722060658,19247.1738094354,20117.472302182625,21009.044397636928,21919.056206503185,22840.447974335235,23771.80915679028,24712.342370141116,25661.250230657275,26616.961754204254,27569.949845657306,28513.86353831103,29447.348094849996,30369.093291995523,31277.72053404351,32163.226329014924,33017.668395175155,33839.77527177026,46210.92305280923,47639.50248170839,49454.32018455147,51453.02717975855,53513.88154844602,55558.29876423639,57528.166055415684,59376.97223488541,61057.85088998644,62541.88130746053,63795.258886713775,64794.63248505629,65524.84180313496,65965.16564437679,66108.91734688621,65957.17742976517,65506.62047355573,64766.53884535994,63755.997925243966,62488.959582555486,60985.3541153128,59276.06161199272,57388.73020081901,55347.758377707534,53185.72795842553,50935.074254820065,48620.529996582234,46268.38346777693,43904.824397033786,41552.669120733604,39229.77046324133,36952.747014660636,34735.36659785773,32588.741206946106,30523.305385240074,28545.417212757922,26657.069249050448,24860.241248780654,23158.45894520388,21553.596774043963,20042.00244691104,18619.60510073551,17284.628356815843,16037.40166356597,14872.850366632916,13785.183196547336,12769.57179704371,11825.516888779872,10948.870193761779,10134.222831612153,9376.295101171434,8672.839514549149,8021.823759052078,7418.900242787262,6859.796301185579,6340.775288103989,5860.925353594397,5417.53138077567,5007.443593196258,4627.563978927867,4275.4143382967895,3950.3611508232984,3650.24063521341,3372.9212258547795,3116.290084377632,2878.451548869378,2658.9272869417864,2456.371289152858,2269.358972600208,2096.5260903169096,1936.508395336049,1788.3845730528037,1651.8472198288823,1525.8373534552434,1409.517951608133,1302.0551992839078,1202.6152814788911,1110.5021757653847,1025.6124082551173,947.2714073301137,874.9653866480388,808.2161390245468,746.545457275334,689.4751342160058,636.6083255564863,587.9299465662568,542.9925254199006,501.5044855704738,463.2108197267213,427.8565205973156,395.18658089105315,364.94599331663767,336.9314558268495,311.172987763493,287.38689320968376,265.417380455037,245.13712395948062,226.41879818288203,209.13507758516585,193.15863662617994,178.36214976585916,164.63846967616803,0.0
E,326.940478947971,368.5008801675459,406.4682714091441,443.0735098324045,479.7409824195099,517.3518995457915,556.554539713151,597.724542870163,641.2200354510801,687.2592425430703,736.0406578561825,787.7815197224444,842.6288812226983,900.741243559059,962.2925475026209,1027.428826645273,1096.3089407775574,1169.108870216252,1245.9707017089615,1326.9326070316952,1412.1735388657823,1501.882709028803,1596.249329338304,1695.390389318372,1799.1775984978308,1907.7091664567756,2021.1190517859632,2139.5391803420544,2263.081322521874,2391.4517494505026,2524.4040966504795,2661.9987066115345,2804.302603495173,2951.382666240158,3102.898798011495,3257.895301265417,3416.175038546521,3577.627498545556,3742.142169952647,3909.493807237462,4078.2536449009463,4247.411622704664,4416.692994560997,4585.83000475557,4754.544086021715,4921.183942716592,5084.374754739186,5243.7743174363595,7206.618710501203,7479.60074867533,7817.897944255037,8188.822520580956,8572.525440797577,8955.999955582185,9329.304097551447,9684.228324713371,10012.31260177932,10307.959254603493,10564.646889187032,10777.573376143217,10943.347163948913,11057.587195690463,11118.44135002813,11125.510984127659,11077.648737813546,10976.118789259912,10824.075245762073,10623.798898900643,10378.773259066324,10094.644534201143,9776.489920884898,9428.807209627656,9057.737980747936,8669.424939623075,8268.511007738964,7859.961626967325,7448.780716548459,7039.304710845715,6634.828946285164,6238.48688163278,5852.898038512196,5480.142073265504,5122.041569376646,4779.755557131225,4453.6588883195445,4144.115472869675,3851.655502549006,3576.552347457662,3318.1207952205573,3075.5940715807237,2848.5940703045,2637.103513370519,2440.181885145379,2256.7644346808115,2085.955552736787,1927.6162655591468,1780.9817812787442,1645.078131819377,1518.9543801453028,1402.1907883217018,1294.4069552628207,1194.8331203096946,1102.7151339454529,1017.3923873736716,938.6936697922093,866.1401421129367,799.1858129613968,737.2939682081355,680.0346827436013,627.2932937737538,578.6966910991284,533.8819153903627,492.4892879790829,454.19609332254333,418.9189119115073,386.4281502921755,356.4849259485766,328.8608164951179,303.3273995462078,279.73034517088536,258.0164904870626,238.00910080611322,219.57024562204506,202.5625365910834,186.8485853694755,172.31371823085192,158.9398429432398,146.61518234485345,135.2562534582085,124.78551169942199,115.12541248461491,106.19841122990823,97.94013658752519,90.34719155569243,83.34627794702942,76.89072735904301,70.93986583753065,65.45301942828132,60.38951417708432,55.70867612973555,51.3780238416993,47.40139296309701,43.732914967826844,40.34806044517964,37.22687191789359,34.34939190871515,31.69566294037176,29.245727535613128,26.979628217171935,24.88041688382883,0.0
F,624.855179061389,705.639040213059,776.6283024511346,842.767789308455,907.2212933331131,971.9351778827089,1038.3141802421978,1107.1371766216096,1179.1239874948642,1254.6628457094616,1334.0845703210598,1417.7537356722974,1505.8584751794872,1598.6056562056478,1696.2409729390356,1798.9313518182726,1906.8583736247188,2020.2353143017056,2139.2173732204833,2263.7589851143357,2394.062892243804,2530.350377597805,2672.8427241654413,2821.6289881478738,2976.3572041949183,3137.0884878831066,3303.9423816504436,3477.0345943509337,3656.444535956767,3841.5661170880994,4031.8974126511444,4227.457232766447,4428.275474490714,4634.381796103772,4845.146356127022,5058.977397235759,5275.542456925012,5494.648399334083,5716.102088601643,5939.534589705713,6162.753868249257,6384.272883553134,6603.748951081508,6820.850148525459,7035.228740350776,7244.539456115781,7446.901843022374,7641.976598517653,10448.23338307515,10783.942921074917,11207.618254687475,11672.906496219835,12151.844893524614,12626.305181735135,13082.794332162735,13510.454727788667,13898.33671045125,14239.626039354922,14526.39149719809,14753.16805429915,14916.433420713056,15011.404580075176,15036.637715542636,14992.548777896347,14878.54797510351,14697.04460550158,14452.764830576387,14149.23020260319,13791.356463662027,13386.61598677435,12941.692457471581,12462.459193659735,11956.653142859865,11431.949914636916,10894.153585211458,10349.381686996,9803.682272791459,9262.292712933746,8729.242179685767,8208.250495702669,7702.356651637084,7213.979081404801,6745.356811359088,6297.795698977741,5871.596363147052,5467.058446647987,5084.850844326962,4725.264485758967,4387.349348140123,4070.0635595370745,3772.902390685992,3495.847249144407,3237.6715987235066,2996.9971035153903,2772.6674061636777,2564.5151225317777,2371.5568093796883,2192.541184839932,2026.2469663915922,1872.138840870756,1729.730891077355,1598.0330246889907,1476.0752242887568,1363.0077551764432,1258.6105122464621,1162.2659102120708,1073.2683902045742,990.9242821549401,914.6773263179927,844.3772480392956,779.539919353227,719.6933594488099,664.3697989151933,613.1491769595082,565.9205544259484,522.383993077012,482.22691543849,445.15021590252854,410.8547888612772,379.13765781804307,349.92726269986485,322.9915304897196,298.1485734769869,275.2172068115233,254.0162456432301,234.39415929413627,216.3255915116439,199.6629232212155,184.29539081579802,170.11997920557215,157.03367330070427,144.93345801136783,133.73364692416396,123.42883539269678,113.92173243260947,105.15001353713758,97.05923517364387,89.59495380947773,82.70272591200073,76.32810794857525,70.42752919265384,65.00571024776548,60.0014598876205,55.38179878951338,51.11980824058509,47.188569528010134,43.561163938919066,40.210672760473784,37.11017727982305,34.23681291362017,0.0
G,163.792968645372,188.20738283347788,210.51376851508877,232.07670199398277,253.7733521197539,276.1533821822122,299.627454259132,324.44284594594626,350.8386572814777,378.9715312441735,408.98813499343316,441.0501250817978,475.2790079481566,511.804775280355,550.7727823275376,592.3151945035929,636.572789152991,683.6969935311317,733.8306172394848,787.0644161009559,843.5690942763777,903.5212555664561,967.0975037718558,1034.4432841834546,1105.5894370162212,1180.6769243893505,1259.8754996773291,1343.3542212880793,1431.2747016175513,1523.5837995691675,1620.2466130946723,1721.4044565821216,1827.20277273265,1937.7869270737028,2053.0738952952124,2172.612701769412,2296.377713619452,2424.3982746224688,2556.703728555329,2693.252215530111,2833.2393415720026,2976.08062472859,3121.6402641508766,3269.7869331811507,3420.381888429497,3572.336990188594,3724.6986769161504,3877.1840175524003,5381.430733056446,5646.722820046301,5970.654706071005,6328.425891376164,6704.99584370423,7090.464963706672,7476.898679298695,7857.414668230083,8224.475972999538,8572.49945679018,8894.773252961966,9185.60304102019,9440.28911253406,9652.914947069268,9819.604491511078,9937.756919596457,10003.899061793265,10016.939128779457,9977.786873458323,9886.57179488283,9744.891419180247,9557.03735301709,9326.908402328056,9058.030087483869,8756.373258495782,8428.141424907282,8078.011477675033,7711.402269356981,7334.258069272925,6951.769999635646,6567.801398384823,6186.460517354124,5811.465414619333,5445.773898534873,5091.654603036103,4750.985934155633,4424.857251639567,4114.301289864467,3820.001099388618,3542.5538950877967,3281.5701508082198,3036.5283668786433,2807.175689552135,2593.5649839041607,2394.8277298877815,2209.9257884537487,2037.9821121127206,1878.8635027154658,1731.7996670717066,1595.7762483990377,1469.801435503185,1353.44103635335,1246.3050815624615,1147.5810545476877,1056.4702832363823,972.2749685645833,894.8266370707527,823.6239819024493,758.0907868226249,697.6607625509616,641.8836865502777,590.6520979573208,543.576979156941,500.2799223037315,460.38608078337234,423.5605635895355,389.7270097133977,358.6503656504784,330.08521732585825,303.79745059371055,279.5529513082163,257.19658327037587,236.68068960983427,217.82528085912395,200.49165235839928,184.5416774645441,169.8372295344771,156.26391022160564,143.80794570515837,132.35723980775686,121.82927806914878,112.14775559343202,103.23636748469698,95.01880884704477,87.43218076482795,80.47528121139327,74.07548783127505,68.18760944813488,62.77257734391326,57.791322800552344,53.20477709999784,48.97387152418791,45.06760638625942,41.49027875186314,38.197049370565495,35.16472688477593,32.37466205974087,29.80820566068821,27.446708452856996,25.27152120148121,23.263994671790456,21.408213394477205,0.0
H,158.62580668626578,181.8900565729764,203.0261909535438,223.30939666606554,243.55211362761156,264.2545112388861,285.7820718086671,308.3430186372773,332.13453204535386,357.27262769533337,383.8612934262645,412.01441129899996,441.80473453437014,473.3111052448051,506.6204450536507,541.8027344424167,578.9347104912407,618.1025407256009,659.3720756657225,702.7501320461839,748.3219788348104,796.1785965974593,846.4109659000422,899.0685679181895,954.061682052895,1011.4297668707702,1071.230972179353,1133.522252081643,1198.3490883419638,1265.532538791339,1334.9223267861735,1406.537647002497,1480.4013523292497,1556.5362165787765,1634.7434501414427,1714.4918829474127,1795.6678171646843,1878.20530042963,1962.038380378358,2047.0400544579688,2132.441694604711,2217.7054756657635,2302.6926139208535,2387.268319980128,2471.292106481602,2553.9012831348527,2634.387721922899,2712.593440753573,3721.397626150508,3854.7450920739757,4020.787474233479,4202.664257843547,4390.15790994845,4576.592869862482,4756.91294736909,4926.98188549528,5082.578009982634,5220.9751608941715,5339.002687131276,5434.398068935485,5505.632990882575,5550.689904011686,5568.843563227464,5560.10445291784,5524.097725764392,5461.648682224293,5374.51897166697,5264.007142645931,5131.985095390666,4981.376041127019,4814.795998744253,4634.5386246079,4443.679544370782,4245.27947650687,4041.627648086027,3835.1517131638648,3628.2777379968284,3423.095445972458,3221.1691346844905,3023.9744336568074,2832.727224194939,2648.3792880197625,2471.758581732578,2303.367358080523,2143.3231599241035,1991.7394016113522,1848.8247550174053,1714.6624291533603,1588.871912391393,1471.0344185549145,1360.9284997961397,1258.5146194134438,1163.3061529841907,1074.7591772532692,992.4140835753793,916.1860660551702,845.686515896937,780.4294452528542,719.9404041245654,664.0058077779134,612.4317806189241,564.838892696984,520.8562635176021,480.1586653189331,442.65853544325216,408.12015520166455,376.277687141276,346.8698973956099,319.68720071551706,294.67161224036465,271.64160682469964,250.42197414090543,230.83910747266063,212.73715190857718,196.07450199270247,180.73975132659922,166.61836143253507,153.60088079773084,141.57785790940426,130.47507670074725,120.26585156608257,110.86547867677703,102.20831562712232,94.22897991523675,86.86208903924029,80.05298609492061,73.79218620018351,68.02614388438421,62.71537594538577,57.82323202377721,53.31306176013883,49.1482147950583,45.298204163488805,41.760735921357,38.50086639248618,35.49667884252418,32.72909107714582,30.179020902028277,27.82738612284642,25.6551045452766,23.646882372469207,21.803963798434623,20.104625031474185,18.53744343886101,17.09313517875006,15.76241640930153,14.536003288672696,13.404611975020934,12.358958626506627,11.391089368577859,0.0
I,304.56718234445464,345.1959553607793,381.23364590908386,415.08204683729684,448.2694867294648,481.7305427496017,516.1380929794154,551.8627619978631,589.2482603724603,628.480072251836,669.7174408552181,713.1354824910943,758.8277946885873,806.8979979004611,857.4648294321929,910.6128263762445,966.4372370784693,1025.049730815968,1086.5275443480532,1150.8462677373782,1218.1176411061253,1288.4633163744238,1362.0049454624443,1438.7949689459517,1518.658348866556,1601.6421799189045,1687.824722689732,1777.2822212079034,1870.0730473891113,1965.9090013778305,2064.5593517573147,2166.0622171269347,2270.461468530576,2377.800857032678,2487.7920545438087,2599.6634265283465,2713.2813763344675,2828.5833693608856,2945.5068710060004,3063.900072373901,3182.686726234641,3301.143379042419,3419.1218282244135,3536.4791184291753,3653.0641613820826,3767.6969019743433,3879.4229583932956,3988.0698706477237,5463.183464450487,5651.333609138153,5887.791961976343,6148.236521452864,6418.000080819774,6687.559489821799,6949.732712850781,7198.6538498882655,7428.293728653086,7634.738312395119,7813.383797616649,7960.856084219737,8074.787519758893,8152.043856874367,8191.287275396297,8192.207148333151,8153.905088669364,8077.204009095662,7964.286102458908,7816.681235709144,7636.788762563228,7428.596169824836,7195.6831692768765,6941.216772062241,6669.603407742918,6385.26400403824,6091.5371458170985,5792.025279243124,5490.38980728423,5189.806073949313,4892.688312862681,4601.356806305401,4317.765789771268,4043.4668791446193,3779.8121906019496,3527.6808670421688,3287.3778920536274,3059.198337761682,2843.539875665269,2640.62044526757,2449.9507301404096,2270.979217001088,2103.4358147067946,1947.3147179309685,1801.928908065177,1666.4975466525868,1540.364176191532,1423.4298753037233,1315.1330423917643,1214.7557919886767,1121.5971922726012,1035.3492288041002,955.7327632045112,882.1794801913707,814.1324420033698,751.1040023374003,692.9690129767746,639.3740084302002,589.9155227728372,544.1969570049796,501.90082253564475,462.94304174630287,427.04787003847525,393.94707667113494,363.3748617706064,335.09278757187536,309.03942898256355,285.0450375399046,262.9330899306479,242.53481290003242,223.68143319329727,206.25893655374298,190.2279078947809,175.45767472355834,161.84635820818806,149.29248065226267,137.69456435938017,126.96789356054474,117.09888171411339,108.00481818114258,99.62406654674041,91.89938098472231,84.77351566891014,78.18922477313262,72.09896379093483,66.49996024310835,61.33796703623328,56.57855759546288,52.19173117819536,48.147487041826885,44.41582444375898,40.966742641388535,37.77625784382062,34.846939413204495,32.144851643181624,29.65192795565603,27.353470903952445,25.234783041388773,23.28116692129318,21.47792509698073,19.810360121780167,18.265952609026954,0.0
J,193.41264881122038,220.16129721145444,245.84675792608493,271.6434908085846,298.31447257292837,326.3513305867963,356.13593794192514,387.919789569606,421.9536005570727,458.426648610735,497.524895485564,539.4505088353042,584.3813412028838,632.5059732332895,684.0253419266695,739.1397609131342,798.0648131015625,861.0290198968299,928.2498648424257,999.8912206805576,1076.2218542232074,1157.5179359952404,1244.0556365216883,1336.0785553837918,1433.7057304245668,1537.1882224725382,1646.8198821178346,1762.8939892085345,1885.6988098650747,2015.2754115678604,2151.686773974946,2295.2190339408417,2446.163816596654,2604.8126628860346,2771.1902979082824,2944.8727850950377,3125.9531580412204,3314.6002384773446,3510.9828481334707,3715.182545218005,3926.326999520467,4143.798019829991,4367.543438378828,4597.517546227893,4833.664912678042,5074.682891841003,5319.418020490615,5567.571057493176,7773.927282043669,8212.368329286406,8746.605254092148,9341.27212534696,9975.305923051681,10635.145823250637,11309.796982721342,11989.556540114772,12663.305462203758,13322.437012676843,13956.188992056332,14554.689797882635,15109.203425209485,15608.435944095512,16043.67489293447,16407.926544929473,16692.158155128192,16890.90974863106,17002.018734532332,17021.74582803503,16948.880833845626,16787.439994543616,16540.938628801177,16212.398425880894,15810.502870277807,15344.787365942291,14822.259154610507,14252.201026353026,13646.010288575226,13013.77480496569,12362.976577135962,11702.635944249958,11041.561487810963,10386.867591174025,9743.653021398044,9117.069785783899,8511.017964686818,7929.185549069247,7373.387531233301,6845.7471040652035,6346.587508450398,5875.874454246477,5433.679951696076,5020.457213873665,4635.014061409823,4275.711338605156,3941.158751711211,3631.2161420265056,3344.5739437463267,3079.3466710106777,2833.6850798832797,2606.8021033912205,2398.006639206114,2205.7140063236216,2028.3502774055275,1864.5451754930298,1714.0139103078639,1575.7810953488113,1448.6887144989792,1331.597857238318,1223.61258198552,1124.563468593921,1033.6775990390806,950.1902913093427,873.3441489286048,802.4665306249249,737.439095719675,677.8018132532436,623.0598360889228,572.7416910545381,526.3759049779218,483.65972886860493,444.5244326839804,408.6102471485356,375.6398689975841,345.3372111749222,317.4261866243732,291.6810909584125,268.093194934606,246.4421918344618,226.56415247933353,208.3080818847311,191.52298506614943,176.05786703908515,161.78993093912496,148.72844348341076,136.73120690455525,125.70916413276332,115.5859076950587,106.28503011847957,97.73012393005396,89.84478165681354,82.56937084657072,75.91900289848107,69.80606267198743,64.18523377201478,59.020496441145795,54.27583092194611,49.91521745699801,45.90263628886758,42.20206766013834,38.78326636245545,0.0
