FIP,County,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
13001,"Appling County, Georgia",19.74442614318179,22.02155887055966,24.506201902652528,27.1871833474654,30.060935384938507,33.127856625819,36.39006147283715,39.850584991001966,43.51243834918039,47.3787151413923,51.4521902402343,55.73541433044069,60.2307901111777,64.94047210745572,69.86647386967869,75.01068443071968,80.37489091096822,85.96081375522945,91.7701177632047,97.80435634104596,104.06505478353597,110.55373383248947,117.27191148125557,124.22106243164485,131.40251979915695,138.81761020560822,146.46767758790318,154.35408319803375,162.47820560307983,170.8414523398781,179.44495693808628,188.28971806113168,197.37679316150775,206.70729869344086,216.28241011289109,226.10336187755104,236.17145037983224,246.4879714218446,257.0534305425319,267.8682175129555,278.9328936758648,290.24819194569767,301.8150168085804,313.6344443223274,325.7077221164406,338.0363314420227,350.62107168657377,363.4608765565133,376.55495795735544,389.90302117847745,403.5052648931194,417.36238115838506,431.47555541524036,445.84646648851555,460.47732228452,475.3692812209262,490.5185724535404,505.9216824007437,521.5764152251448,537.4818928335808,553.6385548771163,570.0481587510433,586.7137795948835,603.6398099109276,620.8283839300367,638.2715227467376,655.9614116451114,673.8929723875733,692.063863214874,710.4744788460986,729.1279504786676,748.0301457883354,767.1895398660156,786.6045654966885,806.2606243416842,826.1472204508663,846.2578958713507,866.5902306475051,887.1458428209512,907.9303884305622,928.9535615124628,950.2230952699343,971.7218565077188,993.4355001614189,1015.3547550710134,1037.4748127765572,1059.7953275181765,1082.3204162360735,1105.0586585705225,1128.0201773633037,1151.1903083542209,1174.5526768880025,1198.096862448323,1221.8166629405666,1245.7100946918301,1269.779392450919,1294.031009388353,1318.474306425231,1343.0981233791633,1367.8852471244463,1392.8245482426635,1417.9087543242927,1443.1344499687061,1468.502076784171,1494.0159333878487,1519.6839510622553,1545.5000114763566,1571.4458700553168,1597.5093540854148,1623.6819466506627,1649.9587866328063,1676.338668711324,1702.8240433634267,1729.4210168640602,1756.130646174693,1782.934113819774,1809.8175295542892,1836.7707764248635,1863.7873922022357,1890.8645693812582,1918.0031551808984,1945.2076515442354,1972.4842406582336,1999.8194426071739,2027.1960926837849,2054.6020731927924,2082.0290699674065,2109.4725723693223,2136.931873288719,2164.4100691442636,2191.914059883105,2219.442882661725,2246.9763054468394,2274.499835020454,2302.0030211172534,2329.4794448707985,2356.9267188135263,2384.3464868767464,2411.744424390649,2439.1285581530187,2466.4858810738224,2493.7977173224162,2521.051244493839,2548.237912623129,2575.3534441853267,2602.3978340954695,2629.375349708598,2656.2945308197477,2683.153208165686,2709.927062413617,2736.6123862634927
13003,"Atkinson County, Georgia",26.196107242050402,28.64736493339557,31.255986604171998,33.992277675010165,36.838325719068095,39.78364241949592,42.82217176332824,45.95090859320391,49.168358482790644,52.47435470075107,55.8691984438876,59.35358829842547,62.928599084908754,66.59525590889285,70.35465275177603,74.20801912926972,78.15650918847058,82.20119553075025,86.34316575875589,90.58349587572602,94.9231952507033,99.36321876128352,103.90447092135378,108.54784404937665,113.29413188780852,118.14407941941677,123.09840310740753,128.1577908954255,133.3229022075542,138.59439488156275,143.97274614613374,149.4583089891467,155.05144486964332,160.75252388666237,166.56192477924068,172.48003492641223,178.50725208295398,184.64394699008292,190.88999808095375,197.2451958091335,203.70941339476164,210.2826068245507,216.96481485178583,223.75615899632493,230.65684354459827,237.6671808154109,244.78703626669352,252.01526275347743,259.35086320564636,266.7931008166718,274.3414990436127,281.9958416071158,289.75617249141504,297.62279594433295,305.5962857005821,313.67650118431834,321.8608513048217,330.146928074579,338.532983617733,347.0179301700824,355.6013400790821,364.2834458038423,373.0651399151305,381.9479746268644,390.9321592429232,400.013095727065,409.1864850379917,418.4492994576604,427.79978259128336,437.23744936732766,446.763086037516,456.3787501768252,466.0877039342679,475.88832674657885,485.773374478212,495.73763739266593,505.7776569619449,515.8917258665592,526.0798879955256,536.3439384463659,546.6874235251081,557.1129626782629,567.6124473116024,578.1793440161547,588.809234986266,599.4995303172834,610.249468005556,621.0601139484346,631.9343619442715,642.8757106564226,653.8774986198107,664.9326922832789,676.0366658244442,687.1864399288152,698.3806817897944,709.6197051086775,720.9054700946533,732.2410608860101,743.6215394229893,755.039894560337,766.4914915214518,777.973136115162,789.4830747357242,801.0209943628256,812.5880225615823,824.1866414305173,835.8140576816062,847.4632130967468,859.1293667223557,870.8090851122051,882.500242327423,894.2020199364921,905.9149070152497,917.6407001468891,929.3793606851756,941.1239203965407,952.8693252027048,964.611816833036,976.3488885814558,988.0792853064363,999.8030034310036,1011.5212909427348,1023.23595854555,1034.9421269769548,1046.6339065801699,1058.3071185130627,1069.958832710248,1081.5873678830878,1093.1922915196928,1104.7744198849211,1116.335818020378,1127.8759424703987,1139.388116897119,1150.8676550986918,1162.311147921636,1173.7164593300254,1185.0827264054883,1196.4103593472082,1207.7010414719234,1218.9571899598307,1230.1746038515125,1241.3475074032083,1252.4719655386648,1263.5453470960408,1274.5663248279072,1285.534875401246,1296.4522793974525,1307.3211213123318,1318.1407649619189,1328.9038985718796,1339.6094476392147
13005,"Bacon County, Georgia",21.43766702262728,23.7295575098776,26.1812312652355,28.770416811758626,31.48450551830909,34.31672879768951,37.26360852845229,40.323854713208426,43.49711895425664,46.78391451241679,50.184959862365666,53.70116513761306,57.333644000377234,61.08341908050912,64.95152969143297,68.93907942901168,73.04711268158474,77.27662187289303,81.62861151133434,86.10406606276797,90.70393995800308,95.42917208201493,100.28068863660374,105.25941467461003,110.36619802902166,115.60187302212846,120.967278376588,126.46325721542533,132.0906570620333,137.85034645058354,143.74303609347317,149.76934667978807,155.9299313854235,162.22547601910333,168.65669902238074,175.22435146963733,181.9292187644774,188.77208161530262,195.75325358401298,202.87297876780676,210.13159971636236,217.52955743183801,225.06739136887225,232.74573943458364,240.5653379885702,248.52705523903296,256.63134987008846,264.8776103941308,273.2653853817127,281.79450525690737,290.4650822973077,299.27751063402764,308.2324662517003,317.33090698848025,326.57409152955984,335.96265302011756,345.49442408126475,355.1673900075375,364.98028344466104,374.9325843895501,385.02452019030846,395.2570655462286,405.63194250779407,416.1516202391404,426.8172667492544,437.62431893683004,448.56832116920106,459.64636381544733,470.8570832463948,482.20066183461506,493.67882795442614,505.29485598189126,517.0534931697059,528.9538017194978,540.9874817322071,553.1485545725366,565.4333213455984,577.840362896913,590.3705398124106,603.0269924184288,615.8151407817152,628.7392984040162,641.7897339793345,654.9582834693224,668.2396499346335,681.6310588051356,695.1322578799097,708.745517327251,722.4756296846679,736.3282610207209,750.295069938054,764.3667362777308,778.5373073069024,792.8032188126986,807.1632951022292,821.6187490025826,836.1731818608272,850.8318421754547,865.588365845316,880.4329535442157,895.3592510872727,910.36309178709,925.4424964537558,940.5976733948423,955.831018415406,971.146987720575,986.5420764584294,1002.0059017573873,1017.5315232525394,1033.1140764986421,1048.750772970116,1064.4409000610472,1080.1858210851854,1095.988975275946,1111.8509387490396,1127.7610091640115,1143.711279828204,1159.6959883851923,1175.7114495664493,1191.7560551913452,1207.8302741671482,1223.9366524890231,1240.07869218734,1256.248730446464,1272.4370096417506,1288.6366409534319,1304.8428988561775,1321.0532211190978,1337.2672088057434,1353.4866262741043,1369.7154011766097,1385.9529953753135,1402.1879159474481,1418.4119303186633,1434.619107509295,1450.8058115727156,1466.9707015953334,1483.1147316965926,1499.2411510289755,1515.3545487177269,1531.4475498091244,1547.5095441747148,1563.5332541194548,1579.513837331458,1595.4488868819974,1611.3384312255032,1627.1849341995642,1642.993295024924,1658.7623097627281,1674.478152481506,1690.1387467420482
13007,"Baker County, Georgia",143.38606885023975,156.37828638146374,170.0227270604152,184.05063114347192,198.28110984114855,212.59222462771586,226.90013471972983,241.14845937574026,255.29670368294552,269.31799277056507,283.19211574240126,296.90444407739267,310.4454507333255,323.80682804648217,336.98224745864627,349.9680648514883,362.76100222039946,375.3579004723918,387.7566880803542,399.95660947136054,411.9569840978962,423.7571473673511,435.3564618569431,446.75498398427516,457.9537981092691,468.9540070889045,479.756637889702,490.36264158772263,500.77289336856785,510.98836724914594,521.0114801551412,530.8450716642357,540.4917096172315,549.9536896332528,559.2330351097451,568.3314972224756,577.2505567859362,585.9923439705188,594.5610351086032,602.96071547033,611.1949800571575,619.2669336018604,627.1791905685296,634.9338751525731,642.532621280715,649.976752615869,657.2700521744815,664.4179267856958,671.4250896531164,678.2955167193325,685.032446665917,691.6383809134278,698.1150836214067,704.4635816883801,710.6842725221647,716.780797823526,722.759382188022,728.6251416567126,734.3822447020646,740.0339122279528,745.5824175696581,751.0290864938688,756.3742971986813,761.6174830265135,766.7612901907112,771.8124110611801,776.7754551912028,781.654133136287,786.4512564541651,791.1687377047936,795.807590450355,800.3679292552558,804.8490473112292,809.2544911079024,813.5893932671665,817.8568933471772,822.0595708896607,826.1994454199139,830.2779764468044,834.2960634627709,838.2540459438223,842.1527512266456,845.996037143071,849.7861275241669,853.5248745324532,857.2139166655186,860.8546787560208,864.4483719716867,867.9959938153119,871.4985059623802,874.9579086656008,878.3756053598075,881.7528061976385,885.0907023146693,888.3904658294136,891.6532498433218,894.8801884407835,898.0724067458781,901.2309933337963,904.3567044071882,907.45029208805,910.5125729975352,913.5444282559539,916.5468034827726,919.520708796615,922.4672148981012,925.3870628188956,928.2805559467747,931.1480964644284,933.9901881634271,936.8074364442217,939.6005483161433,942.3703323974039,945.1176989150958,947.8433754401217,950.5473543221109,953.2297376385796,955.890755738383,958.530763764442,961.150241653742,963.7497941373346,966.3301507403356,968.8920907894978,971.4356039847443,973.9604846690395,976.4667149824041,978.9544220005055,981.4238777346593,983.8754991318292,986.3098480746255,988.7276313813071,991.1292160052751,993.5141331276199,995.882133951266,998.2331341022633,1000.5672131601618,1002.8846146580124,1005.1857460823668,1007.4711788732777,1009.7415761469649,1011.996677027839,1014.2359526178908,1016.4591209698267,1018.6660809792413,1020.8569123846173,1023.0318757673259,1025.1914125516262,1027.336145004666,1029.4662101496297,1031.5807541070467,1033.6798337903665
13009,"Baldwin County, Georgia",17.51398305755658,19.354708235344063,21.544755151966303,24.203863628228472,27.42436547715392,31.27585449312143,35.81000478160195,41.06438682671862,47.06634734506205,53.83489064060924,61.38366967887503,69.72205892008193,78.8557808259366,88.7890389751415,99.52443860986187,111.0626401604896,123.40390276722901,136.54836048349054,150.49545277642895,165.24369210086766,180.79162314566744,197.13791013051963,214.28132571939057,232.220218275287,250.9522949882513,270.47534692328094,290.7873076394086,311.8862531896999,333.77040212125587,356.4380377984234,379.886340826675,404.1121123798773,429.11241961100717,454.8845962152678,481.4262424300907,508.7352250351334,536.8096858241324,565.6476836397297,595.2445606636037,625.5953620504336,656.6957730794607,688.5421191544887,721.1313658038855,754.4611186805807,788.5296235620649,823.3359120614756,858.8765193203042,895.1421625422983,932.124558204807,969.8170668247758,1008.2146929587449,1047.314085202853,1087.113536192831,1127.6129826040112,1168.8140702339397,1210.7144731614144,1253.2972387232955,1296.5465255632541,1340.450523907533,1385.001455564945,1430.1955739268735,1476.0331639672709,1522.5185422426648,1569.6600544290973,1617.4583237164516,1665.8848647878353,1714.9127693513726,1764.5229367783788,1814.7040741033609,1865.4526960240155,1916.7731249012331,1968.677490759091,2021.185330878533,2074.286658564899,2127.9367787345323,2182.1033178665743,2236.7647528038747,2291.9104107529874,2347.5404692841776,2403.6659563314142,2460.3087501923696,2517.4850712030648,2575.1448553511623,2633.2476087014825,2691.7659708319916,2750.6839485853798,2809.9969160690557,2869.7116146551566,2929.846152980538,2990.4224055011114,3051.399127141438,3112.732792265578,3174.394831717628,3236.3668986469647,3298.640868508248,3361.218839061421,3424.113130371711,3487.3430317904126,3550.8779743369373,3614.6746572320562,3678.7045278741516,3742.9479301279653,3807.394104324585,3872.041187261453,3936.896212202368,4001.974574242742,4067.2589720905744,4132.705920402701,4198.286292667388,4263.978974774854,4329.770865017279,4395.656874088805,4461.639925085524,4527.73095350549,4593.929547296631,4660.192873489348,4726.490020757646,4792.797946283242,4859.101201474847,4925.391931968151,4991.669877625835,5057.942372537569,5124.220126959094,5190.473125609485,5256.665571861484,5322.77202804349,5388.77454094352,5454.662641809228,5520.4333463478915,5586.091154726418,5651.648051571338,5717.100220088659,5782.407306430749,5847.541135874399,5912.481073290585,5977.213999171699,6041.734309631516,6106.043916405227,6170.152246849421,6234.073018931873,6297.780727170915,6361.2411297410545,6424.4308406921355,6487.3340337849395,6549.9424424911795,6612.2553599935,6674.279639185491,6736.029692671662,6797.501333539311,6858.651776713134,6919.474296787957
13011,"Banks County, Georgia",20.70402019695509,22.877683643377683,25.260938192404968,27.865131235554916,30.703208379734935,33.78748519244961,37.128600239227914,40.73550965751183,44.6153688524005,48.77394673690621,53.21580840451317,57.94458024278319,62.9631223860756,68.27381519101047,73.87863533699921,79.77910821366135,85.97659588203399,92.47237501307877,99.26754593001816,106.36294256320392,113.759371658695,121.45764827660493,129.45859542299252,137.7629140092851,146.37105689962252,155.2834755398975,164.50065128156737,174.02309538165338,183.85134900274142,193.9859787801435,204.42709978739617,215.17462936237433,226.22857325868026,237.58902593282036,249.25617054420667,261.2302789551554,273.5117157943154,286.10081563047345,298.9967177393632,312.19839796159266,325.70508879931197,339.51627941621337,353.6317156375313,368.05139995004265,382.77559150206537,397.80487978801943,413.13877543216904,428.77415199102404,444.70830026203345,460.939223543103,477.4656376325942,494.2869708293256,511.40336393257047,528.8156702420606,546.5254893542309,564.5326914833835,582.8304918667743,601.4125618529072,620.2743785002498,639.4132245772349,658.8281885622589,678.5201646436817,698.4918527198303,718.7477573450359,739.2889147956328,760.1031103880968,781.1787792807202,802.5078964838832,824.0859768600562,845.9120751237981,867.9887858417574,890.3222434326692,912.9219400787196,935.7839109015994,958.8883414839225,982.2210088447123,1005.772623460936,1029.5388292675038,1053.5202036572712,1077.7222574810362,1102.155435047541,1126.8275772614936,1151.7162730610244,1176.8034879131937,1202.0771565440418,1227.530375501557,1253.1614031556742,1278.9736596982764,1304.975727143193,1331.1778827042049,1357.5616342014266,1384.1074830019202,1410.8027227021332,1437.6392751949084,1464.613690669484,1491.7271476114931,1518.985452802965,1546.3975616332575,1573.9497645277552,1601.622607353443,1629.4033205560374,1657.2831487178103,1685.2573505575922,1713.3251989307682,1741.489980829284,1769.7587548538263,1798.123758365755,1826.56541995305,1855.070666365716,1883.63002589558,1912.2376283762867,1940.8912051833024,1969.5920892339118,1998.345214987221,2027.1503800558037,2055.9882915830394,2084.8450642025514,2113.710334595041,2142.577137288365,2171.441904657534,2200.3044669247156,2229.168052159229,2258.037388549895,2286.8989349035905,2315.736641846038,2344.539092337242,2373.298197902423,2402.0091986320167,2430.670663181672,2459.284488772256,2487.8559011898456,2516.3830566736524,2544.847910719115,2573.2378967268464,2601.543775321101,2629.7596235875403,2657.882835073232,2685.914119786645,2713.857504197657,2741.718898460676,2769.4868709237126,2797.1462693716717,2824.686730379587,2852.1011947772795,2879.3859076493536,2906.5404183352007,2933.567580428995,2960.473551779694,2987.2563814943146,3013.8972804628343,3040.393193986117
13013,"Barrow County, Georgia",289.1988379744452,319.7482890986465,352.39477614498077,386.5808930192547,421.9540042190315,458.29373167585175,495.46120878354986,533.3747331136366,571.982854760941,611.2604077234591,651.1930442897757,691.7755385398336,733.0111513077038,774.9036114338751,817.4591029397833,860.687572116309,904.598483347194,949.2005705908447,994.5037249100615,1040.5187615031234,1087.2559309826588,1134.7250494858858,1182.9355604497546,1231.8974421906037,1281.620252369379,1332.113186600213,1383.3852918944713,1435.4454666607462,1488.302460704862,1541.965232312343,1596.4415954443587,1651.73838218634,1707.8625609961598,1764.8212382935617,1822.6216584601634,1881.2712038394532,1940.777411180751,2001.147806936496,2062.3858579425755,2124.4942714646663,2187.4764952687146,2251.3367176209417,2316.079867287838,2381.71161353617,2448.238366132968,2515.667577953786,2584.00314602538,2653.2395901659042,2723.372734212482,2794.4007726628056,2866.3242706751316,2939.1461640682883,3012.871759321668,3087.508733575236,3163.0672871002416,3239.5519697535433,3316.943297424267,3395.223132707347,3474.3797200439567,3554.40768572152,3635.3080378737063,3717.088166480424,3799.761843367839,3883.349219231612,3967.8585308342176,4053.249684133469,4139.484233792305,4226.536661034982,4314.394373647082,4403.057705975507,4492.539918928481,4582.867199975544,4674.078011160749,4766.161886330977,4859.0491163952765,4952.690172874322,5047.053900818869,5142.127518809762,5237.916618957932,5334.445166904397,5431.755501820261,5529.880334079942,5628.739252438566,5728.267476654106,5828.422654337601,5929.181888080882,6030.5417354565525,6132.518209018008,6235.146776299422,6338.469299995484,6442.418917527746,6546.924483853011,6651.9405318513645,6757.4391657295555,6863.410061020997,6969.8604645857595,7076.8151946105845,7184.311018942864,7292.29838892291,7400.705551175688,7509.486165400951,7618.609207198279,7728.058968067078,7837.835055406573,7947.952392515821,8058.440292530226,8169.271320874455,8280.3725473393,8391.695829204526,8503.206829422186,8614.88501661663,8726.723665084499,8838.729854794718,8950.92447138851,9063.308635774043,9175.809812980093,9288.376056095287,9400.968989749961,9513.563334583378,9626.14690724373,9738.720620388138,9851.298482682643,9963.900280780672,10076.47508550842,10188.961893799595,10301.317603783647,10413.51202520517,10525.527879423867,10637.360799414595,10749.01932976733,10860.524926687174,10971.871567902686,11082.989890371931,11193.831635858578,11304.36154184437,11414.557299902084,11524.409555695564,11633.921908979702,11743.110913600438,11852.000485588953,11960.546597508768,12068.69024785678,12176.391171994854,12283.622099804392,12390.368755686366,12496.62985856129,12602.417121869237,12707.75525356982,12812.63690557113,12916.988220039475,13020.797407982915
13015,"Bartow County, Georgia",268.8087388369598,299.8583150270727,333.3937759609095,368.9879881280307,406.3822121135383,445.4224435263237,486.0161083475124,528.1124883291758,571.6808176411573,616.7080913418895,663.1870893544161,711.1156521319049,760.4965758363672,811.3318835121021,863.6245987231276,917.3796460096196,972.601177378003,1029.292573142877,1087.4577153911098,1147.1005076855668,1208.2243515559496,1270.8323579581404,1334.9274013245126,1400.5124879015357,1467.5894691272579,1536.1599356285963,1606.2255152519044,1677.787873062967,1750.8487113470064,1825.4100527969797,1901.4714589334772,1979.0310548304587,2058.087458122743,2138.639781331252,2220.6876318630207,2304.2311120111863,2389.2708430419834,2475.807233286644,2563.833570396676,2653.3421585334113,2744.3268120795974,2836.7828556393956,2930.707124038385,3026.097962323556,3122.9552257633104,3221.2806401118846,3321.069323603166,3422.301419554299,3524.9595388032626,3629.030399289758,3734.504826055202,3841.3777512427387,3949.648214097222,4059.31936096524,4170.398587459293,4282.88269921317,4396.731548169531,4511.907877106443,4628.384555931068,4746.14458167968,4865.18107851766,4985.497297739486,5107.106617768759,5230.032537050274,5354.278306258968,5479.7743966703365,5606.455915292109,5734.277342222438,5863.212530649903,5993.254706853508,6124.416470202688,6256.729793157295,6390.244996965681,6524.938002908351,6660.700131666996,6797.453854215774,6935.148080508199,7073.758159477127,7213.285879034778,7353.759466072708,7495.233586461826,7637.7486462433835,7781.183449574558,7925.441998279775,8070.459879726056,8216.199838249542,8362.651775155493,8509.832748718292,8657.786974181443,8806.567461710334,8956.07597316816,9106.21068018643,9256.90532562698,9408.117591788301,9559.82910040555,9712.045412650557,9864.796029131818,10018.126681120873,10171.965850721755,10326.213847730101,10480.805562766433,10635.696308802593,10790.861821161734,10946.298257518327,11102.022197898175,11258.069399190375,11414.400064709365,11570.915658877368,11727.550957739348,11884.258764068978,12041.009907368663,12197.793243869508,12354.615656531341,12511.502055042702,12668.451488119501,12825.368252063692,12982.184420461752,13138.849443895868,13295.329519529772,13451.607591108705,13607.683348959456,13763.573229990332,13919.301009964594,14074.800569903238,14229.994451224686,14384.827956155787,14539.262571838983,14693.275970332275,14846.862008609258,15000.0307285591,15152.808356986556,15305.186645534459,15457.079223776409,15608.426724265184,15759.185785891357,15909.329001072378,16058.844915752536,16207.738029402988,16356.028795021737,16503.746703390098,16650.837892927055,16797.23119093405,16942.878441226672,17087.74726148688,17231.821043262953,17375.098951969558,17517.595926887683,17659.34268116467,17800.33130919471,17940.473704571814,18079.756786205093
13017,"Ben Hill County, Georgia",14.987221262457512,16.784636552204823,18.81696389817068,21.133022435375988,23.770719397593346,26.75835085106526,30.11628793269029,33.858543315907276,37.99433693573148,42.52899296348117,47.46523155804137,52.80369453459715,58.54326331269424,64.68203298458215,71.21731080592896,78.14546188216711,85.46265020820134,93.16498252466394,101.24825363502794,109.70781205178969,118.53905694612827,127.73749290261001,137.29872627455873,147.2182089257203,157.49108959757103,168.1126224444639,179.07820821264247,190.38339424023997,202.02387445728016,213.99543444241638,226.29336945319335,238.91287429837644,251.849353406492,265.09842107376016,278.6559014640967,292.51782860911106,306.6804478724802,321.1399228332421,335.89141446413015,350.9301055906245,366.2515016787497,381.8514308350739,397.72604380671015,413.8718139813156,430.2855373870905,446.9643299901274,463.90427299327916,481.0997851567314,498.5457136601026,516.2374959282772,534.1711596314057,552.3433226849055,570.7511932494588,589.3925697310154,608.2658398744345,627.367911955989,646.6916087672784,666.2302506791643,685.978370200831,705.9317119797853,726.0872328018552,746.4431015911915,766.9986994102688,787.7546186360311,808.7091971492673,829.8525627416493,851.1754249830773,872.6707324324799,894.333672637815,916.1616721360679,938.1543964532533,960.3137501044132,982.6437679260601,1005.140357937636,1027.7894774224046,1050.580512613292,1073.5060077233206,1096.5616649456097,1119.7463444533773,1143.062064399937,1166.5140009186987,1190.1058338683165,1213.822222038905,1237.65023254609,1261.5808341210168,1285.6084142523548,1309.730779186293,1333.9491539265432,1358.26818223434,1382.6937020979383,1407.2128814615985,1431.8118916264443,1456.481424909326,1481.2153466086222,1506.0106950042382,1530.8676813576092,1555.7896899116963,1580.782291726683,1605.835838844868,1630.9365556738483,1656.0752269034774,1681.2454674636124,1706.4437225241097,1731.6692674948285,1756.9242080256313,1782.2133135462282,1807.5311283455512,1832.8638116723378,1858.2020368942713,1883.5390729652165,1908.8707844252217,1934.1956314005158,1959.5146696035094,1984.8315503327965,2010.1463286261185,2035.4453713426692,2060.7188043265724,2085.9593369845825,2111.1621754236653,2136.325022451002,2161.4480775739853,2186.5340370002264,2211.586726160295,2236.596679926629,2261.5524054953516,2286.445821496777,2311.271343990247,2336.0258864641396,2360.7088598358673,2385.322172451872,2409.8702300876334,2434.352238274629,2458.7551462746187,2483.0698714190958,2507.289890223649,2531.4112305537915,2555.4324716249707,2579.3547440025577,2603.181729601855,2626.9185825169993,2650.557199337423,2674.0863006482223,2697.4982971596646,2720.788218723624,2743.9537143335824,2766.9950521246265,2789.9151193734506,2812.7194224983546,2835.406986487838,2857.9634119102557,2880.3868459624023
13019,"Berrien County, Georgia",18.94155364572369,21.18028579713801,23.66872092407472,26.43663697852085,29.510111210189116,32.91068112687657,36.655414571923245,40.75757807616514,45.22723277285515,50.07187132734644,55.29708085133505,60.90692706740368,66.90418975836582,73.29095409288705,80.06865188135697,87.23795999794463,94.79929361240309,102.75291502952494,111.09876507918953,119.83634045108634,128.96506203703763,138.48432214178112,148.39348417067995,158.69169157172783,169.37768044017548,180.45015408937945,191.90783113291866,203.74944548459376,215.97374635842777,228.57949137764376,241.56476414310774,254.92734848347246,268.66514123915084,282.7761526746847,297.25850647874523,312.1104397641319,327.3303073151781,342.91634356727656,358.8652292233895,375.17346511586857,391.83787801380925,408.85562062305223,426.22417158618333,443.9413354825328,462.00524282817446,480.4143903738025,499.1657747819245,518.2535174453474,537.6722604179226,557.4174628403805,577.4854009403283,597.8731680322522,618.5786745175154,639.6006478843609,660.9386352357815,682.5897849220073,704.5446016742329,726.7942762700222,749.3318543671257,772.1522365034817,795.2521780972148,818.6302894466363,842.2870357302473,866.2247351915668,890.4416476523797,914.9233258691104,939.6565767815836,964.6315362524036,989.8416690669535,1015.2837689333957,1040.9579584826715,1066.8676892684996,1093.019557679422,1119.4071577201973,1146.0101667502222,1172.8137631440138,1199.8074924561295,1226.9852674211686,1254.3453679537733,1281.8904411486262,1309.6275012804526,1337.5611826304757,1365.6695933850442,1393.9352525015033,1422.3458293214328,1450.8933995348884,1479.5744451804014,1508.3898546449805,1537.3449226641092,1566.4463860020105,1595.6766276527585,1625.0175325477276,1654.4567423280832,1683.9857722269337,1713.6000110693292,1743.2987212722633,1773.0850388446715,1802.964740323614,1832.924859322197,1862.9479052185432,1893.0219663521818,1923.138453329279,1953.2920990226346,1983.4809585716841,2013.7064093824981,2043.97295190529,2074.2730098982165,2104.589536271279,2134.910860625844,2165.22827005735,2195.536009155305,2225.8312800032877,2256.1142421789477,2286.3880127540056,2316.651587702533,2346.8886222861097,2377.0872404612787,2407.2384423245016,2437.3360030378576,2467.376472829042,2497.359176991369,2527.286215883769,2557.160938619835,2586.972052362771,2616.706304181595,2646.354208071389,2675.908994961641,2705.3666127162464,2734.725726133508,2763.9877169461347,2793.156683821241,2822.231098853728,2851.196382493748,2880.042356688974,2908.7615798195175,2937.3493381063063,2965.803645611079,2994.125244236386,3022.317603725595,3050.3857706105186,3078.320760979245,3106.1103872134577,3133.746391102264,3161.2232818824477,3188.538336238478,3215.691598302504,3242.685879654354,3269.5267593215385,3296.2130581542315,3322.729575487914,3349.074270183851
