Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,1314.1873821864835,1201.2217330404173,1132.413575257217,1092.487465825929,1071.487970729514,1062.9522418825104,1062.6140692965027,1067.7630907754292,1076.544342874246,1087.8376031976516,1100.8476394099716,1115.0500795808493,1130.168211569359,1145.9552535979142,1162.2431622738156,1178.9782741696124,1196.1018225349067,1213.5408627266293,1231.260605619773,1249.2623085360221,1267.5364081618106,1286.0646213704538,1304.8215601402735,1323.803674498465,1343.0103023301608,1362.435448345079,1382.0720424386807,1401.9119396921703,1421.9459203724946,1442.1742239666173,1462.5908923860773,1483.1767408907863,1503.9178921256564,1524.80580813137,1545.8372903443856,1567.0144795969331,1588.3451853802978,1609.8471405746498,1631.4823693160806,1653.2038223707082,1674.9809203684647,1696.799553803095,1718.662083032159,1740.5873382770296,1762.6106196228927,1784.790126722335,1807.1416953326893,1829.5311258845163,1851.8504940842863,1874.036839485133,1896.0721654868487,1917.9834393358892,1939.8425921253702,1961.7665187950684,1983.9202391226477,2006.3932203980362,2028.8770540968324,2051.0894254505724,2072.862416698899,2094.14250708956,2114.9905728784074,2135.5818873294006,2156.206120714605,2177.2672994309296,2198.984044472678,2220.7640930202215,2242.043830095283,2262.4876598183782,2281.9880054088126,2300.665309184688,2318.868032562895,2337.17265605912,2356.3726570411354,2376.4382776654566,2396.3324293572996,2415.3682757534916,2433.18175554651,2449.73158248448,2465.299245371178,2480.4890080660302,2496.2279094841106,2513.2847226126387,2530.4930549784044,2546.96300685857,2562.1968199035264,2576.037773201426,2588.670183278186,2600.619404097485,2612.7518270607648,2626.049646994248,2639.6296444037175,2652.5460857325024,2664.30039066331,2674.7007735228217,2683.8622432816983,2692.2066035545818,2700.46245260009,2709.568187339697,2718.9818440585454,2727.791761480335,2735.5270748023736,2741.982157917375,2747.216623413461,2751.5553225741587,2755.5883453784018,2760.155055135534,2765.123300114755,2769.5929617048005,2773.0922502975727,2775.385241441367,2776.47187584087,2776.5879593571644,2776.205163007725,2776.031022966421,2776.4349661110973,2776.5387645445467,2775.821799971534,2773.9913479678935,2770.9743790867046,2766.9175588582966,2762.1872477902402,2757.369501367355,2753.145513634383,2749.0006008684204,2744.2616515874543,2738.5542073944334,2731.715905057432,2723.796476509652,2715.057748849423,2705.9736443402026,2697.2301804105728,2689.0476523906077,2680.5958325881297,2671.400260368998,2661.1953434088286,2649.9236513289616,2637.735915696456,2624.9910300240936,2612.256049770377,2600.213145682246,2588.419356440244,2576.1968501165993,2563.170083284369,2549.1678084248115,2534.2230739273878,2518.5732240897632,2502.659899117804,2487.1290351255816,2472.1037590344195,2456.6285446103047,2440.744039719909
B,877.2630092788313,809.96362229885,774.6148430286901,759.8373450549432,758.3171750253457,765.3762085572199,777.9684679752825,794.1949648436215,812.7692218790752,832.9352747638268,854.159507826672,876.0953434292628,898.5696197497743,921.4222707538703,944.5454510242535,967.9097286907286,991.4790155121455,1015.2054117144145,1039.0673322559737,1063.0650927028391,1087.1911603178942,1111.4328061574204,1135.7733933759835,1160.2113046317763,1184.7404578197286,1209.3520283699534,1234.0389372852346,1258.7958511410234,1283.6191820854408,1308.5146356429793,1333.4705943702131,1358.4612640031874,1383.4693859548765,1408.4862698747183,1433.5117936486126,1458.554403398921,1483.6314223247073,1508.7654830775593,1533.907857135001,1559.0021729103726,1584.0129294851154,1608.9254966087735,1633.7461146989958,1658.5018948415322,1683.2408187902336,1708.0366692174075,1732.9008922202997,1757.6817914586775,1782.2596637722013,1806.5658189786068,1830.5825798737017,1854.3432822313714,1877.932274803573,1901.4849193203404,1925.1896699345573,1949.12999248951,1972.974292610008,1996.4267817341356,2019.3125793539336,2041.5777130153956,2063.289118318473,2084.634638917068,2105.9230265190445,2127.583869641925,2149.829896993246,2172.0443661709114,2193.6620570878936,2214.3475147700233,2233.9950493559872,2252.7287360973305,2270.9024153584555,2289.0996926166204,2308.122272634164,2327.9233411421856,2347.4732258381796,2366.1050054744774,2383.4665176173303,2399.5203586469115,2414.543883757313,2429.129206956549,2444.1832010665544,2460.452339587657,2476.7951691332423,2492.3638411176894,2506.686900798183,2519.6178381682485,2531.3350879577547,2542.3420296329086,2553.466987396261,2565.6465599122425,2578.0343955873136,2589.742041209788,2600.3052467510483,2609.547051151606,2617.577782321103,2624.79505713831,2631.8837814511285,2639.7245281281907,2647.8061462859014,2655.2832246589865,2661.7233571943825,2666.939061412646,2670.9877784079467,2674.1718728480705,2677.038632974423,2680.3653876234534,2684.027455937598,2687.1985305460403,2689.450211472945,2690.569331865661,2690.557957994723,2689.6333892538496,2688.2281581599477,2686.9900303531035,2686.2554853181755,2685.223962742055,2683.426703606296,2680.601021964145,2676.6827359416284,2671.8061677375536,2666.3041436235117,2660.7079939438718,2655.634336984107,2650.616630856994,2645.050925231317,2638.6028759488363,2631.128333936059,2622.6733452042313,2613.4741508493425,2603.957187052127,2594.7390850780585,2586.017003763947,2577.047216196839,2567.407352656673,2556.8614574248527,2545.3593513909555,2533.0366320527364,2520.2146735161277,2507.4006264952354,2495.204197038238,2483.229727600441,2470.8734730317374,2457.801586001655,2443.8622168317484,2429.0855134956023,2413.6836216188267,2398.050684479058,2382.762843005962,2367.930165200669,2352.7013968833526,2337.1132454439007
C,2341.3475312659434,2168.2137954530494,2062.5263964937712,2000.7494397587923,1967.5683435449055,1953.0596210351111,1950.6853306555136,1956.302762948973,1967.082178031376,1981.3216976009119,1997.8153614886023,2015.7705865804521,2034.7730884937434,2054.4521681227648,2074.5565060957842,2095.0087345313113,2115.722818418474,2136.590597999409,2157.562041850942,2178.6408732084265,2199.8143723989633,2221.057030471019,2242.333034183603,2263.6396368389774,2284.97678416536,2306.336793541474,2327.7112129455904,2349.090820955528,2370.4656267486594,2391.839331312719,2413.204739852316,2434.535721646137,2455.8145359052014,2477.0318776420063,2498.1868776705314,2519.287102606238,2540.3489317081066,2561.39775917317,2582.383548799607,2603.246543565308,2623.9493125343342,2644.476750856928,2664.836079769511,2685.0568465946803,2705.1909247412123,2725.3180498763795,2745.4522857435895,2765.431475326765,2785.1278441836903,2804.4686904578107,2823.4363848782295,2842.06837075971,2860.4571640026734,2878.7503530932026,2897.152807213517,2915.75566373935,2934.203114095091,2952.178314069888,2969.494868317891,2986.0968303582536,3002.0587025751333,3017.5854362176888,3033.0124314000873,3048.8054580933845,3065.1946253976457,3081.5169832498873,3097.1669883176614,3111.786434485246,3125.264452853643,3137.737511740579,3149.5894166805065,3161.451310424602,3174.1890235326496,3187.751538544512,3201.034293115625,3213.325128024467,3224.2495105941716,3233.770534692526,3242.188920731973,3250.1430156696147,3258.608793007204,3268.388113674881,3278.256310741646,3287.311045594621,3295.052423962399,3301.3273048975734,3306.32930077674,3310.5987773004886,3315.022853493416,3320.6029813107175,3326.433726802013,3331.5737332616827,3335.533914681478,3338.1296345670407,3339.4807059378904,3340.01139132744,3340.4504027829826,3341.733137799691,3343.3146454031053,3344.304390173267,3344.2502634996713,3342.9575814863156,3340.489084951702,3337.164939428834,3333.5627351652206,3330.5017077043217,3327.8476613392368,3324.7347848234303,3320.718138264542,3315.5771876938506,3309.315805066274,3302.1622682603706,3294.569261078337,3287.2138732460094,3280.4458735727185,3273.429430226731,3265.6795500753333,3256.9249726999483,3247.1002005567616,3236.3454989767197,3225.0068961655293,3213.636183203657,3202.87307922006,3192.231799142969,3181.0870537172887,3169.0933406472323,3156.1019117359756,3142.160772885656,3127.514684097373,3112.6051594711844,3098.0704672061147,3084.1143912459993,3069.966035682918,3055.18721073409,3039.53302705224,3022.9512359830933,3005.5822295653775,2987.759040530819,2970.0073423041467,2952.9593873242775,2936.2053336522135,2919.1157765942507,2901.341591994879,2882.723602034911,2863.2925752314864,2843.269226438065,2823.064216844433,2803.278153976701,2784.024509844009,2764.4128797817903,2744.4809994399534
D,13395.880375860543,12334.501929529746,11686.326566310714,11307.353847687467,11103.80666010362,11014.868927090884,11000.441728182554,11035.094528986487,11101.445837368208,11189.03204026135,11290.435532573465,11400.778510141228,11517.508737725278,11638.34391449134,11761.7370190423,11887.211523568652,12014.23898471495,12142.156310075858,12270.659139047577,12399.772435735538,12529.421161053378,12659.453426761753,12789.655861760508,12920.018596773572,13050.543802231765,13181.187933327748,13311.904960550164,13442.646369683629,13573.361161808738,13704.080742380404,13834.764576399855,13965.25792577469,14095.458243395886,14225.315448551904,14354.831926928702,14484.062530609695,14613.116668608825,14742.147329646887,14870.858332418382,14998.900675939967,15126.057594396078,15252.24455713895,15377.509268688606,15502.031668732852,15626.123932127284,15750.260300531241,15874.517015244888,15997.94974253042,16119.816587333338,16239.69648090874,16357.489180821318,16473.41527094536,16588.016161464737,16702.154088872943,16817.02479429689,16933.15829141497,17048.483480579078,17161.15691146151,17270.094158692256,17374.969821859,17476.217525507116,17575.029919139666,17673.358677217413,17773.914059673352,17878.049775891173,17981.901760665965,18081.924351044,18176.019221938204,18263.535386128147,18345.269194260043,18423.46433484678,18501.811834267886,18585.376864942253,18673.88725954255,18760.857089654204,18842.081873246716,18915.348307800094,18980.434270304853,19039.108817261993,19095.13218468302,19154.255788089937,19221.21725662838,19288.803916963374,19351.651850248414,19406.78337065801,19453.282073166934,19492.29283355027,19527.02180838338,19562.736435041916,19605.389536064664,19649.61375303332,19689.779411435284,19722.950240905822,19748.01348108665,19765.679881625932,19778.483702178266,19790.78271240469,19808.175298769325,19827.4117094351,19843.132038645334,19852.601288317215,19854.63763935595,19849.6124516548,19839.450264095038,19827.628794546003,19819.084289222003,19813.01983008163,19804.19447754317,19789.89695439085,19768.779812177007,19740.85943122201,19707.51602061434,19671.49361821056,19636.900090635292,19605.86671675799,19573.312262214975,19536.262164046304,19493.049313837975,19443.266024654862,19387.764031040704,19328.654489018096,19269.30797608853,19213.63700546497,19158.679505041393,19100.587016643036,19037.224775399674,18967.670218925,18892.212987316645,18812.35492315617,18730.81007150908,18651.504679924798,18575.701401927327,18498.647858014512,18417.623984784277,18331.107317183734,18238.768953160074,18141.473553660533,18041.27934263242,17941.4381070231,17845.864227345828,17752.028395479356,17656.018076382174,17555.656517796604,17449.949068316364,17339.083177386558,17224.428395303694,17108.536373215666,16995.140863121793,16884.946069879206,16772.41123562666,16657.768576835457
E,1254.7719497349556,1169.8644319738041,1124.1528698263542,1103.6672483607904,1099.4295589220349,1105.6982337259515,1118.7356739079107,1136.2123337889261,1156.5505899271827,1178.8238773175078,1202.3784856424509,1226.7901655862831,1251.847382163929,1277.3546082058472,1303.1803159025746,1329.2891862851786,1355.6376785986845,1382.1676741115646,1408.8532859383254,1435.695731918353,1462.6865301891994,1489.810671252963,1517.0481664306799,1544.397364017369,1571.8521426405885,1599.4028735804904,1627.0416679905538,1654.7623768975798,1682.5605912016945,1710.4425629676618,1738.3957887096146,1766.3916400717105,1794.4109569581672,1822.444084740267,1850.4908742563548,1878.5606818118404,1906.6727185849563,1934.8524201276493,1963.0455190808166,1991.1890644353152,2019.2434364531978,2047.1923466677079,2075.0428378832858,2102.8252841755652,2130.5933908913717,2158.429879540704,2186.348231463329,2214.178079252457,2241.784915786465,2269.091610695559,2296.0784103617802,2322.782937918998,2349.300193252914,2375.782553001062,2402.44229160323,2429.375889842615,2456.2085237452507,2482.604925603545,2508.3669412952327,2533.4335302833765,2557.880765616363,2581.921833927904,2605.9070354370406,2630.323708722714,2655.4173675919997,2680.487241220478,2704.886790161275,2728.232339135195,2750.403077030727,2771.541056904044,2792.051195978999,2812.6012756471287,2834.108746736002,2856.5253506202303,2878.669395306661,2899.771579042112,2919.425650452289,2937.588408541775,2954.5797026940445,2971.0824326714483,2988.1425486152257,3006.6229944447823,3025.20908377441,3042.9166214665315,3059.1976893339947,3073.8818483805103,3087.176138800652,3099.6650799798513,3112.3106704944034,3126.201479170115,3140.356722354695,3153.7396572738753,3165.807167014754,3176.351966621702,3185.5026030963636,3193.7234553976486,3201.814734441742,3210.805731183745,3220.101032944205,3228.7087589511807,3236.1198210067614,3242.1131392187353,3246.7556420005903,3250.4022660715123,3253.695956456386,3257.5502431695236,3261.8204915327537,3265.5323395701134,3268.178058572156,3269.504598034501,3269.5135856578286,3268.461327347878,3266.8588072154535,3265.471687576415,3264.699284935119,3263.593786171041,3261.595733385081,3258.3911028672774,3253.9024157419835,3248.288737967866,3241.9456803379107,3235.5053984794167,3229.702421830116,3223.982991603204,3217.6226522016,3210.2186512696885,3201.596701698685,3191.810981626627,3181.14413443838,3170.107268765633,3159.439958486904,3149.3811046668325,3139.036114839118,3127.89196180241,3115.661503690311,3102.2827258191583,3087.9187406880255,3072.9577879787303,3058.01323455582,3043.823448856685,3029.9121195948696,3015.5426452450415,3000.305502106065,2984.01375987747,2966.70308165946,2948.6317239529026,2930.280536659331,2912.352963080953,2894.982525655754,2877.1272928029584,2858.8313623433805
F,2683.62640682566,2458.3298516795912,2323.086231939492,2246.484950069294,2208.0829695441025,2194.6305825416084,2197.395775752567,2210.8443284972177,2231.1942267237773,2256.170416248833,2284.159738206731,2314.10130829068,2345.440356344758,2377.679943126972,2410.482891681439,2443.744863139933,2477.349955944418,2511.1528743663553,2545.086467945547,2579.1547683345752,2613.3401149862607,2647.6083922499247,2681.9124249876963,2716.249495190987,2750.6179139683604,2785.0062942874406,2819.4033740102745,2853.798015893337,2888.1792075875255,2922.555051530224,2956.9142282673824,2991.2186415834976,3025.4430855774776,3059.575308771023,3093.6160141086275,3127.5788589575805,3161.490949115387,3195.389116733564,3229.201196342372,3262.8426240915833,3296.2608425332546,3329.435300621726,3362.377453713622,3395.130763567851,3427.7706983456005,3460.4116601973856,3493.0710778537778,3525.521970183247,3557.586104518347,3589.1622062171964,3620.225958663468,3650.8300032664,3681.103939460787,3711.2543247069866,3741.567511175491,3772.167696808427,3802.560353292516,3832.3062594245976,3861.1468569518343,3889.0042505717183,3915.9812079320673,3942.36115963103,3968.60819921708,3995.366975194242,4022.956878118283,4050.459184157709,4077.0334132537664,4102.181956297993,4125.750075132203,4147.925902548511,4169.240442289304,4190.567569047264,4213.106674860179,4236.792512747698,4260.089284073623,4282.001728406152,4302.005671533397,4320.0480254633785,4336.546788424029,4352.39104486319,4368.940965448614,4387.317752270339,4405.816095572392,4423.1650223931465,4438.658570111761,4452.079116535629,4463.697379900368,4474.27241886983,4485.0516325360995,4497.445517781198,4510.18509154095,4521.933645664444,4531.992899754392,4540.097962299997,4546.417330676937,4551.5528911473775,4556.539918859962,4562.708973196507,4569.290980803726,4575.009377325014,4579.211103856319,4581.613808184258,4582.305844786119,4581.746274829858,4580.7648661741005,4580.539596108283,4580.883497798506,4580.5442862319405,4578.871737247295,4575.542636395938,4570.560778941896,4564.256969861851,4557.2890238451455,4550.64176529377,4544.828154331928,4538.6308746467585,4531.333661079733,4522.53500685543,4512.136710845723,4500.343877569789,4487.664917194098,4474.911545532423,4463.026552746096,4451.299282048141,4438.800761367966,4425.014881750371,4409.718626851488,4392.982072938768,4375.168388890992,4356.9338361982645,4339.227768962019,4322.357432778248,4305.174067991738,4287.0177113137615,4267.5189907707,4246.598154337323,4224.465069936774,4201.619225440582,4178.849728668655,4157.106823898471,4135.7790044116855,4113.915139033459,4090.9852626897227,4066.7472234280226,4041.2466824175212,4014.81711394899,3988.0798054348184,3961.9438574090145,3936.580728734446,3910.6414337165743,3884.182675849708
G,641.0633176633943,595.7909427537106,572.7106405126277,563.9199422970995,564.3534328238417,570.780354157721,581.1024942269472,594.0164517678631,608.6409585587429,624.4611050173257,641.1140531228324,658.3651950180619,676.0991907329249,694.2088057589712,712.6223947184011,731.3222663738121,750.2857762919037,769.4818226058047,788.8973314431067,808.5345091102644,828.3899678547854,848.4564939629083,868.7239107718193,889.1923139635363,909.8596215710867,930.7216421775363,951.7749371331258,973.0168205552706,994.445359328561,1016.0647442575671,1037.868953487716,1059.842606101498,1081.9755289786717,1104.2627783383593,1126.7046397390466,1149.3066280785836,1172.0797249441764,1195.04039392628,1218.1571644638793,1241.3923071281245,1264.722084744208,1288.1367523913661,1311.6405574028774,1335.2517393660623,1359.0025301222836,1382.944134133415,1407.0902083023764,1431.3305859410257,1455.5772202744981,1479.779394333534,1503.9237209544792,1528.034142779286,1552.1719322555089,1576.4356916363126,1600.9642059167925,1625.8362436109821,1650.7942169227822,1675.6011911983717,1700.1165570105716,1724.2960301588466,1748.1916516693038,1771.9517877946928,1795.8211300144083,1820.1406759922656,1845.106637042298,1870.216773260124,1894.9811378270986,1919.1078906020186,1942.5032981211255,1965.2717335981004,1987.7156769240694,2010.3357146675983,2033.8215731025516,2058.168242667867,2082.4598860566257,2106.074066898526,2128.6800893574896,2150.238998131659,2171.0035784533975,2191.5183560892897,2212.6195973401414,2235.011456331239,2257.6499112164433,2279.696953327878,2300.679735608498,2320.447311400295,2339.1706344442932,2357.342558880554,2375.777839248168,2395.406111845117,2415.4107455444932,2434.868023312951,2453.28116573245,2470.4565005545883,2486.503462700607,2501.834594261384,2517.1655444974376,2533.422209313573,2550.08781988638,2566.234377365249,2581.368408437241,2595.2714722190117,2608.0001602568095,2619.886096526476,2631.5359374334475,2643.8155159177136,2656.6070088948077,2668.956923660827,2680.343886961279,2690.504089576449,2699.431286321408,2707.376796046009,2714.8495016348847,2722.615850007455,2731.090872236416,2739.31452047809,2746.680191582169,2752.8431231135028,2757.7120220639104,2761.449064852192,2764.4698973241266,2767.4436347524666,2771.1553349784317,2775.0317476533764,2778.260239948964,2780.375696567738,2781.172081559652,2780.7024383220687,2779.278889599759,2777.472637484903,2776.1139634170922,2775.489738317211,2774.578661444479,2772.7588361477933,2769.6785156493484,2765.255299217304,2759.6761321657805,2753.3973058548618,2747.144457690594,2741.7976943081544,2736.8092827811047,2731.2659327771667,2724.6453791032427,2716.7050559898166,2707.4820970909536,2697.2933354843,2686.7353036710824,2676.6842335761085,2667.301451874562,2657.2737206973247,2646.6515708466845
H,613.8995052923653,571.5935358417574,550.2496460605425,542.320163959594,542.9667196128961,549.1040398892102,558.7296081842227,570.6004865810552,583.8773718324977,598.0707208750907,612.8361628126903,627.9515393724445,643.3082165679249,658.8051357340685,674.3750058594501,690.0016747557514,705.6642009583963,721.3335898172666,736.9979830210353,752.6597203954046,768.31589769527,783.9601594687726,799.5835309865544,815.1868023322003,830.7681252340519,846.323814188626,861.851203040047,877.3486449800456,892.8155125479601,908.2568672807311,923.6675822731742,939.0339342255004,954.3472785402038,969.6040690867278,984.8058582014659,999.959296687762,1015.0763057184121,1030.171445791296,1045.2179244269382,1060.1847276333572,1075.052875223257,1089.8154208140256,1104.477451827737,1119.0560894911498,1133.5804888357068,1148.0943684729284,1162.6047113055595,1177.027095178783,1191.29534684654,1205.372047622758,1219.2485333813481,1232.944894556207,1246.509976141214,1260.021377690237,1273.5865250722586,1287.2524030716484,1300.8344821089315,1314.1687698202434,1327.1587658584804,1339.7754618933025,1352.0573416111276,1364.1103807151376,1376.1080469252736,1388.291261490701,1400.78085823531,1413.2334083889068,1425.3332226430182,1436.8933188704036,1447.855422125056,1458.2899646421995,1468.3960858382936,1478.5016323110285,1489.0567359234244,1500.0400325830851,1510.8730324792232,1521.1784171241247,1530.7572609617732,1539.5890313678506,1547.831588649735,1555.821186046504,1564.0724697289327,1573.0114279382979,1581.9941912713266,1590.534238652883,1598.3606178337543,1605.3893904884399,1611.7236322151546,1617.6534325358266,1623.6558948960972,1630.271538502904,1637.0175052221794,1643.3770949430527,1649.078783192967,1654.019146173826,1658.2628607619945,1662.042704508299,1665.7595556380272,1669.9293231657518,1674.2570713924588,1678.2436901932597,1681.631636641126,1684.3091615694075,1686.3103095718304,1687.8149190025013,1689.1486219759022,1690.7741054935796,1692.6210871581611,1694.194541420303,1695.234291723544,1695.6106535458503,1695.3244343996093,1694.5069338316357,1693.4199434231675,1692.4557467898678,1691.8208966326054,1691.030025588055,1689.792519232441,1687.9450788307095,1685.4472328684815,1682.381337052053,1678.9525743083952,1675.4889547851528,1672.3723602772886,1669.3179969257476,1665.9456298393002,1662.042509847728,1657.5163095039006,1652.3951230837833,1646.8274665864283,1641.0822777339813,1635.5489159716801,1630.355931843237,1625.030935165813,1619.2982640053892,1613.0033251981995,1606.1122021145236,1598.7116546586897,1591.0091192690736,1583.3327089180966,1576.0782850585274,1568.9941169192437,1561.6802693626028,1553.9122422256523,1545.5870953959127,1536.7234488113754,1527.4614824605078,1518.0629363822484,1508.9111106660105,1500.0778805274306,1490.9932079349,1481.6806834673012
I,1256.366331091945,1157.98584657422,1101.612173323931,1072.3651140191248,1060.6200885067374,1060.1809607259802,1066.9906291476477,1078.5001780888638,1092.977507811505,1109.394367310393,1127.0252136939564,1145.39770244301,1164.272526144463,1183.4328130848548,1202.733543222147,1222.1361168277688,1241.594794393052,1261.048953334761,1280.4735115586454,1299.8754369867263,1319.2511926125553,1338.5893962570394,1357.8723683894475,1377.1025977831519,1396.2832540528098,1415.412859014739,1434.4897033273382,1453.5118464910843,1472.4771168485347,1491.391792405088,1510.2544001394872,1529.0515513355926,1547.7751884557706,1566.422613548845,1584.9964882501004,1603.5048337812782,1621.9612581049073,1640.3844317745195,1658.7458287492816,1677.0109462444636,1695.1590006160884,1713.182927360936,1731.0893811165406,1748.8987356611915,1766.645083913933,1784.3799311993098,1802.11498937696,1819.7508189238483,1837.2090696955436,1854.4456403085035,1871.4506781400764,1888.2485793285011,1904.8979887729047,1921.4918001333078,1938.15904288581,1954.9644584585221,1971.6820619780747,1988.107795929698,2004.121603764637,2019.6874299001545,2034.8532197195275,2049.7509195720495,2064.59647677303,2079.6898083303613,2095.1936805285454,2110.6763777302067,2125.7280824384684,2140.1058841551744,2153.7337793808883,2166.7026716148957,2179.270371355202,2191.8615960985317,2205.060048497553,2218.8516318788734,2232.476008139885,2245.4266216781202,2257.4359903307914,2268.475705374795,2278.756431526709,2288.727906942795,2299.078943218996,2310.384142338211,2321.7845449083356,2332.6135402852024,2342.4981746353274,2351.3221244279935,2359.225696435248,2366.6058277319034,2374.1160856955375,2382.4985006649777,2391.0943356499192,2399.185837006944,2406.3931644073555,2412.5708859526435,2417.8079781744846,2422.427826034742,2426.9882229254636,2432.2078189827844,2437.67746576408,2442.6961074070196,2446.8995534867495,2450.1290906728723,2452.4314827294515,2454.058970515007,2455.4692719825157,2457.3133269998266,2459.4929215153406,2461.307609169132,2462.3869789997957,2462.5458148606526,2461.78409541975,2460.286994159861,2458.424879378486,2456.7533141878484,2455.5650815336267,2454.170330035659,2452.1539270544054,2449.282120903278,2445.4961978694164,2440.912482213681,2435.8223361706587,2430.6921599486627,2426.0652150952305,2421.5350579518968,2416.5584984366456,2410.8311048159853,2404.220295360509,2396.765338344899,2388.677352047923,2380.339304752436,2372.3060147453825,2364.75974471402,2357.0258274325997,2348.710964849409,2339.5943572703954,2329.6271426359917,2318.932396521114,2307.805132135164,2296.7123003220286,2286.217117110785,2275.9590232168052,2265.3695957355258,2254.1303072419078,2242.094988097359,2229.2898264497344,2215.9133682333354,2202.336517168912,2189.1025347636623,2176.3133626039485,2163.161003833975,2149.6786828850804
J,650.1243426909649,620.2381310751884,609.9995241991089,612.2736311570891,622.5494833279079,637.9924847973608,656.787384151542,677.8286270819744,700.3770241795401,724.0138024156677,748.4461693765453,773.4886540982156,799.0569523222541,825.0692326563615,851.4722223225991,878.257606802256,905.4111443192983,932.910286899481,960.7474711209118,988.9268727475657,1017.4476069119048,1046.3056581707576,1075.4946589930018,1105.0167967285765,1134.8705193851865,1165.0526722419422,1195.5613518512823,1226.3959060389702,1257.5569339040978,1289.0515207595236,1320.8737286122227,1353.007341112504,1385.4422610117404,1418.1745334018306,1451.2063457151994,1484.5460277247969,1518.208344124107,1552.215106388457,1586.5305061144854,1621.1109115734646,1655.929472778906,1690.9761214865662,1726.2575711944442,1761.7973171427832,1797.635636314068,1833.836523599101,1870.421449670194,1907.2551571665679,1944.2292700781547,1981.2819401432873,2018.3978468486996,2055.608197429527,2092.9907268693037,2130.66969789997,2168.8203431981415,2207.554362238774,2246.5426633827765,2285.478171058231,2324.1790328146208,2362.5886193228325,2400.7755243751503,2438.933564885263,2477.3817808882604,2516.5644390242114,2556.7585893405508,2597.305307966576,2637.5401080772763,2677.067244460634,2715.759713517627,2753.7592532622257,2791.4763433214002,2829.590204935108,2869.037550066916,2909.843530805047,2950.744750954311,2990.8595823434252,3029.719124573611,3067.2672050185956,3103.86037882461,3140.26792891039,3177.671865967174,3217.082666536187,3257.0390579687914,3296.3096984516314,3334.1949776068823,3370.4699268188087,3405.3842192337524,3439.6621697601413,3474.5027350684845,3511.2820366126543,3548.821347595271,3585.716882121102,3621.2013037931483,3654.97321708088,3687.1971673202343,3718.503640713615,3749.989064329896,3783.077287535819,3817.002495399361,3850.3007267179937,3882.17475999281,3912.268888912499,3940.668922353335,3967.902184379189,3994.9375142415256,4023.1608503663324,4052.413891195663,4081.1373874656683,4108.448045028213,4133.895672140923,4157.463179467199,4179.566580076202,4201.054989442862,4223.210625447879,4246.7525630262135,4270.066152756452,4292.0724362658575,4312.1536721511975,4330.140177629962,4346.310328540354,4361.390559341305,4376.555363112466,4393.194601462955,4410.331758715981,4426.4697678877155,4440.731426824023,4452.722546042823,4462.531948734088,4470.731470759839,4478.375960654159,4487.003279623182,4497.184423633236,4507.002539871011,4515.220455954696,4521.133228044253,4524.566751067835,4525.87775872179,4525.953823470658,4526.213356547169,4528.390262547414,4531.458265419438,4533.543592077412,4533.543846371614,4530.940047508646,4525.796630051421,4518.7614439191675,4511.0657543874295,4504.524242088069,4499.459364251095,4493.119339294481,4485.601663371148
