Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,15.742215757127415,19.00340747623329,22.48355786874142,26.00877555726109,29.475466140392907,32.82534111258857,36.02774405968273,39.07101629714534,41.953011344180815,44.679613189292404,47.259262576245455,49.70234766967758,52.02104327180389,54.22647314923653,56.32948380979346,58.34121754414064,60.271670983485706,62.12963267325206,63.923488830602906,65.66117742469122,67.34978106273606,68.99561731917665,70.60427124855066,72.18106994378572,73.73068738988083,75.25730681687153,76.76474305644258,78.25644254192778,79.73548330831017,81.2047668422892,82.66668284090348,84.12311554240178,85.57585252412443,87.02658534495167,88.47690954530368,89.92832464714057,91.38223905440842,92.84001992470533,94.30201785980287,95.76833836569416,97.23923482071538,98.71510847554579,100.19650845320791,101.68413174906722,103.17882323083231,104.68166990138485,106.19307745485504,107.71122572146908,109.23461711422982,110.7623472689421,112.29410504421271,113.83017252145063,115.37142500486667,116.91933102147377,118.47600210182267,120.0425036978641,121.61411604502092,123.18643927929034,124.75669369202484,126.32371972993205,127.8879779950748,129.45154924487113,131.01813439209434,132.59305405669215,134.17904798143346,135.76705659233969,137.34830975133946,138.91735059822224,140.47203555063805,142.01353430409773,143.54632983197268,145.0782183854951,146.62015237296595,148.17119380534865,149.71550605630802,151.2422859446131,152.7454921980627,154.22384545348547,155.6808282567398,157.12468506271398,158.56842223532593,160.0227591908983,161.46986018011313,162.89576654129206,164.29235275052395,165.65658565443925,166.99052447021012,168.3013207855503,169.6012185587153,170.9042170003439,172.1965564786703,173.46335814125504,174.6964352932347,175.89223437543876,177.0518349643898,178.1809497723033,179.2899246470879,180.3922880543241,181.47935271916668,182.53671149814596,183.556603666362,184.5353198095051,185.47320182385556,186.37464291628396,187.24808760425094,188.10579106808026,188.94532373190756,189.75247083817598,190.51951081120745,191.2423656045167,191.92060070081106,192.5574251119908,193.1596913791487,193.7378955725705,194.29741142254252,194.82444037764034,195.310595012843,195.7510422469927,196.14437901350502,196.49263226036905,196.80125895014754,197.07914605997652,197.33669430859908,197.56583989258567,197.75595036875345,197.90105096832662,197.9985098309084,198.04903800448142,198.05668944540753,198.0288610184278,197.97629249666247,197.9025159924139,197.79459800404123,197.64511610319565,197.4499665512044,197.20835337295975,196.9227883569187,196.59909105510317,196.24638878309986,195.87565896945966,195.48020036126883,195.0495042534189,194.5778472859309,194.06277485716413,193.50510112381613,192.90890900092276,192.28155016185812,191.63364503833455,190.9675234283515,190.26837395984862,189.53723031173763
B,6.178718709088306,8.280811403107364,10.615514201182053,13.058825042129893,15.535690598728504,18.002244000399962,20.433417468043217,22.817054578703623,25.147396923215254,27.424195111492367,29.649016267431882,31.8248959009851,33.95625308868141,36.047024344804704,38.10119267647261,40.123133840089444,42.116692013494315,44.085151686488125,46.031726928464636,47.95948652160108,49.871118086428716,51.76899040106962,53.6551734810823,55.53168309433069,57.40016415992672,59.26206327481238,61.11871522167721,62.97134296895819,64.82105767083983,66.66897038718784,68.51573389039542,70.36166678720436,72.2071453955646,74.05260427805524,75.89853624188471,77.74549233889053,79.59408646982628,81.44492334376734,83.29742939253396,85.150869666746,87.00478621478518,88.85899808279501,90.71360131468086,92.56896895211005,94.42575103451158,96.28494862073018,98.14657198923092,100.00812612958617,101.86757663627795,103.72363787980673,105.57577300669149,107.4241939394697,109.26986137669714,111.11448479294822,112.96055526798264,114.80897232480275,116.65430854255484,118.49165700846027,120.31793207114113,122.13186934062068,123.93402568832315,125.72677924707354,127.51432941109823,129.3026958078447,131.0946357639416,132.88026427393262,134.650428905331,136.39947388270576,138.12524008768176,139.8290650589397,141.51578299221623,143.19372474030365,144.8745417943053,146.55701041276106,148.2248243406674,149.86716943517717,151.47805583511936,153.05631796099894,154.60561451499734,156.1344284809719,157.65606712445617,159.18141410173436,160.69243847818822,162.17548459147676,163.62269274032747,165.03121928224556,166.4032366335137,167.74593326919225,169.0715137231194,170.3938753841679,171.69949049042808,172.9740553670833,174.20982242611169,175.40351448592787,176.55632477138315,177.6739169137655,178.7664249507995,179.84703986731247,180.90742980522265,181.93396917089578,182.9194479495531,183.8605010290683,184.75760819996702,185.6150941554276,186.44112849128055,187.2474947942577,188.03195592815115,188.78123613034543,189.48826472219457,190.14938036542435,190.76433106213221,191.33627415478702,191.8717763262294,192.38081359967146,192.86851795975593,193.3221141399077,193.73399385701657,194.09983765305108,194.41849691007334,194.69199385023956,194.92552153579956,195.12744386909705,195.30751052575442,195.4583483436644,195.5703241165301,195.63810459708796,195.65941687386717,195.63504837118936,195.56884684916872,195.4677204037119,195.3416374665181,195.19392528559155,195.0128580660211,194.7918058682465,194.527156403985,194.21830494412657,193.86765431873397,193.48061491704289,193.06560468746164,192.63271831038276,192.17593595322685,191.6858158137631,191.15726947608326,190.58817003550345,189.97935209856402,189.33461178302989,188.6607067178902,187.9673560433586,187.25675405505245,186.51554407962058,185.74474226067045
C,35.50835385547934,40.6581812467027,46.04148757088167,51.423887899907996,56.66743126777279,61.696096005833944,66.4714292719107,70.9806908762423,75.223823894778,79.21146648448541,82.95746578543856,86.47807733333103,89.79177543924882,92.91540157757692,95.86524532236544,98.65783208542852,101.30799809818606,103.82882063257377,106.23272237568187,108.53139167503369,110.73528114529839,112.8537435754139,114.8950772517815,116.86716444989987,118.7769048251837,120.63049707812421,122.43361625819634,124.19141376385858,125.90851734255303,127.58927586749861,129.23728332094274,130.85543458569407,132.44648490552672,134.01305074080673,135.55760976849209,137.08250088213262,138.58992931413434,140.081955629252,141.55936308760388,143.02265007787673,144.47248107696993,145.9096866499952,147.33526345027687,148.7503742193516,150.15634778696858,151.55475156976794,152.946209697165,154.3290035279977,155.7017866796942,157.0638518489155,158.41513081155543,159.75619442274092,161.0882526168316,162.41315440742017,163.73342029288426,165.05015586243476,166.35871253195228,167.65488204107513,168.93609104919074,170.2014011354358,171.451508798696,172.68874545760633,173.917077450551,175.14210516045904,176.36651191677552,177.58150198174837,178.7788995193469,179.95370810863992,181.10411074379604,182.23146983408301,183.3403272038683,184.4384040926188,185.53644135938185,186.63347218869373,187.7147783691707,188.7706365635571,189.79572573309406,190.789127137519,191.75432433506597,192.69920318246548,193.6360518349445,194.57493509346526,195.49952100049717,196.39751181768384,197.2618959911095,198.0902337352727,198.8846570330861,199.6518696358768,200.40314706338617,201.15129609806596,201.8840866932835,202.58866969589093,203.2581687566859,203.88976280482407,204.48468604781928,205.0482279715432,205.5897333402257,206.1213121929958,206.6354849162079,207.12006775188527,207.56870572274735,207.97850745898947,208.3500451982835,208.68735478577707,208.99793567409432,209.2925412021409,209.56922384556984,209.81615541921627,210.0271296486285,210.19898966818488,210.3316280210935,210.42798665939264,210.4940569439504,210.53887964446486,210.56712563392645,210.56743157796592,210.53311179931495,210.46040974255888,210.3483914803968,210.19894571364168,210.0167837712204,209.8094396101736,209.58567478042124,209.33896107155337,209.06077490706812,208.7464260928861,208.3939472251185,208.0040936900665,207.58034366422203,207.12889811426712,206.65868079707417,206.17269936414587,205.66052329565235,205.11624809044977,204.5366655170709,203.92125464185432,203.2721818289445,202.59430074029135,201.89515233565092,201.1837799391712,200.45482687384643,199.69979544529818,198.91408466593205,198.0957627337788,197.2455670324952,196.36690413136316,195.46584978529046,194.5511489348105,193.62474601363925,192.67454682293874,191.70144069153918
D,152.69601232821674,179.28418771757072,207.24536154709406,235.301399330351,262.69618423691236,289.0093512804981,314.0246460672657,337.66574456169576,359.92572573142075,380.85621737105873,400.5268065514908,419.0206428037134,436.4333537450577,452.8521226522836,468.3615159293632,483.0477145765177,496.98803930814705,510.2505620831457,522.9000682694418,534.9975745705451,546.5976130830144,557.7489693459684,568.4949273795476,578.8766739079944,588.9301602873976,598.6876925770915,608.1789006076486,617.4307379808782,626.4674820698269,635.3119778036278,643.9829655536332,652.4955215036156,660.8640640022662,669.1023580750309,677.2235154241096,685.2399944284559,693.1636240668172,701.005288897905,708.7691345299344,716.4579322390293,724.0753476857562,731.6259409151232,739.1151663565813,746.5493728240237,753.9358035157852,761.2829056524864,768.5939476293516,775.8604270846893,783.0757895586275,790.2367334716641,797.343210124666,804.398423698869,811.4088312558782,818.3841427376686,825.3374696804033,832.2744875657688,839.1719138006871,846.0087722009766,852.7723203625285,859.4580496613079,866.0696852533531,872.6191860747751,879.1267448417595,885.6207836976805,892.115049218076,898.5653312796233,904.9304884337733,911.1854250058025,917.3210910948102,923.3444825737193,929.2786410892787,935.1626540620588,941.0508553552244,946.9386983937874,952.7517265949407,958.4405621109934,963.9781936564615,969.3599765080698,974.6036325047511,979.7492500476467,984.8592841001048,989.985018087648,995.0435535270481,999.9719196740625,1004.7341481983976,1009.3176796614525,1013.7333635163172,1018.0154581077741,1022.2216306722967,1026.417447183478,1030.540377096247,1034.5241461196867,1038.3331265382485,1041.9526158261258,1045.388836647255,1048.668936855315,1051.8409894937272,1054.96736451498,1058.009504604123,1060.9040811299035,1063.6178384637622,1066.1355301879632,1068.4599190955955,1070.6117771905726,1072.6298856876322,1074.5699507235092,1076.4218317241446,1078.1236185594246,1079.642525466338,1080.961745466444,1082.0804503658753,1083.0137907553333,1083.7928960100935,1084.4648742900013,1085.0540767111422,1085.5007055676267,1085.7691638333522,1085.839313348808,1085.7059215782706,1085.3786616098023,1084.8821121552517,1084.255757550255,1083.5456102286737,1082.7170953963403,1081.724679436631,1080.5430939393807,1079.1615555129144,1077.5837657840455,1075.8279113980775,1073.9266640188023,1071.9271803285023,1069.8453123501474,1067.6252774756206,1065.2351457457187,1062.6574247977987,1059.889012517222,1056.9411970373565,1053.839656739574,1050.6244602532508,1047.3437520832974,1043.9687430786862,1040.4535138311553,1036.7730059689209,1032.9165313646085,1028.8877721352535,1024.7047806423013,1020.3999794916077,1016.0201615334386,1011.5755406452279,1007.0008006173016,1002.300483689692
E,13.680236728123276,16.097871470786902,18.729096720685764,21.447487973111983,24.177381766379543,26.875359856954336,29.517351993360442,32.09252258383022,34.596505652619484,37.03049958581678,39.39744402420902,41.70167232887561,43.94883709757032,46.14398816640292,48.29213035001775,50.39858800256192,52.468063680750106,54.50461434698473,56.51216310788416,58.4944220236033,60.454663702517884,62.39578963764549,64.32035125959675,66.23080673345503,68.12919558388202,70.01732562533688,71.89686405595592,73.76933745755234,75.63613179561646,77.49860671696814,79.35764469961802,81.21377597006041,83.06757125329243,84.91964230929327,86.77064193302446,88.6212639544296,90.47224773864187,92.32431012435246,94.17701000220447,96.0297397525853,97.8821527189026,99.73416320758426,101.5859464880784,103.43793879285342,105.2908373173978,107.14567402650869,109.00252180096614,110.85900696723454,112.71319863866151,114.56389069145911,116.4106017647037,118.2535752603363,120.09377934316214,121.93290694085107,123.77341041897677,125.61622769303588,127.45607835856876,129.28817507634596,131.10951557234912,132.91888263777102,134.71684412901556,136.5057529676976,138.28974714064347,140.07474877794579,141.86354280649462,143.6464257386574,145.414346347163,147.1617176832229,148.88641707653088,150.5897861352632,152.27663074607867,153.95522107411827,155.63711951937836,157.32120802275674,158.99127982937244,160.63652864943302,162.2509744508761,163.83346345936943,165.38766815831085,166.9220872888284,168.45004584978014,169.98247503965,171.50137249864397,172.99298171337517,174.44937885899517,175.86770118209796,177.25014700072032,178.60397570434148,179.94150775388331,181.27678396046298,182.5961971357844,183.88523947106867,185.1360321229073,186.34524106213706,187.51407707383987,188.64829575734277,189.75819752621805,190.85719615633136,191.93685351520998,192.98324949812263,193.98898675943485,194.9506052583463,195.868582258891,196.7473323299369,197.5952073451864,198.42426126734182,199.2322267240359,200.00544635962274,200.73659596302628,201.4218694233998,202.0609787301263,202.65715397281775,203.2171433413158,203.7512131256913,204.2646612776852,204.74426857084921,205.1820758045086,205.5735446490911,205.91743698373955,206.21581489631168,206.47404068338054,206.7007768502341,206.9061398669068,207.0824567736254,207.2195832713141,207.31185838977927,207.35683709594173,207.3552902938365,207.31120482461304,207.23178346653506,207.12744493498067,207.00167834838723,206.84209359906689,206.6415831872414,206.39624346193483,206.1053641356309,205.7714282842726,205.40011234726228,205.00028612746206,204.5826111629716,204.14069347088724,203.66437279002065,203.1481122578262,202.58955321646886,201.9895152128242,201.35199599847817,200.68417152972768,199.99639596758004,199.29094912384295,198.55342595620527,197.78484735511185
F,24.414634475649656,30.089034958716162,36.172273708011836,42.36234549459542,48.4783525427265,54.41729750160541,60.123601129626316,65.57428697276217,70.76268398252994,75.69594507361356,80.38567659608198,84.84692901401574,89.09793329688387,93.15527389139181,97.03521865165882,100.75466768080454,104.32872575872923,107.77060829551212,111.09298387800106,114.30784804116553,117.42587712501152,120.45659030887224,123.40840437012369,126.28938121475647,129.10649332188737,131.8659834296968,134.57358294504186,137.23451194345608,139.85347916914955,142.43496153533565,144.98248462144417,147.49876254020896,149.98643802101438,152.4480834923364,154.8862010817425,157.30322261589174,159.70151590168948,162.08326756823288,164.44887819012155,166.79844029269614,169.13235235624316,171.4513188159947,173.7563500621286,176.0487624397683,178.33017824898275,180.60260585055914,182.86660329659773,185.11947507525898,187.35910418588878,189.58431214018927,191.79485896221811,193.99144318838933,196.17570186747255,198.35021056059375,200.51851908258493,202.68201789627147,204.83408708681748,206.96879261875964,209.0824968492153,211.1738585278821,213.24383279703832,215.2956711915426,217.33492163883437,219.3694271249657,221.40286693350984,223.42293921487865,225.4182911710209,227.3819817426361,229.3114816091742,231.20867318883617,233.0798506385735,234.93571985408855,236.7911771535586,238.64488825477767,240.4764139762948,242.27223420981184,244.02494000380017,245.73323356350053,247.40192825092336,249.04194858484863,250.67033024082554,252.30105697013494,253.91146596494656,255.4843485793306,257.0098661077953,258.48456747451905,259.9113892333509,261.29965556781036,262.6650782910872,264.02553177481934,265.3639652925273,266.6622570757658,267.9106487132569,269.1051022625961,270.2473002502526,271.34464567156823,272.410261990759,273.4611865209141,274.4869096166027,275.4700801306791,276.4015627332338,277.27716322979506,278.09762856132915,278.8686468042405,279.6008471703708,280.30950375832964,280.99187227199275,281.63094889225425,282.2176977124835,282.7474854039847,283.22008121599697,283.6396569756942,284.0147870881854,284.3584485365144,284.67737643971685,284.9551150642196,285.1818244636806,285.35193944496234,285.4640179763656,285.52074118762994,285.5289133699333,285.49946197589225,285.4451274093321,285.3563895497376,285.2206405236648,285.030879166151,284.7841243755258,284.4814151134105,284.12781040471884,283.7323893376565,283.30825106372146,282.8598299514253,282.37166550863793,281.8348877980694,281.24464452895234,280.60008796606667,279.9043749297385,279.16466679584136,278.39212949579513,277.60018020800845,276.78084848952705,275.9213567814174,275.01473185134915,274.0580089668339,273.0522318952247,272.0024529037166,270.91773275934577,269.81114072899067,268.6855432669222,267.52273948851644,266.32401457053413
G,5.442716044585087,6.889620725725358,8.470034797142764,10.106095929062324,11.75122674006371,13.378763213082463,14.974019703083478,16.530514100826604,18.045792453670938,19.520858388045685,20.95780556551799,22.35959555285336,23.730008038800076,25.07244373636819,26.390267828745635,27.687040066566606,28.965922813434872,30.229663522513054,31.480916971324746,32.722205286366986,33.95576551636033,35.18359012039619,36.407439913490954,37.6290122793553,38.84975375389644,40.07095654278304,41.293811986571924,42.5194105607079,43.74874187552384,44.982768471778094,46.222187189337525,47.46748184480716,48.71914463660132,49.97767645850825,51.24358689969016,52.517394244683146,53.799628361350685,55.09082065041311,56.390842290757945,57.699451122344314,59.016545652479955,60.34216505582117,61.67648917437285,63.019838517488495,64.37267426187007,65.73565910812006,67.10896222591677,68.49120818979229,69.88127199258601,71.27846566715161,72.68253828635709,74.09367596308472,75.512501850231,76.94007614070684,78.37793285468385,79.82687853139765,81.28354666427818,82.74480005606905,84.20867482396099,85.67438039959164,87.14229952904569,88.61398827285463,90.0921760059972,91.5807652556352,93.08191476840061,94.58909235564691,96.09584998392675,97.59819738315593,99.09460204661343,100.58598923094132,102.07574195614492,103.56970100559262,105.07605555950596,106.59440957113102,108.11287569685346,109.62316956684138,111.12067389720139,112.60443848997856,114.07718023315661,115.54528310065768,117.01879815234247,118.50614554184897,119.99373032741399,121.4703880222473,122.92958224677112,124.36887041926323,125.78990375585715,127.19842727054218,128.60427977516323,130.0187788057354,131.43106710520624,132.82875407122205,134.20489487647706,135.55644467631708,136.88425860873943,138.19309179439267,139.4915993365771,140.79115201213017,142.08463374729828,143.35948419794082,144.60872929158586,145.82897712616693,147.02041797002298,148.18682426189804,149.33555061094174,150.4773298977771,151.6101871952164,152.72115786639333,153.80286294410627,154.85132109506208,155.86594861987612,156.84955945307243,157.8083651630834,158.75197495224998,159.68544262203523,160.59570831564946,161.47425456905395,162.316058913858,163.11948561151326,163.8862856533138,164.62159676039613,165.33394338373932,166.03342583498747,166.71215312028656,167.35889162994974,167.9670542894568,168.5335587282885,169.05882727992696,169.54678698185518,170.00486957555734,170.44401150651876,170.86792959667758,171.26267759438193,171.6195958954381,171.93372143878565,172.20377706415098,172.43217151204755,172.62499942377576,172.79204134142307,172.9452164222187,173.07711113529652,173.17517056305206,173.23217773000286,173.24478409904543,173.21350957145532,173.14274248688713,173.04073962337455,172.91962619733016,172.7817169858462,172.60905701783176,172.40245974012274
H,5.185480289379822,6.7579949611006676,8.484105053122592,10.27839591464675,12.08919135155953,13.886295878469344,15.652450187169825,17.379274175320973,19.062779272431857,20.702760493496022,22.300256019684433,23.857310940629933,25.37692145072321,26.861754134916016,28.31451162803186,29.73817018695278,31.135347843737343,32.508286372674405,33.85918649987135,35.19015521658093,36.50304634207432,37.79950377009766,39.08097495376307,40.348875687698005,41.60437810211255,42.848525391219376,44.08228975881231,45.30657241826614,46.52220359253677,47.730010488128414,48.9305293573953,50.1240876724367,51.311048838744256,52.49181252594305,53.66681466779179,54.83652746218266,56.00146178248534,57.162100742170196,58.31823119637991,59.46955387693366,60.61593046940889,61.757383613141364,62.894096901225176,64.0264148805127,65.15484305161456,66.28008099659536,67.40222124539658,68.51997644651166,69.63232336075015,70.73865657201272,71.83878848729108,72.93294933666812,74.02178717331773,75.10636787350509,76.18818994012152,77.26781547022917,78.34235311040031,79.40921599323185,80.46681354724095,81.51455149686478,82.55283186246075,83.58305296030625,84.60760940259891,85.62989152829734,86.65149782063446,87.66710925352535,88.67181112121919,89.662599345745,90.63838047691164,91.59997169230796,92.55010079730265,93.49340622504418,94.43634225460217,95.37837169326512,96.31062518379434,97.22720883615061,98.12489204982687,99.00310751384815,99.86395120677167,100.71218239668683,101.55522364121508,102.3991913124754,103.23423142443536,104.05276873077065,104.8504618678136,105.62578168743799,106.38001125705891,107.11724585963302,107.84439299365826,108.56932544854847,109.2845724756775,109.98207477488803,110.65746556087589,111.30892767771395,111.93719359885169,112.54554542711551,113.1398148947085,113.72758524878216,114.30420850536879,114.86187487809802,115.39643303046883,115.90596413166332,116.39078185654687,116.8534323856677,117.29869440525724,117.73344685033307,118.15648121567301,118.56005477572415,118.93999647333034,119.29415329760927,119.62239028395213,119.92659051402381,120.21065511576288,120.48050326338148,120.7392301895674,120.97927348192313,121.19602469245805,121.3868614118634,121.55107900372677,121.68989060453197,121.8064271236593,121.9057372433854,121.99372470884967,122.06598012390658,122.11654896793962,122.14208968639817,122.1411575920316,122.11420486488946,122.06358055232131,121.99353056897696,121.91019769680625,121.8156815889364,121.7026500799479,121.5668178970822,121.40582189886086,121.21921500311866,121.00846618700349,120.77696048697656,120.5299989988121,120.2739693897437,120.0050739923357,119.71711020703842,119.40665232719067,119.07221864412277,118.71427144715642,118.33521702360493,117.939405658773,117.53313163595682,117.11774319878478,116.68437600031011,116.23361494207
I,12.143513945980036,15.032127685374585,18.14860158337349,21.339914922514918,24.514054038113137,27.618066633880737,30.622661974270983,33.514801941174596,36.28953460927545,38.94881094215207,41.49682356749442,43.93953539409545,46.28456285667652,48.5387981968617,50.70907601847965,52.8026319160594,54.82591576324651,56.78455062544559,58.68397836057663,60.52938866482939,62.325403401068094,64.07615481484864,65.78531080142736,67.45641789691626,69.09255387663508,70.69649032411351,72.2707933857713,73.81782377091812,75.33973675175362,76.83860365560443,78.31606871310709,79.77342125106532,81.21193422038772,82.63286468435541,84.03745381862228,85.42692691121475,86.8024960291271,88.16528554881913,89.51559987645997,90.85361405512491,92.17964908726643,93.49417193471447,94.79779551867635,96.09127871973668,97.3755263778574,98.65162447404393,99.91998146647362,101.17950927462766,102.42938649239558,103.66922282918794,104.89905910993632,106.11936727509344,107.33105038063297,108.53544259804976,109.73432957392544,110.9285480071762,112.11514156621922,113.29144941379758,114.45588793315582,115.60795072804015,116.74820862269817,117.87830966187896,119.00097911083331,120.12001903289861,121.23742021199133,122.34744119936485,123.44462528443209,124.5256690994267,125.58942261940297,126.63688916223586,127.67122538862108,128.69774130207492,129.72379882027127,130.74904680618948,131.76338794627966,132.75998314443856,133.7351047018205,134.68813631683736,135.62157308515862,136.5410214997113,137.4551994506799,138.37136201964665,139.27808227395184,140.1663173767524,141.03087512914186,141.86993934491866,142.68506985058616,143.48120248535258,144.26664910113112,145.05090061862992,145.82506160945712,146.57932929928168,147.30835826920358,148.0099224274682,148.68491500946644,149.3373485777343,149.97435502195344,150.6052154212371,151.22427532553877,151.8218896429221,152.39289127012876,152.93487964228368,153.44822073289504,153.93604705385434,154.4042576554364,154.86135510423728,155.3058415820794,155.7280518340554,156.12273286327968,156.48715436526447,156.82110872792032,157.12691103155566,157.40939904887722,157.67593324498966,157.9303545418312,158.16315693435158,158.3684971902444,158.54302839981773,158.6858150813831,158.79833318125543,158.88447007375308,158.95052456119765,159.0038726464777,159.03892482828812,159.04812368885058,159.02720067462303,158.9742801606046,158.88987945033574,158.77690877589822,158.64067129791516,158.48886310555108,158.3240797041471,158.13701871465486,157.92222256048143,157.67665938647167,157.39971539873105,157.09319486462624,156.7613201127848,156.41073153309512,156.04943860187277,155.67259013556017,155.27233142490587,154.8443120439573,154.38662789200202,153.89982119356742,153.38688049842085,152.8532406815697,152.30678294326125,151.74917018179792,151.16922241329576,150.56764267375667
J,6.428756077455874,7.816370119778504,9.33027193897438,10.908344708650779,12.513709087521093,14.125317200751706,15.731478929176289,17.32686614876329,18.90917724651541,20.478749597754028,22.036705319879065,23.58481324434191,25.125469529453106,26.66078693314676,28.192873350011848,29.724002000670716,31.256176242700086,32.791124247891524,34.330534339496005,35.87601173037921,37.428979634101175,38.99071269315644,40.562346533614786,42.14498709202282,43.739552388968264,45.34686835457289,46.967711814692706,48.60281049091798,50.25284300057326,51.91849772749826,53.6002134492694,55.29825077194109,57.0129082946603,58.74452290104283,60.49346975917357,62.26016232160626,64.04505566805507,65.84863868881334,67.67067038381842,69.51079485076585,71.36883209741968,73.24477804161242,75.13880451124507,77.05125924428722,78.98266588877676,80.93380532906268,82.90492560806987,84.89439892772906,86.90089772756303,88.92362679008286,90.96232324078782,93.01725654816553,95.08922852369173,97.17957332183053,99.29021207209003,101.42232140822296,103.57179234985112,105.73475073031808,107.90879951636953,110.09301880815323,112.28796583921917,114.49567497651938,116.7196577204082,118.96490283400533,121.23445251986584,123.52007814270507,125.81340046395006,128.1092640705403,130.4057373749278,132.704112615077,135.00890585446493,137.32785698208087,139.67179715478002,142.04065776636722,144.41864483368124,146.79449412104316,149.16195535617373,151.51979223019384,153.87178239762423,156.22671747638546,158.59840304779806,160.9985958296144,163.40893753941629,165.81364006573736,168.203427746145,170.57485633069305,172.93031298192142,175.2780162748565,177.63201619701098,180.0085608076788,182.3925173642659,184.7657323330318,187.11789574660438,189.44448568818532,191.74676829155055,194.03179774104942,196.31241627160557,198.6055465984403,200.90097638657352,203.1795730349088,205.4304819979598,207.64839623650096,209.83355621756718,211.991749914454,214.13431280671742,216.2778245662273,218.41957707527052,220.5390573154069,222.62418488011048,224.6683860010821,226.6705935482493,228.6352470297661,230.57229259201344,232.4971830195988,234.4183127497712,236.31437461588698,238.17068511606362,239.97849015800566,241.73480084555686,243.44239347870135,245.10980955356257,246.75135576240393,248.38414777858793,249.99503925096494,251.5639246474915,253.07868470821833,254.53348745074962,255.92878817024322,257.2713294394108,258.5741411085176,259.85654030538245,261.12545049555933,262.35539844041557,263.52956416495704,264.6381311738611,265.6782687267709,266.654131838295,267.57686127800736,268.4645835704479,269.3396180102756,270.1882721182856,270.98542052561805,271.7160730443951,272.3729960347725,272.95671240494084,273.4755016111245,273.9453996575819,274.39019909660584,274.81397204313373,275.18010627791796,275.48972612481094
