EpiState,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
S,1.0567861800508432e7,1.056187970303044e7,1.0555340605183512e7,1.0548410143022945e7,1.054119587463422e7,1.0533767264554221e7,1.0526169843245786e7,1.0518432222032689e7,1.0510573719670415e7,1.0502605697667345e7,1.0494536004433122e7,1.0486369568127437e7,1.0478108657188892e7,1.046975522709658e7,1.0461310396942334e7,1.0452774069480762e7,1.0444146216946168e7,1.0435426979006015e7,1.0426616102775965e7,1.0417712959455064e7,1.0408717057210565e7,1.0399628021428974e7,1.0390445578446453e7,1.0381169245424608e7,1.0371798504288416e7,1.03623329242239e7,1.0352772123841187e7,1.0343115771174528e7,1.0333363583682282e7,1.0323515222395277e7,1.0313570384706201e7,1.030352891430634e7,1.0293390656366693e7,1.0283155457257943e7,1.0272823164550496e7,1.0262393627014449e7,1.0251866691808239e7,1.0241242144495238e7,1.0230520224342292e7,1.0219701291881468e7,1.0208785625431625e7,1.01977734210984e7,1.0186664792774197e7,1.01754597721382e7,1.0164158308656385e7,1.0152760423406238e7,1.0141267105871094e7,1.0129678899105374e7,1.0117996235320413e7,1.0094255477100594e7,1.0069561022066198e7,1.004326255572956e7,1.0014812265104843e7,9.983896236425119e6,9.95018510705649e6,9.913375043448469e6,9.873150819004552e6,9.829210303534519e6,9.78123922693112e6,9.728910908089766e6,9.671893016350584e6,9.609840151846252e6,9.542394248142457e6,9.469198404701132e6,9.38989530179921e6,9.30412553098255e6,9.211534907286799e6,9.11179699739832e6,9.004607289059047e6,8.889680459324459e6,8.766768727822103e6,8.635699109539768e6,8.496353930865075e6,8.348668466337469e6,8.192658753199229e6,8.0284680986259915e6,7.856325720695547e6,7.676539787875999e6,7.489535573431752e6,7.295895896195455e6,7.09628766653321e6,6.8914523594749905e6,6.682248424865499e6,6.46965848706549e6,6.25469461943219e6,6.038390644590164e6,5.821845664128409e6,5.606184327106463e6,5.392473786984653e6,5.181725811209796e6,4.9749358235173365e6,4.773017748322633e6,4.576761831522126e6,4.386851618311191e6,4.203892983738955e6,4.0283642068015854e6,3.860609845878896e6,3.700870966544548e6,3.5492980834333077e6,3.405939326437827e6,3.270746161503175e6,3.143602339064537e6,3.0243286631343868e6,2.9126959504419747e6,2.808430815564133e6,2.7112325737198736e6,2.6207649497382753e6,2.536682478304007e6,2.458642223155698e6,2.3863035682536345e6,2.3193188126420467e6,2.257338966575707e6,2.200033381873919e6,2.1470907611014536e6,2.0982131173735578e6,2.053104753157086e6,2.011489032357552e6,1.9731118890938058e6,1.9377399369048732e6,1.9051442770799208e6,1.8751094101578926e6,1.8474387117211206e6,1.82195394940917e6,1.7984881256469202e6,1.7768801155891577e6,1.7569827141340468e6,1.7386625021439462e6,1.7217992533006393e6,1.7062775251993781e6,1.6919889568600545e6,1.6788350353311175e6,1.666726635834799e6,1.6555833999578706e6,1.645327954617872e6,1.6358883670928108e6,1.6271991039518826e6,1.6192007529506073e6,1.6118399694106823e6,1.6050662956073422e6,1.5988319342203008e6,1.593093424293617e6,1.5878110705680118e6,1.5829489434808693e6,1.5784746983011982e6,1.5743570992078814e6,1.5705672757757616e6,1.5670788628396874e6,1.5638676906786796e6,1.5609117850159241e6,1.5581913670187788e6,1.5556879771559562e6
E,37310.13064838208,34362.311129284935,32555.657587292717,31492.46586608756,30913.88680593765,30652.151664807257,30596.717001907447,30677.521668935482,30846.724389848543,31075.549578756098,31343.625960910264,31637.58049252081,31950.439032168764,32275.973207100153,32609.97211989006,32951.179694068225,33298.188932613215,33649.20450874404,34003.40798387844,34360.93402361077,34721.62339528619,35085.069782202394,35450.65945959491,35818.33978483454,36188.216840278445,36560.24260574147,36934.30477947721,37310.22677817802,37687.7677369749,38066.89211156256,38447.59062789678,38829.58387851898,39212.661370776565,39596.6822078933,39981.575088969235,40367.33830898077,40754.046868705664,41142.044587243356,41530.72737099497,41919.285492106945,42307.19476821689,42694.21656245363,43080.39778343731,43466.07088527919,43851.853867581776,44238.29756785564,44623.83349236388,45008.0248033671,45390.79479422332,56411.66998404029,65805.47619739448,74511.40892340503,83244.48286458808,92235.5609384694,101717.41244286615,111843.40577491578,122759.33333318196,134554.81197893972,147313.10862052985,161112.47156415108,176013.45046399164,192077.8442279597,209369.6368096341,227931.36978683685,247795.02361665512,268992.858546288,291549.37789901724,315444.20638498483,340645.35694466566,367122.67833822966,394822.8955617727,423613.93275901134,453350.48069231637,483890.39902321924,515054.47307553346,546554.8701720705,578102.772021474,609431.0294690225,640226.7866074096,670063.2687663521,698549.7546061901,725351.7918859682,750093.9857490871,772330.3779997638,791709.5303435035,807981.5635626772,820863.5776188539,830079.9450258011,835495.2144141822,837093.4767156201,834826.7516080906,828718.154146956,818928.4055819567,805698.9671376998,789234.657770605,769815.7335804693,747808.9940146608,723588.1194181463,697493.6875684273,669894.4187398171,641180.4500660422,611703.8123731285,581785.2735325727,551726.927829083,521804.9393778512,492247.0295408962,463276.4782170721,435081.65239520866,407796.42098786164,381501.50498764165,356278.8650629967,332216.1583566548,309356.58282906015,287700.00765371585,267228.0280230033,247953.86464772798,229868.90418170166,212931.88947373288,197075.5514254437,182266.88102034846,168477.07690798477,155657.52015929803,143741.1436216893,132667.07834949734,122401.9132474806,112903.35842876171,104118.00882155371,95983.22553873867,88456.82413815938,81507.97264642258,75099.3150868571,69187.6943099635,63726.05789681203,58684.05137482374,54038.14592767152,49761.2673167495,45823.19805052892,42190.72610756896,38838.43315344461,35750.8815432058,32910.67994284365,30298.863368602906,27894.893186981855,25677.16750899585,23631.845524772267,21749.284172488242,20018.644855969123,18428.28852685331,16965.775684592227,15617.866376450376,14374.39727118157
Ia,21416.28079983699,23968.563625814677,25749.19956134978,27027.599340512472,27979.306887461793,28718.26073851445,29319.669349865453,29831.305864690534,30285.876616915823,30703.128110504604,31097.087498760357,31477.00875623349,31847.76499645727,32213.7095928521,32577.804127780917,32940.966216991284,33304.201922040564,33668.770947389305,34035.24711523154,34403.524489713134,34773.68584457488,35145.973479192515,35520.76230467704,35898.02577800687,36277.59583960556,36659.40096544915,37043.40861690308,37429.625240722045,37818.09626905018,38208.717763408495,38601.32507428929,38995.92084716489,39392.461055652195,39790.85454886507,40190.96305141425,40592.601163407526,40995.53139423385,41399.30713611903,41804.077758256986,42210.131771918976,42617.567652737656,43026.29384070711,43436.0287401828,43846.300719881656,44256.44811288201,44665.84665590222,45075.232988534415,45484.6085322614,45893.73684823942,47176.89942203079,49964.0274333144,53834.51276282913,58485.2283647915,63865.607166165086,69927.66890583851,76667.86470961271,84089.77396555153,92229.01719108621,101126.82036683174,110828.63921711205,121390.05192296923,132864.81264847025,145303.60588459138,158764.60754405515,173304.91833441448,188972.21995440093,205806.83295005618,223858.69487589627,243163.4572913196,263732.97378783044,285565.5164500913,308670.8767462364,333029.33358935086,358580.02350820426,385240.1188061677,412941.08275191905,441567.5292039822,470943.624557285,500872.3145329206,531177.6436585645,561626.8961325081,591920.8731378069,621760.6023613681,650879.5812855319,678960.1404867986,705633.0773100046,730579.7779065918,753525.9035588637,774168.0291525935,792190.6063178804,807384.1353235275,819582.4393303227,828616.3319055466,834352.7097528238,836780.4952334921,835917.3059341315,831793.3551085235,824501.6948756067,814217.0747156375,801127.5894366014,785433.4545061693,767380.233091019,747239.6560386816,725284.2545258739,701790.1551797036,677048.5075246344,651315.6488104997,624838.2314009517,597869.337665306,570667.2869038736,543444.8132588307,516363.29555037624,489585.46067416476,463275.56036796345,437578.53884303843,412574.5426656167,388336.0630133617,364941.98700716736,342471.8949002655,320952.3979679302,300388.7581501319,280793.30919884687,262184.6443596362,244565.6786097484,227904.83153759316,212174.84596597016,197356.36382607318,183436.19714687872,170379.60862712332,158140.33308229226,146679.69698743464,135966.13950182786,125973.37391082222,116660.63851955926,107983.03622655405,99902.02794460197,92385.06116018523,85405.41622124112,78931.43435203633,72924.93168273677,67352.64746056462,62185.67199941278,57399.44667984495,52973.21058095632,48881.03563280274,45095.95421889309,41594.449501505296,38355.88795490143,35362.51936532755,32599.47683101384,30050.940117187114
Is,8684.53894145443,9727.286892047752,10455.321057607305,10978.524188919702,11368.485988976276,11671.667178103708,11918.732557355775,12129.158540947308,12316.278491023739,12488.141727218454,12650.466494505275,12807.025559592434,12959.806019423952,13110.583653991878,13260.567185646902,13410.132253675314,13559.690794141192,13709.75835772381,13860.571010445277,14012.087531793211,14164.343727435315,14317.440597511291,14471.53338943848,14626.613713741432,14782.614551471606,14939.508341155188,15097.283738653838,15255.94561716469,15415.515067220376,15575.95246013141,15737.191542587323,15899.233681183481,16062.061757950243,16225.639986783932,16389.913913446908,16554.81041556747,16720.235667996294,16886.009270111368,17052.19101853469,17218.89781960154,17386.169754820938,17553.97008087572,17722.185229622533,17890.624808091783,18059.02159848768,18227.123399942422,18395.227470056678,18563.33404301739,18731.347115588378,19256.284689498796,20395.437060503205,21977.090075766097,23877.493059575965,26076.05557501475,28553.22681650185,31307.597004388284,34340.662900689895,37667.00402693783,41303.48489083136,45268.6916266824,49585.34438984127,54275.40657932137,59359.573178181614,64861.59661993684,70804.77791140832,77208.5393448101,84089.26774362357,91467.28572420157,99357.03765271195,107763.1833557421,116684.79468275292,126125.66195449654,136077.45315729926,146514.9421673852,157403.8881997187,168715.91863241306,180403.45498867604,192394.14007491886,204606.9462489004,216969.54707461604,229386.40980356678,241734.8189291436,253892.24920245042,265749.60160343576,277176.9415554027,288023.3557079768,298158.81246767315,307471.5737240756,315838.13862954016,323130.18990905635,329262.96002530365,334169.5117539282,337781.7621294762,340046.46086775203,340960.26364512724,340531.5379740368,338773.78667104396,335726.12684257544,331460.88551757165,326055.7427835209,319593.2467908947,312174.2798563423,303910.1496847615,294912.3941710834,285293.9409513685,275173.6916739806,264656.0366856052,253841.35445563632,242832.63875521364,231735.00557580084,220634.78014384673,209597.25526140755,198688.29895436647,187974.3976542917,177514.14308108058,167339.70593560944,157480.16018836622,147967.19859080462,138832.80890090327,130087.43280963878,121732.8605973678,113773.77873383398,106217.43678030006,99064.73175778172,92302.58120756723,85919.68101116858,79907.95003367888,74261.82820389493,68967.03414684892,64004.63835262849,59358.80367288755,55016.58888301194,50967.20337607571,47194.00956273923,43678.714868210474,40405.61061809801,37361.42045890528,34535.238104318356,31914.169122564446,29482.694626049848,27227.294692793923,25136.21430115621,23199.463329836442,21408.59277435408,19753.072807869867,18221.963543475795,16805.723149510744,15495.977565413423,14285.520501722232,13168.313440075384,12137.938125363396
R,29980.453039150376,35170.8960249899,40854.119013033516,46889.05579673534,53183.579997454,59677.736094609856,66331.83895780485,73120.59852239852,80026.67015667733,87039.55885432266,94151.83257624206,101358.6249946063,108657.42806943087,116046.06155467685,123523.12612088541,131088.34443476424,138741.43018949882,146481.9975610426,154310.05109042992,162225.9852580362,170230.1119227719,178322.67167879533,186503.84729875944,194774.0409519253,203133.74845258633,211583.4117758957,220123.4444917185,228754.23176463143,237476.1303539232,246289.56377271443,255194.9914631755,264192.77617427794,273283.27973502246,282466.86327177525,291743.8872082702,301114.7112656062,310579.6970213794,320139.2945328346,329793.63502870797,339542.74557555874,349386.714630561,359325.6920415031,369359.8890467881,379489.57827543456,389715.0937470741,400036.71660209657,410454.0080456331,420966.8587603631,431575.23990697914,442368.16784885887,453609.33292902214,465591.56632293394,478566.0877968764,492683.78460518393,508105.1196534284,524982.4369285663,543476.784059958,563747.4822916829,585964.2012098945,610307.8188711478,636968.1697233276,666149.1369324862,698069.0608484094,732955.9075311935,771049.931578493,812606.164196554,857892.3383686508,907179.9760523879,960750.3461519304,1.0188970306344322e6,1.0819184566172664e6,1.1501016751506361e6,1.223733495844393e6,1.3031026964169482e6,1.3884860063798733e6,1.4801231504610088e6,1.5782356330174466e6,1.683029978495779e6,1.7946727265673364e6,1.9132598742983374e6,2.0388482435609363e6,2.1714582516850783e6,2.311036353631247e6,2.4574329103768026e6,2.610447146211074e6,2.769828195404948e6,2.935224627356735e6,3.1061922516264115e6,3.282244944886412e6,3.46284953228399e6,3.647374495715238e6,3.835137985870154e6,4.0254468957613483e6,4.217582537540743e6,4.41076975330466e6,4.604243196766048e6,4.797264365569284e6,4.989101576172057e6,5.179030719572204e6,5.3663803005239265e6,5.550534178866761e6,5.73091643501144e6,5.907006239350394e6,6.07834793941083e6,6.244548799679213e6,6.405269203739901e6,6.560255456910785e6,6.7093102790607475e6,6.852278807354726e6,6.989049104819338e6,7.1195773395365905e6,7.243885807392359e6,7.362021403270087e6,7.474053327964786e6,7.580082795358714e6,7.680266872557436e6,7.774776786951436e6,7.863785977977808e6,7.9474731904449845e6,8.026052194998715e6,8.099749547226424e6,8.168784003753344e6,8.233366744936705e6,8.293713993106562e6,8.350057042328778e6,8.402617046643699e6,8.451602405998781e6,8.497209843912052e6,8.539641178693028e6,8.579096380680803e6,8.615762193350365e6,8.649812498457849e6,8.681409545387186e6,8.71071625730547e6,8.737889452002514e6,8.76307463032675e6,8.786406342513308e6,8.808008302829953e6,8.828000560628505e6,8.846499784050502e6,8.863613624622762e6,8.879441642079948e6,8.894075304364553e6,8.907598415518368e6,8.920093099035097e6,8.931636469147945e6,8.94229958705838e6,8.95214813741471e6,8.961242428312128e6,8.969637391292693e6,8.977384884381024e6
Ihsub,470.6361394597859,549.1836078516745,631.9157229292621,715.0250604078249,796.2560344848491,874.351086761775,948.6595996226274,1018.947364514107,1085.1872398373912,1147.5269572992918,1206.1686442714135,1261.355728340472,1313.3697145545332,1362.4678763674447,1408.900467748908,1452.9235642147798,1494.7674011452666,1534.6350180827387,1572.7200901831138,1609.2063418150956,1644.2582373422679,1678.0228765869824,1710.6306793565616,1742.206066271787,1772.860013976313,1802.692272193396,1831.7937716313575,1860.2466239835828,1888.1241219285182,1915.4949840575964,1942.4191057858334,1968.946053403792,1995.1221824669187,2020.9906500401396,2046.5914146978673,2071.9612365239964,2097.13376989332,2122.142073328069,2147.003381174859,2171.7297310545246,2196.33447840023,2220.8322964574736,2245.239176284082,2269.5724267502205,2293.850674538377,2318.089832305776,2342.279763348959,2366.421879995654,2390.520468155243,2416.9154736262713,2451.50042005231,2500.5597647375457,2568.997227604362,2658.431905034104,2770.6831271172277,2907.178881772068,3069.469772093188,3258.876153024261,3476.8467852664326,3724.9678660732684,4004.874943570464,4318.38636631338,4667.508731848385,5054.268966316033,5480.7865575023625,5949.343023964256,6462.317464788252,7021.905342383493,7630.326620525808,8289.913320752312,9002.898354844247,9770.937356281498,10595.536173079594,11478.153107377651,12419.820074113357,13420.427295965419,14479.483680267535,15596.275594692692,16769.178969744535,17994.8133656223,19269.27361503536,20588.29378740414,21946.170157966568,23335.193263287023,24747.32809776674,26174.30067969004,27606.04358351713,29031.05226649398,30438.141530875713,31816.27468704651,33152.84967431681,34435.24046549876,35652.000894966164,36792.30142575315,37844.77299850172,38799.445406293555,39648.146661577994,40383.66964991512,40999.64039845161,41491.58091784782,41856.87358426885,42094.10833701385,42203.452631064734,42186.54061941844,42046.318861065716,41786.64812021665,41413.471865516,40933.44936863571,40353.37635407579,39680.20925901198,38922.101108371186,38088.21608195204,37187.27288277413,36227.5075955485,35217.0865193923,34164.945379689736,33079.46072643178,31968.129149991233,30837.694025337503,29695.255200942218,28547.545319719095,27400.41932786154,26258.88049444475,25127.56926616204,24011.09480570645,22913.37049496148,21837.60149118227,20786.327496878086,19762.012532587574,18766.823381843897,17802.41506568229,16869.96430692805,15970.215504168322,15103.883432613115,14271.439764236567,13473.060890134622,12708.650366262924,11977.842938403177,11280.228280210547,10615.332999780423,9982.518734352701,9381.030961598457,8809.998999619977,8268.448420587732,7755.458993749653,7270.061119683648,6811.240638960218,6377.9620603048725,5969.168560598127,5583.781984875508,5220.750162799164
Ihcrit,297.8082264462321,347.5869959841453,400.02794922565755,452.7117255785401,504.2045550142115,553.7066158346779,600.8036963754452,645.346184974198,687.3161230425063,726.8067366057278,763.9459134846968,798.8878710621483,831.811099471413,862.8787713873365,892.2496655535045,920.086330467653,946.5349465826407,971.7244553946598,995.7778889058726,1018.8120286863914,1040.9314412967803,1062.2296699942565,1082.789667154641,1102.6905950995497,1122.0031831760627,1140.791025791581,1159.1120897610845,1177.0187143071287,1194.5576110598465,1211.772562969307,1228.7019240468153,1245.377547241233,1261.8291840869324,1278.0844923610623,1294.1690360835496,1310.1062855170992,1325.9176759904833,1341.6243269363592,1357.2376414702078,1372.7657047675334,1388.2173370731266,1403.602093701066,1418.9302650347206,1434.2128765267457,1449.4616886990843,1464.686751468558,1479.8822541287045,1495.0493492553562,1510.1908956022933,1526.7842019811405,1548.549770535743,1579.454875949316,1622.595167657946,1678.9927601223262,1749.7962346439772,1835.9071897683166,1938.3047192880515,2057.8226541555005,2195.3759993318927,2351.966651619015,2528.6277380555944,2726.5079464651367,2946.8749793318075,3191.0094046429476,3460.250297793087,3756.0392166542197,4079.8794475221735,4433.158055549666,4817.2776180764595,5233.711652066689,5683.871001119439,6168.801199098738,6689.453073413525,7246.74749325428,7841.335625415249,8473.146121542833,9141.866556964695,9847.043999587486,10587.649627435507,11361.543163324102,12166.252842170717,12999.0793204264,13856.413908100747,14733.378988215287,15624.892171118057,16525.72119549012,17429.49976556769,18328.95323574403,19217.01095868745,20086.698105533833,20930.050450461724,21739.090284303893,22506.58841756382,23225.707412535725,23889.269582183733,24490.983570269094,25025.696727705727,25488.867401066807,25876.481582192064,26185.724445896765,26414.957473352864,26563.305386501917,26630.89023214946,26618.76000902809,26528.79085549896,26363.435449289962,26126.462411378296,25822.090752340184,25454.623252122656,25028.461845810394,24548.763713278142,24021.323308287418,23451.651450545705,22844.95216222766,22206.383874110357,21541.589525911564,20855.857419180906,20153.91896325842,19440.028779488453,18718.665603802117,17994.075216928566,17269.94878428843,16549.439352846603,15835.47045563548,15130.945084424042,14438.326945228206,13759.63285020778,13096.459701663269,12450.35635852598,11822.68386869719,11214.480688108028,10626.483842279724,10059.157904168263,9512.948645068325,8988.148514709317,8484.86411596935,8003.0303761279365,7542.413081646774,7102.749691437443,6683.737893109779,6284.97169933585,5905.972236135101,5546.1877428743355,5205.001378659496,4881.8304766276815,4576.061381463016,4287.052624694697,4014.149547553862,3756.6843009735944,3513.975845588929,3285.359614184828
D,86.35169684224202,102.46869358812053,121.15392504898885,142.4749988140182,166.405096451812,192.86206714710534,221.73559128844812,252.89982085190692,286.22731223689186,321.59036794722834,358.8684787032804,397.94847021096297,438.72387960092,481.09824704426364,524.9833701549184,570.2980250596428,616.9688678082597,664.930145608395,714.1220449627175,764.4908712849581,815.9882207249034,868.5704867400941,922.1987545615708,976.8376855116151,1032.4568304894824,1089.028789874998,1146.5286706670654,1204.9340864836604,1264.2251575618338,1324.3839498836162,1385.3955560161564,1447.2475118652274,1509.9283473516248,1573.427584336412,1637.7357366209392,1702.8443099468266,1768.7457935591688,1835.4335781893928,1902.903458572813,1971.152023525821,2040.175946563993,2109.9719859020875,2180.5369844540432,2251.867869832987,2323.961654351218,2396.815784191843,2470.4301148327513,2544.803526370196,2619.9346507966493,2695.8012793698495,2772.6541229831037,2850.851544819463,2930.8504140647524,3013.3306248936424,3098.9857631130412,3188.5660625100845,3282.8522446820175,3382.6821696557745,3488.9351961971033,3602.5361134458426,3724.4644676574267,3855.753452730681,3997.4914255477356,4150.835445883411,4317.009904523808,4497.304734776913,4693.078839544736,4905.776166271145,5136.908661725348,5388.049586485076,5660.839510046706,5957.0052944694935,6278.316605071344,6626.571946141222,7003.604639948979,7411.305939089301,7851.539835643039,8326.119932717807,8836.824014502654,9385.41347772996,9973.502906380369,10602.531779182682,11273.80012428211,11988.469417475535,12747.401702147323,13551.141549048565,14399.99717265393,15293.993456148844,16232.733443054472,17215.410771076262,18240.933685726788,19307.829826204223,20414.18378701602,21557.69755150174,22735.803726477774,23945.589967166692,25183.809368307353,26446.97909608506,27731.42721220737,29033.31671456144,30348.677209335197,31673.48688001719,33003.675395988954,34335.2329927077,35664.23953116597,36986.910231207694,38299.49536086687,39598.464262472786,40880.572474996996,42142.85835488843,43382.5245340439,44596.977473256586,45783.948065081415,46941.48550001442,48067.90692710425,49161.72613092326,50221.73516197007,51247.00974343233,52236.89461870272,53190.89531870265,54108.7264235519,54990.308321408,55835.76104520823,56645.352807694035,57419.47619929329,58158.656376164625,58863.53483457563,59534.86469925468,60173.460304346634,60780.211127261486,61356.059817544185,61901.99486333945,62419.0460628917,62908.25654185071,63370.69560329903,63807.43483581405,64219.54412407713,64608.09130618886,64974.12916445735,65318.70298431507,65642.8385537328,65947.53448513968,66233.76221542331,66502.465516879,66754.5583212043,66990.93064028809,67212.43933129158,67419.90625158207,67614.118258733,67795.8272105237,67965.75317230474
Htot,768.4443659060182,896.7706038358201,1031.9436721549198,1167.7367859863648,1300.4605894990607,1428.0577025964533,1549.4632959980722,1664.293549488305,1772.5033628798976,1874.33369390502,1970.1145577561101,2060.2435994026205,2145.1808140259463,2225.346647754781,2301.1501333024125,2373.009894682433,2441.3023477279066,2506.3594734773988,2568.497979088985,2628.018370501486,2685.1896786390475,2740.252546581239,2793.4203465112028,2844.896661371338,2894.863197152376,2943.483297984978,2990.905861392443,3037.265338290712,3082.6817329883647,3127.267547026905,3171.1210298326487,3214.323600645025,3256.9513665538507,3299.0751424012024,3340.760450781418,3382.067522041096,3423.0514458838034,3463.7664002644274,3504.241022645066,3544.4954358220575,3584.5518154733563,3624.4343901585394,3664.169441318803,3703.7853032769663,3743.312363237461,3782.776583774334,3822.1620174776626,3861.47122925101,3900.7113637575353,3943.699675607413,4000.050190588053,4080.014640686862,4191.592395262309,4337.42466515643,4520.479361761204,4743.086071540385,5007.774491381239,5316.698807179761,5672.222784598325,6076.934517692283,6533.502681626057,7044.894312778518,7614.383711180193,8245.27837095898,8941.036855295448,9705.38224061847,10542.196912310426,11455.06339793316,12447.604238602265,13523.624972818994,14686.76935596369,15939.738555380238,17284.989246493107,18724.90060063193,20261.15569952861,21893.573417508247,23621.35023723224,25443.31959428018,27356.828597180043,29356.356528946406,31435.526457206073,33587.373107830535,35802.58406606731,38068.572251502315,40372.22026888479,42700.02187518018,45035.54334908483,47360.00550223799,49655.15248956315,51902.97279258034,54082.90012477852,56174.33074980268,58158.589312529984,60018.00883828886,61734.04258068545,63290.42897656266,64673.843389283706,65872.53705098195,66876.12198064366,67677.30536374458,68271.83105762169,68657.41372351575,68834.34286321419,68805.30062844654,68575.10971656465,68150.08356950662,67539.9342768943,66755.5401209759,65807.99960619846,64708.67110482238,63470.86482164931,62109.53939023945,60638.924333319854,59072.45975777615,57423.47039350264,55706.534905601286,53935.318145612706,52122.04811324966,50277.72280482594,48413.92080474433,46541.62053664767,44670.36811214998,42808.31984729136,40963.039721797526,39142.03989013049,37351.69744018967,35597.23434139005,33882.78719854136,32212.368891113554,30589.507250541075,29016.895753790315,27496.44814920778,26029.373408336585,24616.832077681447,23259.58827894588,21957.925006103986,20711.68074239086,19520.25602004995,18382.977971647993,17299.070892890206,16267.490433688548,15287.003197733558,14356.186742494314,13473.449799247224,12637.289470377327,11846.122501146665,11098.293263654912,10392.111607858738,9725.852861571722,9097.757830464438,8506.109776983993
Dperday,16.116996745878495,18.685231460868305,21.321073765029347,23.930097637793814,26.456970695293343,28.87352414134277,31.164229563458832,33.327491384984846,35.363055710336525,37.27811075605211,39.07999150768253,40.77540938995708,42.37436744334357,43.88512311065466,45.31465490472432,46.67084274861706,47.96127780013556,49.19189935432236,50.3688263222406,51.4973494399453,52.58226601519073,53.6282678214766,54.63893095004456,55.61914497786699,56.57195938551577,57.49988079206738,58.40541581659454,59.291071078173815,60.15879232178224,61.011606132539825,61.85195584907204,62.68083548639653,63.49923698478805,64.30815228452695,65.10857332588701,65.90148361234218,66.68778463022436,67.46988038341952,68.24856495300827,69.02392303817231,69.79603933809385,70.56499855195678,71.33088537894311,72.09378451823089,72.85412984062484,73.61433064090868,74.37341153744434,75.13112442645398,75.86662857319918,76.85284361325441,78.19742183635987,79.99886924528901,82.48021082888965,85.65513821939952,89.58029939704231,94.28618217193377,99.82992497375714,106.25302654132867,113.6009172487397,121.92835421158377,131.2889850732551,141.7379728170548,153.34402033567474,166.17445864039362,180.29483025310867,195.7741047678233,212.69732672640805,231.13249545420211,251.1409247597298,272.78992356163155,296.16578442278393,321.3113106018514,348.2553410698797,377.0326938077547,407.70129914032367,440.2338965537383,474.58009707476714,510.70408178484803,548.5894632273034,588.0894286504099,629.0288728023127,671.2683450994264,714.6692931934268,758.9322846717864,803.7398469012442,848.8556236053656,893.996283494914,938.739986905627,982.677328021791,1025.5229146505228,1066.8961404774411,1106.3539608117933,1143.5137644857248,1178.1061749760356,1209.78624068892,1238.2194011406464,1263.1697277777125,1284.4481161223052,1301.889502354074,1315.3604947737626,1324.809670681985,1330.1885159717629,1331.557596718757,1329.006538458254,1322.6707000417327,1312.5851296591902,1298.9689016059015,1282.1082125242126,1262.2858798914217,1239.666179155484,1214.452939212669,1186.9705918248471,1157.5374349329977,1126.4214270898358,1093.8192038189943,1060.009031046835,1025.2745814622501,989.8848752703957,954.0006999999264,917.8311048492484,881.5818978561034,845.452723800235,809.5917624857886,774.1233915992508,739.180176871342,704.8784584109999,671.3298646790628,638.595605091937,606.7508229148598,575.8486902826987,545.93504579526,517.0511995522612,489.210478959007,462.43906144832545,436.7392325150233,412.10928826308316,388.54718211173275,366.0378582684711,344.57381985773185,324.1355694177287,304.6959314068838,286.22773028362883,268.7033014556837,252.09280432530352,236.37231908377905,221.50869100348928,207.46692029050496,194.21200715089657,181.70895179073455,169.92596178104384,0.0
