FIP,County,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
13001,"Appling County, Georgia",19.74442614318179,22.02155887055966,24.506201902652528,27.1871833474654,30.060935384938507,33.127856625819,36.39006147283715,39.850584991001966,43.51243834918039,47.3787151413923,51.4521902402343,55.73541433044069,60.2307901111777,64.94047210745572,69.86647386967869,75.01068443071968,80.37489091096822,85.96081375522945,91.7701177632047,97.80435634104596,104.06505478353597,110.55373383248947,117.27191148125557,124.22106243164485,131.40251979915695,138.81761020560822,146.46767758790318,154.35408319803375,162.47820560307983,170.8414523398781,179.44495693808628,188.28971806113168,197.37679316150775,206.70729869344086,216.28241011289109,226.10336187755104,236.17145037983224,246.4879714218446,257.0534305425319,267.8682175129555,278.9328936758648,290.24819194569767,301.8150168085804,313.6344443223274,325.7077221164406,338.0360001504953,350.61875506306063,363.4562583305663,376.5489934717819,390.01932505760715,404.2269973203461,419.58060872378235,436.44053752208396,455.0340643201725,475.6097996774264,498.4119438966471,523.7031079462549,551.7506094397494,582.8433110923572,617.2931975385612,655.4330943651313,697.6243558784595,744.2577451655369,795.747906587775,852.5376988225005,915.1024296258538,983.9475014751742,1059.5957870976845,1142.597207510145,1233.5330170726231,1333.004622148723,1441.6080871772936,1559.9512601502568,1688.6575443901545,1828.3424489802796,1979.5702580867444,2142.8834678440026,2318.8080008904703,2507.8078098778947,2710.22689095214,2926.3408251350825,3156.360905964563,3400.3613892078233,3658.2317191461248,3929.7561517364966,4214.614865191136,4512.280980436207,4822.028524343651,5143.030944562439,5474.3503911246935,5814.82695986742,6163.173857858062,6518.060945287045,6878.0839093524755,7241.691270892279,7607.33143379645,7973.49356021363,8338.66078008688,8701.30609912768,9060.00442187975,9413.441295893546,9760.372592849537,10099.654825559297,10430.283361253889,10751.389172790903,11062.211205164205,11362.158279425053,11650.76294970287,11927.654435651048,12192.559220223608,12445.340859363052,12686.00260273893,12914.605313661585,13131.260238037463,13336.147746588724,13529.566500322342,13711.84718250702,13883.32674634166,14044.35477775522,14195.355040153121,14336.779119029092,14469.062901945545,14592.626979793042,14707.903011019564,14815.354469544196,14915.423911526463,15008.527541061761,15095.057468210241,15175.416591685987,15250.003920789064,15319.191229303937,15383.323867302697,15442.723316247459,15497.712474153303,15548.601529238598,15595.677645350028,15639.20575863772,15679.42881352314,15716.582333610007,15750.894733501073,15782.576251014343,15811.820949128749,15838.806715984165,15863.69612668909,15886.648312657686,15907.812158387644,15927.32458818007,15945.311969273796,15961.890111845363,15977.164269009018,15991.233528793438
13003,"Atkinson County, Georgia",26.196107242050402,28.64736493339557,31.255986604171998,33.992277675010165,36.838325719068095,39.78364241949592,42.82217176332824,45.95090859320391,49.168358482790644,52.47435470075107,55.8691984438876,59.35358829842547,62.928599084908754,66.59525590889285,70.35465275177603,74.20801912926972,78.15650918847058,82.20119553075025,86.34316575875589,90.58349587572602,94.9231952507033,99.36321876128352,103.90447092135378,108.54784404937665,113.29413188780852,118.14407941941677,123.09840310740753,128.1577908954255,133.3229022075542,138.59439488156275,143.97274614613374,149.4583089891467,155.05144486964332,160.75252388666237,166.56192477924068,172.48003492641223,178.50725208295398,184.64394699008292,190.88999808095375,197.2451958091335,203.70941339476164,210.2826068245507,216.96481485178583,223.75615899632493,230.65684354459827,237.66699816344354,244.78575958929227,252.01271872573565,259.3475783542573,266.85527576608786,274.72822779854266,283.1824220029029,292.4054900431652,302.5124306750188,313.6271518362294,325.8690289388697,339.3651208485737,354.24257573664823,370.63745911604747,388.69540101101694,408.57001654351006,430.426671279162,454.44280576756654,480.80445076837464,509.70818160236496,541.3630281984529,575.9889300461393,613.8098848249991,655.0584536953523,699.9777405760075,748.8155512515699,801.8116102003567,859.2060381407625,921.2410361718203,988.1496936622013,1060.1359637186656,1137.3891667156652,1220.0864725191002,1308.372723868939,1402.3355758775208,1502.0301927903176,1607.4813756442163,1718.6530825237917,1835.4301378368154,1957.654345381906,2085.1253204691716,2217.5594207447366,2354.5958621111645,2495.838283884208,2640.850655823011,2789.1154303963094,2940.072958224607,3093.1538709366205,3247.767432592904,3403.2762896106524,3559.0512645907365,3714.4855661557285,3868.978323215616,4021.935312956646,4172.806136437408,4321.08647706958,4466.305577027103,4608.038533278932,4745.914333712554,4879.613939475355,5008.862161177531,5133.454760875363,5253.233723755415,5368.0756116374005,5477.891988488644,5582.65027322929,5682.371842918114,5777.0978125731135,5866.887197055829,5951.824896983226,6032.041097050466,6107.677166888608,6178.875955402094,6245.784320374253,6308.57732742002,6367.440089161424,6422.551129965396,6474.082579252395,6522.210415447332,6567.122530253924,6608.998403332616,6648.007031054789,6684.307799303167,6718.064011620818,6749.4372694703725,6778.578392601917,6805.627726478724,6830.716133683265,6853.9748735098565,6875.530149251939,6895.499001712926,6913.9896107885315,6931.1013876947545,6946.930717255333,6961.571157059637,6975.108991248923,6987.623989605632,6999.189407553394,7009.872328629595,7019.738429954144,7028.849311918572,7037.261719949716,7045.028091636745,7052.19655673115,7058.810937146753,7064.912564365592
13005,"Bacon County, Georgia",21.43766702262728,23.7295575098776,26.1812312652355,28.770416811758626,31.48450551830909,34.31672879768951,37.26360852845229,40.323854713208426,43.49711895425664,46.78391451241679,50.184959862365666,53.70116513761306,57.333644000377234,61.08341908050912,64.95152969143297,68.93907942901168,73.04711268158474,77.27662187289303,81.62861151133434,86.10406606276797,90.70393995800308,95.42917208201493,100.28068863660374,105.25941467461003,110.36619802902166,115.60187302212846,120.967278376588,126.46325721542533,132.0906570620333,137.85034645058354,143.74303609347317,149.76934667978807,155.9299313854235,162.22547601910333,168.65669902238074,175.22435146963733,181.9292187644774,188.77208161530262,195.75325358401298,202.87297876780676,210.13159971636236,217.52955743183801,225.06739136887225,232.74573943458364,240.5653379885702,248.52686443942198,256.6300155765463,264.8749501756706,273.2619490251232,281.8676177696034,290.9174190332825,300.6661803415559,311.3373404157536,323.07041216784216,336.01717353681244,350.3257645862012,366.1550186409128,383.66581559630396,403.0316012984709,424.4393318133335,448.0879701873928,474.19321098773645,502.9879944652861,534.71896290859,569.6490996045967,608.0602659606485,650.251699607659,696.5322681998776,747.2262537134725,802.6759236125449,863.234727821463,929.251894884176,1001.0828233034374,1079.0913387628686,1163.6356400099296,1255.0424590827456,1353.6248601762527,1459.6853797207352,1573.4890864753695,1695.2293722313163,1825.058886158114,1963.0920342243019,2109.362125018209,2263.793583885075,2426.249234060275,2596.530983371956,2774.3195285482584,2959.179508134239,3150.617325744991,3348.0748668347865,3550.865104775663,3758.2278797649424,3969.378385894217,4183.489258045045,4399.6486044170515,4616.945155381948,4834.491732764683,5051.398378098975,5266.770419436282,5479.772687306741,5689.634450865543,5895.62662160819,6097.079572147776,6293.4044485979,6484.091215029492,6668.69312108204,6846.863372499997,7018.3272831960685,7182.866376430977,7340.318767298503,7490.603383856992,7633.721132655803,7769.706571432001,7898.623847918182,8020.577781156217,8135.742794083039,8244.312261854702,8346.483434295975,8442.461172618981,8532.494131985955,8616.84755192625,8695.777644644655,8769.531827022747,8838.364217670847,8902.547903088644,8962.343824889316,9017.997542705512,9069.74056228206,9117.810914506837,9162.44452479649,9203.861333331884,9242.265759611038,9277.84821007615,9310.800054041496,9341.30527775417,9369.534282850254,9395.644348924625,9419.7797731317,9442.08052442109,9462.682469130621,9481.710716893042,9499.28078621012,9515.498604452649,9530.461020490744,9544.262895380018,9556.993066405781,9568.733256779582,9579.558903071676,9589.539155211021,9598.736876485264,9607.211292308752
13007,"Baker County, Georgia",143.38606885023975,156.37828638146374,170.0227270604152,184.05063114347192,198.28110984114855,212.59222462771586,226.90013471972983,241.14845937574026,255.29670368294552,269.31799277056507,283.19211574240126,296.90444407739267,310.4454507333255,323.80682804648217,336.98224745864627,349.9680648514883,362.76100222039946,375.3579004723918,387.7566880803542,399.95660947136054,411.9569840978962,423.7571473673511,435.3564618569431,446.75498398427516,457.9537981092691,468.9540070889045,479.756637889702,490.36264158772263,500.77289336856785,510.98836724914594,521.0114801551412,530.8450716642357,540.4917096172315,549.9536896332528,559.2330351097451,568.3314972224756,577.2505567859362,585.9923439705188,594.5610351086032,602.96071547033,611.1949800571575,619.2669336018604,627.1791905685296,634.9338751525731,642.532621280715,649.9771988042615,657.2731742144066,664.4241601191445,671.4331693590178,678.3439636596769,685.2825448740837,692.3788135765116,699.7345926402454,707.4022766399463,715.4307916943994,723.8596642291143,732.7272523609122,742.0659144904521,751.9077168969485,762.2848416912324,773.228487225644,784.7710874765341,796.9464253016935,809.787596751338,823.3282717974472,837.6033684943575,852.6483900862245,868.4973457686975,885.1844390859673,902.7446527168634,921.212201971689,940.6175275009874,960.9899945719151,982.3583728454548,1004.7484550990041,1028.1791889055896,1052.6664967302088,1078.2239103199777,1104.858767022314,1132.568088428819,1161.3438936415064,1191.1736539079852,1222.0350145055281,1253.8932809698808,1286.7077795249897,1320.4319386301781,1355.0066304082727,1390.3615601411616,1426.4214509487535,1463.1052831018185,1500.3200009906884,1537.966360816331,1575.9431985543395,1614.145709901244,1652.4620390079097,1690.7807682172343,1728.9926985725083,1766.988810205363,1804.6606594817504,1841.905412880907,1878.6261827947633,1914.7308372647908,1950.134036464798,1984.7584342521586,2018.534470564146,2051.399709496116,2083.30341679245,2114.2028403836575,2144.0615460562285,2172.849502931872,2200.5470439050905,2227.1447546424833,2252.637815845337,2277.025776051178,2300.313956763346,2322.5171694648952,2343.653643809844,2363.743209724241,2382.80774436517,2400.875736768576,2417.9790056455417,2434.149218890326,2449.417896423958,2463.8183889559427,2477.38772994395,2490.1621492756485,2502.176475565374,2513.464308535751,2524.060946376203,2534.0022638490955,2543.3222880807275,2552.053204998938,2560.2255720439266,2567.870672201363,2575.019283499884,2581.700305366728,2587.940791611857,2593.765971331833,2599.200697251462,2604.2696631566414,2608.9959288983164,2613.40101039793,2617.504879647423,2621.3260527589823,2624.882950402587,2628.193257540013,2631.273405105534,2634.1386785746276,2636.803217963973,2639.2800178314565,2641.581552310075
13009,"Baldwin County, Georgia",17.51398305755658,19.354708235344063,21.544755151966303,24.203863628228472,27.42436547715392,31.27585449312143,35.81000478160195,41.06438682671862,47.06634734506205,53.83489064060924,61.38366967887503,69.72205892008193,78.8557808259366,88.7890389751415,99.52443860986187,111.0626401604896,123.40390276722901,136.54836048349054,150.49545277642895,165.24369210086766,180.79162314566744,197.13791013051963,214.28132571939057,232.220218275287,250.9522949882513,270.47534692328094,290.7873076394086,311.8862531896999,333.77040212125587,356.4380377984234,379.886340826675,404.1121123798773,429.11241961100717,454.8845962152678,481.4262424300907,508.7352250351334,536.8096858241324,565.6476836397297,595.2445606636037,625.5953620504336,656.6957730794607,688.5421191544887,721.1313658038855,754.4611186805807,788.5296235620649,823.3348400747195,858.8690233125526,895.1272182299919,932.1052527540712,970.141873234302,1010.2443267654303,1053.5521950321836,1101.0641986093929,1153.4010186993899,1211.2372966573826,1275.229291513302,1346.0786443668148,1424.4927014834827,1511.23084512482,1607.1080023023997,1712.9865215661707,1829.79627520332,1958.5364971920112,2100.2574221918217,2256.070661151933,2427.1598215934637,2614.7721590172478,2820.180559209584,3044.7083520750352,3289.7403657858767,3556.690213944222,3846.928259897622,4161.828546301391,4502.778181539649,4871.113867024494,5268.007847586941,5694.549008085018,6151.756758272831,6640.465988929731,7161.184521706113,7714.232923023889,8299.756556225837,8917.551457833151,9566.95896857521,10247.072575028904,10956.742928671547,11694.34320968647,12457.804308702056,13244.854776440487,14052.99783690814,14879.272343479444,15720.480135103182,16573.373340553582,17434.587788159064,18300.499135693368,19167.537661627164,20032.269770174087,20891.30336895805,21741.29272258243,22579.148974275846,23402.052312197757,24207.380090377632,24992.777086594182,25756.196775785178,26495.889607183315,27210.356559142867,27898.504779883242,28559.501299498646,29192.705307097036,29797.67066454803,30374.266589419698,30922.663991717844,31443.13993555902,31936.067760809176,32401.96262549422,32841.589928483685,33255.77321408604,33645.34018838024,34011.13698685839,34354.16356686932,34675.47169159899,34976.07326799518,35256.94155815163,35519.06820265628,35763.50729080962,35991.263859202765,36203.28293236255,36400.454360286945,36583.68719314759,36753.87859904622,36911.86507202698,37058.424266774324,37194.2804474076,37320.15829454388,37436.75310895602,37544.709314156215,37644.62218214212,37737.03833770747,37822.48687099101,37901.480118830565,37974.49030472351,38041.953853851286,38104.271393079434,38161.80960471102,38214.926773725936,38263.95827782842,38309.212987499384,38350.97628818506,38389.51008029692,38425.05277921174,38457.82888763166
13011,"Banks County, Georgia",20.70402019695509,22.877683643377683,25.260938192404968,27.865131235554916,30.703208379734935,33.78748519244961,37.128600239227914,40.73550965751183,44.6153688524005,48.77394673690621,53.21580840451317,57.94458024278319,62.9631223860756,68.27381519101047,73.87863533699921,79.77910821366135,85.97659588203399,92.47237501307877,99.26754593001816,106.36294256320392,113.759371658695,121.45764827660493,129.45859542299252,137.7629140092851,146.37105689962252,155.2834755398975,164.50065128156737,174.02309538165338,183.85134900274142,193.9859787801435,204.42709978739617,215.17462936237433,226.22857325868026,237.58902593282036,249.25617054420667,261.2302789551554,273.5117157943154,286.10081563047345,298.9967177393632,312.19839796159266,325.70508879931197,339.51627941621337,353.6317156375313,368.05139995004265,382.77559150206537,397.80440231372796,413.13543704073885,428.7674976346215,444.6997064366968,461.07792552090154,478.3341922311336,496.95737878289833,517.3762721787491,539.8580779603612,564.6933315409084,592.1649591631603,622.5755912719784,656.2306114066272,693.4580176254265,734.6099535748664,780.0591817964454,830.2077829223651,885.4879567813672,946.3539875703335,1013.2866901240905,1086.7980674521334,1167.4276123923212,1255.7254514541598,1352.263215793968,1457.6389066264733,1572.4623919831965,1697.323437494092,1832.812404065026,1979.5243861299834,2138.0311162074613,2308.8304320264624,2492.382257291522,2689.114781629049,2899.3737412153764,3123.359523225616,3361.1894752373737,3612.903401150685,3878.3871920444794,4157.326882879195,4449.300938418953,4753.78274453405,5070.03822440503,5397.142351164297,5734.085711362501,6079.764658574016,6432.877644227945,6792.02567958671,7155.794488078115,7522.72549997637,7891.254303607125,8259.847017497787,8627.035025322413,8991.374013232156,9351.446963770355,9705.952219312047,10053.707939794967,10393.621685014961,10724.720974518681,11046.166687278082,11357.247382463069,11657.360004170969,11946.078672435018,12223.086841683655,12488.147056947024,12741.102145598052,12981.930017730314,13210.735577495036,13427.66533489783,13632.903747607745,13826.693177434114,14009.379890692599,14181.332002830017,14342.916912602645,14494.507423281048,14636.539211033985,14769.467419612964,14893.728660900646,15009.74160664855,15117.931015159134,15218.745908392371,15312.613494772391,15399.934853762383,15481.086962260328,15556.453566632885,15626.412220991866,15691.314591571916,15751.487287903688,15807.234123509921,15858.858222964653,15906.649753106998,15950.877493276712,15991.789582183763,16029.613726031543,16064.569915165523,16096.87062163566,16126.711577597125,16154.273627609467,16179.72272863662,16203.210707423035,16224.885594479345,16244.885677728444,16263.338293818804,16280.361088648047,16296.06201736296,16310.539344359438,16323.885448417892
13013,"Barrow County, Georgia",289.1988379744452,319.7482890986465,352.39477614498077,386.5808930192547,421.9540042190315,458.29373167585175,495.46120878354986,533.3747331136366,571.982854760941,611.2604077234591,651.1930442897757,691.7755385398336,733.0111513077038,774.9036114338751,817.4591029397833,860.687572116309,904.598483347194,949.2005705908447,994.5037249100615,1040.5187615031234,1087.2559309826588,1134.7250494858858,1182.9355604497546,1231.8974421906037,1281.620252369379,1332.113186600213,1383.3852918944713,1435.4454666607462,1488.302460704862,1541.965232312343,1596.4415954443587,1651.73838218634,1707.8625609961598,1764.8212382935617,1822.6216584601634,1881.2712038394532,1940.777411180751,2001.147806936496,2062.3858579425755,2124.4942714646663,2187.4764952687146,2251.3367176209417,2316.079867287838,2381.71161353617,2448.238366132968,2515.665923785207,2583.9915839553582,2653.2165535459535,2723.343003159764,2794.988162280551,2869.97136592205,2950.3310854826914,3037.835694992811,3133.5681863531736,3238.6942595317505,3354.336763021041,3481.691526189831,3621.9562449751006,3776.4144360017635,3946.4420250099956,4133.49322143173,4339.13674648979,4565.059161924465,4813.033346429958,5084.9377517713265,5382.774784305772,5708.657098196654,6064.744852451447,6453.288555930353,6876.647893147569,7337.237838269868,7837.409825204953,8379.53097718104,8966.000192330468,9599.142911288733,10281.021791892566,11013.571838936872,11798.623617384997,12637.710594977018,13531.830328620808,14481.67527804979,15487.652113160279,16549.587142181677,17666.54620036201,18837.175288568505,20059.707338361794,21331.561879744342,22649.39793320816,24009.511595115735,25407.79556063597,26839.32781774609,28298.751095141713,29780.58829648416,31279.128494613775,32788.17516973518,34301.585869486895,35813.41449348927,37317.748585511996,38808.71298212635,40280.84682282761,41729.12851467359,43148.849044143455,44535.73196515423,45886.0276995045,47196.4966407423,48464.3258656165,49687.388659489625,50864.018087236196,51992.89604972015,53073.057070654366,54104.082338293854,55086.087981913195,56019.394281766035,56904.50566553863,57742.187631878805,58533.65777185919,59280.25104363113,59983.32314744333,60644.27528078553,61264.792421725135,61846.664636483154,62391.621048942485,62901.331558635946,63377.50814572681,63821.98543141252,64236.51768752667,64622.75769864953,64982.26541957937,65316.64272978635,65627.47754339817,65916.25222968297,66184.34653535255,66433.04745968738,66663.64808534237,66877.39305817438,67075.4367098634,67258.84600091212,67428.60144092316,67585.65463044838,67730.93048238542,67865.28200995842,67989.49775779902,68104.30180194647,68210.35717896117,68308.3138117969,68398.78179730319,68482.32307026161,68559.45682865247,68630.65953365498,68696.36490964699,68756.98233953532
13015,"Bartow County, Georgia",268.8087388369598,299.8583150270727,333.3937759609095,368.9879881280307,406.3822121135383,445.4224435263237,486.0161083475124,528.1124883291758,571.6808176411573,616.7080913418895,663.1870893544161,711.1156521319049,760.4965758363672,811.3318835121021,863.6245987231276,917.3796460096196,972.601177378003,1029.292573142877,1087.4577153911098,1147.1005076855668,1208.2243515559496,1270.8323579581404,1334.9274013245126,1400.5124879015357,1467.5894691272579,1536.1599356285963,1606.2255152519044,1677.787873062967,1750.8487113470064,1825.4100527969797,1901.4714589334772,1979.0310548304587,2058.087458122743,2138.639781331252,2220.6876318630207,2304.2311120111863,2389.2708430419834,2475.807233286644,2563.833570396676,2653.3421585334113,2744.3268120795974,2836.7828556393956,2930.707124038385,3026.097962323556,3122.9552257633104,3221.2778914443993,3321.050108333374,3422.2631239371362,3524.910088131531,3629.888451346598,3739.8639860814615,3857.8230837115293,3986.3530664525197,4127.031290895675,4281.552263976472,4451.542029839547,4638.727365906446,4844.829631355075,5071.686449731502,5321.260040832085,5595.613469241093,5896.962165186271,6227.677969699752,6590.237360724679,6987.247248427911,7421.4711101084795,7895.805542486709,8413.180337657514,8976.621081473226,9589.276620308823,10254.334910690077,10974.84069234029,11753.816009662269,12594.283495397734,13499.109703278831,14470.727278677832,15511.341868129673,16622.967405096562,17807.151279988826,19064.639904423195,20395.72864635471,21800.293485531634,23277.386511303346,24825.00369124049,26440.58684572974,28121.03807964386,29862.18765829016,31658.894863174486,33505.60754018662,35396.31084812996,37324.00055331686,39281.20704810253,41260.41129773217,43253.89757225457,45253.4527258566,47251.04961856258,49239.01562611895,51209.832442869396,53156.16182159925,55071.26760132939,56949.034036639394,58783.826511689076,60570.65074362482,62305.19486970918,63983.798338993365,65603.36611340485,67161.73574729713,68657.30320339501,70088.863899636,71455.61965264805,72757.48424793732,73995.03190945994,75169.04724392742,76280.51025567793,77330.70243326927,78321.44806521239,79254.68569740377,80132.35146266714,80956.41109367846,81729.16078387664,82453.00075098156,83130.23645000662,83763.08165013531,84353.78407333871,84904.72153226633,85418.15943347491,85896.22760947322,86340.9309234347,86754.3118333868,87138.38266438036,87495.02021096469,87825.96988268965,88132.85761349702,88417.30727744022,88680.87592094962,88925.00744316124,89151.03640536853,89360.18913399069,89553.65169986957,89732.5716989858,89898.00757909843,90050.93813495753,90192.26250830451,90322.8042523998,90443.36732996076,90554.70441355873,90657.50915776468,90752.42283760289,90840.03434855085,90920.8802065393,90995.4656341071
13017,"Ben Hill County, Georgia",14.987221262457512,16.784636552204823,18.81696389817068,21.133022435375988,23.770719397593346,26.75835085106526,30.11628793269029,33.858543315907276,37.99433693573148,42.52899296348117,47.46523155804137,52.80369453459715,58.54326331269424,64.68203298458215,71.21731080592896,78.14546188216711,85.46265020820134,93.16498252466394,101.24825363502794,109.70781205178969,118.53905694612827,127.73749290261001,137.29872627455873,147.2182089257203,157.49108959757103,168.1126224444639,179.07820821264247,190.38339424023997,202.02387445728016,213.99543444241638,226.29336945319335,238.91287429837644,251.849353406492,265.09842107376016,278.6559014640967,292.51782860911106,306.6804478724802,321.1399228332421,335.89141446413015,350.9301055906245,366.2515016787497,381.8514308350739,397.72604380671015,413.8718139813156,430.2855373870905,446.9639860193789,463.9018644634967,481.0949743590772,498.5394810853404,516.3844012033956,535.0782662174245,555.1224911824911,576.9497753490939,600.8216752278225,627.017979494502,655.805554864481,687.4668320111102,722.281735642889,760.5480659763539,802.5827805381826,848.7177814592976,899.308423312788,954.7341242694274,1015.389372585329,1081.6879473688168,1154.0671996197943,1232.9840131783362,1318.8979990136402,1412.2819538895192,1513.6264066977706,1623.4256782924813,1742.1478251217814,1870.2549257444439,2008.2069965167007,2156.4365413579194,2315.303516823376,2485.1300067060633,2666.2062035142494,2858.746273689687,3062.8349063924475,3278.48525750296,3505.644407496316,3744.1288189519582,3993.5879287393445,4253.586083899798,4523.605093328639,4802.959489772462,5090.813495860817,5386.270941880764,5688.367072964712,5995.9847590881955,6307.938064753922,6623.038004338518,6940.068903104798,7257.740617467043,7574.7960125616155,7890.037005275565,8202.292618147074,8510.422916918706,8813.384219423227,9110.231598299195,9400.096884884282,9682.213623517191,9955.9223409772,10220.665441773384,10475.97383913265,10721.5251341622,10957.083585875796,11182.474832658658,11397.587010788815,11602.41955939311,11797.074751799988,11981.686605414718,12156.418657750386,12321.480796909216,12477.167257664343,12623.78928685101,12761.656918184608,12891.084024892141,13012.435685986868,13126.092624756087,13232.420176485088,13331.768791385246,13424.49379017888,13510.970425845082,13591.55599783229,13666.586280792417,13736.377190115205,13801.250261376705,13861.522045056741,13917.487711196274,13969.421713236643,14017.579654663023,14062.216656238686,14103.577228532567,14141.888100660884,14177.358822825612,14210.181938982849,14240.543610505145,14268.623878161214,14294.588794477406,14318.591921160249,14340.774329096426,14361.265233452808,14380.19072992928,14397.668840132377,14413.8083396178,14428.709798637894,14442.465582141589,14455.159849774453,14466.871837869223
13019,"Berrien County, Georgia",18.94155364572369,21.18028579713801,23.66872092407472,26.43663697852085,29.510111210189116,32.91068112687657,36.655414571923245,40.75757807616514,45.22723277285515,50.07187132734644,55.29708085133505,60.90692706740368,66.90418975836582,73.29095409288705,80.06865188135697,87.23795999794463,94.79929361240309,102.75291502952494,111.09876507918953,119.83634045108634,128.96506203703763,138.48432214178112,148.39348417067995,158.69169157172783,169.37768044017548,180.45015408937945,191.90783113291866,203.74944548459376,215.97374635842777,228.57949137764376,241.56476414310774,254.92734848347246,268.66514123915084,282.7761526746847,297.25850647874523,312.1104397641319,327.3303073151781,342.91634356727656,358.8652292233895,375.17346511586857,391.83787801380925,408.85562062305223,426.22417158618333,443.9413354825328,462.00524282817446,480.4138457650799,499.16196588175654,518.2459210792265,537.6624390851399,557.5833364947647,578.5226057837291,601.0582574417645,625.6928265944642,652.7338688363784,682.5127292421662,715.3479912385236,751.5779370834938,791.539789676257,835.5929641527326,884.1204849636646,937.523942606657,996.233271035299,1060.7074296210183,1131.4234941436084,1208.8813009589844,1293.6085348107213,1386.1556307707244,1487.0747494708644,1596.9322374040107,1716.3141102806412,1845.8085867647349,1985.9685573835827,2137.336368515864,2300.4485033407273,2475.8040357369405,2663.809041493147,2864.819491530479,3079.148606935518,3307.0130410073325,3548.46806003679,3803.479632780776,4071.9313946975026,4353.547312325816,4647.849295282782,4954.2586002956195,5272.099402597061,5600.498911132652,5938.410390435178,6284.722486200493,6638.249850253208,6997.636303156571,7361.455491099974,7728.288261897822,8096.695184660826,8465.163513855783,8832.230676287278,9196.512954891356,9556.669321948411,9911.408046402228,10259.555751503281,10600.058882841693,10931.960515993054,11254.42957951063,11566.758928170018,11868.35848335839,12158.741844582317,12437.596581059539,12704.706689718627,12959.921803030104,13203.15868207967,13434.462934728715,13653.995577746373,13861.948725808572,14058.544095584914,14244.0530861342,14418.840025803895,14583.284919564812,14737.763257666456,14882.651847339239,15018.382727509332,15145.40261614578,15264.138752153518,15374.99956497607,15478.39693125168,15574.762726297482,15664.507193068479,15748.015262650384,15825.648416895276,15897.772892440771,15964.747910417162,16026.908134184938,16084.564477827214,16138.00617250288,16187.520886324917,16233.383630269249,16275.849319977176,16315.153473882505,16351.512403477584,16385.134801785694,16416.221924269703,16444.959336604985,16471.51863485203,16496.057445456423,16518.72011905702,16539.647178244322,16558.969897593284,16576.8092760974,16593.277198626383,16608.476435926175,16622.500644618933,16635.43786450996
