Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,310.9516718809394,352.06958026691893,374.1009561198524,383.2190821529232,383.68592328197406,378.43328160637105,369.494520258214,358.24364086601736,345.6465481494062,332.33631383857,318.7511319660071,305.198768805432,291.8499976313523,278.8353578624771,266.2460755335434,254.10987055711269,242.4449248070457,231.2708554720777,220.58967920587972,210.38140897977235,200.62984920878287,191.32351419565,182.45388817533592,174.00020866946198,165.93967674645563,158.25294761999524,150.92359405107953,143.93810634802784,137.28454386243877,130.94465065315526,124.90118003705683,119.13876162402065,113.64353634270954,108.40315644057176,103.40678548384092,98.6450983575369,94.10867318421788,89.78468812086508,85.66126457863263,81.72759912394686,77.97394781510172,74.39162620225888,70.97300932744778,67.71153172456546,64.60168741937655,61.63902992951374,58.82028766943955,56.136525147668166,53.57670031843095,51.13138605465897,48.79277031587127,46.554656148174956,44.412461684265175,42.36322014342517,40.40557983152588,38.539804141026806,36.76777155097513,35.09582025244837,33.540634642572556,32.07748152973181,30.679405298824296,29.325931308964517,28.003065893483345,26.70329635992802,25.425590990062126,24.175399039865635,22.964650739534974,21.81175729348267,20.74161088033801,19.78558465294615,19.006117186647074,18.400844732097323,17.85129134824485,17.26679098427833,16.58789000022991,15.786347166975109,14.865133666232966,13.858433090565882,12.8316414433797,11.8813671389236,11.13543100229072,10.75064248055518,10.73199509947084,10.821954915582957,10.807420277693474,10.552190878103271,9.996967752612152,9.159353280518687,8.133851184620797,7.091866531215089,6.281705730096746,6.026841232165503,6.2851173937047005,6.6348720296802774,6.840365987052399,6.759143449551977,6.342031937680966,5.633142308711749,4.769868756687798,3.9828888124231554,3.596163343502998,3.7903617155653646,4.117288893359879,4.361772624555018,4.39812056492777,4.175306367819232,3.7169696841342947,3.121416162341962,2.561617448475463,2.2852111861313884,2.4369388476144582,2.688129103210361,2.8812044166105415,2.9237194679293346,2.777206326086095,2.457174448805285,2.0331106826163863,1.6284792628539855,1.4207218136574884,1.5384408004429688,1.7555433742607458,1.9383093973427177,2.006709263740267,1.9232432467761567,1.6929414990442857,1.3633640524100126,1.024600818009933,0.809271586251942,0.8672519689411053,1.0790986857805782,1.293407158369771,1.4220316799737982,1.415612330069503,1.2635749743454372,0.9941312647018852,0.6742786392510023,0.40980032231637653,0.34526532443366587,0.44622955115416146,0.5072476521132573,0.5491495321829732,0.5767164081012661,0.5827564331303716,0.5668411731545328,0.5353065138308212,0.5012526605891746,0.48285316783845467,0.4695185601663857,0.4538081771300615,0.4365967726964796,0.4189142590946634
B,171.39741421933746,204.17397438685694,223.80531596791303,234.50270551014668,239.14788640953068,239.70774522163936,237.53911971436028,233.5546540047675,228.39718398371895,222.48944949049485,216.12794041863316,209.525755357987,202.80652567109178,196.0693683433133,189.38855166165095,182.79687321094204,176.3211375107321,169.98885754311937,163.8155273204544,157.80216220774452,151.95152108644874,146.2684498232233,140.75878229529366,135.41996168167046,130.24763070489587,125.23880498364417,120.39151296736937,115.7047959363055,111.17797023849688,106.80618573603239,102.5845219020722,98.50872102801416,94.57500051876276,90.78005289272858,87.1210457818286,83.59562193148648,80.20124050129373,76.93300068218196,73.78581619516333,70.7551105269078,67.8368144280043,65.02736591296078,62.323710260204166,59.72330001208032,57.22409497485398,54.82456221870919,52.52435952720257,50.318661739577266,48.200350183626256,46.16346937802543,44.20322721423682,42.315994956508604,40.49930724187527,38.75186208015746,37.07352085396178,35.46530831868146,33.92941260249563,32.471805062788924,31.108731294549234,29.81990241730047,28.582748412289963,27.380240161365194,26.200889446973832,25.038748952163672,23.89341226058266,22.770013856478954,21.679229124700917,20.637274350696856,19.665906720515604,18.792424320805683,18.074575544104203,17.51447464350679,17.003879621062485,16.459875448833316,15.828153076130793,15.083009429515872,14.227347412799038,13.29267590704019,12.339109770548696,11.455369838883312,10.758782924852751,10.393751058404698,10.372422824415311,10.454398244172603,10.437426698974823,10.192233274908622,9.662518762849075,8.864959658459501,7.88920816219204,6.897892179286998,6.126615319772775,5.882336944872412,6.128301278655453,6.463149140816146,6.659333471330812,6.579315777789958,6.175566135398524,5.490563186975327,4.656794142953675,3.8967547813808756,3.5229494479187773,3.7101884249754455,4.026436031319407,4.262821762830953,4.297224189497093,4.080045802157949,3.6342130125064567,3.0551761530886714,2.510909477303873,2.241911159403735,2.388830048102174,2.6324946475580684,2.819652411494218,2.8603783114661967,2.7172512362915584,2.4053539920499247,1.9922733020828949,1.5980998069941315,1.3954280646490778,1.5092862062543717,1.7196772969747502,1.8966830646267794,1.9625683472787236,1.8809114990008764,1.6566043898653189,1.335852405946235,1.0061744493196985,0.7964029380637296,0.8520819756763951,1.0569174825735748,1.264087131051668,1.3882245889129015,1.3815296754281028,1.2337683613366792,0.9722727688466415,0.6619411716347379,0.4052379948460323,0.3421938150945127,0.4394771339393913,0.49812207546900966,0.5382615736810153,0.5645300542178988,0.5699963647493163,0.5542567886170521,0.5234359208286469,0.4901866680574334,0.4720579509632627,0.4588317239040598,0.44332692143711777,0.42638837697159365,0.4090099330801499
C,590.7107478473222,647.8782131687192,675.7653582539665,683.9363117140883,678.991106756337,665.466480865718,646.5053456802239,624.2277340583672,600.1206251706053,575.1548333816057,549.9991079249957,525.1201909590889,500.77261477007613,477.1489025697468,454.3809922761507,432.5026123528628,411.5330735560282,391.49431080795074,372.3812766933883,354.15505932002725,336.78295489408777,320.2398915491201,304.5057238320991,289.54153590098576,275.3054802004774,261.7613472871833,248.87773417797206,236.62804434997304,224.98839229824318,213.9252553103924,203.40681013334432,193.40438977334568,183.8919225481404,174.84593208696896,166.2455373305684,158.0724525311738,150.30843772859936,142.92993999493896,135.91499505147814,129.24351195067484,122.8972487410313,116.85981246709417,111.11665916945448,105.65509388474746,100.46427064565242,95.53519248089373,90.86064213442044,86.42442348834413,82.20728883861432,78.1926377777277,74.36651744071334,70.71762250513282,67.23729519108024,63.91952526118225,60.760950020597534,57.76085431701799,54.92117054066756,52.25063535121349,49.77241167840103,47.44766317460917,45.23452495508074,43.10099927783757,41.024955543680505,38.994130296189354,37.00612722172293,35.06841714941907,33.19833805119477,31.423095041745594,29.779760378546744,28.315273461851653,27.118490731638186,26.179853110523165,25.328298231257,24.432978964822553,23.407933286599498,22.21208427636435,20.8492401182905,19.368094100948095,17.86222461730412,16.47009516472222,15.375054344963672,14.800991848325753,14.737861757454304,14.824938695496765,14.771226621641487,14.39072406174136,13.602424108313794,12.43031442054051,11.00337722426835,9.555589312008344,8.425922042935554,8.055867014745946,8.374948568249522,8.812063660144167,9.06027603490233,8.934221584219932,8.370108347016737,7.425716509435549,6.280398404843096,5.235078513829325,4.712253464208163,4.943210275255202,5.340342293071378,5.6331220215399265,5.664394248500101,5.370524984728178,4.781401463937076,4.020432142776728,3.3045467008342495,2.9441960406328382,3.1182352014852466,3.412815815601191,3.6364707152784064,3.677404164589365,3.489188915647143,3.0907662086055274,2.566445771658905,2.0659058210423713,1.8041930610313817,1.9355603035235107,2.184184019744991,2.3921223820759607,2.4653361594545156,2.3598079766912865,2.081542314469153,1.6865655093436263,1.2809257537425818,1.0206930959663343,1.0817070732503755,1.3207236791819315,1.5622724169462412,1.7053481686293217,1.6934166757070885,1.5144145390453352,1.2007492188997533,0.8292990349161029,0.5214131661296978,0.44291165096614615,0.5545257174325281,0.6208334086467844,0.6654048837016819,0.6937302235787975,0.6977904615647313,0.6771612492903476,0.6390138784691057,0.5981152808971018,0.5749271512366978,0.557565191084062,0.537668802169186,0.5162197038907819,0.494370176320151
D,2988.113577086688,3318.528193908819,3486.8046545999778,3545.649301488256,3531.450655928553,3469.2361354538266,3376.356642454401,3264.528547515384,3141.979891226098,3014.0941621003303,2884.589324490606,2756.0688920139482,2629.966088409742,2507.370865253512,2389.0377974807216,2275.17945713845,2165.9275170105675,2061.4264073768563,1961.6706378910458,1866.4676370491868,1775.6576293799271,1689.1213074986651,1606.7649780657273,1528.391131491503,1453.7858163285628,1382.7648436984236,1315.1691603625438,1250.8648487223295,1189.7317216532242,1131.5969178736673,1076.2969540179565,1023.6847229890874,973.626388688633,926.0013860167412,880.7024208721349,837.6354701521171,796.7063746241927,757.7933282107824,720.7830221083345,685.5716980111985,652.0650172824033,620.1780609536563,589.8353297253436,560.9707439665303,533.5276437149587,507.4587886770532,482.7264400058874,459.2467990802544,436.9200109544673,415.6598588920125,395.39376566740776,376.06279356620155,357.62164438497456,340.03865943133894,323.2958195239355,307.38874499244054,292.32669567755914,278.15445686367383,264.99387405790577,252.64256606609885,240.88196849099526,229.54497609011287,218.51594277574452,207.73068161495863,197.17646482959887,186.89202379628443,176.9675490464106,167.5446902661459,158.8165562964374,151.0277151330036,144.64590895451454,139.62588666284745,135.06749631191624,130.28202578087203,124.81698326208299,118.45609726113378,111.21931659682643,103.36281040117923,95.37896811942728,87.99639951002179,82.17993464463487,79.10845625661376,78.73922512554059,79.16786502359963,78.85343814744853,76.81093071101607,72.61125294550226,66.38123909937704,58.803647438384886,51.11716024553944,45.11638382112302,43.13879657013075,44.817116215158386,47.12524552097676,48.430980229928295,47.748512684988576,44.73843182976824,39.70772320850872,33.60976896608701,28.044347848011878,25.257635200427863,26.48094504723178,28.59133892428548,30.146439864513344,30.307960852490652,28.736375200190558,25.590916546982008,21.529578859631872,17.709116432305706,15.785043886561905,16.71206464204869,18.283855500356513,19.477109171420302,19.69411613731383,18.686607394151157,16.555754452087257,13.752169335317364,11.075904582077607,9.676453244643099,10.378905654203667,11.709491282683924,12.822481884999906,13.214146739566235,12.648679078612453,11.158196088181416,9.042738908131396,6.870272632134641,5.4766863076777605,5.803938185525215,7.085734363627008,8.381331081683687,9.148809213108521,9.084835441297196,8.124662259627693,6.442127971460389,4.449656690138986,2.7982583389877416,2.377528651315444,2.9767101042864574,3.3327170684708194,3.5721054265579038,3.7243234362607605,3.7462696780040328,3.635641955969582,3.430942785915059,3.211479395174134,3.087152741608928,2.994114613401868,2.8874507255225876,2.7724330203965075,2.6552510516047216
E,262.76481072678166,297.6245717015309,317.0758609987052,326.11543679897835,328.16353524960397,325.5540698876117,319.8954777671339,312.2675281640466,303.4282405800082,293.87325837428585,283.9474914690414,273.8962544077496,263.8582613245098,253.94303213269222,244.2306285444222,234.75186912892192,225.53071675536705,216.5923621183632,207.94801625139826,199.59188543875555,191.52065408326933,183.73392678921016,176.23290128166988,169.00902412884415,162.05189866534926,155.3531083347367,148.90578225602195,142.704595223685,136.7448513018917,131.01702314539025,125.51180142823561,120.22089212997297,115.13677812641411,110.25271918963749,105.562751987988,101.06169008607772,96.74423815263023,92.60239554729469,88.62820601508227,84.81442825402743,81.15453095090413,77.6426927812257,74.27380240924495,71.04345848795408,67.94796965908449,64.9843545531075,62.151007235923636,59.441152617439954,56.84551894524598,54.356243671575754,51.9668736540962,49.672365155907016,47.46908384554089,45.35480479696338,43.328712489572524,41.39140080819983,39.544873043109284,37.79550946658948,36.16119657571634,34.61812066612057,33.139948011481714,31.706725234667452,30.3048793077336,28.9272175519241,27.572927637671043,26.247577584594666,24.96311576150342,23.73787088639364,22.596552026450208,21.57024859804562,20.7239576338891,20.058788449168787,19.45214595137933,18.81011675434136,18.07113339367674,17.20597432680851,16.217763932961,15.141972513159672,14.046416290231235,13.03125740880349,12.229003935306014,11.80259320045599,11.762913916220295,11.8396993055994,11.806761774385556,11.519510548727286,10.914951675129394,10.011688020452771,8.909919271915042,7.79144193708984,6.919649343906698,6.637705946987832,6.902718014990739,7.266533710416477,7.476757927228784,7.3808403635052855,6.926075521437775,6.159602707331589,5.228406031606301,4.379314408795167,3.9590015575457285,4.16085822298122,4.505202312307287,4.7615342330478025,4.795187343165859,4.551482026277016,4.0557256916489655,3.413212774201869,2.8092247345084806,2.5090300587932215,2.6674705987835026,2.932282045754329,3.135094834973033,3.1771701183411594,3.017425424865886,2.672434660660122,2.216428108942406,1.781292430037,1.5565706613735888,1.679400381175927,1.9079822655482157,2.1000616681552167,2.1705713077260884,2.0796570488524666,1.832677901988198,1.4802060234496865,1.1180267154156567,0.8871384259272188,0.9467773988994946,1.1694007788923055,1.3945805724978702,1.5291516161777,1.520948523489927,1.3588056850892705,1.0725572687270712,0.7330372192514363,0.4520792586067717,0.3825168858344622,0.487991803755058,0.5513642667497094,0.594576854669814,0.6226868792880885,0.6281493400562783,0.6105285878231593,0.5764992791948294,0.5398463765347469,0.5196871562082492,0.5048924490595638,0.48763974082907924,0.46884836333913993,0.449599670465849
F,554.7864276230675,632.4042818896966,674.9172590894646,693.6407663588417,696.3789451692202,688.4961185611073,673.7116514158873,654.5390227249443,632.7473436777158,609.4985881627094,585.6002232985968,561.6228198190884,537.8873621260094,514.642034822565,492.0634794978396,470.2124987338653,449.1322800784766,428.8681100936,409.4326714166853,390.79836056303645,372.94379937410014,355.85535963109766,339.5240303775663,323.9182025238263,309.00220313453576,294.7459858162245,281.124149551348,268.11593869828863,255.70290139593916,243.85514979367437,232.54417329651548,221.74448984312386,211.43301828422463,201.58907838260544,192.19439081311737,183.23307716267547,174.68905598460302,166.5401503077283,158.76538858488152,151.3456447840599,144.2636156225038,137.5038205666964,131.0526018323642,124.89812438447652,119.03037593724547,113.441166954127,108.12459676641089,103.064361639504,98.24003772006498,93.63414849054634,89.23216509911992,85.0225063596765,80.99653875182626,77.14857642089876,73.47588117794196,69.9786624997241,66.66007752873199,63.531441188220846,60.623011339280666,57.889189051530316,55.28030686708493,52.75856933931391,50.29805303284077,47.88470652354331,45.51635039855347,43.20267725625745,40.96525170629589,38.837510369563034,36.86476187820817,35.10418687563385,33.66785701837998,32.54913107080375,31.534323447970404,30.45991744566157,29.21860835800485,27.759303477473768,26.087122094887892,24.263395499412677,22.405666978559495,20.687691818185513,19.339437302494822,18.642334190274994,18.59422503950249,18.73747950729722,18.698282614003404,18.237711952027674,17.251737685839128,15.771222551968977,13.961921859011632,12.124483487623497,10.694447890522776,10.239118406434391,10.674015558334709,11.263239760282737,11.605453006301605,11.458234743999922,10.738081874572256,9.520408752798124,8.039547187043095,6.688746439257909,6.020173224979436,6.33777688462422,6.874807229923335,7.273818421165012,7.32682139788113,6.949545691933744,6.18143942751461,5.185669321145685,4.24912068167933,3.7823974102968565,4.022931397042321,4.423990159200385,4.730309529242255,4.792665220076515,4.5490630792216145,4.024739088806026,3.3321593655680815,2.671020160856128,2.328247860628055,2.510144888830713,2.8492642309327967,3.1336335346669006,3.2368955503908103,3.0998962211671377,2.7306846827629276,2.2045132636501767,1.6638374850054765,1.3183160607101165,1.4043166154491116,1.7301821374555089,2.0594379234185802,2.2556343860886283,2.2423932858301443,2.003407730621764,1.5824421760563108,1.0833324253410122,0.6699856292968126,0.5663802863593711,0.7194138625542427,0.8110427298807662,0.8731955422005585,0.913290383972815,0.9204372018616348,0.8940481696454805,0.8438390734001466,0.789829311498815,0.7597638537329903,0.7375220758174563,0.7117665339131218,0.6838314752723528,0.655283358292824
G,130.27205563936016,151.45706551084695,163.80068133432826,170.1545783776271,172.46967893216168,172.07684982952796,169.89330939836577,166.53501154288077,162.43482367835142,157.87628468053978,153.0572649114893,148.11906975249366,143.14237025714417,138.1912924282288,133.31322059315164,128.5275273084694,123.8496724594063,119.2957709734385,114.87394529689428,110.58264298255291,106.42166069926316,102.39237954248021,98.49701200405875,94.7322025789996,91.09353071394948,87.57762635368846,84.18191974174171,80.90464142037968,77.74430572055051,74.69668166782351,71.75765636825665,68.92362525203322,66.19135445331251,63.55798081022963,61.02101186489572,58.57832586339807,56.22769619655606,53.96542549271193,51.78782020633043,49.69153410158907,47.6735654760491,45.73125716065549,43.86229651973697,42.06471545100603,40.336890385558696,38.67754228787506,37.08620736653264,35.55959990098747,34.09295923031854,32.68228128230361,31.324318692248422,30.01658080298669,28.757333664880168,27.54560003581862,26.381159381219604,25.264547874029,24.19705839472048,23.182523892131194,22.231958286611416,21.33186519373142,20.467162806107098,19.626467674203038,18.802094706332525,17.990057168657497,17.19006668518856,16.40553323778506,15.643565166155048,14.914969167855094,14.234250298290704,13.61961197071576,13.111015176149632,12.711378063221423,12.346003861004593,11.957634319491762,11.508771894934931,10.98167974984547,10.378381752994152,9.720662479411079,9.050067210385743,8.427901933466927,7.935233342463142,7.672182312671737,7.652330789271105,7.706668639753763,7.690748124526598,7.51222611738725,7.130864105524133,6.558528189516311,5.859189083333892,5.14892211433759,4.595907223278639,4.419309159954991,4.597369630780498,4.841901849211751,4.985200605170619,4.925844943679637,4.628698164862201,4.124907823942143,3.5119057312442035,2.9534079521936545,2.6794148073166966,2.820327166853214,3.0593828332672626,3.2387611814131083,3.2658297265738754,3.102888130088466,2.76716819935134,2.3308338878127373,1.920981294978763,1.7196386664107612,1.8344603034305098,2.0246927977324463,2.171515482195829,2.2049557633888504,2.095844136656268,1.8558141861194717,1.5373025846764141,1.2335490940016767,1.0785965645462592,1.1703909451413466,1.3390206905438908,1.4814040561516537,1.5356023767292561,1.4725652576905535,1.2961305750984407,1.0430244756651044,0.7828613767518504,0.6181439663691527,0.6649942330482653,0.8324870208805308,1.002174474743897,1.1044933072707537,1.1004732305659164,0.9817369562066111,0.7705001952424909,0.5195716581957478,0.31235305506076416,0.2628390953046196,0.3437360364126446,0.392917585030169,0.42698295284995547,0.4496943572304752,0.4552484943670262,0.443266482894898,0.4187945896596364,0.39230422971707146,0.37833697630402313,0.3683935218842618,0.3565069805364259,0.34337695715981903,0.3298298378416074
H,132.14051757288482,154.96444039112654,168.4757957337758,175.65894369148398,178.55605553000746,178.56106882530966,176.6357461993067,173.42721784522132,169.39155415594544,164.82896367322508,159.95026274637416,154.90721720354665,149.78820292139164,144.66420155103856,139.5885455023692,134.58512686748045,129.67351902389515,124.87371553596903,120.19711354297198,115.6447673787287,111.21888828520191,106.92308972136435,102.76161311014495,98.73268816169153,94.83317978803323,91.06088440928775,87.41428002787252,83.892526228505,80.49495091375717,77.2178851995175,74.05751052910534,71.01047861116466,68.07378645970518,65.24477639410206,62.52113603909603,59.90089832479373,57.381987236239,54.960545451050685,52.63250652731053,50.39420352432905,48.24236807440404,46.174130382820735,44.18701922785182,42.27896196075724,40.44828450578435,38.693711360168116,37.014868663145535,35.407930074666794,33.86732852392076,32.38839679182583,30.96736764911122,29.60137385631698,28.288448163794058,27.027523311704325,25.81843203002027,24.661907038525587,23.559581046814607,22.515916327131126,21.542800317236004,20.624923990215112,19.74533300469457,18.891222519214804,18.053937192230613,17.228971182111124,16.415968147139793,15.618721245514445,14.845173135347304,14.107415974664752,13.421691421407797,12.808390633431447,12.309341694397848,11.924687466055893,11.57574688805726,11.20228301940884,10.764830240524953,10.244694253227273,9.643952080744906,8.985452067714318,8.312813880179348,7.690428505591173,7.203458252808703,6.956411802266487,6.953471847033236,7.022731430603365,7.021582493267154,6.858887356637095,6.494978723647895,5.941659678556351,5.262203686941773,4.5713545957055,4.035326633070858,3.8706330537656526,4.047856406478984,4.285196227165746,4.42627000638824,4.376598003490726,4.103603246599601,3.6366115326230015,3.0668514272512444,2.5474542649564746,2.293454148993043,2.424000160322507,2.6410543645698836,2.8036095894444153,2.829460554629531,2.685276033675171,2.3865988539975875,1.9978458968795434,1.6323080974703947,1.4521504447855194,1.5515643713562677,1.7149227010120032,1.8404420340820715,1.8685363326769011,1.7744395234398993,1.5682054975475144,1.294708110709173,1.0336411831673396,0.8995184996973279,0.9749222672205748,1.1134885176109186,1.2299962633825294,1.2735708228118545,1.2203899535606124,1.0736838526756312,0.8637351565890595,0.6478789411182208,0.5105027214656557,0.5468253218117379,0.6801165644565879,0.8147907033474877,0.895517430841693,0.891322157514258,0.7955860121580219,0.6260458417836225,0.4247942116195878,0.2582794051120535,0.2173054239251706,0.28030869756883786,0.3183190600453185,0.3443318968294833,0.36135472085328507,0.36493784501602916,0.3548335225379351,0.3349965114458971,0.3135840745735055,0.3019047963478875,0.2933832042933489,0.2833966378676824,0.2724900735761388,0.26130375863708394
I,270.951071030506,310.5780995577877,332.80087533538233,343.222107984202,345.6944797017441,342.85923481642897,336.5443119414633,327.98300988489694,318.04380181463324,307.2975884206795,296.1426530717491,284.8624099195846,273.61839477837117,262.53735523275503,251.71145647903097,241.17622165711265,230.9586466976432,221.08665636479824,211.5719898393421,202.40652754267163,193.58487301717292,185.10501802514108,176.96682881127,169.1588631301384,161.66734662239028,154.48092999011834,147.59021922456935,140.98777560614496,134.66702897573282,128.6156475529018,122.82148280160999,117.27371199031937,111.96256609086714,106.87932977846582,102.01634143170293,97.36699313254195,92.9245682090363,88.67894555137306,84.62014955483703,80.73914093062776,77.0278096508084,73.47897494830568,70.08638531691007,66.84471851127554,63.74958154691957,60.79751070022368,57.98643139721375,55.30807794687047,52.75152371254648,50.3075206212335,47.9684993739028,45.72856944550516,43.58351908497093,41.53081531521012,39.56960393311191,37.70070950954555,35.92663538935953,34.25464584857763,32.703214588137264,31.246008542690824,29.854247534520056,28.506122455270752,27.18679526595279,25.888398996940065,24.61003774797054,23.35778668814625,22.144692055933376,20.99077115916188,19.923012375026207,18.975375150084332,18.213788418213973,17.6342274576968,17.11164924353155,16.550419315358695,15.887839368375227,15.094147253334603,14.172516976546845,13.159058699878413,12.122818740752278,11.165779572147787,10.42285982260137,10.058980387889104,10.070771350801335,10.191400133317169,10.203922587575166,9.969721908087203,9.428508631738486,8.598320637787356,7.57552314786593,6.534808725979373,5.729197278505815,5.488202525248598,5.760879558755857,6.12067166970569,6.336882087438381,6.270209796633347,5.872749537309422,5.187991804824263,4.350822849874994,3.587524678497701,3.2157750520679733,3.4098224083422273,3.7282112024357428,3.9668868741733974,4.007266351764476,3.801353758212869,3.371740411316773,2.811604823668995,2.284712702657056,2.025416950462369,2.1689013928695164,2.4029615375925295,2.5827636114938395,2.6237217159816266,2.490721698722324,2.1981211536407104,1.809749420919815,1.4389075870010073,1.2483684845837293,1.3549956956551497,1.550185398384828,1.7141713721704503,1.7756206384589213,1.7011509266839755,1.4953306742659542,1.200679026612098,0.8976658371163468,0.7047116671593947,0.7552755658823616,0.940903631320396,1.1282787625745252,1.2405754020047057,1.2347954770680873,1.101768400318987,0.8661510694089175,0.5864278670867056,0.35491066119810794,0.2977388046863676,0.3850291295644642,0.43769565749463435,0.4737037711242057,0.49723467580042036,0.502172289335678,0.4881927484914506,0.4607651879568334,0.4311517403485765,0.4149579156987297,0.403122925242873,0.3892745769986644,0.3741655674654297,0.3586788985188475
J,136.3803054914665,155.95660485674483,167.54465761637178,173.73268670995338,176.277386990231,176.3680727360036,174.81936291301594,172.17471122188599,168.81529831140332,164.98995458023944,160.87292953877022,156.58983899098595,152.21320827147855,147.80208886752507,143.40143593789162,139.03176955731803,134.71049665942894,130.45571984595063,126.27846561559431,122.18134614230307,118.16800636835326,114.24321988483374,110.41223795395913,106.67533879528592,103.03175089782162,99.48136265487332,96.02449799997154,92.66191640687042,89.3944080308333,86.22034320263155,83.13793742760501,80.14568650628985,77.24226496286207,74.42652604513748,71.69750172457152,69.05440269625984,66.4963319695495,64.0209754693991,61.62570996977569,59.3081827878873,57.06631240014847,54.89828844218022,52.80257170881007,50.777894154071966,48.82325889120623,46.937940192659966,45.1222648968342,43.37343723889665,41.686760183099,40.05834426181758,38.4851077293159,36.96477656174465,35.49588445714183,34.07777283543264,32.710590838429304,31.395295329831608,30.133650895226335,28.9304453028904,27.799741916842716,26.725899045469568,25.69120479398462,24.682352624279943,23.690441354925966,22.710975161171493,21.74386357494373,20.79342148484826,19.86836913616913,18.981832130868554,18.151341427587468,17.398833341644764,16.77465296717468,16.284966691616372,15.836455866572933,15.357546709552349,14.801411940093551,14.145970779766415,13.393888952171784,12.572578682941414,11.734198699738007,10.955654232255124,10.33859701221769,10.008993373289837,9.990619117010342,10.068005909469841,10.054139596583456,9.829462722062912,9.341874527416527,8.606730951949055,7.7068446327622375,6.79248490475418,6.081377800619285,5.857296550911133,6.097001198646673,6.42563145630711,6.620353838883501,6.546361248821398,6.156872976021145,5.493134697837291,4.684418479079214,3.948022772010636,3.589272416350146,3.7830327144313616,4.110054316728277,4.356732972187785,4.397347870455711,4.180662408207179,3.729924189146319,3.1428650240065603,2.5917009305507546,2.3231321335703234,2.4842376563132134,2.7495535548079024,2.9552956006191136,3.004775526264748,2.8576421254930113,2.529881253282515,2.09381582584217,1.6781058206112849,1.467748276259273,1.5987513095889452,1.837556772157004,2.0397691092057544,2.118376679955256,2.0325427056046896,1.7876052693320887,1.4350773162946857,1.0726466536286763,0.8441759504492847,0.9129653833039838,1.1530156401094334,1.396457780908387,1.5440180178257608,1.540064132473875,1.372605475952424,1.0732929688485053,0.7174191012367733,0.42391793267895467,0.35536509222455204,0.47267552796171747,0.5444779563016896,0.5946612923922707,0.6285799650819398,0.6377915454145034,0.6217040476369228,0.5875769773148758,0.5505213313327992,0.5315400880559791,0.5183247364623866,0.5022406894838704,0.48429836549827454,0.4656948037549341
