Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,10.380953047689557,12.530813007265788,14.767234848769426,16.933852935909318,18.937494377000753,20.72742397973849,22.28007726548291,23.590783393395863,24.665088427104074,25.51637253711359,26.161294266437853,26.617771967122323,26.9054888273739,27.042839233024914,27.047092190179775,26.935392162716795,26.72324958386003,26.424331693464723,26.051263306962298,25.615770489656878,25.128225774098745,24.59774077155967,24.032264512603035,23.4391625478602,22.824772506014263,22.194706055733917,21.553915412130777,20.906693336759428,20.256768476574276,19.607526576378486,18.961557892404745,18.32114652580337,17.688323373126323,17.064866126327146,16.452299272761028,15.851894095184825,15.264762157009628,14.691675216242395,14.133039678977818,13.58920040970617,13.060443501539481,12.546996276211548,12.049027284077946,11.56664630411599,11.099904343924734,10.648793639725074,10.21310515731288,9.792539446487504,9.38689065322992,8.995918132643972,8.619346436635698,8.256865313913327,7.908129709987282,7.572759767170194,7.25034082457683,6.940423418124238,6.642523280531603,6.3559917087223345,6.079560350731333,5.81355735824929,5.558452171408841,5.314493256033286,5.0817081036365765,4.85990323142332,4.64866418228878,4.447355524818882,4.255120853290216,4.0708827876700004,3.8933429736161527,3.720982082477195,3.551079369193403,3.383267899957385,3.2216453415754738,3.0692792736499777,2.928075570102825,2.798778399175567,2.680970223429373,2.5730717997450316,2.4723421793229554,2.374878707683173,2.275617024665337,2.1684120866063,2.052799788842964,1.938249517851229,1.8325821707345364,1.7407247272668562,1.6647102498926833,1.6036778837270405,1.5538728565554665,1.5086464788340315,1.458456143689339,1.3909306317972283,1.3074815705759226,1.2238759789788354,1.1488882891238132,1.0877693144192286,1.0422462495639708,1.010522670547466,0.9872785346496555,0.9636701804410116,0.9273303277825226,0.8713105185626191,0.8124585017478287,0.7588326034844843,0.7151047708244787,0.6831201006581196,0.6618968397141411,0.6476263845596921,0.6336732816003338,0.6105752270800663,0.5727697452728666,0.5326445200293113,0.4961173261382519,0.4666364453651304,0.44560298830361794,0.432370894375611,0.424246931831236,0.4164906977488444,0.40231461803502305,0.376785400974159,0.3484395757517958,0.322317742445645,0.3014217650603238,0.28713797023268745,0.2792371472318361,0.27587454795910576,0.2735898869480741,0.26730734136455964,0.25129574404388955,0.23006242809541982,0.20933978149544163,0.1924561143732316,0.18126431465952147,0.17614184808649902,0.17599075818780716,0.17823766629853915,0.17883377155525387,0.17225485089595352,0.15979258911658573,0.14924903750682209,0.13981257400224534,0.13128388754122486,0.12392058222189611,0.11772324770772527,0.11243542466216053,0.10754360474863105,0.10234165582640224,0.09721995468935425,0.09244947956697618,0.0879849305141505,0.08377563105343756
B,4.221281290911689,5.670213246890463,7.2374547547918695,8.80428814753946,10.297776063345076,11.675687614987963,12.915500466365186,14.008508194220145,14.953634569499608,15.755777624811602,16.422581928621934,16.963018613513796,17.387731009560884,17.706868610795713,17.930189769085718,18.0677259695492,18.128690843154278,18.12132172137731,18.053395820510996,17.93231629803567,17.764741180567214,17.556628445874832,17.31329332698909,17.039770990950878,16.740543782065984,16.419660616447782,16.080772421699887,15.727132136916197,15.361647783450602,14.987031810482527,14.605549489775564,14.21925254123846,13.830006630042508,13.439491366621562,13.049200306672,12.66044095115282,12.274399203430647,11.892075814105063,11.514237714695367,11.141579414775297,10.774724620209781,10.414226233154944,10.060566352058105,9.714156271657782,9.375336482983645,9.04437667335663,8.72141767778217,8.40658300905336,8.100031054861542,7.801871880565275,7.512167222756403,7.230930489260057,6.9581267591346645,6.6936727826719515,6.437436981396887,6.189239448067804,5.948851946676281,5.7158873980073945,5.4894393371398325,5.269995108464427,5.0581494051954285,4.854290545785986,4.6586004739281615,4.471054758552927,4.291422593830153,4.11926679916863,3.9539438192160574,3.794603723859022,3.6401902082230553,3.4894405926725485,3.3398728596892777,3.1910971600193068,3.047089550765405,2.9108488129716874,2.7842660021408934,2.6681244482343778,2.5620997556721194,2.464759803332715,2.373564744553383,2.2848670071299626,2.193911293316914,2.0948902533158895,1.9870948133803037,1.8797386183784095,1.780575503516815,1.6945056269101695,1.6235754695811682,1.5669778354605521,1.5210518513870968,1.4792829671076253,1.4323029552770148,1.367953129844123,1.287514752704421,1.2065956138533094,1.1340224153661498,1.0750869162277967,1.031545932332585,1.0016213364843503,0.9800000583964091,0.9578340846915722,0.9227404589021312,0.8677454544751102,0.8097394563223886,0.7568669295828104,0.7138586822085488,0.6825901333848106,0.6620813135298461,0.6484968642949401,0.6351460385644074,0.6124827004556198,0.5748944261052436,0.5348943561141614,0.49847205764170466,0.46912037212096597,0.44826145041070237,0.43524675279533237,0.42735704898493887,0.41980241811526603,0.40572224874772866,0.38013345966855006,0.35167538233049256,0.32544174523740743,0.3044660862616137,0.2901503306634777,0.2822647910914208,0.278948167581909,0.2767075475594601,0.2704184058366417,0.25429638170785096,0.23290561960405765,0.21202545873730555,0.1950071255567845,0.1837164408289399,0.1785338196374731,0.17835427138334076,0.18058739978474994,0.18115740287717375,0.1745030730133284,0.16192394201163668,0.1512740433100376,0.14173835381028055,0.13311633552930546,0.12566610914675097,0.11938799667287006,0.11402448676088756,0.10906023470699913,0.10378669202103978,0.09859535631705008,0.09375803790064034,0.08922929395780767,0.08495830748354129
C,22.59982158864858,25.88256450378934,29.216428464583963,32.38484017393377,35.26169616437108,37.78143869009351,39.91704783318087,41.668121419035394,43.048384841553265,44.08228394981704,44.798452989893526,45.2268347233066,45.39944875352156,45.34603375249771,45.09431194850675,44.67146062516248,44.10198963034477,43.40746492883214,42.6076890978354,41.72091028429462,40.76323290789566,39.74877074144391,38.68979540559185,37.59758559082776,36.48177011167037,35.35084074645144,34.21225598943999,33.07244105084249,31.93693391349705,30.810701761795215,29.69745340461187,28.600426794226046,27.522471994779757,26.466051182278,25.43323864458873,24.425720781443033,23.444938708835295,22.491786711095248,21.56658970389784,20.669589168107244,19.80094750979258,18.96074806022785,18.148995075892035,17.36561373846901,16.610450154847516,15.883271357121362,15.183540846528222,14.510561062211172,13.863780061406663,13.242606241107692,12.64640831940083,12.074515335466199,11.52621664957751,11.000761943102063,10.497361218500625,10.015184799327683,9.553363330231202,9.110806650255178,8.685559466833373,8.277890919751329,7.888275390091139,7.516887823148962,7.163603728435026,6.827999179673634,6.5093508148031525,6.20663583597602,5.918532009558765,5.643417666131936,5.379371700490219,5.1241735716422925,4.8741207110620515,4.628789214670981,4.393460347900145,4.172057975121946,3.9669825848928584,3.7791112899534225,3.607797827228247,3.450872557826003,3.3046424670394328,3.163891164345343,3.021878883404608,2.8704915666430586,2.709677420701885,2.5514718803553804,2.4055281687249304,2.277900772250186,2.1710454406890527,2.083819187117705,2.011480287930564,1.945688282840318,1.8745039748779262,1.7824745832766382,1.6717780187344569,1.5618244681330231,1.462943068108097,1.3812912300280524,1.3188546399938679,1.2734472588391474,1.2387113221300985,1.2041173401655474,1.1549640979769233,1.0831347322779674,1.0086812137807006,0.9407584777603268,0.88462922107374,0.8423465482452555,0.8127539714666211,0.7914854105970057,0.7709651931629957,0.7404080543586246,0.6935586607136648,0.6445456092920154,0.5998574580811483,0.5632473779210156,0.5362248587855198,0.5180557097825109,0.5057620591537904,0.4941223542751064,0.4756713616561652,0.4450373998229805,0.41163900672940223,0.38084629895984323,0.3558347158437821,0.338062162419287,0.3272690094330239,0.32147809334024546,0.3169947163047985,0.30840664619912217,0.2896241596510186,0.26553061447667625,0.24212103675101687,0.22283175989126452,0.2095713850359245,0.2027207810447844,0.2011330844989128,0.2021336997006546,0.20152029867364665,0.193562821162795,0.17958536341941314,0.16765857969025624,0.1569478723116515,0.1472417339546686,0.1387943911358839,0.13159982881290078,0.12539175523686674,0.11964360195247259,0.11363389665391996,0.10775450101420703,0.10227690623377539,0.09715205225242352,0.09232574918849133
D,92.25451537871422,108.11746743880977,124.33664697060537,139.84206334822937,154.00577534580017,166.49620206753366,177.17088530079747,186.01832142202875,193.09700574200792,198.5187176300482,202.4165677147836,204.9308708391436,206.21280636479636,206.40306282576546,205.63307236603805,204.03214350329577,201.71700941881767,198.79043528267144,195.3469439792633,191.47382668594193,187.2481716832187,182.73758474476432,178.0009053858459,173.0923256808647,168.05819704553107,162.93944278122237,157.77205510854208,152.5870951673203,147.41139418715932,142.2690808715883,137.17826927512988,132.15481838315353,127.2127294984748,122.36414624135497,117.61935454950093,112.98678267806605,108.47368324647658,104.08467202095758,99.82162432330117,95.68601171974045,91.6789229549795,87.80106395219323,84.05275781302771,80.43394481759974,76.94418242449689,73.58264527077829,70.34707336332482,67.23435203718293,64.24200562753872,61.3673791107537,58.6076380190453,55.95976844048666,53.42057701900693,50.98669095439115,48.65455800227978,46.42044647416983,44.280445237413765,42.2296299553404,40.259032947075404,38.36981752885515,36.56409846589257,34.842630739333444,33.20480954625644,31.648670299673103,30.17088862852784,28.766780377697973,27.430301607993744,26.154048596158106,24.92925783486716,23.74580603272953,22.58673160092888,21.449953834960418,20.359598347512758,19.333587267936515,18.382875463441938,17.511450539098803,16.716332837836525,15.987575440444063,15.308264165569984,14.654517569722431,13.995486947269129,13.29402799627072,12.54973298427229,11.817718970360966,11.14225951263462,10.55111856281818,10.055550466263632,9.65029996195005,9.313602182483502,9.007182654097152,8.67625729665128,8.249922507883301,7.738090062151162,7.2298243987169535,6.7725851396189425,6.39466180001056,6.105173788160348,5.894070405452059,5.732130846384552,5.57096419857187,5.343009442743159,5.010944498863202,4.666894640710199,4.352965287700717,4.093362624274671,3.8975283214090553,3.760139536617997,3.6611089139527007,3.5655845840014364,3.4239501638896725,3.2074177373736084,2.980970147042724,2.774475137396656,2.6052101641393097,2.480123087477605,2.395832172121461,2.338626087283816,2.284463906680606,2.1989751085308114,2.0574215911187377,1.9031562167329903,1.7609160561921262,1.645329939435171,1.5631138027077223,1.513070688561986,1.4860907458567307,1.4651512297573155,1.425316501735688,1.3385276000590722,1.2272712149122542,1.1191768826543975,1.0300861227309372,0.9687974637621114,0.9370664435429674,0.9296056090433554,0.9340845164079068,0.931129730956107,0.8943248271821875,0.8297745602446639,0.7746857687401197,0.7252092201903237,0.6803695507572116,0.6413394090562395,0.6080910552752782,0.5793961990645462,0.5528259995366063,0.5250525985001375,0.497883368228696,0.4725704147613621,0.44888728476963186,0.42658385758038425
E,8.751064799090647,10.31347211095088,11.963918447034285,13.583289020640379,15.099821548745151,16.473401085943593,17.684103967010365,18.72606617754515,19.60104964459153,20.31673248509595,20.883366106566932,21.31231249054983,21.616426504958877,21.807823988855116,21.898004774292872,21.898560880003483,21.820069774034945,21.671943250128695,21.46298005898187,21.201456311025993,20.894775981563697,20.549528929266362,20.171554384386745,19.76632635713621,19.33865934040793,18.89287647823718,18.432850948450564,17.962005962666,17.483374483549703,16.999750827922778,16.513409478439822,16.026393932285767,15.540548937669389,15.057520493823318,14.578755851003997,14.105503510491786,13.638881416574266,13.179785090984602,12.72885037975922,12.286644463086496,11.853667688908383,11.430353572920417,11.017068798571735,10.614113217065034,10.221719847356587,9.840054876156296,9.4691409050195,9.108964770166978,8.759561002897344,8.42092057078422,8.092990870022954,7.775675725430605,7.468835390445965,7.17228654712956,6.885802306163588,6.609112206852041,6.341902217120596,6.083700070466883,5.833490204110523,5.591689533723677,5.358831284980155,5.135241460155219,4.921038838125563,4.71613497436933,4.520234200966101,4.332833626596903,4.153223136544216,3.9804853926919326,3.8134958335254314,3.650922674131482,3.490219184568925,3.3309740060683675,3.177158421061247,3.031759010399125,2.8966470207216783,2.7725783644567055,2.6591936198201265,2.555018030815978,2.4574615072364225,2.362818624661735,2.2662686244603183,2.161937065252201,2.0491680331622586,1.9371854580595311,1.8337141662243353,1.7436289808546956,1.6689547220663459,1.6088662068927289,1.5596882492849882,1.5148956601119796,1.465113247160276,1.3981794090790893,1.3154138745359025,1.232378334522154,1.1578177463434973,1.0969699640569481,1.0515657384708748,1.0198287171450167,0.9964754443904635,0.9727153612696732,0.9362508055964522,0.880168868335138,0.8212351202270166,0.7674873979105927,0.7235885984657277,0.6913826679049399,0.6698946011734153,0.6553304421489972,0.6410772836421827,0.6177032673961502,0.579670254940011,0.5393362209255894,0.5025905181189636,0.4728641031066044,0.45155132653982344,0.43800993313477077,0.4295610616724379,0.4214892449986542,0.40704241002409625,0.3813208517995941,0.352826416774242,0.3265540740006976,0.3054760519052405,0.290964585193651,0.2827919148512168,0.2791302881427235,0.27655195861246135,0.2700291860842231,0.2538888680996112,0.23261390866348536,0.21186263521655752,0.1949120182699133,0.18358588713789092,0.17825492993808162,0.17783669359132936,0.17979558382172572,0.18014286515662506,0.1734366609266223,0.16094673889085573,0.15035564189945216,0.14086610395534896,0.1322811457984765,0.12485191585672732,0.11857785788190356,0.11320667706709062,0.10823434004665626,0.10296819301380902,0.09778997827265608,0.09296462982954173,0.08844729267008972,0.08418790349990107
F,14.782955989430683,18.21956291546532,21.812519413753805,25.311120103453888,28.565033420870236,31.49132968968867,34.050265584680396,36.23218551837257,38.04378659727381,39.50436436328869,40.63860872794532,41.473415892808866,42.03867726342885,42.36244925500779,42.47120353618269,42.39138357323849,42.14700660438336,41.75932747852031,41.24807648312777,40.6316767133583,39.92650110564654,39.14700828618095,38.3058914788541,37.414967174043014,36.48449564017396,35.52361166216808,34.54042369455201,33.542013861458,32.53458162642678,31.52378950894516,30.51408296258966,29.509410820238113,28.51330419842658,27.528876497349383,26.558823400858984,25.605422876466225,24.670687050189954,23.756106603471395,22.862590192549103,21.99092863261918,21.141799220092278,20.31576573259358,19.51327842896285,18.73467404925438,17.980175814736963,17.249893427894072,16.543630141351787,15.861055504991349,15.201955223232286,14.56604968447147,13.9529939440045,13.362377724025738,12.79372541362831,12.24649606880411,11.720083412443685,11.213815834336495,10.726956391170658,10.258496658795954,9.806444773587199,9.371361191008205,8.954025833649986,8.554859956202721,8.173926145455775,7.810928320297674,7.465211731716123,7.135762962798002,6.8212099287293775,6.519821876795443,6.229509386380639,5.947824368968488,5.670415698088478,5.396726436275434,5.1332956933296465,4.885014947880089,4.654919250346386,4.444187222938797,4.252141059658241,4.076246526296274,3.91211296043511,3.7534932714476,3.592283940497245,3.418675611958882,3.2322267826602795,3.047879392353422,2.87783349142875,2.729766887705233,2.606835146430379,2.5076715902802333,2.4263872993593636,2.3525711112008776,2.271289620766436,2.163191948162551,2.030798251526014,1.8986171233539062,1.7799633165165385,1.6827931485410215,1.6097045016112494,1.5579368225679326,1.519371122908561,1.480529978787432,1.4225775310156243,1.3350551995629056,1.2436777536621324,1.1603882798360747,1.0920775947010777,1.0414516940228404,1.0070317527164336,0.9831541248462828,0.9599703436261648,0.9234471214192449,0.8654157776265747,0.8042776164083705,0.7485881903130184,0.7033100528319661,0.6704489952586865,0.6490540466886737,0.6352174740194476,0.6220747819505478,0.5998047129835491,0.5613227889528228,0.5190221772415813,0.4800365179589336,0.4485936646337913,0.42663976015104826,0.4138392367515924,0.4075748160322897,0.4029475089459953,0.39277661580155016,0.36897515333365494,0.33800376064133003,0.30785988424061167,0.28314291792511026,0.2664098294078648,0.258175160321344,0.25691102621744505,0.25904711656748725,0.2589706947622328,0.24902659811185587,0.23099059974871772,0.21565554495844447,0.20190540775545066,0.18946027893821926,0.17866496447939265,0.16951454933918716,0.1616543502884805,0.15437991590881067,0.14672481645719665,0.1392174486551295,0.13222426818603153,0.12568109548992182,0.11951671486726066
G,3.657283955414909,4.625339324581143,5.652955454822313,6.666468537168639,7.621241541407232,8.492074259890538,9.266199100518028,9.939523927658485,10.512689606025964,10.990014603401434,11.377440490848553,11.681629752924586,11.910194652240595,12.070322774108856,12.16884911811639,12.212689362760973,12.208155605425423,12.160860995591836,12.076058848361821,11.958698501187685,11.81320623815707,11.643519920702925,11.45312798018352,11.24530671471418,11.022938183686465,10.788611295747966,10.544647111096273,10.293098841479003,10.03578831867349,9.774397902926422,9.510297388687164,9.244720346225236,8.9787838239372,8.713488348346612,8.449717924104052,8.188240033987148,7.929745460106134,7.6747892375301285,7.423771229348482,7.177051755433613,6.934952688365772,6.697757453433015,6.465711028631234,6.239019944664129,6.017852284943212,5.802337685587849,5.592518512547196,5.3884088185101175,5.190051052933239,4.997462602681522,4.810635787368438,4.629537859355965,4.4541110037545915,4.284272338423326,4.1199139139696515,3.9609027137496065,3.807080653867714,3.658195998872202,3.5136651798532292,3.373748357533785,3.238775868003797,3.1089561367556655,2.9843756786842635,2.8649990980869404,2.7506690886635177,2.641106433516289,2.5359100051500327,2.434556765471979,2.33640176579186,2.2406781468218506,2.145850537925726,2.0516294317176342,1.9604468895494611,1.87413695804188,1.7938539143420411,1.7200722661235694,1.6525867515865673,1.5905123394576093,1.532284228989749,1.4756578499625135,1.4177088626819074,1.3548567108996266,1.2865056684718328,1.2183995941467565,1.1554404485701784,1.1007268355615634,1.055554002114056,1.0194138383944853,0.9899948777433564,0.9631822966748587,0.9330579148768692,0.8919389681056205,0.8404926361520966,0.7886351384351038,0.7421131525735689,0.7043748687584822,0.6765699897528907,0.6575497308919113,0.6438668200827175,0.6297754978045484,0.6072315171087002,0.5716481930892733,0.5339639355387201,0.49960867200079273,0.47174970807914296,0.4516474651885311,0.43865548055483294,0.4302204072150331,0.4218820140172223,0.4072731856206154,0.3826113490750883,0.356221685728886,0.33219855167112267,0.31293936365688385,0.299423951206108,0.291214556603585,0.2864558348989585,0.2818748539067227,0.2727810942062296,0.2557396145877071,0.23663086873905836,0.2190158897421922,0.20502534413516296,0.19564637327042778,0.19072259331485192,0.18895409524970164,0.18789744487064922,0.1839656827877714,0.17309852479172233,0.15843992571022805,0.14409550701322552,0.13247054376758105,0.12490574432380325,0.12167725031604382,0.12199663666209656,0.12401091156339433,0.12480251650501972,0.12038932625568918,0.11170930991553826,0.10439550771193644,0.09785829123263926,0.09195570980532314,0.08687947224550266,0.08263274430120618,0.07903012336969621,0.07569763849746845,0.07211994916853438,0.06858470350152343,0.06529168999443764,0.06220881215522352,0.05929988774658863
H,3.7145197106201673,4.831963152895818,6.023884513728914,7.20474651931972,8.322360794293044,9.346892412862276,10.262834362268164,11.064705619758191,11.752536042629195,12.330657555778258,12.805349062362724,13.183800882969793,13.474370148466162,13.685001586668099,13.823304719301152,13.897042479170157,13.913338273684985,13.878562048637168,13.79871077035019,13.6794724985479,13.52596083333992,13.342749643971109,13.133915841631739,12.90330789393536,12.65434463303424,12.39011030764053,12.113381366162228,11.826626456703178,11.532046719607049,11.231687649997168,10.927249362335022,10.620267222774427,10.312132873987256,10.004094235163432,9.697255502010933,9.39257714675582,9.090926262227313,8.793027251313465,8.49942381598346,8.210604830743236,7.927005605286825,7.649007884496353,7.3769398484420385,7.111076112382196,6.851637726763209,6.598792177219607,6.3526097897984455,6.113148556878387,5.880493527947133,5.654694021824171,5.4357636218117396,5.223680175694838,5.01838579574122,4.819786858701402,4.62775400580863,4.442122142778949,4.2626904398111325,4.089139681483708,3.920765862653141,3.757913520489181,3.601007956438909,3.450320021260447,3.3059661150229465,3.1679081871066073,3.035953736202656,2.909755810313362,2.7888130067520365,2.6724694721430122,2.559914902421684,2.450184542834451,2.341450287717472,2.233464192579693,2.129118155508724,2.030588753161463,1.9392440248133642,1.8556434723584425,1.7795380603092696,1.7098702157969745,1.644773828571244,1.581574251000324,1.5167882980710161,1.4461781564393885,1.3694131921410602,1.2931057845143812,1.2227347557352348,1.1617584787603104,1.1116148773271033,1.0717214259539174,1.039475149939856,1.0102526253648338,0.977409979089576,0.9323288768449074,0.8760580006351093,0.8195911720316709,0.7690007285475757,0.7279226329523882,0.6975564732722486,0.6766654627898854,0.6615764400446007,0.6461798688322824,0.6219298382053917,0.5840597451580224,0.5442467811840208,0.5079896147648938,0.47847028145339854,0.45694512474070875,0.4427447960564232,0.4332742547685573,0.42401276818354194,0.40851391154624134,0.3830137779004419,0.355972113397978,0.33136287631111616,0.3114964093018544,0.2973103235578378,0.2883694987923566,0.28286608324434903,0.27761949367839817,0.26807641538473853,0.25094491804336927,0.23197069848169732,0.21448929095261907,0.20048144952144678,0.1908609178995968,0.18547442944459452,0.18310170716006763,0.18145546369575075,0.17718140134748403,0.16649853625172584,0.1524153164676336,0.1386867665240445,0.1274793470046886,0.11999842827469749,0.11648829048060506,0.11623212355034702,0.11755202719325741,0.11780901090007903,0.11340299394294853,0.1051720427721282,0.09819630332547132,0.09195014010364035,0.08630299738329233,0.08141938413416774,0.07729832334914809,0.07377332974670454,0.07051240977089747,0.06705957667620187,0.06366560652315782,0.06050455528420918,0.057546761099755706,0.054759169210455205
I,8.365196031718234,10.340304303003988,12.413127211275242,14.43849670405212,16.3290446718596,18.03618150428651,19.53615494784005,20.822532006488963,21.898313694855773,22.77379528503518,23.462439072633444,23.979052189077823,24.340239626068573,24.561636854750475,24.65805170773094,24.64434752688138,24.534064348519678,24.3392241947163,24.07102873945152,23.73998221412502,23.355452540548193,22.925743837999303,22.45817881686031,21.95959976960396,21.435991144123744,20.892700135676805,20.33449045818321,19.76554234422602,19.189532103485867,18.60983603997458,18.029155945600387,17.449901108060835,16.874231113389737,16.304055845957098,15.74103548846913,15.186580521968327,14.641942974853027,14.10809608435887,13.58568103275135,13.075259549312602,12.57731634753662,12.092259125129214,11.62041856400805,11.162048330302623,10.717325074354232,10.286348430716096,9.869041703106564,9.46528635246045,9.075030938234852,8.69817510766133,8.33456958594219,7.984016176250491,7.646267759730045,7.321028295495427,7.007952820631912,6.706647450195613,6.416669377213335,6.13739460092003,5.867587938674012,5.607692873452109,5.3582879152737934,5.11971076003513,4.892058289508763,4.675186571343934,4.468710859066465,4.272005592078772,4.084204395659871,3.9042000809653357,3.73064464502737,3.5619492707547176,3.3953019018525104,3.2304171034924956,3.0716056804682568,2.9220973633879526,2.7839060716300352,2.6578299133432486,2.5434511854466333,2.4391363736295206,2.3420361523515387,2.2480853848426077,2.1520031231029395,2.0474015278846256,1.9341639411340947,1.8219978679768993,1.718762997616511,1.629409401074366,1.5559775311898671,1.4975982226203821,1.4504926918412346,1.407972537145719,1.3604397386451028,1.2954550585147033,1.2147705035648255,1.1341161559495798,1.0619222656106657,1.0032268464107403,0.95967567613341,0.9295222964832491,0.907628013085779,0.8854618954874837,0.851100777155795,0.7979652984693841,0.7423689152892045,0.6917846050520904,0.6505166425695436,0.6202547080318882,0.6000738870082828,0.5864346704467084,0.5731829546739675,0.5515500413957076,0.5164538135618817,0.479410286589414,0.445717033567619,0.41844265143676523,0.3988270148894329,0.3862812763705111,0.3783878660772012,0.3709004919590133,0.357744139717775,0.33454842288789655,0.30899354902557497,0.2854631753958512,0.2665518801612224,0.25345379189887834,0.2459625896007093,0.2424715026732962,0.23997331093791707,0.2340603446305456,0.21977188151471594,0.20109028799604745,0.1829086433607795,0.16803401596843787,0.15802685951290424,0.15320101302241693,0.15262370085957008,0.15411553272130957,0.15425050363894616,0.14835599397813626,0.13751482106774282,0.12831397021021745,0.12007401970219378,0.11262428673243965,0.1061743001750122,0.10072091201243943,0.09604826863140077,0.09172781082272649,0.08717167192946665,0.0827012726130272,0.07853960558244116,0.07464774979337382,0.07098251741692471
J,4.171243922544116,5.070534806931055,6.020162621203145,6.956857874497933,7.842339506970885,8.654942702290922,9.38355693486559,10.024418559188387,10.577742648338273,11.046855286901756,11.436460888789295,11.751893280479292,11.99932199841093,12.184600564018057,12.31333351860933,12.391234706938405,12.423556532220982,12.41501396994599,12.370058232150937,12.292917633538018,12.187413098489552,12.056985153266272,11.904723648580205,11.733552130224558,11.546086878542075,11.344705938402463,11.13156793944564,10.908612096081765,10.677585237715341,10.440114850147543,10.197582322736254,9.951247512919016,9.702263015947157,9.451674164885766,9.200419030613698,8.949328421823617,8.699159237875568,8.450560828066177,8.204052181773895,7.960106933210124,7.7191542061236404,7.481578613800574,7.247720259064432,7.017874734276079,6.792293121333727,6.571181991672996,6.354666570813665,6.1428679148500045,5.935931019796496,5.733968083947009,5.5370585036271605,5.3452488731943015,5.158552985037538,4.97695182957773,4.8003935952674395,4.62879366859104,4.462034634064601,4.299887653447104,4.141746983289668,3.987983612185518,3.839045412046869,3.6952355710433973,3.5567125936022426,3.423490300408007,3.2954378284027537,3.172279630786014,3.053595477014785,2.9388204528035096,2.8272449601241214,2.718014717205984,2.6092895977053474,2.5006739586042728,2.3951843521427536,2.29510610791243,2.2018898833604594,2.116151663789517,2.037672762357796,1.9653998200790044,1.8974448058223727,1.8310850163126435,1.762763076130082,1.6880973115434181,1.6061077230477705,1.5240093073144694,1.448078625991746,1.38229217745515,1.3283263968075543,1.2855576558791513,1.25106226322745,1.2196164641372824,1.1836964406208086,1.1335261235085448,1.0697757901796794,1.0051724638624393,0.9472856872529793,0.9006656184039159,0.8668430307243196,0.8443293129797325,0.8286164692921485,0.8121771191400294,0.7844644973582883,0.7394008404280615,0.691306937248432,0.6474814021174587,0.612199463575554,0.5871714988988769,0.5715430340993439,0.5618947439246184,0.5522424518581084,0.5340371301189906,0.5021577645904624,0.4677695217066541,0.4364878395132627,0.4116127718246159,0.39449891109512747,0.38455538841929443,0.379245873531701,0.37408857480701435,0.36265623925999385,0.3402119417550202,0.31479010931522594,0.29135974435400447,0.27290518057458335,0.2608125507647282,0.25486978679675076,0.25326661962749825,0.2525945792983605,0.24784699493526818,0.2333437529236275,0.21341977913212637,0.1938738908208818,0.1781301117758034,0.16809900181859452,0.16417765680675359,0.16524970863357244,0.1686853252281324,0.17034121055531878,0.1645606046157991,0.15268467383565773,0.14272655818485755,0.13384237188816453,0.12583268999343097,0.11897787117389465,0.11328601633511105,0.10849293220300789,0.10406213132388403,0.0992529076416518,0.0944822918936975,0.09004007898320124,0.0858813787739133,0.08195521292671992
