Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,659.2071970977961,746.6636473797613,793.498813624715,812.8492586532767,813.7863656843426,802.5516397226468,783.4746208337858,759.4814088860583,732.6291144129331,704.266121623664,675.3256591879248,646.463017220585,618.0416886266014,590.3393287616924,563.5497773475115,537.7315989151377,512.9230001211287,489.16522559539465,466.4620423357575,444.7703544648926,424.0551600605492,404.29151876524224,385.46084459298936,367.5184890881792,350.41549718335875,334.11029961678634,318.5675692361499,303.7582209985687,289.6565341275767,276.22335735954476,263.42174367040616,251.21875675926776,239.58468987786597,228.49306583056648,217.92063697436396,207.84738521888386,198.25308736233748,189.1103377378377,180.39379224790545,172.08039161753422,164.14932757793068,156.58204286651414,149.3622312269172,142.47583740898514,135.91105716877584,129.65833726856113,123.70050414937751,118.01673826091346,112.59461600998493,110.95625344442273,114.95855482502299,122.82434845929208,133.60522562594724,146.80138113646152,162.2091594146437,179.7368599852348,199.4822813059863,221.57864702214647,246.20838182910362,273.6365177563107,304.1496884076095,338.0501134402447,375.6994290333429,417.51327696148013,463.942362007779,515.4755171293559,572.6418897317025,636.0460595253683,706.3714652914599,784.3592671413749,870.8078074147656,966.5726106795407,1072.5680080332527,1189.884737464504,1319.7539424466313,1463.4647391543583,1622.3636045127664,1797.8543761973067,1991.3847031969185,2204.8073282536525,2440.284061746469,2699.9316715650716,2985.816847243247,3299.9561999588477,3644.3274001104837,4021.739867802524,4435.6138411125485,4888.952998164155,5384.312861379718,5923.800797480382,6509.35985335998,7144.8575071768,7834.243670734793,8580.12366010493,9383.750481566514,10245.093833989371,11165.573789158105,12148.305275264494,13193.961865381927,14300.478748358088,15463.133693094369,16678.449200191706,17944.989917317274,19257.681362694046,20607.425741465027,21981.740483560392,23371.481711951772,24767.51832506315,26156.47329290333,27520.75016818743,28843.111580565062,30111.0786898714,31309.71036695609,32421.066338293593,33426.88963598399,34316.110113166906,35077.873770442464,35700.18570650914,36171.97869820357,36489.90056627689,36652.1900124614,36657.218337257415,36505.31824482421,36203.06891242186,35758.194718242805,35178.810169082666,34474.72573742664,33658.92423435632,32744.484769138202,31744.56016603215,30672.884111393374,29543.162644526117,28368.172937463598,27160.68101878659,25933.460581050676,24697.909608894406,23462.50731006808,22235.67247653805,21026.12623908648,19842.273496791706,18688.745438862272,17569.31567206348,16487.943147495345,15448.628528798952,14453.49482457024,13502.936369285108,12597.604984086682,11738.48544786028,10925.929217850065,10158.692164783195,9435.89004389433
B,372.37206137224933,441.8096363285071,483.07505321793377,505.1995939757431,514.3693616748141,514.8102907139984,509.4394197350315,500.2199233716009,488.53440117159215,475.2918572010612,461.1290182983704,446.5024984647398,431.67613711633163,416.860527751608,402.21251721936335,387.799602699814,373.6763025811163,359.89869594986527,346.4970794856864,333.4705982770132,320.8223085641063,308.5599694650398,296.6936670655764,285.21551433684067,274.11387809387253,263.380264747526,253.00854383139125,242.99494800179536,233.33645334765345,224.02110584632038,215.03700182235718,206.373772972306,198.02216809454876,189.97405308930644,182.2224109586393,174.7613418064479,167.58457158862612,160.68086104515626,154.03877404263764,147.64799285955186,141.49931093742768,135.58463288084158,129.8969744574175,124.43046259782693,119.18033539578849,114.14294210806915,109.30908804563008,104.66685633195986,100.20977681859469,99.20976215334458,103.4086727655313,111.18250469035307,121.67495753783426,134.44263199819954,149.31443410984417,166.22075657794903,185.266911938955,206.59032538366833,230.37400377174853,256.877535363541,286.38135981941906,319.18145785801477,355.6298174324052,396.12958066352394,441.11804252504714,491.0695403420207,546.4973814213062,607.9866214266518,676.1979683817543,751.8477080503253,835.7071731583604,928.602743394142,1031.4171855892405,1145.2014954954186,1271.1409022407631,1410.4760747973285,1564.5025344981711,1734.5706550373668,1922.072819717309,2128.7870531589697,2356.7852710726493,2608.096407809115,2884.7016276759628,3188.5343249375865,3521.491387666016,3886.2600752681606,4286.105626366233,4723.898751207667,5202.085813826798,5722.688832044857,6287.576335141277,6900.439785518376,7565.048131449449,8283.902722628438,9058.230098607846,9888.047368924494,10774.74701373623,11721.327655206622,12728.489180055245,13794.352744399175,14914.536748062434,16085.838346763607,17306.99870901365,18573.32140732585,19876.305003499445,21204.2436230887,22548.58185769144,23900.772415419724,25248.20767166263,26574.24119423652,27862.520117881497,29101.164828505654,30275.88066860205,31369.432085618064,32364.19440788109,33249.3146106321,34014.06325734912,34646.52375480428,35135.577393461914,35477.45894465139,35669.89537305751,35710.68708452659,35599.48867783745,35342.048984831796,34945.25697261207,34416.37785272804,33764.35819199254,33001.39856478879,32139.85925855477,31192.192598298017,30171.473574664153,29090.971265751246,27963.123310411658,26800.35496609189,25615.104747566747,24418.61952299527,23219.3935077721,22025.84717162557,20846.68563713943,19690.313781211215,18561.52489397512,17464.25163536326,16402.59858372793,15380.706656719889,14400.873776811219,13463.678286589355,12569.942873448905,11720.81221225182,10916.793463073534,10156.79759992927,9440.08177491396
C,1394.6590715757459,1528.9065420861723,1594.3542327942787,1613.4808929788915,1601.795211309011,1569.9552399576717,1525.3431850609575,1472.9376517867302,1416.230293643625,1357.5003793549315,1298.3180175544794,1239.7792208003873,1182.4817369810075,1126.8779787335077,1073.278254317869,1021.7623190042959,972.3761648654211,925.1719803521801,880.1385883830266,837.185343941334,796.236142941078,757.2327297053868,720.1283472822556,684.8321661317458,651.2464734816855,619.2867226083139,588.8795766807897,559.9629087611931,532.4808984087539,506.3551357907967,481.5111591409726,457.8818718936949,435.40623033971946,414.02924362614345,393.7019737564056,374.3815355902883,356.02516138257874,338.5776317253154,321.98738269796155,306.2072391254566,291.1943583592844,276.91023027747224,263.32067728459145,250.39585431175732,238.11024881662823,226.44268078340815,215.35829597050403,204.81574610220005,194.78915663146284,191.10467901045158,196.7869203379954,208.82506027587658,225.57855036330605,246.15454947175962,270.15276284843145,297.36020293817745,327.87487517270426,361.85002106058755,399.5145982424751,441.2278669351546,487.3749810783467,538.3560262759473,594.6579642523346,656.8437982817163,725.5177185438473,801.3297447874482,884.9790870234497,977.2678896117812,1079.1017108315145,1191.4541534648556,1315.3659769029264,1451.9450971457688,1602.3688352852107,1768.050793209183,1950.5828712312723,2151.614960487906,2372.8540567411756,2616.0642603788574,2883.0515396631154,3176.1579883494023,3498.1152742036047,3851.5635436471016,4239.044687984741,4663.00234340481,5125.807102080292,5630.9188796901635,6182.549234282016,6784.335046233284,7439.299114765908,8149.850157946328,8918.178640598071,9748.9329109669,10646.810802648557,11614.79819454354,12654.160320518276,13764.535775539935,14947.426358721494,16206.417741718687,17542.084960998334,18951.645394496547,20429.061787929953,21969.903569439495,23572.287678148386,25229.93209021045,26931.704650482592,28662.406374050195,30410.99171739069,32166.478374795362,33912.76012826591,35628.64146226068,37293.38371207053,38891.9868798038,40406.409139003255,41814.91794478872,43095.32304294593,44233.974041190755,45217.350323784856,46030.446567688516,46659.263676726856,47098.97544962219,47346.605493652925,47399.30015392894,47256.54323860083,46925.39536200088,46414.375901404725,45732.54800966745,44891.12591634666,43905.3827280817,42790.86375681056,41563.32312246276,40239.36746460921,38835.84281905941,37368.61161045275,35853.60272914748,34306.8406008074,32742.84854362196,31172.67124058487,29607.307082619714,28058.160048318347,26536.283845227932,25048.101203214235,23598.941650959972,22194.36582436501,20839.990080377487,19539.047826108188,18292.53367901397,17101.752696525324,15968.422227029936,14893.418512441593,13875.520323264027,12913.944087982689
D,7726.979241723371,8586.105264143496,9025.338279366391,9181.15941023312,9147.761596125725,8989.908176206367,8752.487288944114,8465.803221594937,8151.137872518223,7822.415841068775,7489.257270418723,7158.403513424368,6833.570520203033,6517.589162102231,6212.424479475327,5918.640400828847,5636.592177607007,5366.667962079733,5108.867821127689,4862.708107440877,4627.789223079801,4403.815151799194,4190.555097660263,3987.509451637869,3794.1355776929104,3609.9668484002655,3434.6006748812333,3267.698506803547,3108.9565096026677,2957.93461184995,2814.2161206399683,2677.426111149365,2547.223462086306,2423.3008556904733,2305.3847777330698,2193.235517516829,2086.6129226430785,1985.2050787379883,1888.7211171749695,1796.8947154594025,1709.4837680190353,1626.270386203981,1547.0608982867213,1471.685849462104,1400.0000018473388,1331.8823344820119,1267.1346576817114,1205.5221767584096,1146.897201330194,1125.7200994013756,1159.904011319528,1231.677030505659,1331.3705180456127,1453.7344611263322,1596.4298001513412,1758.2234551072788,1939.7220084408825,2141.8595757413113,2366.020119798552,2614.3602033203942,2889.193665982009,3192.9275494479607,3528.4876514836287,3899.253367082584,4308.856121120078,4761.207595331119,5260.521606365619,5811.627687088068,6419.97050092002,7091.417477864631,7832.254341451117,8649.185108734779,9549.35111969607,10541.288038948025,11634.598466128018,12839.279657037587,14165.718635412308,15624.692192921899,17227.28565958855,18987.73245516541,20922.58446083979,23047.975776442625,25379.584520339646,27932.632829431197,30722.029313442432,33769.07487795009,37099.557090298855,40736.105119762884,44697.96203465211,49000.98480231233,53659.902615528714,58703.88567780525,64162.630563019484,70056.03469278067,76394.14422260506,83177.68229839501,90418.33793695804,98140.33949144815,106350.27190350683,115034.96049565298,124162.05852664898,133708.54942079962,143666.6393431409,154001.99738099167,164650.89834343255,175524.83284422435,186559.4885531023,197690.29204088452,208820.57503818633,219821.71042695543,230566.51276723857,240961.30417449362,250892.29412874885,260221.42642523517,268806.17833352013,276555.02282816195,283375.9397443407,289166.3398476123,293828.6240533577,297321.80676986586,299616.18260276865,300682.34924184263,300505.40699083684,299119.4533783595,296568.5913344145,292900.7047347887,288178.18507251923,282491.9015249357,275935.62034030346,268604.9864194043,260602.0957395293,252033.68054358842,243001.32258072094,233607.15001022074,223954.1120856879,214137.56473665714,204231.91486749967,194311.11278422963,184451.58607006335,174727.63309667894,165184.8051096768,155861.34489589688,146796.81362274336,138031.0240092642,129588.35804031683,121478.41412323319,113712.62678483917,106304.96677518655,99263.71672414588,92583.1922819763,86260.3880713382
E,693.1369384665516,777.8785536265261,823.9134742643764,843.830218549415,846.2558522999942,837.0831710222005,820.375492542764,798.8614289086088,774.45505889741,748.4062957870508,721.5823863331476,694.5972881923307,667.7947194188673,641.4437074708461,615.738339135919,590.7479571668961,566.5245519164248,543.123461801733,520.5649309606832,498.82628131482386,477.8915531150983,457.75272513505195,438.40632920305677,419.82445939094185,401.9748870091147,384.83085529723564,368.3699748157658,352.57422344596864,337.4275573874432,322.90181363230005,308.96983573121355,295.6073177571547,282.7921713636929,270.50452578499466,258.72672783582436,247.44334191154536,236.6387435005132,226.29066612622003,216.37738575616174,206.8790758976246,197.77779125971213,189.05746775334552,180.70392249126346,172.704853788022,165.04984115999426,157.73034532537187,150.73029315008182,144.02998395243736,137.6176120192165,135.87265761594878,141.1104039652832,151.1319919888111,164.7668981462337,181.39998108460372,200.7822896594543,222.8021996235578,247.58222716850133,275.2875885682394,306.1435172444738,340.47659067005475,378.6391613879352,421.0019843366957,468.0083738836378,520.1669792637924,578.0286087925991,642.1900961543325,713.2972073069043,792.086648455304,879.3890513523013,976.105043129455,1083.2046827056201,1201.7274607869504,1332.7850828624257,1477.6978667594612,1637.9524767316952,1815.1083188345674,2010.7968566271984,2226.7216111724056,2464.644539376733,2726.8016414851513,3015.790678512062,3334.1695307172445,3684.45053013634,4069.1004605808275,4490.555870796477,4952.221750655417,5458.213212065431,6012.191841230757,6617.330218385507,7276.311917793681,7991.657498938152,8768.110761381806,9610.537822821514,10522.30334188277,11505.261788107107,12559.83427293472,13688.124029590006,14894.225968564948,16179.459150449762,17542.018649436213,18977.065181807593,20481.18032429643,22053.34348328285,23688.27232786378,25375.94825959376,27102.344270070666,28857.215918245136,30630.2278314499,32405.822847041025,34163.237796879424,35881.864079444786,37546.44904327132,39138.45679806246,40635.381397269295,42013.953758869524,43259.189464985655,44356.04171758795,45287.73120094944,46038.28819676371,46601.042836709996,46971.19485648759,47143.97327407522,47116.97552791488,46895.88401789133,46488.00476734302,45901.20907811777,45145.71597860154,44236.439906169624,43188.71630485913,42018.11364757753,40741.202176632025,39375.32391917589,37936.929685698015,36442.49109187399,34908.5484392591,33350.40599710677,31779.954674644694,30208.97039949853,28649.59370590958,27113.59308192824,25608.105621559524,24139.07882282856,22712.662633134998,21335.039025175192,20009.916564908322,18738.64486443148,17522.871074610608,16364.651198631365,15265.141850267097,14223.286389031375,13238.464794070114
F,1385.7587574787196,1577.238235725667,1681.4915087884433,1726.643638171974,1732.1033621400459,1711.2184390725386,1673.2469067544457,1624.4472154499142,1569.224077799267,1510.4702347971454,1450.194482581738,1389.8144562564673,1330.1257647703776,1271.7418263506586,1215.0973910882265,1160.3385183250311,1107.5672469207507,1056.8909071775283,1008.3357748198563,961.827791166074,917.3086864610015,874.7398749375515,834.0946333353436,795.2900967155831,758.23349232535,722.846395960081,689.0622869095959,656.8265479581007,626.0905752474158,596.7773265204959,568.8135291043909,542.1336525612165,516.6783210401446,492.39431327740255,469.2345625962724,447.1581569070949,426.1237148220281,406.07483086734624,386.9584473434286,368.72614802981155,351.334098223891,334.74304474092156,318.9183159140179,303.82982159415366,289.4520531501613,275.76408346873404,262.7289148553771,250.30185032804874,238.45572787312443,234.48842337908678,242.21376631683188,257.89955832435624,279.5285853666187,306.0159163157323,336.89087336598146,371.91507127722343,411.2396300238925,455.08532101156476,503.7693643263386,557.7739551634523,617.6172163213292,683.8399830450112,757.095922024428,838.1384762209036,927.7789640844543,1026.8926100140206,1136.4229492280194,1257.4500205747072,1391.1925139948842,1538.9649080021418,1702.1764118281544,1882.3309654226794,2081.030603594089,2300.190851964257,2541.968854980211,2808.610614422459,3102.4498661961334,3425.9080803310153,3781.4739941531934,4172.348423469884,4602.259468852392,5074.8361776893025,5593.599748323288,6161.963530051065,6783.262385871109,7462.2814392624205,8204.830643823228,9015.985778395596,9900.03564696184,10860.482078644533,11900.552178968508,13026.768840708552,14245.764941956142,15561.901995108203,16977.257975171196,18491.74871796012,20107.786227933502,21830.638567719147,23661.503774526267,25597.024608213025,27629.424828336025,29753.06558820595,31965.779135734883,34259.33746868325,36618.80986523836,39023.62531791497,41458.80456025016,43909.3748140844,46353.16770779862,48760.85744299276,51103.597111255665,53360.34434078131,55505.69419466326,57508.954500700216,59338.64156524514,60975.058634193556,62398.59977179684,63587.46805967576,64521.17686456449,65192.109334653134,65595.24436861649,65725.6874728749,65581.82369634931,65172.86524269506,64510.13810353543,63605.73332237019,62474.83638540331,61138.601337881206,59618.62563455413,57936.80217449774,56116.278262099135,54180.78164812061,52152.70302210585,50054.49770863748,47908.73512042412,45736.00961228673,43552.08928751463,41372.64177687737,39213.87771901194,37091.505817318466,35014.77666962934,32991.37242424431,31029.28299660444,29136.56380302508,27317.908918916462,25574.841242076738,23909.31034931706,22323.83830333746,20819.750663385534,19395.402888096247,18049.760234268946
G,298.64708790406195,347.5549521098547,376.18773969629024,391.08584307053746,396.7196285802742,396.13601431732627,391.43346339255953,384.0201941507568,374.88570900480556,364.678000478206,353.8495485156981,342.7239252400072,331.48622857230987,320.28407483006475,309.2270108477765,298.3606342309987,287.7216916689626,277.348449500196,267.2608857823255,257.4568944625853,247.93739123215514,238.70681556627267,229.7714141463588,221.12468158666968,212.75763746463028,204.66360837935946,196.837654832817,189.27657122980483,181.9777225050703,174.93220007669325,168.13127992580385,161.56734008437164,155.23355250644545,149.12388306815288,143.23309156770043,137.5567317253744,132.0901077699696,126.82513399804095,121.75363694785628,116.86821985812779,112.16225725493771,107.62989495173828,103.26605004935178,99.06641093597055,95.02743728715659,91.14636006584256,87.41659631763429,83.82970464588571,80.38100642832285,79.75006365652894,83.37438228082837,89.94037694834363,98.76396147798512,109.4984460262967,122.02014893114668,136.28865813762494,152.4081309414207,170.51063485580937,190.76782366852427,213.4165258080633,238.71427636187138,266.9353368810186,298.4041790699221,333.4916803767887,372.603325730793,416.181914037398,464.709972208122,518.7364999544977,578.8801464167415,645.8188399788545,720.2896351938784,803.0887127838986,895.0752713144259,997.2590333171814,1110.7774523885187,1236.8429120301078,1376.7423592286696,1531.8373044559876,1703.5563324802906,1893.6691787365767,2104.222315603823,2337.2841015095523,2594.9411891837167,2879.2985256586812,3192.4856115193015,3537.334091088112,3917.2332921911366,4335.3316282467995,4794.511609332074,5297.389842182486,5846.522185653002,6446.108740593887,7100.552461612972,7813.249901072772,8586.583997452552,9421.969525197701,10322.075788396774,11291.204313016715,12331.606362091663,13443.184510358264,14623.551827619347,15871.346468655567,17187.143687344967,18568.04883570166,20007.249322247295,21494.566063306702,23022.623693664416,24583.77611775075,26165.664332353972,27751.199180461575,29322.958079411415,30867.59083278485,32368.430649688467,33804.82324261179,35154.8914376133,36403.51700209831,37535.120601015195,38532.11275561244,39377.206445800024,40061.396799625145,40577.294596489,40917.334793293216,41076.043191398836,41055.892173841145,40861.06236872653,40496.26713023424,39968.62851529449,39290.53233519928,38475.01185045291,37535.35750827967,36486.017607954585,35343.0845133725,34122.0369674144,32838.292044948736,31507.281211065492,30143.82444097059,28759.847137055694,27367.046395561712,25977.36380392821,24602.369838209725,23249.547146929326,21925.155986755042,20635.580061524077,19387.18480827571,18183.994543841265,17027.74811448177,15920.421646522469,14864.342200570918,13860.944327802074,12909.519663982222,12009.742826920205
H,267.9213335801744,313.92525874656815,341.20136297924233,355.7532258657266,361.68631138278545,361.8011462020475,358.02901280930246,351.6687128697545,343.63547791061154,334.53163590913374,324.780322941256,314.68642682766426,304.4277024268641,294.14721870367504,283.952755371751,273.89305824746333,264.008264846051,254.33936937414234,244.91009849599897,235.72343556566648,226.78464332469272,218.10173375520873,209.68391751181977,201.52831933304472,193.6292910722567,185.98299400976111,178.58689717641337,171.4397773536192,164.54070072732065,157.88271475398025,151.45850093462872,145.26165008882484,139.28641667881422,133.52771880952918,127.9811382285888,122.6429203262997,117.50908965981563,112.57206051456322,107.82375815691094,103.25690582793733,98.86502356175582,94.64242818551493,90.58423331939842,86.68634937662489,82.94548356344795,79.35913987915664,75.92062130222442,72.62115879714048,69.45605578036898,68.66001938383428,71.41638150529849,76.6065970384905,83.63615501940956,92.19318231084263,102.15203252909123,113.45657414694597,126.16971185582725,140.37576004006223,156.18933106998352,173.77641706977167,193.31587465940737,214.99566636513177,239.0404267657618,265.70789266364903,295.27685841011163,328.0490983994672,364.3506731792065,404.5537089044273,449.07835379111117,498.3792022130888,552.9449413836261,613.298351355425,679.9972765622734,753.7070347847687,835.1776178730184,925.1925720116797,1024.5686185994762,1134.1556542492062,1254.829072734725,1387.709965012874,1534.1047279379975,1695.2902398516405,1872.5108222858175,2066.9782399629953,2279.8799772548573,2512.9061476158763,2768.110450424832,3047.2958159996956,3351.9957116365736,3683.474141609693,4042.899042115765,4432.592550400407,4854.925163315673,5311.469791727697,5802.997278990593,6329.517773700966,6891.913394053857,7492.084140091303,8130.485210969293,8805.950655146344,9515.741076271937,10257.86409739896,11031.562037813675,11833.909997782523,12659.582068597087,13501.229406962404,14353.49034202635,15211.006472488281,16065.841065173112,16907.4915263138,17725.62624783401,18512.73009031097,19259.73874818846,19955.701836107848,20589.399757088933,21153.890787083692,21642.295531559863,22046.95967539181,22360.71762542456,22581.08018781081,22706.504947262496,22735.484656684097,22667.688523490164,22506.695690427798,22256.81902356095,21922.607014279885,21509.688444896026,21025.80835660397,20478.82038058077,19876.634057105926,19227.563321418733,18540.083574735283,17822.144385668722,17081.68190028058,16326.636738295105,15564.209661102415,14799.850879548889,14038.958361832603,13287.108711167572,12549.685897603602,11829.773079976192,11129.89888431467,10452.700470459888,9800.837482701572,9175.789954254424,8577.935505573949,8007.8076153977,7466.145645192958,6953.280008581568,6468.517807157475,6011.387577223724
I,616.8498742621473,706.7975578940141,757.1212962868462,780.5803315278328,785.9510667319747,779.2517509502427,764.6481084766671,744.9510342967077,722.1396683121836,697.5147296947392,671.9831277635038,646.1895994547003,620.5009228348096,595.2043724103992,570.5082915439064,546.4918762511253,523.2148886100263,500.73927184900094,479.0901499447466,458.2474176358437,438.19729216249357,418.93385266531266,400.4555818527416,382.73525082057847,365.7404141896716,349.44426245000955,333.8245479216058,318.86358475449913,304.54575155131164,290.84232519631973,277.7251388700772,265.169100018391,253.15155961160093,241.65231214457913,230.65359563673024,220.14009163199273,210.09623354753649,200.49878959681354,191.3249881240754,182.55418575878878,174.16785007782028,166.1495596054362,158.4850038133028,151.1619831204859,144.17040889345088,137.5023034460638,131.14104164562946,125.06578864956515,119.26468153556021,117.4335884202633,121.50987673756883,129.61308308667174,140.73066811134714,154.32104811213614,170.15293666315569,188.1120458727845,208.28122424330195,230.7786418545918,255.77163003708165,283.5114440825136,314.26832960405636,348.3249468038508,386.02203043641725,427.7519968405668,473.93807334662114,525.0373878114414,581.5432253096061,644.0200133852946,713.1049485590304,789.4863281476711,873.9030139640015,967.1444323167353,1070.0525832596004,1183.6335039693063,1309.0206645415117,1447.396858005843,1599.9936284234468,1768.0912708870076,1953.0085724948394,2156.4372030099426,2380.3470060171658,2626.662967215017,2897.260682294569,3193.9663569394434,3518.5716457908798,3873.6285789842896,4262.232478831003,4687.106969386503,5150.576439065479,5654.566040641823,6200.865596252096,6792.997602374344,7434.559954396034,8127.973167032527,8874.473864864276,9674.17684082135,10528.5111045661,11440.432543230017,12410.759722872419,13437.912543281054,14517.982784152477,15648.1832473626,16827.57828551937,18052.001239492725,19313.701999062636,20601.90747403736,21908.787583565914,23226.489000405185,24543.25252661764,25843.42882450239,27111.557670656202,28336.30510535316,29503.918037337065,30597.713446830763,31600.5004868981,32501.388324138647,33289.479429509556,33952.621044949214,34479.31012761348,34865.023147210144,35106.636218022664,35201.06079646136,35146.980053882275,34949.05256685017,34613.113398133995,34145.40747763409,33553.89459288602,32849.917147860026,32045.08642814708,31151.17059500848,30180.645863650436,29146.431587049505,28060.74030665556,26935.800661112917,25783.888973823745,24616.277244611134,23441.643869519663,22268.591561394176,21106.001997144744,19962.477116700782,18843.134165400304,17752.22036353066,16694.140872632088,15673.329372302163,14692.386997660606,13752.180351331306,12853.803424391044,11998.658083835495,11187.490077651279,10419.422662519442,9693.908627349158
J,332.6831233076325,379.9360023849649,407.93278131971687,422.91426451980135,429.1135149599089,429.39463236695156,425.71842340996574,419.3923394024638,411.3333606995053,402.1399991831212,392.23158341892383,381.9107236415983,371.35240583446824,360.69942893217666,350.06081084197075,339.4868355342306,329.0203493551571,318.7058743572998,308.5708852677664,298.6226227969796,288.8707580980541,279.32759979538827,270.0065319285976,260.90894863044895,252.03367745892638,243.3810645953249,234.95243522220792,226.75009352340783,218.776361798607,211.02773593608933,203.50026740015156,196.19064323648809,189.095947326543,182.21366038750983,175.54165997233122,169.0782204697001,162.82135463097654,156.7656320311218,150.9048044401385,145.23327005194432,139.746075706614,134.43891689037918,129.30813773562892,124.35073102090914,119.56433817092261,114.94724925652996,110.49357140949392,106.19535568749929,102.04853368887014,101.54902921752756,106.58747217240895,115.47326610790468,127.33729717127207,141.74890075084593,158.5676421234885,177.76124522062602,199.48707995285554,223.9403499090731,251.37013658403126,282.1130269383589,316.536479268745,355.03404875877953,398.0693961513815,446.1717427932778,499.92254530752626,559.9593350078762,626.9795700156615,701.7760644826161,785.2418007995323,878.3612662931085,982.2104768944791,1097.9569771392128,1226.8677599345442,1370.422968234791,1530.2899211276754,1708.263328124394,1906.2649064912266,2126.343381249547,2370.6686008172064,2641.8906565708594,2943.062601969215,3277.3234864750502,3647.8939495135405,4058.0762204722378,4511.262781562914,5011.838080930547,5565.007793478213,6175.752497444017,6848.79483086335,7588.599491568923,8399.636290068054,9288.707376648343,10263.038517033663,11328.609237157461,12490.14245292156,13751.157559721752,15116.999424639109,16595.516018507155,18191.790112113275,19907.686340409862,21741.92417376655,23694.703470991386,25769.23060747051,27963.611422730093,30270.105621604478,32675.894240763613,35172.13684718711,37749.458616181975,40390.80238627457,43071.35305986457,45765.15131006998,48451.957819546216,51105.41687704849,53691.811358818886,56174.42567587585,58526.40027714081,60719.09055581817,62719.37383199997,64493.508771302906,66020.84840457783,67282.85081922957,68259.90506080838,68935.38593255891,69306.76076977362,69374.60169899996,69140.2357628517,68609.43458146659,67798.92233367114,66727.17206765724,65413.24463727482,63878.77639167973,62150.68399152397,60255.57727936495,58219.888707553335,56070.087383527556,53833.21357283414,51532.296002956275,49189.76071738465,46828.30320379478,44470.029293012914,42130.718827290504,39823.74911982763,37562.58498700444,35360.58375720051,33226.926072193375,31166.492953194866,29184.484886943148,27286.659072297727,25477.021268485852,23755.480575352416,22122.548821265173
