Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,10.380953047689557,12.530813007265788,14.767234848769426,16.933852935909318,18.937494377000753,20.72742397973849,22.28007726548291,23.590783393395863,24.665088427104074,25.51637253711359,26.161294266437853,26.617771967122323,26.9054888273739,27.042839233024914,27.047092190179775,26.935392162716795,26.72324958386003,26.424331693464723,26.051263306962298,25.615770489656878,25.128225774098745,24.59774077155967,24.032264512603035,23.4391625478602,22.824772506014263,22.194706055733917,21.553915412130777,20.906693336759428,20.256768476574276,19.607526576378486,18.961557892404745,18.32114652580337,17.688323373126323,17.064866126327146,16.452299272761028,15.851894095184825,15.264762157009628,14.691675216242395,14.133039678977818,13.58920040970617,13.060443501539481,12.546996276211548,12.049027284077946,11.56664630411599,11.099904343924734,10.648793639725074,10.213139879590344,9.792649711545595,9.387074158467485,9.002028397088289,8.660150250706064,8.37919146010628,8.168560889316062,8.033648881403437,7.977565715278165,8.003242932785456,8.112581553711266,8.30823557936259,8.5934874591665,8.971941993122797,9.448304933565103,10.02847354490462,10.71915731034448,11.528065037745804,12.464303443707792,13.538373319137078,14.762223480550256,16.149151096914864,17.713948792100027,19.47349768327225,21.446791174574653,23.654934957127033,26.121467998424347,28.871725840038412,31.933314421154968,35.337507381860455,39.11925980985728,43.31720824046411,47.97416845935379,53.13435636134622,58.84430652742601,65.15702085770502,72.13203494987343,79.83541809919943,88.3396393705879,97.71509394225414,108.03236720499416,119.37212718174656,131.82542528384764,145.49369631103156,160.48432909450787,176.88675796941186,194.79122618593323,214.30068811479316,235.53084108351476,258.6087837915564,283.634443911253,310.6760447381604,339.80970661064043,371.12116112999956,404.7044432059829,440.60466924329586,478.80005429960704,519.2668747905732,561.9826786736801,606.9176711060754,653.936615689796,702.8373449484498,753.4152657719426,805.4635739297718,858.7136290017197,912.7687651567528,967.2288818842378,1021.707180003432,1075.7974877437646,1128.9771032569863,1180.7321897393022,1230.5952365283454,1278.1190692882096,1322.7937660101843,1364.1546373414706,1401.8140210198728,1435.4355768086991,1464.6822746160149,1489.2931351584998,1509.0914507875623,1523.9627505229837,1533.8372651905786,1538.71859982536,1538.6726645636968,1533.8153997210034,1524.325338079289,1510.4337433955584,1492.3900346098153,1470.4609671951644,1444.9521636530721,1416.2266946943334,1384.6335881587063,1350.4988824559957,1314.136925063462,1275.909512363892,1236.164378862903,1195.2153329703567,1153.3450445764952,1110.8386479273381,1067.97780642631,1025.0090856033207,982.14322352098,939.5722654441001,897.4872550759956,856.0469628027906
B,4.221281290911689,5.670213246890463,7.2374547547918695,8.80428814753946,10.297776063345076,11.675687614987963,12.915500466365186,14.008508194220145,14.953634569499608,15.755777624811602,16.422581928621934,16.963018613513796,17.387731009560884,17.706868610795713,17.930189769085718,18.0677259695492,18.128690843154278,18.12132172137731,18.053395820510996,17.93231629803567,17.764741180567214,17.556628445874832,17.31329332698909,17.039770990950878,16.740543782065984,16.419660616447782,16.080772421699887,15.727132136916197,15.361647783450602,14.987031810482527,14.605549489775564,14.21925254123846,13.830006630042508,13.439491366621562,13.049200306672,12.66044095115282,12.274399203430647,11.892075814105063,11.514237714695367,11.141579414775297,10.774724620209781,10.414226233154944,10.060566352058105,9.714156271657782,9.375336482983645,9.04437667335663,8.721472381184142,8.40675868871483,8.100332078211208,7.808024345389085,7.552355957537848,7.351151207952145,7.214130930449315,7.147139011547336,7.153822799952031,7.237674993716903,7.401194323672025,7.647620716645269,7.980811058428119,8.404947856604341,8.925294487642116,9.54828283249366,10.281155676667797,11.132150196822426,12.110893608557971,13.228401873762733,14.497138003854865,15.930920766987466,17.54506093381811,19.35696899854178,21.386179953264836,23.65435328800501,26.18559805485201,29.00581767054475,32.143186326261066,35.62956862124595,39.50053352697543,43.795354387156884,48.5575035560287,53.83180030078828,59.665350106903475,66.1117455375313,73.23113323290559,81.09021391033652,89.76208463809422,99.31758075777375,109.82762385242495,121.3732043320641,134.0456824027641,147.94678806665442,163.18409805397144,179.84684412555976,198.024952146071,217.8209953305472,239.35022490143228,262.73921627264343,288.0870379381503,315.4608083982858,344.93553693836566,376.59583674990995,410.5346173864973,446.7958317221154,485.35655893066803,526.1921939176569,569.2796834770397,614.5889288118377,661.9848541966727,711.2659538785412,762.2288025171207,814.6682742751901,868.3179290918379,922.783877833204,977.6690184606815,1032.5896749056105,1087.1428610986588,1140.808838098591,1193.0761625999826,1243.4790166064543,1291.5711699973806,1336.8422387456433,1378.825763990567,1417.1313476798746,1451.4188433127485,1481.3453445825849,1506.643028132482,1527.1281570917708,1542.678730282925,1553.2157440708268,1558.7338180658953,1559.2909027883097,1554.995595361482,1546.0182703453886,1532.5830634057004,1514.9340091035308,1493.3341146480932,1468.085342860674,1439.5482426428034,1408.0707059538913,1373.9788115924657,1337.5879678404112,1299.261790574207,1259.3509514643688,1218.1725826223346,1176.0130081479654,1133.1617168871592,1089.9055555610794,1046.496091692072,1003.1487832493146,960.0605282388732,917.4277208006642,875.4140390731447
C,22.59982158864858,25.88256450378934,29.216428464583963,32.38484017393377,35.26169616437108,37.78143869009351,39.91704783318087,41.668121419035394,43.048384841553265,44.08228394981704,44.798452989893526,45.2268347233066,45.39944875352156,45.34603375249771,45.09431194850675,44.67146062516248,44.10198963034477,43.40746492883214,42.6076890978354,41.72091028429462,40.76323290789566,39.74877074144391,38.68979540559185,37.59758559082776,36.48177011167037,35.35084074645144,34.21225598943999,33.07244105084249,31.93693391349705,30.810701761795215,29.69745340461187,28.600426794226046,27.522471994779757,26.466051182278,25.43323864458873,24.425720781443033,23.444938708835295,22.491786711095248,21.56658970389784,20.669589168107244,19.80094750979258,18.96074806022785,18.148995075892035,17.36561373846901,16.610450154847516,15.883271357121362,15.183573546124174,14.51066421096288,13.863946979784007,13.25059159385273,12.700249271731902,12.235847891974434,11.869057249810414,11.606021795300377,11.449704752763287,11.402698450075004,11.46609887270841,11.641880449193948,11.932727377004948,12.341597198888717,12.87274554906557,13.531842274050701,14.325418653981716,15.261093385258944,16.348045968278157,17.59699924990343,19.020260034885997,20.631526098898775,22.446066091988143,24.481342394966862,26.75703443417806,29.295038681495274,32.11976424474054,35.257320482306305,38.73607262949953,42.58811798080842,46.849299935219285,51.559207996217026,56.761612986089425,62.50128405351465,68.82511248303267,75.78644348455353,83.44514335035723,91.86759945509328,101.12644762734217,111.29135970079034,122.43183812489578,134.62728999864294,147.96731725249424,162.55171664838997,178.48572366950157,195.85557123708776,214.7481118638136,235.26255802957587,257.5105065728219,281.61457018412113,307.66979584985495,335.7399198366541,365.89654566549535,398.2207407427791,432.8017453415602,469.68109231865145,508.8358580570827,550.241838765443,593.8765571318071,639.7108815449345,687.6145308211514,737.3937429336604,788.8526376689474,841.7933391581773,895.9584743475426,950.9681189854126,1006.4380407197278,1061.995182790305,1117.2462985037062,1171.6847141965252,1224.8094882832381,1276.1608217158746,1325.2953253695841,1371.705876458081,1414.9251931210188,1454.5572015197904,1490.2525351197785,1521.6574679347445,1548.4898451346676,1570.5488863507221,1587.6937002950663,1599.8246994229723,1606.9150933858286,1609.0019663792116,1606.1737362627537,1598.5801262812201,1586.425992534702,1569.9391151372588,1549.3691778387322,1525.00592331708,1497.1996313965562,1466.2910400505623,1432.602090929872,1396.4467032807302,1358.1885216756884,1318.1808603862378,1276.7451650675762,1234.1736093260408,1190.7631182234177,1146.809829528057,1102.5750043405776,1058.2840072722997,1014.1443032156266,970.3637945108254,927.117344883461
D,92.25451537871422,108.11746743880977,124.33664697060537,139.84206334822937,154.00577534580017,166.49620206753366,177.17088530079747,186.01832142202875,193.09700574200792,198.5187176300482,202.4165677147836,204.9308708391436,206.21280636479636,206.40306282576546,205.63307236603805,204.03214350329577,201.71700941881767,198.79043528267144,195.3469439792633,191.47382668594193,187.2481716832187,182.73758474476432,178.0009053858459,173.0923256808647,168.05819704553107,162.93944278122237,157.77205510854208,152.5870951673203,147.41139418715932,142.2690808715883,137.17826927512988,132.15481838315353,127.2127294984748,122.36414624135497,117.61935454950093,112.98678267806605,108.47368324647658,104.08467202095758,99.82162432330117,95.68601171974045,91.6789229549795,87.80106395219323,84.05275781302771,80.43394481759974,76.94418242449689,73.58264527077829,70.3471610685984,67.23462800676724,64.24243326473,61.40393439469654,58.856643716476626,56.70687835049405,55.008753275715776,53.79074813963338,53.06657650137164,52.84821351990273,53.140683320244015,53.953067446885555,55.29772443197765,57.188268602743996,59.64432022216907,62.692043175974696,66.36158358130092,70.68812912365581,75.71409196046808,81.48902524473029,88.06980340577002,95.51976839300588,103.90960300991883,113.32014162877219,123.84247464143866,135.5779484594005,148.63953563638705,163.14834389613188,179.23611483663382,197.0518677978413,216.76196344035768,238.55010374544298,262.6193859847082,289.1784596239752,318.4464828823998,350.67254310794493,386.1359601474576,425.1462863466659,468.0422752928174,515.1515869785366,566.8029396217904,623.371266764842,685.2790381468011,752.9962597036266,827.0197214858076,907.7647674143103,995.6522634441774,1091.1614898714279,1194.8302624726534,1307.2488808594585,1428.8882652389289,1560.0823349896766,1701.2036551042277,1852.6707721953355,2014.942397338206,2188.2652378530092,2372.5969414337405,2567.890216603334,2774.1063903707322,2991.177013603015,3218.571046585986,3455.4635265934708,3701.013367620265,3954.363784053169,4214.375676122825,4479.331539631096,4747.478100869301,5017.09745567833,5286.360706266242,5552.8863322808775,5814.2956733921355,6068.381471727104,6312.991765239683,6545.644169639299,6764.020661222341,6966.125125126426,7150.166379534974,7314.304475447314,7457.029573601983,7577.220798485167,7674.04003956946,7746.829548060865,7795.28792513331,7819.437542189417,7819.5595901635525,7796.22465740925,7750.285368003266,7682.73075848362,7594.680110251317,7487.4509075229225,7362.668237217469,7221.932475954734,7066.772549420996,6898.695380986279,6719.457291681634,6530.781121153772,6334.24472349818,6131.292632916603,5923.40177066073,5712.056061029013,5498.572109297354,5284.09312524332,5069.679094040723,4856.397696409904,4645.154253244181
E,8.751064799090647,10.31347211095088,11.963918447034285,13.583289020640379,15.099821548745151,16.473401085943593,17.684103967010365,18.72606617754515,19.60104964459153,20.31673248509595,20.883366106566932,21.31231249054983,21.616426504958877,21.807823988855116,21.898004774292872,21.898560880003483,21.820069774034945,21.671943250128695,21.46298005898187,21.201456311025993,20.894775981563697,20.549528929266362,20.171554384386745,19.76632635713621,19.33865934040793,18.89287647823718,18.432850948450564,17.962005962666,17.483374483549703,16.999750827922778,16.513409478439822,16.026393932285767,15.540548937669389,15.057520493823318,14.578755851003997,14.105503510491786,13.638881416574266,13.179785090984602,12.72885037975922,12.286644463086496,11.853667688908383,11.430353572920417,11.017068798571735,10.614113217065034,10.221719847356587,9.840054876156296,9.469188417936508,9.109117148641909,8.759820823320492,8.427188737310765,8.134285503628885,7.899288366719281,7.731988552123344,7.638145792582025,7.621228816140851,7.684524857154895,7.830276726113961,8.061473515068936,8.381722489971507,8.794943748730201,9.306147928494113,9.921525822198038,10.64807111101438,11.493769253646143,12.467993394994028,13.581500238355854,14.846482801083372,16.27647763223142,17.886514900638996,19.69369718690424,21.717222663194065,23.978385093244178,26.500888404087757,29.310256201032203,32.43429096805442,35.90442117160043,39.755714556440026,44.02687814566717,48.760744295337545,54.00167884379621,59.79646304152678,66.1982493865773,73.26662513037952,81.06761227774815,89.67356119879815,99.1552574317384,109.5840698163233,121.04132080374512,133.6185731568404,147.41762995008978,162.5464328962371,179.09673228265723,197.16171522353596,216.8472709927768,238.27202255082113,261.5660790462583,286.834938322695,314.1551228100532,343.611493708279,375.29889889515306,409.3209371390589,445.73581204907794,484.5389981441654,525.724499707732,569.2878857968929,615.2179877378175,663.4024284849831,713.663651123403,765.8200803168718,819.6862855698953,875.0145740696668,931.4290184578558,988.5456399141609,1045.9885639520512,1103.3577272109087,1160.130622184221,1215.7859595601699,1269.8417816087513,1321.8295437549968,1371.2078918453558,1417.4731931731746,1460.194807233096,1498.988736354324,1533.4607413819385,1563.290637925013,1588.2449564974652,1608.1530199087215,1622.8840581216089,1632.3855975225874,1636.6755924308072,1635.8279794851078,1629.9795906487907,1619.327779276194,1604.097662804879,1584.5408200118607,1560.9508588893527,1533.68672358884,1503.0998316095213,1469.5239478113854,1433.2861404758237,1394.7662786679484,1354.3350120859043,1312.330283056245,1269.0599502687107,1224.837620264791,1179.9769096082587,1134.7548573832223,1089.4107616172241,1044.1653379760478,999.2401727453331,954.8219391399341
F,14.782955989430683,18.21956291546532,21.812519413753805,25.311120103453888,28.565033420870236,31.49132968968867,34.050265584680396,36.23218551837257,38.04378659727381,39.50436436328869,40.63860872794532,41.473415892808866,42.03867726342885,42.36244925500779,42.47120353618269,42.39138357323849,42.14700660438336,41.75932747852031,41.24807648312777,40.6316767133583,39.92650110564654,39.14700828618095,38.3058914788541,37.414967174043014,36.48449564017396,35.52361166216808,34.54042369455201,33.542013861458,32.53458162642678,31.52378950894516,30.51408296258966,29.509410820238113,28.51330419842658,27.528876497349383,26.558823400858984,25.605422876466225,24.670687050189954,23.756106603471395,22.862590192549103,21.99092863261918,21.141799220092278,20.31576573259358,19.51327842896285,18.73467404925438,17.980175814736963,17.249893427894072,16.543687533358426,15.861239063250347,15.202263424553514,14.575779619153256,14.01780317259483,13.556435847469286,13.206394577975562,12.975879437442424,12.86935419579897,12.890895712526959,13.042839479348595,13.328615267131823,13.75254461947594,14.319335373382108,15.035307849934117,15.908534667972482,16.948206799985456,18.16491468400342,19.571238360441043,21.18173254734219,23.012989478406375,25.083441060709557,27.413580865631275,30.02677892378015,32.94931322199447,36.2103697033423,39.842452181112456,43.88041877881034,48.36217262357702,53.330575216426,58.83346492454506,64.9236569812968,71.65955969905005,79.10123207397555,87.31175495341515,96.3628467759843,106.33495191460904,117.31724067652507,129.407339479724,142.6996882519073,157.2889251085415,173.28305027795585,190.80381516165207,209.98672233430491,230.97500015239905,253.88789432982767,278.84594348394774,305.9865293375608,335.4639138486884,367.44746599046255,402.07111167925825,439.42791199603454,479.62179477653655,522.7697395656187,569.0000698779921,618.3781373956037,670.8833926813185,726.4934489872626,785.1881561673704,846.9383488285702,911.5784711554884,978.8564130220165,1048.5161351159659,1120.297859049459,1193.8600326120375,1268.6926598234377,1344.2778486828167,1420.111078092637,1495.658387441705,1570.2278558654314,1643.1328365039285,1713.7412339794607,1781.4414892942168,1845.5311594685786,1905.360479344958,1960.3768089324521,2010.090563356707,2054.0031989975696,2091.714175874471,2122.935680863346,2147.46231851279,2165.1437913538825,2175.9309939743903,2179.8644628498514,2177.056444538993,2167.702825162676,2152.0766910678026,2130.484475549313,2103.2644396335536,2070.8099247585483,2033.5984073558063,1992.095396140918,1946.7414928110195,1897.9670486684142,1846.2710600323226,1792.139021959975,1736.0129141161583,1678.294727538881,1619.3932973832077,1559.7166924002233,1499.6250287992311,1439.429033655091,1379.4148898150268,1319.8695219918704,1261.0343335600144
G,3.657283955414909,4.625339324581143,5.652955454822313,6.666468537168639,7.621241541407232,8.492074259890538,9.266199100518028,9.939523927658485,10.512689606025964,10.990014603401434,11.377440490848553,11.681629752924586,11.910194652240595,12.070322774108856,12.16884911811639,12.212689362760973,12.208155605425423,12.160860995591836,12.076058848361821,11.958698501187685,11.81320623815707,11.643519920702925,11.45312798018352,11.24530671471418,11.022938183686465,10.788611295747966,10.544647111096273,10.293098841479003,10.03578831867349,9.774397902926422,9.510297388687164,9.244720346225236,8.9787838239372,8.713488348346612,8.449717924104052,8.188240033987148,7.929745460106134,7.6747892375301285,7.423771229348482,7.177051755433613,6.934952688365772,6.697757453433015,6.465711028631234,6.239019944664129,6.017852284943212,5.802337685587849,5.592542570950112,5.388486053201827,5.190182583322595,5.00133343594599,4.836369533672135,4.706743640038292,4.6187381948550295,4.576181397957937,4.581523425478955,4.637146464525891,4.744827607542175,4.906854624441242,5.125948621318321,5.405084592593281,5.747981842723263,6.1591617034812645,6.643729732522139,7.207506746288982,7.857294802078121,8.600878465463753,9.447066857028778,10.40567379101695,11.487635285064187,12.705409381731169,14.072992566294307,15.605919766745755,17.321513711906114,19.238615510089506,21.377879413593348,23.762690669594157,26.419174924826006,29.376198225580826,32.665781198690986,36.32167760596581,40.37987581155964,44.88127702863409,49.87174028801846,55.402082438209504,61.5281664976461,68.3062652496964,75.79414902747111,84.05754323728509,93.17034357286624,103.21461601535539,114.27822846228807,126.44030606505851,139.78258550667377,154.39754165989802,170.38842038398877,187.8684434049714,206.9364260879355,227.6728084555214,250.1660457624976,274.5139596561136,300.8228645350287,329.1684072750847,359.58158684468344,392.09314229983937,426.7359113594033,463.53847444994324,502.45205858529397,543.3758257925728,586.203114730782,630.8215651131176,677.0659235725127,724.661893792655,773.3212257868075,822.7548532431049,872.6460752020931,922.5648330217884,972.0706642024895,1020.7467026939498,1068.1775323846007,1113.8703434979236,1157.3536546032024,1198.2128631390617,1236.0664570792921,1270.509712377928,1301.1981633360147,1327.8646997759895,1350.296015346241,1368.3049904934196,1381.7773792394162,1390.6692887689685,1394.9915951945331,1394.8074600899108,1390.2408038279175,1381.4507210166844,1368.629724472216,1352.0085166867436,1331.8816415962433,1308.5446644879903,1282.2841024079482,1253.3861812096522,1222.186813142809,1189.0190983603688,1154.1896172559036,1117.980459278705,1080.6816392196254,1042.5862594906737,1003.9549388937847,965.0144369855118,925.9757174487778,887.0520071241774,848.424456983241
H,3.7145197106201673,4.831963152895818,6.023884513728914,7.20474651931972,8.322360794293044,9.346892412862276,10.262834362268164,11.064705619758191,11.752536042629195,12.330657555778258,12.805349062362724,13.183800882969793,13.474370148466162,13.685001586668099,13.823304719301152,13.897042479170157,13.913338273684985,13.878562048637168,13.79871077035019,13.6794724985479,13.52596083333992,13.342749643971109,13.133915841631739,12.90330789393536,12.65434463303424,12.39011030764053,12.113381366162228,11.826626456703178,11.532046719607049,11.231687649997168,10.927249362335022,10.620267222774427,10.312132873987256,10.004094235163432,9.697255502010933,9.39257714675582,9.090926262227313,8.793027251313465,8.49942381598346,8.210604830743236,7.927005605286825,7.649007884496353,7.3769398484420385,7.111076112382196,6.851637726763209,6.598792177219607,6.352651343123986,6.1132819399671625,5.880721865881048,5.658969053977434,5.463534218181931,5.306623934211001,5.19479685761526,5.131884971215885,5.120164314292604,5.161772094011268,5.258127844932029,5.411135465730751,5.6230968657578515,5.896504237034753,6.234561079674389,6.641242037756127,7.121035273274923,7.6790658240701335,8.321357469766848,9.054829138647609,9.887328354240966,10.827558929052634,11.885176014406962,13.071167961346847,14.397871520148007,15.878971840318995,17.52970170724474,19.366418802801817,21.406916351693567,23.67131443323601,26.182068687494503,28.963970315283902,32.04444934623368,35.45178471774911,39.215714904900054,43.370060960765834,47.952768172636794,53.00590606201401,58.575567791418685,64.70650170838276,71.44361157784128,78.83815554774566,86.94793247613754,95.83728193114891,105.5743032158201,116.21594774488652,127.81981291959167,140.45155531855664,154.18491004154436,169.10086019718108,185.2637220069973,202.7183679559395,221.5148764867381,241.7096054877208,263.36438269196276,286.51102101947856,311.1400941818981,337.2412689407839,364.8053112856806,393.8187027059397,424.20232143915064,455.83518963222207,488.5945434443074,522.3559571768128,556.9557064433722,592.1485462986536,627.6856965039353,663.3253297469618,698.8118207255278,733.8131461232042,768.0003510962691,801.0717509414142,832.736313321111,862.6591805368372,890.5316803751135,916.0930025171369,939.1134519808329,959.3591302778249,976.643970225255,990.8366964371364,1001.8459217456748,1009.6067382957019,1014.1028582198434,1015.3607331328413,1013.4408157555953,1008.4433462788269,1000.504978008879,989.7773208670866,976.4262309673644,960.6432705731365,942.6594172108656,922.698859404737,900.97282516795,877.6866864082987,853.0779250498393,827.3766315034858,800.7915072054905,773.5115927502402,745.7285877102742,717.6331143774379,689.3927654525941,661.1514914784391,633.0412817739254,605.1941203421741,577.7204073661713
I,8.365196031718234,10.340304303003988,12.413127211275242,14.43849670405212,16.3290446718596,18.03618150428651,19.53615494784005,20.822532006488963,21.898313694855773,22.77379528503518,23.462439072633444,23.979052189077823,24.340239626068573,24.561636854750475,24.65805170773094,24.64434752688138,24.534064348519678,24.3392241947163,24.07102873945152,23.73998221412502,23.355452540548193,22.925743837999303,22.45817881686031,21.95959976960396,21.435991144123744,20.892700135676805,20.33449045818321,19.76554234422602,19.189532103485867,18.60983603997458,18.029155945600387,17.449901108060835,16.874231113389737,16.304055845957098,15.74103548846913,15.186580521968327,14.641942974853027,14.10809608435887,13.58568103275135,13.075259549312602,12.57731634753662,12.092259125129214,11.62041856400805,11.162048330302623,10.717325074354232,10.286348430716096,9.869101082462869,9.465476213564706,9.075353476647585,8.704188988783745,8.37362274907391,8.100533551493264,7.893759838714093,7.758218369308334,7.696573521923511,7.7112470436291725,7.803606064003396,7.975664230155467,8.229960284906852,8.569253615743865,8.99725989437164,9.518734980378195,10.139092809655619,10.864572489221873,11.70259188028292,12.661738487327955,13.751806636463483,14.983674359307594,16.36943494999824,17.92288591812059,19.659547854227984,21.59666442984199,23.75344419245632,26.150474155001405,28.810139479525667,31.757768500771707,35.021643751242166,38.63300196119996,42.626397342507616,47.03733520803579,51.90310652595146,57.266142334957735,63.17406637466394,69.67969508558514,76.84087478574662,84.71353730192959,93.35374079790215,102.82552261257837,113.20113101353321,124.56102519700266,136.99030074629178,150.55983200767392,165.34133085633817,181.41663259863276,198.87771850773123,217.8256663056212,238.3406235174989,260.4785413038957,284.3020348151372,309.88170244197767,337.29511217759676,366.58257301920787,397.73338900810126,430.73601386666326,465.5805067702247,502.2518179550273,540.6536765837972,580.6382173044428,622.055364034223,664.7529493789904,708.5299356384473,753.0842495212612,798.1088949661724,843.3047130206884,888.3546496174001,932.8462204232843,976.3695394161628,1018.5470541652146,1059.0130453546521,1097.3461181042858,1133.155864170671,1166.1099477651096,1195.9134757768752,1222.2650353539775,1244.9218281591934,1263.7089246923117,1278.5007743306892,1289.2041407103009,1295.7867862145308,1298.2707874363653,1296.7215130238253,1291.2541504475944,1282.0305895405095,1269.233235596445,1253.0640552179764,1233.757940310377,1211.6005047156107,1186.8704498608176,1159.8317149821826,1130.7422328018968,1099.9011734924482,1067.5997461657441,1034.1030464392134,999.6521633996679,964.4923453888596,928.8684253538117,892.9964013787107,857.0625675403762,821.2384696881015,785.696124820445,750.5801741399081
J,4.171243922544116,5.070534806931055,6.020162621203145,6.956857874497933,7.842339506970885,8.654942702290922,9.38355693486559,10.024418559188387,10.577742648338273,11.046855286901756,11.436460888789295,11.751893280479292,11.99932199841093,12.184600564018057,12.31333351860933,12.391234706938405,12.423556532220982,12.41501396994599,12.370058232150937,12.292917633538018,12.187413098489552,12.056985153266272,11.904723648580205,11.733552130224558,11.546086878542075,11.344705938402463,11.13156793944564,10.908612096081765,10.677585237715341,10.440114850147543,10.197582322736254,9.951247512919016,9.702263015947157,9.451674164885766,9.200419030613698,8.949328421823617,8.699159237875568,8.450560828066177,8.204052181773895,7.960106933210124,7.7191542061236404,7.481578613800574,7.247720259064432,7.017874734276079,6.792293121333727,6.571181991672996,6.354705783472427,6.142993797212866,5.9361471206195215,5.738861045766205,5.569219485353223,5.441692734319581,5.36439129977734,5.342446818475088,5.379337457447851,5.478509787686345,5.642709776777556,5.875368619386733,6.180508604410192,6.562533113780237,7.026841710558676,7.579903816515033,8.229009235246517,8.982445258076204,9.849850739974121,10.842222540760567,11.971979396834682,13.252978327584891,14.700685268260708,16.332725508549157,18.168906774984777,20.231219230949648,22.544206578631503,25.13472868042792,28.032348869786738,31.270579032421214,34.886892681378306,38.92272495703902,43.4241118145853,48.44012058370771,54.023450471268404,60.234029339767716,67.13907596584934,74.81310004030001,83.33818490894122,92.79855974079823,103.28173855656013,114.8872607872664,127.72699988339212,141.92516331484845,157.61561248029955,174.92331969227521,193.9789020102024,214.9299620490443,237.94114413693995,263.1931569711236,290.8509670700595,321.0575911194994,353.97029177444875,389.7626584474468,428.6234372433489,470.7027280626921,516.091172859869,564.8817425382958,617.1732778954832,673.0613388755731,732.5319410389551,795.4954566071922,861.8528508734286,931.4958730740022,1004.2353767469101,1079.7128786942212,1157.5409620640798,1237.3228655494904,1318.610378915596,1400.764475232728,1483.1137620963339,1565.0090526973163,1645.7878113923914,1724.6397545716634,1800.7684114559854,1873.4547607129812,1942.0175389271883,2005.7098763365013,2063.8699202077587,2115.9590808178596,2161.5197510761323,2200.1154359672964,2231.4314741973226,2255.280710140646,2271.573084540381,2280.292938894625,2281.5358903917318,2275.4766490575635,2262.364870067437,2242.5126832223114,2216.3475965448724,2184.316363410371,2146.8664403984803,2104.45776554612,2057.637072448871,2006.9597429992457,1952.9441795627517,1896.0743192603009,1836.8540874637697,1775.800759189702,1713.3785631776125,1649.995469069593,1586.0356696108183,1521.8914200745849,1457.8997098016998
