Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,0.5719988243013528,0.6824735463242672,0.7930531476310742,0.8976052347846734,0.9925675676816441,1.0762153851062084,1.1477583249558638,1.207375764680609,1.2554362468844633,1.2927419718588211,1.3202458885032546,1.3387449049957991,1.3492728114716377,1.3527751486751405,1.3500270415964453,1.3418451173900008,1.329008475529888,1.3121565854072537,1.291916771465746,1.2688123463973848,1.243312191474834,1.2158611223778035,1.1868231474279947,1.15664401809576,1.125564305657184,1.0938005229492866,1.061569182808987,1.029060626428304,0.9964637736516926,0.9640825050838024,0.9319909601907687,0.9002440113662464,0.8688965310039427,0.8380033914975578,0.8076194652406798,0.7777840568094522,0.7486578380015572,0.7203511340011136,0.6928476971155261,0.6661303637948167,0.640181970489029,0.6149853536481776,0.5905233497222966,0.5667787951614645,0.5437345264156177,0.5214845648075315,0.5000821038816134,0.47943158527020313,0.45958137476686417,0.4413452337702112,0.42570526486735505,0.4133814086015621,0.4047232001032414,0.399961686595673,0.3991697409365108,0.4025420330872779,0.4101603163801405,0.4221560283720097,0.4387296301844465,0.46009517911050524,0.48648227948644995,0.5182157034225651,0.5556538176089939,0.5992514516294072,0.6494864927307852,0.7068759440609754,0.7720596196420675,0.8457372823547139,0.9287912698603421,1.0221131965918504,1.1265946769821462,1.2432785540036666,1.373490463644056,1.5185991270325185,1.680202221227221,1.8599006245190195,2.059295215198911,2.280214963861645,2.525193413598934,2.796663486964567,3.0972735332637016,3.42967981990152,3.7965386142829636,4.200762093493503,4.646851396412639,5.138858548293078,5.6805974926257585,6.275900789201174,6.928600997809899,7.6431588200935066,8.426793816968551,9.284682942885059,10.221017198644367,11.239989175756767,12.34584752293085,13.545852880499723,14.84771975959392,16.253846105078637,17.7661852910319,19.38668870890301,21.12045330942168,22.97387852500982,24.943531432513197,27.024720800810485,29.212962705558496,31.50975173991546,33.911267776624555,36.40260909892362,38.968386400307025,41.597209209074784,44.28238043664969,47.00107246609481,49.72728183957012,52.438490266780256,55.12187167421876,57.75082809674787,60.294954964941454,62.72778690868077,65.03403760253468,67.18897966578947,69.16737878787974,70.94863046778056,72.52103516286937,73.86920049309317,74.98082410970589,75.84777040948721,76.46602557699568,76.83402411094917,76.95484688122855,76.83370272994435,76.47450035225037,75.88623707442366,75.08489029761664,74.08644577285293,72.90262879161111,71.5441038469992,70.03111009246254,68.38483059991556,66.62440413786504,64.75937748460292,62.80768454113722,60.787632094469124,58.71684483098997,56.60743115469043,54.47201939777227,52.3241401619161,50.17695016861425,48.0412087844905,45.92414975905135,43.83533869126117,0.0
B,0.24646803129950468,0.32248758904070335,0.40122689412489815,0.47797181179845727,0.5498687939788817,0.6153946094885271,0.6737073613170619,0.7246755865126139,0.7683187982250012,0.8049889459085513,0.83516313524386,0.8592282063708205,0.8777665838155776,0.8913132602203657,0.9002961307442989,0.905202725962366,0.906507680084601,0.9045990298276815,0.8998546966784783,0.8926139964042835,0.8831880004295125,0.871873564901593,0.8589122170311773,0.8445938575186552,0.8291007966219408,0.812601989671437,0.7952663919974862,0.7772459082222163,0.7586785473358492,0.7397753438518091,0.720615529500311,0.7012667189192273,0.6817965267464836,0.6622725676199921,0.6427624561775721,0.6233116070282853,0.6040303923014827,0.585021258680807,0.566295725154697,0.5478645410994414,0.5297384558913265,0.5119282189066223,0.494444579521625,0.4772982871126482,0.46050009105589756,0.44411224400763955,0.42817148218806733,0.41264263877797874,0.3975899515100021,0.3838272822221454,0.37233580870370814,0.36384456817287586,0.3587225874683867,0.35722522651922856,0.3594550853576422,0.3656335518990319,0.37587306154151373,0.39033458751023065,0.4092463029672632,0.43285074499564313,0.4614057595674408,0.49526211149846433,0.5348051417497454,0.5805157098315565,0.6328972351172324,0.6924920759962152,0.7599662042072727,0.8360467779149577,0.9216421857217237,1.0176700216391004,1.1250478796786287,1.244845819801157,1.3784208376822642,1.527170899879663,1.692722574128988,1.8767056408577867,2.0807498804937503,2.3067138491540886,2.5571688565199677,2.834580814240286,3.1416250529243768,3.4809847628515893,3.8553431343010134,4.267638788640783,4.722410878656768,5.223741613120973,5.775453832605529,6.381388300801751,7.045385781400984,7.771914396722384,8.56821819123736,9.439468870759793,10.389824738778827,11.423445451521893,12.544546604962546,13.760368776452584,15.078603777148947,16.5015818447171,18.031184061822984,19.669290653241923,21.42095845982053,23.29254547916907,25.280566122480625,27.38027992558001,29.587163909625936,31.902730505992945,34.32316878055091,36.83363730002111,39.418813622658384,42.06740516255451,44.77281977071003,47.51238006813934,50.26025825493272,52.9940948813345,55.70120092290428,58.35511060728571,60.92552502250989,63.38604781715083,65.72142391726474,67.90687950584724,69.91701496325739,71.73104173121948,73.33711830029327,74.71953561742151,75.86554179529861,76.7665992349836,77.41843449130118,77.81901677902,77.97089279618335,77.87882840268455,77.54649952865567,76.98253218850265,76.20254471664227,75.2221849327952,74.05310377382396,72.70577136809469,71.20036275019145,69.55805185142134,67.79798905484796,65.92977587331698,63.971424207102594,61.94145501349426,59.85771406798554,57.73246879679351,55.57850809017921,53.40965929142544,51.239387269350004,49.07869342082119,46.9349851953191,44.818121689303126,0.0
C,1.2112393012852132,1.3777950885775507,1.541042432791343,1.692567275122901,1.8276295141228123,1.944105392512291,2.041188559748242,2.119437299461935,2.1796576681748876,2.223247611736848,2.251799007090056,2.2666593338103316,2.269483933042886,2.261786547522054,2.244826120289275,2.2198887805991,2.188192804279132,2.150747206912596,2.108544885645418,2.062394349734987,2.0130165694132627,1.9610954474594433,1.9071973103363946,1.852011776847537,1.7958979579487369,1.7391770433345268,1.6821702226992845,1.6251584101840402,1.5684273312669146,1.5124393191281837,1.4572925043860108,1.4030548293054677,1.3497942361517363,1.2975786671899827,1.2464760646851776,1.19653386318189,1.1479943391268392,1.1010132131515347,1.0555506937019583,1.0115656100704324,0.9690167915493044,0.9278630674308741,0.8880632670074948,0.8495762195715424,0.8123607544152257,0.7765581470280518,0.7422456019791028,0.7092575587816449,0.6776448451658985,0.6484704489625448,0.6230134317464617,0.6021920509458436,0.5864249518942135,0.5759642922667026,0.5708442310445906,0.5712565779247669,0.5772340263025906,0.5888708222306765,0.6063475335427403,0.6298495065322935,0.6595794752243681,0.6958573705148063,0.7390350232550964,0.7895696844853846,0.8479458312615341,0.9146907431004065,0.9904658534023828,1.0759902988775858,1.1721780746093298,1.2799532230919661,1.4002397868198506,1.5341156266535783,1.6829566694020672,1.848175348601123,2.0314073947077844,2.23429172602408,2.4584672608522395,2.7057989017783424,2.9788841534686976,3.280197399601689,3.6123896506603557,3.978119303868671,4.380044756450282,4.821077748513218,5.305748254353889,5.838095751057621,6.42184407409266,7.060733175684522,7.758503008058712,8.519523840772063,9.35093503973028,10.257746583066464,11.243940164614182,12.313498823034895,13.470465116569716,14.721899012949077,16.07523172657099,17.532640393988352,19.095872839167487,20.766680784271664,22.549969414342236,24.451821420429194,26.4688379741891,28.596434998393207,30.830249969891263,33.17173934830942,35.61716547516045,38.15228301750124,40.762394763385785,43.43660553138179,46.168412819645766,48.93592123157761,51.71421615163913,54.481605018714234,57.2254604221368,59.91993187194568,62.53537700680167,65.04580495904685,67.43575908829419,69.68056207329292,71.75472894470883,73.63717825815782,75.31548283651466,76.773336020893,77.99712320811457,78.97738969113078,79.70902240678771,80.18894709838848,80.41849383851525,80.4013114695488,80.14028875239454,79.6431032244111,78.92438298316027,77.99882210951274,76.87762796644645,75.57069934408717,74.09782237875487,72.47987103215327,70.7357698718021,68.87514797466156,66.91600546133205,64.87713400851497,62.77667703698527,60.627185590057955,58.441730569916764,56.23470054187,54.02015453828752,51.80959641890603,49.610859659851165,47.434432981775146,0.0
D,5.004823908855538,5.812498504480437,6.609036588231336,7.352734055405438,8.019852625835325,8.599471986947556,9.087152500152587,9.485170772035953,9.797056113935287,10.029281912619888,10.18930667248751,10.28342542440203,10.319489506084336,10.304680371318293,10.2449472335789,10.146421163091075,10.0149222730616,9.855258494255883,9.672157063873676,9.469493603368477,9.250728705262578,9.019144941544797,8.777451321643992,8.52895290209715,8.275386581545815,8.018308272767351,7.759273888538511,7.499645804387542,7.240801360766595,6.984967349548601,6.732633200007169,6.484143914822656,6.239844496675807,6.000079948247367,5.7651952722170785,5.535432131635421,5.311962350784912,5.095552796236664,4.886028241369873,4.683206767519506,4.48690645602061,4.296945388208092,4.1131416454171,3.9353133089828103,3.7632784602396923,3.5977268503934807,3.4390380467309134,3.2864314117176465,3.140149642454292,3.0051247159474577,2.887288354549633,2.7908983038564776,2.717895703729571,2.66944874157335,2.645714140472747,2.647578684111604,2.6751906007058954,2.728982928702078,2.8097883275736413,2.9184606839319645,3.055934317063481,3.223686355876596,3.423340455549482,3.657009433496117,3.926932441650603,4.2355478620786435,4.585912083689612,4.981346671397857,5.426085092945793,5.924407775614923,6.480595146686907,7.099644685380497,7.7879133789137995,8.551941825349042,9.399335576766392,10.337715224203777,11.374701358699983,12.518976983775211,13.782557563366025,15.176927183940307,16.714504749124803,18.407745242060923,20.269103645888684,22.3122324055784,24.55817188100775,27.025759003253917,29.732702147489668,32.69679710956912,35.935839685346735,39.470586837080035,43.33435687277613,47.551065891015114,52.14037543325686,57.12195819080855,62.5157812461762,68.35565823386239,74.67709717755055,81.4925033711894,88.81245011243567,96.6475344745753,105.02269571892626,113.96827544371918,123.47209171155224,133.51666752839074,144.08545424957566,155.18797172030486,166.81021470523444,178.88993841028574,191.36278213714604,204.1809016309244,217.31639567184575,230.6694179999568,244.12551840289754,257.5843786765907,270.9868901372637,284.2110292029936,297.11519213624064,309.574358490702,321.5126375094918,332.8087006420757,343.3350122455397,352.9849098965632,361.69386314338624,369.37615877746094,375.9571182610049,381.3828612943277,385.6224975177905,388.65233010717725,390.4690969384127,391.08201114825357,390.4996243056152,388.7519701480114,385.90291299323474,382.01692039411085,377.14534411420635,371.3319587010067,364.6699068613194,357.258297848618,349.18721336428536,340.5030458877004,331.2926587437973,321.64852690400403,311.6601297498237,301.3895904306038,290.901603106223,280.26889608278657,269.56277730161446,258.8415938349915,248.1454052614691,237.52836876035232,0.0
E,0.4759165341213974,0.5568590844120623,0.6389898217677673,0.7176172598710292,0.7899713622394372,0.8546503947314676,0.9109464657428873,0.9588738504475096,0.9985907347826235,1.0305837803166384,1.055457505359374,1.0737120558741406,1.0860333708985255,1.0930503477709779,1.0952756499632694,1.0932668143481903,1.0875606465071708,1.0785998004929507,1.0668174835523911,1.052588730121485,1.0362544270488974,1.0181395403877072,0.9985116935247382,0.9776916958260629,0.9558707840419116,0.9332246837985287,0.9099291207220778,0.8861411666494786,0.8620084307106401,0.8377586177388148,0.8134668502437556,0.7891951116221957,0.7650053852709213,0.7409596545867074,0.717119902966233,0.6935277189292776,0.6703021317879733,0.6475444055937609,0.6252575575260291,0.6034438096083073,0.5821053838641477,0.5612445023170779,0.5408633869906476,0.5209642599084305,0.5015493430938851,0.4826860000478821,0.46441273295312857,0.44667869869659244,0.4295441539276153,0.41384117806296766,0.4005728105042227,0.3904796842201509,0.38392994871144953,0.38117293526461316,0.3822990940172166,0.3875207890251929,0.3969365775743003,0.4106944532655595,0.42901092335168467,0.4521153574391967,0.4802524759457718,0.5137614880091078,0.5530149225865398,0.5984808682678188,0.6506502781518279,0.7100531409782168,0.7773413632848124,0.8532259249266521,0.9386002244310372,1.034366931376247,1.141428715340587,1.2608394395787725,1.3939304023348198,1.5420763978281242,1.7068844600066444,1.8899648502117996,2.0929278297851694,2.317612378896758,2.5665425970307427,2.842147287331709,3.147089477090404,3.4840403765321333,3.8556711958819405,4.26491060684658,4.7162295182664415,5.213664523860343,5.761086401814908,6.362386985337549,7.021458107635759,7.742819887159195,8.533637967718382,9.399169449847442,10.34382298787407,11.372009999880616,12.488202543497481,13.699800394010264,15.014627128958981,16.435614355823525,17.965300456181655,19.606224662642912,21.363955024500655,23.245306570231044,25.24786624197384,27.368050229588565,29.60245539931252,31.95330302935982,34.41775730753064,36.98229651122626,39.632919222626526,42.35922149538662,45.15527956593768,47.99920728866054,50.865833614712244,53.733147387760766,56.58839151721881,59.404817538586215,62.15131095064302,64.80050290826509,67.3360921882373,69.73165682406552,71.95946163624507,73.99646463698687,75.8290413304104,77.43887846137937,78.8102031697626,79.9318428224336,80.79763627173305,81.40304972855905,81.74811036440443,81.8355165214417,81.66764499562598,81.25160437232854,80.60189451666197,79.73312255542498,78.65671564831814,77.38252974959089,75.93100253375367,74.32380740169923,72.58060341741046,70.71138284259825,68.73494514946894,66.6710901495352,64.53894683520925,62.35172149663859,60.123184296005185,57.868620633776665,55.60298065406997,53.33848018649023,51.08343372931128,48.849044013684754,0.0
F,0.8237161995070894,1.0007638682855506,1.178862432633423,1.348154563926697,1.5028650096101748,1.6401374982066408,1.7586028771232867,1.8584369193154973,1.9401231099752376,2.0048431277765433,2.0540261166910896,2.0888644102871328,2.1109383853791455,2.1216961568352812,2.1223227178967616,2.1140828923417136,2.098188670244547,2.075636682865297,2.047403069910843,2.0143153397573985,1.977119638602787,1.9365251157694174,1.8931125387121515,1.8475875317167616,1.8003470047220402,1.751751319916944,1.7021608394902668,1.6518942811700668,1.6012594557484807,1.5507456272945357,1.5004882346620947,1.4505926765418815,1.4011643516247154,1.3523086586013804,1.3041309961625045,1.2567031120590986,1.210281269586554,1.1650594893684394,1.1210229457770993,1.0781552207854925,1.036439896366553,0.9958605544932004,0.9564007771384122,0.9180441462751693,0.8807742438762832,0.8447398149339063,0.810024821167514,0.7764905545327774,0.7442192489916823,0.7145074709035355,0.6889149669561865,0.6685767117021901,0.6540334192182461,0.6456309960649336,0.6434582487386191,0.6477938018365321,0.6587297534221366,0.6764332787979659,0.7011764632373954,0.7332422983913979,0.7729357537820543,0.8207051765243398,0.8770427593040412,0.9425758062429883,1.017965426988308,1.1039278964395856,1.2013525883807579,1.3112074710666812,1.4347142060687843,1.5731074571346377,1.7276218880118481,1.899697521802914,2.0911636194899716,2.3039021857162347,2.5401003644752422,2.801949607772121,3.091641367612205,3.4116726826055,3.7654992083981087,4.156426886675618,4.588032094295829,5.063901599227617,5.58762216943948,6.163123747506575,6.796470864574414,7.4931007036960136,8.258110583251732,9.09662229374031,10.013757625660617,11.015485406679172,12.111433172120027,13.308487931799272,14.61225317896283,16.028335003304893,17.562420153324926,19.224208379277183,21.02393217147901,22.96494968616332,25.05006065209164,27.282068215843157,29.667953741335836,32.216327856720135,34.9231641298586,37.782846089979586,40.79003246327348,43.94711612787202,47.24956731149223,50.67858692548306,54.21475064441551,57.843645176023436,61.55683126127144,65.32479355473215,69.11379551508854,72.89441267528964,76.64955360321142,80.34386810885017,83.93657498911432,87.39187352226135,90.68847002035325,93.79214170061715,96.66730672558415,99.28448550188573,101.62628921565937,103.66966378634841,105.39511596532549,106.78900248487984,107.84388960208204,108.55488642985897,108.92313761978279,108.95309930897157,108.64841766834182,108.01918089471144,107.08509445197278,105.86597266150056,104.377059539255,102.63170447713172,100.65695677255538,98.48140688631872,96.13097646144719,93.61883645213682,90.96968678407772,88.20938797902198,85.36291243229606,82.44751654987982,79.48118312500583,76.48375741496099,73.47463484662075,70.46967697959089,67.47967918237833,64.51912578450916,0.0
G,0.2066137960428504,0.25688900269201276,0.30815615765265847,0.35750685094368034,0.4032115347108325,0.44438178916478804,0.4805573547477393,0.5117237014140751,0.5379568907911432,0.5595372408457675,0.5768193050168415,0.5900948859703581,0.5997723877353958,0.6062261320788207,0.6097594372602394,0.6107054602014147,0.6093855412204551,0.6060634909363012,0.6009973422303982,0.5944116223238551,0.586510400139081,0.5774881175723975,0.5675042487355013,0.5567508792181506,0.5453426477158974,0.5333848623483621,0.5209828312351205,0.5082307449221058,0.4952173904951556,0.4820795029391088,0.4688626892662367,0.45560471311550726,0.4423433381259072,0.42911632793642446,0.41596144618599024,0.4029048225948787,0.39001909324891887,0.3773652981365493,0.36494646424808885,0.35276515326303043,0.34082392686086993,0.3291253467210938,0.3176719745232018,0.30646637194670545,0.29551110067104974,0.28484808979892856,0.2745017936768723,0.26444277633858493,0.2547099545966481,0.24582410683497288,0.2384145182904158,0.23295064161292045,0.22967226090844092,0.22874799664600046,0.23024999628962894,0.23432799128032458,0.2410639562675728,0.2505724021822607,0.26301272406411674,0.2785573549446011,0.2973895874015142,0.31975538056932457,0.3459259999613168,0.3762416920213046,0.411058421142734,0.4507604559625272,0.4958182097284222,0.5467471086356963,0.6041987856145161,0.668831711479269,0.7413043570443624,0.8223902813349949,0.9130590525240432,1.0143224914224984,1.1273824411232256,1.2534432971179132,1.3937094548983417,1.5495673673434724,1.7228897338833038,1.9155038632452799,2.1294815273525796,2.3669017516906283,2.6298435617446847,2.9205967680222122,3.2425784921110092,3.598922575248746,3.9928238582596265,4.427500428922947,4.906170375018031,5.432561407954024,6.012325810833451,6.6499061011210605,7.349361264402389,8.114755043976231,8.950208172013546,9.862079647654232,10.857095618260374,11.938796832844858,13.110495800235562,14.375508145707025,15.739428890842362,17.208888847481585,18.783912668289965,20.463690598523797,22.247506405271036,24.138747772749834,26.137094761776417,28.23384384042582,30.419891399004563,32.68850799031062,35.03649825922983,37.447395562827836,39.90173906829104,42.38226527142081,44.87897964510887,47.36962662862736,49.82734907935152,52.22822676648383,54.55769364791258,56.79148165006279,58.90301053719587,60.86983303160609,62.67831960037008,64.30931866052016,65.74506996536073,66.97235769317695,67.98346430369958,68.7708102717391,69.33057600912568,69.66192573190473,69.76504341458191,69.64352971089566,69.3077455237083,68.76826092314262,68.03427210465867,67.11300962226008,66.0217458074549,64.77913616245215,63.40215813479408,61.89952079515845,60.28782585567794,58.58514998550897,56.80900904148775,54.971479327353464,53.085185408537995,51.164588485918046,49.223894115082466,47.2746776576841,45.32485459006492,43.38528757258193,0.0
H,0.2131159480528481,0.27129431901595813,0.33089218981927465,0.38852274851833,0.4421541559151005,0.4907225753304304,0.5336587514691203,0.570908812524457,0.6025265469780728,0.6288049516715282,0.6501258731283055,0.6668028225823862,0.6792883773717866,0.6879986769046098,0.693270152745479,0.6954788280992292,0.6949896238158862,0.6921027698107167,0.6871109616422206,0.6802741629560913,0.671830459802353,0.6620071082069416,0.6509899882379666,0.6390012787275949,0.6261793379843711,0.6126522431379079,0.5985480713177613,0.583981769225749,0.5690580332150973,0.5539377056870793,0.5386793909250807,0.5233327106875866,0.5079472867331067,0.4925727408201545,0.47725869470716975,0.46203774629117306,0.4469930928743611,0.43220157220197813,0.41766972506152983,0.40340349850848845,0.3894088395983316,0.3756916953865202,0.36225801292853665,0.3491137392798723,0.3362648214959473,0.32375790954281897,0.31162006378428475,0.2998217199183119,0.2884058047079797,0.2779326455530454,0.2690764902870327,0.2623341805295151,0.2579516887564882,0.25609418512609916,0.25681928318665154,0.2602657884390359,0.2664949881286131,0.2756007108554287,0.28772209110718555,0.3030051844352611,0.32160589800120476,0.34374243767239143,0.36965417733735956,0.3996417261963802,0.4340205758855993,0.47313130332647435,0.5173937221867513,0.567265412617413,0.6233200652208946,0.6861372923056711,0.7562967061802295,0.8344742295198594,0.9215269357743201,1.0183375546836662,1.1259331764334475,1.24534292059045,1.3775959067215675,1.5238657999884562,1.6857742770460489,1.8648762863410657,2.062860685657187,2.281421321694264,2.5222520411519884,2.7872091707120688,3.0791532793660554,3.4006567050891445,3.7541436973629456,4.142050452085658,4.566813165155501,5.03126811415508,5.539984070858326,6.0962496405874225,6.702751278869522,7.362176682786605,8.077251037243656,8.852603688686138,9.693139914662224,10.600490223870946,11.576016662567332,12.621081790235523,13.739038076297934,14.934050258895134,16.2042078280836,17.546829733283793,18.95936371001534,20.442988482544855,21.99557607876668,23.60808225590309,25.271157433784555,26.977887554219233,28.724300271505435,30.496198669981357,32.2773310165892,34.05356185054605,35.816812801674786,37.550135773660145,39.233955065093966,40.85114405314029,42.391695610506865,43.83931653622975,45.17708917480914,46.39108178742643,47.47325521359888,48.41282312450228,49.20076368623026,49.830882493778155,50.29995205693219,50.60597977197513,50.749905290647945,50.73422828940706,50.56097471036237,50.23526592062334,49.76682654806388,49.165421796162555,48.43847702169837,47.592543155803305,46.64063742667302,45.59648358272152,44.4725054650483,43.27495242608384,42.01558401914838,40.70660934830955,39.359803730581866,37.983265095055984,36.58544023398708,35.17555694404103,33.76261548772913,32.353965744441936,30.95457075945436,29.57107479013056,0.0
I,0.4668282226636937,0.5687834787843294,0.6717078104764272,0.7698851328769117,0.8599489730110311,0.9402119264998707,1.009842117224633,1.0688972210984409,1.1176139434985735,1.1566336074073837,1.1867426398097711,1.2085957506223608,1.2230752305873938,1.2309906085205662,1.2330034182560452,1.2298268423498417,1.222146561708737,1.2105273109552797,1.1955213116550638,1.1776026713194896,1.1572010093552358,1.134725213868463,1.1105100424054009,1.084959691176425,1.0583088280593573,1.0307718690142953,1.0025632300012322,0.9738732898228872,0.9448815984392253,0.9158717330349468,0.8869292490986338,0.8581226885178429,0.8295205931801902,0.8011915049732777,0.7732039657846066,0.7456030656695929,0.7185350363498177,0.6921190014368842,0.6663513014839333,0.6412273035728233,0.6167423747854159,0.5928918822035547,0.5696711929091021,0.5470756739839552,0.5251006925098773,0.503829154507942,0.48330795693912787,0.46346485397771314,0.4443516436925309,0.4267480836148832,0.41159131131188487,0.3995628984358996,0.39098743399885105,0.3860720092290586,0.3848689369530918,0.38754399431130243,0.3941503911558396,0.4047859828475248,0.41961121562981474,0.4387920900755473,0.46250752269852513,0.4910218954353484,0.5246254237839993,0.563687844479196,0.6085989212868257,0.6597810030534592,0.7177593178993513,0.783105683882375,0.856541176323476,0.9387945293233051,1.0305944769825142,1.1327911987821193,1.2464669277585645,1.3727343932170009,1.51288534798532,1.6682140817969564,1.8400148843854787,2.029763255451436,2.2395064776055653,2.4712017563095188,2.7269636070983747,3.008912667526606,3.319169575148459,3.660059635917416,4.035182007798623,4.447761180338762,4.900817737104219,5.3973868203434785,5.940503572305078,6.533710879866616,7.18273751846508,7.891680413265168,8.663877019880243,9.502666432394902,10.41143701972623,11.395984991641015,12.462427801443216,13.612801980354615,14.848814842870329,16.17217669325491,17.5871120735046,19.098828260350093,20.705014781782353,22.402418632077882,24.187953309935132,26.06317301937364,28.025508080298742,30.06387165327069,32.16680416183218,34.32583731749341,36.53609464927516,38.78006081327147,41.03768037751131,43.291467125511836,45.531329795826984,47.73618113940371,49.881621202064096,51.94623078343478,53.91731591213297,55.7743362219804,57.49585803610837,59.0641244564791,60.46869664687516,61.69561816212932,62.73301764513805,63.572575961810244,64.20977714234459,64.64153142630312,64.86835843575628,64.89280502386003,64.71700647456298,64.34690439301671,63.79422661380045,63.070771904967756,62.185663673561955,61.14684977551366,59.97052758020098,58.67383325091714,57.2723022031132,55.7738148756017,54.19317865066257,52.545913847734994,50.847007558837284,49.10680146147377,47.33607725455899,45.54674332087976,43.75043770888785,41.95667081087046,40.17190460809398,38.404824350348015,0.0
J,0.23065953719290372,0.27721224382317433,0.32457528614230546,0.3702528613154475,0.412760705780759,0.45133173380493397,0.4855607992545836,0.5154202742051788,0.5409579860357793,0.5623948348710736,0.5800147291962837,0.5940507837891008,0.6048359146741052,0.6126760390821216,0.6178201659577752,0.6205451951358731,0.62111952094302,0.6197659703948595,0.616702447975792,0.6121229385489211,0.606205791853157,0.599121787176896,0.5910130921185853,0.5820468068973043,0.5723305129196478,0.5619645544521237,0.5510492757611862,0.5396756543964547,0.5279270732007351,0.5159263596606356,0.503723362830083,0.4913615299099265,0.4788843081010485,0.46633514460432374,0.45375748662056614,0.4411810962826502,0.42867140061257575,0.41629119989762997,0.4040507222447567,0.3919597424444357,0.38002803528714807,0.36826537556336464,0.3566815380635714,0.34528629757827106,0.3340894288978851,0.32312752180208987,0.31242245016212067,0.3019581007588156,0.2917871149711913,0.2825629283259064,0.27507678628520854,0.2699260081319503,0.2674253372874752,0.26780457832502647,0.27117667725882705,0.27775275521737036,0.2876633613765602,0.30108135679708636,0.31823772500206515,0.33938526567190747,0.3647916858539779,0.3948066684168365,0.4298167257956147,0.4703044870549436,0.5167736933457769,0.5697677005461581,0.6299489539978017,0.6980456494352654,0.7749800657317195,0.8616841466343012,0.9590898358901631,1.068296201834777,1.1906744722220535,1.3276650145113007,1.4809951450458412,1.6523959659279353,1.8435985792599798,2.056606717672963,2.2941010362807965,2.5587206757957786,2.853521183570175,3.181569610886056,3.545933009025266,3.9500017446181603,4.398768596469958,4.896856881508806,5.449166000937306,6.060636603691012,6.73620933870557,7.481609595878782,8.305284797260255,9.21417271906145,10.214945320109662,11.314284581440853,12.518972341637753,13.83911120550989,15.285377542889863,16.864485150368125,18.58291110968413,20.447146636245602,22.467080168448984,24.654206501845092,27.011101620030722,29.539246778403925,32.24024394326487,35.12160849519932,38.18570318598001,41.42275471686182,44.82239822190621,48.377355523999064,52.08563214660818,55.92488973738452,59.867956446401315,63.89049045020807,67.97880627440468,72.09941997826394,76.21045705585854,80.27419161658081,84.26733064305634,88.14958577914125,91.87503028942199,95.40425233620229,98.712782838902,101.76469836376197,104.52458136546599,106.9650762115218,109.06966246339489,110.81933697223387,112.20035575887634,113.20497648720631,113.8298711288951,114.075441251467,113.95314775048634,113.47504704408871,112.65432494196752,111.49964808397878,110.03721769594036,108.29610722475151,106.30298025584351,104.07198811263362,101.63004808849283,99.00794871056911,96.2356683353647,93.33392142857079,90.32435589766487,87.23292777772039,84.08530140922173,80.90230600888,77.69827597552298,74.49340246672621,0.0
