Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,26.123168804816974,31.51714264091003,37.1258520005324,42.55710133734998,47.57728834917836,52.05933054161568,55.944350940715175,59.22089760164842,61.9031603876798,64.02498310857513,65.62842273821192,66.75867841550365,67.4653586946171,67.79481228244046,67.79053830729131,67.49570238740034,66.94934617575676,66.18586207993384,65.23700780043313,64.13226841439685,62.89771656201199,61.556246205078516,60.127820483570495,58.630929695360436,57.08147187866427,55.493517320272936,53.87947638133334,52.25009949734869,50.61471764646114,48.98179843577492,47.357804348166866,45.748429571309174,44.158733687641195,42.59314167436941,41.05544390346736,39.54879614167594,38.07595436258938,36.6388174136619,35.23836524171951,33.87542588039761,32.55068243202823,31.26467306764004,30.01779102695836,28.810284618405127,27.64225721909884,26.513667274854825,25.424051119590658,24.372644200924523,23.358799717360142,22.396385488014175,21.541398530303205,20.837727299191922,20.308598808905202,19.967282698330557,19.821397107958212,19.878111778781346,20.142040276374686,20.619655634770837,21.318982179150353,22.248836308349247,23.42075394380314,24.8492146204933,26.550700070372415,28.54415674796833,30.85198007325277,33.50000432968987,36.51763469592946,39.93759861653162,43.79631046509185,48.13533114174293,53.001426544694965,58.446567570235445,64.52871953777192,71.31027315975136,78.85921307349908,87.25255766993723,96.57639292459349,106.92587239760174,118.40644180685429,131.1269984193041,145.20215557964173,160.76245357016307,177.95452296219744,196.94108461610645,217.9006199761091,241.00652374789715,266.4326815561337,294.3778111463705,325.06620235678577,358.7477171181846,395.686895177802,436.10414741327855,480.2219194566215,528.2939739907586,580.6054691102559,637.469658752527,699.133018946905,765.7640973760582,837.550929090629,914.7052543531072,997.4593006064355,1085.9250052956543,1180.049765748231,1279.7762321372722,1385.0502013280652,1495.7994137330606,1611.6921204035143,1732.2318028112886,1856.9158476454313,1985.2360701326404,2116.5319145022972,2249.827437950411,2384.1379300601966,2518.5110962849435,2651.9466047492874,2783.1567273655496,2910.8751048020754,3033.9490578644563,3151.275583383871,3261.5965589639895,3363.764861190629,3456.8228827983517,3539.939189119921,3612.2801660494874,3673.199460472191,3722.2584733198955,3759.1719857936396,3783.764707579271,3796.042407180099,3796.1648064856263,3784.415230209329,3761.2312873146875,3727.180940144896,3682.877399090743,3628.977081277533,3566.2323674208474,3495.537618773672,3417.752941584752,3333.6820826918406,3244.1002527503997,3149.899865783803,3051.938939591133,2950.9919669265983,2847.7567759931853,2742.9374372103357,2637.2296442207194,2531.242536698561,2425.496881020322,2320.4673889959695,2216.626393298627,2114.3665713784744
B,10.399999999999993,13.938930946543781,17.763682705809728,21.58520892478169,25.226020013388496,28.583448896850598,31.602847481083188,34.26322396598291,36.562166096297915,38.51180444123028,40.130945271629386,41.441609593958795,42.46987660859151,43.24060477810935,43.77768297360632,44.10565117246922,44.247042657349894,44.22199852598842,44.049527540547906,43.74771616834618,43.33282656432433,42.81940733043032,42.22043360212664,41.54819227016687,40.81361578503323,40.026577001098964,39.19597598951712,38.32974003822059,37.43495347596111,36.518221458457745,35.58505448799345,34.6404422309837,33.68892090026007,32.73457325507012,31.78102860107742,30.83146279036171,29.888755336254903,28.955331682221484,28.033046051587892,27.123577101603253,26.22843188151714,25.348945832579574,24.486282788041066,23.641434973152556,22.815223005165382,22.008295893331475,21.221119514157046,20.454011090153866,19.70719676645875,18.99483470973132,18.371621518309908,17.880842813421843,17.546097161243402,17.381563072507582,17.39608166852417,17.59811721387782,17.99371844302419,18.590733841329957,19.398509886411823,20.427183121110758,21.68951482224527,23.201103841008276,24.979517507725685,27.044737756708873,29.420121348114392,32.13239651334928,35.21180396895201,38.69187661218067,42.60977239691644,47.007745827554004,51.93320790795099,57.43872614142785,63.58281321896615,70.42834931149933,78.04373540756745,86.50632941855608,95.90247999472834,106.32752652522602,117.88700091757231,130.68974940154908,144.85020158041297,160.49853340195912,177.78082935961933,196.85908249246057,217.91082265216536,241.10822325729492,266.6237627571802,294.6543740045918,325.4221733764885,359.1744607740177,396.1728075300122,436.63460122418445,480.77905138685117,528.8561210805274,581.1466016960545,637.9588419012531,699.5348559324742,766.0395230663776,837.6569748275953,914.5947489056261,997.080623432732,1085.2239871615097,1178.9723705535039,1278.2692176333128,1383.0617181901212,1493.2799585268951,1608.599436238379,1728.5343154442098,1852.5936828886797,1980.282071930076,2110.954744814394,2243.6569119164055,2377.425108494474,2511.327580339944,2644.3847780721035,2775.3323046166447,2902.9247491393567,3026.02661948688,3143.549057995642,3254.24582345119,3356.976524893285,3450.785304680897,3534.8379872734354,3608.2925547192435,3670.4894929882676,3720.9742694314896,3759.4427181479623,3785.694827835458,3799.710421457784,3801.624480151136,3791.696012389034,3770.3344911423383,3738.0811918586196,3695.526964128269,3643.309922207219,3582.1633929787126,3512.964201784479,3436.559120325511,3353.742448698903,3265.2830941564957,3172.0678758005224,3074.9526373012623,2974.7117410820697,2872.044698361597,2767.65906590744,2662.256319972278,2556.451928924545,2450.773289111775,2345.7026320493924,2241.7211344424904,2139.230081505056
C,58.10817544412792,66.51115553751903,75.04302136697545,83.14995145463433,90.50955995259916,96.95433471684005,102.41533191165631,106.89168189115807,110.41863671660619,113.05885632801416,114.88570001447731,115.97586088496855,116.41133311405817,116.26826607224507,115.61764206143535,114.52904098415776,113.06521275417771,111.2813710971634,109.2282134844978,106.9524553459117,104.49532462884672,101.89295387118194,99.17676009498543,96.37561672284646,93.5141732195521,90.61416849769752,87.6946964297704,84.77220584815142,81.8608742103296,78.97341661576051,76.11932697798434,73.30689373988359,70.5434121822871,67.83518442396989,65.18751942165306,62.60473297000431,60.09051262971793,57.64714588400507,55.27546273666566,52.976079448741885,50.749409697085994,48.59566457436015,46.514852589036664,44.50677966539776,42.571049143535575,40.70706177935259,38.91352522570997,37.18866419673234,35.53094922684891,33.95874768044724,32.54802381275868,31.357513724326495,30.417107785802067,29.742537924485912,29.34138368909114,29.220272583324178,29.381996667887144,29.831596854098485,30.575930687044735,31.622553846572114,32.982345398368594,34.669805231765764,36.70163722479301,39.09732791324449,41.88035857148108,45.07816032702895,48.722217803657855,52.847573909799834,57.493290541157435,62.70404218219801,68.53017553045512,75.02770949652863,82.25909075853303,90.29111300861356,99.19633953167057,109.056880051315,119.96442665710411,132.0202538045421,145.33633031818638,160.02717207744206,176.21271995908137,194.0294216457847,213.63040339471272,235.18547003750513,258.8804054479259,284.89339993802446,313.4022068130635,344.6099096477956,378.745664246012,416.0646986405435,456.8361444162757,501.28052164217075,549.6199360670107,602.108101992784,659.0304045348693,720.7003993593163,787.3611437906725,859.1756326351141,936.3269860325123,1019.022530837013,1107.490499158015,1201.8371394537692,1302.0039017541585,1407.9289761257373,1519.5549783220972,1636.8075194354565,1759.3535919106032,1886.6978898726272,2018.339686939576,2153.7731476881027,2292.3402966107246,2433.069799592055,2574.9792653509357,2717.1148233070103,2858.470923345143,2997.7519258181046,3133.6767591687876,3265.069454980177,3390.7959111328046,3509.5589460894466,3620.1631455410793,3721.5950962749325,3812.9607395076337,3893.354753636075,3962.0547805087895,4018.5465470065674,4062.468914691327,4093.5663022482017,4111.7693309007,4117.1720574076335,4109.999885031594,4090.634995373122,4059.60066317429,4017.4789304886262,3964.907991049823,3902.628536525574,3831.5361891862335,3752.502284675725,3666.350191412219,3573.882855060738,3476.030473058332,3373.696917997961,3267.7046010698987,3158.8011087318223,3047.7462415448017,2935.2978569296415,2822.124608545138,2708.803330146656,2595.865091484988,2483.842119246205,2373.18211210179
D,244.95052770693096,287.2579085332444,330.5351348962199,371.926378156211,409.7548479678201,443.1341440786502,471.68224027530135,495.3663885027683,514.3405862006829,528.9010384540692,539.4009761597969,546.2130042209207,549.7388608087558,550.3524890459302,548.4033256827695,544.2352964542093,538.15894771755,530.447731774767,521.3532465113301,511.1079211892044,499.9170771379738,487.96083948968726,475.39604062602655,462.36717628511127,448.9979143054842,435.39748336904535,421.6619925465362,407.8744312975417,394.1065318590241,380.422837522344,366.87190651048354,353.4962818802058,340.3335461959825,327.41632152999296,314.7722694621239,302.4240910799721,290.3913457032941,278.68658684911895,267.31506972514075,256.28095661638133,245.587372551834,235.236405304463,225.22910539120383,215.56548607296276,206.24452335461672,197.26415598501515,188.61875349756042,180.30021869029227,172.3017205776328,164.71333388375143,157.90575915214052,152.16573818627816,147.6394407479575,144.4040337280968,142.4969465689585,141.95095714147945,142.78014534425316,145.00954353550193,148.67303345429514,153.80791037834854,160.467678004343,168.72349707600023,178.65730009019012,190.36465018533062,203.9606328933796,219.57963430623911,237.37583388714248,257.5209217108778,280.2064540721378,305.65145925951094,334.10272071573286,365.83477703768733,401.1536402365027,440.387398110773,483.8929574461846,532.0740114801894,585.3812119810453,644.3121692478203,709.4170305365703,781.2611339046608,860.4383728409277,947.6237110307737,1043.5740032945785,1149.127995587691,1265.2035741843129,1392.6889507852802,1532.4754179046333,1685.5794957604546,1853.1465095238648,2036.450589319024,2236.838620333398,2455.4376095249854,2693.389767839676,2951.9956577545254,3232.714523111743,3537.1479260213478,3866.574837514393,4221.903776012982,4604.148093119132,5014.445852222262,5454.044083832694,5923.616162031561,6423.052971458743,6952.231960187137,7511.053854492691,8099.3386694393885,8715.653336572796,9357.768161669614,10023.409130805741,10710.259057807341,11415.235137060743,12133.686190276629,12860.862863563898,13592.11043835466,14322.472135726994,15045.491563762924,15754.71845448653,16444.165869904064,17107.995421319403,17739.470873390794,18332.30023165131,18881.063626282426,19380.89600586275,19826.798354317423,20214.666398230296,20541.450973597293,20804.86971177541,21003.128413671955,21135.39993156334,21201.73636094988,21202.892545499166,21140.407952716014,21016.588003716824,20834.10954747734,20596.004058480667,20305.840832827213,19968.024315547533,19586.893008288534,19166.59256254689,18711.20977076604,18225.50830771554,17714.161809522477,17181.45105809212,16631.295580197395,16067.703167195004,15494.701071061196,14915.862747866675,14334.291325774551,13752.864322756343,13174.48035675999,12601.597533563365
E,22.43130152721392,26.396027273813903,30.580824955401408,34.68400682664523,38.5239474873627,41.99926358047434,45.05976240807173,47.690889228573226,49.89740883371462,51.699066936354754,53.12211048338847,54.19557691752651,54.95226499109673,55.42307364611199,55.63731507069151,55.624513676478955,55.411600380626055,55.022530099396775,54.47968643108675,53.804111611756355,53.01462336045512,52.12796336239684,51.15895900605718,50.121503324430584,49.027806092718635,47.888826304884184,46.714377837747044,45.51312945098406,44.29275703957783,43.06032804749452,41.82158449465824,40.58168249716211,39.34527461394685,38.11650984680064,36.89903364035915,35.69598788210573,34.51018379126577,33.34386463804122,32.19861358922836,31.07584147259824,29.976791446823583,28.902539001478715,27.853991957039675,26.831890464884093,25.836807007291227,24.8691463974421,23.92906651890186,23.016537267218162,22.13149040129669,21.28874663871485,20.546397113256234,19.950212908704508,19.524831897460484,19.28473003055823,19.238607773530198,19.394705840110664,19.75863134932805,20.33786998664459,21.141463286908937,22.179238664483915,23.46376896253518,25.010598209487576,26.837289978333995,28.96390319010866,31.41398847576102,34.21457748164363,37.39631504830688,40.99322513231975,45.04308970467187,49.58890257339995,54.6789275614271,60.36669850656299,66.7118097083528,73.77843454301016,81.63647968835835,90.3649688481259,100.05207615063519,110.79512614880332,122.70181573142645,135.8837113955476,150.45846435565636,166.55974490506912,184.33740192399927,203.95746287955515,225.60186938424812,249.4486734565605,275.67742901559666,304.49272045222165,336.12488278654837,370.8300016679381,408.8796240414469,450.50471777817506,495.9399195907886,545.451822794257,599.3390566324856,657.9291555939735,721.4879527129453,790.2086151266914,864.3053227552759,944.0174078667012,1029.606251735175,1121.2193162526391,1218.846597002731,1322.4744208018756,1432.0930636215103,1547.675888990376,1668.9419956284341,1795.4466619223754,1926.7349198655022,2062.341960309331,2201.6463178812855,2343.7039761619853,2487.550311199457,2632.240675291069,2776.769208839772,2919.821679148782,3060.0863589776336,3196.3499132284824,3327.4322281744207,3451.9693920814684,3568.6918319031056,3676.5132427559383,3774.464291524079,3861.5492720980483,3936.9585899165263,4000.100895576172,4050.542811265803,4087.951052554419,4112.189599981709,4123.3001231446415,4121.465515842383,4107.026933552009,4080.478297593838,4042.384027726867,3993.3757344701967,3934.1909946356795,3865.7322750181747,3788.8835722081235,3704.4848672624626,3613.3596593854895,3516.464634616931,3414.733633143805,3309.018328884751,3200.0948173373754,3088.7538828042016,2975.786578127324,2861.8918645196045,2747.673655163228,2633.6891367261833,2520.497811263228,2408.5711910680307
F,39.197590465080346,48.27864756895435,57.765481448681115,66.99616210777467,75.57405837099057,83.2807324886441,90.01193741044315,95.74297226748837,100.49235652933756,104.31188386767745,107.26755906142425,109.43115661010279,110.8823057437194,111.69570720637095,111.9417954034968,111.69086571795063,111.00673047247356,109.94582966963125,108.56051763228415,106.89964194922631,105.00658519490075,102.9196282551887,100.67234713822776,98.29597563716045,95.81759695594323,93.26130324847252,90.64846053773388,87.99770871580205,85.32534485058706,82.64623896848057,79.97201861365194,77.31300008085671,74.67839940569382,72.07633236460562,69.51381447487769,66.9967609946394,64.5303881938948,62.11852079077362,59.7634403475456,57.46712519988703,55.23126195904539,53.057245511839284,50.94617902065855,48.8988739234641,46.91584993378793,44.99733504073347,43.14288580487609,41.351576902132905,39.62259443623132,37.97918568756012,36.51440667051123,35.30081241152986,34.37631520951915,33.761948361898455,33.46906430730395,33.50800170254301,33.884583807881135,34.607455075363404,35.68755765834631,37.13682047094501,38.97133133401741,41.211698508358495,43.88140514935601,47.007534885897414,50.62229321972715,54.76296759739944,59.472086739757444,64.79690389935904,70.78997157115369,77.51123200091052,85.0280977820467,93.41545185562786,102.75669683115218,113.14127206332627,124.66643186452458,137.44215785643715,151.59120641149397,167.2491086528664,184.56574758090355,203.69522231141946,224.79937872140866,248.0622259651902,273.69016313978926,301.911979284935,332.97815409698717,367.13095474558327,404.613148959485,445.7017842426473,490.7091853803318,539.9829544391063,593.8904993832383,652.7376753185873,716.8336655813229,786.5308632314512,862.2249659417103,944.3504263177274,1033.2507904690037,1129.1648340400025,1232.359235213169,1343.134173334537,1461.818948956985,1588.5814208519307,1723.369255026485,1866.1254553199292,2016.7988004137305,2175.3149894543776,2341.25006746679,2513.958215231669,2692.78351366847,2877.060424337635,3065.9136946477156,3258.0361607768696,3452.100252428333,3646.812473328306,3840.8036325268235,4032.299292456462,4219.538213171211,4400.898668325401,4574.8112419043855,4739.473077235592,4893.216006890014,5034.6206126054285,5162.42887543648,5275.359400941651,5372.381923454965,5452.755244299223,5515.9494805635695,5561.575836372774,5589.505190352615,5599.838648914995,5592.86149643067,5569.073562548604,5529.17304695718,5473.944191975666,5404.253364885085,5321.10841713256,5225.733422227218,5119.322174198444,5003.004952283156,4877.886085605163,4745.246292398499,4606.332000022395,4462.278163888782,4314.11730033922,4162.899710245445,4009.673983942798,3855.3656781578393,3700.7736021252385,3546.633655842608,3393.6837794879775,3242.5450242483594
G,9.099999999999996,11.506622954293631,14.061650456609955,16.582213896887996,18.95748834034013,21.124877818679124,23.052628109434707,24.73050525723356,26.160014049626426,27.351783497482526,28.3204720772781,29.082531857810846,29.656777420887774,30.060978281686076,30.31203826189119,30.427068799601308,30.42169266585978,30.30980789808807,30.104427005116772,29.817814654195935,29.460944097827433,29.043582664921612,28.574388011411223,28.061494440247607,27.512063014716894,26.932529761780764,26.328668052324137,25.705588601155256,25.06782936879611,24.419582852919817,23.76426953303305,23.104971634308097,22.444481646966825,21.785302326280704,21.129646692570745,20.479438031207653,19.83640856819414,19.20195521064871,18.577090501058283,17.962727574726014,17.359682865805777,16.7686761073022,16.190330331070673,15.625171867817297,15.073630347098897,14.536038697323125,14.012574585951606,13.50329907025757,13.008258761880295,12.536775328710767,12.125164972308102,11.80225857201151,11.583885521788043,11.479706346395568,11.495918900978568,11.638553194324677,11.912120048429454,12.322417599971999,12.876336774426127,13.581410688748237,14.447048420567617,15.484680261696658,16.70721115218075,18.129350984575556,19.768284885631136,21.64367668492848,23.777775343491072,26.195367096536234,28.92407198873029,31.995352623696057,35.44455561729678,39.31091159763618,43.638165538985845,48.47390275314603,53.870291300128365,59.88639672392737,66.58820578510324,74.04862646078242,82.348535610158,91.57320806345668,101.81357720547504,113.1729878780967,125.76730984166004,139.72493777495745,155.18702006650898,172.29579622408247,191.19732596925434,212.05777437521206,235.06395526178278,260.42333119543326,288.3580571563135,319.068333381334,352.7610108708095,389.6700971692994,430.0568394543821,474.2077215818853,522.3729960170807,574.7566448383093,631.5829501692444,693.099908310431,759.5770256761926,831.2065016191059,908.0679072133364,990.2401863074875,1077.8076103198416,1170.843726483557,1269.2267461336103,1372.7033303901007,1481.0053237761988,1593.8500667603641,1710.8211318891676,1831.226350860716,1954.338013048623,2079.426055214213,2205.6902683186927,2332.0434774969904,2457.371781669735,2580.620562551514,2700.7384871307477,2816.4779783461295,2926.6449824550837,3030.189042760454,3126.1431142408974,3213.480946630503,3291.3285408429188,3359.0076089313543,3415.975924170802,3461.7572146030343,3496.059713786829,3518.7699514052547,3529.9132363565113,3529.6470819970077,3518.283015700782,3496.2219830596086,3463.949883370753,3422.0493231788173,3371.264704924271,3312.3433368268384,3246.0099148074687,3172.988644165034,3094.1296004653955,3010.2759800937115,2922.203989272783,2830.627965383904,2736.2824332127625,2639.909878387277,2542.1705902390213,2443.6391644469245,2344.8502616334617,2246.3443422794644,2148.580648972008
H,8.89999999999999,11.580818510596028,14.440766391577224,17.274604950070728,19.957095421889427,22.416619897974893,24.615929053740807,26.54182375485812,28.19432520213839,29.583776464320785,30.72519416872097,31.635785164011942,32.33555915633931,32.84354130077899,33.17795732514025,33.35740488914674,33.398951731128236,33.31786237488727,33.12850999249813,32.844529858207316,32.478181966095676,32.04043408419651,31.541064173875384,30.989303731726594,30.393355865674966,29.76062206774993,29.097766297081012,28.410714979897957,27.704753458216853,26.984794216067673,26.25492275308691,25.518829316499048,24.779859194776623,24.041012717640157,23.30494525605815,22.573967222247212,21.850164833603756,21.13528279183746,20.43063262403621,19.737393866265098,19.056617087764963,18.38922389095231,17.73600691141935,17.097629817933978,16.474627312439722,15.867405130055932,15.276236336070298,14.701286027593547,14.142649028091872,13.609954812335102,13.140552927548992,12.7638396591345,12.495614436536274,12.345113254236933,12.317827029786402,12.418913310817977,12.651802521406646,13.02109194229773,13.532337785285655,14.19155527441102,15.006473067974717,15.986677327740686,17.142991803329966,18.487774969897956,20.035550787944928,21.803000125883386,23.80904145981194,26.07465722707553,28.623122770669237,31.480926530424846,34.67780668026569,38.246751128206796,42.2244778805542,46.65041754051321,51.56746148823024,57.024109457083945,63.07449051403449,69.77836305962403,77.20184609851788,85.41310887968358,94.48384125889125,104.49557351489493,115.53977672796356,127.71786277988033,141.14094288891576,155.91689703219436,172.15398617428644,189.97578824526786,209.52164718400317,230.9466729381462,254.41504282131137,280.06408617883386,308.03269712092447,338.47919739235317,371.5813830249252,407.5345233997532,446.49373995245287,488.5673118266923,533.8760696104146,582.5559823806844,634.7562067580491,690.5535771412559,749.9255528070396,812.8474039835385,879.2970458763465,949.2420634712951,1022.4919288476606,1098.755221945482,1177.7361927593104,1259.1350601089414,1342.5572963000786,1427.4118491859358,1513.0990974370277,1599.0361296433014,1684.6067269277244,1769.01045443102,1851.4542111764606,1931.2105782389121,2007.5777617068102,2079.7482495104764,2146.977600719147,2208.6367264033615,2264.1715163661497,2313.017667717502,2354.726174971878,2388.980140703548,2415.558835777916,2434.3053407266043,2445.1799836196683,2448.246185110305,2443.649378496048,2431.630922172966,2412.5200124590233,2386.6819692420167,2354.5165201866284,2316.4853880376586,2273.1453686189384,2225.036935929073,2172.6693566795307,2116.5378145558752,2057.214936213083,1995.2555610514987,1931.1629742469538,1865.393071670066,1798.408179588382,1730.6680483788941,1662.5769011823422,1594.481954468584,1526.7015895297359,1459.554185081517,1393.306070417824
I,20.508709977698267,25.35648545104006,30.444875364034118,35.41725411036606,40.058973999783134,44.250642468839864,47.93387802658246,51.09284319170034,53.73487557140825,55.885231758128754,57.57694930635069,58.84637071504099,59.734256133511664,60.27898562472522,60.51690764161163,60.48450833293318,60.21502464450434,59.73796602978245,59.080828176141345,58.26939483804368,57.326659835738965,56.27300517248491,55.12640342131443,53.90364822788477,52.61942710533849,51.28686336472141,49.91764820284337,48.52204070227823,47.10906320515875,45.68700184695952,44.26248673324617,42.8414302853709,41.42913236585977,40.03028027841251,38.648948767902624,37.28860002037749,35.952307456095156,34.64245974875941,33.36063061993947,32.108199025788494,30.88635513844681,29.696100346041852,28.538247252688294,27.413419678487884,26.32205265952951,25.264392447889364,24.240397554762232,23.249806411800925,22.292324981125795,21.38137428809395,20.5701798790732,19.900263897795394,19.393379295147632,19.06163918396645,18.91162134221497,18.949310351972873,19.1781005312399,19.60297941269962,20.230229201205237,21.066678775959318,22.121513049160342,23.40647939280225,24.934949103831343,26.722329039530635,28.786932349403166,31.149956327848113,33.835574482180206,36.87063576035699,40.284988969577455,44.11268814871276,48.39203911316855,53.165599454884976,58.48077629055311,64.38838696498306,70.94369185679264,78.20921667897905,86.25477967241994,95.15749160587418,105.00265493544387,115.87794420177816,127.87545743068048,141.09998450684054,155.66913699352318,171.71334813256743,189.3754775102083,208.7937166128747,230.1066028277392,253.47238256493574,279.0695833992583,307.0970140701612,337.764964056846,371.2487244328778,407.72569288295017,447.39828351308995,490.49398277425297,537.2627625768462,587.9030350505084,642.5535654768732,701.3695964703201,764.5261068158654,832.215310429755,904.5375096629009,981.4671334735953,1062.976496955023,1149.0418638663837,1239.6268684925349,1334.4945701220445,1433.2805449455757,1535.614805300579,1641.1220947502725,1749.306338000422,1859.4217164097472,1970.710063219048,2082.432392798175,2193.805325411767,2303.809436659995,2411.4314947880675,2515.7379931253327,2615.824485949395,2710.6486594436033,2799.244608378195,2880.789883099068,2954.554480415022,3019.7920677111597,3075.90116283627,3122.448109017519,3159.121324183282,3185.6890022595053,3202.0702247828112,3208.3184997289773,3204.5944683840808,3191.1819136782874,3168.480209281763,3136.9396241272802,3097.0589546093406,3049.4184315370485,2994.723787986882,2933.6637926107924,2866.890826408665,2795.042515070804,2718.858486210595,2639.0587708926655,2556.298883720988,2471.175027343066,2384.293732520651,2296.2605509754308,2207.609749712774,2118.8021571536715,2030.262151953435,1942.4152989865033,1855.6194680302337
J,10.59999999999999,12.877526811441443,15.281679195571446,17.65235474375582,19.892712015062013,21.94797818491567,23.790102382216663,25.409633942815592,26.807193767580543,27.99127594736966,28.973859666412253,29.7685121644203,30.39091104115076,30.85592735180439,31.177795401157464,31.371020751896385,31.448934943527693,31.423503101332333,31.30601783807824,31.107203017677545,30.836747166210888,30.50337213453041,30.114908582976685,29.67876373432298,29.20156363101138,28.68932951428842,28.147525683704668,27.58105949711482,26.99435008225781,26.391513434767532,25.776040173142245,25.15111301417446,24.519643089700203,23.88426994659898,23.24736154679377,22.61101426725118,21.977137453149847,21.347366943118782,20.72300781307937,20.10525079946737,19.495174446312156,18.893745105236725,18.30181693545771,17.720131903785365,17.14931978462354,16.589898159969785,16.042276860382533,15.506776199713206,14.983646527329471,14.484715743028937,14.055550624948143,13.732607404784044,13.536312016493913,13.479580270611635,13.57115862224045,13.819711829281543,14.232137089809173,14.817056629413607,15.584580436094559,16.545776601534435,17.714221279562597,19.106184289469727,20.739999672168622,22.63651185516393,24.819966945667595,27.318028736899386,30.161939078537486,33.38655891660089,37.030798666643655,41.13900171303568,45.76100239818149,50.95212602252045,56.7741220337863,63.29457050824516,70.58785593715506,78.73829606694645,87.8401747613175,97.99774200123454,109.32682157904262,121.95087809389969,136.00252529875104,151.6325613491108,169.01012524004338,188.32269680616147,209.77681097562734,233.58445039522306,259.9659023999805,289.17171067291594,321.48345071122276,357.21372982627145,396.69947186120777,440.2553968845917,488.210498932047,540.936528860493,598.8481356369898,662.400415386212,732.0091009961006,808.0349703618375,890.8747232955259,980.9662110698996,1078.7854991137997,1184.7117834155838,1298.975107656655,1421.811491102562,1553.4718218579053,1694.1988633714568,1843.9602621995355,2002.5336290244595,2169.6728553019366,2345.108587114311,2528.3679894308952,2718.5522995396063,2914.6895626198434,3115.783823974646,3320.7092107009044,3527.8591887251227,3735.544923726604,3942.1325352798053,4145.953644954707,4344.966893971007,4537.164556343945,4720.732936525398,4893.952466363071,5054.9370793427615,5202.013969937156,5333.820371537648,5449.197009702744,5547.036751634904,5626.539327065951,5687.226137304779,5728.863504456353,5751.40466272119,5755.08373895867,5740.335282969238,5707.783761464804,5658.211160967163,5592.690764216428,5512.345434461938,5418.300825430729,5311.7149005964475,5193.96469086781,5066.449908954343,4930.477618181791,4787.268514940942,4638.094161839028,4484.260368296178,4326.939394380158,4167.161790206974,4005.8984056431427,3844.1407328895298,3682.74089968957
