EpiState,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
S,1.0571764182918109e7,1.056015603613195e7,1.054704827426006e7,1.0532407438080061e7,1.0516150271752588e7,1.0498158079014394e7,1.0478285321299333e7,1.0456363328542896e7,1.0432203173157124e7,1.0405596598454589e7,1.0376315558773037e7,1.0344112971690234e7,1.0308721658255937e7,1.0269855660031077e7,1.0227207887930417e7,1.0180449552124903e7,1.0129233411450254e7,1.0073196480272368e7,1.0011955910048945e7,9.945108961431637e6,9.872244084113255e6,9.792948303764684e6,9.70680009119111e6,9.613369380029997e6,9.512240272924507e6,9.403031094162192e6,9.285380569999391e6,9.158947445563357e6,9.023441570081903e6,8.878668954726787e6,8.724501369531024e6,8.560873134689048e6,8.387816555901684e6,8.205531951642638e6,8.014327021681692e6,7.814606009510836e6,7.606907162428932e6,7.391972407712988e6,7.170647598243e6,6.943861392435131e6,6.7126656579170525e6,6.47826783739166e6,6.241902024509728e6,6.004809334651295e6,5.768282233322484e6,5.533638210655294e6,5.302107558217107e6,5.0748300957333585e6,4.8529029386818e6,4.63731686606012e6,4.42890268632016e6,4.228349896948959e6,4.036247075271668e6,3.853030983343269e6,3.6789814816134134e6,3.514257995084136e6,3.3589176798054674e6,3.212907179215301e6,3.0760705813318854e6,2.9481831457410688e6,2.828957232845697e6,2.7180597207323904e6,2.6151182619359796e6,2.5197369403030737e6,2.431495424545013e6,2.349973067121259e6,2.274757024057985e6,2.2054404480425054e6,2.1416145519662932e6,2.0828866728995997e6,2.0288891142517447e6,1.979277181364393e6,1.9337140464911137e6,1.8918808911306357e6,1.8534854667489424e6,1.8182615164164677e6,1.785955094784011e6,1.7563251257479463e6,1.7291522915883157e6,1.7042386088637887e6,1.681401967130671e6,1.660467203998084e6,1.6412747063521089e6,1.6236802798845682e6,1.6075546993011092e6,1.592775556885041e6,1.5792283102188134e6,1.566809212112231e6,1.5554247965612027e6,1.544991225074251e6,1.5354283665896894e6,1.52666221830528e6,1.5186255965398347e6,1.5112578347886417e6,1.5045046862539349e6,1.4983149349122592e6,1.4926406536630054e6,1.4874383633970427e6,1.4826684929854865e6,1.4782953792797038e6,1.474286988820874e6,1.4706124460556232e6,1.4672436041501006e6,1.4641547762400885e6,1.4613224836051723e6,1.458725455668741e6,1.4563446299979882e6,1.4541621294328258e6,1.452161044446405e6,1.4503262989924185e6,1.4486439725300074e6,1.4471013000186093e6,1.4456866719179566e6,1.4443896341880828e6,1.44320062374713e6,1.442110286992027e6,1.4411105212925214e6,1.440193841928952e6,1.4393533178909079e6,1.4385825718772353e6,1.4378757802960277e6,1.437227673264634e6,1.4366335060064655e6,1.4360885883272814e6,1.4355888408075643e6,1.4351305982630183e6,1.4347104422879033e6,1.4343252012550386e6,1.4339719503157977e6,1.4336480114001143e6,1.433350953216478e6,1.4330785912519344e6,1.4328288744304092e6,1.432599820789392e6,1.4323897505800545e6,1.4321971014734423e6,1.4320204241002135e6,1.4318583820506332e6,1.4317097518745833e6,1.4315734230815524e6,1.4314483981406414e6,1.4313337924805637e6,1.431228833672247e6,1.4311326635784206e6,1.431044445213353e6,1.430963505383669e6,1.4308892300241569e6,1.4308210641977682e6,1.4307585120956197e6,1.4307011370369897e6,1.430648561469321e6
E,35818.69104605944,38194.15530918238,41371.077100798735,45202.835703013916,49619.002250977435,54596.01787088427,60138.83646143497,66272.12317181392,73032.74180276158,80466.415866837,88626.61536154296,97571.54285535729,107364.97240840913,118071.46524737532,129760.6120578945,142508.18193571735,156388.57827412576,171469.38886668748,187823.60984848012,205530.6977127844,224657.38483701728,245247.1875839188,267348.15016321826,291014.84016827855,316274.6605007665,343098.0171959012,371453.82626043435,401316.2231773096,432621.4322101962,465198.81693140115,498868.8882418225,533462.1498524008,568766.4057534899,604417.7041685486,640048.5071727724,675322.793999279,709868.9638129635,743156.8304546201,774694.5934806339,804071.4194491929,830859.583305617,854525.2043223897,874648.6859601648,890950.3847114661,903145.5813496114,910940.0132409486,914211.0624395506,912995.548175195,907308.2563391948,897233.4593784082,883015.5580603803,864999.1098003434,843482.0335280168,818838.3556016128,791532.2326824437,762027.4513462718,730741.9873361116,698114.3417790907,664594.8814066633,630580.9879082941,596430.4318692969,562470.7503951029,528991.5451801834,496230.13982526324,464406.5705866708,433694.75888442976,404209.5022067861,376020.77714829205,349213.1286218828,323840.82924584375,299909.9528681374,277386.73107508995,256262.42611158136,236524.37019268586,218126.23943926973,200990.11776446365,185057.12332290437,170288.35554183455,156625.2737271071,143990.0264105078,132304.0953044508,121522.39285683866,111593.54420762217,102455.29750652333,94035.9132008852,86283.01803671142,79158.93742293803,72619.9156143707,66616.60040673883,61096.055709231914,56023.21906978165,51370.454144334995,47106.82532205843,43198.516585128615,39609.1042475543,36311.37841035454,33287.678702159545,30518.559128540906,27983.165207554077,25659.233969738267,23523.90725454023,21563.08786141118,19766.085939924425,18121.169782807203,16615.92166058341,15237.237821573643,13971.328491895214,12807.126510020375,11739.0963383563,10760.956515978563,9866.097810384732,9047.5832296512,8298.148022433186,7610.199677964748,6976.666773404521,6394.631853126442,5861.152829098791,5372.992057710976,4926.743023221151,4518.830337756195,4145.509741311704,3802.8681017520043,3486.9150897500363,3195.8110100694657,2928.610585152622,2683.9696417583696,2460.425612212134,2256.3975344059063,2070.1860517982427,1899.973413414264,1743.8234738456547,1599.6816932506667,1465.9273968566765,1342.53492650254,1229.3081151036647,1125.9007948414728,1031.8294764821578,946.4733493766778,869.0742814607556,798.7368192548839,734.4281878643188,674.9782909790857,619.0862176021304,566.9075069572947,519.1067611830247,475.48709602126195,435.7889333964862,399.6900014157135,366.8053343684982,336.68727272693275,308.8254631456457
Ia,20558.651583119714,23456.321011057,26368.30974245531,29409.844482475957,32661.388899400034,36183.66753488738,40027.1771940581,44236.84115994687,48856.037418917236,53928.446566168765,59498.77903449378,65614.32370740335,72324.52322907888,79683.54569774611,87747.3795796513,96573.05528596981,106222.09976875427,116762.64214240659,128260.90039778312,140780.11012700966,154388.70772522304,169163.8027360571,185171.6486459386,202465.83964016876,221100.81287985216,241144.1085146463,262638.731377527,285597.7483290566,310021.9485466889,335931.26359388407,363303.94997289387,392063.3925605845,422103.40487894294,453343.04940206406,485644.52682697796,518792.3042632803,552532.6422194357,586648.2688408542,620858.3143549837,654797.508838215,688084.6951498465,720396.5343121743,751356.521814805,780525.610885833,807512.9573413037,832004.3312554485,853659.3091122797,872122.9363272309,887164.535594081,898622.7080457744,906338.0875404926,910193.2084281171,910215.8388056001,906472.0156432962,899043.5714023606,888083.7018717936,873834.9740820854,856552.5050617466,836503.0552447414,813999.8517366023,789375.344802969,762959.033382959,735080.928447249,706074.7133135917,676235.7129679277,645848.447101537,615197.8061203843,584556.0548227063,554125.5144967864,524086.10063208075,494617.3808425263,465891.84487378504,438017.1403458108,411068.4603329953,385125.05870940763,360268.9372019623,336539.9059680703,313937.9818719202,292468.8282628654,272144.6988302953,252967.73322091837,234899.14089400033,217901.82311367564,201947.085609597,187013.35053392258,173058.9168135785,160027.9358213136,147872.75208090738,136553.6979427,126037.10788111307,116274.42551044459,107213.36874069525,98808.73396945682,91021.98077570014,83820.94157317963,77167.80425665031,71019.48991372761,65338.36290301686,60091.60828940321,55251.231844051305,50793.1552530063,46687.61040932918,42905.16194071725,39420.01266609369,36209.481033290365,33254.00111904775,30537.122629015095,28041.74402288019,25747.913726291812,23638.618869069247,21698.632366448288,19914.51290370294,18274.60493614528,16769.03868912563,15388.751796719465,14121.975392580654,12958.744589942966,11890.196222895042,10908.387303357897,10006.295021084878,9177.816743661675,8417.770016506327,7721.784841312703,7084.029333875467,6498.954642168885,5961.917950868458,5468.732319792391,5015.666683901581,4599.445853299634,4217.25051323284,3866.7172240902,3545.938421403407,3252.8979017203774,2984.552760587555,2738.444627090803,2512.4027427423107,2304.528152425683,2113.1937043959324,1937.0440502794738,1774.995645074145,1626.2367471491784,1490.2274182452338,1366.693620588791,1254.189995826658,1150.9418391649156,1056.0425446180034,968.7220945016426,888.3470594328335,814.4205983298567,746.5824584122751,684.6089752009269
Is,8320.006579362047,9500.865655344496,10686.905069702367,11925.333573267444,13249.092110344325,14683.015736793484,16247.734675949208,17961.583631394507,19842.2538487824,21907.551195427208,24175.69557059092,26665.954713660612,29398.4716545469,32395.321407854393,35679.31896117562,39273.7005411418,43203.54500763037,47496.63641720962,52179.97988977777,57279.364706933644,62822.72060884488,68841.5383315422,75362.88609501452,82408.67338929615,90001.17891205286,98168.0643238948,106926.98881460908,116283.40188708925,126237.76215594083,136798.38318523302,147956.565812973,159681.20155653066,171929.10790443732,184667.43525101975,197840.08360353246,211359.16045572056,225121.13266633457,239037.3527673405,252993.12807153948,266839.2045424807,280419.7827097687,293602.6738422298,306233.89987216523,318133.8523647653,329142.61776887625,339131.63975014817,347961.63237685245,355487.3514373249,361614.46509539173,366277.0484442628,369410.0083574681,370965.42043592845,370954.90597248223,369405.7604750936,366351.716381168,361855.7344042694,356017.3923295049,348941.34509015613,340736.94643764675,331532.54379783804,321464.304129338,310667.1044869456,299275.9519891237,287427.2994675881,275241.8364060589,262835.7711688424,250325.41188518953,237821.85260424684,225407.54022930455,213155.73280995747,201139.52740745706,189429.10891363263,178068.15111659342,167087.07063314007,156517.945434321,146393.97809332574,136731.15058187963,127529.22104594242,118790.26523016822,110519.05910973325,102716.26562508375,95365.8807996861,88452.60927863616,81964.59344012565,75892.88837334118,70220.36821821422,64924.16831205876,59984.771837729204,55385.92397665638,51113.82355024542,47148.62545760445,43468.986623526805,40056.45046927781,36895.27691776342,33972.324296383755,31272.16614728109,28777.250072495535,26472.241196320057,24343.766948230008,22380.417062883094,20572.376121335048,18907.526303640992,17373.89403183708,15960.98485352446,14659.570624187892,13461.689507195753,12360.645973800058,11349.483716058121,10420.097649734302,9565.577124027326,8779.73619893154,8057.113638995783,7392.972913323376,6783.302195572165,6224.418240431107,5711.545556465651,5240.6420819314335,4808.1122014272505,4410.733146826573,4045.654997277536,3710.400679202942,3402.8659663002554,3121.275926099206,2863.2661832652607,2626.589162414447,2409.3639829069766,2209.8941764840824,2026.6676872680089,1858.356871762021,1703.8184988504,1562.0937497984432,1432.4082182524658,1313.9441285057512,1205.4705867512487,1105.9933111219234,1014.6341617392595,930.624754782233,853.306462487311,782.1304131484474,716.6574911170896,656.55833680217,601.613346670119,551.7102944600751,506.26516838666754,464.5614764613408,426.232681699661,390.9673907837225,358.50935406214774,328.65746555008616,301.2657629292168,276.243427547744
R,28827.569399466836,33842.30106970482,39519.238470131095,45876.433289374414,52953.651247002286,60806.462404478436,69502.77704047588,79121.45725105699,89751.34296924924,101491.08074259863,114449.66453430234,128746.53190646291,144512.35907087917,161888.93128482497,181031.27599263462,202108.16318794826,225301.58197062215,250806.5510478422,278834.85476806783,309615.51101700077,343391.52597937454,380418.20589357073,420969.74667240033,465339.73769712215,513833.4954669617,566760.9188054273,624447.255594619,687234.3198299895,755468.2164918265,829479.8811360761,909602.1757611849,996172.6647293281,1.0895160062192464e6,1.189907426182142e6,1.2975993013940128e6,1.4128259520830114e6,1.5357786906480193e6,1.6665562037549366e6,1.8052059113780393e6,1.9517312951985032e6,2.1060545293210996e6,2.2679715499258153e6,2.4372134769576285e6,2.613453338358975e6,2.796253288114531e6,2.9850556480718753e6,3.1792550306779947e6,3.378197436139381e6,3.581121399030957e6,3.787205261143098e6,3.9956223246396757e6,4.205526830352983e6,4.416016835477553e6,4.626209703467366e6,4.835264033366609e6,5.042356790327111e6,5.2466853415793e6,5.447515873048438e6,5.644185463278566e6,5.836085187775613e6,6.022678477975152e6,6.203505993073997e6,6.37818244725776e6,6.546391140657504e6,6.707907858396284e6,6.862568844052765e6,7.010260545783083e6,7.150925066534438e6,7.284587868367227e6,7.4113197221623445e6,7.531215740542536e6,7.644398264896229e6,7.751046747700087e6,7.851372253606339e6,7.94558851093957e6,8.033912232972292e6,8.116587989501501e6,8.193883522512521e6,8.26605788455198e6,8.333360212250677e6,8.396039473411532e6,8.45436173226661e6,8.508582498128807e6,8.558942086953156e6,8.605666443863869e6,8.648983854315957e6,8.689120377834445e6,8.726286705993243e6,8.76067843075862e6,8.792477402000384e6,8.821864907623839e6,8.849014347924208e6,8.874086168556672e6,8.897228291998208e6,8.918576338859051e6,8.938261704973193e6,8.956410516621618e6,8.97313887601219e6,8.988553830793783e6,9.002753374056306e6,9.015827149965532e6,9.027862811352685e6,9.03894153854328e6,9.049138069216141e6,9.05852129922217e6,9.067154282584343e6,9.07509423149769e6,9.082395328928001e6,9.089109219927778e6,9.095282378416758e6,9.10095792285151e6,9.106175616239596e6,9.110971866139496e6,9.115379724660667e6,9.119429662441747e6,9.123151508838886e6,9.126571326098965e6,9.129713271953538e6,9.132599788568001e6,9.135251602541592e6,9.137687724907394e6,9.139925451132342e6,9.141980449136758e6,9.143868184893839e6,9.145602170157792e6,9.147194597883753e6,9.148656863146992e6,9.149999563143037e6,9.151232497187572e6,9.152364666716484e6,9.153404275285868e6,9.154358728571996e6,9.155234992657581e6,9.15603976012374e6,9.156778724005071e6,9.15745719224295e6,9.158080102121051e6,9.158652020265331e6,9.159177142644027e6,9.159659294567676e6,9.16010193068909e6,9.160508135003366e6,9.160880623265496e6,9.16122232616307e6,9.161536074090991e6,9.161824189837608e6,9.162088800776633e6,9.162331838867193e6,9.16255504065375e6,9.162759947266169e6,9.162947904419683e6
Ihsub,451.10318773627245,527.0604554861483,611.5343802733163,704.1201440590645,804.9784055425865,914.6368619668928,1033.8685517907431,1163.6367153777262,1305.0497885190682,1459.3442934752634,1627.886074870347,1812.15706919043,2013.7680620734025,2234.435968161156,2476.025955897979,2740.5619927456364,3030.1866440705744,3347.135292067661,3693.8312506482594,4072.895179692352,4487.021406700503,4938.912424146327,5431.473360370377,5967.825890203572,6551.065147736167,7184.037672326444,7869.7072253383,8611.197646024248,9411.443309132546,10272.613314427346,11196.75315126307,12185.9044166065,13241.62710084426,14363.9516390895,15552.409629194899,16806.27396191165,18123.882623800222,19501.23003324027,20933.551394911032,22415.678779656857,23940.97520975365,25500.06649668943,27083.08109681318,28679.953157936397,30278.782323312484,31865.64528261678,33427.042498979725,34949.86570422285,36419.39213536919,37820.774149027704,39140.718166755716,40366.91121881803,41486.597027060154,42488.76317632294,43364.646747448925,44106.77415659847,44708.832079927124,45166.77220486696,45478.7330065461,45644.314810199576,45665.041383415744,45544.037412998696,45285.84683930889,44896.226696605896,44382.908835686736,43754.21630928301,43018.661060982085,42185.18738096435,41264.212925303065,40266.214368486006,39201.07176396773,38078.204108324404,36907.70818333099,35699.50976495077,34462.53924711973,33204.76214276302,31934.138397467148,30658.487510176117,29384.630401166512,28118.39271242799,26864.990541561627,25629.631481361677,24416.75067558169,23229.975365525723,22072.158516169922,20945.973604404837,19853.766958514116,18797.306664889074,17777.820280495773,16796.045372487846,15852.659326112715,14948.052033099968,14082.289797997206,13255.140614028382,12466.081804093323,11714.547298024629,10999.869287878408,10321.213282154542,9677.625997481642,9068.03535861707,8491.270189952536,7946.219770271618,7431.705430583162,6946.516234987472,6489.428478437467,6059.2056867386555,5654.59861654918,5274.4009031594705,4917.449361049904,4582.573666834278,4268.636057713874,3974.531331769732,3699.1868479626164,3441.562526133054,3200.6585576656616,2975.536697545073,2765.28323326063,2569.0211675818014,2385.911914047662,2215.1552969668846,2055.989551417751,1907.6913232481381,1769.57529732311,1640.9936299167823,1521.3469851992504,1410.066860060803,1306.6114090373305,1210.4654443103304,1121.1404357069027,1038.174510699752,961.1324544071881,889.6057095931246,823.2066122828884,761.5862352572203,704.4366658577635,651.4627199263737,602.381511802777,556.9224543245722,514.827258827228,475.84993514408757,439.75679160636133,406.32643504313785,375.3498887059289,346.66027809161926,320.11538596723705,295.5663012733829,272.87071175093797,251.8929039410619,232.50376318519398,214.58077362505344,198.0080182026379
Ihcrit,284.92815963591664,332.9694798819469,386.4072754042848,444.9777493997644,508.7767622969925,578.1333681395055,653.5322134219865,735.5783185468467,824.9683215413943,922.4795038715307,1028.970444768352,1145.372605975482,1272.6983542288226,1412.026318303622,1564.5283536940517,1731.4762668418298,1914.2160285892603,2114.151490476603,2332.805059007218,2571.8236697759103,2832.9002817422806,3117.7327234759696,3428.147243196572,3766.1073322973148,4133.560062264265,4532.296267510798,4964.182197953058,5431.186621534175,5935.160339252498,6477.473405730719,7059.420356442429,7682.29575720445,8347.093019659002,9053.843966394512,9802.268623502297,10591.926526764308,11421.790239183525,12289.356864082783,13191.646248714143,14125.425254514264,15086.534989501326,16069.089549242677,17066.887992799657,18073.605352674695,19081.75637832984,20082.57451227441,21067.556737471325,22028.443058970515,22955.947245798285,23840.697235520154,24674.29813311425,25448.969338196825,26156.640712354536,26790.33919260293,27344.511025422864,27814.412300697877,28196.024561026,28486.76112858121,28685.41890604914,28791.715448090028,28806.580469947778,28731.959619492944,28570.700122121507,28326.415656613957,28003.96721389855,27608.594135731786,27145.659887262147,26620.804167402046,26040.597646121794,25411.6522186197,24740.205297955275,24032.205148016088,23294.030016943358,22531.95222169435,21751.615859198348,20958.055990099656,20156.305370186758,19351.309347711533,18547.38210465107,17748.208577053105,16957.08864141302,16177.317802022702,15411.703088653318,14662.540362221403,13931.635611666024,13220.681745974096,12531.165019402917,11864.205707156256,11220.581963263849,10600.761838733455,10005.175605603317,9434.071673070015,8887.493600398851,8365.296103320743,7867.149894495841,7392.698337328163,6941.520458983012,6513.089745552246,6106.804473897075,5721.987711648059,5357.899788034493,5013.839335019467,4689.061945908504,4382.802764974578,4094.288835569831,3822.739100125557,3567.364400152225,3327.4026947230955,3102.1192301245305,2890.7747013319836,2692.650385481908,2507.0481420567576,2333.2904128849677,2170.7202221409866,2018.706048854065,1876.6552683193663,1743.9907492355444,1620.1585667579907,1504.6290744790585,1396.89690442806,1296.4809670712675,1202.9244513119113,1115.7945881962842,1034.682263764035,959.2090150191665,889.0158659200973,823.7606830181463,763.1181754575306,706.7798949753641,654.4542359016591,605.8664351593266,560.7585722641754,518.8859199284625,480.0282084810065,443.9910844033862,410.58823231774727,379.6411030714839,350.97891373723974,324.43864761290536,299.86505422162213,277.11064931177714,256.0357148570098,236.50837350940355,218.4233307538677,201.69085916949356,186.21700440080866,171.91197776718388,158.69015626283317,146.4700825568136,135.1744649930257,124.7301775902128
D,82.86712651087439,98.29088739444603,116.25370117400571,137.01697834795326,160.838571851008,187.9872084576259,218.75256353675545,253.45120896531733,292.4326931080433,336.0833770402237,384.83020639230585,439.1454517132425,499.5489648490084,566.6140446631427,640.9711686357952,723.3086647318153,814.3808559552231,915.014470943091,1026.108737291832,1148.6361551678076,1283.6550478430881,1432.3165426059331,1595.8566287533217,1775.5958526347154,1972.954105858564,2189.4630581012634,2426.7385301284257,2686.4769456424256,2970.4668650630347,3280.613706459371,3618.8771723963137,3987.256438295325,4387.799221697045,4822.637748104319,5293.881068314218,5803.579199195206,6353.735361332206,6946.34957193946,7583.256828178613,8266.075502303318,8996.241397360343,9775.04415980101,10603.421795894381,11481.92051705481,12410.783401550936,13389.937231396116,14418.80793976519,15496.32342431551,16621.065877408433,17791.185543787713,19004.318781952687,20257.653476653417,21548.073205264205,22872.079100436087,24225.806781135725,25605.140509120083,27005.768226577813,28423.2224718232,29852.920387901537,31290.252782297775,32730.58652418336,34169.400896113715,35602.31822827348,37025.12407975956,38433.721048458974,39824.301226152056,41193.38899832962,42537.80929944643,43854.585747080295,45141.0756630674,46395.00702567696,47614.459620530615,48797.750034538665,49943.492117558206,51050.62362217173,52118.399418626126,53146.292073980236,54133.99642194713,55081.44413374559,55988.79324551857,56856.38612436966,57684.6999013975,58474.3651549157,59226.140878282386,59940.91059903522,60619.63038011869,61263.33841251731,61873.12998947403,62450.148110320755,62995.57857355248,63510.62081692477,63996.500555790226,64454.44174430236,64885.66221721055,65291.373071308946,65672.76566491046,66031.02128012896,66367.29433518299,66682.7053041669,66978.34071705081,67255.2526067301,67514.45891202087,67756.94801765069,67983.6682413818,68195.52654058355,68393.38851223238,68578.07839291176,68750.38379232888,68911.05932025805,69060.82171358359,69200.35179951778,69330.29449562092,69451.2588098014,69563.81784031553,69668.51239404648,69765.85940104729,69856.33912504304,69940.40590113828,70018.48907916048,70090.99302366016,70158.29711391049,70220.75574390762,70278.69911409375,70332.44435798988,70382.27864468363,70428.46955171853,70471.27036455685,70510.9200765799,70547.64338908777,70581.65071129943,70613.13816035293,70642.28756130488,70669.27095271797,70694.2463692902,70717.35161130014,70738.71763204099,70758.46878017116,70776.72279971422,70793.59083005908,70809.17740596001,70823.58045753636,70836.89131027297,70849.1946673924,70860.56397849193,70871.06437370957,70880.75915071367,70889.70809100664,70897.96745992501,70905.59000663944,70912.62496415462,70919.11804930949
Htot,736.0313473721891,860.0299353680954,997.9416556776009,1149.097893458829,1313.7551678395791,1492.7702301063978,1687.4007652127298,1899.215033924573,2130.0181100604623,2381.8237973467935,2656.8565196387,2957.529675165912,3286.4664163022253,3646.462286464778,4040.554309592029,4472.038259587465,4944.402672659836,5461.286782544263,6026.636309655478,6644.718849468263,7319.921688442786,8056.6451476222965,8859.620603566951,9733.933222500884,10684.625210000433,11716.333939837245,12833.889423291354,14042.384267558427,15346.603648385051,16750.08672015807,18256.173507705502,19868.200173810954,21588.72012050327,23417.795605484018,25354.678252697187,27398.200488675964,29545.672862983745,31790.586897323054,34125.19764362517,36541.10403417113,39027.510199254975,41569.156045932104,44149.96908961283,46753.55851061109,49360.53870164231,51948.219794891185,54494.599236451046,56978.30876319337,59375.339381167476,61661.47138454788,63815.016299869974,65815.88055701484,67643.2377394147,69279.10236892587,70709.15777287178,71921.18645729635,72904.85664095313,73653.53333344818,74164.15191259525,74436.03025828963,74471.62185336353,74275.99703249165,73856.54696143039,73222.64235321985,72386.87604958525,71362.8104450148,70164.32094824423,68805.9915483664,67304.81057142491,65677.86658710569,63941.27706192303,62110.4092563405,60201.738200274376,58231.46198664512,56214.15510631807,54162.818132862696,52090.443767653895,50009.796857887646,47932.01250581758,45866.601289481085,43822.079182974645,41806.94928338438,39828.45376423501,37892.51572774712,36003.79412783595,34166.655350378926,32384.931977917036,30661.51237204533,28998.40224375962,27396.807211221298,25857.834931716025,24382.123706169983,22969.78339839606,21620.436717349123,20333.231698589163,19107.24563535279,17941.389746861423,16834.303027706785,15784.430471378719,14790.02307026513,13849.169977987032,12960.059105291084,12120.767376491667,11329.318999962052,10583.7173140073,9881.944786864213,9221.963016701404,8601.803597882568,8019.568591174434,7473.348368166259,6961.286443195781,6481.5794738264885,6032.477260847583,5612.2827482740395,5219.364606519728,4852.191965864438,4509.273982496175,4189.179734339792,3890.5409885267195,3612.0522013949444,3352.4705184890176,3110.61577456005,2885.3698855193943,2675.6758936808174,2480.556000218417,2299.0827259809007,2130.372092055477,1973.5836197678607,1827.9203306822665,1692.628746601411,1566.9988895665151,1450.3642818572996,1342.0925322113512,1241.6144437382266,1148.4277502611496,1062.050952244121,982.0226148742609,907.9013680618115,839.2659064401337,775.7149893657097,716.8674409181385,662.3621499001475,611.8582622153325,565.0836088454871,521.8062451367304,481.78330567419164,444.78268951812186,410.583060203895,378.9738457420075,349.7552386180793,322.7381957928508
Dperday,15.423760883571683,17.962813779559628,20.763277173947586,23.821593503054746,27.148636606617874,30.765355079129524,34.69864542856187,38.9814841427259,43.65068393218048,48.74682935208232,54.31524532093649,60.40351313576593,67.06507981413435,74.35712397265242,82.33749609602017,91.07219122340774,100.633614987868,111.09426634874087,122.52741787597586,135.0188926752799,148.6614947628457,163.54008614738822,179.73922388139368,197.35825322384852,216.50895224269928,237.27547202716292,259.7384155139995,283.9899194206091,310.1468413963358,338.2634659369432,368.37926589901207,400.5427834017193,434.83852640727395,471.24332020989993,509.6981308809865,550.1561621369988,592.6142106072546,636.9072562391544,682.818674124707,730.1658950570196,778.8027624406668,828.3776360933754,878.4987211604268,928.8628844961271,979.1538298451844,1028.8707083690715,1077.5154845503184,1124.7424530929268,1170.1196663792775,1213.1332381649809,1253.3346947007326,1290.4197286107785,1324.005895171885,1353.7276806996301,1379.33372798436,1400.6277174577278,1417.4542452453863,1429.6979160783405,1437.3323943962405,1440.333741885582,1438.8143719303546,1432.9173321597636,1422.8058514861016,1408.5969686993963,1390.5801776930834,1369.0877721775578,1344.420301116818,1316.7764476338693,1286.4899159871072,1253.9313626095468,1219.4525948536648,1183.290414008023,1145.7420830195733,1107.131504613531,1067.7757964543782,1027.892655354108,987.704347966891,947.4477117984571,907.3491117729958,867.5928788510882,828.3137770278294,789.6652535181952,751.7757233667094,714.7697207528247,678.7197810834627,643.7080323986303,609.7915769567159,577.0181208467231,545.4304632317184,515.0422433722772,485.87973886547604,457.9411885121417,431.22047290816454,405.7108540984082,381.39259360151857,358.25561521849846,336.2730550540363,315.41096898391027,295.63541288390707,276.9118896792622,259.206305290802,242.48910562982766,226.72022373111227,211.85829920174442,197.86197164881548,184.68988067940597,172.30539941707656,160.67552792919216,149.7623933255433,139.53008593419256,129.94269610315513,120.9643141804594,112.55903051411454,104.69455373095322,97.34700700083141,90.47972399572241,84.06677609523338,78.0831780222489,72.5039444996493,67.3040902503205,62.45862999714683,57.94337018608449,53.74524389613355,49.8342866937899,46.190907034895936,42.80081283834885,39.649712023038774,36.72331250785813,34.007322211694266,31.487449053447087,29.1494009520029,26.983391413047425,24.975416572224365,23.10524200998012,21.36602074085718,19.751148130122615,18.25401954304592,16.868030344886012,15.586575900913482,14.403051576396647,13.310852736590777,12.303357119423804,11.369311099499233,10.500395217656447,9.69477700411135,8.948940292978723,8.25936891837631,7.6225467144107935,7.034957515203217,6.493085154863359,0.0
