Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,2.1729493852516217,2.7246081000875706,3.3877412026397136,4.174729730920709,5.097415702272132,6.167977628318387,7.399543946769635,8.806552472666166,10.405119937964352,12.213272799938277,14.25116276615407,16.54137418383135,19.10904745562291,21.98219378328413,25.19199520011847,28.77285715634453,32.76283882833134,37.204048254176605,42.1427888275291,47.62962184833282,53.720054903723906,60.474990082147606,67.96053505386413,76.24801361284025,85.41479951941542,95.54505706453308,106.72860015389196,119.06076045780247,132.6430514796346,147.58455786025763,163.99891903360137,182.00362141189416,201.72046876651694,223.27756280861314,246.8036145688685,272.4260202175479,300.2713752869475,330.4678196991187,363.1358410578446,398.38523703702117,436.3166813035424,477.0236632113944,520.5799867924618,567.0371373568727,616.4290634350637,668.7712193929697,724.0485108513822,782.2152132762237,843.2041529773761,906.9210204830258,973.238455270317,1042.0001579452628,1113.0302137878655,1186.1275602821192,1261.0667715452387,1337.6056956152747,1415.4890864217195,1494.4509244464048,1574.2170158500537,1654.5110397889034,1735.0546089564727,1815.5760767573004,1895.8125543344477,1975.5112035714774,2054.426232312433,2132.3299262666123,2209.0153936275865,2284.2944297076,2357.990877197078,2429.949255064789,2500.036867056409,2568.1425704473368,2634.169525850542,2698.03896415265,2759.6915210783595,2819.0867963372984,2876.1973000672006,2931.008777203464,2983.520769310106,3033.745925274906,3081.7075332565673,3127.4367191105907,3170.9733043792257,3212.364210958999,3251.6632412151203,3288.928211448652,3324.2214907643884,3357.6083594100796,3389.156454667824,3418.935508861999,3447.0158697651837,3473.469133690114,3498.3664684932246,3521.778369781275,3543.7746304197403,3564.4237584718794,3583.7935010503734,3601.9498398217156,3618.9566158352536,3634.8755295231917,3649.7661272340365,3663.6859640314196,3676.690751797414,3688.83381288265,3700.166025622508,3710.7358243371177,3720.5891993313535,3729.770033525373,3738.3202941809636,3746.27972315466,3753.6860111946967,3760.574797942539,3766.979671932882,3772.932170593651,3778.4620003318396,3783.597535371463,3788.365034834386,3792.7893080097656,3796.893772238028,3800.700452910854,3804.229983471191,3807.501605413246,3810.5332134960754,3813.3419863551803,3815.943415929215,3818.351910201611,3820.5810973532093,3822.6438257622503,3824.55216400438,3826.317400852646,3827.9500452775032,3829.459826446806,3830.8559381934065,3832.1468010602966,3833.339731848575,3834.4416798871143,3835.4592402827157,3836.398653920102,3837.265807461925,3838.066233348762,3838.805109799114,3839.487260809409,3840.1171551907873,3840.698654169925,3841.235172659531,3841.7300307709406,3842.1863611713575,3842.607109083855,3842.9950322873756,3843.3527011167316,3843.682498462603
B,0.40871618645047547,0.6102467886857668,0.8826705650744789,1.2376528642562825,1.6867729056062495,2.2422229873861075,2.9173119355461723,3.726777544512568,4.687124171038718,5.816848815839901,7.136679897217259,8.66989325092265,10.44247075616731,12.483429789340363,14.825209246645128,17.503742622196278,20.558914582362696,24.034991063945675,27.98090038094727,32.45031747771057,37.50235342837258,43.20204314310906,49.62032876998874,56.83408673662556,64.92692688521454,73.98994411316839,84.12070630938167,95.42313610504976,108.00808477601844,121.99469205958022,137.50730510088036,154.67472502847428,173.63052970258036,194.5149923861619,217.46901105994618,242.6319716180525,270.1421086446051,300.1388447852423,332.75282712222236,368.1025442870622,406.2959125107105,447.43232448669926,491.58916295549636,538.8189366918514,589.1545551693371,642.6083838487065,699.1595651946029,758.754041426248,821.3146122118045,886.7351012219499,954.8745881538251,1025.5618911949196,1098.6054382708364,1173.7879997383827,1250.8679295244062,1329.587028150644,1409.67420712687,1490.848592879968,1572.8223457207964,1655.3064587290005,1738.0107860060164,1820.6535228232165,1902.963280403474,1984.6798699371977,2065.55116806711,2145.344512021943,2223.849416300943,2300.875212059964,2376.2439219938633,2449.799216083373,2521.4082978476513,2590.9606129994386,2658.3603952449685,2723.5304415436694,2786.413260637611,2846.9706133013783,2905.1774002440447,2961.021966833134,3014.5065137852625,3065.64638011482,3114.4675754155255,3161.003996993347,3205.298191922386,3247.3997210277257,3287.3649403838463,3325.2541691673723,3361.132212347316,3395.066671013357,3427.1273864870896,3457.3861823183342,3485.915419468414,3512.788607758798,3538.0787212302303,3561.857956098832,3584.19770109296,3605.1679793547755,3624.837964311213,3643.2749775282964,3660.544120072483,3676.708272510668,3691.8280840993857,3705.9621517274463,3719.16715314976,3731.4973191287227,3743.004382562549,3753.7375784852634,3763.743644066708,3773.0671639851585,3781.750754329719,3789.834759130747,3797.3574383072682,3804.3549676685643,3810.861438914174,3816.9088596338934,3822.5273759610927,3827.7457702613956,3832.590672079071,3837.0872415555327,3841.259228353585,3845.1289716574147,3848.7174001726007,3852.044032126105,3855.127020811268,3857.983786010642,3860.6300333355234,3863.0803713469245,3865.3486192762552,3867.4478070253226,3869.390175166334,3871.187174941888,3872.8494682649894,3874.3869277190342,3875.808881575295,3877.1238684326436,3878.3393103847143,3879.4622577091695,3880.4994022183046,3881.457077259046,3882.3412577129616,3883.1575599962493,3883.9112420597444,3884.607203388917,3885.249984007994,3885.8435038862267,3886.3912291819306,3886.8965324768506,3887.362596444751,3887.7924138514227,3888.1887875546736,3888.5543305043393,3888.891465742277
C,6.2773520653889445,7.348793428177623,8.579972946555854,9.987110188469135,11.586744053776213,13.396453223985135,15.435374532869734,17.72452594956575,20.28714754789415,23.14892838265038,26.33824995625756,29.886465986807515,33.828060363803814,38.2010147951942,43.04704252095799,48.41163190790242,54.34455288190396,60.90024690244675,68.13780250504259,76.12099361122809,84.91903380168463,94.60698597261265,105.26512355163003,116.97888965357382,129.83975468166503,143.945966604688,159.4004738694126,176.31063272704927,194.78884057204422,214.95408218019926,236.92742169000869,260.83090076503265,286.78805899257225,314.92622111591254,345.36905277874075,378.2340557471858,413.63341857646714,451.67687878744647,492.46104155146986,536.0660143413592,582.5579077499458,631.9913122824009,684.3965619005644,739.7774065259631,798.1171821952307,859.3782635094103,923.491768160049,990.3581079260332,1059.8567793215157,1131.8419135307522,1206.1389602739832,1282.5488329457949,1360.856257704449,1440.826979856296,1522.2099196564545,1604.7432936564426,1688.1573108963034,1772.1786913089227,1856.5332987406402,1940.9496961036098,2025.1590521169987,2108.904222155044,2191.941477427957,2274.0397622732003,2354.9777645685317,2434.5539650795386,2512.5887363944084,2588.9218720643667,2663.4055341296935,2735.9123570909055,2806.3364977594388,2874.5924245079527,2940.608208593325,3004.3286742646787,3065.715978099068,3124.7491820739738,3181.4189462743057,3235.7277253969437,3287.6898263087205,3337.330747211041,3384.6850661481753,3429.794079994951,3472.7062853441644,3513.4759102960493,3552.1627287164906,3588.829674301408,3623.5432585644444,3656.372047413248,3687.3861809895006,3716.657156505027,3744.2566251332983,3770.2568903559986,3794.7294516921993,3817.744798751266,3839.3723867033677,3859.680182438503,3878.7350993338523,3896.602147964408,3913.3441280745747,3929.02162857818,3943.6930222472106,3957.4146417402767,3970.2408777211695,3982.223762507176,3993.4129323511484,4003.8556274415037,4013.596691902226,4022.6788931761603,4031.143066164756,4039.0278701500056,4046.3699839451256,4053.2041058960995,4059.5629538816734,4065.4772653133527,4070.976001377582,4076.086788393456,4080.8352041108237,4085.245429682921,4089.3403045726945,4093.1413265528045,4096.66865170562,4099.94109442322,4102.976169533884,4105.790669912517,4108.399755929321,4110.817544828816,4113.057397753319,4115.1319197429475,4117.052959735614,4118.831610567039,4120.478208970732,4122.002335578006,4123.413044835154,4124.718630585721,4125.926323272186,4127.042993458441,4128.075164405125,4129.029012069619,4129.910365106047,4130.724704865282,4131.477165394933,4132.1725334393595,4132.815247504132,4133.409152598357,4133.957656651253,4134.4640723188395,4134.931527098702,4135.362963330002,4135.761138193474,4136.128623711428,4136.467806747746
D,23.102766643811986,28.08093411760109,33.90171620925852,40.64784133211351,48.40037746287168,57.243619588031166,67.26848316757179,78.57447101355325,91.27167261310791,105.48199534387597,121.34028926436903,138.99591039661064,158.61332934562614,180.37380594531174,204.47657545406696,231.13903732877526,260.598965280401,293.11634884883455,328.97320869358447,368.47374029842524,411.9477542540954,459.7525488476217,512.2697431948301,569.9050586588485,633.0922551178971,702.2966015854054,778.0049217673236,860.7241750585457,950.9844126329779,1049.3460010333597,1156.3783932745703,1272.6549405327983,1398.755433453874,1535.2768303738846,1682.7985966111828,1841.8711114544271,2013.0198226075015,2196.7586106482204,2393.540435884663,2603.741919780361,2827.6750426410613,3065.598506986039,3317.6591064555582,3583.881082088239,3864.194324243987,4158.431618944913,4466.281048456496,4787.288381263691,5120.901598457776,5466.450068553986,5823.128582873254,6190.0161878888375,6566.114517449608,6950.334110511565,7341.50368582034,7738.398621389934,8139.753766487458,8544.28330397125,8950.692763947938,9357.696566498671,9764.017882840495,10168.430436459923,10569.766617926842,10966.915481035487,11358.809257213494,11744.470750626333,12123.02352768808,12493.68087605468,12855.713697840978,13208.488550390368,13551.473674830379,13884.233427151741,14206.396768151946,14517.672491269484,14817.85302557955,15106.812466966781,15384.481122327032,15650.84648744275,15905.954440198326,16149.906202673768,16382.848030817437,16604.95947342787,16816.456345070896,17017.58385817174,17208.615699883867,17389.842001335197,17561.57144340075,17724.124189504673,17877.829547586723,18023.024855342657,18160.049130920004,18289.245717938178,18410.955207934352,18525.51440782722,18633.256207291048,18734.50697745009,18829.588785849417,18918.815227429826,19002.48982280649,19080.90601826893,19154.34711486724,19223.08681700514,19287.389970806536,19347.51030448226,19403.690189388482,19456.160640026716,19505.141314043783,19550.841914989138,19593.46297091378,19633.194655462736,19670.217558564033,19704.70268643522,19736.811461583322,19766.69572280489,19794.4986888198,19820.357094487437,19844.397819573463,19866.74089769761,19887.4997728871,19906.78129957666,19924.685742608515,19941.3067772324,19956.731694340848,19971.044240811032,19984.320207883065,19996.630238547343,20008.04121703395,20018.616268812708,20028.41476059314,20037.492300324473,20045.90073719566,20053.68816163538,20060.90006007516,20067.578188507367,20073.759014892305,20079.4772002738,20084.765661399055,20089.65557071861,20094.176356386364,20098.35570225956,20102.219547898792,20105.792088568007,20109.09577068207,20112.15009491825,20114.97237700172,20117.579433063762,20119.987146385673,20122.210467398698,20124.263413684082,20126.159069973044,20127.909588146784
E,3.1844341688172073,3.637283399846058,4.170767341132963,4.79685698272085,5.527912315120565,6.377202314666632,7.3592926486217305,8.490302701091736,9.788193059789839,11.272969515337586,12.96692123230663,14.894900874337445,17.08449630291697,19.566364136225047,22.3745866663429,25.54674303050242,29.12438083568338,33.153433896034706,37.68447862865383,42.772816723897016,48.47916845084537,54.87015113529613,62.01822928073891,70.00173879114584,78.9056917276367,88.82252101794047,99.85104422848336,112.0963432056969,125.67035421718344,140.69321955248355,157.29023669141037,175.59111998690074,195.7303517174481,217.8490832445127,242.08918814626855,268.5911898388721,297.4946402045242,328.94040129318057,363.0609129331798,399.9769085381794,439.7989304214032,482.6292676529192,528.548727658545,577.6138144192715,629.8617337534939,685.3093711222662,743.9406701434239,805.7065700131467,870.5346912008694,938.3234522456212,1008.9360583969649,1082.204842913653,1157.9410154386408,1235.9291253530246,1315.9280382836296,1397.6788558704006,1480.9086954378367,1565.333402982461,1650.6603076440624,1736.5943964503876,1822.8384303589633,1909.1023036606252,1995.1051511492897,2080.5766043534245,2165.2536888906475,2248.8924383203243,2331.270752675842,2412.1861687903624,2491.448930220641,2568.891058366279,2644.3685830078293,2717.7602649425426,2788.960032624921,2857.88093455059,2924.456604856985,2988.640806758817,3050.4010842662947,3109.7190892066155,3166.5912486157454,3221.028054460989,3273.051453019549,3322.691847288582,3369.989062108362,3414.990689892831,3457.751855395823,3498.332123683545,3536.796069931316,3573.2115858922402,3607.64929347711,3640.1822581852284,3670.8843417895346,3699.830902640306,3727.0970219498986,3752.757240988608,3776.885526503441,3799.554584448906,3820.836428945703,3840.801316631298,3859.5173323415556,3877.0503891107387,3893.4642056155303,3908.820418805997,3923.1787891172335,3936.596585772115,3949.1285194017237,3960.826742045362,3971.7408471505382,3981.9181966369365,3991.404134193204,4000.241665781805,4008.471613644554,4016.1326163040562,4023.2611285637026,4029.891421507674,4036.0558099789205,4041.7851751361677,4047.1081568151694,4052.051833885596,4056.6417837905947,4060.902082546794,4064.8553047443,4068.522523546694,4071.9233587959243,4075.076650584733,4077.9994296375785,4080.7075528572377,4083.2160260940504,4085.539004145929,4087.6897907583493,4089.6808386243565,4091.5237493845607,4093.2292736271447,4094.8075780859954,4096.267990785745,4097.618635529008,4098.867230976021,4100.021105069332,4101.087195033793,4102.0720473765705,4102.981817887133,4103.822271637258,4104.598782981038,4105.31633450659,4105.979241895854,4106.5913288878855,4107.156311945466,4107.677699876638,4108.158793834712,4108.602687318258,4109.012266171115,4109.390208582379
F,2.5498992964054485,3.3122068048829543,4.25022778968508,5.384880397481069,6.73642913343623,8.325835888073861,10.175703491583477,12.310826659067517,14.758758889649735,17.55016551028182,20.719148639566008,24.303717486592166,28.3459697621824,32.892552092382324,37.99509969231716,43.71031056127248,50.1005546289652,57.234427885011456,65.18689395203288,74.03935493915303,83.88059909175057,94.80738409650054,106.9239118546324,120.34180721941367,135.18120228931093,151.57172647800667,169.65028216510046,189.56073958523262,211.45472649877254,235.49357698977025,261.84305039086627,290.67203391840184,322.15312424934757,356.46547269931426,393.78557577487476,434.2841237116058,478.12688450792206,525.4782416335287,576.4873479679211,631.2836415919694,689.9796999982186,752.6742999023353,819.4350643416851,890.2950831707659,965.2606115200863,1044.3100957665165,1127.3791413163929,1214.360934660448,1305.1193398862288,1399.4821655137023,1497.2352865476398,1598.1283035328975,1701.886483559877,1808.2055285857305,1916.7538189803563,2027.1815758564778,2139.1250614687306,2252.2116174088783,2366.063246117385,2480.3028039638307,2594.5539944284824,2708.4536417696727,2821.6542082593596,2933.823920316867,3044.642754212687,3153.8167328391582,3261.0811544753215,3366.197431016715,3468.943734944835,3569.1263682194954,3666.5818395161537,3761.175209581537,3852.7906378374246,3941.336047743056,4026.7444166111345,4108.97318858675,4187.996580296642,4263.805915940301,4336.410065876158,4405.83453650093,4472.118356806281,4535.310547169003,4595.471052173926,4652.668673839343,4706.980794194589,4758.489767348413,4807.283567581809,4853.453660780501,4897.094300817494,4938.30219781103,4977.174641785234,5013.810290993883,5048.307042242818,5080.761722040115,5111.270047719211,5139.925877940421,5166.821873724262,5192.048238723287,5215.69224405089,5237.8382282813,5258.567579534801,5277.9589279936345,5296.0883444421615,5313.028665955151,5328.849427376049,5343.616861316989,5357.393898158783,5370.240595174666,5382.214370150929,5393.369633447934,5403.758022856625,5413.428403600528,5422.426868335733,5430.796737150909,5438.578844009454,5445.812174073158,5452.532855776236,5458.775048478536,5464.5710185243,5469.951139242193,5474.943890945274,5479.575860931013,5483.871803401057,5487.855469364743,5491.54831766418,5494.970331155907,5498.140422012161,5501.076431720869,5503.79513108566,5506.312220225854,5508.642328576467,5510.799014888211,5512.795097781532,5514.642329583538,5516.3509525627105,5517.930698937033,5519.390808836357,5520.740030302401,5521.986619288737,5523.138339660808,5524.202463195915,5525.185769583223,5526.094545102765,5526.934236044458,5527.709669314073,5528.425536442979,5529.086266946674,5529.696028324774,5530.258726061015,5530.77800362326,5531.25724246349
G,0.44702587269267907,0.6049733086782481,0.8070371297262176,1.0597764173974378,1.369826018886842,1.7442709861004224,2.190922841288647,2.718498143649181,3.3368167401881075,4.056939810099247,4.891325897503505,5.854028889381658,6.960809395955983,8.229351971567494,9.679541182976749,11.33351654738437,13.215986085911108,15.354530493510655,17.779871332652387,20.525945418093077,23.63038909799393,27.134916851939966,31.085539024785373,35.532611021798374,40.531445889502585,46.14287765667336,52.43310467797021,59.473710107192744,67.34219147637423,76.12291049209729,85.90594915129356,96.78687300423537,108.86708949205442,122.25516138776334,137.06392851847437,153.4095387270078,171.41167973784314,191.19503602531205,212.88369073717027,236.5992001853284,262.461146355501,290.5881896894781,321.0890366888622,354.0602917885882,389.5887700069174,427.75027599899573,468.5988846686421,512.1661924592863,558.467148140547,607.4942280635759,659.2098046306187,713.5488008058119,770.4263502855094,829.7297501641951,891.3166960056941,955.0225311129835,1020.6643223296863,1088.0383218739094,1156.9214369586293,1227.079674950643,1298.2687626868137,1370.239053560761,1442.7373173454253,1515.5120449471049,1588.3114315375742,1660.8927435884868,1733.025513990998,1804.4911276706737,1875.0796734803205,1944.5967652230536,2012.8678477586473,2079.737399838045,2145.062736555656,2208.7180771871526,2270.5979161822843,2330.616717266358,2388.7025988063556,2444.7977667952064,2498.860811159451,2550.866229929124,2600.801529523489,2648.663600351587,2694.4608480489474,2738.211842584766,2779.9450358667164,2819.6948092349307,2857.502258272654,2893.4139267842306,2927.4811743899636,2959.7597917483163,2990.30757747192,3019.185430672003,3046.4554940319244,3072.18083270052,3096.4253812215993,3119.2527344536293,3140.7268950450893,3160.91110756879,3179.8672920480517,3197.6560439566992,3214.3365594396228,3229.9664159340537,3244.6020896942523,3258.298026785509,3271.10650795208,3283.077648617173,3294.2593988829594,3304.697729571187,3314.4369542263566,3323.5193695267203,3331.9852155186777,3339.872675617213,3347.217876605897,3354.0548886368833,3360.415930467853,3366.331914046075,3371.8316970012447,3376.942596114048,3381.69043741496,3386.0995561842515,3390.1927969519793,3393.9915134979947,3397.5156175729544,3400.7842934918326,3403.814981160357,3406.6239357546974,3409.226543299081,3411.637320665795,3413.869915575182,3415.937106595645,3417.8508031436436,3419.622045483697,3421.2612967824284,3422.7782099400342,3424.1811932544265,3425.478236172357,3426.676924567135,3427.784440738628,3428.807563413261,3429.752667744018,3430.625725310439,3431.432304118625,3432.177567555933,3432.8659985880377,3433.501573278781,3434.0881524054703,3434.6293829519814,3435.1286981087633,3435.5893172728347,3436.0142460477887,3436.406276243785
H,0.40077325687365833,0.5701066494758716,0.7924591725015812,1.0760209295880563,1.4290751314755525,1.8604153371872414,2.3796478200873854,2.9973819264066863,3.725436720739437,4.576981048700352,5.566684847043038,6.71091070311322,8.027815689688419,9.537561379920328,11.26253842885351,13.227409333236626,15.459398367474186,17.988552583354455,20.84788034749396,24.073397766134793,27.704559926757057,31.78455160022299,36.360194252472475,41.481953184217744,47.204432725307285,53.586840458042545,60.69221103232598,68.58730712827926,77.34297784259908,87.03502799182272,97.74210705191527,109.54519072330481,122.52780947511175,136.77729801900816,152.38083716201396,169.4240751049825,187.99142584669525,208.16761133528624,230.03136455193336,253.6533281340584,279.0971685635118,306.4209224805594,335.66866159901656,366.8687687948376,400.0373302569128,435.177588250128,472.272229005467,511.2834369437269,552.1591362250257,594.8294379613518,639.2031688659641,685.1706202164723,732.6096020920058,781.3822302177775,831.3356835302254,882.3070120100814,934.1253986563574,986.614020124919,1039.5917618324654,1092.8768124058513,1146.286692122135,1199.6440374196038,1252.777875466203,1305.5241854698243,1357.723955963866,1409.2302303210918,1459.9098040011284,1509.6417970588511,1558.3132824463514,1605.8248272485441,1652.0917406967196,1697.0432786334702,1740.6179897649777,1782.7660896336256,1823.450263272564,1862.6453813383343,1900.3346352508681,1936.5097259110348,1971.1712054896605,2004.3280364034658,2035.996012778676,2066.1959569740234,2094.9542704964238,2122.3019187489194,2148.274289718626,2172.909343059334,2196.2479521377345,2218.3328685141855,2239.2083678977583,2258.920079842457,2277.5140144226234,2295.036977924128,2311.5355078108855,2327.055715829474,2341.6432678352303,2355.342988136306,2368.199197685619,2380.2550814038536,2391.5524446655513,2402.1317132991103,2412.0319225241888,2421.2907999101812,2429.944876332961,2438.029135135503,2445.5769750802237,2452.620210348991,2459.189070543107,2465.312407293898,2471.0178155270364,2476.331446167236,2481.278112848664,2485.8812919158777,2490.1631224238226,2494.144406137838,2497.8447473422057,2501.2828677164784,2504.4761120632184,2507.440875420505,2510.1926399744843,2512.7459750593607,2515.1145371573966,2517.311069898921,2519.3474332812557,2521.2350095832403,2522.984075242497,2524.6041950204894,2526.104419160245,2527.493283386355,2528.778808904977,2529.9685024038317,2531.0693560522054,2532.0878475009495,2533.0300999096607,2533.9017231811636,2534.7075989677164,2535.452365292802,2536.1404252533293,2536.775947019632,2537.3628638354726,2537.9048740180347,2538.405440957928,2538.86779311919,2539.294923385551,2539.689417885511,2540.053564714529,2540.3895905018094,2540.6995972322065,2540.985562246226,2541.2493382400216,2541.4926532654013,2541.717110729821
I,1.3974675000805052,1.8200736704919795,2.3417689584571213,2.975213145764396,3.7328913960347987,4.627829370921175,5.6740918177722435,6.887076052980195,8.283815077044052,9.883168900067615,11.70600847280106,13.775463172518716,16.117028181604855,18.75883311320604,21.731857440194833,25.069967444409173,28.810275787994378,32.99344707714111,37.66372512305246,42.86896635994512,48.66119411380295,55.09692504904153,62.23677687717574,70.14544706379169,78.89236158812471,88.55226075179232,99.20381148940015,110.92941637861648,123.81572586498275,137.95482495678868,153.4411302623919,170.37063916722872,188.84136877423128,208.95511756581334,230.81220583866025,254.5097197803097,280.14215682831326,307.8035942467982,337.5798825571097,369.5461800346293,403.7686853096515,440.30644556664186,479.20154501261584,520.4772218338603,564.1421903992953,610.1900374096995,658.5904736517583,709.2894926391792,762.2166666686749,817.2810669082035,874.3674107225412,933.3391944700131,994.0455730179265,1056.317713277375,1119.969651405516,1184.8037520205282,1250.6133101037076,1317.1846604118882,1384.2991276361158,1451.737215245017,1519.2786646828667,1586.7091597604544,1653.821810015007,1720.4179332739018,1786.3047602613342,1851.30379245602,1915.2528401748748,1978.0043894508192,2039.4204979823025,2099.3793778326935,2157.777017629673,2214.526245853049,2269.5511525520014,2322.7899728504954,2374.1961900488923,2423.738199878535,2471.394594390883,2517.1543896565936,2561.017559625384,2602.9945153317635,2643.1041503023494,2681.3715790505576,2717.828898480512,2752.5139695307626,2785.470239951839,2816.7444014108614,2846.386823013071,2874.4503167589874,2900.989699644236,2926.061575808016,2949.7230712305727,2972.032377661438,2993.04743841293,3012.825750612359,3031.4243387105134,3048.899219367667,3065.3058328706466,3080.698259004265,3095.1289041850087,3108.6485014610353,3121.3060921478586,3133.1490966997194,3144.2234809340475,3154.573299025994,3164.2406419773406,3173.265637616497,3181.6864505984986,3189.5395256832544,3196.859746098784,3203.6802023746213,3210.0323091686187,3215.9458052680243,3221.4487535894787,3226.56754117902,3231.327051525518,3235.7510579876275,3239.861614705489,3243.6795766889454,3247.224645072186,3250.5153671137487,3253.569136196516,3256.4021918277194,3259.0296563643165,3261.4660481797873,3263.72449513846,3265.817223024678,3267.7558023690576,3269.5511484484896,3271.213521286134,3272.752525651428,3274.1771110600776,3275.495571774064,3276.715751877789,3277.844848939148,3278.889134014753,3279.8545657082204,3280.746801249038,3281.571196492562,3282.3328059200167,3283.0363826384973,3283.6863783809667,3284.2869435062553,3284.841926191541,3285.3546604522912,3285.828100877654,3286.265119076341,3286.6684263787,3287.04057383672,3287.383952224025,3287.7007920358783,3287.993163489181
J,0.6484511104611254,0.809351882978118,1.0088304330107873,1.253614432773438,1.5511591681986197,1.9098299163918402,2.339069330930048,2.849540428114314,3.453306820236156,4.163980618630319,4.99692946422687,5.969491813057887,7.101148508873099,8.413812512007052,9.932195910236102,11.683889450628747,13.69980131013879,16.014566882198057,18.6669668804858,21.70004164384803,25.161752835786643,29.105526004070484,33.59070842568998,38.682657239254155,44.453609823452936,50.98348382999864,58.360047775691356,66.67901998851728,76.04488911884756,86.57223084604816,98.38488664288033,111.61585074561738,126.40790045118929,142.91544361238448,161.30170713899858,181.73784705579865,204.40339538576836,229.48830603697715,257.1867156150155,287.69481828526835,321.21152354557256,357.939895816567,398.07593613665097,441.8058330961213,489.30839383076,540.7532201875288,596.2856416183646,656.0252389784285,720.0725608284123,788.4999400299827,861.3384917620416,938.5808104875877,1020.1911282571816,1106.0899738177818,1196.148706657144,1290.1996682299284,1388.0428145888588,1489.4350618541428,1594.0907888742029,1701.6971395603575,1811.915938651656,1924.3841341374107,2038.7158542316868,2154.5161448660865,2271.3799512229743,2388.902090078696,2506.682301556564,2624.3277530250853,2741.4546846369085,2857.694628392573,2972.704470852978,3086.1661521075694,3197.779606017597,3307.268922869161,3414.3912958584237,3518.936843577645,3620.7186197426477,3719.573187379712,3815.3676868357766,3907.9995967016985,3997.3913569174674,4083.4828677058586,4166.237548232756,4245.640871759486,4321.69978572437,4394.434045595289,4463.877949815334,4530.079379054852,4593.098653664063,4653.007643151422,4709.883694610224,4763.812468740401,4814.884770760823,4863.1958759586105,4908.845393207078,4951.933842628643,4992.564347723448,5030.8406076966385,5066.865582390243,5100.741492283179,5132.569557940026,5162.448716629562,5190.477336200864,5216.750998232342,5241.362106936449,5264.399889159677,5285.95039438256,5306.096452711716,5324.918432205059,5342.493660480944,5358.895932403499,5374.195510081011,5388.459122865946,5401.749967354926,5414.128014094214,5425.650963366445,5436.37311692131,5446.345967762383,5455.618268410035,5464.236030901429,5472.242526790519,5479.6782871480555,5486.58119140802,5492.987817740184,5498.931629147484,5504.443875030972,5509.554150428596,5514.290396015189,5518.6788981024865,5522.744288639108,5526.509545210563,5529.995991039263,5533.223877666861,5536.211970800043,5538.97663758694,5541.533437014479,5543.897149813905,5546.081778460804,5548.100547175092,5549.965901921005,5551.6895104071245,5553.282262086348,5554.754266054843,5556.114296525087,5557.370135847825,5558.529353564137,5559.5991074540225,5560.586143536413,5561.496796069162,5562.336987549052,5563.112228711788
