Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,448390.49217366794,448001.5226258111,447555.49468030635,447051.96700475825,446488.1792920215,445859.7252984344,445160.95905398426,444385.16918413225,443524.71477368486,442571.0668802994,441514.7727609598,440345.49795993755,439051.95862924744,437621.9381009235,436042.1920038108,434298.42116312054,432375.3375180508,430256.74375028,427925.3586459278,425362.8064570965,422549.99108999746,419467.3662995346,416094.6507845413,412410.8249960785,408395.00470548734,404027.2556090968,399288.100413429,394158.5071272489,388621.21207697364,382662.68606814597,376272.0589213608,369441.02579580375,362165.491466911,354448.86839936976,346299.7250565929,337731.4094362571,328763.89637400664,319427.3186556072,309757.6325730472,299795.725198195,289589.397190825,279195.0946171759,268671.7113777793,258079.6181379973,247482.6509140379,236946.69757905442,226533.90179924207,216302.39816188288,206308.33988023832,196602.55040722064,187227.63963250397,178218.87364401575,169606.06360591768,161411.02376309122,153647.3016412508,146322.0940740237,139437.24808861798,132988.97551484397,126968.29693214237,121362.85722059396,116157.3007748328,111334.22812858733,106874.5283377033,102758.17003366619,98964.19297024867,95471.8784449825,92261.14634317264,89312.44117840822,86606.29867291072,84124.21711209719,81849.03276392074,79764.81475674066,77856.10832035921,76108.40378275275,74508.49058434082,73044.42590055402,71704.8855661431,70479.18502765146,69357.6528662229,68331.60405336866,67393.09093014005,66534.5040183487,65748.93869376261,65030.17726667172,64372.66909662091,63771.17590522587,63220.81693592231,62717.18164426168,62256.305364323176,61834.641395934224,61448.81216840274,61095.71025076987,60772.51844163066,60476.696298755196,60205.976066344665,59958.22351048163,59731.45041278528,59523.85531759371,59333.799851944976,59159.80872557697,59000.558428355645,58854.779004188815,58721.31755066138,58599.12243239982,58487.23268977182,58384.778038886274,58290.97887159334,58205.10611987516,58126.474924910355,58054.47550628189,57988.54477247315,57928.166320660865,57872.87043671513,57822.23409519943,57775.87080469959,57733.40598083897,57694.51619678954,57658.90255170289,57626.28812488937,57596.417975817945,57569.059144116305,57544.00064957079,57521.05242361808,57500.02852564043,57480.768545678104,57463.1281966106,57446.972780553566,57432.17718885873,57418.62590211398,57406.212990143336,57394.84211200691,57384.42651600098,57374.885136346464,57366.14131607777,57358.13014637483,57350.79113312607,57344.068033337026,57337.90885513033,57332.26585774578,57327.09555154019,57322.35869798759,57318.02030967906,57314.04962486246,57310.413960745565,57307.081955262074,57304.027766593776,57301.22777616822,57298.66058865881,57296.3070319847,57294.150157310854,57292.17523904806
B,439671.9190995545,439411.0959136726,439101.9731233714,438743.25416762533,438331.6341656645,437862.3470717554,437329.48357799184,436726.11445780087,436044.38016290567,435275.5063592834,434409.7491736576,433436.4131147392,432343.77757765533,431119.08726092696,429748.45935977437,428216.8578139999,426508.12893712573,424605.0679320404,422489.2794148492,420141.1692421303,417540.2851972878,414665.5972403606,411495.29150615743,408006.77373416716,404177.5387804367,399986.01863151335,395411.2177133178,390432.7192354955,385032.0437972304,379194.6897834165,372909.17119418026,366166.951160442,358964.11727602413,351304.7671682098,343198.63686189055,334660.71742906084,325713.074525448,316388.3473728358,306725.22961615206,296767.5081567994,286565.93298052676,276179.7715875252,265670.4255958637,255100.40005902218,244535.1720520483,234041.67079263428,223682.50676152963,213515.71250624018,203596.77315569553,193975.39021401512,184692.7646169454,175782.5061512456,167272.59087412234,159183.02021139627,151525.65809757513,144306.13376887428,137524.86317953648,131176.8944846147,125252.36758618082,119738.23359487113,114618.62347293308,109875.8377521107,105490.67099398129,101443.1073948112,97712.29026983948,94277.6922313231,91119.49381567634,88218.44977963145,85555.41128306242,83112.21124409384,80872.01414829906,78819.20953321099,76938.65776611795,75216.15181204956,73638.75755194573,72194.78241297622,70873.14035657719,69663.37211670239,68556.00743323298,67542.53843971342,66615.17751686905,65766.46915500637,64989.64578325,64278.6100764916,63627.91564496771,63032.422524855276,62487.3407567383,61988.339743969125,61531.524625072925,61113.40913391928,60730.67350221783,60380.26246735282,60059.40491157748,59765.60077565851,59496.61708899646,59250.35219949664,59024.84771948175,58818.32843534715,58629.17926396734,58455.94525269584,58297.32051855457,58152.05195851813,58019.001293137015,57897.12987711451,57785.48835662937,57683.21666933573,57589.54404436312,57503.74949403532,57425.15532963682,57353.15777992144,57287.199208205224,57226.768112163176,57171.399123829266,57120.673009596445,57074.20661463853,57031.628267160675,56992.616702742875,56956.87498170507,56924.12797852891,56894.12238185785,56866.62669449708,56841.431233413605,56818.3470635334,56797.189114058594,56777.79741205784,56760.0280310793,56743.74661788999,56728.828392475705,56715.15814804106,56702.63025100947,56691.14864102321,56680.62683094331,56670.98393616692,56662.1431525064,56654.03936387035,56646.61190179939,56639.80438134469,56633.56470106805,56627.845043041816,56622.601872848936,56617.79593958293,56613.39227584792,56609.36017095911,56605.66669333403,56602.280118794435,56599.174426780104,56596.325842483646,56593.71283685034,56591.31612657832,56589.118674118414,56587.10568767429
C,579392.3470195844,578681.4416938797,577882.4145351683,576991.4930494602,576002.4549392755,574907.2728258541,573696.4919955481,572359.3868853393,570884.0786094548,569257.5690609515,567465.7187130773,565493.26908323,563323.8022138263,560939.8408331877,558322.722629343,555452.5732263504,552308.554267796,548869.0671228117,545111.5424260423,541012.450531249,536548.0574055298,531694.9439998044,526429.6053737035,520728.4595404386,514569.340194523,507932.8107094783,500801.28473626083,493159.0057195387,484994.00202773244,476300.8993366863,467078.8678827443,457331.39126796776,447068.36623528076,436310.2227777209,425083.87558488146,413421.9517520059,401364.8495101209,388964.47069443023,376277.87116361817,363365.86536953214,350295.104681191,337139.42725826404,323972.252991058,310865.4052396272,297891.39915448707,285121.7606659826,272621.09584106965,260446.98227496716,248652.6215688191,237283.75492748787,226376.3650901014,215957.81339685534,206049.184333831,196663.32724700533,187805.00670863385,179472.8396231224,171660.35857047586,164356.24364888112,157544.85788403518,151207.7329071559,145323.890786989,139871.09280921472,134826.17258915582,130165.44609617666,125864.54752086487,121899.82641690821,118248.7226636238,114889.52776482241,111800.62810943986,108961.62767807156,106353.67386650066,103959.32445206562,101761.65072834649,99744.7703873551,97894.21082734344,96196.87174500343,94640.31586388817,93212.79485515611,91903.6470151898,90703.26624739784,89602.83772745376,88593.9162475498,87668.8154524711,86820.58804641146,86043.00483480233,85330.18140741665,84676.62655390074,84077.36052721739,83527.8893202031,83024.17514935674,82562.37377894516,82138.94117815475,81750.65378429742,81394.59419674701,81068.1468206691,80768.84941432976,80494.40657716214,80242.73187866974,80011.92232966902,79800.25838228947,79606.1916633452,79428.2387381527,79265.04972165269,79115.39008177267,78978.12907107858,78852.2397267747,78736.79887070363,78630.9427662577,78533.86033808814,78444.82660866652,78363.17103596956,78288.27751324956,78219.58436903458,78156.58436712835,78098.81320597652,78045.8216595512,77997.21985381014,77952.64694621782,77911.76823809375,77874.27517461237,77839.88534480295,77808.34248154993,77779.41521488788,77752.87739874874,77728.5329489192,77706.20502726956,77685.72844424908,77666.94965888596,77649.72677878731,77633.92956013913,77619.43940770633,77606.1493748328,77593.95941505922,77582.77455815316,77572.51397449794,77563.10230247531,77554.46945210684,77546.55060505401,77539.28621461811,77532.6220057404,77526.50897500195,77520.90339062366,77515.76676010477,77511.05799812976,77506.73753187436,77502.77274218146,77499.13379355583,77495.79363416422,77492.72799583538,77489.9153940599,77487.33712799044
D,3.581943655972078e6,3.5776613027532706e6,3.5728178487416077e6,3.567401853181143e6,3.5613828926459686e6,3.5547171023981133e6,3.5473505350902183e6,3.539220634633276e6,3.530257433019734e6,3.520383980808507e6,3.5095162396667157e6,3.497563563073092e6,3.4844283373292075e6,3.47000654440106e6,3.454187232787801e6,3.4368523618385643e6,3.4178781058999742e6,3.3971361139491256e6,3.3744923259897903e6,3.3498070172985815e6,3.322939140723661e6,3.293749339990995e6,3.2620975951221474e6,3.227843265464595e6,3.1908536923160884e6,3.1510117834245567e6,3.1082108441248136e6,3.062354440831814e6,3.0133676994529124e6,2.961213583229794e6,2.9058809987877705e6,2.8473834480768354e6,2.785771289758712e6,2.7211558142678277e6,2.6536859996816837e6,2.5835441181230494e6,2.5109580062151295e6,2.436223397539376e6,2.3596673959554355e6,2.2816405331928325e6,2.202529438026582e6,2.1227655748116616e6,2.0427808690053658e6,1.9630008958826188e6,1.8838587772322209e6,1.805785543405794e6,1.7291745438764542e6,1.6543806904008207e6,1.5817360321405134e6,1.5115307117948045e6,1.4439983001624118e6,1.3793222958052787e6,1.317649575108897e6,1.259077531117804e6,1.203654322451513e6,1.151390338250777e6,1.1022642445187126e6,1.0562235617202944e6,1.01318773009455e6,973057.3306500516,935715.9507476038,901037.5186842639,868888.334124263,839130.0178557977,811618.5964653497,786213.1166847561,762778.0385544326,741181.9314497104,721293.1986014452,702986.9303007398,686147.146649803,670666.0166524149,656438.442158536,643365.4224725555,631356.4886747283,620329.4846031745,610206.1642391189,600912.3819562496,592380.7163478432,584550.2980388782,577365.1418440344,570771.4654413692,564720.2338706661,559167.0739176592,554072.1403924458,549397.7153881569,545108.5246341098,541172.5517305323,537560.8796083842,534247.4996436769,531207.5989797484,528418.2606444593,525858.6294325041,523509.8214903019,521354.8959293632,519377.8785323664,517563.8440331311,515899.21957349085,514371.622506972,512969.86039879406,511683.8501493386,510503.909533979,509421.2110112052,508427.68011982663,507515.9205699016,506679.214242736,505911.5211908849,505207.182845228,504560.86838670896,503967.8103863231,503423.59964261233,502924.1851801488,502465.8742495341,502045.33232739946,501659.50547973946,501305.42661415617,500980.51716085203,500682.391091749,500408.83573023614,500157.81175116956,499927.4531808722,499716.06739713444,499522.12662047707,499344.1307530909,499180.7746691006,499030.88198780536,498893.3542391937,498767.17086394323,498651.38921342156,498545.144549685,498447.65004547936,498358.1967842401,498276.12021244905,498200.7838845195,498131.646113281,498068.2022471525,498009.9833192238,497956.5560472556,497907.52283367986,497862.52176559943,497821.22661478823,497783.3468376917,497748.62733891525,497716.7912000756,497687.5700811373,497660.7448270267,497636.11510958464,497613.4994275675,497592.735106646,497573.67829940654,497556.20398535026
E,566073.827967888,565653.1079231852,565170.1383230943,564621.8701115143,564003.226999257,563307.6128466328,562527.1956650692,561653.0086012474,560675.015439161,559582.1114221131,558362.0608340085,557001.4901413254,555485.815917317,553799.249759695,551924.6682148078,549843.582029097,547536.2157690951,544981.5953831333,542157.367451252,539039.7920639236,535604.1924745713,531825.3049868366,527677.0011240065,523132.29094956245,518164.4069640822,512747.8395086107,506857.832185555,500470.38317311433,493563.89490908536,486121.6346759522,478130.4840139826,469580.84163582156,460468.63853237114,450799.3911779453,440585.28442408895,429844.69622871943,418604.39581392705,406903.74859186355,394789.3012521906,382313.6406452778,369537.690807056,356532.6426493333,343372.3540406258,330132.13932351395,316891.0881191554,303730.29725007154,290725.951491344,277949.0177625234,265467.7008377343,253343.50940746733,241627.9257816414,230363.47057335067,219585.99198917992,209321.74281479733,199587.12321177128,190390.93232640033,181735.54029948416,173616.62785342775,166023.72238693843,158942.27119224242,152354.0664786937,146238.44188737238,140572.66715602842,135332.8217159976,130493.75154989776,126030.54085975616,121918.98857205742,118135.45531295276,114656.29710066305,111458.9774416094,108522.53120744164,105827.43638428276,103354.68527536104,101086.37491333537,99006.16073817677,97099.21911990923,95351.45151866748,93749.51495712528,92281.30102207442,90935.90575847073,89703.3225106499,88573.94625026725,87539.03997832067,86590.71886885626,85721.92553341774,84925.98561050785,84196.66497211638,83528.3198361921,82915.8674355127,82354.75079063483,81840.62222347941,81369.4723069608,80937.66104048971,80541.90120650019,80179.25317146031,79846.94567242834,79542.39057892362,79263.23971862406,79007.35535411378,78772.81018288313,78557.87266074379,78360.87799079533,78180.3106495592,78014.78706049426,77863.04208073103,77723.92900107168,77596.41954599004,77479.5505731949,77372.41403498391,77274.20009120935,77184.16066879316,77101.60946145571,77025.92192971552,76956.53530088955,76892.93484098205,76834.61936902805,76781.15481794288,76732.13999847678,76687.2032197228,76646.00228911673,76608.22451243715,76573.5866938054,76541.8336581584,76512.7143755833,76486.01100772477,76461.52760882665,76439.08132276106,76418.50238302839,76399.63411275722,76382.33292470443,76366.46832125512,76351.92289442256,76338.58660502476,76326.35400982032,76315.13566132956,76304.84828193292,76295.4145336329,76286.76301805401,76278.82827644279,76271.55078966792,76264.87697821998,76258.75920221169,76253.15572131347,76248.02100256599,76243.310904374,76238.98954704993,76235.02416542653,76231.38510885669,76228.04584121365,76224.98294089088,76222.17610080205
F,794142.5119932425,793342.3408474812,792422.4012570109,791381.7758787313,790214.815595535,788912.5508922116,787463.5531465734,785854.3144723676,784069.5579292394,782092.3485620026,779904.0554540924,777484.4847402438,774811.7716241919,771862.4701999613,768611.4463202665,765031.8400408241,761095.2889676996,756772.1824661309,752031.4071302436,746840.3502148647,741165.7915786145,734974.5477306629,728232.9911378734,720907.0604630051,712964.1211598642,704374.6439728161,695111.1768975372,685148.3277882499,674465.3025650524,663049.5998353956,650894.5570608503,637999.0924379986,624370.5384642152,610030.2537608125,595008.5772517226,579343.8980806482,563085.5398268161,546299.096823994,529058.1483592397,511442.4571598003,493540.9356468196,475453.78994428605,457282.08588021225,439126.1191259182,421088.607604448,403272.368252932,385771.6987541926,368672.1397689488,352054.0634210117,335988.0207051181,320531.06835317047,305728.29955229885,291616.05457009457,278218.72092329554,265548.72364495025,253609.34609845543,242396.24330544067,231897.47843801568,222094.2525028835,212963.25029466112,204477.12916124891,196606.18588633378,189318.84399152285,182582.46580681144,176363.1872961277,170627.86551033534,165344.6465330486,160482.68601078322,156011.21475354728,151901.0683895148,148125.2113975384,144658.55754310128,141476.72130322678,138556.78026209582,135877.8260438009,133420.91308250354,131168.03632964205,129102.16911534344,127207.85723540247,125471.17727139915,123879.34929446186,122420.1152480076,121082.31916818031,119855.88313530477,118731.77632385188,117701.4610869086,116756.96476444267,115891.061856355,115097.23676137906,114369.63990790263,113702.69534333615,113091.26058677683,112530.66162211235,112016.67193214712,111545.5060184891,111113.59722697208,110717.61702667616,110354.54211158454,110021.61705825535,109716.35432582156,109436.51596506438,109179.95398222489,108944.71299067503,108729.00600062474,108531.19738359938,108349.80287243958,108183.48956130125,108031.0095509055,107891.18860029081,107762.97807036413,107645.40859079355,107537.59005966796,107438.71164349698,107348.04177721104,107264.91099374005,107188.66953231735,107118.75390872032,107054.64292000693,106995.8533770969,106941.94010477139,106892.4959416731,106847.15174030633,106805.57450972237,106767.43773208479,106732.45810076912,106700.38041900567,106670.96641549077,106643.99474438682,106619.26098532244,106596.57764339219,106575.77414915684,106556.69685864329,106539.20190291377,106523.1520282393,106508.43057425924,106494.92885367118,106482.54586103211,106471.18827275831,106460.77044712541,106451.21442426849,106442.44992618194,106434.41435671944,106427.05275189532,106420.3057508022,106414.11596382996,106408.4364369231,106403.22426151649,106398.44057453574,106394.0505583968,106390.02344100633,106386.3324957614
G,480391.3132667128,480202.5835147251,479980.3254723569,479722.9460170556,479427.56422695477,479090.3212689395,478706.54952211224,478270.82591701683,477776.9993133121,477218.1778413085,476586.66572808044,475873.9410430328,475070.58664734557,474166.2441442536,473149.49786363886,472007.84655551385,470727.6647491406,469294.18302289443,467691.3293745623,465901.7059779604,463906.7135717345,461686.6565060327,459220.5237859024,456485.9765403367,453459.8137968162,450118.45907317876,446437.68097971164,442392.5799242803,437958.4835878947,433112.34789057396,427832.25388240884,422097.3847985671,415889.37281274557,409195.07121227315,402005.32412669295,394314.84957070195,386124.06669685396,377442.75202702923,368287.23156226054,358679.8999789268,348651.5664553589,338244.1110840817,327505.3793815723,316488.45303495455,305254.2023586245,293870.5300053618,282406.19160210376,270930.44232977077,259515.2316998629,248230.97026800737,237142.2423302865,226308.41810497487,215785.22166663583,205620.22454926034,195851.568197654,186509.9415902582,177619.34219084214,169195.21251062717,161244.64448476347,153768.99740977524,146764.27006962962,140221.458884401,134126.92230652898,128464.21774026024,123214.3551313431,118356.89982009718,113870.55558874011,109733.36076592798,105922.96140519477,102417.25132039908,99195.13736867081,96236.48471831164,93521.46293030244,91031.10332035908,88747.91789565477,86655.87875341311,84739.63371072372,82984.54153681494,81377.27321518074,79905.80080250194,78559.05335944722,77326.34050377733,76197.9290594529,75165.05247667836,74219.88139310591,73354.98159320616,72563.38282933756,71838.79423608222,71175.57299039303,70568.68051298553,70013.27955683817,69504.90013008442,69039.50061919144,68613.44846693473,68223.51363630788,67866.63716571161,67539.94593973953,67240.84409794267,66966.97878211652,66716.240136301,66486.74259109754,66276.65482468647,66084.30648571599,65908.17920308978,65746.89031549131,65599.19287138389,65463.9756290106,65340.193986942104,65226.85166388869,65123.06503778439,65028.02055852555,64940.974747631626,64861.254198245224,64788.25557513212,64721.42802472817,64660.22551296938,64604.17753195318,64552.85081200866,64505.84518327565,64462.79357570484,64423.362019057684,64387.24964290645,64354.18680794035,64323.90332438032,64296.164101822935,64270.759180619294,64247.49316951802,64226.18524566524,64206.66915460455,64188.79321027706,64172.42029502135,64157.42785957356,64143.70041352075,64131.124297001,64119.60397487427,64109.050861664546,64099.383036845815,64090.52524484216,64082.40889502769,64074.9720617266,64068.159484213094,64061.92256671147,64056.21932289528,64051.000956492804,64046.219304779996,64041.8367256497,64037.81901033441,64034.13538340625,64030.75850277688,64027.66445969768,64024.83277875959
H,281509.9594039907,281320.3336466375,281097.76703184826,280840.9083649458,280547.2289968102,280213.3326682522,279835.1334324895,279407.9237271005,278926.42265759106,278384.783691681,277776.5659384562,277094.7397885492,276331.6497572631,275479.0236248642,274527.91016371263,273468.66381430964,272290.99607331713,270984.03037665965,269536.21057270793,267935.29901252437,266168.6305026663,264223.3054391428,262086.0452870946,259743.19561492142,257181.31458688228,254387.72646529577,251350.24549896087,248057.17699425798,244498.18776623215,240665.59695108637,236553.68144320595,232158.61781926345,227479.5193580722,222520.51892183785,217289.18113311875,211796.23233161354,206056.66841997512,200091.8656207326,193926.7116759987,187588.9910260538,181110.53558584966,174528.1595960749,167879.739193307,161203.58654923303,154539.64117609072,147928.5724804702,141408.29610137732,135013.83464035016,128778.62614377412,122732.57721031441,116900.43140806248,111302.33608014327,105955.06795846146,100870.5942328155,96055.97005218877,91514.49719387623,87246.34528637957,83248.42461801262,79514.65903624716,76037.03664662212,72805.82812740057,69810.16333264831,67038.22651447487,64477.69543883896,62115.72152441456,59939.63208492585,57937.16254416373,56096.38213456203,54405.41473415453,52852.969341628996,51428.563413381664,50122.4591967977,48925.20329472901,47827.90999627769,46822.479047689245,45901.57686015735,45058.242174164625,44285.89774427876,43578.582488671374,42930.93609551261,42338.04676341729,41795.20520096858,41298.13284198807,40842.973035338,40426.27879196488,40044.79288342394,39695.47565119099,39375.5781448012,39082.62749102272,38814.40948439287,38568.81233842699,38343.89022830837,38137.878238340796,37949.184109803995,37776.38567886077,37618.14264753802,37473.20396637708,37340.43561848369,37218.80603507437,37107.38609547627,37005.34192653132,36911.871680855285,36826.24609384954,36747.79989011802,36675.9251449237,36610.07128418852,36549.74508449345,36494.48467927264,36443.854752975545,36397.46754109086,36354.96501981442,36316.018905916884,36280.33065674354,36247.631470214474,36217.675636242486,36190.223885353334,36165.06933834388,36142.020872354085,36120.90148206189,36101.54827968313,36083.81249497154,36067.55947521881,36052.66797600104,36039.018722648674,36026.50837694605,36015.04406194477,36004.53912899903,35994.913157765484,35986.0919562034,35978.00756057459,35970.59823544338,35963.80847367667,35957.58628287306,35951.88186841281,35946.653028756584,35941.86048988522,35937.46779605998,35933.44130982257,35929.75021199509,35926.36650168004,35923.26499626039,35920.42333139945,35917.82194179603,35915.43940339724,35913.25492406434,35911.25165866826,35909.41423923011,35907.72877492132,35906.18285206353,35904.76553412861,35903.46736173869
I,426708.6484792952,426325.14575164695,425882.22115453717,425378.83734590386,424811.725173236,424176.04432724975,423465.78083850164,422673.9192090471,421792.5798002024,420813.0655465091,419725.84255637554,418520.58911238133,417186.1468116279,415710.57201683056,414081.0576955214,412283.9116600811,410304.68133707787,408128.2697487278,405738.77736619656,403119.50071199733,400253.37773947604,397123.28729824105,393711.75848584017,390000.970485346,385973.6623775227,381613.93836404,376906.69243398,371837.58908969356,366394.31101451203,360568.3744391436,354353.888821378,347747.4220701069,340749.44575617637,333367.1980980614,325612.25755019137,317500.1129513519,309051.73722373345,300296.52963061753,291268.3089091591,282004.4773527856,272547.75899977353,262947.6550565952,253255.13432953798,243521.83117650184,233801.913765673,224150.9903010438,214621.32113784883,205261.65368047805,196119.13505595905,187236.53582739044,178649.87232542597,170389.15594049462,162480.0143998231,154941.48450448364,147785.75887001544,141019.75046953227,134645.87436954444,128661.72402250944,123060.42152867698,117832.11204575548,112964.24458951475,108442.35862638569,104250.3614137057,100371.21439812012,96786.90952170834,93479.50572038123,90431.47944049795,87625.63771235589,85044.76116886832,82672.37785359396,80493.1231582782,78492.65171714532,76656.97912576955,74972.90974953945,73428.38120187938,72012.43827825916,70714.65197320058,69525.14200107986,68434.93708689706,67435.95452278704,66520.7725720015,65682.26154663402,64913.93408574876,64209.93568570756,63565.02622292546,62974.24699263908,62432.96372129057,61936.98170377224,61482.5241772887,61066.20584715071,60684.794403680855,60335.30800926433,60015.04040618275,59721.54850838371,59452.64848666869,59206.28043456811,58980.519342197,58773.6192683546,58583.99130125328,58410.20355851856,58250.97011568409,58105.05337074539,57971.326462324105,57848.761017073775,57736.41701408489,57633.44278488506,57539.07501343882,57452.598474426544,57373.33818691924,57300.69248338594,57234.10574103894,57173.068381629586,57117.116871448256,57065.833721324285,57018.83713453684,56975.7548364852,56936.26458913296,56900.06865782955,56866.89127246899,56836.478627489945,56808.59888187569,56783.04215915411,56759.61943571799,56738.14450935939,56718.45581567623,56700.408121230066,56683.86592543202,56668.70346054267,56654.80469167209,56642.06331677991,56630.38276667524,56619.67620501672,56609.862220874944,56600.86268916168,56592.61140722051,56585.046757560034,56578.11153510517,56571.752947197194,56565.92261359366,56560.5765664685,56555.675250411914,56551.183522430474,56547.07062178539,56543.30287502756,56539.847611028075,56536.67834221898,56533.7708899312,56531.10338439451,56528.65626473757,56526.41227898789,56524.356484071875
J,798976.2585640542,798763.6132855805,798514.8389730674,798226.1018916781,797892.6269332778,797508.8026115395,797068.2079477601,796563.585978183,795986.7902983868,795328.7249896949,794579.2461217381,793727.068083526,792759.6801497958,791663.2627909346,790422.4828778405,789020.4507685077,787438.6410596381,785656.808603822,783652.735504133,781402.1894506613,778878.9928890873,776055.0725818553,772900.1081520081,769381.502233104,765464.8253661591,761114.3010622499,756292.3724635278,750959.6595584912,745075.9475674608,738601.7807848027,731497.8327191436,723724.8545023431,715245.3286070433,706026.9134874789,696041.136972113,685263.3033408535,673675.0081107344,661269.2412156411,648047.3905663006,634018.8260565884,619204.6277458058,603642.2331922484,587379.4455228581,570473.7327254774,552997.0350048488,535036.0318330211,516683.7361666181,498039.1935710457,479212.1226236143,460316.6258282325,441463.9781456944,422763.4910233803,404325.32016543695,386251.1965598714,368631.17214564164,351546.3427999673,335069.46699461364,319258.75200966396,304157.45293247455,289798.3021492729,276203.6381211055,263383.5887597732,251336.41372468686,240052.83050284642,229516.7934372793,219706.07768043512,210593.24972418317,202146.76698459886,194333.25296917584,187117.3577217852,180463.64523061976,174336.71803430695,168700.99605945847,163521.4763963656,158765.19685902944,154401.2580920189,150399.69476878998,146731.5382198769,143370.15018543237,140291.27457359032,137472.39957130095,134891.61275700832,132528.85227953864,130366.01747848977,128386.90771116491,126576.0538295781,124918.85880088735,123402.15826101255,122014.16650783911,120744.3777250165,119582.62960158105,118519.48955589687,117546.4545724304,116655.91149517725,115841.12177471611,115095.66435372848,114413.4576856453,113789.0258585882,113217.42636927805,112694.250123035,112215.57621268179,111777.54594748726,111376.62332855981,111009.60785797132,110673.59779105752,110365.99013641788,110084.4806559155,109826.89103347686,109591.10824380982,109375.26766153175,109177.65890506616,108996.72583582833,108831.06655822536,108679.43341965612,108540.68875086535,108413.67498467347,108297.39799360071,108190.94636944102,108093.48155064762,108004.23782233296,107922.52231626878,107847.71501088595,107779.26400534037,107716.60031893263,107659.22452460672,107606.69443443732,107558.60010514982,107514.56383812042,107474.24017937608,107437.3159195945,107403.5100941042,107372.57398288444,107344.2708388703,107318.35665741513,107294.62813064647,107272.89787521813,107252.99371899807,107234.75870106807,107218.05107172404,107202.74429247566,107188.72703604677,107175.90318637504,107164.19167597491,107153.48712074006,107143.6822397334,107134.69806827561,107126.46336167028,107118.91459520416,107111.99596414718,107105.65938375224,107099.86448925544
