Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,25.21013115752642,30.472769656847383,36.38630913076813,42.8927548775076,49.98902628219675,57.70773334587196,66.10521876887076,75.2560932805408,85.24866971722096,96.18320518328207,108.17222746880019,121.33866043935939,135.817383696242,151.7542386630175,169.30852424467997,188.65379884637144,209.97627645154753,233.47311508862535,259.3592687936963,287.86836157420316,319.2447076048634,353.73861415200776,391.62096006131327,433.18435257884505,478.72570812576436,528.5290856070543,582.8936305016503,642.1370760301654,706.5686159668561,776.4421838735158,852.0064633370653,933.5146021007379,1021.1844718926836,1115.1092733528674,1215.3401276963118,1321.9057223661432,1434.752924876126,1553.6200254716205,1678.1695091609977,1808.0182579257562,1942.640633942668,2081.247290449775,2222.984524520967,2366.9619986797284,2512.099550682621,2657.102977799691,2800.6975446150127,2941.626522669092,3078.4573802101318,3209.7254628028877,3334.1062504480915,3450.3600961495995,3557.1888576502947,3653.461444988212,3738.270370864889,3810.8330092577385,3870.477670484829,3916.7632490182527,3949.472370229427,3968.5333782838443,3974.0679987999756,3966.3608938691345,3945.840938205838,3913.0573406033463,3868.755286093404,3813.737085096649,3748.8211939231437,3674.8665807870566,3592.8742190272296,3503.846388798754,3408.7233640180684,3308.3970242207743,3203.820680529846,3095.9257980231982,2985.5458255086633,2873.4193747625386,2760.280896446727,2646.8462848578665,2533.73614760002,2421.47689912201,2310.5363267378166,2201.3768804006086,2094.388542286014,1989.8875277926065,1888.119315790268,1789.3109029315879,1693.6572112181536,1601.3018735827795,1512.3409768581428,1426.8274334827363,1344.8071468286416,1266.2996574628883,1191.2971741356826,1119.766896673445,1051.6516560312698,986.8900448879617,925.4110382522695,867.1302801689524,811.9543521632586,759.7807732409243,710.4995570867575,664.005344360045,620.1872257580862,578.9325732959394,540.1286595515311,503.66265766565533,469.42164134197503,437.2965371111365,407.18168313259514,378.9717080522573,352.56465836110533,327.86199841685243,304.7686104439414,283.1927945335468,263.0466651425316,244.24710656480963,226.71377124038068,210.3698064761296,195.14194631032316,180.96051151260937,167.75940958401796,155.47613475695974,144.05170448737292,133.42998988126664,123.55921183386008,114.39048665705158,105.87731948531166,97.97560427568266,90.64362380777901,83.8420496837872,77.53394232846563,71.68475098914485,66.26168112604525,61.23499581592085,56.57859683282668,52.267524401708556,48.277916449062644,44.587008602935526,41.17313419292405,38.01572425017561,35.09530750738767,32.39351039880853,29.893065525485767,27.579951885363222,25.44212731706827,23.46719272654674,21.643331929155753,19.959311649663686,18.404481522250194,16.968774090506255,15.64270480743402
B,8.370579662408552,11.53170546883225,15.276408278735964,19.578234858618224,24.45264587800135,29.94287482849554,36.11145695930968,43.036643327266574,50.80952658463897,59.533148886295145,69.32325024278147,80.30727043558778,92.62584426618231,106.43256593381106,121.89624557700716,139.20160330057544,158.54857880183542,180.15119278800057,204.2431162139439,231.07846930760658,260.92549332919697,294.06207461267184,330.7880662180659,371.42631931500796,416.30682935666044,465.7497008987773,520.0898843485315,579.6803888175506,644.865598894318,715.9338267397834,793.1641710917401,876.8357944042065,967.1874633437349,1064.3248487696596,1168.3023692973973,1279.1429896829295,1396.7771996835131,1520.9103600654587,1651.1603711205466,1787.0897654830658,1928.1060141024286,2073.335141681866,2221.8335879338706,2372.618703469231,2524.510495614696,2676.1088884618475,2826.041851286307,2972.9645137540233,3115.35908364529,3251.687131868737,3380.567966399892,3500.7209136919564,3610.8201353961,3709.7236844475774,3796.5278243817256,3870.466662696839,3930.900688193864,3977.4281956622453,4009.875836948918,4028.223588841975,4032.6532474212827,4023.506248812674,4001.2636606555957,3966.5279063278886,3920.0997813042763,3862.830117313417,3795.5780822126912,3719.2382067388617,3634.847295679001,3543.4366963438206,3445.970224252191,3343.3584061151087,3236.5703991837377,3126.549363143735,3014.137433676262,2900.07907453364,2785.112215111642,2669.953691283514,2555.2237937691502,2441.4476199823303,2329.0905421044763,2218.6110862060564,2110.394881431409,2004.7537811051313,1901.9288715561386,1802.1422107542062,1705.5834428145654,1612.3912377032846,1522.6570546312655,1436.4294656365496,1353.7498641037237,1274.6334321337183,1199.068384748675,1127.0182785143281,1058.4226435401558,993.2168478330302,931.3268056000111,872.6653883989993,817.1366491007363,764.6358218888015,715.0508583271786,668.2744087438624,624.1937972042791,582.694784405527,543.6631633721128,506.9847594559511,472.54543033636594,440.23497153612976,409.94672152209415,381.5744309880514,355.01532376520043,330.1700968434635,306.9429203714824,285.2414376566229,264.97715854477894,246.0664494005998,228.42853119779838,211.98613932405783,196.6656125569087,182.39689306372864,169.1135264017426,156.75266151802236,145.25498822242642,134.56411007578208,124.62804459771706,115.39770991216145,106.82641489600036,98.86985917907418,91.48613314417848,84.63571792706392,78.28148541643644,72.38869825395709,66.92439367010127,61.85873651801257,57.16554046272811,52.81975329881224,48.7974164160432,45.07566479941322,41.632727029128304,38.447925280608565,35.501675324487756,32.77548652661398,30.251970621829006,27.91705828484235,25.758688740312365,23.76440520082098,21.922331677048053,20.221172977771307,18.650214709866376,17.19932327830682,15.858945886164019
C,51.25201737528703,59.00401591010782,67.59424182275447,77.01613119570925,87.30808809818888,98.53841556180689,110.7962332398253,124.18747944657895,138.83173897876333,154.86112200995927,172.42044750292433,191.66665164274158,212.76973453087527,235.9103266516021,261.28409219284316,289.1027454021447,319.5893771702751,352.97543133552256,389.5103007977807,429.46221732828855,473.10443974204685,520.7073784070844,572.5590176486626,628.9663473445194,690.2281216465013,756.6096184301975,828.3822163981191,905.8279926538427,989.2009168500986,1078.663217853939,1174.3560620986384,1276.4126591526883,1384.9065091002383,1499.7386307080078,1620.7515394215318,1747.7557517887333,1880.4588641428707,2018.3195538350117,2160.720446596815,2307.0070041679237,2456.3793778137597,2607.7688750763314,2760.0742825762063,2912.193835792263,3062.8646111674207,3210.653998273957,3354.2030384548707,3492.2228361805282,3623.3083229966724,3746.0859411848396,3859.363850633142,3962.0779485888725,4053.1734767494,4131.790150399725,4197.294682073517,4249.200721914281,4287.170036198297,4311.071709323565,4320.966885598709,4317.063618447662,4299.7611358458835,4269.576196523011,4227.122961009929,4173.119483522661,4108.46131050091,4034.0623526580334,3950.8170645915247,3859.6331816457864,3761.545859032416,3657.564533479307,3548.6214668906046,3435.586478575101,3319.374917928958,3200.8675379114084,3080.845339124189,2959.993088273616,2838.9838968352424,2718.4657721853496,2598.9955681391034,2481.0408175561497,2365.0120232958507,2251.3103874375493,2140.269528186549,2032.1554919124294,1927.1694683188473,1825.4942792805634,1727.282585802438,1632.6409876334287,1541.6334924238715,1454.2853997332627,1370.6153534091277,1290.618458508473,1214.265835308032,1141.5067044456464,1072.2689556245195,1006.4770531539154,944.0473716882409,884.8849666972709,828.8873699689439,775.9445896093611,725.940501776573,678.7637846014494,634.2988675815054,592.4292044281425,553.0387076692812,516.0117486493605,481.2331575293391,448.59182709275046,417.9804814918367,389.29263491324923,362.42531995522336,337.2790876469728,313.75800744868786,291.7696672515377,271.22554971698526,252.04208473040282,234.13869830264017,217.43829318021898,201.86732860551217,187.35582031674375,173.83734054798896,161.24901802917378,149.5314809601609,138.62835918925904,128.48770947467983,119.06044061201284,110.29982232909268,102.16148528599876,94.60342107505558,87.58598222083253,81.07188218014385,75.02619534204891,69.41578528564506,64.21070043023524,59.38458095852704,54.91219354700855,50.76939235736809,46.93311903649431,43.38140271647597,40.09336001460228,37.04919503336241,34.23019936044629,31.61876100321276,29.20062208775217,26.963551420441043,24.894903411767913,22.982613504492438,21.215198173645366,19.581754926528625,18.071962302715264,16.676079874049403
D,243.54172896033927,286.1617310931506,333.3878273553118,384.963424799702,440.9572002527327,501.64798909021823,567.4536202056898,638.8984691268963,716.5862746402196,801.1894487570847,893.4496188480744,994.1668661269907,1104.2072757840838,1224.4914294617336,1356.011525961937,1499.8363556037368,1657.0912838493596,1828.941338756396,2016.6373092843198,2221.5204165736086,2444.954599126031,2688.2869556420587,2952.9482343967697,3240.459944317406,3552.300084348023,3889.7785077446733,4254.232809610497,4647.0511582207255,5069.48158041245,5522.319281995046,6006.256548653474,6521.947747393384,7069.755473671219,7649.198228569753,8259.512124587907,8899.781452852265,9568.590426044035,10263.309055305215,10980.93930723824,11718.304434526408,12471.516914828628,13235.373199035208,14004.503779935596,14773.526910788065,15536.258792530725,16285.667475796181,17015.05662376255,17718.046766264986,18387.659143994915,19017.03560822597,19600.178027077545,20131.684761018005,20606.162575843606,21019.149053800385,21367.283600164545,21647.911439165422,21859.083019244157,21999.87896028704,22070.34218351669,22071.243480276426,22004.301382471545,21871.851718399816,21676.751059746617,21422.391669780383,21113.068302940956,20753.20815406126,20347.18285407878,19899.463818953245,19415.180595603033,18899.370913896335,18356.713128759944,17791.598001550046,17208.669640782187,16612.423313497646,16006.864203551311,15395.524267643254,14781.892542904998,14169.348747119311,13560.813485043624,12958.755382215182,12365.357535948313,11782.767991707438,11212.789855871773,10656.876338489528,10116.144900912952,9591.622513933113,9084.184278620121,8594.462305506986,8122.862977925099,7669.587584371285,7234.80483577119,6818.560257742422,6420.768834796158,6041.225774758983,5679.609577665362,5335.579931328207,5008.753599608433,4698.6832042835495,4404.8771442896605,4126.799595721447,3863.8782419402723,3615.5660433240228,3381.2910764006133,3160.4726046682736,2952.528883856883,2756.877161927969,2572.9336790747147,2400.1348042191476,2237.936671282204,2085.796555637593,1943.1882776447965,1809.6022027610227,1684.545241541194,1567.5408496379646,1458.131680464439,1355.887098618259,1260.3900486339605,1171.2407531637682,1088.0572812255418,1010.4755482027738,938.14931584459,870.7501922657477,807.9674087917037,749.5066022811825,695.0958924669973,644.4777267584195,597.4066951698155,553.6495303206449,512.9851074354625,475.2044443439175,440.1107014807525,407.51918188580566,377.25461234296716,349.1588933610915,323.09248919785114,298.92168890470055,276.51840996871937,255.76019831261257,236.5302282947098,218.7173027089668,202.21585278496306,186.92593818790584,172.75329735795148,159.62204713500984,147.4672417021723,136.22131750441804,125.81973502666776,116.2009787937835,107.30655737056861,99.08100336176797,91.47187341206742
E,21.38668299634658,25.17736848193604,29.574067059556665,34.57909463266788,40.22687524362174,46.5736823242708,53.69172584929202,61.66682757514703,70.59670049800296,80.59058151196797,91.76999982683357,104.26861440623708,118.23339243318243,133.82412518440555,151.21636038068527,170.60213571780906,192.18861360780937,216.19696190797697,242.8684626101788,272.465299378499,305.2634885682684,341.5481904251401,381.6269257016054,425.83065312375714,474.49692121182943,527.9522238333147,586.5382436088521,650.6152103685677,720.5342071607894,796.5884736256207,879.0623981514802,968.2411303438284,1064.3690433674774,1167.5552683918913,1277.8579288572137,1395.3043304042676,1519.8284898901006,1651.1363873463765,1788.8456986878327,1932.517986469852,2081.5566829055283,2235.078506638928,2392.126884390072,2551.7022022946894,2712.600223687076,2873.3878514217954,3032.653653579459,3189.006780754199,3340.872603979449,3486.6469217155873,3624.878900832139,3754.2126444723167,3873.237327004571,3980.724759937562,4075.6879492813327,4157.277756472302,4224.76962299317,4277.6860624749315,4315.78873706708,4338.998415392937,4347.445309181291,4341.433232519332,4321.419610794055,4287.99254915678,4241.9512353473065,4184.156233251586,4115.48606766712,4036.863671815696,3949.3656555132893,3854.07104517877,3751.9939219467715,3644.0979253329024,3531.413794324761,3414.950343489033,3295.6123587053617,3174.2039455501485,3051.52572768937,2928.3597842463214,2805.3861963874406,2683.184011867261,2562.269549099452,2443.1544774259464,2326.2724606606253,2211.9771253012827,2100.545343149409,1992.2343344236256,1887.2670937757212,1785.8103609898185,1687.9785513406564,1593.8385588914034,1503.4499181134997,1416.8434712531125,1334.019451823842,1254.949981761148,1179.5797840947835,1107.8488630513239,1039.6867750572194,975.007753559679,913.7153488945601,855.7024282863676,800.852956596799,749.0561213748347,700.1947372257808,654.1491328517947,610.7989641403168,570.0232141640695,531.7001931810595,495.7123157732108,461.94585668001076,430.2869219316119,400.62504539194447,372.85318878435015,346.8677416915793,322.5685215557942,299.8593529764828,278.6495917014865,258.8512937898833,240.38018817850457,223.1558066725107,207.10148394539067,192.14435753896248,178.2153678633726,165.24920570852115,153.1839238775876,141.96228895643844,131.5301318217148,121.83586967933937,112.83050606451657,104.46763084173253,96.70342020475509,89.49663667663376,82.80862910969982,76.60271403906799,70.84575972402362,65.50859895546841,60.56329842478969,55.98311582612709,51.742499856372575,47.81709021517028,44.183717604916815,40.82040373076076,37.70636130060348,34.822004434887226,32.151574101056966,29.681591701171257,27.398048781258836,25.287573108116526,23.337428669309244,21.535515673169957,19.870370548799798,18.331165946067845
F,36.3595055125328,45.08524421485095,54.95496629158564,65.88108058856346,77.86604485685007,90.97057232356867,105.29392645548512,120.96495980442268,138.13456368040562,156.97273157490832,177.66898718262536,200.42905263755037,225.47726426168498,253.05461829120605,283.42223621622577,316.86255577096284,353.67603175712196,394.1774708683431,438.706509172909,487.62884820773763,541.3215933523181,600.1641068204799,664.5612648611209,734.9451907666065,811.7441497999755,895.3523174236506,986.1757564232894,1084.6379500728656,1191.1332876471547,1305.9487167528714,1429.3477408160466,1561.5863379708394,1702.8484273939612,1853.1027372278968,2012.2417351251734,2180.1144174387055,2356.4349045632657,2540.590665895034,2731.8599553273334,2929.461320950128,3132.410457370649,3339.350408746917,3548.8603365560543,3759.4980841775914,3969.581952907645,4177.171079179652,4380.398702475946,4577.468489383042,4766.392471387111,4945.194216604183,5112.128800875278,5265.60723913225,5404.019360382784,5526.011499953246,5630.543965148188,5716.770406751502,5784.031472211054,5831.968441021625,5860.506533140133,5869.775294416672,5860.171529229839,5832.2804659936955,5786.848711826927,5724.77718171007,5647.224203019554,5555.396076139425,5450.493054340081,5333.750105146219,5206.588489826496,5070.410177724183,4926.519656143144,4776.143695905187,4620.582550758786,4461.09691148144,4298.8104445439985,4134.714445703146,3969.789174416353,3804.9848689714645,3641.1226612686414,3478.89654375393,3318.920390301922,3161.798368518499,3008.037573688091,2858.0468190448546,2712.140626494853,2570.6081241990864,2433.69554475941,2301.5811110009076,2174.37996990953,2052.1499695331295,1934.9396808574843,1822.7630087134157,1715.5976395554437,1613.388089387918,1516.0465558860617,1423.479917435792,1335.5828355954172,1252.2323452335204,1173.2934606254435,1098.6191754532815,1028.0525739585107,961.4435229565984,898.6349337711405,839.4674931881652,783.7818220698796,731.4184753546698,682.2179420571033,636.0262333289419,592.6945896993805,552.0747360439535,514.023080227048,478.40071313187485,445.073408660465,413.91162373367405,384.7911376092691,357.5947942736048,332.20929628313536,308.526149662927,286.44180326350545,265.8576487608548,246.6800206564177,228.82019627709533,212.19432290134878,196.72284187934613,182.33234755933975,168.95340588499573,156.51990472267755,144.96905386144607,134.24138501305987,124.28075181197478,115.03432981534415,106.45261650301887,98.48863765623258,91.09996169968548,84.249231912349,77.90067665784372,72.02005450452513,66.57465422548375,61.53329479854479,56.86632540626868,52.54562543595039,48.54460447962042,44.838215395758304,41.406251784510125,38.23140957105419,35.29574270772011,32.58212276301146,30.074238921605733,27.756597984354364,25.61452436828278,23.63416010659022
G,6.871600950609848,8.896232790299289,11.254758847310399,13.939940619066101,16.967111853955853,20.36689661043165,24.180934749544576,28.460167995152947,33.26354410767346,38.65772872706869,44.71775997384178,51.52677379380367,59.17701088039637,67.77012153969261,77.41875712846853,88.24702653560625,100.39083265011104,113.99792112669488,129.2312717718238,146.26968110634198,165.30564501811108,186.54393644704874,210.20867076228544,236.54399484996867,265.80741189165695,298.26199081933265,334.18998124465855,373.89478452046893,417.6880834908522,465.8653131086339,518.7307026954015,576.6026293622051,639.7913847095577,708.5462602527973,783.0989071575403,863.6742814187303,950.4524957195426,1043.4834726709696,1142.762532361612,1248.2479327067945,1359.7908846381574,1477.0396846548388,1599.5668871480975,1726.886733084786,1858.3328166789238,1993.020800330184,2130.021809837778,2268.3609533181257,2406.8441659352184,2544.1650418262284,2679.063357476378,2810.2777167166564,2936.3911029786636,3056.062545715584,3168.1052371897886,3271.383021484764,3364.769868273982,3447.3466072999936,3518.4127255737935,3577.3725376441407,3623.773716700467,3657.376846614292,3678.1465622399155,3686.175184351084,3681.7448404966467,3665.2711009361865,3637.267630133062,3598.3455663622594,3549.267090151182,3490.8668252819866,3423.972842307623,3349.4141788066036,3268.1163422022114,3181.028277227156,3089.026267623015,2992.915255898205,2893.522352340997,2791.6858402203234,2688.1531073270853,2583.5780818353287,2478.5620213363254,2373.7211856689105,2269.595769972652,2166.640963825178,2065.230675584246,1965.7258096496375,1868.4573563230388,1773.6913879300778,1681.6325504624483,1592.4299586801922,1506.2287368787647,1423.142426053326,1343.2452242744512,1266.5747210061688,1193.132813812087,1122.9160414701992,1055.9089346751446,992.0739789922756,931.3570427200216,873.6873768898901,818.9800743914376,767.1563903422075,718.127649268142,671.7988091744601,628.0708299894607,586.8406735645218,548.0013036741026,511.44904500922354,477.0838327203511,444.80243340477585,414.50358222827003,386.08798296338915,359.458307989469,334.5191982926292,311.17844954126275,289.3501472635871,268.94922784299666,249.89369578317084,232.10489512888614,215.50750946601576,200.0295619215295,185.60241516349382,172.16076872697153,159.6431514918958,147.99231221833497,137.15370366728763,127.07527083275461,117.70745094173915,109.00317345424693,100.91786006328596,93.40942469486667,86.43827350800191,79.9668163324102,73.96131610937397,68.3919296265491,63.23000886157764,58.44806129568187,54.01974991366428,49.91989320390738,46.124465158374136,42.61059527260725,39.356568545730234,36.341838257237825,33.55023071534589,30.968056796085044,28.580794617890117,26.37454437832437,24.336028354079446,22.452590900975352,20.712198453960557,19.103439527111806
H,6.98095973308709,9.323541067910696,12.06679543193608,15.202286371162348,18.74622470284711,22.731244762632368,27.201521267268724,32.21072317717933,37.820394976829675,44.09946587660045,51.12465546541134,58.9800063621586,67.75769015185749,77.55759775601031,88.4889782651406,100.67088972281402,114.23123995285164,129.30586536384806,146.0423492797667,164.60050219197882,185.14754850614736,207.85495113612794,232.9068423432767,260.50069158384304,290.83619776751897,324.1038531768241,360.5018496917187,400.2382054343069,443.5129949499911,490.4873655385821,541.3151973320688,596.1492762840343,655.1152510737263,718.2525345949381,785.5684682419233,857.0513545676296,932.631950353731,1012.1005888048536,1095.1958592188105,1181.6251676423467,1271.0024095240572,1362.7703672677783,1456.3335218432194,1551.0769122518034,1646.267900714315,1741.0429642361398,1834.559831318819,1925.9965413884843,2014.4282085362247,2098.9199991451314,2178.6349768790437,2252.798577865441,2320.6094909910053,2381.378641923921,2434.561895473279,2479.698802560919,2516.405075639376,2544.440868784432,2563.7051607718554,2574.1897338765134,2576.008653898277,2569.373760858123,2554.5825959391505,2532.0066726673217,2502.1389643567745,2465.503984607856,2422.6322645291275,2374.0766437743614,2320.4779580059194,2262.47492414084,2200.665319647939,2135.6146997777823,2067.925954861765,1998.1870628753622,1926.9237074287782,1854.601313270257,1781.68216619756,1708.616612983546,1635.7949262638856,1563.548000273691,1492.1697589031803,1421.9509634862097,1353.1368206140323,1285.9260421960387,1220.4727585612584,1156.9196834746133,1095.3896347946154,1035.97302631462,978.7301902342567,923.6941591824958,870.8938585883933,820.3417717994877,772.0329761628734,725.9465986198273,682.0462261596433,640.2929391215441,600.6419767620993,563.0400021851942,527.427786208969,493.74020736581525,461.9072686459391,431.8621460310423,403.53455244185193,376.8529776707645,351.7457255214774,328.14091380898725,305.9664743595913,285.152842009192,265.63280765331206,247.33923641992965,230.2070906258987,214.17342979137993,199.17741063983937,185.16028709804993,172.06572089350013,159.84061307610844,148.43355938639624,137.79533611873802,127.87896871833864,118.63973178123275,110.0351490542851,102.02499343519025,94.57125383100164,87.63787382899463,81.19159710343465,75.20097335537513,69.63606261407071,64.46843523697716,59.67117190975125,55.21886364625104,51.08761178853549,47.25502800686483,43.69987113490101,40.402976736213375,37.34749847445474,34.51730488244327,31.896954178851107,29.471694268204573,27.22746274088393,25.15088687312366,23.22928362701208,21.450659650491918,19.803717347000433,18.27938576540594,16.869919393073033,15.567259783724523,14.363715459856229,13.251961912736979,12.225041602408602,11.276363957685968,10.399705376156893
I,18.545907267773224,23.089061412292356,28.275047347943634,34.071378762810745,40.48962618810713,47.56983305784804,55.371018014323674,63.96694209737753,73.44260519963423,83.89292932662198,95.42296351141202,108.14657181569278,122.18751675260958,137.67805108684618,154.7613693080548,173.59230169123853,194.33477332281277,217.15973818243282,242.25151265289247,269.8084445084315,300.034050855853,333.1318783919112,369.31932278581223,408.82863957705956,451.8890614689319,498.709935551695,549.5077825437501,604.5095345204954,663.9266126838854,727.9115971121688,796.6067517616309,870.1532405621352,948.6556035438268,1032.103210654168,1120.44858130158,1213.6259234564386,1311.5005924186148,1413.7636569653405,1520.0516643376384,1629.9736939511567,1743.0312129740364,1858.523125199682,1975.7135860972721,2093.8545492500084,2212.0623979700213,2329.303567217435,2444.576910277773,2556.9110852876474,2665.2142351441616,2768.3850762744523,2865.438376788956,2955.462186271763,3037.5114986651474,3110.7721541368855,3174.5989299624043,3228.443786681084,3271.846962890623,3304.519157834528,3326.335428716972,3337.281261513449,3337.488194327306,3327.2067109061863,3306.7921763117206,3276.6905590822853,3237.496841139873,3189.8472625547306,3134.388498163774,3071.797068475531,3002.8596410164955,2928.3636403068367,2849.0485582384267,2765.6165155725257,2678.8184183779977,2589.3894176563017,2497.9885866873647,2405.2013496223567,2311.61101516719,2217.7880844722495,2124.228328076003,2031.3533885964048,1939.5391300728347,1849.158958342202,1760.5290748125883,1673.9066864985225,1589.4924466933278,1507.4731130153252,1428.0107389190812,1351.2257684969218,1277.1999062314956,1205.9797137928222,1137.6068357375486,1072.1019485161314,1009.4629762485295,949.666939024419,892.670488986512,838.4270607107698,786.8826186500208,737.9716987899241,691.62085698578,647.7486689625315,606.267080454491,567.0921916393927,530.1354513537134,495.30643179664423,462.5141904086951,431.6672698716935,402.6736981087872,375.44465985010515,349.8943790820091,325.9369329467072,303.48896221241625,282.46967129291136,262.80082824752446,244.40676478114648,227.2148361883785,211.1566606256371,196.16587231297046,182.17885923484528,169.13486503845172,156.97598903370312,145.64718619323622,135.09626715241092,125.27386141599473,116.1331837580709,107.63100759795289,99.72640260158734,92.38038565472448,85.55592086291779,79.21791955152435,73.33324026570457,67.87068877042235,62.80101805044503,58.09647419653699,53.7320120296453,49.68556967380828,45.93601464660973,42.46311184534123,39.2475235470024,36.27080940830052,33.515426465650975,30.96472913517671,28.602969212708977,26.415303846017725,24.389805464238,22.51627835034081,20.78411264593879,19.18317845447843,17.703825841240022,16.336884833337646,15.073665419719257,13.905957551166523
J,7.295940183291826,9.086627123800678,11.201994278258454,13.673394235319968,16.542475561622915,19.85937531139763,23.682051427800985,28.07640298092619,33.11669652832306,38.88614333399787,45.47791143352644,52.996111021322314,61.55669585191249,71.28816340514798,82.33418166228891,94.8541580752648,109.02387323137036,125.03634838237524,143.10605208705718,163.46964345040465,186.38467684844892,212.12892958687686,241.00873339902947,273.3598629604205,309.54171185142684,349.9298981896784,394.93198256856624,444.98991649082853,500.5672154305256,562.1229705979767,630.140327086193,705.1329351990156,787.6206305317432,878.0696112557422,976.941375424539,1084.7056988469426,1201.795480595489,1328.503257265092,1465.0675709076577,1611.6934473134597,1768.4628853233487,1935.2073105165903,2111.6581728327383,2297.4669471973953,2492.036110585371,2694.452910217023,2903.708335980271,3118.6921611180364,3337.93261990159,3559.7255627262475,3782.357179601264,4004.0319673481263,4222.609126489364,4435.956084633398,4642.082592816308,4838.970222659127,5024.46520839023,5196.667291522299,5353.970124124358,5494.839665451375,5617.845636870918,5721.921770840715,5806.369886447542,5870.66838839123,5914.528143561885,5937.967690099683,5941.277987598228,5924.976178014732,5889.794881469654,5836.692517739654,5766.71716117384,5681.004939551422,5580.889384215641,5467.823590027271,5343.20234013098,5208.360039081779,5064.712802292768,4913.755238373457,4756.855383467065,4595.242335172167,4430.078224029199,4262.5943967539215,4093.901499728186,3924.957052995446,3756.5726427807,3589.555215588679,3424.6755079427085,3262.5755763268844,3103.77306587935,2948.673875505954,2797.6890183144624,2651.17275226639,2509.3922633028915,2372.5326868977927,2240.6991988778746,2113.9894187864716,1992.4805929640033,1876.1966912241307,1765.1193261802287,1659.1877532453825,1558.3049450914089,1462.3901759178716,1371.3391036029866,1285.0273443713031,1203.315929326974,1126.0513044537547,1053.0653306150082,984.1954526327455,919.2873739267529,858.17430520059,800.6896437172256,746.6669733999881,695.9400648325604,648.3428752589859,603.7134124036573,561.9045464723245,522.7665388434536,486.15371744774836,451.92533801246566,419.9455840614157,390.08356691496135,362.21332569001873,336.21397789383644,311.9736263430535,289.3872882722712,268.3538860796155,248.77660206255854,230.56287841791814,213.6244172418584,197.87718052988953,183.24139017686724,169.641527976994,157.00599818411325,145.2716463378309,134.38217185574922,124.28329254199163,114.92268545715854,106.24998691832783,98.21679249905422,90.77665702936994,83.88509459578366,77.49957854128236,71.57957337084575,66.09448595593071,61.01898287110279,56.32509969119958,51.98594383621704,47.975694571309575,44.26960300678999,40.84399209812957,37.6762566459578
