EpiState,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
S,1.0571764182918109e7,1.056015603613195e7,1.054704827426006e7,1.0532407438080061e7,1.0516150271752588e7,1.0498158079014394e7,1.0478285321299333e7,1.0456363328542896e7,1.0432203173157124e7,1.0405596598454589e7,1.0376315558773037e7,1.0344112971690234e7,1.0308721658255937e7,1.0269855660031077e7,1.0227207887930417e7,1.0180449552124903e7,1.0129233411450254e7,1.0073196480272368e7,1.0011955910048945e7,9.945108961431637e6,9.872244084113255e6,9.792948303764684e6,9.70680009119111e6,9.613369380029997e6,9.512240272924507e6,9.403031094162192e6,9.285380569999391e6,9.158947445563357e6,9.023441570081903e6,8.878668954726787e6,8.724501369531024e6,8.560873134689048e6,8.387816555901684e6,8.205531951642638e6,8.014327021681692e6,7.814606009510836e6,7.606907162428932e6,7.391972407712988e6,7.170647598243e6,6.943861392435131e6,6.7126656579170525e6,6.47826783739166e6,6.241902024509728e6,6.004809334651295e6,5.768282233322484e6,5.533638210655294e6,5.302107558217107e6,5.0748345444724765e6,4.85291491248576e6,4.637318054239036e6,4.428894538492193e6,4.228351990917307e6,4.036252495871323e6,3.853030317400442e6,3.678976996104109e6,3.514256327648923e6,3.358919188191694e6,3.2129065388679923e6,3.076068130501209e6,2.9481801303450153e6,2.8289567409133925e6,2.7180617464285856e6,2.615119445222355e6,2.5197317281140755e6,2.4314892554077553e6,2.349974027618779e6,2.274762070111709e6,2.2054401243091696e6,2.141611000787461e6,2.0828879334782285e6,2.0288943017817498e6,1.979277692806983e6,1.933710800269593e6,1.8918805686733224e6,1.8534892526495366e6,1.8182634808857858e6,1.7859538791641328e6,1.7563249463573075e6,1.729154732017313e6,1.7042411014023041e6,1.6814015511135238e6,1.66046657540571e6,1.641275573070084e6,1.6236824914668703e6,1.6075554908432805e6,1.592775387983851e6,1.5792284544754454e6,1.5668103350638475e6,1.5554264023537487e6,1.5449916392293624e6,1.5354283745475477e6,1.526662416641448e6,1.5186263862017603e6,1.511259042057345e6,1.5045052725967758e6,1.498315179902964e6,1.4926408730013839e6,1.4874388272378296e6,1.4826693042724947e6,1.478296270147206e6,1.4742873952854248e6,1.4706127575695615e6,1.4672438921030732e6,1.4641551744213603e6,1.4613230796457166e6,1.4587261816339772e6,1.456345152980515e6,1.454162545413618e6,1.4521614242851103e6,1.450326655314444e6,1.4486443666276496e6,1.4471017857744326e6,1.445687239728173e6,1.4443901548859258e6,1.4432010439702848e6,1.4421107448071218e6,1.441110949089232e6,1.4401942338961675e6,1.4393537024462605e6,1.4385829840966268e6,1.4378762343431646e6,1.437228134820552e6,1.4366338933022525e6,1.436089050111039e6,1.4355893113001152e6,1.4351310404188435e6,1.434710851150637e6,1.4343255911582091e6,1.433972342083572e6,1.4336484195480384e6,1.4333513731522202e6,1.4330789864760304e6,1.4328292656093577e6,1.4326002345836393e6,1.4323901673104286e6,1.4321975169908144e6,1.4320208438422356e6,1.431858815098486e6,1.4317102050097072e6,1.4315738948423972e6,1.4314488728794027e6,1.4313342344199251e6,1.4312291817795143e6,1.431132988126094e6,1.4310447780608735e6,1.430963851536592e6,1.4308895983143286e6,1.430821462649396e6,1.4307589432913293e6,1.430701593483899e6,1.4306490209650984e6
E,35818.69104605944,38194.15530918238,41371.077100798735,45202.835703013916,49619.002250977435,54596.01787088427,60138.83646143497,66272.12317181392,73032.74180276158,80466.415866837,88626.61536154296,97571.54285535729,107364.97240840913,118071.46524737532,129760.6120578945,142508.18193571735,156388.57827412576,171469.38886668748,187823.60984848012,205530.6977127844,224657.38483701728,245247.1875839188,267348.15016321826,291014.84016827855,316274.6605007665,343098.0171959012,371453.82626043435,401316.2231773096,432621.4322101962,465198.81693140115,498868.8882418225,533462.1498524008,568766.4057534899,604417.7041685486,640048.5071727724,675322.793999279,709868.9638129635,743156.8304546201,774694.5934806339,804071.4194491929,830859.583305617,854525.2043223897,874648.6859601648,890950.3847114661,903145.5813496114,910940.0132409486,914211.0624395506,912985.9960732774,907279.8627274104,897228.9527177657,883036.7362137353,864993.4990682733,843467.6575465875,818840.5615815934,791545.2263502595,762030.4622379689,730737.3083903802,698117.9845157365,664602.9674336804,630585.3404946787,596431.6175972729,562469.7585398972,528989.9111957294,496242.1596603874,464425.1008284793,433695.61877209303,404195.04494599765,376022.2165462933,349226.3143220423,323839.28079558036,299894.0222500922,277386.8592812859,256276.4764497073,236527.7923531332,218114.4916207272,200985.2656860143,185064.87030431902,170291.2821436218,156617.78365224937,143982.72801589977,132309.1579487529,121527.67538281428,111591.9200502978,102448.46440313949,94035.34253377102,86287.01120069453,79160.60517368942,72616.92610674756,66611.95554351516,61097.06170765679,56026.373169186336,51371.86294056438,47105.06848491684,43195.13935475368,39608.85689198829,36313.480941707945,33289.28337537077,30518.256099183203,27981.04045445216,25657.07574316192,23524.599227974177,21564.850568094378,19767.37334165046,18121.144412475634,16614.550475545577,15235.389977235962,13970.873115322545,12808.255326923889,11740.428662476348,10761.714361380382,9865.899821555198,9046.484929012657,8296.682057857262,7609.416070286189,6977.358649750826,6395.754056660485,5862.129016924464,5373.442549177988,4926.504145884716,4517.973773336723,4144.361871654503,3802.0293547869783,3487.1876105114998,3196.6382635690693,2929.5263745773486,2684.6534910634014,2460.6740316196415,2256.1339905837376,2069.470938038619,1899.0140198124732,1742.9839574787532,1599.4930483561545,1466.5891291981725,1343.5192903380025,1230.2618680411838,1126.5602966845063,1032.0276964209086,946.1468731794736,868.2703186654293,797.6202103601514,733.2884115211597,674.2364711821218,619.2956241528499,567.4618386556805,519.6763257416512,476.00184577658524,436.1768411587046,399.89713565062004,366.8159343793321,336.5438238362298,308.6487718770914
Ia,20558.651583119714,23456.321011057,26368.30974245531,29409.844482475957,32661.388899400034,36183.66753488738,40027.1771940581,44236.84115994687,48856.037418917236,53928.446566168765,59498.77903449378,65614.32370740335,72324.52322907888,79683.54569774611,87747.3795796513,96573.05528596981,106222.09976875427,116762.64214240659,128260.90039778312,140780.11012700966,154388.70772522304,169163.8027360571,185171.6486459386,202465.83964016876,221100.81287985216,241144.1085146463,262638.731377527,285597.7483290566,310021.9485466889,335931.26359388407,363303.94997289387,392063.3925605845,422103.40487894294,453343.04940206406,485644.52682697796,518792.3042632803,552532.6422194357,586648.2688408542,620858.3143549837,654797.508838215,688084.6951498465,720396.5343121743,751356.521814805,780525.610885833,807512.9573413037,832004.3312554485,853659.3091122797,872129.9130526296,887185.1711423073,898625.6457395848,906322.7334444238,910198.4777775084,910226.8703171987,906469.7333846205,899033.2806566551,888082.318017065,873838.7707921307,856548.7556682165,836496.4131854336,813997.0612562144,789373.5752652681,762959.2257029687,735082.9048161694,706063.6586565478,676217.7981637851,645847.4934212423,615211.5176536846,584554.0362441211,554112.288119547,524088.1046632461,494632.87761323736,465891.03263789933,438002.653512438,411065.52695785323,385136.8913332578,360273.45020297717,336531.68119481526,313935.31022464496,292476.6538690818,272151.8909869305,252962.33054246756,234893.8206456213,217903.73749493825,201954.06334529835,187013.89954174738,173054.84215138247,160026.36895655896,147875.92250808628,136558.4268623496,126036.1255037247,116271.31935018513,107212.03241096751,98810.56871686492,91025.41621214063,83821.22704885826,77165.85049862482,71017.98252217259,65338.67769618551,60093.706689701125,55253.3806066016,50792.550985613794,46686.07932729862,42904.00563609013,39420.01629694466,36210.74097895419,33255.750299860265,30537.555826054362,28040.87054174528,25746.857369649304,23637.972565167915,21698.748954689778,19915.409484419382,18275.86722037691,16769.72534839835,15388.23409183809,14121.208572950927,12958.048936001192,11889.834465699041,10908.513287017155,10006.902365190714,9178.687505717377,8418.423354357321,7721.533397133261,7083.497217563871,6498.376396852406,5961.466164081397,5468.543421828571,5015.8150744694685,4599.918028177437,4217.919190923651,3867.315472477097,3546.0337844045466,3252.382343885228,2983.843256546276,2737.7629989090415,2511.9304829240805,2304.3923714949815,2113.453078478377,1937.6747686839415,1775.8773578743887,1627.138512765474,1490.793651025993,1366.4359412777878,1253.6500250406514,1150.4040564803192,1055.5647649138632,968.3694592050718,888.1705114908925,814.4353571814291,746.7464949599444,684.8014867828562
Is,8320.006579362047,9500.865655344496,10686.905069702367,11925.333573267444,13249.092110344325,14683.015736793484,16247.734675949208,17961.583631394507,19842.2538487824,21907.551195427208,24175.69557059092,26665.954713660612,29398.4716545469,32395.321407854393,35679.31896117562,39273.7005411418,43203.54500763037,47496.63641720962,52179.97988977777,57279.364706933644,62822.72060884488,68841.5383315422,75362.88609501452,82408.67338929615,90001.17891205286,98168.0643238948,106926.98881460908,116283.40188708925,126237.76215594083,136798.38318523302,147956.565812973,159681.20155653066,171929.10790443732,184667.43525101975,197840.08360353246,211359.16045572056,225121.13266633457,239037.3527673405,252993.12807153948,266839.2045424807,280419.7827097687,293602.6738422298,306233.89987216523,318133.8523647653,329142.61776887625,339131.63975014817,347961.63237685245,355490.2119071277,361622.9261384918,366278.2529489167,369403.71338054625,370967.58544682397,370959.4342791867,369404.82517363195,366347.49420166813,361855.1680227062,356018.9521943436,348939.8060219958,340734.2189299001,331531.4006633348,321463.58163272386,310667.17913396435,299276.7549071812,287422.7706946232,275234.5020179547,262835.3781992727,250331.01926768493,237821.026538075,225402.13097675313,213156.55108973727,201145.86187191296,189428.77954668572,178062.23529403438,167085.87232999344,156522.77668107222,146395.82261970508,136727.79798638463,127528.13212509,118793.45682825588,110521.9931730913,102714.06718020324,95363.71488810421,88453.38910627685,81967.4356469425,75893.11379907404,70218.71234573823,64923.53149574834,59986.06139844485,55387.84781137796,51113.42576379624,47147.364800315634,43468.4440671789,40057.19556271844,36896.67244802667,33972.44101463529,31271.374620166447,28776.639033977655,26472.368713148677,24344.617837103073,22381.288732458765,20572.131873028033,18906.906924426803,17373.425984285645,15960.986096141343,14660.08051319228,13462.39774905903,12360.821577784494,11349.13113248664,10419.671069185351,9565.315901462167,8779.783020868457,8057.475669797836,7393.482941486168,6783.579780011554,6224.209529692098,5711.236651418544,5240.361716549714,4807.966218088174,4410.783677353547,4045.89964398252,3710.7516959288546,3403.1294394633724,3121.1745091739763,2863.0521329380754,2626.3565984908923,2409.182197153019,2209.8180602910393,2026.7272560439937,1858.5467893233922,1704.0876018132024,1562.3345719698652,1432.4465150222632,1313.7365268706483,1205.185046320998,1105.7190020850283,1014.4440958737241,930.5701045589798,853.4108801735988,782.3843499112944,717.01251612669,656.9214563353164,601.8413232136184,551.6063445989477,506.04752726534645,464.3447496748211,426.0401527551092,390.8253061168071,358.438243615229,328.66346335040555,301.3319276670855,276.3210631547338
R,28827.569399466836,33842.30106970482,39519.238470131095,45876.433289374414,52953.651247002286,60806.462404478436,69502.77704047588,79121.45725105699,89751.34296924924,101491.08074259863,114449.66453430234,128746.53190646291,144512.35907087917,161888.93128482497,181031.27599263462,202108.16318794826,225301.58197062215,250806.5510478422,278834.85476806783,309615.51101700077,343391.52597937454,380418.20589357073,420969.74667240033,465339.73769712215,513833.4954669617,566760.9188054273,624447.255594619,687234.3198299895,755468.2164918265,829479.8811360761,909602.1757611849,996172.6647293281,1.0895160062192464e6,1.189907426182142e6,1.2975993013940128e6,1.4128259520830114e6,1.5357786906480193e6,1.6665562037549366e6,1.8052059113780393e6,1.9517312951985032e6,2.1060545293210996e6,2.2679715499258153e6,2.4372134769576285e6,2.613453338358975e6,2.796253288114531e6,2.9850556480718753e6,3.1792550306779947e6,3.378192928829213e6,3.581109339707346e6,3.787204488738831e6,3.9956305097383806e6,4.205523071439866e6,4.41601053445923e6,4.6262112959754495e6,4.835269742947243e6,5.042357327900611e6,5.246683223468497e6,5.447518050016859e6,5.644189028327819e6,5.836087580167214e6,6.022680117415292e6,6.203504799883181e6,6.378180304553705e6,6.546399435829369e6,6.707920016505108e6,6.862568385515749e6,7.010251190865872e6,7.150926736430153e6,7.28459641981192e6,7.411317314227475e6,7.531205233159764e6,7.644398769978074e6,7.751055892045588e6,7.851373226350334e6,7.945580238108612e6,8.033908945979666e6,8.116592816660062e6,8.193884479785344e6,8.266052186459967e6,8.333355142018538e6,8.396042306484647e6,8.454364433733886e6,8.508580629739076e6,8.55893711137593e6,8.605665486224033e6,8.648985681517368e6,8.689120738302493e6,8.726284200892705e6,8.760674954751048e6,8.792477353110686e6,8.821866060646158e6,8.849014593779802e6,8.874084597745439e6,8.897225716611443e6,8.918575608862683e6,8.938262082067557e6,8.956410789653875e6,8.973138276310125e6,8.988552232271587e6,9.002751663671844e6,9.01582689254279e6,9.027862877344906e6,9.038941577029578e6,9.049137690045314e6,9.058520318423906e6,9.067152969896287e6,9.07509355789248e6,9.082395006806884e6,9.089108988949355e6,9.09528217047802e6,9.10095756445508e6,9.106174975515924e6,9.110970999869118e6,9.115379025296442e6,9.11942926971904e6,9.123151001804596e6,9.126570898929924e6,9.129712940970384e6,9.132599472291596e6,9.135251201749438e6,9.137687202690031e6,9.139924912949754e6,9.141980134855224e6,9.14386762887245e6,9.14560158388944e6,9.147194101691937e6,9.14865647574422e6,9.149999241328193e6,9.151232175543418e6,9.152364297307085e6,9.153403867354028e6,9.154358388236724e6,9.155234641162537e6,9.156039323976796e6,9.156778280229708e6,9.157456763859322e6,9.158079677251752e6,9.158651571241157e6,9.159176645109747e6,9.15965874658779e6,9.160101371853612e6,9.160507665533584e6,9.16088042070212e6,9.161222185118197e6,9.161535904808318e6,9.16182398010402e6,9.162088525798682e6,9.16233147536231e6,9.16255458094155e6,9.162759413359651e6,9.162947362116491e6
Ihsub,451.10318773627245,527.0604554861483,611.5343802733163,704.1201440590645,804.9784055425865,914.6368619668928,1033.8685517907431,1163.6367153777262,1305.0497885190682,1459.3442934752634,1627.886074870347,1812.15706919043,2013.7680620734025,2234.435968161156,2476.025955897979,2740.5619927456364,3030.1866440705744,3347.135292067661,3693.8312506482594,4072.895179692352,4487.021406700503,4938.912424146327,5431.473360370377,5967.825890203572,6551.065147736167,7184.037672326444,7869.7072253383,8611.197646024248,9411.443309132546,10272.613314427346,11196.75315126307,12185.9044166065,13241.62710084426,14363.9516390895,15552.409629194899,16806.27396191165,18123.882623800222,19501.23003324027,20933.551394911032,22415.678779656857,23940.97520975365,25500.06649668943,27083.08109681318,28679.953157936397,30278.782323312484,31865.64528261678,33427.042498979725,34949.72163557722,36418.99815635142,37820.74005939641,39140.99651016097,40366.81422797552,41486.406118561405,42488.8178747972,43364.835173527536,44106.8234591592,44708.794088639756,45166.84142095131,45478.83900439329,45644.45525198837,45665.1525121692,45543.96262631769,45285.718038853025,44896.54043311578,44383.3885937279,43754.207620029825,43018.29861182126,42185.22179870121,41264.501590033164,40266.133146347966,39200.69564388777,38078.19872979168,36907.996756251356,35699.54874705888,34462.264527285864,33204.64366495435,31934.27501071589,30658.524223765646,29384.46091213628,28118.234108824985,26865.065497622934,25629.714235994208,24416.710201140933,23229.836746611407,22072.13585215019,20946.022571253427,19853.788442386693,18797.254868790147,17777.736999536297,16796.052463087566,15852.691661888684,14948.070189152995,14082.26752000494,13255.091239451072,12466.077730202454,11714.56077256541,10999.883896534424,10321.214275499633,9677.607282786517,9068.013243198588,8491.27743301732,7946.227215054364,7431.713218905594,6946.519632969389,6489.423777183954,6059.1961644858475,5654.600500810028,5274.40543876656,4917.452136670516,4582.575945405343,4268.6373610229275,3974.5310768465533,3699.18598347089,3441.565168762006,3200.666244883609,2975.541828888399,2765.2852275761647,2569.0203656054423,2385.9093565049916,2215.152502673807,2055.9882953811066,1907.6934147663424,1769.582729839199,1641.0068844310517,1521.3586447150758,1410.0726815205935,1306.6100779457013,1210.4579522960785,1121.1294580849894,1038.1637840332821,961.1261540693913,889.607827329322,823.2251471761505,761.6137866877908,704.4613925737613,651.477138619357,602.3820571889285,556.9090392258812,514.8028342526741,475.8200503708234,439.7291542608982,406.3104711825247,375.35618497438344,346.6761049176627,320.1325858999415,295.5820450970716,272.88257817722075,251.89930505039172,232.50436986842226,214.57694102498536,198.0032111555886
Ihcrit,284.92815963591664,332.9694798819469,386.4072754042848,444.9777493997644,508.7767622969925,578.1333681395055,653.5322134219865,735.5783185468467,824.9683215413943,922.4795038715307,1028.970444768352,1145.372605975482,1272.6983542288226,1412.026318303622,1564.5283536940517,1731.4762668418298,1914.2160285892603,2114.151490476603,2332.805059007218,2571.8236697759103,2832.9002817422806,3117.7327234759696,3428.147243196572,3766.1073322973148,4133.560062264265,4532.296267510798,4964.182197953058,5431.186621534175,5935.160339252498,6477.473405730719,7059.420356442429,7682.29575720445,8347.093019659002,9053.843966394512,9802.268623502297,10591.926526764308,11421.790239183525,12289.356864082783,13191.646248714143,14125.425254514264,15086.534989501326,16069.089549242677,17066.887992799657,18073.605352674695,19081.75637832984,20082.57451227441,21067.556737471325,22028.351829246436,22955.697713472808,23840.675674028593,24674.47446738383,25448.907427577335,26156.519197500962,26790.373788746187,27344.630693738898,27814.443051002003,28195.999615624947,28486.805154758273,28685.486739904354,28791.803216831795,28806.64927455298,28731.91330043238,28570.620473339422,28326.61361895085,28004.269070160808,27608.588567171122,27145.431901165677,26620.826441749057,26040.780250124077,25411.6009521935,24739.967732976827,24032.201972220195,23294.212739605628,22531.976892819235,21751.442008188893,20957.98106330663,20156.391975847448,19351.33261109243,18547.274733994782,17748.108122036476,16957.136179667257,16177.370260299747,15411.677429395531,14662.45251473283,13931.62125675689,13220.712802119908,12531.178639003858,11864.17287307684,11220.529181067166,10600.766339069729,10005.196112965366,9434.083185707294,8887.479484113084,8365.264818237256,7867.147317050471,7392.706885258763,6941.529723650069,6513.090382411857,6106.792626144758,5721.973710340281,5357.9043813808075,5013.844056364962,4689.066885571765,4382.804927050443,4094.285872248178,3822.7330849310133,3567.365601183887,3327.405568124137,3102.12098865109,2890.7761487509288,2692.6512215639414,2507.047997477412,2333.2898841256147,2170.7219063898237,2018.7109130487984,1876.6585118392786,1743.992009578817,1620.1580630493127,1504.6274666830973,1396.8951525629268,1296.4801904219873,1202.925787643893,1115.799289262689,1034.690641505993,959.2163839791249,889.01954604754,823.7598449256392,763.1134466791567,706.7729662251617,654.4474673320559,605.8624626195784,560.759913558793,518.8976289551539,480.0456140393221,444.00670647273137,410.5973439003112,379.64145214810725,350.9704452232818,324.42322531411384,299.84618278999926,277.09319620144953,256.02563228009404,236.51234593867864,218.43332115673783,201.7017171455101,186.22694382442504,171.91947018183322,158.6941993143768,146.4704684269889,135.17204883289423,124.72714595360864
D,82.86712651087439,98.29088739444603,116.25370117400571,137.01697834795326,160.838571851008,187.9872084576259,218.75256353675545,253.45120896531733,292.4326931080433,336.0833770402237,384.83020639230585,439.1454517132425,499.5489648490084,566.6140446631427,640.9711686357952,723.3086647318153,814.3808559552231,915.014470943091,1026.108737291832,1148.6361551678076,1283.6550478430881,1432.3165426059331,1595.8566287533217,1775.5958526347154,1972.954105858564,2189.4630581012634,2426.7385301284257,2686.4769456424256,2970.4668650630347,3280.613706459371,3618.8771723963137,3987.256438295325,4387.799221697045,4822.637748104319,5293.881068314218,5803.579199195206,6353.735361332206,6946.34957193946,7583.256828178613,8266.075502303318,8996.241397360343,9775.04415980101,10603.421795894381,11481.92051705481,12410.783401550936,13389.937231396116,14418.80793976519,15496.332200453162,16621.091928858677,17791.18988244028,19004.297753174193,20257.65369466924,21548.08221041219,22872.07482071988,24225.793872799335,25605.129662567026,27005.763258690557,28423.21833349098,29852.91587766047,31290.228604723055,32730.565389329488,34169.41438465407,35602.340792667186,37025.09299292859,38433.66941302665,39824.30028566465,41193.42664206215,42537.81169173836,43854.56414211779,45141.081647190476,46395.039946378274,47614.465047060294,48797.7329327822,49943.48769548689,51050.64307131778,52118.40989759022,53146.28770372428,54133.99252913562,55081.4515270024,55988.802172373275,56856.38505311685,57684.695447570724,58474.362908790696,59226.14450047379,59940.909949186185,60619.62942759178,61263.334514672584,61873.12628830082,62450.146497356254,62995.575882615594,63510.61971175202,63996.49678517826,64454.43628417854,64885.65725860137,65291.36853781078,65672.76431115477,66031.01879303055,66367.28928561462,66682.69856573117,66978.33414518717,67255.24827077225,67514.4569942926,67756.9458008446,67983.66416774651,68195.52031325098,68393.38119416505,68578.07250585016,68750.37977144902,68911.05653890391,69060.81928536663,69200.3485375655,69330.28955209073,69451.25231539382,69563.81154378832,69668.50688146522,69765.85376652406,69856.33507421621,69940.40347183225,70018.48732870078,70090.99071618826,70158.29340769925,70220.75087867616,70278.69430659937,70332.4358765011,70382.27041183448,70428.46380935676,70471.26766853586,70510.91979352424,70547.64419315883,70581.65108096105,70613.13687513696,70642.28419857712,70669.26245202002,70694.23444563129,70717.34049178149,70738.70979185935,70758.46522419833,70776.72334407666,70793.59438371709,70809.18225228731,70823.5845358995,70836.8924976107,70849.19107742245,70860.55793867589,70871.0576958633,70880.75260702288,70889.70223215359,70897.96259317215,70905.58617391254,70912.62192012668,70919.1152394837
Htot,736.0313473721891,860.0299353680954,997.9416556776009,1149.097893458829,1313.7551678395791,1492.7702301063978,1687.4007652127298,1899.215033924573,2130.0181100604623,2381.8237973467935,2656.8565196387,2957.529675165912,3286.4664163022253,3646.462286464778,4040.554309592029,4472.038259587465,4944.402672659836,5461.286782544263,6026.636309655478,6644.718849468263,7319.921688442786,8056.6451476222965,8859.620603566951,9733.933222500884,10684.625210000433,11716.333939837245,12833.889423291354,14042.384267558427,15346.603648385051,16750.08672015807,18256.173507705502,19868.200173810954,21588.72012050327,23417.795605484018,25354.678252697187,27398.200488675964,29545.672862983745,31790.586897323054,34125.19764362517,36541.10403417113,39027.510199254975,41569.156045932104,44149.96908961283,46753.55851061109,49360.53870164231,51948.219794891185,54494.599236451046,56978.073464823654,59374.69586982421,61661.415733424976,63815.470977544814,65815.72165555283,67642.92531606236,69279.19166354339,70709.46586726642,71921.26651016118,72904.79370426468,73653.64657570957,74164.32574429763,74436.2584688202,74471.80178672215,74275.87592675007,73856.33851219245,73223.15405206662,72387.65766388873,71362.79618720093,70163.73051298693,68806.0482404503,67305.28184015723,65677.73409854146,63940.663376864584,62110.40070201187,60202.20949585697,58231.525639878106,56213.70653547478,54162.62472826097,52090.66698656334,50009.85683485809,47931.73564613105,45866.34223086144,43822.20167729018,41807.08449629396,39828.38763053645,37892.28926134423,36003.757108907084,34166.73537337335,32384.967081390558,30661.427741866988,28998.26618060347,27396.818802157293,25857.88777485406,24382.1533748603,22969.74700411802,21620.35605768833,20333.22504725293,19107.26765782417,17941.413620184492,16834.304657911485,15784.399908931278,14789.98695353887,13849.181814398129,12960.071271419327,12120.780104477357,11329.324560019835,10583.709649432132,9881.929249416855,9221.966101993916,8601.811006890697,8019.573125321605,7473.352094156271,6961.28858258687,6481.579074323964,6032.475867596504,5612.28707515183,5219.377157932409,4852.200340727679,4509.277237154982,4189.1784286547545,3890.5368231880884,3612.0476552367336,3352.468485803094,3110.6192024102343,2885.3820191018876,2675.6975259370447,2480.5750286942016,2299.0922275681332,2130.3699228713394,1973.571398975235,1827.9024243101514,1692.6112513653381,1566.9886166889694,1450.3677408881151,1342.122776131305,1241.6594007271133,1148.4680990464926,1062.0744825196684,982.0235093370359,907.8794844491629,839.2260595667881,775.6662331608229,716.8223504623479,662.3361034626189,611.8685309130618,565.1094260744006,521.8343030454515,481.80898892149656,444.8020483590539,410.5935043647685,378.9748382954112,349.7489898578796,322.7303571091972
Dperday,15.423760883571683,17.962813779559628,20.763277173947586,23.821593503054746,27.148636606617874,30.765355079129524,34.69864542856187,38.9814841427259,43.65068393218048,48.74682935208232,54.31524532093649,60.40351313576593,67.06507981413435,74.35712397265242,82.33749609602017,91.07219122340774,100.633614987868,111.09426634874087,122.52741787597586,135.0188926752799,148.6614947628457,163.54008614738822,179.73922388139368,197.35825322384852,216.50895224269928,237.27547202716292,259.7384155139995,283.9899194206091,310.1468413963358,338.2634659369432,368.37926589901207,400.5427834017193,434.83852640727395,471.24332020989993,509.6981308809865,550.1561621369988,592.6142106072546,636.9072562391544,682.818674124707,730.1658950570196,778.8027624406668,828.3776360933754,878.4987211604268,928.8628844961271,979.1538298451844,1028.8707083690715,1077.524260687971,1124.7597284055146,1170.0979535816123,1213.107870733909,1253.3559414950494,1290.4285157429438,1323.9926103076932,1353.7190520794427,1379.3357897676972,1400.6335961235309,1417.455074800423,1429.6975441694879,1437.3127270625873,1440.3367846064336,1438.8489953245753,1432.926408013135,1422.7522002614028,1408.5764200980443,1390.630872638014,1369.126356397485,1344.3850496762334,1316.752450379409,1286.5175050726914,1253.9582991877949,1219.42510068202,1183.2678857219034,1145.7547627047059,1107.1553758308871,1067.7668262724428,1027.877806134052,987.7048254113442,947.4589978667782,907.3506453708574,867.5828807435697,828.3103944538869,789.6674612199724,751.7815916831136,714.7654487123824,678.7194784055974,643.7050870807973,609.7917736282463,577.0202090554322,545.4293852593325,515.0438291364281,485.87707342623713,457.93949900028025,431.22097442282444,405.71127920940194,381.3957733439929,358.2544818757839,336.27049258406896,315.4092801165713,295.6355794559979,276.91412558505095,259.20872352037316,242.48880655197206,226.7183669019204,211.85614550447798,197.86088091406802,184.69131168511348,172.30726559882632,160.67676745495467,149.76274646269988,139.5292521988904,129.94101452516082,120.96276330314642,112.55922839448598,104.69533767686868,97.34688505889434,90.48130769214443,84.06839761603032,78.08385686850106,72.50338748750569,67.302691510989,62.45747097690283,57.943427923187734,53.741569901733,49.83453533339337,46.193397522292,42.80385917910646,39.65212498835845,36.72439963456565,34.006887802252464,31.4857941759326,29.14732344013335,26.978253442889397,24.971993611304903,23.106046150191315,21.369300077853943,19.75543233898929,18.258119878294437,16.87103964046685,15.587868570205455,14.402283612204192,13.30796171116678,12.298579811783593,11.366861253407093,10.49975718745349,9.694911159569871,8.949625130732837,8.260361018498877,7.623580740436018,7.035746214097015,6.493319357051591,0.0
