FIP,County,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
13001,"Appling County, Georgia",10.350633486130793,11.57955206609592,13.03888034407488,14.824362323724676,17.02537618133987,19.730511539025596,23.03187554090657,27.027828602060424,31.82589850058329,37.54465826063024,44.31535848511024,52.28473568687432,61.615851898601065,72.4894908796975,85.10811606785342,99.69657050618076,116.50336191075591,135.80277129119824,157.8994731596422,183.12937461343444,211.86015019447038,244.49197785858445,281.4650447920715,323.2604157208369,370.3970406518733,423.4273821669324,482.9489478350875,549.6061859221934,624.0811016585532,707.0749932264205,799.3254931736477,901.6102504337979,1014.7276301358985,1139.4531621425956,1276.5650155775447,1426.8491296258135,1591.0640984001386,1769.8673638793196,1963.8578019964095,2173.5823706362144,2399.472793529783,2641.7600690215563,2900.549834676915,3175.8283063462195,3467.3593833407904,3774.644301401036,4097.034027403076,4433.7151662640035,4783.599774873892,5145.434077126472,5517.769393734082,5899.027408581026,6287.517972646638,6681.4243205608445,7078.896200213215,7478.049969769121,7876.995574621029,8273.922565300923,8667.08146383449,9054.801982722001,9435.560317301686,9807.974428064113,10170.80337903988,10522.97494588025,10863.584074986924,11191.883658941264,11507.305501070414,11809.427222151426,12097.952456674928,12372.728529280404,12633.757970421864,12881.122114151021,13114.971827269363,13335.566737262056,13543.264725595593,13738.448312677425,13921.520784446479,14092.947050859204,14253.24599924363,14402.92658747224,14542.484123512333,14672.429591117183,14793.306587847806,14905.635039487628,15009.905823841797,15106.588085685773,15196.167235866864,15279.111619516605,15355.857429027434,15426.808969466249,15492.351084201917,15552.871598516405,15608.732201349212,15660.267215065523,15707.783633650773,15751.566617879922,15791.899752063595,15829.046345331237,15863.249176388716,15894.730912561427,15923.694109794285,15950.329781482646,15974.823827707636,15997.345258882939,16018.05008384487,16037.081315176105,16054.568969205668,16070.63160231535,16085.386040056188,16098.937723354271,16111.383579237068,16122.813114511186,16133.30841576239,16142.944149355597,16151.78765742378,16159.904599541287,16167.35499661054,16174.19255481539,16180.467233386837,16186.225244603002,16191.50905378916,16196.357379317706,16200.805192608179,16204.885195081777,16208.62911944626,16212.063845842102,16215.214413173777,16218.104141019807,16220.754629632733,16223.185759939155,16225.41569353969,16227.460872708996,16229.336109897422,16231.056186884762,16232.63401931629,16234.081166648608,16235.408392364461,16236.625663972758,16237.742153008576,16238.766235033136,16239.705489633836,16240.566700424224,16241.355855044012,16242.078415236627,16242.740948561523,16243.34870483853,16243.906265041192,16244.417805857525,16244.887099690033,16245.317514655695,16245.712014585995
13003,"Atkinson County, Georgia",12.53155636147886,13.754461403400333,15.141000414842908,16.74265179211022,18.60819709799192,20.78665742197227,23.329507633429056,26.292053040446035,29.73489204447789,33.72484752136285,38.33575381280026,43.64987320911659,49.75828225880163,56.76142979768941,64.77116868484822,73.91111047553045,84.31695641025392,96.13726247069202,109.53583720804667,124.69212523328336,141.80061722119208,161.07053185233076,182.72975027041818,207.02520873699297,234.21967307474563,264.5879901131612,298.4232245253646,336.0375193628533,377.75504484430576,423.89975097308405,474.8048874505886,530.8147225216379,592.2724327862296,659.4941056958019,732.7840105107782,812.4372270983631,898.7204043501816,991.832462167511,1091.9307140568517,1199.1350586607025,1313.4971238497615,1434.9606014729386,1563.4053984978134,1698.6520927610964,1840.4164573127377,1988.2974254548612,2141.8364163042306,2300.512433747734,2463.6987440706707,2630.7164454129706,2800.8263021954267,2973.2593170648997,3147.2257775703256,3321.912986500551,3496.521683863601,3670.26752088297,3842.3922558411887,4012.190428808438,4179.004057171223,4342.2302493837715,4501.33579430723,4655.854195220705,4805.391960488981,4949.626079706006,5088.296891469873,5221.209690469665,5348.244901663285,5469.333537640526,5584.449003622118,5693.617793043432,5796.922266421006,5894.467597374425,5986.378501616282,6072.816518299322,6153.97453587426,6230.048845972462,6301.2380716955995,6367.7592015056325,6429.844184751103,6487.717342214456,6541.594260391063,6591.692682012383,6638.23831225833,6681.445559107577,6721.515988451991,6758.640961387797,6793.014875305051,6824.823787812681,6854.240835605007,6881.426350516967,6906.532178824472,6929.709231107186,6951.0979541236375,6970.8282591552625,6989.019536009877,7005.782540341243,7021.226154518401,7035.451253420169,7048.550980523804,7060.610899792209,7071.708995673936,7081.918578016028,7091.310313828773,7099.948535468987,7107.892723212473,7115.197507115121,7121.912667012898,7128.0836578772305,7133.754831435253,7138.966175735097,7143.754528863451,7148.153967557933,7152.195807207091,7155.908601850394,7159.318177357471,7162.449530500171,7165.32539857874,7167.966202038294,7170.390964866854,7172.617314595356,7174.66148229765,7176.538302590494,7178.261213633562,7179.842758719572,7181.294965648615,7182.628076660935,7183.851649405207,7184.974599656163,7186.00520131459,7186.951086407338,7187.819245087314,7188.616025633481,7189.347165191957,7190.01831449848,7190.634387540901,7191.199801958585,7191.718680444577,7192.194850745593,7192.631845662014,7193.032903047904,7193.400965810995,7193.738681912688,7194.048404368062,7194.33227757209,7194.5927600865425,7194.831859825736,7195.051347839353,7195.25284311918,7195.437812599107,7195.607571155126,7195.763281605327
13005,"Bacon County, Georgia",11.25426157015503,12.483382915403837,13.880075269764463,15.502710423162704,17.40593909384782,19.64408959136818,22.273756996702822,25.355427176908314,28.955202838199668,33.14590813362673,38.00803851922883,43.63142600004969,50.115720845475224,57.57118394671935,66.12104927077013,75.90194004168923,87.06456278256707,99.77491291403152,114.21705643825388,130.59362463617734,149.12598628603033,170.05459627437693,193.6435425769713,220.18106234625486,249.9775243466051,283.3626245344654,320.69242150445695,362.3504731272501,408.7419743760188,460.282476597905,517.4083611316083,580.5790751349842,650.2653533316951,726.9227044199057,811.0071329368621,902.9783056717007,1003.278360572753,1112.2874367292811,1230.3498589547903,1357.7782776057209,1494.815721580262,1641.5846094365272,1798.1326061958785,1964.4363073719196,2140.3399284782463,2325.5318446617975,2519.6120924722677,2722.0840551523584,2932.289321163839,3149.4726480227496,3372.7650812450124,3601.222680746646,3833.8371473252914,4069.5274785595852,4307.194714966199,4545.722197512847,4783.99161840182,5020.932956747588,5255.513865263576,5486.750641847442,5713.746724482275,5935.689907590158,6151.852885410397,6361.608226248924,6564.426831059781,6759.873193924224,6947.618171091771,7127.418217520037,7299.103697596026,7462.589832506173,7617.883389482303,7765.037180730391,7904.144629408261,8035.363230311095,8158.908211316649,8275.009016999307,8383.907059192437,8485.879933840048,8581.236862343423,8670.281013877362,8753.3073280068,8830.619837019356,8902.541650129791,8969.381783527377,9031.4320056428,9088.971151686712,9142.287531884713,9191.659288662131,9237.345513150121,9279.586402057397,9318.610584839242,9354.648365759738,9387.914559585037,9418.607765170776,9446.910387979195,9472.991883034692,9497.02071698852,9519.15333800995,9539.534020782052,9558.29511365412,9575.557038641682,9591.43335685209,9606.034577403234,9619.461195154028,9631.805985702364,9643.154008530635,9653.58260700574,9663.162318368724,9671.9626411199,9680.046320072268,9687.471040927556,9694.290077636799,9700.552292400329,9706.302135667802,9711.579703133983,9716.424088300808,9720.871038461586,9724.952546499842,9728.698374107598,9732.136051785354,9735.290878842086,9738.185923395258,9740.842022370818,9743.278661917499,9745.51475835703,9747.566340575637,9749.448339434375,9751.174660340632,9752.758183248114,9754.210762656852,9755.543227613209,9756.765381709865,9757.886056563884,9758.914070162105,9759.857133089763,9760.722146449889,9761.515535620978,9762.243250257014,9762.910764287459,9763.523075917243,9764.084707626787,9764.599706171983,9765.07164258421,9765.503774848377,9765.900030977955,9766.263548366122,9766.597063401716,9766.90307075334,9767.183823369338,9767.441332477809,9767.677367586612
13007,"Baker County, Georgia",143.08166029994175,156.07976764867396,170.10049755411907,185.15325245774332,201.26374459405665,218.46720927554702,236.8039803352198,256.3170290552286,277.0498456958046,299.0452308194359,322.34389945934106,346.9842471070578,373.001475170622,400.4239805654878,429.27639939421175,459.5800824733987,491.34754329765656,524.5806994088999,559.276564212841,595.427353073644,633.0126546497883,671.9978970221001,712.3436153549151,754.0058797914662,796.9273806330784,841.0337164804606,886.2467121009624,932.4855048782305,979.6592256576059,1027.6599869595682,1076.3785736430623,1125.7065564730062,1175.5303919580583,1225.7235226303471,1276.1615808484457,1326.7246791203377,1377.2923493419148,1427.7378676615854,1477.940407140222,1527.7864370786858,1577.1649756630666,1625.965837599661,1674.0871955425819,1721.435643316508,1767.9224659207866,1813.465161733148,1857.989905458196,1901.4310128866211,1943.7295005480232,1984.834345925947,2024.70259938967,2063.298677583017,2100.5941941951764,2136.568413637196,2171.207050982002,2204.5025490218836,2236.4541580141736,2267.0658131611663,2296.347041233766,2324.3135390738307,2350.984327573995,2376.3817034994095,2400.533852822801,2423.471538959706,2445.226324080611,2465.8323737298924,2485.3281115115924,2503.752149267041,2521.1428762497894,2537.540352296479,2552.986462392397,2567.5220615481394,2581.1868693684605,2594.02141338236,2606.0665408125246,2617.361460114505,2627.943763201331,2637.8508931394454,2647.1199146707613,2655.786063414809,2663.882719580534,2671.4423143573563,2678.496800464927,2685.076401921702,2691.2095670262934,2696.923180959847,2702.2435892232465,2707.195821059505,2711.803351457357,2716.088113351951,2720.0708389937363,2723.7716462680914,2727.2093846777598,2730.4016743736247,2733.3649073415763,2736.114402368484,2738.664949568336,2741.030357885482,2743.223519029923,2745.2564207443543,2747.1401468041627,2748.8851311401454,2750.5013314282687,2751.997947958385,2753.38356996596,2754.6661757997663,2755.853132921883,2756.9512490461098,2757.967079767268,2758.90662491086,2759.775469683202,2760.578823758533,2761.3215212790196,2762.008020854749,2762.6424092412262,2763.2286098891886,2763.7702268816265,2764.2705522194146,2764.732669828169,2765.159455558254,2765.5535771847785,2765.917494407597,2766.253458851308,2766.563578885883,2766.849871774161,2767.1141027374374,2767.3579264541318,2767.582892552543,2767.790445610848,2767.9819251571007,2768.158565669233,2768.321496575055,2768.4717469119146,2768.6103275760142,2768.7381365387014,2768.855989989913,2768.9646520304027,2769.064834671738,2769.157197836296,2769.2423493572724,2769.3208449786734,2769.3931883553196,2769.4598310528445,2769.521187210673,2769.5777234529323,2769.6298295484066,2769.677852974529,2769.722113182544,2769.762901597515,2769.8004816183193,2769.8350886176513
13009,"Baldwin County, Georgia",8.927213012016184,9.935917600696746,11.48134209929756,13.92727596045416,17.597008819502815,22.79795021084716,29.839936166795393,39.04620343609698,50.76463585497901,65.37454244865825,83.29152760391867,104.9775156792284,130.94242153364775,161.74738927800357,198.0172879674908,240.4427103523906,289.7813576883354,346.86303281152715,412.602994601298,488.00401834081447,574.1536198668773,672.2226913323843,783.4869601204442,909.3291549947567,1051.221872123835,1210.7071614947974,1389.4298715263835,1589.1423971570086,1811.665977351054,2058.8228829039276,2332.488147252811,2634.598985115109,2967.0873224524867,3331.734493565777,3730.2548310405136,4164.30998985784,4635.401064429208,5144.647660730615,5692.932781293002,6280.926020339878,6908.910415940188,7576.558887933411,8283.182236055582,9027.754443731472,9808.657816534496,10623.61556743779,11470.0276555239,12344.943792611823,13244.821566460594,14165.82957322863,15103.802829063454,16054.416585171306,17013.237991009646,17975.714507795645,18937.378821566097,19893.857476048095,20840.933691570826,21774.695090520494,22691.50395737471,23588.039435315404,24461.375386388245,25308.962937390912,26128.66671152092,26918.7459370153,27677.812180310535,28404.83936125617,29099.22008269205,29760.624868400642,30388.956152252955,30984.40850076982,31547.48279391426,32078.80171427734,32579.091715067923,33049.27904064827,33490.45853981626,33903.73981889822,34290.24153595931,34651.17965725858,34987.848243976645,35301.496512468104,35593.3229664994,35864.53496654384,36116.37994651123,36350.04142042642,36566.630928550614,36767.20239993882,36952.82368330537,37124.51521775629,37283.22605286404,37429.83450431787,37565.171469945904,37690.0607620432,37805.268414382466,37911.50278988303,38009.41465725018,38099.60732519278,38182.67259079323,38259.15817078785,38329.569750312396,38394.37181133976,38453.98763268012,38508.81476004479,38559.23551986026,38605.597830603045,38648.22338484882,38687.407659285316,38723.41991471241,38756.5059851865,38786.90516751023,38814.83294499006,38840.48786049456,38864.053607491485,38885.699030047836,38905.57812282978,38923.83020652422,38940.58985601703,38955.979180097,38970.10787907851,38983.07818042165,38994.98483873227,39005.915135761934,39015.94888040795,39025.15840871336,39033.611184235466,39041.371593208314,39048.494472152,39055.031017975736,39061.02901289573,39066.53282443512,39071.58340542412,39076.21829399989,39080.47161360657,39084.3742315017,39087.95638305452,39091.24424213675,39094.26136417613,39097.0297533441,39099.56986255563,39101.900593469385,39104.039296487616,39106.001770756186,39107.802264164566,39109.45347334587,39110.9669576259,39112.35564505173,39113.63019748179,39114.800066728974,39115.87390275315,39116.85955366112,39117.76406570662,39118.593683290346
13011,"Banks County, Georgia",10.357436963126698,11.498873438312412,12.908954079907454,14.723997796328915,17.068973320244375,20.065593748678932,23.83857261510852,28.519555882897635,34.25124831336903,41.19001014759366,49.507928777345974,59.396669417910275,71.06837881236164,84.75714723532842,100.72416083364095,119.25857196358616,140.67838424366835,165.3325905544979,193.60693664842995,225.92485673919285,262.7465519637695,304.5685387991048,351.9329982054652,405.4287437651034,465.68421813392354,533.3589065143213,609.157844237593,693.8337335246455,788.1705730321249,892.9545852893383,1008.9965854086589,1137.1361516776772,1278.212549158059,1433.001737460062,1602.2523605497156,1786.6920149377706,1986.9802257649228,2203.611763569846,2436.979327077098,2687.3836182367518,2954.957421355663,3239.5670138661917,3540.9205248503226,3858.5790530460054,4191.844628944349,4539.7300648888195,4901.107050226962,5274.69436248075,5658.951453623607,6052.212277766528,6452.6657848456025,6858.432969675181,7267.589771634308,7678.161990326628,8088.215679559476,8495.860853054292,8899.278925497643,9296.78718534138,9686.825438361831,10067.974179381707,10438.987629956177,10798.785665268575,11146.469714243223,11481.312993633932,11802.741206967516,12110.337093646685,12403.864711531114,12683.2068351839,12948.344747194882,13199.384624876138,13436.5632220119,13660.167540475357,13870.527065613833,14068.0554340904,14253.23662242456,14426.558882207433,14588.512381213031,14739.627167354496,14880.464728402862,15011.56585099299,15133.448207211557,15246.631812299554,15351.652114652214,15449.016274865335,15539.199928729648,15622.653295991038,15699.831313378007,15771.167882229767,15837.066167368668,15897.898888037691,15954.01813002962,16005.772107650395,16053.484204585839,16097.453267882409,16137.953640725487,16175.239398130903,16209.559197737093,16241.142845331153,16270.202426833055,16296.932660821863,16321.510898535733,16344.103520883786,16364.87013880216,16383.95587958166,16401.494905866104,16417.610419841054,16432.414663233856,16446.010064659476,16458.49608804643,16469.962139029823,16480.490589054974,16490.15764836685,16499.03336601007,16507.181629828916,16514.660238124176,16521.52490446245,16527.82603216051,16533.608899619452,16538.915707635057,16543.78557939782,16548.254560492886,16552.35561890011,16556.11864499403,16559.571487673667,16562.74059336588,16565.64847719464,16568.3161680686,16570.76329984087,16573.00811130902,16575.067446215064,16576.95675324548,16578.690086031194,16580.280165616874,16581.739381480562,16583.07841023203,16584.30686952362,16585.433750551645,16586.46741805635,16587.41561032194,16588.28543917659,16589.083389992407,16589.815321685473,16590.486466715807,16591.10158370028,16591.66588129113,16592.183691126458,16592.658869054794,16593.094946195888,16593.495128940693,16593.86229895139,16594.19901316136
13013,"Barrow County, Georgia",292.20177844805283,323.88133155072524,358.90265188040735,397.5966634680853,440.3567296250059,487.6309596504214,539.9206289394733,597.7823796549706,661.8323159222363,732.7503601670148,811.2866305232836,898.2687399945453,994.606959516875,1101.2974701399357,1219.439242745824,1350.237490235311,1495.005072860291,1655.1662057520002,1832.2803364250378,2028.0457743184108,2244.2879138113626,2482.9524727637054,2746.1466696148136,3036.142994458312,3355.3395943711525,3706.2179133376458,4091.4091404342744,4513.702900633574,4975.971807790265,5481.043922912209,6031.807773082347,6631.230850831389,7282.238483719646,7987.45580496177,8749.374184577058,9570.381114200345,10452.574899856132,11397.389206929363,12405.866265152745,13478.702935989933,14615.959909605863,15816.69705364079,17079.41082512474,18402.07963112442,19781.742312778984,21214.40187039451,22695.582595594282,24220.28553173022,25782.595326529583,27376.17383796678,28994.190285262117,30629.592476369315,32275.187221341206,33923.62320980537,35567.70716503849,37200.41810606707,38815.006070986376,40405.21253031876,41965.2289408798,43489.76620423127,44974.16388151137,46414.36390994369,47806.9803393916,49149.25706277967,50438.99527250981,51674.57830870617,52855.06854038555,53979.97136601631,55049.16237783615,56062.990328656844,57022.301231259145,57928.13752192953,58781.70934819577,59584.5537789304,60338.48455613464,61045.34062908025,61706.97700713196,62325.41030557927,62902.788000788154,63441.18577860215,63942.59779647579,64409.03497842545,64842.577451618585,65245.20155689558,65618.76608957132,65965.03605613517,66285.80205950333,66582.77802047002,66857.55992322435,67111.62685986857,67346.37999099756,67563.21086098845,67763.41542786536,67948.19330711111,68118.64789768418,68275.80346165775,68420.66648984817,68554.17020067324,68677.17687043591,68790.47920332676,68894.80033142398,68990.82026070911,69079.19454698509,69160.52059175163,69235.35103727052,69304.1937834673,69367.51198793124,69425.72887917717,69479.25737736469,69528.47026662347,69573.71115798858,69615.2980385326,69653.52327136553,69688.65359563503,69720.9304330234,69750.58748732317,69777.83763101471,69802.87222215379,69825.8695747882,69846.99495895782,69866.4006006947,69884.22568202294,69900.59634095874,69915.63037246365,69929.44088303372,69942.12433580159,69953.7707592532,69964.46414567223,69974.28245114004,69983.29759553568,69991.57546253587,69999.17589961506,70006.15300974385,70012.56016879056,70018.44388628156,70023.8459851998,70028.80549907211,70033.35867196922,70037.53895850583,70041.3770238406,70044.90074367603,70048.13520425864,70051.10270237882,70053.82357137234,70056.3211831712,70058.61462177076,70060.72072144703,70062.65487787522,70064.43104813006,70066.06175068558,70067.55806541519
13015,"Bartow County, Georgia",268.9490333542606,300.3096980608409,335.5409227001454,375.34591322946443,420.4375934410279,471.5612808864907,529.514066181915,595.1584758783339,669.4378627107695,753.3869952820372,848.1418708517349,954.9564506205469,1075.2080364715262,1210.4014886528025,1362.1969587951066,1532.4148799621369,1723.034670374537,1936.1998295460417,2174.2531469913088,2439.7415141440238,2735.3936688204885,3064.1061704426306,3429.0035193497083,3833.443281579108,4280.947441683482,4775.130441391544,5319.797030099406,5918.954188105494,6576.68572482716,7296.945759013428,8083.71782290682,8941.040953303678,9872.81760854371,10882.410023147835,11972.9017849885,13147.14296364277,14407.47106230555,15755.149464416087,17190.803637627636,18714.497081753987,20325.314884742373,22020.852905444302,23797.90567955474,25652.544826581743,27579.53921448003,29572.263841123844,31623.536420139797,33725.56429279671,35869.43026196243,38045.80750804811,40244.88725368021,42456.7549445712,44671.50338781467,46879.22445761257,49070.408660729576,51235.96595683068,53367.34781941936,55456.779780821234,57497.21574306234,59482.422294396994,61407.04294513998,63266.55541179368,65057.39335283249,66776.81161546371,68422.75474311068,69993.91643808532,71489.87081105179,72910.70624444718,74256.92987057123,75529.6182498375,76730.43747113663,77861.24480555818,78924.05434922062,79921.24896330544,80855.50921885096,81729.50163816717,82545.86981937406,83307.41864126167,84017.07326176562,84677.63902588136,85291.7914429112,85862.19706505057,86391.57451677835,86882.49455913085,87337.36663457491,87758.46759918403,88148.08209002425,88508.38440188431,88841.396087031,89148.98739645595,89432.92305231107,89694.93990238522,89936.65150600209,90159.5507047371,90365.00977760997,90554.30023863929,90728.66180473701,90889.240761016,91037.09638229426,91173.20260402429,91298.44802229306,91413.6659337237,91519.65378690907,91617.13795120924,91706.79070269615,91789.23024397099,91865.02070416416,91934.6775952362,91998.70016756632,92057.5378923578,92111.60542761785,92161.2868043256,92206.93542643214,92248.87407086047,92287.39523361722,92322.78039503968,92355.28439493034,92385.13667266791,92412.5512143926,92437.72655300649,92460.84576817336,92482.07648631875,92501.57088062984,92519.4707585087,92535.91067889174,92551.00560768707,92564.86297981467,92577.58314761051,92589.25938082645,92599.97786663027,92609.81770960566,92618.85093175225,92627.14278565532,92634.7567934124,92641.74785687873,92648.16550294137,92654.0560459763,92659.46258784847,92664.42501791188,92668.98001300958,92673.16103747347,92676.99834312458,92680.51896927283,92683.74752635187,92686.71095022047,92689.43168848513,92691.92974000605,92694.223429048,92696.32940528041,92698.26264377729,92700.03644501726
13017,"Ben Hill County, Georgia",8.178569243926848,9.249624221409016,10.662133562519267,12.61384374537649,15.277676709799172,18.815357633275415,23.387259159369414,29.15803155787548,36.30221332394941,45.00740744588197,55.4760780280077,67.9303152024988,82.61195947580458,99.78306755769894,119.73142980206211,142.77134202202905,169.24226590666797,199.50993714773188,233.97199484503957,273.05857376274906,317.22800727019086,366.9643536436362,422.7867287103592,485.250032895446,554.9331119978544,632.4266907929206,718.3488994940886,813.3470650825504,918.076932026524,1033.1686712937121,1159.2528460337394,1296.9645990358717,1446.912539317579,1609.6131135618552,1785.5340057568167,1975.101829913133,2178.657435492868,2396.3654153575717,2628.286605834197,2874.391201102928,3134.4921277525827,3408.163243799091,3694.8527707812354,3993.896652056382,4304.425186069099,4625.348959362992,4955.495211017418,5293.599311298016,5638.221055237807,5987.8603072091955,6340.944780459241,6695.8899666247125,7051.116863563206,7405.04939886272,7756.178162501103,8103.062892360698,8444.351102659735,8778.81507022169,9105.34374141946,9422.955455094727,9730.808303864842,10028.192996389149,10314.551518093198,10589.455987012861,10852.587770559288,11103.746565010171,11342.871182910025,11569.98166294123,11785.16396705705,11988.59392312262,12180.540654961735,12361.30315992132,12531.20481718134,12690.627332062197,12839.999585342024,12979.747840276616,13110.294327369676,13232.086862970691,13345.592410273412,13451.258619682494,13549.512225722228,13640.778520376076,13725.491249015131,13804.060482003226,13876.870454475937,13944.284199633497,14006.66620912755,14064.363403674637,14117.698282325355,14166.969154375573,14212.457526429906,14254.440662330122,14293.176146649797,14328.902271520386,14361.838061615985,14392.186469004435,14420.145533800518,14445.898400764825,14469.61430336105,14491.448832235294,14511.543935216068,14530.03276901675,14547.042874184483,14562.690426391084,14577.082946010714,14590.319301308757,14602.489708441795,14613.676611963392,14623.95993424022,14633.4116604838,14642.098196182767,14650.081038928367,14657.416778414457,14664.157096437508,14670.348822747537,14676.037060297269,14681.262687313196,14686.062504861913,14690.470831862247,14694.519505085244,14698.237879154185,14701.65282654458,14704.788737584155,14707.668348756977,14710.313280404498,14712.742009045822,14714.971796690046,14717.018763246862,14718.897886526562,14720.623002240023,14722.206803998717,14723.660843314712,14724.995580693825,14726.221225223973,14727.346628756908,14728.379773716177,14729.32811989215,14730.198604442032,14730.997641889842,14731.731124126432,14732.404420409468,14733.022377363453,14733.58931897971,14734.109183244509,14734.586351713551,14735.0244527562,14735.426707894567,14735.796066301411,14736.135204800143,14736.446527864826,14736.732167620183
13019,"Berrien County, Georgia",10.263957969592543,11.561555253949548,13.19308586097485,15.335469167988059,18.148492453374075,21.78628919022853,26.405845839891917,32.172085528557595,39.26308784313129,47.87322617265327,58.21538324053452,70.52565444957679,85.06405525492384,102.11566669619582,121.99665965577134,145.0552490936033,171.67151360551318,202.25907107077944,237.27164577937236,277.203951357423,322.5882716768229,373.99229404605313,432.02986259471345,497.3619205526622,570.6844455776153,652.7153797360361,744.2118446315346,845.9722781074738,958.8131513941518,1083.530221120424,1220.9266437414817,1371.817556195581,1536.993492844843,1717.143072152229,1912.900483699771,2124.853499127868,2353.489746798099,2599.08761196012,2861.798309440547,3141.6602113709623,3438.5183677966957,3751.924093058392,4081.268551082189,4425.7984235890035,4784.503161464506,5156.096432654146,5539.182039204132,5932.243872984479,6333.545009658992,6741.26957390764,7153.508458303771,7568.334568419688,7983.825290524447,8398.060140767788,8809.200191602298,9215.491493252199,9615.288332634198,10007.099157263263,10389.576421661412,10761.532025166822,11121.94979345186,11469.976456464961,11804.944020485904,12126.343239954052,12433.797758475343,12727.074973925122,13006.110655863635,13270.938091880264,13521.669410933653,13758.524366335354,13981.83390990349,14191.96365253045,14389.307274756544,14574.327133861076,14747.540539305586,14909.460435616835,15060.593773461598,15201.476688755934,15332.666628409952,15454.69711805216,15568.07593337215,15673.308096775427,15770.907334788488,15861.358658891168,15945.11597070884,16022.607509703064,16094.26225203336,16160.487793158332,16221.662697644218,16278.136781732484,16330.23971233944,16378.29544330887,16422.60456662125,16463.444977188956,16501.071902394877,16535.721596821088,16567.624094311137,16596.991821146043,16624.020979417157,16648.891863093428,16671.768858021438,16692.8059931579,16712.15044008231,16729.936137097728,16746.287012833825,16761.31698993943,16775.129985082553,16787.82091124529,16799.481562917073,16810.194464566222,16820.035733582845,16829.07585670865,16837.379690036945,16845.00645901266,16852.00982154596,16858.441353697926,16864.34766191714,16869.77069675017,16874.74958357061,16879.3206225791,16883.517288803327,16887.370232097997,16890.907277144863,16894.154335489467,16897.135929043572,16899.873003407047,16902.38513376662,16904.690606016637,16906.806416759136,16908.74827330379,16910.53059366792,16912.16650657652,16913.667906972812,16915.046340351357,16916.311777995354,16917.473220106076,16918.53908270398,16919.517197628717,16920.4148125391,16921.238590913137,16921.994612048024,16922.688371060132,16923.32477888502,16923.908303686687,16924.443830262746,16924.935431950093,16925.386736972432,16925.801067983095,16926.181442065033,16926.53057073083,16926.850859922703
