FIP,County,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
13001,"Appling County, Georgia",18808.480784244188,18802.63096545691,18795.847200987868,18787.937001806407,18778.70309336899,18767.93773057972,18755.41751168814,18740.899520350195,18724.116939948854,18704.775968437454,18682.552807296044,18657.08905614933,18627.99005027249,18594.823084655058,18557.110565628518,18514.328827679747,18465.907939710305,18411.230153230674,18349.62302082912,18280.35861506052,18202.659271067234,18115.70211121671,18018.61029302573,17910.452589408473,17790.263675415998,17657.06512112634,17509.854687108105,17347.60601923099,17169.307217609112,16974.02071991452,16760.86331326923,16529.005627398197,16277.729252574225,16006.543908650696,15715.135433439887,15403.360985050624,15071.32461048301,14719.528144444641,14348.750220513968,13960.024976375898,13554.735509707287,13134.71741880769,12702.04112681398,12258.97966116573,11808.106417638624,11352.256790169127,10894.272088875983,10436.996372711606,9983.330133309799,9536.027968250653,9097.69304432554,8670.670018539735,8257.016229879177,7858.5117028830055,7476.5857475622715,7112.338279873973,6766.55845140097,6439.7033712198645,6131.94999746511,5843.239735473363,5573.290682128742,5321.631568041599,5087.650390164103,4870.629024081011,4669.768366637119,4484.211232527271,4313.064568247282,4155.432119508529,4010.4316804843525,3877.1921322083795,3754.8562839905676,3642.6149013475456,3539.7103127344953,3445.414955525254,3359.03435476967,3279.929920356365,3207.5186286039825,3141.249420061856,3080.6024015000753,3025.1049846779283,2974.3316526223425,2927.887569664638,2885.398226999828,2846.524073478307,2810.9598814813044,2778.4308147732318,2748.674011883131,2721.448728237221,2696.537604695583,2673.746379550184,2652.8980952791876,2633.823048358884,2616.3676495334444,2600.3929061616413,2585.7744006977946,2572.399952361155,2560.161285974516,2548.96024698995,2538.707575240933,2529.3227013923947,2520.7337469407166,2512.874222282347,2505.6804836214587,2499.0954922756673,2493.0670612329163,2487.5478530348028,2482.4953797765866,2477.8714544617847,2473.638689802878,2469.763742980689,2466.216165077417,2462.968006152536,2459.993815242803,2457.270640362247,2454.777996489283,2452.4959622604465,2450.406418564352,2448.493272219679,2446.741605359063,2445.1376754290995,2443.668915190336,2442.323932717281,2441.0925113983976,2439.965135939228,2438.932533148922,2437.986916666858,2437.1210536049734,2436.3282260674328,2435.6022311506244,2434.937380943162,2434.328502525887,2433.770937971865,2433.260516945012,2432.7930481920725,2432.364857582882,2431.9726719919854,2431.6134538671604,2431.2844012294263,2430.9829476730392,2430.7067623654907,2430.453750047511,2430.2220510330703,2430.0100412093725,2429.8162402552803,2429.6387562564414,2429.4761166128837,2429.3270558877816,2429.1904263458227,2429.065197953206,2428.950458377649,2428.84541298838
13003,"Atkinson County, Georgia",8357.705117136633,8353.617567642783,8348.976268393491,8343.67030610427,8337.588033126614,8330.613132884919,8322.62140160361,8313.478588611664,8303.03804757136,8291.139198883135,8277.606251196183,8262.245906734783,8244.846845559683,8225.179441721239,8202.992626151947,8178.013397772606,8149.947996925177,8118.482218288922,8083.278507779958,8043.9758403608685,8000.195230726327,7951.544046650127,7897.612207217054,7837.97220668129,7772.193518820382,7699.856656885875,7620.547175533926,7533.855789717042,7439.401593287109,7336.866905672018,7225.9823466405805,7106.5260646060815,6978.353380276155,6841.456587874081,6695.927350449633,6541.951270344808,6379.841448383285,6210.103484136428,6033.360620569758,5850.338450866269,5661.900681955952,5469.081595486171,5272.9742663135285,5074.712746893298,4875.507358989626,4676.618669465859,4479.249488481871,4284.5436226925385,4093.6109111354317,3907.450886686796,3726.95546110422,3552.8802111813047,3385.8395834489584,3226.32069628452,3074.6674553809517,2931.0943980410466,2795.7011073686886,2668.4749719215356,2549.3103224185406,2438.0268478478447,2334.3812610989307,2238.0791136565344,2148.787039500666,2066.149287977494,1989.7985222212862,1919.3588802758657,1854.4493594006872,1794.6989976151035,1739.7519372135262,1689.2623435034654,1642.894218654127,1600.3340054556188,1561.29136709357,1525.4892273191529,1492.6646721306756,1462.576925708345,1435.0069667678285,1409.7483500574767,1386.6068791636008,1365.4060570652289,1345.9868919867595,1328.201966137669,1311.9117903804088,1296.989719306072,1283.3216191010742,1270.8044921823466,1259.3401383363685,1248.83857618305,1239.2183055598616,1230.4062024234613,1222.3355420489654,1214.942637956319,1208.1697194913481,1201.9643235597077,1196.279287097248,1191.0719545322763,1186.301413857143,1181.9305257714266,1177.92540357119,1174.2553418393097,1170.8928164454776,1167.8123723188476,1164.9898171962786,1162.4033941343125,1160.0331379297224,1157.8608743881966,1155.8702203243395,1154.0463964476119,1152.3750696670227,1150.843448692278,1149.4398141560223,1148.1533789939133,1146.9742884446182,1145.8936200498176,1144.903372571353,1143.9958248604496,1143.1639875260078,1142.4016201963705,1141.7029257258341,1141.0625501946479,1140.475582909014,1139.937556401088,1139.4444464289777,1138.9925104767078,1138.5781529009794,1138.1983323256225,1137.850216692788,1137.5311696987785,1137.23875079405,1136.9707151832108,1136.725013825022,1136.4997934323965,1136.2933870031727,1136.1041465843543,1135.9306361181143,1135.771568760717,1135.6257466062355,1135.4920606865508,1135.3694909713518,1135.2571063681355,1135.1540647222075,1135.0596128166808,1134.9730863724772,1134.893880560956,1134.8212710986343,1134.754677940039,1134.6935951360847,1134.6375620206586,1134.58616321062,1134.5390286058018,1134.4958333890088
13005,"Bacon County, Georgia",11313.959010154567,11309.639231998863,11304.722217166334,11299.087827354297,11292.614408890033,11285.174768589182,11276.632721868264,11266.840658598667,11255.636821380169,11242.843445458106,11228.265030926726,11211.685535854129,11192.867484063754,11171.55102231677,11147.449820768707,11120.250381475313,11089.612147382915,11055.166669419097,11016.513515369448,10973.219836917599,10924.824082058265,10870.838833092132,10810.745579106802,10743.994483845658,10670.016810090969,10588.237655894416,10498.069410371301,10398.911578334291,10290.173980058085,10171.312721059307,10041.817765004384,9901.212542340469,9749.087985380253,9585.172372063209,9409.29938399117,9221.40495189073,9021.57200131273,8810.11974247552,8587.530480313326,8354.436554384918,8111.675452864007,7860.350433966734,7601.700485662001,7337.081014771975,7068.021505400482,6796.202312080364,6523.303271568123,6251.001894105032,5981.005503824933,5714.9322034986535,5454.307969420167,5200.5045139097065,4954.7227552789045,4717.999308856552,4491.164134587476,4274.853368743989,4069.52063630875,3875.425357322371,3692.6630329573295,3521.1913436049085,3360.8380032169102,3211.320574446531,3072.2741985341054,2943.27246591502,2823.842447255154,2713.477500752196,2611.6497303723545,2517.8298611697487,2431.4973085712923,2352.1379381868574,2279.2456529803962,2212.34271342401,2150.9818293565786,2094.733237966994,2043.18652412165,1995.964196921109,1952.7214853000053,1913.132329938917,1876.8889576128838,1843.711472923618,1813.3477184113503,1785.5635909060245,1760.1369467681063,1736.866274848494,1715.570324413979,1696.0857857660606,1678.2564315220948,1661.9391144453034,1647.0045209456807,1633.3370012526216,1620.8311528465322,1609.3858971170769,1598.9097069348252,1589.3197107659914,1580.541679978182,1572.5086486521047,1565.1559988179658,1558.4251266859521,1552.2627149843238,1546.6206127248765,1541.4558352029412,1536.7286123710364,1532.4008881493087,1528.4385370362206,1524.810324877711,1521.4879076151608,1518.4458312853933,1515.6612069612415,1513.1116383302592,1510.7771429010397,1508.6394655952836,1506.6818444749697,1504.8890107423567,1503.2471887399827,1501.7440769265602,1500.3677177444454,1499.1072345635464,1497.9529610095567,1496.8959348332187,1495.927897910328,1495.04129624173,1494.2292799533222,1493.4857032960526,1492.8048422043269,1492.181121528964,1491.6098557575247,1491.0866916024756,1490.6075850515958,1490.1688013679798,1489.7669150900344,1489.3988100314807,1489.061679281354,1488.753008816868,1488.4702737409652,1488.2112602849948,1487.973995387453,1487.7566476278205,1487.557527226563,1487.375086045131,1487.2079175859571,1487.0547569924615,1486.9144810490466,1486.7861081810993,1486.6687436529319,1486.5612478522976,1486.4627321653177,1486.3724322760816,1486.2896547535315,1486.213777051464,1486.1442475085257,1486.0805853482188
13007,"Baker County, Georgia",2885.7801493292964,2862.1975797527466,2836.9111110347985,2809.9693959443307,2781.386877115777,2751.1601810111138,2719.278785896551,2685.730883907393,2650.5082967392505,2613.6091087377185,2575.040110656093,2534.8175471463182,2492.968201888948,2449.5345633861493,2404.5693221703873,2358.1344367126508,2310.3083889307995,2261.1872211191544,2210.8745240254734,2159.48096681623,2107.1334814421607,2053.974875306873,2000.1492213946117,1945.801047037751,1891.0851375500192,1836.168414156609,1781.2117737546703,1726.3685323790523,1671.7924700862789,1617.6439086410885,1564.0713154832981,1511.2090085659731,1459.184013959287,1408.124374660772,1358.1433516792144,1309.337577322718,1261.7933163283635,1215.5937726827578,1170.8073766544123,1127.486974677499,1085.6761640485647,1045.4132124564082,1006.7236208468754,969.6203908944735,934.1100421428241,900.1927039507999,867.8588813924121,837.0904781144584,807.8651347436597,780.1540537244018,753.9231331551618,729.1336975001059,705.7429577813685,683.7050315630705,662.9713618647116,643.4912283745387,625.2122533983566,608.0814340761258,592.0451852786205,577.0494356167321,563.0409784515036,549.9676535252682,537.7772825194693,526.4192210220543,515.8452538635578,506.00869266317903,496.8634516533419,488.36594952196305,480.4752923982188,473.1521192390205,466.35833704928257,460.0584274529998,454.21945191589157,448.8097914505929,443.7992353639235,439.15983055043694,434.8658229238265,430.89267894670115,427.2170782970245,423.81751277863543,420.6742664375108,417.7688157927016,415.0834761154337,412.6019405285852,410.309253382116,408.19167155461236,406.23602472202526,404.4300829113785,402.76259742603065,401.22329051553436,399.8026493946413,398.4915785461766,397.28170796834064,396.1653320079147,395.13540857805975,394.1854721736657,393.30933326017185,392.50130074443166,391.7561221053304,391.0689754947543,390.43546973759084,389.85151408892375,389.3132272788939,388.8170690700701,388.3597615083462,387.9382888361134,387.5498974922602,387.19207224518925,386.86239107883847,386.5586636455008,386.27886544201715,386.0211196348917,385.7836970602921,385.565016224049,385.3636417442366,385.178195145326,385.00741893694385,384.8501752685291,384.705402310459,384.5721142540491,384.44940131155283,384.3364297161621,384.232441722007,384.1367303598424,384.0486180232572,383.96751947268865,383.89288781460846,383.82421238200584,383.76101873438836,383.70286865778127,383.6493601647277,383.600127494289,383.5548394556296,383.5131695154172,383.4748286216,383.4395555376416,383.4071065026301,383.37725523127807,383.3497929139229,383.32452821652623,383.3012872806744,383.27991372357826,383.26026863807346,383.2422249404895,383.2256327952534,383.21037003810704,383.1963291965691,383.18341200350113,383.1715293971081,383.1606015209386,383.1505577238842
13009,"Baldwin County, Georgia",45537.168901231664,45521.75382086963,45503.58843060556,45481.99131186979,45456.29436534328,45425.8164349066,45389.84152515323,45347.604265432026,45298.27434456926,45240.94649907262,45174.63267003175,45098.24732885198,45010.604713498455,44910.416925960315,44796.2751433081,44666.646793114705,44519.88218875293,44354.215441953114,44167.74816132177,43958.44880171425,43724.182757359806,43462.7361747307,43171.79547674155,42848.947552312005,42491.75989368882,42097.859506588175,41664.90136085402,41190.56930301737,40672.70674106277,40109.51339269222,39499.46443832076,38841.306812267365,38134.22680722622,37378.18886455084,36573.72549134086,35721.90713853025,34824.53138285811,33884.49006335576,32905.34482792656,31891.23995166173,30847.101450859172,29778.81617841976,28692.59593523725,27594.87520447141,26492.504710267647,25392.599455941672,24301.928041357918,23226.904662234352,22173.72741579031,21147.950491507316,20154.50029401486,19197.519142050096,18280.341118452474,17405.574428240943,16575.018631981522,15789.745841711023,15050.186418848985,14356.150413827148,13706.93565025399,13101.433143002563,12538.196048595779,12015.50567234176,11531.438533077153,11083.959729203087,10670.983464354897,10290.387829222998,9940.031859881954,9617.839733435014,9321.827883304062,9050.07504794902,8800.720468228716,8572.032032741588,8362.410102654105,8170.331707149079,7994.355029393934,7833.161906869609,7685.555462020855,7550.40960180703,7426.666990758863,7313.367771917351,7209.648350598532,7114.70913435689,7027.794773106758,6948.220073390519,6875.367996235466,6808.682234428857,6747.633177672178,6691.73605308956,6640.551963708452,6593.687312566471,6550.783235068426,6511.497745973069,6475.520825506333,6442.570994839103,6412.395275486249,6384.764978621395,6359.461123420835,6336.285081071313,6315.055629487154,6295.608570419586,6277.796729456722,6261.484093403149,6246.541647557762,6232.8534035332905,6220.3129188108105,6208.823292854204,6198.297167110153,6188.655742239613,6179.822760235989,6171.730246077014,6164.3159118568865,6157.522415215713,6151.297359339503,6145.59329296016,6140.367652396004,6135.579441129539,6131.19163701542,6127.171177599159,6123.487340802572,6120.111744923762,6117.01834863714,6114.183450993414,6111.5856914195865,6109.205220502201,6107.02305487329,6105.023137013913,6103.190507742475,6101.511235609412,6099.972416897176,6098.562175620245,6097.269663525121,6096.085060090328,6094.999524255559,6094.0043630080545,6093.092033543433,6092.255770029513,6091.489268809698,6090.78668840298,6090.142649503929,6089.552234982704,6089.010989885045,6088.51492143228,6088.060499021317,6087.64451115737,6087.263197518528,6086.913520948663,6086.592820303659,6086.298670321852,6086.028881624031,6085.78150071345,6085.5548099758125
13011,"Banks County, Georgia",19205.673504394057,19198.527273108768,19190.160513134088,19180.320256593463,19168.746782228176,19155.167246041976,19139.28950962201,19120.79740593242,19099.34539874269,19074.554847573512,19046.010555039622,19013.255345680074,18975.788394335832,18933.06403170057,18884.484143404174,18829.39692973462,18767.098822949574,18696.8347490814,18617.791244424334,18529.096066063474,18429.830215368893,18319.03788161648,18195.71790200961,18058.82381048188,17907.297512999237,17740.103040591814,17556.21387740029,17354.613390570063,17134.351092697594,16894.627956830627,16634.763257118506,16354.193250049082,16052.544368420862,15729.781788906197,15386.11998737113,15022.010108288852,14638.223068599835,14236.011548413935,13816.92487069888,13382.770897248382,12935.702950422192,12478.298182220326,12013.276928836041,11543.457228680269,11071.838006470753,10601.53062392863,10135.48898741341,9676.505544927802,9227.270730937578,8790.185014817549,8367.366252001819,7960.582313496724,7571.241391463612,7200.430138198975,6848.879352173379,6517.001169536821,6204.928695293202,5912.527309541679,5639.442780299742,5385.148604560095,5148.977098636031,4930.148334636711,4727.799488528876,4541.025377549368,4368.904690931348,4210.505829816973,4064.8938208106683,3931.1660955551924,3808.463797673869,3695.95829127791,3592.8500045750156,3498.3968159381534,3411.91548401931,3332.7574192158445,3260.3103117291544,3194.0155801778465,3133.367242971661,3077.8903425617095,3027.1399377265357,2980.712766294255,2938.2466567296506,2899.4069041643293,2863.8779412926765,2831.373893556809,2801.6376433761056,2774.4377215908203,2749.5541283397797,2726.7857791514857,2705.9507716307976,2686.8861404511104,2669.4434784425803,2653.4815854390336,2638.8725924929386,2625.5004700779477,2613.261011119091,2602.0600991302153,2591.8077514679076,2582.422442349685,2573.8298189411034,2565.9625422693844,2558.7602872234156,2552.1673534243773,2546.1310021548406,2540.6038548129695,2535.5424409932984,2530.9071968915623,2526.662465304703,2522.7760972923074,2519.2170361440626,2515.9576402026114,2512.97258364608,2510.238552872415,2507.7342464993753,2505.440375364539,2503.3396391845827,2501.4154011179767,2499.6526735501047,2498.038074428047,2496.559167902511,2495.204464327833,2493.9634202619773,2492.826438466534,2491.7848679067242,2490.8306762956317,2489.9562121314398,2489.1550066021787,2488.4210317944194,2487.7486724692117,2487.132726062089,2486.5684026830695,2486.0513251166512,2485.5775288218183,2485.1434430773306,2484.745573006294,2484.3808967194013,2484.046701747825,2483.74045962117,2483.4598258674746,2483.2026400132127,2482.9669255832887,2482.750890101043,2482.5529250882496,2482.3716060651145,2482.2056384180128,2482.053528967678,2481.914065031622,2481.786181131513,2481.6689058809498,2481.5613619854685,2481.462766242542,2481.3724295415745
13013,"Barrow County, Georgia",81069.93458075792,80998.65516080188,80918.9814000901,80830.31579105646,80731.85111003512,80622.61567879278,80501.49601483135,80367.2424053451,80218.47034832546,80053.65710184538,79871.13246496851,79669.07279343657,79445.49261783404,79198.24514112106,78925.00148530032,78623.24639876763,78290.2900852674,77923.27819583584,77519.16601162577,77074.71741031026,76586.5643531892,76051.25255017707,75465.20226595801,74824.70850580312,74126.08492001149,73365.80160773458,72540.41532373053,71646.56914593405,70681.2134333175,69641.9364598299,68526.79662833808,67334.3092072083,66063.7200395702,64715.55680459579,63291.241646119546,61793.029106624446,60224.31084452636,58590.200079676106,56896.80880124105,55151.097593559556,53361.20169046609,51536.715245561645,49687.66111160419,47824.32873229516,45957.605536720184,44098.743852559586,42258.3997873656,40446.62796642445,38673.130842707564,36946.58578772968,35274.68028919732,33663.87575422409,32119.372689916025,30645.24279172971,29244.298596917473,27918.218638991577,26667.677042860752,25492.376264831928,24391.2113926263,23362.428796270175,22403.735814833934,21512.40267200411,20685.358900539348,19919.345733449234,19211.014523380774,18556.946121208075,17953.673531919187,17397.82520511988,16886.169352138517,16415.563160352838,15982.9502124956,15585.4770089231,15220.499713687346,14885.491769663297,14578.05275924452,14295.982080380596,14037.275382985934,13800.040802349147,13582.496476864888,13383.020853219885,13200.150955902016,13032.52850277196,12878.866961443753,12737.996709046429,12608.862099738748,12490.508977359452,12382.027104811172,12282.581443033949,12191.414684626201,12107.84630256929,12031.254559169434,11961.045912704129,11896.68128649166,11837.670566995663,11783.572535356016,11733.987627042961,11688.532678438285,11646.859463269328,11608.649943415367,11573.615617516483,11541.49752097353,11512.05601249128,11485.063370543963,11460.314535615664,11437.621191287311,11416.811757518613,11397.731390648058,11380.240253701011,11364.202819145688,11349.497984093805,11336.014707340202,11323.650717668128,11312.31251384925,11301.91536464364,11292.383205517814,11283.642665681937,11275.627275077186,11268.277612855562,11261.538455849983,11255.358778574257,11249.691753223104,11244.494749672143,11239.729335477905,11235.359756441489,11231.351667391815,11227.675962536397,11224.305529080953,11221.215119604572,11218.381352059703,11215.782709772184,11213.399541441211,11211.214061139353,11209.210258140803,11207.372307721149,11205.686412572357,11204.140199887952,11202.722146389942,11201.421578328796,11200.22867148346,11199.13445116135,11198.130792198353,11197.21041895883,11196.366905335615,11195.594398177807,11194.885939283657,11194.235935163571,11193.639495980588,11193.092165146618,11192.58991932246,11192.129168417798,11191.706755591196
13015,"Bartow County, Georgia",107127.42076964871,107041.36048350947,106944.53896672792,106835.55858379805,106712.89891169775,106574.90744155308,106419.78454069082,106245.56862616773,106050.11792241457,105831.09667548981,105585.9619336332,105311.94235089402,105006.03223322971,104664.99642927281,104285.33549979686,103863.28018661233,103394.82160802826,102875.73083684877,102301.52396651,101667.4629559533,100968.66224969002,100200.16989547624,99356.91397137208,98433.70454695157,97425.47514422929,96327.50983867742,95135.33393066951,93844.71500866943,92452.01316748325,90954.69816728997,89351.06107353338,87640.18917598916,85822.37069864439,83899.90380906852,81876.43890252891,79756.86274670006,77547.7127627614,75257.95590659189,72897.8332475986,70478.6080125848,68012.97819790058,65515.37849472099,63000.46953103597,60482.89509271555,57977.709296370405,55500.019315622776,53063.7190708331,50681.491469878034,48365.19440594289,46125.02755198221,43969.62588754574,41905.85656547919,39938.82165309747,38072.100117452435,36307.65952780205,34646.052509357025,33086.6257041414,31627.621519352455,30266.38213743613,28999.557429938282,27823.2759261826,26733.26540789224,25724.94237304254,24793.613541212846,23934.601616134176,23143.240907337993,22414.879053147408,21745.061979262966,21129.57967496229,20564.383291378457,20045.573571239885,19569.5376852969,19132.95385632935,18732.66805586075,18365.70162798522,18029.334778842585,17721.10043824397,17438.67986120248,17179.898232261035,16942.78027634599,16725.54728238294,16526.552366626798,16344.241272961257,16177.202512531667,16024.162850095923,15883.972607936781,15755.53880509787,15637.860403797255,15530.029424236944,15431.229781856568,15340.716563273516,15257.781390352615,15181.781199364803,15112.13102638169,15048.303926623676,14989.822723853853,14936.231779792763,14887.117416801657,14842.101554870222,14800.840948197372,14763.02718519127,14728.375213157351,14696.615485677223,14667.505224793165,14640.821302839968,14616.360234733278,14593.93817796962,14573.38899175719,14554.552561058717,14537.286077246108,14521.458470965094,14506.948919482893,14493.646846688243,14481.451923091374,14470.273950219464,14460.02633698965,14450.631029679575,14442.018148738218,14434.122696052094,14426.884554945256,14420.248490179305,14414.16414795337,14408.586055904134,14403.471980398537,14398.781769563084,14394.481340193219,14390.538906506688,14386.924837733653,14383.611658116675,14380.57404691073,14377.788838383209,14375.235021813909,14372.893644954305,14370.746196296383,14368.776645385025,14366.970575801073,14365.314539011313,14363.796054368477,14362.403609111241,14361.126658364217,14359.955625137969,14358.881900329,14357.89784271976,14356.996503720582,14356.169954432313,14355.41171356618,14354.71606824402,14354.077804003959,14353.49220480044,14352.955053004212,14352.462629402338
13017,"Ben Hill County, Georgia",17063.91570318044,17054.382409049424,17043.373316827503,17030.528762448506,17015.508998783884,16997.978104950995,16977.59170348545,16953.989622887835,16926.788413806436,16895.577076526348,16859.915011893703,16819.325329118372,16773.29540446205,16721.27894352915,16662.68807215264,16596.89242945322,16523.227273550514,16440.99649057742,16349.466038844212,16247.864426866894,16135.40256259037,16011.287136063464,15874.71108411745,15724.85402235596,15560.923357659794,15382.191302458697,15187.975405811452,14977.638747684307,14750.646950080547,14506.65134058768,14245.439395764464,13966.930226445944,13671.238808408183,13358.804156167083,13030.280168169447,12686.515854290392,12328.620361744332,11958.085149171484,11576.596647693374,11185.994940172412,10788.33918518694,10385.955118684999,9981.193619705879,9576.391924093325,9173.943571297386,8776.243028867,8385.484771938676,8003.664367864608,7632.643709726356,7274.018630632072,6929.135552093359,6599.060021929242,6284.577716536615,5986.234523172213,5704.321781013255,5438.908208612113,5189.87342049822,4956.922754758866,4739.620510127408,4537.423318006759,4349.70562562375,4175.779029687258,4014.907788787155,3866.339250304335,3729.323174004115,3603.1120110345764,3486.96169405945,3380.1596568991863,3282.0322020659755,3191.931899724844,3109.235586395781,3033.365779972481,2963.791472284812,2900.0087087267716,2841.5416073251945,2787.955677148119,2738.8568773098505,2693.8749047934493,2652.662391426988,2614.903938117487,2580.3156620699106,2548.6347336081535,2519.6129728138603,2493.025082023145,2468.6679566779476,2446.358295292469,2425.921668513232,2407.198315744397,2390.0434239802007,2374.3269410744792,2359.9301811408322,2346.7401109716156,2334.6541567386994,2323.5790782308995,2313.4309557577994,2304.1338343190946,2295.6150476753332,2287.808626876932,2280.654321857945,2274.097477459546,2268.0890334300298,2262.5836302324265,2257.53828077261,2252.914292707321,2248.676128472499,2244.791404022378,2241.230888829487,2237.968186049403,2234.977783888873,2232.2369223131363,2229.724728225959,2227.4219728375956,2225.3110716647902,2223.3760845307747,2221.6026965539986,2219.9771323690693,2218.4869497656346,2217.121023173718,2215.869010343487,2214.7213523452474,2213.66927356945,2212.7047817266857,2211.8206678476877,2211.0102322902308,2210.2670721846935,2209.5857600494182,2208.961238335823,2208.3887960757193,2207.864068881313,2207.3830389452037,2206.942035040387,2206.537732520249,2206.167137235106,2205.8273063342062,2205.5156789554676,2205.2299559013954,2204.967995404487,2204.7278131272296,2204.507582162103,2204.3056330315794,2204.1204536881196,2203.9506895141776,2203.7951433221997,2203.6527254474245,2203.5221504860883,2203.4023818604082,2203.2925124854237,2203.191715996139,2203.0992467475244,2203.014439814516,2202.9367109920136
13019,"Berrien County, Georgia",19583.923337417113,19574.892690996858,19564.382561248407,19552.04706539162,19537.546508301286,19520.534201403723,19500.6458035611,19477.49242455793,19450.653323811224,19419.671378798965,19384.049999475268,19343.24631879714,19296.67063123605,19243.68715388692,19183.60547768146,19115.67941294366,19039.113463120928,18953.06563870447,18856.640362720835,18748.888743211115,18628.829101385258,18495.462340074453,18347.762425329976,18184.676903271757,18005.17393038817,17808.286422998866,17593.093384511714,17358.720582384063,17104.409393713195,16829.61822979453,16533.97007631958,16217.248606583227,15879.47766653981,15521.08043857366,15142.753417763683,14745.44453528503,14330.433473575875,13899.483603828266,13454.615038364185,12998.054610943727,12532.313951857335,12060.245633978104,11584.744210095088,11108.697258426228,10635.06579404038,10166.81212007186,9706.650402163788,9257.046706997571,8820.294937905903,8398.35441926196,7992.869872944613,7605.134074077966,7236.089949503198,6886.381408356414,6556.337842715782,6246.014671323962,5955.236430076409,5683.617316874421,5430.602242331126,5195.5086559683805,4977.558970785852,4775.9040867736785,4589.642006608744,4417.854992892457,4259.632975741072,4114.073141057503,3980.280389801622,3857.4007316434418,3744.6297108632684,3641.196757200581,3546.36254136395,3459.443746492446,3379.8138143587503,3306.8796421975217,3240.082589607676,3178.913598794286,3122.911977687871,3071.645700188887,3024.7103600903747,2981.7392833935633,2942.4029321254648,2906.396724860847,2873.4336075493593,2843.253281643018,2815.6213178790767,2790.3263985529943,2767.1677781581147,2745.9618297060006,2726.54220480389,2708.7596144972,2692.477954868409,2677.5678328166364,2663.9119254280777,2651.4036222780505,2639.947010337537,2629.4553374188035,2619.8457546612394,2611.0431222580546,2602.978825817585,2595.5906342108,2588.822699571305,2582.6234296523944,2576.9440302650864,2571.740603041487,2566.9728297312545,2562.6039707730274,2558.600865294421,2554.9335733244648,2551.5732199535255,2548.4940782764907,2545.6725525235333,2543.086903455981,2540.7172483663103,2538.5455610781546,2536.5556507843203,2534.7319653562245,2533.0604910716766,2531.5286953274726,2530.1249255597154,2528.838409243811,2527.65925389447,2526.578447065709,2525.5878563508495,2524.6799300344305,2523.8474809934373,2523.0844164797445,2522.385057001758,2521.7441104781915,2521.1566722380658,2520.6182250207066,2520.124638975751,2519.67217166314,2519.2574506556484,2518.8771773007884,2518.528488748951,2518.2088120209623,2517.915749108984,2517.647076976513,2517.400747558381,2517.174887760757,2516.967799461144,2516.7779595083794,2516.604019722638,2516.4447538271716,2516.298734663327,2516.164805020586,2516.0419496757536,2515.9292434953936,2515.825851435829,2515.7310285431386,2515.6441199531614
