Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,2.1729493852516217,2.7246081000875706,3.3877412026397136,4.174729730920709,5.097415702272132,6.167977628318387,7.399543946769635,8.806552472666166,10.405119937964352,12.213272799938277,14.25116276615407,16.54137418383135,19.10904745562291,21.98219378328413,25.19199520011847,28.77285715634453,32.76283882833134,37.204048254176605,42.1427888275291,47.62962184833282,53.720054903723906,60.474990082147606,67.96053505386413,76.24801361284025,85.41479951941542,95.54505706453308,106.72860015389196,119.06076045780247,132.6430514796346,147.58455786025763,163.99891903360137,182.00362141189416,201.72046876651694,223.27756280861314,246.8036145688685,272.4260202175479,300.2713752869475,330.4678196991187,363.1358410578446,398.38523703702117,436.3166813035424,477.0236632113944,520.5799867924618,567.0371373568727,616.4290634350637,668.7712193929697,724.0485108513822,782.2158136014702,843.2059146345455,906.9213025126688,973.2370669409243,1042.0002317356057,1113.0308760363152,1186.12728255932,1261.0658847681084,1337.6049775784404,1415.4887753330445,1494.4506239998348,1574.2166721716326,1654.5094297246628,1735.0532012102067,1815.5769171321372,1895.8139999216846,1975.5091883630982,2054.422870542109,2132.3298196570613,2209.017801139693,2284.2946226212407,2357.9895512997064,2429.9496115022857,2500.038911512505,2568.142952720452,2634.168549268539,2698.0386957505293,2759.6926676771122,2819.08743500024,2876.1970998940583,2931.008552333208,2983.5211538438725,3033.746410536587,3081.7075028597624,3127.4364801764577,3170.9731318237036,3212.3643436590355,3251.6631720887353,3288.9281617372926,3324.2212453949624,3357.608078921963,3389.1562778456355,3418.935319957426,3447.0157908258807,3473.4688883556855,3498.366094798506,3521.778004753834,3543.774320312856,3564.423644699136,3583.7933247836772,3601.949505879938,3618.9561675865148,3634.8750860058117,3649.765833744042,3663.6858080487814,3676.6905834665504,3688.833538539935,3700.165621775329,3710.7353515677096,3720.5888162006286,3729.7697512534933,3738.3200821908804,3746.2795380673965,3753.6857848645027,3760.5744778795356,3766.9792617257067,3772.931770332105,3778.461638960349,3783.5971574204927,3788.364748149197,3792.7891203001145,3796.89363128295,3800.700286763469,3804.229740663493,3807.501295160899,3810.5329006896204,3813.341457050647,3815.9428966937858,3818.351531818681,3820.580894168664,3822.643763689566,3824.55216852972,3826.3173850399585,3827.9499377736165,3829.4595994865267,3830.85542229069,3832.1460931836227,3833.3390658398885,3834.4411931072345,3835.4589890917555,3836.3986291578967,3837.26594992845,3838.066449284557,3838.805286365705,3839.4872815697313,3840.1169165528213,3840.698282366313,3841.2347656452357,3841.7296296478526,3842.185995005016,3842.6067939950294,3842.9947705436425,3843.352480224052,3843.682290256904
B,0.40871618645047547,0.6102467886857668,0.8826705650744789,1.2376528642562825,1.6867729056062495,2.2422229873861075,2.9173119355461723,3.726777544512568,4.687124171038718,5.816848815839901,7.136679897217259,8.66989325092265,10.44247075616731,12.483429789340363,14.825209246645128,17.503742622196278,20.558914582362696,24.034991063945675,27.98090038094727,32.45031747771057,37.50235342837258,43.20204314310906,49.62032876998874,56.83408673662556,64.92692688521454,73.98994411316839,84.12070630938167,95.42313610504976,108.00808477601844,121.99469205958022,137.50730510088036,154.67472502847428,173.63052970258036,194.5149923861619,217.46901105994618,242.6319716180525,270.1421086446051,300.1388447852423,332.75282712222236,368.1025442870622,406.2959125107105,447.43232448669926,491.58916295549636,538.8189366918514,589.1545551693371,642.6083838487065,699.1595651946029,758.7546505805989,821.3164214774495,886.7354162748446,954.8731497148963,1025.5618926674515,1098.6060422759292,1173.787706450328,1250.8670503013125,1329.5862455813754,1409.6738021484923,1490.8483076899133,1572.8220751375811,1655.304760966898,1738.0092474807916,1820.6544564775,1902.964917115691,1984.6778681556484,2065.5477054858643,2145.344415934473,2223.851968030775,2300.8755021867546,2376.2426506560532,2449.7996083805347,2521.410398745545,2590.9610538451234,2658.3594792836916,2723.530201045323,2786.414421739091,2846.9712778151916,2905.177245459456,2961.021766456161,3014.5069006972917,3065.646870669032,3114.46757370409,3161.003784265146,3205.2980284305813,3247.3998529179225,3287.36488149585,3325.254138543516,3361.1319813408095,3395.0663957456054,3427.1272112025986,3457.3860033640567,3485.915353723033,3512.7883745373356,3538.0783554405725,3561.8575955271294,3584.1973985512914,3605.167873856396,3624.837797758706,3643.2746533877153,3660.5436798677156,3676.7078353975203,3691.8277972504593,3705.962000911432,3719.166992059747,3731.497054129204,3743.003988420612,3753.737114036569,3763.743267881472,3773.0668843873223,3781.75054507146,3789.834579847153,3797.3572209836852,3804.3546581857186,3810.861038593287,3816.908466781798,3822.5270169479186,3827.7453915295573,3832.5903863365843,3837.087058618664,3841.2590959981276,3845.1288164699795,3848.717168401892,3852.0437305342084,3855.1267119799395,3857.983254855306,3860.6295115957455,3863.0799930766207,3865.3484202594996,3867.447753125307,3869.390190674332,3871.1871709262273,3872.84937092,3874.386706714024,3875.8083647105736,3877.1231559734315,3878.3386402605583,3879.46176987692,3880.49915431224,3881.457060240987,3882.3414115223927,3883.1577892004343,3883.911431503844,3884.607233846109,3885.2497488254658,3885.8431327776234,3886.3908223598223,3886.8961317578214,3887.3622314610143,3887.79210107515,3888.1885293223268,3888.5541140409964,3888.8912621859627
C,6.2773520653889445,7.348793428177623,8.579972946555854,9.987110188469135,11.586744053776213,13.396453223985135,15.435374532869734,17.72452594956575,20.28714754789415,23.14892838265038,26.33824995625756,29.886465986807515,33.828060363803814,38.2010147951942,43.04704252095799,48.41163190790242,54.34455288190396,60.90024690244675,68.13780250504259,76.12099361122809,84.91903380168463,94.60698597261265,105.26512355163003,116.97888965357382,129.83975468166503,143.945966604688,159.4004738694126,176.31063272704927,194.78884057204422,214.95408218019926,236.92742169000869,260.83090076503265,286.78805899257225,314.92622111591254,345.36905277874075,378.2340557471858,413.63341857646714,451.67687878744647,492.46104155146986,536.0660143413592,582.5579077499458,631.9913122824009,684.3965619005644,739.7774065259631,798.1171821952307,859.3782635094103,923.491768160049,990.358539315249,1059.8581225031498,1131.8422041318584,1206.1378302449098,1282.548635058459,1360.8565192125716,1440.8267417843424,1522.209341347084,1604.742574395896,1688.1567792613703,1772.1785482531793,1856.5333146153735,1940.9481712044576,2025.1575310914905,2108.905219530683,2191.9432613803447,2274.038163954843,2354.974706675854,2434.5539149678475,2512.5911554083764,2588.922301356625,2663.4045699255075,2735.9127385496236,2806.3383480519783,2874.5928813807245,2940.6075289338664,3004.328504612738,3065.7169710437543,3124.7497750503876,3181.4188809570296,3235.7275873469903,3287.6901537191216,3337.331169940404,3384.6851087653076,3429.793940571262,3472.7061639564995,3513.476029223015,3552.1627010358743,3588.8296850732186,3623.543092357413,3656.3718324629044,3687.386047961718,3716.657030752517,3744.256601600281,3770.2567229407596,3794.72916630607,3817.744513815647,3839.372154114186,3859.6801196614,3878.734987270883,3896.6019017073927,3913.3437797718498,3929.0212796792957,3943.692801058889,3957.414535449309,3970.2407675420136,3982.2235671044887,3993.412625615739,4003.8552562266964,4013.5963937602187,4022.678669373151,4031.1429049587236,4039.0277428046793,4046.3698302176253,4053.203873731984,4059.5626391100036,4065.476951341749,4070.9757059060626,4076.0864689093655,4080.834972273119,4085.245298292745,4089.3402260224943,4093.1412312754424,4096.668486623496,4099.940861397388,4102.975921686674,4105.790209411097,4108.399303577178,4110.817228320472,4113.057251550123,4115.131911849677,4117.053018477098,4118.831651364754,4120.478161119426,4122.002169022303,4123.412596524997,4124.717997096025,4125.925730383206,4127.042573777211,4128.074972300604,4129.029038607849,4129.910552985307,4130.724963351238,4131.477385255801,4132.172601881049,4132.815064040936,4133.408839820824,4133.957309837689,4134.463731560712,4134.931220765845,4135.362707143629,4135.760934299208,4136.128459752319,4136.467654937299
D,23.102766643811986,28.08093411760109,33.90171620925852,40.64784133211351,48.40037746287168,57.243619588031166,67.26848316757179,78.57447101355325,91.27167261310791,105.48199534387597,121.34028926436903,138.99591039661064,158.61332934562614,180.37380594531174,204.47657545406696,231.13903732877526,260.598965280401,293.11634884883455,328.97320869358447,368.47374029842524,411.9477542540954,459.7525488476217,512.2697431948301,569.9050586588485,633.0922551178971,702.2966015854054,778.0049217673236,860.7241750585457,950.9844126329779,1049.3460010333597,1156.3783932745703,1272.6549405327983,1398.755433453874,1535.2768303738846,1682.7985966111828,1841.8711114544271,2013.0198226075015,2196.7586106482204,2393.540435884663,2603.741919780361,2827.6750426410613,3065.598506986039,3317.6591064555582,3583.881082088239,3864.194324243987,4158.431618944913,4466.281048456496,4787.2904021242275,5120.907851327463,5466.451381860164,5823.123352598445,6190.015403332018,6566.115880753766,6950.333032379801,7341.500949042747,7738.395366172193,8139.75147359869,8544.282614913584,8950.692682822215,9357.689534923546,9764.011005090753,10168.434998871573,10569.774637611954,10966.907784956684,11358.79493814127,11744.470550671906,12123.034726415484,12493.682624648009,12855.708884651358,13208.490340416045,13551.482470231575,13884.235445093329,14206.393257638343,14517.671639966138,14817.857893350258,15106.815319129377,15384.48064712295,15650.845796880869,15905.95616929058,16149.908376141542,16382.848175494126,16604.95874837942,16816.45584996911,17017.584624944433,17208.615648578587,17389.842055972014,17561.570677643347,17724.123282084238,17877.82908224906,18023.024324695594,18160.049062743536,18289.24496004058,18410.953930295604,18525.513177875397,18633.255177164876,18734.506761748016,18829.588312473526,18918.81410538508,19002.488233050193,19080.9044418744,19154.34613210133,19223.08640996656,19287.389522704223,19347.50942242054,19403.688766668878,19456.158918096233,19505.13994444319,19550.840945244767,19593.46230898992,19633.194129993954,19670.21687338654,19704.701602087625,19736.80997680748,19766.69425604664,19794.49734915021,19820.35567136928,19844.39681669481,19866.740356460217,19887.499456139944,19906.78087534937,19924.684967844914,19941.305681523936,19956.73055842479,19971.04210120479,19984.318120205116,19996.628809169502,20008.04060301122,20018.61630861725,20028.41510484831,20037.492542538857,20045.90054449706,20053.687405504832,20060.89793990758,20067.575167114755,20073.75620045741,20079.475241684024,20084.764822248144,20089.65580330837,20094.17737572836,20098.357060076814,20102.220706627504,20105.792495359256,20109.094935955927,20112.14862131293,20114.970735668558,20117.57782495001,20119.985714031965,20122.20928985563,20124.262501428686,20126.158359825346,20127.90893818631
E,3.1844341688172073,3.637283399846058,4.170767341132963,4.79685698272085,5.527912315120565,6.377202314666632,7.3592926486217305,8.490302701091736,9.788193059789839,11.272969515337586,12.96692123230663,14.894900874337445,17.08449630291697,19.566364136225047,22.3745866663429,25.54674303050242,29.12438083568338,33.153433896034706,37.68447862865383,42.772816723897016,48.47916845084537,54.87015113529613,62.01822928073891,70.00173879114584,78.9056917276367,88.82252101794047,99.85104422848336,112.0963432056969,125.67035421718344,140.69321955248355,157.29023669141037,175.59111998690074,195.7303517174481,217.8490832445127,242.08918814626855,268.5911898388721,297.4946402045242,328.94040129318057,363.0609129331798,399.9769085381794,439.7989304214032,482.6292676529192,528.548727658545,577.6138144192715,629.8617337534939,685.3093711222662,743.9406701434239,805.7071883802494,870.5365147499482,938.3237572814069,1008.9346220850206,1082.2048936577733,1157.9416761355071,1235.928840221363,1315.9271354612029,1397.6780975824734,1480.9083473916878,1565.3331046932913,1650.6599800216004,1736.5927093140986,1822.8369469880104,1909.103210068519,1995.1067004845054,2080.5745143881495,2165.2501857032075,2248.8923481819647,2331.273292262657,2412.1863858199144,2491.44755889524,2568.8914558240167,2644.3707455115477,2717.760678917415,2788.9590171335703,2857.8806773033557,2924.4578416346935,2988.6415026511127,3050.4008848904255,3109.7188774464553,3166.591695797482,3221.028606174926,3273.051440280674,3322.6916162594566,3369.988919165107,3414.99088189009,3457.751819850384,3498.3320974517314,3536.7958427454173,3573.2113360992116,3607.6491600242425,3640.182095578163,3670.8842897633085,3699.830676610852,3727.096669671899,3752.756905536028,3776.8852385508085,3799.554501287416,3820.8362769130645,3840.8009994117,3859.51689981069,3877.0499638459087,3893.46393196174,3908.820292729691,3923.1786466509957,3936.596328834876,3949.128126417326,3960.8262784525023,3971.7404759127335,3981.917936769249,3991.403949282657,4000.2415053941577,4008.471405263564,4016.1323062779065,4023.260723051433,4029.8910274256077,4036.055460895778,4041.7848135151817,4047.1078916615306,4052.051670350028,4056.6416654256373,4060.9019335630765,4064.8550722668247,4068.5222198711153,4071.9230555399436,4075.076120623009,4077.998912597486,4080.7071863440397,4083.2158451962673,4085.5389714336056,4087.6898262813365,4089.6808499105846,4091.5236614383157,4093.2290589273375,4094.807053407246,4096.267259935667,4097.61795154381,4098.866742208718,4100.020872009131,4101.087207125481,4102.0722398398975,4102.9820885362005,4103.82249769991,4104.598837918235,4105.316105880085,4105.978867762796,4106.590916599005,4107.1559069576815,4107.67733447687,4108.158485980914,4108.6024394804435,4109.012064172382,4109.390020439945
F,2.5498992964054485,3.3122068048829543,4.25022778968508,5.384880397481069,6.73642913343623,8.325835888073861,10.175703491583477,12.310826659067517,14.758758889649735,17.55016551028182,20.719148639566008,24.303717486592166,28.3459697621824,32.892552092382324,37.99509969231716,43.71031056127248,50.1005546289652,57.234427885011456,65.18689395203288,74.03935493915303,83.88059909175057,94.80738409650054,106.9239118546324,120.34180721941367,135.18120228931093,151.57172647800667,169.65028216510046,189.56073958523262,211.45472649877254,235.49357698977025,261.84305039086627,290.67203391840184,322.15312424934757,356.46547269931426,393.78557577487476,434.2841237116058,478.12688450792206,525.4782416335287,576.4873479679211,631.2836415919694,689.9796999982186,752.6742999023353,819.4350643416851,890.2950831707659,965.2606115200863,1044.3100957665165,1127.3791413163929,1214.3616124117987,1305.1213953920753,1399.4825606103918,1497.2336071461116,1598.1281733387066,1701.8870493706152,1808.2051832296006,1916.7528682112213,2027.1805953573146,2139.1244542470754,2252.2113414785704,2366.06307867438,2480.3006815265044,2594.5519881354976,2708.454924549777,2821.6564602494313,2933.8215119801384,3044.6384232268438,3153.8166464948235,3261.0844548609152,3366.197883713089,3468.942215179321,3569.1268882541435,3666.584490479788,3761.1757936645727,3852.789534300771,3941.335770514668,4026.745885002598,4108.974039680768,4187.996412819257,4263.805688082481,4336.410574485844,4405.835177429735,4472.118379851177,4535.31030634069,4595.470878711583,4652.668878209191,4706.980753527962,4758.489759752227,4807.283310532364,4853.453355776236,4897.094126134422,4938.302009509594,4977.174594348351,5013.81003426767,5048.306624347371,5080.761315175763,5111.269706695965,5139.925783810963,5166.821702256648,5192.047870283916,5215.6917322046775,5237.83772041821,5258.56725541116,5277.958776627992,5296.088180489835,5313.028371056752,5328.848969469152,5343.616313852121,5357.393459315427,5370.240277498392,5382.21414350183,5393.369446504432,5403.757787852639,5413.428050056161,5422.426396787972,5430.79627288431,5438.5784200736,5445.81172504103,5452.532529268669,5458.774856970271,5464.570893029713,5469.950983001007,5474.943633108288,5479.575510245819,5483.871441977995,5487.854815138096,5491.547677341992,5494.969881475591,5498.140209382758,5501.076409999413,5503.795199353513,5506.3122605650815,5508.642243846171,5510.7987665009005,5512.794455178261,5514.641426417412,5516.350107673643,5517.930099408113,5519.390531139568,5520.740061444334,5521.986877956326,5523.138697367037,5524.202765425541,5525.1858569385,5526.094275770158,5526.933783600655,5527.709168766642,5528.4250448331095,5529.085824726968,5529.695657959253,5530.258430625123,5530.777765403866,5531.257021558898
G,0.44702587269267907,0.6049733086782481,0.8070371297262176,1.0597764173974378,1.369826018886842,1.7442709861004224,2.190922841288647,2.718498143649181,3.3368167401881075,4.056939810099247,4.891325897503505,5.854028889381658,6.960809395955983,8.229351971567494,9.679541182976749,11.33351654738437,13.215986085911108,15.354530493510655,17.779871332652387,20.525945418093077,23.63038909799393,27.134916851939966,31.085539024785373,35.532611021798374,40.531445889502585,46.14287765667336,52.43310467797021,59.473710107192744,67.34219147637423,76.12291049209729,85.90594915129356,96.78687300423537,108.86708949205442,122.25516138776334,137.06392851847437,153.4095387270078,171.41167973784314,191.19503602531205,212.88369073717027,236.5992001853284,262.461146355501,290.5881896894781,321.0890366888622,354.0602917885882,389.5887700069174,427.75027599899573,468.5988846686421,512.1668348056046,558.4689124451713,607.4943717173948,659.2084887691061,713.5492930863973,770.427427324027,829.7295059636838,891.3156256176871,955.0221468417475,1020.6645985608518,1088.037884804351,1156.9205731331338,1227.078606841132,1298.2682420375381,1370.2393196848777,1442.7375122831888,1515.5098704688965,1588.3087033179372,1660.8926613212216,1733.0270654865253,1804.4906359411339,1875.0778722982093,1944.5970008102397,2012.869756921613,2079.737407273318,2145.061177490401,2208.717653095003,2270.599232701139,2330.6173176940497,2388.7020055730245,2444.7973857080838,2498.8613982044435,2550.8668922036163,2600.80128463218,2648.663142835805,2694.460703904784,2738.2121970043927,2779.9449823000496,2819.694644003272,2857.5019376136543,2893.413715930782,2927.4811457476076,2959.7595912883403,2990.3074491486245,3019.1851326991095,3046.455131339673,3072.180544848504,3096.4250765894612,3119.2526347205157,3140.726702295433,3160.9107439876643,3179.866838904697,3197.655618974804,3214.3362689470364,3229.966304293569,3244.6019355453604,3258.297727632609,3271.106064276196,3283.0771476903396,3294.2589985825975,3304.6974962275985,3314.4368039162896,3323.5192112156683,3331.984969496069,3339.872302708291,3347.2174073836036,3354.0544526337435,3360.415591172073,3366.331600187912,3371.8314731533133,3376.9424438745614,3381.6902941011044,3386.0993535255543,3390.192499783685,3393.9911584544348,3397.5153030599063,3400.7837876966255,3403.8144994548347,3406.6235985477347,3409.2263751897062,3411.637280042606,3413.8699242157563,3415.9370792659474,3417.8506771974407,3419.621810461969,3421.2607685534313,3422.777480748096,3424.1805159414857,3425.4777579775023,3426.67670424035,3427.784465654547,3428.8077666849276,3429.752945336629,3430.6259531551063,3431.432355226123,3432.1773301757535,3432.8656130465606,3433.5011494164787,3434.087738012322,3434.6290123728627,3435.1283906351678,3435.5890755346004,3436.0140544048213,3436.4060991777856
H,0.40077325687365833,0.5701066494758716,0.7924591725015812,1.0760209295880563,1.4290751314755525,1.8604153371872414,2.3796478200873854,2.9973819264066863,3.725436720739437,4.576981048700352,5.566684847043038,6.71091070311322,8.027815689688419,9.537561379920328,11.26253842885351,13.227409333236626,15.459398367474186,17.988552583354455,20.84788034749396,24.073397766134793,27.704559926757057,31.78455160022299,36.360194252472475,41.481953184217744,47.204432725307285,53.586840458042545,60.69221103232598,68.58730712827926,77.34297784259908,87.03502799182272,97.74210705191527,109.54519072330481,122.52780947511175,136.77729801900816,152.38083716201396,169.4240751049825,187.99142584669525,208.16761133528624,230.03136455193336,253.6533281340584,279.0971685635118,306.4209224805594,335.66866159901656,366.8687687948376,400.0373302569128,435.177588250128,472.272229005467,511.28380664232304,552.1602354965833,594.8296275764274,639.2022889277313,685.1706214418941,732.6099714432169,781.3820496983701,831.3351447359348,882.3065390715561,934.1251601080598,986.6138456938378,1039.5915916541549,1092.8757794497478,1146.2857627646515,1199.6446099121847,1252.7788695271638,1305.522941459781,1357.7218213704411,1409.2301787020224,1459.9113801891813,1509.6419614652855,1558.312474931322,1605.8250752601523,1652.09305970741,1697.0435437698718,1740.6173933228217,1782.7659373111615,1823.4510075643027,1862.6458022744716,1900.3345227852494,1936.5095977660035,1971.1714665033294,2004.328360907462,2035.9960048846085,2066.195816929695,2094.9541771182207,2122.3020231488417,2148.274260589932,2172.909323252939,2196.247810050683,2218.3327090166613,2239.2082763618137,2258.9199740987215,2277.5139770011183,2295.036836298496,2311.535288459611,2327.0555044497323,2341.64308658913,2355.342930067284,2368.1991000118473,2380.2548852363902,2391.5521781108187,2402.13144982118,2412.031750369664,2421.2907152237462,2429.944784082448,2438.028976309994,2445.576734941149,2452.6199266256067,2459.188841627988,2465.3122415586604,2471.0176950718896,2476.331343541856,2481.277984523575,2485.8811040635455,2490.162876699749,2494.144165461651,2497.844529529953,2501.2826393469836,2504.4759432404403,2507.4407712772186,2510.19256666886,2512.745885771548,2515.114398086114,2517.310886258031,2519.347246077421,2521.2346810165423,2522.9837536233927,2524.6039658853874,2526.104304972083,2527.4932618033567,2528.7788310493984,2529.968511130715,2531.069304218132,2532.087716232787,2533.0297773021794,2533.901274021941,2534.7071779082285,2535.452063247582,2536.1402795704894,2536.775951651384,2537.3629795086454,2537.9050384046,2538.4055788455207,2538.867826581626,2539.294782607083,2539.689188048851,2540.0533116405854,2540.3893417881304,2540.6993725240172,2540.9853725070143,2541.2491850221268,2541.4925279806007,2541.7169939199202
I,1.3974675000805052,1.8200736704919795,2.3417689584571213,2.975213145764396,3.7328913960347987,4.627829370921175,5.6740918177722435,6.887076052980195,8.283815077044052,9.883168900067615,11.70600847280106,13.775463172518716,16.117028181604855,18.75883311320604,21.731857440194833,25.069967444409173,28.810275787994378,32.99344707714111,37.66372512305246,42.86896635994512,48.66119411380295,55.09692504904153,62.23677687717574,70.14544706379169,78.89236158812471,88.55226075179232,99.20381148940015,110.92941637861648,123.81572586498275,137.95482495678868,153.4411302623919,170.37063916722872,188.84136877423128,208.95511756581334,230.81220583866025,254.5097197803097,280.14215682831326,307.8035942467982,337.5798825571097,369.5461800346293,403.7686853096515,440.30644556664186,479.20154501261584,520.4772218338603,564.1421903992953,610.1900374096995,658.5904736517583,709.2899080976711,762.2179021322772,817.2812741125865,874.3664101120926,933.3391971628682,994.045994763911,1056.3175103115536,1119.9690418121627,1184.8032232343717,1250.6130541585965,1317.1844673977987,1384.298928816338,1451.736025332113,1519.2776054675435,1586.7098312795752,1653.8229497318523,1720.416436386824,1786.302232201555,1851.3037355403885,1915.2546907126712,1978.0045399598241,2039.4194850056006,2099.379661191216,2157.7785938740312,2214.5265282970054,2269.550377150877,2322.789766236313,2374.1970949353963,2423.7386975424874,2471.394419234134,2517.1542137328233,2561.0178847943807,2602.994916860447,2643.104118619668,2681.3713868783516,2717.8287831560324,2752.51411122144,2785.4702033614712,2816.744366384016,2846.3866425727274,2874.4501273498454,2900.9896000062336,2926.0614461061823,2949.7230220680835,2972.032201369844,2993.0471727985314,3012.8255003612985,3031.4241192931913,3048.8991510782275,3065.3057139823495,3080.6980189288834,3095.128580119949,3108.648182882593,3121.305883668786,3133.1489985234966,3144.223371522428,3154.5731052545107,3164.240347276029,3173.265290025404,3181.6861708232,3189.539327985767,3196.8596053496394,3203.680081474253,3210.032153372611,3215.9455734486373,3221.448449497173,3226.567244703975,3231.326787080643,3235.750783487365,3239.8614142988245,3243.6794547613017,3247.2245585830524,3250.5152579343035,3253.56896344726,3256.4019642161015,3259.029427796978,3261.4656454830424,3263.724102440912,3265.8169460242625,3267.755668042414,3269.5511280695887,3271.2135534449135,3272.7525392724224,3274.177048421051,3275.4954115246433,3276.7153531141157,3277.8442917259154,3278.8886129955335,3279.8541949882174,3280.7466273329674,3281.5712112225397,3282.332959413442,3283.0365962259393,3283.686557544048,3284.28699081554,3284.841755051941,3285.3543772168778,3285.8277882840794,3286.26481220036,3286.6681501491025,3287.040342124664,3287.3837669323843,3287.700642188579,3287.993024320544
J,0.6484511104611254,0.809351882978118,1.0088304330107873,1.253614432773438,1.5511591681986197,1.9098299163918402,2.339069330930048,2.849540428114314,3.453306820236156,4.163980618630319,4.99692946422687,5.969491813057887,7.101148508873099,8.413812512007052,9.932195910236102,11.683889450628747,13.69980131013879,16.014566882198057,18.6669668804858,21.70004164384803,25.161752835786643,29.105526004070484,33.59070842568998,38.682657239254155,44.453609823452936,50.98348382999864,58.360047775691356,66.67901998851728,76.04488911884756,86.57223084604816,98.38488664288033,111.61585074561738,126.40790045118929,142.91544361238448,161.30170713899858,181.73784705579865,204.40339538576836,229.48830603697715,257.1867156150155,287.69481828526835,321.21152354557256,357.939895816567,398.07593613665097,441.8058330961213,489.30839383076,540.7532201875288,596.2856416183646,656.0262474002581,720.0752140251436,788.4999791630335,861.3365252839568,938.5819854062353,1020.1931570011524,1106.0895819937934,1196.1468546707297,1290.1995825681513,1388.0440318725175,1489.4342204901761,1594.0888232991538,1701.6966283386544,1811.9167119011327,1924.3835769619957,2038.7141126430467,2154.513054646633,2271.377446281331,2388.902122865473,2506.683015422331,2624.325897633515,2741.451345326664,2857.694829864739,2972.707002195397,3086.1654279780573,3197.776157255163,3307.2679981438864,3414.393590289283,3518.937606298648,3620.71681876565,3719.5722218758656,3815.368970476998,3908.0009190837604,3997.3903935595135,4083.481575915813,4166.237322836043,4245.641860915022,4321.699639447227,4394.433403560616,4463.877184375274,4530.079149981866,4593.098890862716,4653.007197218998,4709.883259332776,4763.8117873563715,4814.88416713794,4863.195550495437,4908.844840147021,4951.933604807455,4992.563909156388,5030.839897893268,5066.864805655554,5100.740805955294,5132.569011179126,5162.448532962991,5190.477034062031,5216.750402310525,5241.361263129081,5264.398978554871,5285.949647241642,5306.096087796746,5324.918231276342,5342.49339058052,5358.895441390065,5374.194754716297,5388.458196901081,5401.749129616815,5414.127426169405,5425.650493266245,5436.372802343318,5446.345733310449,5455.617988872953,5464.235594531649,5472.241898582861,5479.677572118407,5486.580609025602,5492.986945302856,5498.930823717317,5504.443329494909,5509.5538921176,5514.2903404019835,5518.678902499292,5522.744205895389,5526.509277410778,5529.995543200598,5533.222901237887,5536.210625137527,5538.9754005529885,5541.532586013531,5543.89679406591,5546.081891274377,5548.100998220672,5549.966489504033,5551.689993741194,5553.282393566375,5554.753825631303,5556.113565741053,5557.369333101094,5558.528574970394,5559.598423534962,5560.585594651448,5561.496387847155,5562.336686320027,5563.111956938657
