Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,10.008682518268982,12.10460092966244,14.461559797748698,17.057116183579353,19.890612448120315,22.975569853291994,26.33496379333549,29.99907021917429,34.003670355791265,38.389364448385024,43.20171116643887,48.49050138305625,54.31038189787891,60.720463331634136,67.78534047985359,75.57541597865209,84.16625785329842,93.63792180639356,104.0777135489773,115.58054162572662,128.24571268604683,142.17503900975038,157.47871499592316,174.275784484321,192.6871174025696,212.82846854288553,234.82175111398564,258.7964515779058,284.8786585987103,313.1721409519447,343.77855098351415,376.80135296566357,412.32971829608266,450.4022667164103,491.0404903080316,534.2567096636614,580.0299791924617,628.254611280475,678.7940125759777,731.4929410755968,786.1381573335124,842.4091587279336,899.9591549680397,958.4263445935851,1017.3716755760317,1076.2689755122733,1134.5999192361883,1191.8475055189137,1247.4307524273788,1300.7834911238258,1351.3397229349816,1398.5688865937382,1441.9835101613294,1481.1261678761832,1515.6086370220025,1545.105664930481,1569.3582688030365,1588.193531146911,1601.511427544889,1609.2853894786842,1611.563114398425,1608.456939989096,1600.1525165455785,1586.887837312886,1568.9345123671026,1546.6035049788484,1520.2593772786688,1490.2758050163488,1457.0236323597078,1420.8911144328217,1382.287694219784,1341.598764979962,1299.1824596680915,1255.3993654105484,1210.6060023054508,1165.1225517951045,1119.2330592132523,1073.2115301169515,1027.3187876103984,981.780244831032,936.7858677299353,892.5073521259634,849.10622539035,806.7160699801375,765.4431023899808,725.3703014983405,686.575038573415,649.1171097962092,613.0382965711844,578.3627017403683,545.1026375054026,513.2669669178554,482.85270601638376,453.8476800456739,426.2305481674051,399.9730911494435,375.04699799242854,351.4179282269572,329.0481118068069,307.8965845490081,287.9191881338449,269.07130461887687,251.30890810823956,234.5860573342465,218.8569677172671,204.0760133681718,190.197727088333,177.1771406626645,164.9716134176689,153.53854486364253,142.83649152909203,132.82544409528592,123.4668273962543,114.72350041878944,106.55976263356476,98.94172793370984,91.83697590667128,85.21437230123014,79.04422341369624,73.29827608790808,67.94971771523275,62.973176234566175,58.34472013233303,54.04167932247336,50.04272075087151,46.328133817367814,42.879171385500634,39.67803006829251,36.707850228250265,33.952715977365045,31.39765517711229,29.028639438451396,26.83254626104835,24.79683897947652,22.910765955317995,21.16435815951204,19.548074912406708,18.05280388375885,16.669861092734084,15.390990907906861,14.208366047260354,13.114587578186601,12.102684917486421,11.166285168926057,10.300638120984125,9.500879062300129,8.762235271081872,8.080182183956218,7.450443395969064,6.868990660585338,6.332043889689007
B,3.4038489180107354,4.6996063600779445,6.235887340557567,8.001732688315045,10.003463300047706,12.258850490769044,14.793623219495005,17.639989005121162,20.835448068272616,24.422424719117828,28.448574663297663,32.96637259411968,38.03372758021983,43.71388318075152,50.07634710584177,57.19717716639543,65.15869140681937,74.04899387070175,83.96427180296801,95.00912463749091,107.29394219155463,120.93304922117265,136.04979218247956,152.77696448637664,171.25024630466484,191.60115813199135,213.96727947170115,238.49357508042266,265.3213646911177,294.5687154631696,326.34980890753,360.77877384387716,397.952981176051,437.9147715855861,480.6852879410039,526.2726613634445,574.6468475170758,625.6849237828203,679.2279781007442,735.0943787359996,793.0387007796484,852.6996981611562,913.6877573046744,975.5974930661021,1037.94258917989,1100.1465499560934,1161.64492392936,1221.8787281296995,1280.2262526144277,1336.0868587889247,1388.8662281058214,1438.0127779969494,1483.0254730406702,1523.4403390110303,1558.869606165196,1588.9950859638393,1613.5709867079727,1632.44150570712,1645.52780029338,1652.8283683108064,1654.416691987033,1650.431297836226,1641.0861599609152,1626.646525331146,1607.408612978879,1583.7069087387915,1555.9292440886634,1524.469672512089,1489.7165620723474,1452.0740681351165,1411.9657792044738,1369.7888652778672,1325.911006605288,1280.7008824468949,1234.5214983093194,1187.6980548545098,1140.518273917025,1093.2587793226494,1046.1819565267947,999.5140672923146,953.4452853823238,908.1469277814024,863.7795492298644,820.4754735314922,778.3394617754501,737.4528365518719,697.8910402841407,659.7118164094832,622.9549091592268,587.642402525915,553.7845779879677,521.3881961604084,490.44822995117386,460.9505504947969,432.87195181798484,406.1824228383541,380.85188184004767,356.84430517606626,334.1203303101023,312.6374900483536,292.3502125395237,273.2125340212368,255.1791491932467,238.20292259253884,222.23694104234445,207.23451563725737,193.14918174323526,179.93503588975193,167.54855723908645,155.94634227380357,145.0861888700994,134.92736924344106,125.43062994856588,116.55819187948217,108.27375643042758,100.5428795901718,93.33264535042838,86.61145597769615,80.3491757082743,74.51713074826233,69.08810927356001,64.03636142986754,59.33759933268552,54.96882020690059,50.908403879723615,47.13638064972238,43.633754194316474,40.38248165023212,37.365473613502424,34.56659413946727,31.970660742773408,29.563444397373992,27.331631776198414,25.262519872685502,23.345226712927683,21.569659031953737,19.9261542358684,18.405480401852344,16.998836278162216,15.697851284130616,14.49458551016606,13.381529717753098,12.351605339452199,11.398341111958379,10.516942604197881,9.702484156517162,8.950127093351657,8.255282737276524,7.613612409006642,7.021027427396609,6.473689109440745
C,19.942057841673606,22.971740487976156,26.32915410553045,30.011188714018573,34.032509991521984,38.41959202965077,43.20711622020709,48.43638314843429,54.15404972686204,60.41168056769943,67.26581916538278,74.77774128004636,83.01383128544502,92.04463549514465,101.94657334086797,112.8023344301349,124.69906495974907,137.7271876163536,151.9841459381723,167.57475285361377,184.60580878320565,203.18303198805197,223.41902704911905,245.43384393390392,269.34435553218935,295.25441167058983,323.27027831603925,353.50243184173814,386.0504175044369,420.9780131781449,458.3408018167802,498.1912851758205,540.5586779048037,585.4048676701793,632.6688917455799,682.2772807269091,734.116353962854,787.9751678388949,843.6130091893308,900.7745810376215,959.1477394565097,1018.3151808914679,1077.8467808308083,1137.3120910374896,1196.2175467644636,1254.0030936611613,1310.1373543698214,1364.111187655508,1415.3763218626505,1463.4200491584168,1507.7532506200282,1547.9379282759203,1583.5927539524587,1614.3821861526515,1640.0440320109049,1660.383981545216,1675.2769115504407,1684.6736657735003,1688.5927792090147,1687.1213504124921,1680.4045359133756,1668.6375919211694,1652.080313340988,1631.0293742028962,1605.7981218391583,1576.727235427276,1544.2001742670723,1508.5976454669099,1470.2880780095388,1429.6488984660214,1387.0696415395169,1342.9119843886535,1297.5075149039567,1251.1854825194937,1204.2669428257245,1157.0376567023593,1109.7486294725331,1062.6393242018207,1015.9350505583395,969.8287814807223,924.4813130171096,880.0362018721422,836.6267875525439,794.3616099098194,753.3251138607604,713.5812042172284,675.1883468755628,638.1895777553641,602.6123988615971,568.4690736149785,535.7616685643193,504.4892035157236,474.6406203054364,446.19711811692105,419.1321747381715,393.413510301083,369.0089384672213,345.8813070814988,323.99072805216963,303.29477918305747,283.7485041735549,265.30678214231665,247.9252916775736,231.55829439126472,216.16039457371028,201.68654091497135,188.09202650485054,175.33278667132032,163.36704740184692,152.15332294543748,141.6513033087732,131.8220908433077,122.6282002452664,114.03355855564723,106.00351078896155,98.50518435803713,91.50722498772134,84.97953592101932,78.8933955995901,73.22145766374649,67.93775095245508,63.017679503336396,58.438022552664975,54.17678608164801,50.21333765876765,46.52859422948861,43.10438988259237,39.92345804491073,36.96943148132591,34.226842294770506,31.68112192622763,29.31860115473038,27.126475787960395,25.09255103928386,23.206364334233893,21.458195285383134,19.838732872692432,18.339075443510733,16.95073071257515,15.665615762010965,14.476057041331554,13.374790367438523,12.3549609246216,11.410295417231469,10.536145454514815,9.727729096131997,8.980344906688407,8.289530851448752,7.65106429633704,7.060962007936593,6.515480153490024
D,91.725190992434,107.7045280317568,125.40008314716947,144.71325616842552,165.66747780895082,188.3649613488048,212.9599317411175,239.64639209870927,268.647858924464,300.21330400220677,334.6173113159421,372.1559773412025,413.1497183354342,457.938923900771,506.8902923910247,560.3986807434839,618.8795837434676,682.7627723531027,752.5094753407018,828.6141126277115,911.5789763602072,1001.8994799502018,1100.1016101369294,1206.7445705902355,1322.3707425778532,1447.4593516214304,1582.499427414257,1727.9982933377933,1884.4107007062064,2052.0228111288725,2231.0823683211197,2421.822857386396,2624.3694154262744,2838.534316320161,3064.0255961700022,3300.4955217786346,3547.4117702635294,3803.793597722229,4068.5254208603274,4340.426937107007,4618.0566145245675,4899.4887307981135,5182.738425508679,5465.81842841739,5746.447811897835,6022.0356310475945,6290.117004057127,6548.322780041282,6794.095477602422,7025.0326794165585,7238.830958559962,7433.413622078464,7606.95674637335,7757.8392516269505,7884.773151477855,7986.778991307995,8063.193558877746,8113.706882334135,8138.323462559806,8137.367367720899,8111.440004768662,8061.383575335562,7988.346109200165,7893.658106152534,7778.740656214525,7645.1524179374765,7494.661574986229,7329.035331272556,7149.994297131157,6959.310775372118,6758.824445497233,6550.251571999116,6335.173655996489,6115.168501321114,5891.782782090904,5666.399457105932,5440.239709861489,5214.4744374571665,4990.211921814516,4768.4066481289465,4549.8595540312335,4335.290707401065,4125.3742847142985,3920.664481627681,3721.5980976818933,3528.512018365941,3341.718490675266,3161.45473146973,2987.8806224842738,2821.080119622294,2661.0865295177764,2507.9190950349334,2361.546418881529,2221.8972951963465,2088.860814271629,1962.2963763093433,1842.064100185501,1727.9985018532238,1619.9189978087443,1517.630914345128,1420.9254875522702,1329.5923064071653,1243.4248451784226,1162.2082619052348,1085.728257421962,1013.77108425741,946.123546634832,882.574634260767,822.9247989860598,766.9750476476615,714.5314393453816,665.4063570699356,619.4185077029412,576.3929220169216,536.1609940293647,498.56300946273575,463.4464354569422,430.66439311775224,400.07651734976093,371.5489568563893,344.9543741398845,320.1719455013212,297.08736104060034,275.5922875620708,255.58528474346792,236.9721609281641,219.66315605978508,203.572868332993,188.62025419348706,174.7286283380028,161.82566371431332,149.84339152122635,138.7180406982822,128.38898855830607,118.80417907134206,109.91515773796726,101.67546551348184,94.0406388079092,86.9682094859959,80.41770486721168,74.3506477257493,68.73055629052494,63.52294424517799,58.69622903069008,54.22723733337189,50.09196864826214,46.26676117087185,42.72913188387854,39.45777655712603,36.432569747624584,33.63456479955078
E,8.331402441591468,9.823409923694273,11.555601880401472,13.528985019709845,15.75727313824558,18.262832707396324,21.074347508556414,24.225901899491006,27.756303458253754,31.708940053115636,36.13208649353972,41.078843420697915,46.60760521965166,52.78187064422606,59.671407851825606,67.35254559762964,75.90763448429698,85.42460500005305,95.99939137814954,107.73624449182154,120.7449295220458,135.13886424130368,151.04036443513886,168.5810718343248,187.89526482117478,209.11284652722208,232.36976420180713,257.8093432784643,285.57128158083987,315.7722887484155,348.5255480442562,383.94453602177765,422.1265066781469,463.1149202425637,506.9329257365821,553.5913887134468,603.0640470189351,655.233904832837,709.9488107483655,767.0342670765936,826.2528555964379,887.2530780623481,949.654284978385,1013.0587223938485,1076.9872577629644,1140.8697439023108,1204.1447316201202,1266.2528858342587,1326.569684966999,1384.4877709960865,1439.402160544566,1490.7468571709792,1538.0028406597362,1580.6848438117797,1618.3814267331113,1650.7486304411548,1677.5133436181868,1698.492881387844,1713.5817147060761,1722.75211471964,1726.0540189553778,1723.6051463822496,1715.6005787674815,1702.2902486394241,1683.9592499175785,1660.9342171641777,1633.598358003105,1602.344698555754,1567.563717825522,1529.6645868612777,1489.079153688063,1446.214573586315,1401.4499402172341,1355.1673757505826,1307.7452741808513,1259.5242510066623,1210.8073081620535,1161.8872542036725,1113.043490791983,1064.5182555240865,1016.5165235295653,969.224164172637,922.8166751239953,877.4399777360634,833.2109069550388,790.2216047779576,748.5584771593719,708.2892893151829,669.4623977381411,632.1071005289859,596.239998435632,561.8741715370624,529.0098749382859,497.6372385952227,467.7362936412552,439.2794817417753,412.2392351381046,386.58136360522735,362.2677147751143,339.2564278952815,317.5019338287898,296.9580410025894,277.5792487746372,259.31777527454483,242.12579624842502,225.95544728184015,210.7588237998034,196.48838167655515,183.0991650707986,170.54613131808028,158.7853405992143,147.77427353554236,137.4718311889332,127.83833506178324,118.8355365152425,110.42719470837932,102.5786267666341,95.25642612730086,88.42868472965888,82.06499301497232,76.13643992649045,70.61561290944759,65.4765979110634,60.69483726258838,56.247293184598284,52.11259719834793,48.27039989419092,44.70135313918639,41.38711007709877,38.31032512839801,35.45465399025959,32.80475363656399,30.346244007186986,28.06543089800325,25.950571321212845,23.990751733947796,22.17551383620905,20.494854570866515,18.93922612365902,17.499535923194347,16.167146640949174,14.933876191269185,13.791997731368989,12.734442134486903,11.756024045895254,10.851379056239105,10.015222499947278,9.242536729449771,8.528571115177737,7.868842045563506,7.259132927040556
F,13.639502914852528,16.930692107344694,20.659203610386182,24.793926053662652,29.33742547951556,34.31410257402429,39.76287281373065,45.73385344829117,52.28558259932747,59.48395022833425,67.40238175557009,76.12063872210209,85.72573166892401,96.31118481867544,107.978413972118,120.83718619393231,135.00435047445217,150.60245909535058,167.76380639669603,186.63090519150455,207.35086829544463,230.0718942303264,254.95222259223067,282.16080343969986,311.8653246878891,344.2205370772483,379.38597246126085,417.5280812185064,458.80225716085846,503.32250236412665,551.1938465132224,602.5184996941609,657.3708327451202,715.7418151869307,777.5927485615043,842.8679590896704,911.4592710507004,983.1313596525636,1057.6060784630313,1134.5816776300885,1213.6770627981084,1294.3654828786778,1376.094667564787,1458.3034172925704,1540.3364708769702,1621.4366325532121,1700.8749186719888,1777.9418009850403,1851.8614708997325,1921.8961218566196,1987.3282508428354,2047.5023282007144,2101.8334812240983,2149.7915011362575,2190.9445276273664,2224.9511785835934,2251.5633688197495,2270.642440145335,2282.1453120338515,2286.1255060097924,2282.7249233774646,2272.1621510853815,2254.749048103142,2230.856739244577,2200.888940746829,2165.29380375684,2124.5843850766946,2079.2771430101884,2029.877607376958,1976.9088215019071,1920.9160537866262,1862.4091417408695,1801.858857357003,1739.7359543089703,1676.5028531888845,1612.5733729237595,1548.31323205626,1484.0735485249681,1420.1870172494707,1356.9403122336387,1294.574144510538,1233.3051297669954,1173.3362035170255,1114.8343653456366,1057.931483301084,1002.7295432806338,949.3231411462604,897.7843804050943,848.1623094519473,800.4833482434557,754.7588187388534,710.9957321169265,669.1860022625723,629.3097693589264,591.3354313067038,555.2225988274204,520.9309747900489,488.4126395528709,457.61527365616206,428.4824586121169,400.9536769048493,374.9679196380331,350.46520006803536,327.38311240915675,305.65946953422207,285.2323055805707,266.0398759500578,248.02111965671128,231.11823112752904,215.27356330810215,200.4309912497622,186.5362782103758,173.53707565434397,161.3829232526028,150.0252588720884,139.41804740827754,129.51731165584323,120.28076233222511,111.66802177979217,103.64062396584252,96.16201448260344,89.1975505472316,82.71450100181306,76.68185533858377,71.07052829636723,65.85357568802203,61.00534134299594,56.501433538007575,52.31872499704658,48.43535289137358,44.83071883952029,41.485488907288776,38.381545433065114,35.50163696907952,32.83096621874741,30.355781379004807,28.06290598700383,25.939738920112738,23.974254395915892,22.15500197221382,20.471106547023112,18.91226835857657,17.468762985323117,16.131691806523893,14.894499550380859,13.750420357236873,12.692794075844462,11.715297692975145,10.811945333419335,9.97708825998644,9.205414873504786
G,2.7632322100295483,3.5778931466696693,4.526342852370544,5.605201228738497,6.8202662863305825,8.183539190848473,9.711471694109955,11.424257705185312,13.345293333235515,15.501050345316207,17.921332950692417,20.63915223088234,23.69112994661639,27.117615549610917,30.963310764567506,35.27745095349597,40.11393626067567,45.53134180044816,51.59426660172749,58.373565068811956,65.94549084797436,74.39112143942508,83.7991732446775,94.2662752936045,105.8942929471081,118.78721372657878,133.0565744226809,148.82224493411755,166.20729004451965,185.3281932734937,206.30483967859865,229.2626465176743,254.32371376341786,281.58577932197136,311.13949693062045,343.0727938537826,377.45572189823736,414.3065840568379,453.6220201412302,495.38398807056393,539.5320204669952,585.9252634042984,634.3930037832524,684.7415985287481,736.7060422054208,789.9353011267724,844.0610468919401,898.6917046257435,953.3560159851836,1007.5647602596138,1060.7946327167388,1112.521449591884,1162.2274669815847,1209.3874851225642,1253.5128813704166,1294.1456068994535,1330.8633980300933,1363.3161704393226,1391.2092819469412,1414.303674552769,1432.439686760772,1445.5286737326587,1453.547657282102,1456.541500787041,1454.6152605008144,1447.9276621740191,1436.6994490963295,1421.1870811208314,1401.6695972703194,1378.4600674236829,1351.9113967925161,1322.371707084565,1290.179452679583,1255.689556875437,1219.2682686179025,1181.2547016675207,1141.9597187654526,1101.6932892221005,1060.7616118914925,1019.4367729098742,977.9557604078302,936.5403169748245,895.4075545562713,854.7442479360601,814.7061303836806,775.4229804635403,737.021795677019,699.6100335452807,663.2723654707263,628.0710267933019,594.0537474735738,561.2659402988835,529.7374289034888,499.4847937919614,470.51140306682953,442.8106953473592,416.37663178197533,391.19439619095766,367.24296670931284,344.49542745424486,322.9189685251549,302.47921193977317,283.14242709660795,264.87081454990454,247.62530390614188,231.36555681850513,216.04996698688677,201.63627271633004,188.08512495362226,175.35603520198305,163.40892599507606,152.20459792040978,141.70472961933697,131.87187778705535,122.66949797877513,114.06320273910694,106.01983727790818,98.50705353282571,91.49382715356818,84.95045750190586,78.8485676516707,73.16110438875648,67.86233821111877,62.927854814671626,58.334864983097056,54.061970015363976,50.08874234475378,46.395718102446,42.96439711751832,39.77724291694664,36.81768272560517,34.07010746626581,31.51983741593762,29.15295435134405,26.957528986029697,24.922434582610098,23.0369847474852,21.290933430839292,19.674474926641093,18.178243872643726,16.79331525038465,15.511204385185808,14.323866946153498,13.2239431956279,12.20623460782407,11.26524000658799,10.395494853713025,9.59179858421847,8.849214606349545,8.163070301577399,7.528957024599104
H,2.9129731968728505,3.8891727440303603,5.032025290302818,6.337895272184805,7.813437454583726,9.47215936439975,11.33237874527181,13.416366504865968,15.749667794898475,18.360894992018995,21.281895226629327,24.547551934703037,28.196120453477842,32.26905663453243,36.811695382780215,41.87343784259488,47.5073521872815,53.769788791135724,60.72196625854474,68.43017083104738,76.96375416071835,86.39381287820751,96.79669155833389,108.25426004908427,120.8492967828246,134.66073783511698,149.7707015011486,166.26537160054087,184.22761673835964,203.7241241230387,224.81855280331726,247.57409783667833,272.0426787937894,298.2404083274124,326.17008920436143,355.8266273628028,387.18105219144155,420.1461279730413,454.6131730481114,490.460596536682,527.5280396479438,565.5841907658476,604.3819019033357,643.6660144964227,683.1326112974901,722.423552808098,761.1895786303517,799.0861132636202,835.7307897731927,870.7549911936502,903.7945546411768,934.5118302703336,962.6003421853812,987.7762848988428,1009.802493912728,1028.4842784044704,1043.6710909628634,1055.2675506027588,1063.2253608735355,1067.5435443761558,1068.2674105693795,1065.4824595094237,1059.3206568400697,1049.945966606015,1037.5420040557842,1022.3163545007387,1004.5100098395161,984.3683977230617,962.1339169591577,938.0592362660668,912.4097746423184,885.4348777670205,857.3658330297325,828.4350461530391,798.8719586199645,768.8824878786354,738.6491798514111,708.3480026062102,678.146419970405,648.1891239886362,618.5980086253768,589.483239798711,560.9485590241234,533.0797516298436,505.94498896952655,479.59749773774854,454.08704072019873,429.45213109168066,405.71963673404986,382.90499475697374,361.016055155702,340.05860364718967,320.030774237215,300.92470485313953,282.7265533038678,265.41800581471813,248.9808212915497,233.39286003959097,218.62969775445578,204.66477843780942,191.46941439736878,179.0146273833569,167.2719247136939,156.2115256606584,145.80369989893575,136.01876883317624,126.8271055979954,118.19937097405894,110.10782541375161,102.52474789246764,95.42313135178996,88.7768695009744,82.56075681694949,76.75048854431692,71.32266590768539,66.25512082063064,61.52666860564542,57.11692914813034,53.00644607304277,49.176686744896834,45.61004226776326,42.289827485269655,39.200280980600375,36.32647298734554,33.65440545414429,31.171115080846793,28.864260243602192,26.72210960043202,24.73354209123035,22.888046937763693,21.175723643671134,19.58728199446396,18.114018644479156,16.747648922826546,15.481081115357131,14.307727874169986,13.22127710889272,12.215691986681506,11.285210932221037,10.42434762772459,9.627891012933928,8.890905285119421,8.208729899079978,7.5771031832286315,6.9929111287413095,6.452928451061984,5.953976531887145,5.493037740582315,5.067255434182033,4.673933957389868,4.310538642578406
I,7.550626555677569,9.399582512827223,11.510072359215709,13.869035639237307,16.481265172834938,19.363091520594146,22.538534539639258,26.037588260964096,29.894801347950636,34.148743271652336,38.84208531344924,44.0210703420597,49.735949260923825,56.040401924137626,62.992536363639374,70.65517075110628,79.09478768118679,88.3806882149546,98.58757033060078,109.79579980203209,122.08778827394727,135.5458941349978,150.25805058470627,166.31817645084618,183.8188817432492,202.84459719149382,223.48259712547426,245.82431681816374,269.95479727187717,295.9350559587622,323.8218512958673,353.6714340565522,385.5251078074317,419.3773182001805,455.2075338215161,492.98779119904145,532.6621827606691,574.1040947539302,617.1649001368318,661.6849565519559,707.4611180345034,754.2083100959555,801.6276324335474,849.4155036950423,897.2137067872885,944.6036590103913,991.1802361941552,1036.5463553325437,1080.2620461890226,1121.9043414120024,1161.056053001126,1197.3304178366898,1230.3762161484728,1259.8678224857103,1285.5326089851508,1307.146207810142,1324.5346126854424,1337.5871283507074,1346.2472935498533,1350.5135051647444,1350.4382799246978,1346.1213535297134,1337.7173253143328,1325.419142742458,1309.443816941453,1290.037476844158,1267.4868524934568,1242.0850176038566,1214.122443318561,1183.9028418595863,1151.7463847470485,1117.9547521465142,1082.8086502027272,1046.5909945825597,1009.5820610789991,972.0340495108013,934.1711873361173,896.2102939411384,858.3584717525368,820.795126868626,783.6718669632804,747.1261917193399,711.2881630656016,676.2657367617384,642.1450752159232,608.9938754071271,576.8758079726467,545.8406535435566,515.923585956353,487.145434336637,459.5175373309627,433.0488029377156,407.7384959595357,383.578226663793,360.55197072342173,338.6379945657295,317.8147168049058,298.05558082933726,279.3310197402011,261.6086493423012,244.85326814406804,229.02924591350995,214.10157716868852,200.03352200692711,186.7883037963037,174.32911088378984,162.61909659525224,151.62169208228,141.302367566317,131.62654149981,122.56046797137945,114.07148199250584,106.12799949752942,98.69951734365063,91.75662097161394,85.2714608456079,79.21739926293786,73.5687662609579,68.30103700231587,63.390831774953284,58.815915992105445,54.55520019230143,50.58874003936419,46.897636611281115,43.46417891310816,40.271927236887734,37.30522232006521,34.5491722794607,31.989652611269094,29.613306191060087,27.407543273778263,25.360541493742634,23.46121691871817,21.699023149119302,20.06491627793815,18.550487254158412,17.147676251126775,15.848772666552955,14.64641512250964,13.533591465432563,12.503638766120403,11.550243319734912,10.667440645800827,9.849773435140222,9.09324800428941,8.39372661515869,7.747130674982304,7.149586888672432,6.597427258819156,6.087189085690481,5.615614967232316
J,2.874341701621867,3.5823699800339828,4.419122818941909,5.39702164363331,6.532581347403182,7.845690613070649,9.359345676190205,11.099697620319219,13.09622135063265,15.381944748878094,17.993850789689954,20.973268796177944,24.366232724786112,28.223759299932638,32.602891708078076,37.566925716104834,43.185661372032726,49.53574718052792,56.70235209909114,64.77946097785023,73.86935853686421,84.08236042027542,95.54012570853341,108.3760101664853,122.73274786847337,138.7595069306876,156.6181404116412,176.48416002087185,198.54163097522473,222.97282814511556,249.96956470343756,279.7357585072775,312.4777545534798,348.38051840573746,387.6271090260239,430.40384326088156,476.8823324662791,527.178310146198,581.3860068485463,639.5863027967979,701.8111305660785,767.992751221472,838.0236959549101,911.764733383569,988.9776721560652,1069.299058724913,1152.3273121686946,1237.6129097540136,1324.5721357380482,1412.5687755511588,1500.8841930939566,1588.7628567712843,1675.4208915374938,1760.0181814851953,1841.7294210084067,1919.7315209573742,1993.210044352379,2061.434369589892,2123.7256871695477,2179.453541252405,2228.1056199368036,2269.277582814749,2302.6403469348215,2327.983112047786,2345.2222776864473,2354.3711616665246,2355.5421414015423,2348.9431865758384,2334.857728319844,2313.6453693668864,2285.7559460244242,2251.666444198063,2211.8707121727566,2166.9117669185825,2117.3788234951808,2063.836882291643,2006.8222427175624,1946.8873878745183,1884.5986891946566,1820.4717321632231,1754.967589084181,1688.5298631786884,1621.6080508306077,1554.59889516636,1487.8420668116814,1421.6304409503514,1356.260302196479,1291.993580040327,1229.0454695388034,1167.584997601054,1107.7526675035945,1049.6896928106005,993.5045236238194,939.2754944865178,887.0508873431497,836.8566802773781,788.7227106123556,742.6591270608275,698.6600526483328,656.7042658373681,616.7552005273876,578.7719490313847,542.7159801230038,508.537578244595,476.18198385932095,445.58940071801777,416.69499585919925,389.43057320818735,363.73485668188886,339.5424527766333,316.78711679292377,295.402963707661,275.3244681741423,256.4864645220628,238.8242160592207,222.27770845682855,206.78883614889386,192.29982607145357,178.75491470127054,166.1003480558325,154.28438169335232,143.25728071276853,132.97131975374506,123.38120068728425,114.44525443280031,106.1236680926704,98.37828074853647,91.17260025218799,84.47180322556201,78.24273506074323,72.45390991996408,67.07551073560374,62.07934265994674,57.43899675819824,53.13194820403084,49.137049123947264,45.43390600260293,42.002879682805876,38.82508536551669,35.88239260984872,33.15742533306776,30.63356181059247,28.29493467599405,26.127032974259425,24.120337792230092,22.264325194012304,20.548379607893416,18.962358091417318,17.49659033138444,16.14187864385175,14.889497974132727
