Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,15.201448639257437,18.36816872718495,21.924749333019438,25.83563869392824,30.098413834076432,34.73216349257997,39.770254975535266,45.25702306136648,51.24499936142972,57.79384073489704,64.9705163023613,72.84815905630313,81.50700179836308,91.03377533138334,101.52318376482638,113.07838286771937,125.81001859824914,139.83519328223173,155.281555244719,172.2878199484766,190.99899491881658,211.56357514225738,234.14224506539014,258.908568094524,286.0385907231947,315.70061706416874,348.0718793876647,383.3406244522597,421.68995736814594,463.2700429215712,508.2279123535511,556.7132491350743,608.8547535966007,664.707006636457,724.2996373882802,787.649012702482,854.7229456836641,925.3654141911453,999.3754965850196,1076.525316850159,1156.5024766091553,1238.8381317218414,1323.0253695529273,1408.5356540861435,1494.7278751065894,1580.834002287417,1666.0976253788244,1749.7644044408753,1830.986733536608,1908.9386635573069,1982.7945250588205,2051.7803105239827,2115.1848212617124,2172.3406527644865,2222.681283892246,2265.73200154268,2301.1147349079633,2328.5769448517017,2347.9724385336776,2359.2622239591396,2362.5157227049503,2357.8967424672323,2345.676168409137,2326.2013838674043,2299.8689495532954,2267.132981163179,2228.525984394766,2184.59388664756,2135.878583478367,2082.9475122793456,2026.3991953438856,1966.7970958813953,1904.664916723081,1840.5300418853992,1774.9140131763806,1708.2852916823551,1641.0595454612758,1573.6378280929657,1506.4019884059708,1439.6820953577253,1373.7563756489571,1308.876358457297,1245.2787503665666,1183.1593636631717,1122.6739501165962,1063.944247482655,1007.0838186656584,952.1805036579648,899.2957453011647,848.4650809819082,799.7067748082069,753.0340602200828,708.4428053997281,665.9153922167961,625.4207524241946,586.9177246357426,550.365023529561,515.7125175155145,482.9050281531509,451.8826752768763,422.58087699595546,394.93436881635773,368.8787582669975,344.3468286762676,321.27157732350116,299.58621837943804,279.2241829062267,260.1196202075123,242.2100967241089,225.4332271814031,209.7283117948294,195.03674400205395,181.30201046297424,168.46969105971974,156.48746836352922,145.30568785237503,134.87684060023403,125.15529515290399,116.09752812403264,107.66212419511733,99.8097761155052,92.50328470239336,85.70755884082891,79.38935616837617,73.51739835552351,68.06277973710961,62.99800597639301,58.29696540173924,53.93492900662103,49.88855044961812,46.1358660544175,42.65629480981269,39.43058300723904,36.44033851676501,33.6697868587567,31.104300171210078,28.729878421454707,26.533149406153797,24.501368751304216,22.62241991223646,20.884814173614632,19.277690649436554,17.790816283033685,16.414835025203534,15.142776114076446,13.967498472831615,12.881995120341657,11.879622998361825,10.954102971529952,10.099519827366496,9.310322276274508
B,4.966730744397817,6.832099108754305,9.040520938178398,11.576502170303172,14.449182577953641,17.684024337726502,21.317833739814677,25.396654322145405,29.974078516366355,35.110724167177324,40.87467557948381,47.3408978414681,54.59211668596247,62.71868275305955,71.81989847116539,82.00442613418002,93.38988739501602,106.10219891729881,120.27884441097589,136.0693446701157,153.63155113764228,173.12902539149914,194.73827403558633,218.64935482863132,245.05658305199563,274.14854276678597,306.12260487683034,341.1868137371281,379.5442342032003,421.3651112766137,466.81436218421004,516.0570205603293,569.2344821676841,626.4100771840734,687.6170813563933,752.870328319485,822.1303521664374,895.2254362826384,971.9323930198029,1051.9953867470663,1135.0673133227808,1220.63544352071,1308.145830629196,1397.0212104031293,1486.5679064348058,1575.9623385057544,1664.3969273569471,1751.0706832854423,1835.091648036782,1915.59673632659,1991.7305497303835,2062.6977898466353,2127.7745435347456,2186.288978371311,2237.6778861566095,2281.477236558354,2317.3263693580698,2344.9938930620146,2364.358854026296,2375.411321401701,2378.2496998501642,2373.066455901724,2360.162719262395,2339.9141158707685,2312.7418326140137,2279.1227724493137,2239.6111022210916,2194.7708441859722,2145.1586760310724,2091.3546122280877,2033.9672930912143,1973.5679152459088,1910.685755971286,1845.8519873946052,1779.5900827571718,1712.3693421977703,1644.6053239786304,1576.6978717694803,1509.0265873701642,1441.9190759282349,1375.6509703558193,1310.4708185993725,1246.611805308027,1184.2663726955784,1123.5871469647154,1064.6929034665409,1007.6940019611243,952.6752357132691,899.6953227553994,848.7873943981521,799.9674866835549,753.2465714454931,708.6185208846518,666.063968336305,625.5503439576064,587.0351743735657,550.4758820440763,515.8212395798764,483.01512066759204,451.99683957398713,422.7011511459633,395.06220279445654,369.01507893169,344.49215837438226,321.42609280791027,299.7498096740173,279.39651217081337,260.30017246368254,242.39820468347912,225.62815133031467,209.92926091731385,195.24288688078659,181.5124875802277,168.68362629831745,156.70398055639924,145.52390699754616,135.09595228859433,125.37454667460226,116.31622259829847,107.87961470008148,100.0254598180194,92.71659698785058,85.91796744298347,79.5963648385991,73.72058121245037,68.26177844608972,63.19252146206762,58.48674991550344,54.11977819408572,50.06829541807195,46.31036544028893,42.82542684613192,39.594238618720894,36.59844338360504,33.82231270806097,31.25125575911288,28.871303230876784,26.669107344560505,24.63194184846366,22.747702017977716,21.004904655585875,19.39268809086326,17.900812180476787,16.519914670163214,15.243063445106602,14.063133235337805,12.97312321804242,11.966393658140833,11.03666590828819,10.178022408874424,9.384906688024225
C,31.309959533613423,36.03227542213167,41.26508771722401,47.00494248169068,53.2755781066669,60.11882353215612,67.58911701961821,75.75109629814466,84.67768925190126,94.44944144225984,105.15462833754154,116.88891036269524,129.75590324543026,143.86569115645747,159.3375188519752,176.30041097200981,194.89031221052605,215.24824371916895,237.52615485960837,261.8874644746747,288.49863095884126,317.52434641903244,349.13999059954364,383.5325034106153,420.8837661143119,461.35520675960777,505.1119380820799,552.3255608121044,603.1504993456616,657.6852046757941,716.0152602818583,778.2213739768679,844.3478311954348,914.3337630378288,988.0826476759515,1065.4784710618242,1146.342510180017,1230.344385996117,1317.1074374074844,1406.2324231303023,1497.23163835725,1589.4536941848633,1682.2275017453978,1774.881744754773,1866.6470644029566,1956.650904612796,2044.0656840850495,2128.098759968647,2207.896913340183,2282.662584953532,2351.6352587557603,2414.1342121813273,2469.5671240141332,2517.4131574703533,2557.2657180285264,2588.8239555242817,2611.894771546128,2626.403215528818,2632.3796657313137,2629.9611962207814,2619.3750856220026,2600.9264492041884,2575.0207973498827,2542.120889803533,2502.715256838715,2457.3348558202583,2406.5771476931313,2351.0351782400403,2291.2827708637733,2227.9076728807127,2161.5163961892545,2092.6720298318965,2021.8907742516212,1949.6851414878442,1876.554844782257,1802.9446397308104,1729.2451667612088,1655.829077468728,1583.0469746083857,1511.1991267278277,1440.5357183349022,1371.2800946863258,1303.6396910153176,1237.7833453560295,1173.8423960061048,1111.9162133114364,1052.0957004278803,994.4477475065413,939.0150696232008,885.8166663318351,834.8556680292816,786.1304655187427,739.6237665548518,695.306229061727,653.1364942124893,613.0642430529363,575.0393058085293,539.0037861395242,504.8955299078965,472.64843928381197,442.1924727456269,413.457334489817,386.3739773838047,360.8711498907423,336.87813444890924,314.3247501513714,293.14135274598357,273.2592985791293,254.61351361789102,237.139374470919,220.77408860776836,205.45706273953593,191.12990281885914,177.73641403991732,165.22260962667517,153.53728025435038,142.63158272602516,132.45863192606092,122.97368434391727,114.1341380741522,105.89953281642178,98.23154987548057,91.09401216118147,84.45265369014368,78.27533107049354,72.5323135647187,67.19529887337781,62.23738544595672,57.633072480868776,53.35825992545455,49.39024847598214,45.70773957764641,42.290782024580935,39.120374930753314,36.18021618824443,33.455159632738344,30.93069675350486,28.592956693399596,26.428706248863925,24.425349869925054,22.5709296601959,20.854125376875288,19.264254430747787,17.791540329898275,16.428739686278092,15.168400384988487,14.003195497355225,12.926171057855072,11.930746064115745,11.01071247691593,10.160235220185287
D,151.81653796790525,178.4572030613938,207.98774420814232,240.25016863127652,275.2897224437819,313.2830277414133,354.4936884645724,399.2520770281872,447.93841571575564,500.97614475487785,558.8323075321324,622.0108887857881,691.0575574486496,766.5525055609627,849.1212335709123,939.437674860253,1038.211700105892,1146.1785664032932,1264.1278339436183,1392.9063039458968,1533.3756227658243,1686.3874756918574,1852.8466242598406,2033.7153737271703,2229.9293417701697,2442.319156123242,2671.7333821962397,2919.052864882932,3185.0708797062434,3470.296470866175,3775.174180332354,4100.124890006988,4445.386058244944,4810.663912249592,5195.486528417906,5599.285931073631,6021.178655780505,6459.5154575829865,6912.4138863779135,7377.8774974194,7853.46030030406,8335.884468237095,8821.765354426916,9307.708482370674,9789.81098063289,10263.631844748586,10724.93961970542,11169.660525492327,11593.390874259429,11991.987010264465,12361.468663114207,12698.240267997418,12999.136274204204,13261.335146850326,13482.585839489464,13661.165561913986,13795.8935989517,13886.19820272009,13932.048883354597,13933.965080676306,13892.946756707293,13810.411323508513,13688.303598562043,13528.886080024176,13334.58183644593,13108.053709579755,12852.327321573539,12570.430431318253,12265.314068994228,11940.020706180334,11597.711322658919,11241.336761039369,10873.617974323179,10497.271245266495,10114.960973993111,9729.070753799986,9341.706574545762,8954.888805414888,8570.530923797227,8190.281823061919,7815.5261562007645,7447.509636146415,7087.399402504591,6736.155849027038,6394.536970517966,6063.128525098447,5742.4739983535255,5432.987501147074,5134.949603833865,4848.509763388915,4573.729975303097,4310.64800331444,4059.2140908445,3819.309595521656,3590.747169889678,3373.288065875227,3166.6947132981886,2970.6851953582727,2784.951346773694,2609.1604966747464,2442.9554686038073,2285.9761025829234,2137.8688399305124,1998.2655988127226,1866.7990838920082,1743.102801714847,1626.8110607117455,1517.5618012657771,1415.0126658220988,1318.822111650326,1228.657204697888,1144.19582243654,1065.1266538623581,991.149199495745,921.9738401073029,857.3262418174965,796.9443633060855,740.5758343646435,687.9794652573348,638.9252467209133,593.1943499647223,550.579126670696,510.88310899336,473.92009563212554,439.5157309353518,407.5080933319141,377.7428758836835,350.0732610415673,324.3599206455094,300.4710159244898,278.282197496526,257.6766053686687,238.54459311698824,220.7819271239232,204.2991008429771,189.01279802693088,174.8431321038125,161.7136461768977,149.5513130247093,138.28653510101768,127.85314453484048,118.18840313044299,109.23300236733806,100.93262748725823,93.24743751517055,86.13616155283432,79.55810838327515,73.4746132028049,67.8490376210214,62.646769660808616,57.83522375833659
E,13.055280554755107,15.353958558241766,18.0184651791552,21.050109612958046,24.46960210537617,28.31084961687447,32.6173783407356,37.44092567565603,42.8403970397492,48.88164145885233,55.63791333329386,63.18977098553916,71.62578721353076,81.0422545401795,91.54495252885965,103.24959012017945,116.28097912351244,130.77235690792395,146.86907123202923,164.72905488667746,184.51855904622255,206.4093261838364,230.58656126646645,257.24958128943246,286.6016563906548,318.8393773060926,354.168479407045,392.80586709010333,434.9629255799494,480.8161848772051,530.5368501072239,584.2965943220509,642.2425366893306,704.4403481493277,770.9250031206318,841.7129416908206,916.7644428711656,995.9024825135401,1078.8968879394674,1165.4837193932588,1255.3038273090901,1347.8254285765802,1442.472599411687,1538.6434799008405,1635.6129659241114,1732.5181075194846,1828.5089219593385,1922.7384135034558,2014.2607040726464,2102.1556205940387,2185.5062943442153,2263.454585531631,2335.213186453363,2400.045623261641,2457.3269851693262,2506.5343418426773,2547.251888486217,2579.2007353755907,2602.2188126021642,2616.2618773670965,2621.403489289238,2617.8200581695073,2605.8052990374167,2585.736286767487,2558.043699763975,2523.221410187033,2481.849251120691,2434.522251203994,2381.8318741052417,2324.398161639062,2262.8758016266074,2197.8822604218753,2129.992654510863,2059.786884284987,1987.8393967769564,1914.6674426324207,1840.7313100796932,1766.475943915052,1692.3260738102424,1618.6500573356052,1545.7597173988838,1473.9379248918374,1403.451887529553,1334.523897685625,1267.3320557058244,1202.0169489337677,1138.7104950723603,1077.5162939792974,1018.5084166583109,961.7319367931201,907.2126128611737,854.9708734899856,805.0076243852668,757.3083370797298,711.8430889609524,668.5703868354398,627.4487300718662,588.4265222131894,551.446104575421,516.4441424449295,483.3516250784409,452.0985762670494,422.61606975628706,394.8316796790032,368.6728894347432,344.0670950798156,320.941605327293,299.2242546237826,278.84681777072853,259.7409176054394,241.83983718954235,225.07900525296458,209.39599619393266,194.73053007897354,181.0244872342116,168.22280395899656,156.27277876252106,145.12363875088394,134.72688406077475,125.0362878594734,116.00789634484997,107.6000287453653,99.77327732007062,92.49029559061424,85.71605233004871,79.41804610584308,73.5653234264714,68.12845201153426,63.07952079175877,58.39213990899853,54.041440716233915,50.00407577757113,46.25816079092123,42.78285750192325,39.560295314380994,36.57386389815835,33.80764491073065,31.246411997184662,28.87563079021858,26.681458910142076,24.6507459648762,22.771033549953533,21.030555248518084,19.418545710538197,17.92711223992336,16.54808660168425,15.273420784682711,14.095472913614062,13.007007249007046,12.001194187223845,11.071610260460066
F,22.720002597680253,28.154552107506266,34.295762681199456,41.08715453490081,48.52861937733451,56.656469749544385,65.53105364175445,75.23110635613148,85.84898108107818,97.48878134657407,110.26660542705531,124.30841391544831,139.751532592761,156.74343347253057,175.44382224410776,196.02536957703057,218.67168128266977,243.57501177299244,270.94270277621297,300.997943016233,333.97072505687356,370.0922125901535,409.6090422688903,452.78438732690654,499.87882511208636,551.1317803464023,606.7897839620284,667.1098688543593,732.3310304862963,802.6262143887449,878.153894302824,959.0678382766782,1045.4775946488412,1137.3609220409658,1234.6489865636688,1337.2464583490348,1444.9756335125653,1557.459306242471,1674.2538768643017,1794.8796433200396,1918.7333945725404,2044.984925868239,2172.765668991268,2301.194666885021,2429.245482030674,2555.73444662644,2679.5237838039566,2799.5079059856075,2914.4798125267816,3023.2934946671116,3124.8364921941284,3218.0942451281962,3302.1634579487063,3376.2273055324226,3439.6226635887506,3491.827893718492,3532.467097756238,3561.334261681177,3578.372051863213,3583.6734691661136,3577.4681288709285,3560.1041518950415,3532.0745593356532,3493.9636601545976,3446.4052895802647,3390.1017104027715,3325.855711165207,3254.474463547609,3176.747333600292,3093.490403495854,3005.553795181036,2913.7320053490325,2818.758302885065,2721.36558909609,2622.273464267243,2522.1256980331214,2421.491036843092,2320.9153308435584,2220.9156047530673,2121.9372264886856,2024.354010482261,1928.502220850026,1834.6967707731226,1743.1966678609738,1654.2062759482337,1567.883475787691,1484.374632777769,1403.7911353716418,1326.208528936643,1251.667179205144,1180.1839803837152,1111.7691339608198,1046.4093799638863,984.0731617912782,924.7106750540961,868.2584638706523,814.6532390888157,763.8198772610342,715.6764247682934,670.134565450015,627.0996206040576,586.4761652815929,548.1703935626796,512.0847518968045,478.12203854413696,446.1854076299014,416.1783691443803,388.0055095334303,361.57650651397563,336.8013028273637,313.59221958418243,291.86452605279743,271.5364396593503,252.52912598776044,234.7667144197211,218.1772857297866,202.69214299388096,188.24522406239112,174.7734500755932,162.21672546365232,150.51793794662265,139.62295853444786,129.4806415269607,120.04252967678879,111.26318093047595,103.1004939240594,95.51437781978565,88.46671569519711,81.92136454313236,75.84415527172588,70.20289270440836,64.96735557990576,60.109221547615626,55.60152629731891,51.421140287665324,47.546565811584614,43.95720358662074,40.63335275493208,37.556210883291335,34.7078739630855,32.0713364103159,29.630491065598314,27.370129194162793,25.276332838977382,23.338852215779394,21.54710572868277,19.89067596583091,18.3596722585941,16.944730681569446,15.637014052580904,14.428211932679243
G,4.1083687405803,5.31833964362962,6.728415994939856,8.334739390327604,10.146845567625267,12.183357419583176,14.469463055434623,17.03591028996764,19.91825077443794,23.15667838175248,26.796427023149356,30.88762156292133,35.485880933779974,40.65250599008169,46.45544636390103,52.96957558211029,60.27689638943537,68.46657932624674,77.63700517009634,87.89611603753004,99.36015417013672,112.15281500762364,126.40949751760795,142.27771955636416,159.91311894454884,179.47477709275387,201.1334068219777,225.0725395863514,251.48079344633254,280.5371198351401,312.4258630168029,347.33998284453077,385.4676709461398,426.96048093082595,471.95941022691994,520.6014875649475,572.9967738213053,629.1768886141318,689.1405122203818,752.8639446362304,820.2588641711626,891.1144212505407,965.1738833648454,1042.1451345560376,1121.6267744735032,1203.0854992034115,1285.9607629458385,1369.655663804842,1453.4506476185672,1536.5976750627856,1618.2954629250598,1697.7403404935162,1774.1374647798407,1846.679499996667,1914.6142706095577,1977.2355703155254,2033.8912143379357,2084.039305438174,2127.222480408116,2163.068123987917,2191.3255191230373,2211.8530362531487,2224.609548243219,2229.6584039292106,2227.1560069327375,2217.3414755844024,2200.549279837395,2177.169410418399,2147.6272011604915,2112.4006435556867,2072.0293397632527,2027.0460989160492,1977.96940146161,1925.3433734188518,1869.7299348845493,1811.6496530236518,1751.5799942716026,1689.997305181999,1627.372406159998,1564.123843209187,1500.6163509910598,1437.191365459043,1374.18336671489,1311.880247229006,1250.5221971385627,1190.3095300163106,1131.43836455922,1074.0747985195303,1018.3498573118469,964.3600311967,912.1794906304254,861.8788766630557,813.5048218328204,767.0835408181348,722.6208777190565,680.1073664586088,639.5343534450743,600.8796494190872,564.1114744066036,529.1889377041507,496.06203787882794,464.6783376681213,434.9863899312372,406.9284502745049,380.4447876405232,355.4736889262551,331.95145898302843,309.81336692234515,288.999160968576,269.4468095683224,251.09489220713536,233.88332057457797,217.75333856422438,202.64752227366102,188.5098122712071,175.28746433999805,162.92961673527634,151.3866327179752,140.61090274557483,130.55684447210214,121.18090274813075,112.44154962078102,104.2992843337205,96.71662406603099,89.65858353189076,83.092304079623,76.98641679117434,71.31103136713914,66.03773612675978,61.139598007926566,56.59116256717784,52.36845397969915,48.448922420229906,44.81118915316158,41.43692976039739,38.30905136541952,35.411136934945326,32.727445278927355,30.24291105055331,27.9431447462461,25.814432705663755,23.84373711169958,22.018695990482037,20.327999245144735,18.7636619176426,17.317231437101068,15.980310535431576,14.744907271217585,13.603435029714557,12.548712522849973,11.573963789223306
H,4.067986536214239,5.434368323880337,7.0347701416332615,8.864391098977539,10.932787248263386,13.259085398232617,15.86914252199691,18.794356672313363,22.070727181931204,25.73857088458145,29.842760238782002,34.43245442745556,39.561569698379635,45.28854112147788,51.67728288236039,58.79745188021916,66.72388776557014,75.53607657271233,85.32038302122196,96.17033136093148,108.18379434542896,121.46113825792042,136.11015078494282,152.24643153475878,169.98690098469424,189.4431153417071,210.73114819057014,233.97283383376603,259.28537821163144,286.7632414155433,316.4966445287516,348.57517844735605,383.0725722799369,420.0121262675259,459.39837903756194,501.2247272048268,545.4508981622891,591.9544608318122,640.5826861706992,691.1645711056647,743.4743698761129,797.1861765019305,851.9516199398836,907.4108977553808,963.1352894168248,1018.6194114280419,1073.3702526884672,1126.9012580084932,1178.6723820559682,1228.1628418120285,1274.8579901909677,1318.2804963015922,1357.9969393837919,1393.6058061022677,1424.7713880805268,1451.2179025127457,1472.731865782963,1489.1777281865716,1500.486444068527,1506.6558044312678,1507.7490465917103,1503.8862421022388,1495.2531216432978,1482.080693769128,1464.6278267894975,1443.1873153523302,1418.0991915879724,1389.7098376816787,1358.3614349013958,1324.4107264273368,1288.2325212237306,1250.1789746779707,1210.5767800706772,1169.7542465759639,1128.035531894521,1085.7115863842878,1043.040365522665,1000.2705517071626,957.6388317244634,915.3497286852397,873.5755630889647,832.472092852666,792.1860074310055,752.83862676321,714.5263826439638,677.3245904732674,641.3036730778109,606.5181566813988,573.0061085643362,540.7894401074282,509.87933868917185,480.284073280666,452.00109652011804,425.0193834739664,399.3194541896478,374.8755057914702,351.6618354288907,329.6472271223806,308.797232433111,289.0743865764644,270.43820842203536,252.84780299444643,236.26295856654895,220.64163973580614,205.9418794008354,192.1217806379609,179.13951670121457,166.95366457167256,155.52505977520175,144.8145610354908,134.78403400741436,125.39661541484347,116.61671305064523,108.41000577668355,100.74345090236055,93.58574356551323,86.90696644826848,80.67833769981873,74.87237983453805,69.46291973198203,64.4250886368877,59.735322159173826,55.37136027394084,51.31211732477739,47.53782310403526,44.03016836190474,40.77172186935953,37.745914336488866,34.93703841249763,32.33024868570629,29.911561683550953,27.667855872583008,25.586838585337098,23.656808258176607,21.867748003038297,20.21035332469988,18.675708542778498,17.255286791730704,15.940950020852469,14.724948994279208,13.59992329098571,12.55890130478626,11.59530024433454,10.703100678963445,9.877903817028795,9.115153847572646,8.41036094342199,7.759262683015435,7.157824050403191,6.6022374352470905,6.088922632820556
I,10.995280712095655,13.689478899465135,16.76497498872792,20.20234312357344,24.008361015272182,28.20674153725389,32.832483474684416,37.929353836413426,43.54780385168359,49.74418605496963,56.580878197962775,64.12550147363308,72.45156749168576,81.63764916270856,91.76883294441544,102.93713094013225,115.23998564162599,128.7790499674782,143.6639423222917,160.01264470639936,177.94626258190573,197.58598425691343,219.06127220110596,242.51046312621344,268.0701797256827,295.8653383602012,326.0251854182758,358.6852177023317,393.97181541200837,431.9765411534066,472.7849004657635,516.4818065055831,563.1304957363951,612.7258924539874,665.2410474800638,720.638132257397,778.8384096579455,839.6595622114103,902.8867642008067,968.2887373992008,1035.5700949395327,1104.3148151037262,1174.085953663725,1244.439045554966,1314.8486911827324,1384.6999082070436,1453.3966740836179,1520.3539624451932,1584.9227434411762,1646.4781965546804,1704.4031232524335,1758.1244785993563,1807.1209820551228,1850.9084283074544,1889.0804110715058,1921.3013410487822,1947.309622199212,1966.937182078213,1980.0959554781227,1986.778800936518,1987.0588448220683,1981.0792778132318,1969.0643895280132,1951.2955357583742,1928.0901905289356,1899.8091929641573,1866.8735980393144,1829.7143211959049,1788.7588836299014,1744.4546766260587,1697.273727500354,1647.6610570104292,1596.0309842360118,1542.8013142770474,1488.386179564759,1433.1583810515203,1377.4495230862221,1321.5803954313817,1265.8575573924602,1210.5466846955676,1155.872407255753,1102.038555955172,1049.2380355401192,997.6310740446824,947.3456710790547,898.4825224540591,851.1363985659364,805.3815273869525,761.2705092116965,718.8347039191228,678.0914196292965,639.0543737168724,601.7229959900031,566.0853645568191,532.1182353374425,499.7898947354651,469.0688479695011,439.916217107299,412.2886457005473,386.1385845791827,361.41429185139094,338.0633743531068,316.0343516133861,295.2731553860513,275.7256450856522,257.3376103194679,240.0547708875078,223.8232411519727,208.5921444736285,194.3105104538549,180.92859248759117,168.39823185928157,156.67285774287458,145.70748720182394,135.45873662704145,125.88553199002956,116.94858096409325,108.6100134747123,100.8336473865439,93.5849885034223,86.83123056835895,80.54125526354258,74.68563221033935,69.23647289290277,64.16764123135502,59.45487404782039,55.07505960170936,51.00621840863609,47.22750324041856,43.71919912507839,40.46272334684113,37.44062544613555,34.63654450543015,32.034912780463486,29.62237984970948,27.38653219616772,25.31547169339173,23.397815605488898,21.622696587120554,19.97976268350196,18.459177330402223,17.051619354144453,15.74828297160566,14.541111137904437,13.424208549851713,12.39146660091752,11.436863772612888,10.554681568286954,9.739504513126954,8.98622015415823,8.290019060244205
J,4.421598481669958,5.504257143766695,6.782871459316545,8.276372591686659,10.009894214219731,12.013684698326987,14.322705751610787,16.97670536060697,20.020475177690404,23.504198585119774,27.484060643836496,32.02284222514436,37.19046312712638,43.06440410521534,49.73128995421086,57.28723235915996,65.83821185933765,75.50060120184732,86.40369998796602,98.69018247255444,112.51531831158472,128.04656916660144,145.46860769049604,164.98385279393514,186.8089639829535,211.17039125899075,238.31384215692506,268.50575646995674,302.02558445530076,339.1501424528613,380.17076238275547,425.3971766917381,475.1428759782634,529.6890928500047,589.3142663985153,654.301855586061,724.9131481292095,801.3249471188947,883.6815640591112,972.1071445166621,1066.6517547572703,1167.2145592951183,1273.6344768778283,1385.7022138138263,1503.058438429306,1625.1538514921097,1751.381023811576,1881.059495237327,2013.304987227664,2147.153079050056,2281.513764333202,2415.2403946686213,2547.1426122339135,2675.9439820305324,2800.389785096082,2919.2278996007412,3031.2185747272274,3135.248715995728,3230.2833021458728,3315.360132837263,3389.6961931310893,3452.672297496358,3503.7831616002445,3542.703279233127,3569.300773806357,3583.5911973481284,3585.740665697452,3576.0611387622844,3554.9798908159096,3523.0403593865267,3480.9235818382836,3429.352515915972,3369.076382560545,3300.919594426941,3225.7773326777397,3144.5084318291697,3057.9285181754844,2966.8782069377307,2872.2196654162585,2774.7380477723705,2675.1357889599863,2574.0889687194226,2472.2829418724887,2370.3228713897493,2268.727089621303,2167.9427501197492,2068.4223771052875,1970.5662631710657,1874.7034731367407,1781.0927029874156,1689.949193120922,1601.4893808447982,1515.8797493280601,1433.2408001197405,1353.647149038297,1277.1393586722284,1203.7639357891362,1133.537337390296,1066.4514982692115,1002.474869567762,941.5524187762048,883.6224592154517,828.626961675656,776.4907710592008,727.1309695505367,680.4568877205251,636.3701045264398,594.7670115328964,555.5545869367089,518.633487960493,483.903023359333,451.2630064844088,420.61375528299317,391.8560922984552,364.89145126322387,339.6284860260624,315.978753981166,293.8542798728749,273.1701325506451,253.8444249690485,235.79831418777215,218.9560013716195,203.24473179050992,188.59544952682813,174.94465808273242,162.23166168581753,150.39827534956652,139.38885169335003,129.15028094242632,119.63199092794144,110.78594708692941,102.56665246231057,94.93107764503837,87.83893370189767,81.25585931032265,75.14958625734006,69.48899348148763,64.2441070728141,59.386100272879254,54.887293474753854,50.72115422301961,46.862297213769445,43.286484294607256,39.97154850250705,36.90297411116046,34.06469493244483,31.440498508614354,29.014892261434774,26.77310349218327,24.701079381648537,22.785486990130703
