Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,634.6801953109045,733.0115971451539,815.9719026721583,890.7599939761199,961.9597676634224,1032.5150148913542,1104.39577012425,1178.8981388761717,1256.9888368967283,1339.3500342919683,1426.5413684367227,1519.0677748707064,1617.3340948250052,1721.7477244021652,1832.7236940875569,1950.6492065247282,2075.9268289072284,2208.9643168422135,2350.167389796994,2499.9079146578238,2658.698091219522,2827.037757666966,3005.3664712044083,3194.0635080554734,3393.4618081693416,3604.064274986587,3826.457043676052,4061.1166823988196,4308.40711740678,4568.5733348174435,4841.894383299037,5129.0330292585395,5430.485284672241,5746.483678779206,6076.99725808131,6421.793284860537,6781.177745416706,7155.647344377789,7545.273627375977,7949.690460469333,8368.09437960882,8799.742163547478,9244.855562458031,9703.272998630664,10174.155608464836,10655.987242469273,11146.737727022652,11645.586622220533,12152.05285392273,12664.800273692215,13181.629025497314,13699.492679395074,14215.995669390977,14730.1938575128,15240.353357601858,15743.785810141015,16236.848382254731,16715.89101141007,17179.54577878294,17626.039827037723,18052.719691144786,18456.054785698565,18832.161651075203,19179.615921368353,19497.229970087647,19783.11334047992,20034.701359152587,20248.994306975354,20425.152689905295,20563.155367497002,20662.504788859627,20722.288626654663,20741.229714233334,20719.46345298726,20658.306444671565,20558.793585367453,20421.78894900255,20247.985787350903,20038.49036954994,19795.59261850438,19521.285492307434,19217.616718122328,18886.700339085688,18530.71979811095,18152.42888849652,17754.015473359592,17337.372891848936,16904.75678262595,16458.78508386468,16002.438033251798,15538.596957957952,15068.621736138653,14593.887991380372,14116.174166254035,13637.65767059264,13160.911548059623,12687.908078573646,12219.102114970514,11755.19816344128,11297.304184184362,10846.931591405479,10405.96430108459,9975.224355690229,9554.487025269784,9143.910920775616,8743.980969364415,8355.508414397185,7979.5611703225695,7616.169290354964,7264.787565869901,6925.1818124540805,6597.384080661622,6281.692656014072,5978.629323011748,5687.935389628124,5408.9006538345375,5141.073332094028,4884.202310719138,4638.237145871923,4403.327331869121,4179.319989076598,3965.477882563835,3761.2568012754746,3566.260937133955,3380.2428850395113,3203.1036428701714,3034.8448024111485,2874.984230946602,2722.934501497918,2578.249252341688,2440.5873254884455,2309.712766682664,2185.494825402744,2067.880877988653,1956.4830504756983,1850.8279163902023,1750.5480975616415,1655.3493839275584,1565.0107335335597,1479.3842725333184,1398.395295188574,1321.940399002758,1249.6322982578606,1181.158260323692,1116.2615063853812,1054.7362361011742,996.4276276024334,941.23183749364,889.096000852386,839.9681105857687,793.5278990471136
B,317.1586689480763,389.74016692992814,453.6720834355442,513.8552546255609,573.3787780194971,634.2207191704789,697.7191698927473,764.776262206328,836.0960474672676,912.2088326698295,993.579750754495,1080.652132071949,1173.813785727426,1273.4646271526292,1380.0179293465803,1493.877109444414,1615.4647304412133,1745.2102109228658,1883.5438287479637,2030.8720843712108,2187.723930272721,2354.6178655017293,2532.021261975743,2720.35036448055,2919.9811113271994,3131.431590453493,3355.296458934271,3592.0681880255174,3842.1324418231566,4105.7613271400505,4383.245813835734,4675.236877534406,4982.220621716641,5304.423421038592,5641.811921332007,5994.148822270935,6361.698934283703,6744.912672259749,7143.81365016406,7557.984573980187,7986.56751781478,8428.74832951627,8884.661767162244,9354.05671794841,9835.998920213326,10328.870963438327,10830.535125796832,11340.056795846443,11856.84094193955,12379.437931507666,12905.534700659015,13431.972100802737,13956.250611807749,14477.32951062668,14993.389940163623,15501.67354949582,15998.48249387365,16480.13013986619,16945.22188316025,17391.974337294134,17817.75319543541,18219.07678371405,18592.13777259284,18935.579701756786,19248.287978133263,19528.479805856892,19773.733429922766,19981.22316531675,20150.24623701665,20280.89089846695,20372.797777510823,20425.22303574959,20437.086782075512,20408.672982432818,20341.371369308086,20236.306903826935,20094.455172667433,19916.642388060107,19704.09281173039,19459.098503723384,19183.649751110563,18879.80583034363,18549.70617144901,18195.57323476954,17820.14472347365,17425.52983012182,17013.562714328742,16586.442118255036,16146.731366607259,15697.358366637924,15241.132571500022,14779.322976346879,14313.241808809096,13844.595983429263,13375.482618423957,12908.385698441087,12445.194809949415,11986.32332685805,11532.43317363172,11084.577768752644,10644.202024720471,10213.112289302775,9792.0863115072,9380.89221867484,8979.670639650589,8588.87816218893,8209.287332953938,7841.919469746586,7486.795470059716,7143.381719081069,6811.445640611848,6491.012553198311,6182.365670131749,5886.004906405772,5601.677737551584,5328.694695613437,5066.616412348057,4815.198328768768,4574.390695145514,4344.337864992192,4124.892349911958,3915.3395150753854,3715.1512958756416,3523.944173846652,3341.479176663109,3167.6618781404622,3002.4960070668612,2845.514900127255,2696.1476571977328,2553.9608335667835,2418.6238928188886,2289.9092068345144,2167.6920557901053,2051.9242164342295,1942.2294984216799,1838.1462725173262,1739.316663832432,1645.4547361757311,1556.3464920534277,1471.8498726691955,1391.8947579241808,1316.3828539359615,1244.9355446981372,1177.2465004699834,1113.0646806437474,1052.1894669278006,994.4706633466369,939.808496240876,888.153614267256,839.4572844446741,793.4040088418966
C,1235.8935096913917,1384.6691166178637,1516.0943388521753,1639.192046337445,1759.6630256663989,1881.1443701408095,2006.0621859656942,2136.0091521933755,2272.1789130350276,2415.4183420338304,2566.4276149858642,2725.8409795210646,2894.1722992839623,3071.934919108602,3259.6420264710328,3457.774394003375,3666.834290896334,3887.3083358799254,4119.654927330119,4364.2643150345875,4621.773589414443,4892.77273323829,5177.717856495622,5476.931196396802,5790.629220795915,6119.328987500539,6463.665908251063,6824.060512082866,7200.716588520502,7593.612194811819,8002.780897886884,8428.878169992126,8872.26628614021,9332.858710996958,9810.120098881356,10303.180878989904,10812.07366062023,11337.100199607221,11877.903474653738,12433.45517783682,13002.056875275275,13582.167338671388,14173.703957592614,14776.02772778272,15387.557987104557,16005.77241554004,16627.46642185967,17251.275132936284,17876.297708656726,18500.541933567907,19120.928775558983,19733.3187562726,20334.597978787133,20923.589457086622,21498.174248288127,22055.14180928089,22590.189996726367,23099.153299050453,23580.752726042785,24033.244479813176,24453.968845619183,24839.35532117625,25185.54985630353,25491.578069811185,25756.697725113107,25979.496336149954,26157.93231533756,26289.598339992775,26374.396385078715,26412.968965390755,26405.546067292802,26352.033671516612,26252.06488040009,26106.648390445906,25917.696640763457,25686.896455786435,25415.882164965944,25106.23560277054,24759.967455119175,24379.76519156463,23967.921975634323,23526.932988515222,23059.50745669022,22568.57123124131,22057.428963705886,21528.20057798584,20982.78167786228,20423.58963731531,19853.56360052411,19276.164481866927,18694.603561484033,18109.939625796724,17523.460548609342,16936.94955734365,16352.675622920337,15773.388913213197,15201.084784250128,14636.022582001198,14078.797150868808,13530.464789728141,12992.543251927094,12466.976093693973,11954.512889585227,11454.772715510664,10967.815575056851,10494.063713689136,10034.30161875164,9589.599434242135,9159.902062261786,8744.547550907206,8343.21702554757,7955.8826952607815,7582.807852833457,7224.500772707511,6880.633511664245,6550.398119512118,6233.268022691276,5928.935173578807,5637.310050488745,5358.520872611385,5092.373230924729,4838.043762980044,4594.918047250901,4362.543853268882,4140.631141623604,3929.052063962695,3727.789337374566,3536.3019675852324,3353.931664632346,3180.1744915578,3014.642674053586,2857.0646004617893,2707.284821774575,2565.2344945400314,2430.4767733679982,2302.4766266790025,2180.816278294863,2065.1600154477496,1955.2541887801826,1850.927212345033,1752.0895636055247,1658.6204324334808,1570.0793939919959,1486.1063885079943,1406.4051847461647,1330.737917951365,1258.9250898486187,1190.845568643121,1126.4365890202275,1065.6360376817693,1008.0727875003538
D,7668.6005213120725,8684.907153635084,9560.370171564618,10362.927264759823,11135.539490371575,11905.557983851295,12691.104922869741,13503.92019280733,14352.641453426377,15243.208855871922,16180.392385691406,17168.420595345895,18210.54561249647,19309.992448407495,20469.987643332137,21693.44785131942,22983.38775190958,24342.75300010313,25774.34237722081,27280.50553068305,28865.03465131338,30531.456105393274,32282.508716494434,34120.14376547876,36045.68819600657,38062.23421322112,40173.59236740279,42382.30426647471,44689.627604426605,47095.482983938076,49600.13279666479,52207.549267734095,54919.97276592352,57736.98736524763,60655.52084495789,63670.5288995136,66782.35375011762,69992.94482695122,73300.35430347525,76698.66422993813,80177.99343953186,83729.41072131139,87352.6538579065,91044.1611964466,94794.78524364645,98589.79266580596,102410.39943150533,106248.7263697917,110099.64094625427,113951.49302053283,117786.13890984721,121579.0969520899,125311.91818076895,128977.64293975805,132563.62904483656,136050.63626521803,139412.82632355022,142625.06880631682,145679.396248571,148564.98395781446,151265.38157801234,153758.54330044132,156020.58348571704,158044.84669346412,159826.03990992912,161354.68070291774,162617.33901831356,163598.2299321855,164295.55232031914,164712.08981014683,164848.0043314887,164701.35360466494,164268.40385362742,163553.9027519088,162568.46883105848,161321.29253609563,159821.13042712846,158076.30517935436,156097.78836327195,153901.36505017843,151500.57338272143,148910.07807529636,146145.74376905977,143224.65165141586,140166.53105227184,136984.6122618965,133690.71742108147,130299.77256928563,126829.80764463557,123301.95648392543,119736.06464500017,116139.42469822627,112520.50443072178,108890.80571313514,105264.81263529627,101659.96480019299,98089.21371427756,94554.85383455761,91061.18878247423,87615.39538646655,84227.52368197165,80910.2778987664,77668.97272134165,74501.78614411481,71409.62550220752,68395.68100524308,65465.425737346384,62626.134939859185,59877.95688025693,57217.10534866264,54641.959376797255,52152.75237013622,49751.57210790946,47442.06651621355,45222.49865289367,43087.97500925256,41035.397695883425,39063.07558683095,37170.72431959121,35359.461230164925,33628.294819213676,31972.089617999685,30387.046377260158,28870.420860338338,27420.523843183575,26036.72111435127,24719.095077498354,23464.265201530186,22268.040127219036,21127.23835313307,20039.441600325823,19002.994812336172,18017.00615518825,17081.15128096961,16192.648468632942,15348.03528981281,14544.623710879738,13780.270121374268,13053.375334006938,12362.88458465832,11708.287532378998,11088.859326753578,10501.717466040356,9944.5044777412,9415.290031925408,8912.534595116698,8435.08943029323,7982.196596887615,7553.488950786847,7148.598966805508,6765.0604853751765
E,660.4159296746095,757.2243857714675,844.4214506582821,927.8143948281496,1011.0538251629869,1096.4734571021543,1185.652619726591,1279.6583461990058,1379.3276187071074,1485.2952886539097,1598.1217737457116,1718.3432237121676,1846.4327556256585,1982.8779037567401,2128.180410097487,2282.832808599711,2447.352831811301,2622.2618222081737,2808.07669195437,3005.281679618691,3214.5283595568967,3436.449959880103,3671.6059638482834,3920.48210987026,4183.506436145744,4461.304235614693,4754.597967397886,5063.972362535521,5389.86990940745,5732.582672634439,6092.433550506254,6470.211749765886,6866.49370256841,7281.522294922972,7715.2068666928135,8167.198407865507,8637.804135679571,9127.563196672967,9636.478053302699,10163.998315612846,10709.021199588928,11270.51409139246,11848.640208799152,12443.081482573425,13052.674717687902,13675.411593323328,14308.644396709316,14951.236208044787,15602.467189770374,16260.566026010827,16922.700964110165,17585.001474108038,18244.420387930433,18899.702350928983,19548.633354746424,20187.847371683358,20812.82635469829,21419.06680408012,22004.865706390792,22568.033645862834,23105.33523406657,23612.49349994921,24084.827162465343,24520.63749360147,24918.508686851495,25276.20033335197,25590.683283053375,25858.426388456497,26078.4816630173,26250.861925756464,26375.02738572126,26449.96249277584,26474.235081920404,26448.08035412393,26373.098131490417,26250.56602875837,26081.57816389007,25867.04515807159,25608.36996747336,25308.297050242585,24969.216762379896,24593.60724853988,24184.048090495493,23743.223891067522,23274.476962706693,22780.41707740568,22263.3223468204,21725.925319812763,21171.412982450645,20603.42675800795,20025.482316257185,19439.223567691937,18846.33950021329,18249.016482304793,17649.933129375277,17052.25623787073,16458.425495319963,15869.035152972625,15284.98872741768,14707.686500858495,14139.0255211128,13581.361963073196,13035.758959367648,12501.993037540195,11980.310967863883,11471.36353713182,10976.205548657166,10496.210419981935,10031.471851861035,9581.361634112542,9145.636617795191,8724.386085455959,8318.031751130067,7927.274702731443,7551.839936670353,7190.875364849918,6843.851558616654,6510.492494883058,6190.775556127595,5884.930612347118,5592.803870371063,5313.489486551381,5046.322615895772,4790.828340539778,4546.7216697467875,4313.907539908025,4092.419538452952,3881.66472593245,3680.904928190408,3489.5835857891793,3307.280826508693,3133.7134653464373,2968.735004517451,2812.3003550571225,2663.922623110325,2522.9948969046777,2389.048782183547,2261.7125410827225,2140.711092130418,2025.866010247275,1917.0955267463612,1814.2790307387718,1716.9128794374215,1624.5886317611507,1536.972953277454,1453.8010803316843,1374.8768200470493,1300.0725503246197,1229.3292198433128,1162.5877738592485,1099.421156737894
F,1315.1650861721016,1529.6285574629655,1712.0255597172722,1877.5854243072556,2035.9564836647464,2193.293816119646,2353.6836698400652,2519.780312928058,2693.540396053213,2876.3142115825535,3069.18904833335,3273.131650951508,3488.888500740067,3717.2026097603175,3958.8225421447605,4214.426017475965,4484.71110725078,4770.370133311952,5072.073674729559,5390.4009517892555,5726.222310055204,6080.360152316587,6453.483132029092,6846.106153314899,7258.621643299721,7691.774953695194,8146.467153377954,8623.340511534254,9122.77300963935,9644.866216356832,10189.784993358457,10758.479615149614,11351.53394284306,11968.96667880784,12610.231366669303,13274.356177553891,13961.500389500514,14672.178860784104,15406.056191920727,16161.927773240419,16937.721060341926,17731.54192691136,18543.38893997692,19372.531041071215,20216.986091308907,21073.520871386663,21937.983737852264,22808.610336982863,23684.25837097465,24562.301239596032,25438.627908726117,26307.67701837878,27165.208400999247,28009.58984352227,28837.882430651982,29645.61216368981,30426.769960534588,31175.476299032973,31889.795910536777,32567.141004886675,33203.59282566296,33793.9083567752,34332.390685764636,34817.367427488774,35247.50973513586,35620.48049303962,35932.9883234228,36181.16277711223,36364.455563965006,36483.449448768035,36538.07958567664,36527.749361052294,36451.40506370998,36310.037348745514,36106.121155450564,35841.7646293225,35518.929315056084,35139.43015654352,34705.7027684605,34221.46819813348,33689.92358928131,33114.48056793734,32498.78267519487,31846.709466449414,31162.812656018585,30450.25812100104,29711.844352362474,28951.051745905945,28172.04260227201,27379.661126938627,26578.47743747621,25770.254133203005,24956.96816658145,24141.281348508586,23326.52960567647,22516.716998351356,21714.826145635252,20921.38863838196,20137.38462639531,19364.451631861637,18604.88454934976,17861.585424663816,17135.757194886235,16426.95769187418,15735.370065065274,15061.701734394159,14407.184390292477,13773.463426821712,13160.546213330197,12567.538316209897,11994.0429556322,11440.089096358648,10906.1314477409,10392.982900109026,9900.223247013573,9426.714461580195,8971.73062357764,8534.867666919605,8116.04337966475,7715.4962441569405,7332.984409438348,6967.32665642699,6617.648579886946,6283.315779917271,5963.933861952007,5659.348436760165,5369.568240138578,5093.818922306014,4831.1474672454615,4580.82982425897,4342.31431785333,4115.22164774008,3899.344888835467,3694.605318496469,3500.37236490725,3315.866490610236,3140.482557635419,2973.7373794927325,2815.269721172048,2664.84029914318,2522.331781355887,2387.579050308577,2259.9372933127343,2138.8811640752815,2023.9802641864276,1914.8909677754034,1811.356421510461,1713.2065445988776,1620.3580287869431,1532.7279363743185,1449.7701369962017
G,240.07339726820695,289.25784161803773,333.65515115465,376.3652744765135,419.34831014732123,463.87277158264,510.81499452047655,560.7871288969495,614.2871266071444,671.7129081481356,733.4303959693366,799.800434437927,871.1574138471744,947.8519866366076,1030.2520068943277,1118.7280601010455,1213.6719883807593,1315.4905888733797,1424.6020693045411,1541.4216209184187,1666.449407875834,1800.1923828164536,1943.1401715482916,2095.765073047712,2258.5284092994066,2431.9920538900656,2616.7820397670594,2813.4762079737493,3022.600885410711,3244.6260783915773,3480.0465197440926,3729.6108738397293,3993.97575932765,4273.641937820341,4568.95431389363,4880.13429966367,5207.74699594778,5552.512387971289,5914.860839610832,6294.920465370738,6692.517010138952,7107.4899949869305,7540.38739289734,7991.474985026371,8460.48845830077,8946.633405417811,9448.693986633345,9966.33013541525,10499.489370595486,11047.371861602596,11608.4119280853,12180.289441415061,12761.11361704477,13350.221755100018,13946.187251644398,14546.61982691471,15148.165525320965,15747.317051188807,16342.593356651465,16932.075003938993,17512.816393899368,18080.848100860632,18631.67031849466,19163.150740611836,19673.389766671113,20159.54090112297,20617.828684461445,21043.798618204502,21435.30964037659,21791.259702983196,22109.803706936782,22388.38572968474,22623.796171102298,22814.52021879308,22960.910710788346,23062.845426714153,23119.745236115872,23130.574098458164,23094.72755090297,23013.996264842568,22890.032703460845,22724.272960311155,22517.94927801533,22272.094834480973,21988.856384328246,21671.017224860614,21320.904459265304,20941.00029888422,20533.942063213955,20102.522179905798,19649.800491540234,19178.32409560571,18690.204312662518,18187.92519550724,17674.35196631145,17152.72974106592,16625.9186230393,16095.201148925864,15562.010693900635,15028.25126210026,14496.297486622969,13968.963023958351,13447.8883731063,12933.341147722158,12426.015422312821,11927.032176800147,11437.93929652092,10960.624682039537,10495.602075391687,10042.504809409014,9601.37730627953,9172.640193771716,8757.090305234513,8355.840746397464,7968.8614232990185,7595.3876131314055,7235.02162627981,6887.66586403077,6553.522818572176,6233.093978307303,5926.404797523167,5632.525276182014,5350.80431713501,5080.822655530392,4822.392858813476,4575.559326726643,4340.521381145828,4116.675549135902,3903.2145081739272,3699.5555011495985,3505.2856154865317,3320.1617831422564,3144.1107806082023,2977.183942507181,2818.856438994201,2668.4383990360834,2525.4140333921778,2389.388662966029,2260.088718805369,2137.3617421021168,2021.1763841923841,1911.4464951682628,1807.5841452908046,1709.1213565579203,1615.6845988121192,1526.9863122478635,1442.8249074115695,1363.0847652016123,1287.7362368683125,1216.7470117876428,1149.6065443251891
H,223.0875405879165,270.87505054436434,314.14499782456465,355.7566074455538,397.4990981130969,440.5112881764738,485.5616648717393,533.1679952766123,583.7370035448084,637.5774195706954,694.9626314271804,756.1549661473983,821.3863719272887,890.8959818127915,964.9295792311838,1043.7285492394424,1127.546693339513,1216.638293986388,1311.2539686475257,1411.6266786524366,1518.075139613473,1630.9070436759548,1750.3903873201186,1876.7534713611167,2010.1932823487496,2151.008023626037,2299.544680471887,2456.0775493019314,2620.805975740726,2793.8501679076066,2975.3454414194753,3165.66688271137,3365.0790198017316,3573.673621641125,3791.369698112238,4017.952713830469,4253.547177315198,4498.396486657548,4752.469403588406,5015.451976063222,5286.7477943049635,5565.799565970035,5852.664498863651,6147.156630488884,6448.662465697182,6756.140976688355,7068.229412157271,7384.342352956865,7704.1108197863705,8026.638796430772,8350.499232884458,8673.745124800012,8994.85632949081,9313.227247289173,9627.77572837728,9936.846969255916,10238.213512744445,10529.664354733086,10810.40769823686,11079.413168875644,11335.132176330007,11575.500142262401,11798.256140583728,12002.639119521747,12188.031782950678,12353.40648120523,12497.343257122111,12618.172871685201,12715.514193451976,12789.461723141598,12839.830676886459,12866.19538354594,12867.918679011958,12845.18683953572,12798.856578352621,12729.616598117524,12638.056648850674,12524.667527937712,12390.176476580971,12235.968606633052,12063.244967527035,11873.241626420458,11667.236440325143,11446.55083471895,11212.826446511544,10967.341338449514,10711.20305784769,10445.73705678682,10172.486692113604,9893.213225440655,9609.61505262852,9322.474268276386,9032.588888366085,8740.999109470858,8448.984884184501,8158.063957949158,7869.400003779978,7583.252011435628,7300.029346665897,7020.385826699955,6745.219720246357,6475.655345384559,6212.185375490577,5954.672602007556,5703.211402306959,5458.095783691043,5219.8193833928535,4989.033622540642,4765.764550435465,4549.6860371340135,4340.6620268539755,4138.7207398404635,3944.054672366028,3756.994577309328,3577.3943354999437,3404.8270046118096,3239.0247040819468,3079.844486832409,2927.2683392702784,2781.402730947629,2642.1671167327995,2509.1144944372722,2381.9166682058644,2260.3387049827484,2144.2389345114548,2033.5689493348646,1928.3436244822442,1828.272299756448,1732.9945671194644,1642.2389226921498,1555.800670488994,1473.5419224181187,1395.391598281267,1321.32820434095,1251.115154122441,1184.4582017185942,1121.1306655785327,1060.9528870376166,1003.7922303174421,949.5630825258402,898.2268536568806,849.7260712762285,803.8173898764517,760.3040683784214,719.0257832491906,679.8554422137565,642.6991842550628,607.4963796139991,574.2196297893968,542.8415399932074,513.1564256361492
I,568.1366139292347,666.864308121127,752.817807930953,832.5539991790877,910.1918300838006,988.3409671744495,1068.7296479920608,1152.4806965958753,1240.4304989132388,1333.1653061814059,1431.1676954652596,1534.875621272574,1644.6399326809114,1760.8140199752024,1883.75525116641,2013.7968812258189,2151.2871123972973,2296.5695861056056,2449.975493064918,2611.7954478484944,2782.473157485466,2962.428640242758,3152.00495572005,3351.4682048497693,3561.0244572003785,3781.0676469144746,4012.071276613461,4254.382455004827,4508.220348951606,4773.670387474991,5050.857201618022,5340.301212387834,5642.346460377468,5957.062669584076,6284.245247408936,6623.48489666008,6974.941537216765,7338.957994698952,7715.461183869424,8103.952756853445,8503.509689251661,8913.299555288773,9333.438676032365,9763.683186261022,10203.164609916439,10650.389860103423,11103.4040670528,11561.43850425674,12024.042661582995,12490.003794489327,12957.344262009501,13423.33809274148,13885.90056065614,14344.273466195562,14797.005739584602,15241.821409472268,15675.619602931734,16095.323933211856,16499.88657266076,16887.89950052271,17257.20119723053,17604.87989748545,17927.730217700515,18224.669197430045,18494.796281376224,18736.607591508357,18948.02191138889,19126.58473149888,19271.663136552932,19383.290042586807,19461.087068037537,19504.31923414908,19511.937073619843,19484.066767057117,19421.805539431443,19326.00954779574,19197.39063373001,19036.51632334133,18844.299052170136,18622.635897957913,18373.176188796395,18097.623796200416,17797.746865191006,17475.38044215789,17132.851133233915,16772.005322497607,16394.449703483155,16002.113060781458,15597.246270040163,15182.42229796367,14760.144208730046,14331.614463010752,13898.050443818136,13461.03095660155,13022.493100639183,12584.729447063744,12149.522537191098,11717.320116195217,11288.79060110813,10864.968143373675,10447.252628847495,10037.382405594639,9636.15620647514,9243.425096158355,8859.384518850515,8484.52964741584,8119.6553833765465,7765.793494082079,7423.030885180976,7090.915528062214,6769.280806938379,6458.2078693540625,6158.025626185844,5869.271299550686,5591.754597599017,5324.851938508742,5068.180080189342,4821.545242453869,4584.9431070189385,4358.558130839802,4142.286942066512,3935.460865004212,3737.5910559754357,3548.3309607752594,3367.4763146713144,3194.96514240378,3030.8317020625395,2874.6385382395356,2725.838087971658,2584.019014032398,2448.872496715634,2320.192233835628,2197.8744407270106,2081.8912806374256,1971.8817338514734,1867.3940083479893,1768.0803550993733,1673.66554853514,1583.946886541912,1498.794190463425,1418.1498051005267,1341.9265071486334,1269.7483310323287,1201.310930581386,1136.366331904821,1074.7180067796992,1016.2208726511357,960.7812926322993,908.3570755044013,858.9058693367822,812.1082498154698
J,243.4753313358322,289.61291085099816,334.9616570196798,381.5342929587772,430.61439319293083,483.0647575030807,539.5273064962396,600.5033989657825,666.4495526407767,737.7829013108156,814.9224170772222,898.3036774730227,988.3662354700205,1085.5775570366125,1190.4316017942822,1303.4449607488152,1425.1691136345416,1556.179037048583,1697.0696844582237,1848.4472284994492,2011.0245345505664,2185.532530288012,2372.6945217870434,2573.226193521734,2787.843161321525,3017.3900437574957,3262.797603788047,3524.9570506626033,3804.7166760716937,4102.876261157432,4420.279744574719,4758.081014645055,5117.345650636616,5498.977199309868,5903.717174917579,6332.180556127788,6785.399310210622,7264.6139122440445,7770.738628836221,8304.345299194005,8865.66302639399,9454.943300694576,10073.32166156669,10721.606950082134,11399.964648528656,12107.916880409943,12844.46740019207,13609.699419042667,14404.090515158896,15227.151259187076,16077.394880433949,16952.349726943445,17850.03790149829,18770.105640232392,19711.145276314695,20670.387242489116,21643.70007107452,22626.63575568416,23617.461241738703,24613.788392627095,25611.62519844069,26605.378116002736,27588.52035447052,28557.806314879832,29510.292201038286,30441.373051994295,31344.796139084396,32213.020432140045,33041.87805598683,33828.86500776321,34569.99696634411,35259.81308915115,35891.462229371406,36460.68708612501,36966.67837115447,37407.57760422633,37780.349851171944,38080.78372388734,38305.12614334213,38454.68095586833,38530.80112668099,38533.981461534415,38463.87534766843,38319.303475423956,38101.367187953765,37814.3261569789,37461.586323530384,37046.26618847444,36571.19681251253,36038.92181618136,35453.07010147861,34818.915533389365,34140.29133748198,33421.3907923337,32666.80319957612,31881.517627321722,31070.658343686064,30237.482072432733,29385.19389900537,28517.716263537375,27639.68896085186,26756.4342827831,25871.755868679254,24987.100155483804,24104.51153961577,23226.800978304782,22357.545989590988,21500.95180299871,20658.838356332333,19831.19548263037,19018.7562902461,18222.999190114173,17446.147895750684,16691.058008991226,15958.311973446967,15246.842002216099,14556.305880704209,13886.999063052745,13239.85467213904,12616.441243262745,12017.298866917976,11440.786418998794,10885.823569564938,10351.848877882148,9838.819792422222,9347.212650862943,8877.848695716082,8429.678674367971,8001.108438079604,7591.054438433843,7198.82800580046,6824.135349336132,6467.07755698439,6128.043131696108,5806.020246218158,5499.553675619807,5207.597995916521,4929.397190139971,4664.484648338044,4412.683167574841,4174.1049519306835,3948.7182656861783,3735.230007161595,3532.6233661139236,3340.1115672312885,3157.117276239443,2983.272599901778,2818.4190860193116,2662.6077234306836,2515.8747583729773,2377.039515321224
