Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,1265.6093126350052,1243.6630874168645,1259.3525997693396,1300.4328401332339,1359.3951858936198,1431.7103437402266,1514.6300193929965,1606.648283450717,1706.8850844576236,1815.0057978599682,1930.9326405970378,2054.7244809037247,2186.656154722493,2327.0365310065017,2476.1995390819457,2634.5641606825557,2802.5552679865746,2980.620374749181,3169.241961104436,3368.985971254425,3580.1898022582363,3803.220777504725,4038.5581342508367,4286.793023621609,4548.598932105376,4824.308526602855,5114.077621257348,5418.200798719365,5737.111373933928,6071.389558611931,6421.4420998863025,6786.885773088783,7167.474367158951,7563.2552521891375,7974.569379424449,8401.922339966644,8844.581608662324,9301.2284343163,9770.97268724231,10253.366266131376,10748.401961992886,11255.564364968164,11772.242071959576,12296.075041648557,12825.426585705236,13359.383368788396,13897.461867911254,14436.588229352506,14972.68075798522,15502.688344036176,16024.599868072946,16537.415713654005,17038.65775675552,17523.126988572003,17986.75042795777,18426.86687699915,18842.22692101449,19231.503398896566,19589.758267602498,19912.91474309759,20198.575627343314,20446.017947676584,20655.397305581628,20823.564038370096,20947.639373924314,21026.482397276297,21060.646441323413,21052.017755286222,21000.01951414969,20903.741513256795,20763.74532380578,20581.958673106914,20361.598125420875,20104.54396994776,19811.781323090574,19485.279249104053,19127.765214324892,18742.725087171777,18333.5193760235,17902.239512689368,17451.690250841268,16984.72168962945,16504.210998453585,16013.058020183966,15513.421201714911,15008.116884482151,14500.212323345333,13992.106963236838,13485.53243916183,12981.552576198239,12481.13437031467,11986.846682165393,11500.914440504626,11024.757520127188,10558.995746299406,10103.453367508824,9658.413393830195,9225.680697034686,8806.45966610085,8401.206664323536,8009.6300293138775,7630.729400171169,7264.568343772653,6912.217345343468,6574.096241842212,6250.070612619432,5939.451779417621,5641.083565265768,5354.916800222002,5081.436931755571,4820.669340998861,4572.245680013655,4335.403871791126,4109.040146596182,3892.913225839517,3687.247974453365,3491.934731493291,3306.606556069113,3130.6392273448973,2963.152122423742,2803.6038053051566,2652.1223980292557,2508.609670343385,2372.802493164662,2244.272838579984,2122.4277798460225,2006.565312171716,1896.5561469869886,1792.4072560016912,1693.9805081408695,1601.0349202130865,1513.2266569104172,1430.109030808445,1351.1635266008827,1276.2764364000095,1205.456198574911,1138.6093018007812,1075.577402182755,1016.137323255909,960.0010559852614,906.8157587657729,856.2791475994062,808.4341525995327,763.2601692991808,720.6880989143334,680.6058808248958,642.8584925746965,607.247949871488,573.5333065869427,541.4880156363795,511.20725026431273
B,775.5044684741958,776.9709918718581,806.0988442858694,854.1769198735984,916.0165440357622,988.6084107880235,1070.219234819058,1159.999638395847,1257.527989242248,1362.7628485281743,1475.8345137540955,1596.961459169799,1726.5138386179651,1864.8826667893836,2012.4763981992478,2169.763620859867,2337.214085331643,2515.3175785978024,2704.5944040704835,2905.6332130138208,3118.819094343219,3344.5609561543542,3583.3626141884847,3835.822791832444,4102.609786127678,4384.0835848744255,4680.42765735416,4991.943828138164,5319.054297127555,5662.310422311114,6022.097341692485,6398.022724721507,6789.811843875389,7197.462207904647,7621.24356183313,8061.575883542067,8517.660454858398,8988.092756729147,9471.88141469307,9968.463907326344,10477.705534567354,10998.962625623648,11529.483643066302,12066.76075370686,12609.011660404914,13155.179602068054,13704.639999277564,14254.17485627797,14799.561096241672,15337.624527331689,15866.250045526878,16384.352889970545,16889.381651463642,17376.091484983604,17840.39076216391,18279.6225743891,18692.564732794854,19077.938740120342,19430.91096523892,19747.540644391327,20025.567966148385,20264.408594113775,20464.362099544138,20622.495948981836,20736.18152416363,20804.490186530347,20828.148050623386,20809.180577385956,20747.22250975394,20641.61638924999,20493.107087824388,20303.732264600712,20076.74747040771,19814.11887442028,19516.99114225708,19187.421078460415,18828.145913549015,18442.583304018102,18034.005821289742,17604.542578011253,17156.996957511394,16694.164063991695,16218.813180883213,15733.683708727847,15240.828075063991,14743.021278755043,14243.245785305446,13743.805375174647,13246.325143777145,12751.75150148245,12260.957121439244,11776.45106442251,11300.365884914063,10834.046909798582,10378.058170898428,9932.186887016775,9496.681734049303,9073.2778564492,8663.12237574017,8266.639367237054,7883.5298600458345,7512.810058399496,7154.531454076778,6809.7213210261225,6478.77762788042,6161.563755699637,5857.408497970807,5565.189836355523,5284.856370824355,5016.875171119816,4761.268949932238,4517.679871135171,4285.369549785386,4063.2692768216166,3851.144261061773,3649.2129622072316,3457.370044973773,3275.2603824949106,3102.2790563218814,2937.572204939495,2780.614273755293,2631.5312434660154,2490.229930883327,2356.4560654289608,2229.7942891347193,2109.668156642474,1995.3944200193212,1886.8478792056515,1784.0380919187696,1686.8326082287404,1594.9977624591418,1508.1986731870575,1425.999243243075,1347.8925010681046,1273.7681142732845,1203.6371047081682,1137.4101605232463,1074.9336536978803,1015.9896400402978,960.2958591875962,907.5057346057417,857.3221061819119,809.7890741362156,764.8888325612477,722.5551830328516,682.6789639566505,645.1080505680509,609.6473549322419,576.0588259441906,544.1185898476043,513.9230876122697
C,2099.5635325066733,2106.4790672771574,2161.427073675166,2249.0058189009023,2359.8603093134543,2488.4085229899856,2631.300529173143,2786.7333322474633,2953.6664592008524,3131.7239061056134,3320.831483425,3521.0693312428803,3732.7659953172442,3956.278304339979,4191.987281191934,4440.352988100446,4701.811033736467,4976.825909251412,5265.911199945591,5569.6848161600155,5888.333257464903,6222.079296585521,6571.322186031348,6936.63765809607,7318.723373300238,7717.655410495659,8133.209565364286,8565.383190212846,9014.390146303609,9480.671966818587,9964.361420528468,10464.340733398021,10979.718804319557,11510.07326741391,12055.45049203047,12616.153320174079,13190.580830544783,13776.336510769175,14371.705015619373,14975.663955919268,15587.881571571887,16207.292904000387,16829.972736178253,17452.47030074334,18072.412976801366,18688.506289925892,19300.11116742061,19903.17606179627,20492.56251577345,21064.579781124798,21616.97615030191,22148.898524134253,22657.676548672025,23137.526864304768,23584.183743013647,23995.153576946057,24369.714878415536,24707.097943815887,25002.499944184296,25252.285488287132,25454.708097721315,25609.90266341154,25718.974339651963,25779.50816426714,25789.550475906857,25748.89549463352,25659.023803579123,25522.718423600178,25340.28237558721,25111.853874294102,24838.88606068414,24524.003523026233,24170.92604271783,23782.091089014386,23359.347282853854,22905.313687092952,22423.080437222026,21916.20874136509,21388.014676797684,20841.094260911967,20278.71526852793,19703.899648384864,19119.40568302725,18527.724480347497,17930.774978689173,17331.74562339369,16733.895717657102,16139.588447078499,15550.29087966003,14966.573965806923,14389.038577841151,13820.537550742232,13263.301894022261,12718.652308545963,12187.011032254046,11667.907611188366,11161.478587745776,10669.581066145682,10193.383735517815,9733.25770865912,9288.776522033739,8858.75978024661,8443.212262697532,8043.218045782004,7659.163519878243,7290.855354840119,6937.520499997144,6597.8986392864535,6271.911182440356,5960.041725987162,5662.290527355277,5378.246938226187,5107.0894045344585,4847.640114253379,4599.629694613845,4363.279853878339,4138.460993565881,3924.7732068157734,3721.5462783876105,3527.840604153866,3343.0732395289892,3167.36906541925,3000.6151250577723,2842.523054473284,2692.6290824901175,2550.2940307282083,2414.7623171719442,2285.886289761984,2163.666982822556,2047.950139151658,1938.4702594238747,1834.8506021903727,1736.6031838788942,1643.161973377736,1554.3962873550206,1470.3111081733948,1390.8008805784875,1315.6885119239585,1244.7253721714967,1177.5912938908216,1113.8945722596848,1053.2978289516502,995.8437088048199,941.5080154619758,890.2120765772345,841.8287060016033,796.1822037829802,753.048356166155,712.1544355928044,673.2438091702093,636.42188821833
D,13285.144246409765,13186.200129468642,13427.639786005326,13897.914879669313,14528.6761180561,15278.658951034578,16122.707640428585,17046.864971159357,18042.734793779353,19106.766996521066,20237.62566736504,21435.10064971167,22700.828243654443,24036.6427651616,25444.510728534813,26927.038441052144,28486.735606227157,30126.238775639522,31848.4332571739,33656.87727741421,35552.6764332655,37537.12834282417,39612.54317873821,41782.24366820706,44050.25704879202,46417.070621377876,48881.4302760022,51443.36937249349,54104.186792278146,56866.51132579776,59731.202673832435,62691.91681313901,65743.63959350988,68884.08452990679,72113.69280246105,75434.40472086245,78837.18934421778,82308.45900066508,85838.56858507832,89421.8813590296,93056.75543987693,96737.32596820731,100441.25014533356,104148.91252935451,107846.89379910978,111527.97075417986,115188.67883442235,118805.83446874825,122349.91594163034,125799.69123577433,129142.16919174412,132372.36687372666,135474.72438864716,138415.51334467344,141169.67327298436,143722.31283564336,146068.7098255981,148203.76639580645,150098.7486613501,151731.54125620224,153090.96969056714,154176.7571675898,154994.2243925988,155527.93894430558,155764.978222799,155702.72290900126,155348.5081028221,154717.37342254992,153809.64886941682,152624.50065875222,151169.0625149299,149457.62694538097,147511.19351762405,145343.14746429987,142963.10087117346,140385.52794276545,137628.08035432477,134711.5872518288,131655.62663868998,128475.00539168589,125188.65265810674,121814.43632853165,118369.05665959413,114868.02411478254,111323.30002128948,107753.88720334624,104179.48399504062,100614.7070623964,97069.09140337337,93547.09034786749,90053.22115002276,86604.89470364395,83216.15444472955,79895.63964572031,76646.64775974787,73467.1675422333,70358.68927964296,67333.02111713018,64397.87499192852,61556.098274095646,58805.673766513224,56139.98141963035,53559.52023110402,51071.400069236166,48678.45652310764,46379.919669974246,44171.41407526667,42045.52484623066,40002.08350843774,38044.42895072994,36172.87671445856,34385.1479665105,32676.3694993081,31039.413672601448,29472.803486653847,27978.156388553492,26554.867389140272,25200.6026822971,23911.29964494988,22681.17262064002,21506.669360274816,20388.72742246813,19326.772835743952,18319.09762956534,17362.85983433449,16454.083481392656,15588.034868927369,14763.857748108709,13981.656500141144,13240.5312608679,12538.856279531605,11874.279918774277,11243.724654637253,10643.60078238696,10073.121379801136,9532.382082707803,9020.759037569993,8537.15803563291,8080.0145129239245,7647.293550252582,7236.489873210613,6845.4457934180955,6474.476298489209,6123.464088776645,5791.93250482048,5479.0841365728675,5183.800823398038,4904.643654072314,4639.852966784066,4387.772142950039,4149.116966679731
E,1193.3295302997249,1208.3153237092567,1255.3840914070936,1324.5401372125148,1409.8585120160935,1507.9247635235379,1616.788419781918,1735.5106394793627,1863.638332120292,2001.150332229633,2148.218531703344,2305.113243294773,2472.2741840329927,2650.163470568354,2839.263925412994,3040.121960282699,3253.2793088901335,3479.3043907107635,3718.8056263267467,3972.4728138298556,4240.726841323647,4524.020132463153,4822.928283806722,5138.150064816022,5470.473534559122,5820.285803333413,6187.75740636388,6573.212245771004,6977.128261641778,7400.1476525808175,7842.703005928181,8304.274834222379,8784.496402447046,9283.342171140795,9801.127796397242,10338.357522924296,10894.048500888719,11466.503114630694,12054.533615004839,12657.479166359217,13275.204478865255,13906.960695300435,14549.48461852819,15199.819736126876,15855.882605515206,16516.462853952187,17180.86994194268,17845.32298500974,18504.86340525723,19155.77691469285,19795.60304717208,20423.100761681046,21035.282549919917,21625.97569356524,22190.363461384855,22725.311061365122,23229.365640710934,23700.993843889035,24134.45163703588,24525.035586301896,24870.008920948843,25168.595040344437,25421.045168586304,25623.781584753142,25773.569138811,25869.173163194286,25911.30658251232,25902.211720180803,25841.30114255224,25727.629166965107,25561.92094094879,25346.445922753624,25084.929521870028,24779.577648867606,24431.611678836987,24043.359817135257,23617.990534379198,23159.512566445344,22671.785269784312,22157.291677016976,21619.333578879774,21061.23907456922,20486.341748215946,19897.975713028252,19298.652578160632,18691.728246142855,18080.83255959573,17468.804180148516,16857.69058843894,16248.748084113195,15643.13956865593,15043.965424321788,14453.90432025121,13874.686108155502,13307.098239830366,12750.99103863935,12206.762244649599,11676.620905180163,11162.064880907134,10663.702241428808,10181.25126526564,9713.586895066548,9260.84548786239,8824.370935893818,8404.728750743876,8001.815339669362,7614.8580056008095,7242.518463622815,6884.783935221325,6542.293465909889,6215.126444646013,5902.879027801686,5604.664139163393,5319.174406297212,5046.147867305665,4785.89793206562,4538.325668601872,4303.010682070487,4079.2111147587934,3865.8647206698847,3662.3235071478457,3468.772169549824,3285.1149864702197,3111.0464219257133,2946.0511253552863,2789.403931620209,2640.239606870981,2498.4103866883897,2363.9444620586773,2236.684833864048,2116.341191673493,2002.4899137427842,1894.574067014466,1791.9428119387167,1694.4607554840977,1602.1524077889085,1514.9103813407621,1432.5417253987405,1354.7679259933896,1281.2249059267253,1211.4630247722328,1145.0964981824168,1082.188951181268,1022.7234164418525,966.6181751813467,913.7338552246497,863.8734310043844,816.7822235608992,772.1479005422617,729.6765644597724,689.5003774389706
F,2559.399699157758,2523.9909718158406,2565.241364276804,2658.0366062932,2786.984395784995,2942.793161362064,3119.8038472928915,3314.8855835966433,3526.166026657212,3752.8711511789083,3994.731484167655,4251.735534613192,4524.296451873831,4812.875924645412,5117.966449093283,5440.215295369064,5780.259494326805,6138.762041495088,6516.437606270185,6914.151871730319,7332.26960099172,7771.195463604077,8231.545149245881,8714.145367724432,9219.971387227231,9749.266089149034,10301.894091644182,10877.98890214392,11477.951198898238,12102.463908785221,12751.83485874838,13424.794462597602,14120.350286534374,14838.095078047276,15578.20676591198,16341.185201820052,17125.113423818602,17927.021027104027,18744.795417969122,19577.200616504022,20423.874517109398,21283.507583487703,22151.026527918315,23021.933534973483,23893.118528583414,24762.859172036286,25630.27302921209,26489.943891426,27334.919549154798,28160.142513723185,28962.4468608286,29740.505573271446,30490.528522138364,31204.40680744328,31876.038906357517,32501.71602801095,33080.122113492005,33609.857612405685,34083.87856879642,34496.67848890602,34845.38540334142,35129.75201915871,35350.89121689476,35504.904620726586,35588.45821874201,35600.748493599,35543.422375162074,35420.031427952184,35230.5232496882,34974.50575145916,34653.58030585732,34271.1541262858,33832.32907058365,33340.311458863085,32797.27488528164,32206.632946693426,31572.647757618273,30900.42995024175,30194.80504527945,29459.24295736475,28698.215886749884,27916.01293021498,27116.71398906468,26304.18414195763,25481.363134888546,24652.69267872299,23822.82899033294,22995.26178528616,22172.31427784619,21355.14318097239,20544.876762133397,19745.553710459903,18960.47887389456,18191.688223683374,17439.961949668756,16704.832066796484,15986.62917368189,15288.100749161515,14611.038773648666,13956.087581092583,13322.743858978385,12709.418155024596,12116.193275854577,11544.711685051114,10995.611157007601,10468.680709249153,9962.860602432584,9476.375817509697,9009.160146783282,8561.974320131532,8134.869567327274,7727.289121712787,7338.068220199819,6965.514145266211,6609.264782359304,6269.684169910515,5946.616555186239,5639.503393452892,5347.383347976907,5068.893647716743,4803.196608485002,4550.503700251346,4310.6733805964395,4083.3015811074433,3867.721707378022,3663.0046390083403,3468.0464526625924,3282.6463901260877,3106.8250151956136,2940.3706672913913,2782.904790490475,2633.8819335267563,2492.5897497909464,2358.1985084442576,2230.5269967845697,2109.5958115242975,1995.2600154904826,1887.267286994153,1785.257919830328,1688.7648232780116,1597.2135221002006,1510.1101337066605,1427.5274470505199,1349.4377522869593,1275.7317110435183,1206.2272676870552,1140.6696493237473,1078.731365799092,1020.0122096979003,964.135590831097,911.2644379562654
G,533.8177170784079,540.8924591822921,565.6929030521687,602.8347099888086,649.1612412024926,702.888038125923,763.0307012206531,829.1596900495517,901.1138103807853,978.973068195636,1062.929236331613,1153.2347994229365,1250.2445969239188,1354.3349409666316,1465.9020185395268,1585.3903628670878,1713.2573802833147,1849.9846600883486,1996.0843639156415,2152.1239362333295,2318.5643818437243,2495.8963785854407,2684.6830578662552,2885.560004663106,3099.22072722745,3326.1920043072105,3566.9068871856502,3821.8880981227444,4091.750324449923,4377.206381902699,4678.885957665087,4996.93323076842,5331.580005729573,5683.246861383461,6052.543150883072,6440.191600181589,6846.122598417724,7269.837404105039,7711.114357535947,8170.022668266392,8646.922009263742,9141.825534949148,9653.185997151057,10179.574713187241,10720.057713437323,11274.195741342759,11841.837003260349,12420.800434799354,13007.948368333859,13600.877232352577,14197.938347454836,14798.217756952412,15399.523107463501,15997.117557901327,16587.06993014248,17166.57330663693,17733.945030408064,18287.342270880235,18821.363064697867,19331.13943379127,19813.31956616035,20266.064196843283,20688.309405470653,21075.475044324503,21422.917974857675,21727.82333303697,21989.179894033543,22207.41677465072,22380.13559314878,22504.17535249843,22578.231136187133,22602.804822836377,22580.120618658457,22510.80522543219,22393.849554043554,22229.757523120537,22020.46755647647,21769.35258311011,21479.935004773575,21153.25399696055,20791.24761486842,20396.60709021104,19972.75685984507,19523.84764551586,19052.89249455761,18562.39468038915,18055.602890202175,17535.57269888012,17005.16656899822,16467.053850823453,15923.524189880216,15377.314499324912,14831.486832558288,14288.375184996197,13749.574116825348,13215.940504279604,12688.519414512328,12169.888926342013,11662.097777962479,11166.307253988856,10682.791185457521,10210.975492072317,9751.380048937495,9305.784148898081,8875.18047254534,8459.807389177984,8059.14895680216,7672.041307874282,7298.703945248915,6940.12143267401,6596.633964753521,6267.997321985961,5953.3828707644025,5651.449111577531,5362.046222507137,5085.723519781606,4822.530691772021,4572.110891459065,4333.700736433038,4106.13159817274,3888.724548031582,3681.8275207475417,3485.4421175235293,3299.297423186998,3122.8500061899604,2955.28391860897,2795.598226762343,2643.690201768811,2499.68150875169,2363.4541808377608,2234.714660174022,2112.993797927689,1997.6468542861844,1887.9039901448757,1783.652200728319,1684.9814675608884,1591.8095771879505,1503.9413101915025,1421.0684411901755,1342.769738839232,1268.5109658305705,1197.8379758689414,1130.8729848931475,1067.6307817045545,1008.0414375915822,951.9595171834055,899.1640784499548,849.3586727019168,802.1713445907286,757.252054676837,714.7949635525956
H,530.0896019903078,538.5868556876433,564.1554618617561,601.4648046583627,647.3616995523762,700.0328025950732,758.4436023839488,822.0965794031196,890.750064881168,964.3899177442927,1043.1022942268028,1127.0235223081067,1216.3777963104144,1311.399426996918,1412.3323366125499,1519.4519904752542,1633.0290543109752,1753.347492776524,1880.7118058716699,2015.4684667575937,2157.814994300182,2307.9647870290264,2466.197068795883,2632.856888774672,2808.3364595028106,2992.807316899451,3186.3231279634597,3389.020040174521,3601.116765207764,3822.920001669504,4054.6219172453025,4295.902345650916,4546.52417194267,4806.434522290642,5075.764763978666,5354.748208296213,5642.8225292020825,5939.048374303274,6242.762400053727,6553.586062979152,6871.424869064605,7195.861155967336,7525.150295781564,7857.718939252278,8192.463431317856,8528.749811110061,8866.22641284738,9202.919214935608,9536.248652649942,9864.299684060534,10185.826018979584,10500.231915923936,10806.01424392665,11100.017446818965,11379.80546127577,11643.828590889429,11891.423506169778,12121.891614543201,12332.34949246165,12520.46284531826,12684.920556901734,12825.43125931743,12942.238073535367,13033.597267330311,13097.942659178483,13134.737287703494,13144.445578601148,13128.316768703813,13086.12846549974,13017.464302565464,12922.760623364382,12803.240720856369,12660.869321457983,12496.816070179451,12311.726625100104,12106.809016647394,11883.697729423271,11644.45370220421,11391.054096304439,11124.746375215844,10847.18985199837,10560.059874327706,10265.037187010646,9963.805385796362,9657.618041448053,9348.133346705326,9037.153245910184,8726.084326540238,8415.937819208737,8107.329597664562,7800.820881955782,7497.933378185021,7199.988237083733,6907.829970302674,6621.829428003057,6341.886400237772,6068.172096297923,5801.774813433746,5543.428445860725,5293.417674513611,5051.577967046412,4817.31898797313,4590.68880121898,4372.351933466606,4162.580472768345,3961.3077245746613,3768.1282117341575,3582.350154908883,3403.9562336871745,3233.2636248276126,3070.3058940940086,2914.8713049241,2766.5028184295493,2624.530123514528,2488.81621644887,2359.5187080531514,2236.585680775776,2119.801754018159,2008.7880841347346,1903.002912403715,1802.1162282655698,1706.2231609502044,1615.2760968315783,1529.120628548973,1447.4955550069922,1370.032881375563,1296.2934107572921,1226.2041048328476,1159.7815054848109,1096.9477827278151,1037.5572441332106,981.3963348290627,928.1836375001499,877.5899721745172,829.548921200145,784.0751809713657,741.1162223604514,700.575983605595,662.3148703109091,626.1497554464272,591.8539793481046,559.233427536414,528.3225081452665,499.1143422251323,471.569120668445,445.61772357434984,421.1617202487047,398.07336920408085,376.1956181597593,355.3807478772048,335.6973663734739
I,1167.1766487802622,1163.3604449236823,1194.548016009756,1249.3110662670147,1320.7255879476409,1404.670110251639,1498.6745004503773,1601.4115640488058,1712.112264362876,1830.4964737583696,1956.5037047242618,2090.1839404763778,2231.772659226887,2381.5250820064375,2539.7118823223145,2706.6682048987404,2882.7189628260758,3068.2082121790045,3263.5123184463046,3469.0817656585923,3685.102608626322,3911.7879160135426,4149.466805167455,4398.58444211841,4659.668259611255,4932.863517765196,5218.1312897217485,5515.579144297531,5825.458609817866,6148.172500148384,6483.936544907412,6832.17529901918,7192.462716676118,7564.6771407584965,7949.001302834445,8345.788429449947,8754.17500600389,9172.77297746134,9600.632457134694,10037.250832589616,10482.571402527914,10936.062482419697,11395.281293224134,11858.069819509477,12322.968633450824,12789.216894830119,13256.475391138825,13722.078171807983,14182.535680303567,14635.30869086248,15078.809016518597,15512.373030628309,15934.043404076969,16339.54948986432,16725.62412524901,17090.222776180413,17432.52353729859,17751.63326565521,18043.59159893372,18305.187171687725,18534.602951880515,18731.41135553821,18895.900547759335,19025.574101012768,19118.16100771536,19172.801241541798,19190.007178771015,19171.36459019129,19116.405528816413,19024.379122245147,18895.725500882578,18731.98685382874,18535.744422323365,18308.479876198588,18050.942592050196,17764.688502793182,17451.89686378939,17115.370252847482,16757.814791407334,16380.914652437263,15986.951090399069,15578.256850292535,15157.20126216185,14726.186563925337,14287.011381214721,13842.0464922146,13393.886582947196,12944.579883100647,12495.628166029022,12047.986748752306,11602.533422092507,11161.502534267725,10726.860584551496,10299.89119562055,9881.198935456989,9470.712986720544,9068.747781649936,8676.940486402562,8296.417073163884,7927.649057535189,7570.453498533556,7224.026826203057,6888.487291139605,6564.849026700386,6253.552067473492,5954.537896250071,5667.249444024318,5390.707687333873,5124.916516315252,4870.36859059478,4627.138166695684,4394.936451109662,4173.11160029687,3960.695763290867,3757.5028086395378,3563.7792084917255,3379.46130085041,3204.242627742306,3037.5739352178603,2878.6639813896,2727.032536846961,2582.8265126064143,2445.9812793008823,2316.273280419564,2193.3200323079477,2076.580124167802,1965.4058924740314,1859.6911520637223,1759.4623256031991,1664.6055802476649,1574.9059959200622,1490.047565311076,1409.6131938791236,1333.1145163452427,1260.4527898509773,1191.649738126018,1126.6271309341487,1065.241884619984,1007.2860621089708,952.4868729073869,900.5066731023446,851.0560392607048,804.1852089926804,759.8830983895,718.089611109648,678.7010155715519,641.5699449535807,606.5053971940492,573.2727349912111,541.6511729425558,511.7417397054367
J,498.31994713315896,529.0193546917039,573.3698265286818,627.8652824692781,690.6057094605092,760.6573982017646,837.6353633610111,921.5332886001431,1012.5223939703563,1110.9391965347877,1217.1993943755417,1331.7670268550078,1455.1835854861408,1588.0187194482658,1730.873535777813,1884.3930579119958,2049.2423276118147,2226.1291458323462,2415.8108568148446,2619.1123335663738,2836.746501000866,3069.4769018530337,3318.1655557006966,3583.7729589647797,3867.341262969958,4169.735734842818,4491.732136466167,4834.228430189512,5198.247321066249,5584.94366806204,5995.396770483927,6430.138579616554,6889.823076746726,7375.345141997052,7887.8405543259805,8428.59992050431,8998.000054521093,9595.912289261645,10222.555287023446,10878.513223860495,11564.73546868577,12281.774878039212,13028.266153638351,13802.978639960407,14605.293178557897,15435.20210805856,16293.057453233694,17176.642564965983,18082.43840961958,19007.825094875676,19951.115587288987,20911.53153010158,21886.588816668373,22870.253630274583,23857.44074406607,24844.486757036022,25829.15009402497,26808.88313169081,27775.936116572797,28723.028553487315,29644.902477416876,30538.318450640632,31401.023475338847,32225.28411524946,33002.82209302316,33728.01572572969,34397.88216792339,35011.54771063483,35563.42389994849,36046.088421691995,36455.1495970932,36789.24923739812,37049.936332018435,37235.98368809898,37342.51449434153,37367.4678418734,37311.749547664804,37179.23215452898,36974.39774361414,36696.13823180717,36344.73567060995,35922.79477433257,35435.21579828611,34889.18150380517,34289.72854104314,33638.77635386211,32940.17109961054,32198.62819312892,31419.73230674969,30609.93737029732,29774.657859633106,28917.2789434789,28043.11264896582,27156.866109916857,26262.59185045299,25363.682750437878,24463.095514030083,23565.644245037423,22675.75323239717,21796.492741734564,20929.57901536277,20075.418015729058,19235.739160812853,18414.4501170174,17614.210694052665,16836.271190129788,16080.47239196111,15345.417715172223,14632.053410403461,13942.906108944864,13279.242880818996,12641.10547189322,12027.310303879667,11435.58554972967,10865.979807009679,10320.06836530261,9798.365722314038,9300.465201955227,8825.038954343134,8369.840650459435,7933.636815857129,7517.48382063958,7121.6821704598015,6745.881011264067,6389.078129291916,6049.619951076144,5725.400656732273,5416.368079382205,5123.020573291254,4845.281872332519,4582.6401032345975,4334.147785581585,4098.421831813048,3873.7637032781067,3660.038812141718,3457.6138220103503,3266.431211752278,3086.1463966001147,2916.1277281508214,2755.456494365698,2602.926919570392,2457.520954616353,2319.638369069,2189.4149180971467,2066.7699102251145,1951.428700777305,1842.9226918781983,1740.5893324523608,1643.5721182244295,1551.0645306558342,1463.6182865338808
