Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,15.201448639257437,18.35163074495491,21.802198876310293,25.449640009263945,29.238424087885672,33.143003385877954,37.15554755492645,41.280497432342514,45.52827878350036,49.914583004571504,54.45748161828877,59.17625396394096,64.09232808999799,69.2274894936785,74.60384001673245,80.2445242097315,86.17298922008023,92.41324795373814,98.99001445871258,105.92929756001374,113.25524538410657,120.99287500103821,129.16893726281134,137.81191680338418,146.951733395713,156.61547896261663,166.82908904474442,177.62052430730503,189.01976940838207,201.05891169847064,213.76875037756088,227.17236404945706,241.2944785437523,256.16304613159457,271.8092455256875,288.26606441427754,305.5530341869153,323.682807816111,342.6716354547537,362.53948530192946,383.3100302585405,404.99987782720615,427.6000239945093,451.1012557746262,475.4992997581145,500.79482211191277,526.9900220544966,554.0524796609513,581.9318463607062,610.5839009591767,639.9707047165763,670.0602774289928,700.795945511304,732.0777589136867,763.810956547245,795.9101916557671,828.2995318157259,860.8937198854337,893.5493316367998,926.12368404577,958.488450019223,990.5296031410369,1022.1372247516942,1053.1472846765264,1083.3906364454333,1112.718776454552,1141.003481967934,1168.132056325329,1193.9540587507124,1218.3117965284302,1241.0726538461718,1262.1282413384765,1281.3933113421442,1298.7682538551019,1314.1473024670818,1327.4499968686528,1338.618566939389,1347.6179327478699,1354.4219109580063,1359.0002044196838,1361.3494197631674,1361.4797290029808,1359.4145580197874,1355.190497770176,1348.8441680818335,1340.4452806844695,1330.0808008382842,1317.8345028151352,1303.7869698985382,1288.0155943836698,1270.6061252160846,1251.6883160273,1231.3920397869647,1209.8350335222333,1187.1229802792477,1163.3495898632527,1138.6211477834809,1113.0780311276583,1086.8483194135024,1060.0434953546564,1032.7584448606874,1005.0722556893656,977.0840704749521,948.9105073040844,920.6507740836671,892.3885413506998,864.1919422722764,836.1154082262962,808.2318815464957,780.6193792494859,753.3415867609103,726.4494669311281,699.9812600352119,673.9636229272276,648.4366285928138,623.4438503304651,599.0178170260614,575.1820889102873,551.9512575586323,529.3309662571456,507.3306223780471,485.96860588601845,465.25523657383343,445.19517633370106,425.7874291572671,407.0253411356127,388.8978412653207,371.40339669587684,354.5399622283304,338.3012067141143,322.6776703771486,307.65676481384116,293.22277299308513,279.3575325385957,266.05010319384763,253.29013173530714,241.0647502421017,229.35958435155376,218.15875325918054,207.44486971869435,197.19904004200265,187.40324796274248,178.04585009586194,169.1134619059674,160.5919303572345,152.4664594486305,144.72161021391423,137.3413007216366,130.30880607513936,123.6078711210416,117.2286357894247
B,4.966730744397817,6.821054582234138,8.957605552940914,11.311743334291823,13.850847130904569,16.562027893036905,19.443929833078602,22.503252139735107,25.750672466074978,29.20051019036926,32.86892230887696,36.7732127513918,40.93247692529645,45.36650329045196,50.0957857455924,55.141951395807695,60.5272840157169,66.27497469576083,72.40922540196145,78.95564052306463,85.93866527646149,93.38380423040681,101.31830927437265,109.77117961904824,118.77291667773316,128.3518504957762,138.53536269412015,149.3527280858003,160.835134584694,173.01576823237815,185.92671685750142,199.5925727394793,214.03932482902954,229.29590211706534,245.3941736346957,262.36760837541607,280.2362582506401,299.0127734468005,318.71301731569525,339.35621936608817,360.9649634455283,383.55439072715046,407.11295967314624,431.6283659869318,457.0929638054836,483.5037656993374,510.8589747252646,539.1207532941229,568.2322117638441,598.1425596003739,628.8072988074376,660.1878919731578,692.2201469113828,724.7950014307419,757.8088915033672,791.1681946569867,824.7892299749211,858.5789405349911,892.3848855561814,926.056079736975,959.4569038064401,992.467046957617,1024.9710350689895,1056.7991817215106,1087.7779132595658,1117.7554126302061,1146.601221688573,1174.2013895090233,1200.4051200551999,1225.056120851363,1248.023860531419,1269.2025770886314,1288.5101814980228,1305.8513045217355,1321.1265767992923,1334.2619810472945,1345.2058423255219,1353.928828036933,1360.4106164768514,1364.629013524875,1366.5887877670195,1366.307211326395,1363.8137465625746,1359.1499611508093,1352.3579850100743,1343.5143958139413,1332.7118796572568,1320.0388609064148,1305.579502199359,1289.4137044455817,1271.6296749492449,1252.3604802695713,1231.737807261013,1209.8807189000283,1186.895760093699,1162.8770417816177,1137.9310927734318,1112.1978615332405,1085.8046264450725,1058.8620375358767,1031.4641164755215,1003.6890507800841,975.6346818072483,947.4157709819461,919.1297815813288,890.8588153769226,862.6696126346276,834.6153577282469,806.767322625504,779.2016519525348,751.9803953739497,725.1531021621446,698.7568211972991,672.8172173522478,647.3730858814424,622.466664421862,598.129365827818,574.3838097236758,551.2438225038547,528.7144572793018,506.804469786203,485.5314847102007,464.90524236693113,444.9299310781071,425.6041871715186,406.92109498103184,388.8694070507889,371.44730765300926,354.6525508542245,338.47867671499574,322.91614267386063,307.9523235473327,293.57151152989974,279.7555913558014,266.4936277894807,253.7753333119395,241.58793310057806,229.91715372488937,218.74722314645922,208.06087071896616,197.83932718818195,188.0646999610066,178.7254867482215,169.80847658702598,161.29968035887018,153.18445519666705,145.4475044847924,138.07287785908517,131.04397120684644,124.34464974662491,117.96522808482104
C,31.309959533613423,36.00514954795794,41.065524951407056,46.38050343832442,51.89286013208751,57.57837180213756,63.43205153667161,69.46211924001898,75.68303163821523,82.11473398337472,88.77950511498238,95.70071122130054,102.90377592788371,110.41429830934747,118.25807514213615,126.4616777910586,135.05158420688647,144.0547682764017,153.49889253656517,163.41286635313523,173.82193201348926,184.75202016150726,196.23105495084206,208.28895404491936,220.95711174565608,234.2614340980909,248.22531481857635,262.8743490925088,278.2362699881557,294.34104431983417,311.21563687208726,328.87494429346685,347.3354239008957,366.6173212711454,386.74467024083725,407.7431764147819,429.6186750413918,452.3673567569281,475.98986485428384,500.49139217284403,525.8816580864362,552.160286571486,579.293859018588,607.2492836776694,636.0000068747657,665.5260130120179,695.8094176411777,726.7902964615462,758.3894361308429,790.5363277131024,823.169182467151,856.2345194457828,889.6515725555428,923.2944636164095,957.04602544974,990.80165611709,1024.4693189202142,1057.9490055884396,1091.0837747477644,1123.7221939502258,1155.730076682142,1186.9904098248405,1217.3928575537927,1246.7786046823958,1274.9898924874103,1301.8908462346326,1327.3669293186977,1351.320364390287,1373.6233518348613,1394.1484526627646,1412.7918969534426,1429.472205170647,1444.1292045907308,1456.6939833562053,1467.1007014449713,1475.3052857123762,1481.2815671450035,1485.0212808606761,1486.5239942296346,1485.7956742438962,1482.8666640036176,1477.7748324541437,1470.56529065816,1461.2903259884647,1450.0046556728375,1436.8012763671793,1421.7845725684576,1405.051228431744,1386.6902277702138,1366.7828540551484,1345.4186226627419,1322.7346449586732,1298.8619583148784,1273.9178748528402,1248.0061676956693,1221.217165116391,1193.6534349104443,1165.4491003118835,1136.7248593364332,1107.5850966278563,1078.1178834579496,1048.395754905853,1018.5099489958836,988.5671828310573,958.6574999026578,928.8563785841525,899.2247321311929,869.8106190625415,840.6790694862777,811.8995013068229,783.528092860513,755.6093288149315,728.1760001689116,701.250248898372,674.8665219652129,649.0625312593893,623.8658840087609,599.2959805705688,575.3640144314385,552.0729908287917,529.4294225535915,507.44827015428825,486.13715068245335,465.49847396287254,445.5294425935471,426.2220519456928,407.56423944010044,389.5529266766175,372.1847698068381,355.4524488135571,339.34571970713466,323.85141452549476,308.95344133412414,294.6334274353789,280.87992188075754,267.68222063096033,255.0272430668946,242.90045905865477,231.28588896552176,220.16610363596376,209.52222440763606,199.336228718986,189.59638032412659,180.28934278368658,171.40100545119745,162.91660286827997,154.82071476464458,147.09726605809155,139.72952685450971,132.70123483897095,126.00257076011111
D,151.81653796790525,178.3140022219626,206.93195399396853,236.94102664102158,267.95270253913213,299.78998583530785,332.39949550110515,365.8126433552239,400.1007442183704,435.3700221318446,471.7410720984175,509.34058905290306,548.3079034534788,588.7823208633197,630.9029463307955,674.8133002597885,720.6557914139013,768.5741374844561,818.7144027931647,871.228804420155,926.2503463451204,983.914714483951,1044.367065644244,1107.762027525304,1174.261133545829,1243.9978336237002,1317.0921927516229,1393.6751101433654,1473.8880674510604,1557.883616788701,1645.7988141946578,1737.7092932389162,1833.698619492731,1933.869617905238,2038.3443728034633,2147.2534718086804,2260.6270771822096,2378.4471692945535,2500.718587090036,2627.4694862923725,2758.751220786709,2894.564563126247,3034.7449742218027,3179.1302771815035,3327.5915841029955,3480.0332960734418,3636.3709222145335,3796.3097447674822,3959.4593738299095,4125.47314643326,4294.048124933414,4464.923022666037,4637.699927604277,4811.75548540346,4986.509317901854,5161.443018248435,5336.10015090289,5509.983418635353,5682.309110086376,5852.3192034153835,6019.3400964999,6182.782243940087,6342.087584536588,6496.451523209979,6645.070952515928,6787.250380401915,6922.399253808788,7050.00899829046,7169.415370308327,7279.950029424469,7381.062647717674,7472.314372726433,7553.3728903688725,7623.857986818823,7683.3970155181905,7731.72794938943,7768.681373769966,7794.180486412181,7808.188529835442,7810.692570463254,7801.803036956384,7781.673787224969,7750.500690249479,7708.521279126134,7655.984316419755,7593.326808653846,7521.049144074326,7439.618782975382,7349.470257699467,7251.00517263732,7144.668010413898,7031.141553813006,6911.086236078374,6785.096266513749,6653.700457200539,6517.362678182283,6376.610481271092,6232.137309118661,6084.571396434893,5934.458611650124,5782.262456915095,5628.368029307093,5473.258803163419,5317.502833037957,5161.5827925044705,5005.905739242164,4850.803115035685,4696.539669650799,4543.470869568971,4391.978231986337,4242.37345306123,4094.9060588368006,3949.76340524102,3807.076234385035,3667.0418346782417,3529.876760290566,3395.7431765159395,3264.7586364460385,3136.9960809702866,3012.483939118587,2891.2696932739573,2773.447721501444,2659.072394555375,2548.169112136179,2440.7343028903915,2336.7354244106464,2236.1172800389672,2138.8741546993815,2044.999174637503,1954.4630432100255,1867.2197455838414,1783.206548736041,1702.3440014539028,1624.5395185028406,1549.738897671287,1477.8920903585133,1408.9353356716917,1342.7962758458764,1279.3939562440005,1218.638825356877,1160.4327348032027,1104.68196729323,1051.3280582865166,1000.3032298443734,951.5349443903907,904.9465772242153,860.4574165215502,817.9826633341577,777.4334315898514,738.7231480722718,701.801658777469
E,13.055280554755107,15.339216664493025,17.908913045297453,20.703655463338727,23.69383618475253,26.86891830772744,30.229441946926944,33.78366324390887,37.54361072822941,41.524781508589044,45.74441524622378,50.2208475145824,54.97412045649901,60.02495971368286,65.39481034853922,71.106195080388,77.18225237611088,83.6470706722193,90.5258005659367,97.84501541055762,105.62987710643364,113.90664742449198,122.70344687171502,132.05025469114022,141.9786268837657,152.51760005961876,163.69516839303984,175.54134396065922,188.0881622924879,201.36976759804548,215.4190595089619,230.2610172522002,245.92213025433273,262.4320150340772,279.8234152022974,298.13076989812424,317.3744597049209,337.56732007194114,358.7256208881941,380.86921052750034,404.0215025831421,428.1982220125522,453.3877427082209,479.5778260570287,506.7611134568373,534.9351263164887,564.0986777860742,594.2136835891237,625.2227805738193,657.0748637797616,689.7252598523155,723.1353844218185,757.2403786202291,791.9296302641762,827.0980092973211,862.6503215865621,898.5013089220375,934.5559129184271,970.658151590214,1006.6531360271438,1042.4012391376414,1077.7780367517526,1112.663620085575,1146.8819514468544,1180.2522189273168,1212.6154075516563,1243.833906027121,1273.7865534574073,1302.3134779993502,1329.2479388122026,1354.4494299540588,1377.8027532811766,1399.2168977013155,1418.5864667534915,1435.8003310215881,1450.7736715712263,1463.4452086430588,1473.7772016527629,1481.7413616922554,1487.305790016319,1490.4665066978987,1491.2336198441644,1489.63100581481,1485.6962183121868,1479.4672109739026,1471.0165896784615,1460.4348852834153,1447.809486668512,1433.224640735697,1416.7614524091139,1398.5099186940315,1378.6061240229726,1357.1865147085007,1334.3751033881908,1310.2835542050063,1285.0112655473004,1258.6709094473126,1231.411256168419,1203.3684901112792,1174.6615324329237,1145.3920410467495,1115.6452425666207,1085.5276073118766,1055.164570318262,1024.6633494003004,994.1147576115343,963.5932032445262,933.158626909623,902.890840380354,872.875568973686,843.1832533460293,813.8706697032896,784.9809298008695,756.5447018101981,728.6072554037288,701.2180459161933,674.4145528114732,648.2244315082952,622.6655133802312,597.7458278554436,573.4775467629962,549.8829833988029,526.9756250489494,504.76261057516757,483.2447304148384,462.4164265809893,442.2671724456501,422.79714147282425,404.00610196391483,385.8889363089328,368.4369020640194,351.6376319514462,335.47513385961315,319.9305656021122,304.99329516268585,290.653448047009,276.8981957942194,263.7128780586503,251.08100260983056,238.98424533248408,227.40245022653102,216.31639839950128,205.71427437605598,195.58222073483694,185.90538932938426,176.66808569802052,167.85376906385022,159.44505233476062,151.4237021034201,143.77196401536625,136.47962691365623
F,22.720002597680253,28.12587954776115,34.08293844388827,40.415672840906566,47.03000157651679,53.88245380319832,60.9592477536205,68.26707837953063,75.82244330346154,83.65048112650479,91.78008866799902,100.24195157374352,109.0701382302304,118.29905438175452,127.9633783834384,138.0992386709543,148.74291108744555,159.93127107081057,171.702026626472,184.0946643528251,197.1448199740496,210.889055240354,225.3663673217607,240.6181888081057,256.68783625782123,273.6127436294613,291.4274912913783,310.1694069293047,329.8785441845353,350.5978116050502,372.3668542118101,395.21086720048055,419.1570505411268,444.23734945939947,470.4884544365354,497.94927440548946,526.6345378081826,556.5468085433694,587.694177278319,620.090423278602,653.7549881952657,688.6947727397475,724.8745044732323,762.2589076101639,800.8208314740519,840.5412504974679,881.4036760408549,923.3370088151977,966.2439586731913,1010.0379708556056,1054.6433290255377,1099.9946287161024,1145.9899360146464,1192.4656955652122,1239.2687154415764,1286.2617144357969,1333.3233220582135,1380.3205125851625,1427.040849565564,1473.2772620832252,1518.8452260333156,1563.5826721173958,1607.3355919738995,1649.880116994161,1690.9908516802461,1730.4721255945315,1768.1573267350188,1803.902475112644,1837.5181718791466,1868.811648792215,1897.62357976161,1923.8264402533177,1947.3230987648828,1968.0014388651316,1985.7486439572936,2000.4837628010232,2012.1530590500336,2020.7300112520936,2026.1994846733355,2028.5494099764785,2027.8025467415703,2023.9953520225972,2017.1775767888462,2007.4121630923682,1994.7641346186392,1979.3482462928112,1961.29821735194,1940.7398212366988,1917.7908855913802,1892.5612922638948,1865.1723836927363,1835.809112300564,1804.651801064099,1771.8628989638191,1737.5871767444207,1701.951847843772,1665.1012868701287,1627.2252639618453,1588.495864835844,1549.062538419626,1509.0520968512674,1468.5698000991806,1427.7477640979632,1386.7411876248873,1345.6818074353405,1304.68057072566,1263.8276351331333,1223.1948197705015,1182.8787128873323,1142.9828360019242,1103.5915817131902,1064.772344021314,1026.5755183277472,989.036022597462,952.2068821238873,916.1461768321798,880.8971824671282,846.4910858409369,812.9469848332249,780.2719157356969,748.4780861188656,717.5902542196709,687.6223357547523,658.5804886150723,630.4631128659179,603.2608507468988,576.9582879658759,551.5532878563525,527.043305490663,503.41983594407475,480.6699667662501,458.7763779812458,437.7173420875111,417.4676796773449,398.01243203780166,379.33768700125637,361.4259371610101,344.2574571120593,327.8103034510953,312.06031477650424,296.98111168836795,282.54752661074076,268.7436628146594,255.5511730690187,242.95050958371206,230.92110198163877,219.44135729870413,208.4886599838198,198.0393718989022,188.07049430952418,178.56852107742802
G,4.1083687405803,5.311147305607576,6.674598988395756,8.163380259815918,9.760516728968087,11.460361983807605,13.263913014779893,15.176837614018318,17.20715796428795,19.36507782731883,21.661971171964886,24.110001803638145,26.722518453000994,29.51344611359385,32.49729931891011,35.68946990171409,39.105990871298935,42.763671372776315,46.680152155592864,50.87416559226631,55.36430248860976,60.17014027164249,65.31259561915638,70.81392445971592,76.69761896118573,82.98673682740717,89.70443663241534,96.8754584635867,104.52615335624945,112.68453379930705,121.3788014284564,130.6340159287494,140.47671009493507,150.93571093383105,162.04213966432417,173.82875302420695,186.32209308107207,199.54535872659156,213.52425250460536,228.2870887977873,243.86478926073832,260.2849964290828,277.56072324947485,295.70490412758664,314.73364789337535,334.66623780108296,355.52313694237375,377.30337240320705,399.9935981062425,423.5838727806451,448.0678520169888,473.4425935889683,499.6880540898436,526.752175453808,554.5845131687224,583.1396734400612,612.3773131909119,642.2486568372252,672.6576411196971,703.5043170307147,734.6969367970197,766.1519231058028,797.7859873870085,829.4658548464546,861.0463434814668,892.3960089910289,923.3970441084714,953.9413519663269,983.8795875250576,1013.0441012808343,1041.2871167988603,1068.4808648740059,1094.516654487939,1119.2647163039774,1142.5720939023718,1164.3092099861756,1184.3706224348382,1202.675024304202,1219.148934240641,1233.6935431668437,1246.2319984379378,1256.7094445092819,1265.0927793477488,1271.3705476517546,1275.5263666735098,1277.5545875422736,1277.4746167471505,1275.314910324302,1271.1129738569487,1264.9153624753678,1256.7751724005568,1246.769592808768,1234.992665769929,1221.5345470946952,1206.4813025467145,1189.9149223604857,1171.9282482044216,1152.649825316576,1132.2035288695997,1110.7002594846097,1088.237943231187,1064.9021867236947,1040.7996082559573,1016.0604230158716,990.7995004533716,965.1162203612427,939.0944728751192,912.8045461806116,886.3389279460645,859.8000460214948,833.2745698172878,806.8344511180965,780.5369240828438,754.4258455878563,728.5625200789783,703.015095244232,677.8381091355088,653.074515522724,628.7556838938164,604.9014252775571,581.5367488332172,558.6998856376032,536.418527709901,514.7123102140166,493.5928114585749,473.0635528969205,453.121719207907,433.77797283542577,415.0426926372244,396.9198072608355,379.4083161341108,362.50228946522054,346.190868242652,330.4592616446686,315.30306486458903,300.71870637837475,286.6984978677431,273.23206076430284,260.3063262495547,247.9055352548914,236.01123846159777,224.60592991043742,213.6814870901568,203.22680537806195,193.22923029800666,183.67474790792195,174.5479847998164,165.83220809977644,157.5093254679652,149.5616024520159,141.98084129678847
H,4.067986536214239,5.426163776011684,6.973433744427594,8.6692958417447,10.49350256634649,12.438221594741181,14.502823142065395,16.69168162356685,19.01159780332535,21.4715932641403,24.081776441504275,26.852914145314273,29.79682516722058,32.92570226765283,36.25213020162714,39.789317160423224,43.550786588866714,47.55058160252642,51.80333632912192,56.3245018863887,61.128528128725314,66.23046089805574,71.64642571609869,77.39362778436747,83.49016973943577,89.95242183451715,96.79598037476771,104.0376122759314,111.69525604910342,119.7880746585669,128.33432459202984,137.34716631730925,146.84062500985965,156.83060812726478,167.33490540923822,178.37228704397717,189.9526589731551,202.0812171682637,214.7652852211996,228.01440039535487,241.84030519622775,256.2499914529027,271.2336822841187,286.78135294657994,302.8860946744396,319.54411467929964,336.75253931762285,354.4861962505324,372.7085210010227,391.3870330497093,410.4934317477512,430.0033874685041,449.87704265207435,470.0475486808883,490.4518016596267,511.0330585791812,531.7409373166548,552.5196191693834,573.2776363275989,593.9247661565239,614.3802520476681,634.572767284574,654.4340720844914,673.8633986457077,692.7577905168556,711.0273813505564,728.5951470337022,745.3939864401433,761.3345481882803,776.3239863017188,790.2848115491475,803.1542999269042,814.8838366438696,825.4165721967623,834.6926775012912,842.6674353735432,849.3095230999752,854.601012437414,858.5292673734939,861.0797177615789,862.2537603223886,862.0605207574921,860.5166676646096,857.6463605330441,853.4738054490491,848.043197497281,841.4087018031975,833.622284229834,824.7337113778063,814.7905505853089,803.8452659945004,791.976873089169,779.2642416594231,765.7788464285015,751.5848195418362,736.7389987315703,721.3057263099683,705.3700368993879,689.0095810351515,672.2919577893359,655.2747147707688,638.0058297706647,620.5455002808332,602.9648260861688,585.3243777827945,567.6752588714528,550.0591057575075,532.5092077558658,515.0703539158848,497.7907732965228,480.7099104705047,463.8593650959384,447.2628919163143,430.9371063716078,414.90711602214634,399.2005034141822,383.83798704717515,368.83466511030144,354.2000154824543,339.93790849881685,326.0546662628611,312.56253455769973,299.46870839584943,286.77675927062126,274.48663515612134,262.5946605072505,251.09433345721843,239.98538555477407,229.26736265132993,218.93701729946667,208.98903586658807,199.416038534921,190.20857930151408,181.35559359043236,172.85079549372853,164.68837206562884,156.86081927303385,149.35958836410293,142.17508586825417,135.29667359616423,128.71266863976908,122.41194461366196,116.38767993189674,110.63188793698956,105.13601320102268,99.89101484547533,94.88736654122403,90.1150565085426,85.56358751710131,81.22274636220568,77.08670323791925
I,10.995280712095655,13.674449545100778,16.653294402534144,19.849493571144347,23.219625338999304,26.744225842563957,30.41774090582871,34.244181041547485,38.23207081973635,42.39395392272075,46.7441237236201,51.297735911569816,56.07153994901656,61.082509547061655,66.34785265400797,71.88546717954583,77.71332536631787,83.84983280972757,90.3139566522728,97.12563032615861,104.30253761697813,111.8629448832042,119.82655855686784,128.21452514355818,137.0491014955182,146.34913570645233,156.13195403090901,166.41651718415292,177.22339128617244,188.57481633090248,200.49127251328298,212.98537159860575,226.07100730728953,239.76486449220843,254.08641913869255,269.0565409628695,284.68305922633016,300.9674979163001,317.9146836695485,335.5328251561816,353.83349846470827,372.82178007451455,392.4803678574026,412.79234268947823,433.7455093778565,455.33239666066083,477.5472437044207,500.3552760480715,523.707996237454,547.5629238600129,571.8836423340395,596.6395156464821,621.7804452660864,647.2231806448424,672.8899908315695,698.71165324298,724.6274536636809,750.570248281635,776.4292507197,802.0959336760101,827.4735723231572,852.4771954643941,877.0257194995571,900.9984402048423,924.2723276671796,946.7400604277261,968.3096916714638,988.9010973229908,1008.4070495418931,1026.716029604381,1043.7347348196963,1059.3873293795036,1073.6146576287927,1086.347426216441,1097.5125356822316,1107.0548970333816,1114.9353860006472,1121.1308430383244,1125.6243727778767,1128.3967965364432,1129.4482259553229,1128.788202894577,1126.435476435703,1122.4179393471866,1116.763645486588,1109.5255141540647,1100.7688855446015,1090.5565820771521,1078.9489083946376,1066.0036513639473,1051.7848808841102,1036.390067736843,1019.9168766451073,1002.453970030439,984.0810713959306,964.8690246556042,944.8983203940356,924.2759292435485,903.0998073111832,881.4553972123327,859.4156280707418,837.0415213600677,814.4097717299678,791.6112787577874,768.7237111162856,745.8127664240563,722.9321712455289,700.125105116041,677.4495699121529,654.9682041748459,632.7324320951915,610.7836259209247,589.1531059564434,567.8630456865667,546.9465980138513,526.4402254814069,506.3715340933845,486.76084587643953,467.62119887973125,448.9583636500214,430.7812763767469,413.10659097457454,395.9444038324218,379.3000665107381,363.1741857415048,347.56262342823504,332.4575333587498,317.85916338505115,303.76751697589594,290.17892306299007,277.08697807044354,264.4825459147707,252.35375800488796,240.68659810764714,229.47326641256598,218.70655965818196,208.37703570814585,198.47385715940985,188.9847913422275,179.89621032015376,171.19309089004517,162.86111378046107,154.89157356065763,147.2742137973551,139.9980153896596,133.05130590114442,126.42175955985007,120.09639725828455,114.06158655342242,108.30404912060072,102.81623097845237
J,4.421598481669958,5.4965065809283,6.724997721060333,8.092128137793058,9.593964487794576,11.233278987223972,13.016791473289393,14.954104871670589,17.056427962414524,19.33656351238669,21.80841022838979,24.486813421778013,27.387812274233273,30.52839423123791,33.92655394207143,37.6014222022248,41.573180540493354,45.863286861118524,50.49452887040394,55.491223679589986,60.87801265763901,66.6811055150273,72.92863951110047,79.6506794540734,86.87912021885845,94.6460269229353,102.98418572718154,111.92871130860074,121.51708921284644,131.78923635444187,142.78602081311627,154.5456506033555,167.10870609500932,180.51905116482777,194.82383319646146,210.07280754003295,226.30984094167803,243.57584228579807,261.91540824415665,281.37696727184573,302.01277614846646,323.87239189520164,346.989428917943,371.39818191070924,397.13750311789744,424.25080233428014,452.7837656592016,482.7575945107685,514.1789793363608,547.0592280874242,581.4145497419436,617.2658293447466,654.6134775010901,693.4175132193956,733.6394935166219,775.2471060481869,818.2141691079682,862.5033630806846,908.0137621202391,954.6367347056179,1002.272913706416,1050.8321630565388,1100.223018673265,1150.2809814387329,1200.818910000332,1251.6656189594567,1302.6658823331165,1353.6749835493922,1404.480995506596,1454.8333990434458,1504.5067299674533,1553.3015656217428,1601.0432516357755,1647.5164345281178,1692.4494574341295,1735.6025969612656,1776.7728991362162,1815.7941794049038,1852.5094916495962,1886.6931971271072,1918.1428401695,1946.6982676526418,1972.2413692918115,1994.6959052492357,2013.9702544497004,2029.9505912243417,2042.5684071806695,2051.78609203746,2057.5969336247585,2060.025117883875,2059.099630932163,2054.849491882921,2047.3535359833663,2036.6983961225396,2022.9777625807485,2006.2922833298896,1986.7537141119253,1964.5276005435398,1939.7862583887195,1912.689476736854,1883.3845180027313,1852.0067734646946,1818.7234490020253,1783.74898919088,1747.2794911198707,1709.4881885646428,1670.5254519878781,1630.521634695601,1589.6476835739259,1548.1008951828708,1506.0523244612846,1463.6468570726436,1421.0032094050496,1378.2163548260642,1335.4167957607772,1292.754199268788,1250.3523896870206,1208.3120056254752,1166.710499967225,1125.6021910360844,1085.0530665722004,1045.1603161222338,1005.9999322450924,967.6302290353626,930.091842123309,893.4077286748742,857.5869441080448,822.6693310564746,788.6957539696688,755.6922168984768,723.6729937580432,692.640628327807,662.5859342514981,633.4903066233337,605.3594637977565,578.2016392953346,552.014932550163,526.7904902955839,502.5125065641845,479.1582226877997,456.69792729751106,435.10375038446983,414.3703451860758,394.48486337779536,375.4301607284506,357.1852533245763,339.72531757042015,323.02169018794257,307.0418682168158,291.7537457276346,277.1482972832773
