Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,25.21013115752642,30.445204230592466,36.18202007429063,42.249212552110386,48.55500112263913,55.05732331920973,61.74349223582934,68.62117059720957,75.7079506016984,83.03016702731409,90.6181177689238,98.50412434265793,106.72409194573646,115.31454542868954,124.31256425681842,133.75698169537884,143.68715860838006,154.14342952110422,165.16732864492351,176.80257459969553,189.08979255038912,202.07108517953543,215.79147878685725,230.29892328926886,245.64379219591603,261.87174033228456,279.02649846525605,297.15520632572185,316.3084112696796,336.5402008546155,357.90251688566525,380.4343457655895,404.1774435746137,429.1789889447617,455.49158305985736,483.17087093349465,512.2498920672938,542.7501081892854,574.6990217801374,608.1303810193826,643.084157453847,679.5884374130841,717.6281932870278,757.1880223472249,798.2608205728516,840.8477826507094,884.9466168070708,930.4938206578279,977.4338549591627,1026.1876415684164,1078.2780281924488,1135.146301126242,1197.532489130519,1265.7672607624756,1339.9538703588596,1420.049656403249,1505.8784582509081,1597.1321786800786,1693.4273000993594,1794.2563157949933,1899.0387804347877,2007.1228862950288,2117.728770739673,2230.025819913327,2343.1323739321306,2456.051595587577,2567.7737388537143,2677.2962341903235,2783.540374386629,2885.446724627099,2982.034887392711,3072.334739043292,3155.41253773508,3230.4695515592402,3296.8175295763035,3353.824914786112,3401.0039732669024,3438.0225001181016,3464.6583871924618,3480.815332755803,3486.528811092107,3481.954740451471,3467.3481550911165,3443.1098128966914,3409.7017548363765,3367.6297259060434,3317.4534107337254,3259.856477477895,3195.5478345529455,3125.2067780455104,3049.489747456305,2969.1222271788274,2884.8489575874705,2797.3511633484436,2707.245722151825,2615.1408815895757,2521.669545870838,2427.3978111556885,2332.818244580072,2238.3638491251368,2144.4822707300355,2051.577830369254,1959.9910249060165,1869.9996376140934,1781.851299499992,1695.7898328858596,1612.011725479053,1530.6684235915204,1451.866773147001,1375.699198208133,1302.248396795602,1231.565957522531,1163.676547313888,1098.5779114064817,1036.2546541624215,976.6915944220235,919.8551509905412,865.6990221041129,814.1641972323162,765.1796237452335,718.6771070902319,674.58458966106,632.8237736548107,593.312848452389,555.9664906185143,520.6958680157367,487.4148899772489,456.04060680209375,426.4878945353049,398.67274060871813,372.512243840971,347.92461443750256,324.82917399055407,303.14919810990864,282.8121227481647,263.7461588788462,245.88200462164704,229.1528452739686,213.49435331091857,198.84468838531302,185.14449733333174,172.3377801508087,160.372574294874,149.1990253454995,138.76936920580482,129.03793210205765,119.96113058367328,111.49747152321487,103.60755211639363,96.25405988206879,89.40297198518766
B,8.370579662408552,11.5129694648302,15.135735157665025,19.12900141868879,23.437306172314504,28.038720041674292,32.9309149503991,38.12525369402699,43.639862944488875,49.49906093123299,55.73029172607469,62.36295156881735,69.4294833555617,76.9635102602079,84.99985696666444,93.57527485243891,102.72763142925471,112.49633791057508,122.92252558447831,134.04971091643696,145.91942833862134,158.57501215191138,172.06276897270448,186.43197773291487,201.73447150586367,218.018371539863,235.3301727067587,253.71958802818244,273.23958241329586,293.946517646332,315.8948722051594,339.12633153362526,363.6849508916224,389.61978713098745,416.98489869550224,445.837060628412,476.2101601927987,508.12545514680835,541.6096722687441,576.6952681503678,613.4204090486521,651.8105670800842,691.8457300778618,733.5045870390693,776.773768691255,821.6478474924286,868.1170653719325,916.1072207851765,965.5517997615046,1016.8697281108484,1071.6032850752006,1131.210741751628,1196.4336697125136,1267.5943587560023,1344.7813043031485,1427.9323995111724,1516.847752531663,1611.1916716124856,1710.5509465027726,1814.3858387164926,1922.0832784286808,2032.9590980784988,2146.20129600046,2260.9497784334776,2376.2965360080952,2491.221719396166,2604.697583398656,2715.708801484492,2823.1692986273274,2926.0179697738017,3023.277834873215,3113.98755959612,3197.227452266585,3272.215561124038,3338.2831153789452,3394.8220570350095,3441.3687777678606,3477.6143311027777,3503.3604300401325,3518.5352578975003,3523.196111671677,3517.5178310878564,3501.773423685884,3476.3802529874083,3441.81400932367,3398.591153929496,3347.2801062316807,3288.572081876628,3223.1812984223075,3151.790919277215,3075.059869197801,2993.714957345942,2908.5011052651757,2820.099256025409,2729.125614653893,2636.1872231105913,2541.9152638796777,2446.874105768076,2351.5546456859884,2256.388225004288,2161.820708890594,2068.2547922246686,1976.0294745475749,1885.421162845892,1796.676205300657,1710.0373803265638,1625.700261452886,1543.8154237583049,1464.4888848534104,1387.8123800135243,1313.8682064528475,1242.7075652918616,1174.3546964611332,1108.806878701312,1046.0483106355339,986.0636921129358,928.8193124154982,874.2686615963931,822.3524423121178,772.9992433716576,726.1406709207257,681.7046172540086,639.6126572581027,599.7827769522537,562.1293734883587,526.563259332276,492.99805824906525,461.350713763546,431.5359309080359,403.4694728522996,377.068160903549,352.24987450644335,328.9335512430885,307.0421500223823,286.5029384536682,267.24390259141046,249.19548648976607,232.2905922351618,216.46457994629307,201.65526777412617,187.80293190835658,174.85127154627673,162.7481429703297,151.44346903829796,140.8892482789646,131.03955489211307,121.85053874852743,113.28042538999192,105.28951602929179,97.84018755021265,90.89819473250687
C,51.25201737528703,58.95954540782728,67.26706253968585,75.9923411827152,85.04101082867528,94.37304946332141,103.98012029025563,113.8756417261778,124.08330916442699,134.635860598343,145.56987946958975,156.92374054436763,168.73920878072732,181.0583369403014,193.9235002279434,207.37835174683477,221.46639379480092,236.23194034725668,251.72043323792673,267.97936305483455,285.0502140956829,302.97560094645496,321.8014083887947,341.57679140000704,362.3533285491536,384.1736100544689,407.0761110269659,431.1029194597961,456.29963263750363,482.7155144682803,510.39491334625257,539.3623944950308,569.645085503645,601.2763292576632,634.295683939194,668.7454531910055,704.6353591363588,741.9593030629878,780.7184891922408,820.921584195592,862.5846794924877,905.7073080353888,950.2347866195681,996.1129593529795,1043.2983922751205,1091.758373357032,1141.456766148189,1192.285210859848,1244.1471685760775,1297.4918902267236,1354.0250544410014,1415.3326781451647,1482.1842069289928,1554.8714549846875,1633.4202051842087,1717.6907056336208,1807.3966221448613,1902.1127568452825,2001.3423778601825,2104.4694981357243,2210.817248877482,2319.6512957830537,2430.126620263256,2541.3667251861907,2652.463559784794,2762.419856159469,2870.2451585398953,2974.97363295842,3075.589943758635,3171.114712632547,3260.6549022520267,3343.3442628712514,3418.366665851461,3485.0352081634396,3542.770875802193,3591.0609189304837,3629.5252349581883,3657.921952376079,3676.1131883483376,3684.081239990287,3681.9213672446776,3669.8306604239156,3648.0975718610516,3617.144771300343,3577.443285466012,3529.4961838685936,3473.852520134864,3411.1779179482037,3342.1558674260973,3267.4388069626125,3187.6547990116096,3103.4962143700996,3015.672041925733,2924.830994715154,2831.5609563963794,2736.441570256771,2640.0761776604963,2543.0054881661417,2445.701146541782,2348.5788748236732,2252.0691261385573,2156.5622188390307,2062.3879276858347,1969.8164934493393,1879.0897847128608,1790.4473845668833,1704.0836806985858,1620.1494760746293,1538.7524131392045,1459.986555457703,1383.9376739054571,1310.661031010791,1240.1851033457099,1172.5115815258944,1107.6292132909425,1045.527882915663,986.1790823306732,929.5410536996033,875.5588009854949,824.16477472892,775.2945425182652,728.8801931071163,684.846970784957,643.1159515928582,603.6040433234798,566.2239899263578,530.8912502833396,497.5248852481881,466.0412362555673,436.3572659733223,408.3905583024818,382.05931837725643,357.2823725650395,333.98260559342225,312.08748611192675,291.5247966670535,272.22455074463164,254.11899280690494,237.1425982925315,221.23207361658555,206.3263561807582,192.3679827768804,179.30391145896604,167.08290123161487,155.65571041622724,144.97509665100415,134.9958168909472,125.67462740785832,116.97028379034046,108.84354094379722,101.2587770468931
D,243.54172896033927,285.93294797021514,331.70122685787135,379.6777543541905,429.23931903658394,480.1013671249593,532.1772964976574,585.5162788360491,640.2313760812485,696.491513133032,754.4885714697336,814.4241261301836,876.5199048385915,940.9974940745926,1008.0780459606812,1077.9896844384207,1150.958651551729,1227.2131547130668,1306.985023891562,1390.5158070073555,1478.0162883338155,1569.7014187981088,1665.80115192777,1766.5604438507007,1872.2351602697067,1983.0362810019321,2099.153377081185,2220.79320593036,2348.1793053459633,2481.552767837584,2621.129913615052,2767.0292414022056,2919.3818397084906,3078.349409083092,3244.1242621149404,3416.9121972664957,3596.7592299017665,3783.634837239039,3977.544865393488,4178.532247709647,4386.676815611106,4601.978023204488,4824.172848717332,5053.002173521073,5288.259844754799,5529.792675325235,5777.431853453243,6030.659470045919,6289.015982322058,6554.784706603492,6836.570846763007,7142.386154545295,7476.153422095881,7839.408628268988,8232.363790677075,8654.41132467196,9104.219658101276,9579.772216686471,10078.701085491808,10598.05037504345,11134.560145173975,11684.680592143508,12244.307387060027,12809.165203071714,13374.804547819653,13936.314089241356,14488.788467850956,15027.414824140065,15547.10296617077,16042.90646709424,16510.274698038378,16944.75491497277,17342.107014397257,17698.710186902634,18011.457742295475,18277.54046249243,18494.799437704587,18661.765823519734,18777.481781632632,18841.57734611421,18854.268085892654,18816.30375907634,18728.899868706474,18593.950925494828,18413.630474367867,18190.311924598573,17926.625874514335,17625.80119580117,17291.19292185052,16926.0310927828,16533.45245268023,16116.937193751557,15680.077435175934,15226.17935409066,14758.258523210867,14279.304791863038,13792.449899086658,13300.516544323826,12805.981167346214,12311.041344810481,11817.98347486175,11328.896047709408,10845.55550721368,10369.431151644501,9901.848704541622,9444.13058203093,8997.363388643844,8562.403434015365,8139.878972568808,7730.348389840152,7334.330416879081,6952.18021659381,6584.107863730382,6230.17834487262,5890.386631576832,5564.735796841644,5253.128378489557,4955.392583380627,4671.28234929618,4400.481101381508,4142.688570315317,3897.5852513687178,3664.8116849253347,3443.9828364500627,3234.688096489083,3036.491305329061,2848.9695867001847,2671.719138473671,2504.318758296631,2346.348232701833,2197.388337107704,2057.0208358183304,1924.8284820234544,1800.4151046935012,1683.408913814452,1573.4375861285025,1470.1394027248123,1373.16324925566,1282.1686159364353,1196.8255975456536,1116.8148934930305,1041.8364472992075,971.6138081292102,905.8787071169924,844.3729506981199,786.848420609771,733.067073890735,682.8009428814121,635.8321352238165,591.9528338615745,550.9747646027533
E,21.38668299634658,25.153032175375163,29.393189115931783,34.006986227560255,38.94562323285135,44.19178889059256,49.74646139453379,55.62336137545584,61.84244238501762,68.42939155904003,75.4127818722754,82.82300613089097,90.69328503011837,99.0579801634726,107.95265435859704,117.41466104609904,127.48238181814773,138.19578142359575,149.5965935557556,161.72891623514806,174.63451476980418,188.35698454928462,202.94300847224508,218.44235694643584,234.9074204537819,252.38641720787444,270.9258395957733,290.575530086664,311.3886906885704,333.42202454962614,356.7301733991111,381.3546346331292,407.3394112634905,434.73369584250423,463.59187046297984,493.9711313977168,525.9053369404335,559.4158110613198,594.5295760065089,631.2795920924402,669.7047357229885,709.8311144757864,751.6394038370483,795.1092534697018,840.228413431659,886.9927341758132,935.3938841915706,985.3592132776726,1036.8239183752155,1090.2360967027469,1147.2326310196404,1209.362426778227,1277.4202455946959,1351.760885013739,1432.4951828761532,1519.5780413948182,1612.822261915821,1711.9009280964995,1816.4078084749422,1925.806750451076,2039.4853165185689,2156.756405854352,2276.7995400654836,2398.740851609391,2521.652574207744,2644.4867123559334,2766.180203028457,2885.675464860938,3001.8341071046666,3113.535089772007,3219.7364148698884,3319.403869618015,3411.5376786483585,3495.275471615548,3569.8671073128794,3634.6179545905816,3688.9813588105526,3732.5722309713656,3765.1192297649727,3786.480317301429,3796.6536522189485,3795.7665357651554,3784.0512544625235,3761.8932124698563,3729.7478670462933,3688.1229174394925,3637.5870180018787,3578.841133029634,3512.6191300736655,3439.629522837162,3360.56220743213,3276.183383443106,3187.2850585922997,3094.5957932270917,2998.7794479711183,2900.4938966002323,2800.427803400729,2699.2007139921807,2597.354879359055,2495.370246062946,2393.7455126247833,2292.9347178011085,2193.322897089554,2095.2272053618835,1998.932851113831,1904.7231523477817,1812.8296089945907,1723.433639059002,1636.6670688829192,1552.64627059888,1471.4781014427563,1393.2342435804758,1317.9555204453518,1245.6518967380764,1176.3183881933319,1109.9510665758655,1046.5247129674626,985.9988327142929,928.3176687796383,873.4109845601791,821.2118661636716,771.6490637915465,724.6433976832466,680.1108534394757,637.9625820222013,598.1049047403146,560.4470268667067,524.9018631796995,491.37912181798254,459.789152704945,430.0429475486762,402.05213984196456,375.72900486229855,350.99021589056616,327.75728520979527,305.9520119123409,285.4986606160685,266.32396150543474,248.35711033148647,231.5297684118624,215.77606264133144,201.03399097601653,187.24623974048671,174.35748783591006,162.3146178008398,151.06671581121424,140.56507168035682,130.76317885897583,121.616734435165,113.08363913440334,105.1256499830093
F,36.3595055125328,45.03895360392864,54.61131524867365,64.79660107602804,75.44509673115876,86.48801976850342,97.90404378940093,109.7045794425553,121.91671378366283,134.5813698363553,147.7455128078058,161.45901341747566,175.77719538331388,190.75598279552864,206.45180549438422,222.92346435329077,240.23004963873683,258.43169196344843,277.58993902746425,297.7692654234895,319.02794044508215,341.42579289276625,365.0266582197017,389.89837853168416,416.11190600967257,443.728671326922,472.80550212054015,503.4037325353968,535.5891688882755,569.4323006458715,604.9983426204333,642.3289858871209,681.4692072124693,722.471737818317,765.397063381808,810.3093082956963,857.2331710843215,906.1734732273505,957.1440541164159,1010.1680389461924,1065.2777961440138,1122.485213691706,1181.7332105971186,1242.9646518498398,1306.1356585070052,1371.2156076932938,1438.1689302620387,1506.8663912647337,1577.19286108832,1649.7563397198196,1726.8336365884438,1810.55585052683,1901.9795608153674,2001.5335995632436,2109.297905547878,2225.1333976047413,2348.7050721033766,2479.489753669567,2616.8637667057014,2760.0367730769663,2908.128337310729,3060.1715637849757,3215.038028569809,3371.5453308619167,3528.456655791636,3684.397919099922,3837.9924507959686,3987.886472282226,4132.642006338876,4270.859226024589,4401.250675144652,4522.554182845317,4633.566104128822,4733.2614230256295,4820.762770755741,4895.275653415453,4956.192823793753,5003.106385834461,5035.753912350589,5054.039939068958,5058.036740929225,5047.969399085582,5024.193897722772,4987.258023905047,4937.7873358483985,4876.462325764296,4804.0342182071545,4721.420766150176,4629.572734631993,4529.40249061457,4421.793044068641,4307.721416933668,4188.192712856226,4064.1290304924555,3936.3682982805667,3805.7388697819883,3673.1055736425033,3539.2450381618337,3404.8359335207383,3270.4778096846253,3136.7927282359788,3004.346053143809,2873.6164295598633,2744.997209795676,2618.841403887936,2495.499352454581,2375.256434151153,2258.335264643673,2144.8963093247276,2035.0806200150816,1929.017412232846,1826.7918533895136,1728.450424640056,1634.0009208829194,1543.4324316695477,1456.7355925375125,1373.8743976791586,1294.7936504366319,1219.4189800150302,1147.6578283121673,1079.4219826373853,1014.618010981762,953.142517286786,894.8860135663782,839.7329199068955,787.5615707963078,738.2540611418266,691.6974281758119,647.774691650342,606.3696882848432,567.3670717660908,530.6523127482096,496.11169885267253,463.63720880478513,433.12717963892266,404.4803223472084,377.5984907683346,352.3866816404835,328.753034601326,306.60883218802473,285.8684998514835,266.45150280905074,248.28345208985067,231.29249089844984,215.40958661093822,200.5685307749291,186.70593910955927,173.76125150548833,161.67673202489996,150.39746890150118,139.87359936192004
G,6.871600950609848,8.884243575989188,11.165052627140359,13.654327906524346,16.323265027986253,19.162121689440962,22.172338600951917,25.36321627758121,28.74801429979072,32.34365569152015,36.16902079461494,40.24430367261847,44.59167600147371,49.23425809671293,54.196139021029786,59.502862666713725,65.181028441447,71.25851280130554,77.76456186319884,84.73022799478343,92.18631227769882,100.16524242779116,108.70166085919877,117.8324246843519,127.59643388508661,138.0318467428295,149.17697253048127,161.07273630968825,173.76272765951603,187.29328451365043,201.71104060993036,217.057386108397,233.37614522371825,250.71494155081996,269.1251980648869,288.66104061082825,309.3662446767453,331.2790193244145,354.4417212744318,378.9010339897222,404.70796004094996,431.90804038404826,460.52251588232065,490.57249472932784,522.0843501816306,555.089720558788,589.6182994233482,625.6622746371504,663.2180226100741,702.6535434636469,745.2048181161505,792.073786637701,843.9396254392868,901.182081175448,964.0207988686088,1032.5728810759058,1106.859325675605,1186.8019908019396,1272.2624559680255,1362.9999763218448,1458.7044602312787,1558.9938604423846,1663.3610853387838,1771.2303259997973,1881.9534175422828,1994.745193330815,2108.7683338616753,2223.1502343472544,2336.897064898248,2448.9811834526286,2558.403054659368,2664.1175418748517,2765.055521969142,2860.2436725679163,2948.7799729894905,3029.7597706017164,3102.3996640019504,3166.068375699574,3220.2233178036436,3264.417291494773,3298.3605796140714,3321.916055168396,3335.0467813729365,3337.859677588308,3330.5706082499496,3313.4905335669246,3287.014069439041,3251.66522297623,3208.0390004564697,3156.737863921496,3098.375666246563,3033.6539758984595,2963.3252480620395,2888.096993968177,2808.62839586735,2725.585916285362,2639.683912218866,2551.5754292939714,2461.8401515855785,2370.999899644885,2279.605715780421,2188.168370097702,2097.126954054321,2006.8498631602695,1917.6744632071081,1829.9414727579467,1743.9360324483243,1659.8882181304061,1577.9735906629342,1498.3520783540123,1421.1750242016324,1346.5540024036586,1274.5652633767024,1205.249733756119,1138.6313636938467,1074.7357401118368,1013.5635570853542,955.0972141356907,899.3008314807621,846.121157333408,795.5082052035934,747.4062688827976,701.7496132920002,658.466049924744,617.4769368471373,578.6971845117578,542.0441739880227,507.4385190074668,474.7962422072898,444.0333336565288,415.0657508560587,387.80941873859126,362.18022966867585,338.09833905849734,315.48838555132795,294.2745891852338,274.3834417335397,255.74370675307776,238.28641958418638,221.94488735071266,206.6546889728509,192.35522304250253,178.9902914185247,166.5054387598372,154.84839055987652,143.96905314659548,133.81951368246334,124.35404016446576,115.5290814241051,107.30326712740022,99.63894346526351
H,6.98095973308709,9.309490687914522,11.961758361064469,14.868200744675354,17.994012143668208,21.325694597943237,24.862112357185485,28.610717935504756,32.583127046270945,36.7947647513288,41.26291825046582,46.00600065969062,51.04422661547762,56.39844745523523,62.090181592811724,68.14201276079204,74.57706090097425,81.41933127963539,88.69383666412816,96.42698521778144,104.6434679251072,113.36899204577965,122.63110916061761,132.4592151715841,142.88423840825007,153.9341393616353,165.63555131416766,178.01710774228656,191.1094439545159,204.94528747455516,219.55581218831082,234.96347253411483,251.19220058193426,268.26914662602326,286.2246791849241,305.09084225239684,324.88451767152685,345.61453335125435,367.29335622072006,389.93723921268594,413.56620683822587,438.19216044342915,463.79833243955295,490.3675352297384,517.8879117562816,546.3529355006324,575.7537151081772,606.0413677260266,637.1723736610169,669.4136371151558,703.7498985510215,741.1099820820149,781.9646650525599,826.5173013655435,874.8227377469359,926.8413110309898,982.4476099094927,1041.432380546509,1103.5396701615916,1168.4364241393082,1235.7456495568022,1305.0476660758084,1375.8448394299814,1447.610417184359,1519.7882999514177,1591.7532002433077,1662.8740596553912,1732.5263143040236,1800.0399683739404,1864.7582592267058,1926.0742187203653,1983.387820747068,2036.1216493169209,2083.781466434769,2125.9409566183854,2162.2079415319777,2192.2783951600695,2215.9439011087493,2233.0633175093676,2243.5720906974425,2247.487341238208,2244.901082468291,2235.9663984458343,2220.92618598851,2200.0626473754314,2173.686594249087,2142.143129277069,2105.8546885168926,2065.261172446904,2020.785551071442,1972.837954921242,1921.8725933845521,1868.3574885073115,1812.7219336629014,1755.3558343250984,1696.644691845084,1636.9912397994208,1576.7567680873005,1516.2564931670584,1455.7684400759076,1395.5812021467232,1335.9566584213183,1277.1160384426269,1219.240601629165,1162.492743340719,1107.0334639434689,1052.9934128114965,1000.4740610888439,949.5479889017608,900.2787741896328,852.7243298971152,806.9222137088137,762.8922189976304,720.6363748247597,680.1481488486442,641.4215941859378,604.4385593734835,569.1722608737934,535.5872908469366,503.64006690493983,473.28900656972723,444.4900766377254,417.194857224349,391.3523379694874,366.9089180375064,343.8084089467836,321.9963893829985,301.42061247061804,282.0271503924754,263.76259932664595,246.57407944644697,230.40923492043743,215.21623391241823,200.9458377280664,187.55161769496578,174.98745081739366,163.20872987887805,152.17236346490444,141.83677596291528,132.1619075623113,123.10921425965795,114.64239204833255,106.72784596983634,99.33322906545762,92.42751164028567,85.98098126321113,79.96524276692557,74.3532182479216,69.11914706649321,64.23858584673549,59.68930474936071
I,18.545907267773224,23.063705996044774,28.086641998422607,33.47613909458192,39.15910593682561,45.102777887316456,51.297800041692305,57.75091289759062,64.4764500601422,71.49550545822454,78.83211335878967,86.5117550653589,94.56258905080783,103.0131465875548,111.89234930980962,121.23027317728992,131.05711131191876,141.40378205265466,152.30214528835984,163.7856822625828,175.88406362514556,188.62793425604713,202.05036119447118,216.18683363878583,231.07470549111397,246.74555963965946,263.22839941355505,280.55497646459236,298.75974098436865,317.879957014801,337.9499049743595,358.99057825558106,381.02512398538073,404.08138878013585,428.19191874568634,453.3916010757138,479.693319416635,507.09932681691475,535.6174419064077,565.2611818231305,596.04973751395,627.9913409745067,661.0565274769797,695.216491091892,730.4503922256271,766.7453576204285,804.0864087633379,842.4073716794169,881.650470848526,922.1636348759694,965.2305702634544,1012.0568698023852,1063.2491433239127,1119.0651815575743,1179.5700693616184,1244.7083867110823,1314.3167567293797,1388.1275647191223,1465.8174426506182,1546.9692959153144,1631.1142813636343,1717.7331825920692,1806.2125093759853,1895.9043813778778,1986.1256463562172,2076.1086520477093,2165.077926071304,2252.2646944004928,2336.843031955661,2418.000946029886,2494.9846870312763,2567.046398011831,2633.4631110511236,2693.611266247458,2746.948327253047,2792.9713179369983,2831.284306537438,2861.6084432012162,2883.747205195727,2897.5978737029586,2903.160136094314,2900.528123068144,2889.8727916859175,2871.477618180792,2845.678043907097,2812.848444051913,2773.4084314560105,2727.875907781873,2676.7938670555873,2620.687077558263,2560.0670513479854,2495.50262535753,2427.582724140122,2356.8494983097958,2283.79733375433,2208.916712364498,2132.7219805577092,2055.676184545513,1978.1847918143217,1900.6069380880415,1823.3164433592983,1746.6540434433557,1670.9087764729372,1596.3188149699704,1523.098570805,1451.4614763293475,1381.5820490604483,1313.5970940948616,1247.606074387326,1183.696960417661,1121.9507798006132,1062.4219978053543,1005.1417362783727,950.117773643469,897.3466236340549,846.8257336185047,798.5364205929029,752.448383356939,708.5197126251584,666.6974864832534,626.9313340926201,589.167620297639,553.3466454218712,519.4049913191697,487.27552137367945,456.8873843045691,428.17190729175894,401.0632404758586,375.4930536689638,351.3934665138572,328.69704848401005,307.3368188835805,287.2462468474148,268.3621337951883,250.62495092512552,233.97535019837358,218.35583799110037,203.7107751260287,189.98637687243513,177.13071294615196,165.09370751780676,153.8282265695935,143.29068927317567,133.43900679277044,124.23276049450526,115.63320194641761,107.60325291845517,100.10750538247545,93.11222151224648,86.58533368344636,80.49770127411355
J,7.295940183291826,9.073801005009393,11.106214985861069,13.368454453580856,15.854028751460113,18.567553938436703,21.520185220944285,24.72785438134067,28.209154902415158,31.98532271829585,36.07941184393161,40.516047422451194,45.32183522669181,50.52495551405484,56.15526095098693,62.24448975833966,68.82612444297317,75.93576658654231,83.61122552053214,91.89284929629825,100.8215236361967,110.44073763996447,120.79718014731398,131.94073973793326,143.92434285025553,156.80119726277226,170.62570632389273,185.4561383203789,201.35469681640032,218.38762118394664,236.6227285253967,256.1234142663378,276.9570107270654,299.1963006851175,322.91951737527563,348.20922254632865,375.13819255691624,403.77428462557816,434.1914771411849,466.4701089880645,500.69687381463103,536.9539764945071,575.297130166546,615.7831719492625,658.4765056300068,703.4491016649611,750.7719765521728,800.4730874282283,852.5863163503283,907.662277156781,967.4626355938268,1033.7304343693916,1107.5085651556792,1189.4473192540079,1279.9967485635548,1379.4826346328632,1488.1137014792205,1605.9751029090935,1733.0784323129062,1869.3007754572263,2014.424201795034,2168.12839462029,2329.908588162437,2499.1472581364374,2675.104030874775,2856.8091237525837,3043.179828946807,3233.0421976144085,3424.9844927993695,3617.48430659225,3809.006590467224,3997.8736043224726,4182.2878008670905,4360.545135241012,4530.993729165159,4691.880994667277,4841.599555555633,4978.7631516187175,5102.077977498642,5210.333085079743,5302.592259862547,5378.198322238964,5436.6390563256555,5477.604122822753,5501.029330079071,5507.083912648832,5496.1122750509285,5468.6574077226205,5425.453175239347,5367.31346164032,5295.132343188681,5209.9693909046355,5113.023089667754,5005.45768475299,4888.392662114736,4762.988210913879,4630.526106830823,4492.202967223369,4349.099715888566,4202.209048634272,4052.600430856006,3901.2872060659683,3749.152672229344,3596.95128785489,3445.3870609337605,3295.1865027157655,3146.9709111833095,3001.252875265848,2858.4373907008858,2718.903278051255,2583.019993545136,2451.0755442322443,2323.2839890923033,2199.7854390350317,2080.6856665245073,1966.0978422609096,1856.0819730676553,1750.6573394498268,1649.8025276507037,1553.4574215167322,1461.569185893373,1374.0727865961126,1290.8794342710303,1211.8841710498327,1136.9658705498632,1065.9872509459901,998.8151106236287,935.3224172272456,875.3699617528588,818.8164142936292,765.5183240398644,715.3301192790135,668.1041073956707,623.7005263732508,581.9879933900957,542.8321911433188,506.10223833469576,471.67068978399465,439.41353642897406,409.21020532538853,380.94355968222374,354.5038055051109,329.7892932783277,306.70060864943696,285.14216391443404,265.0221980177463,246.25277655223329,228.74979175918648,212.43296252833014,197.22583439782088,183.0589824704259
