FIP,County,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
13001,"Appling County, Georgia",18808.480784244188,18805.58433220953,18802.380200181342,18798.906411784596,18795.183928979397,18791.2236102534,18787.030772137754,18782.60711535525,18777.952902281068,18773.0670940218,18767.948340957075,18762.595176081326,18757.005786548045,18751.178544347727,18745.111905276313,18738.804207823803,18732.253898378807,18725.459514824175,18718.41962168403,18711.1327908085,18703.597665866677,18695.812912770158,18687.777219623433,18679.48927513602,18670.947864660615,18662.15185668632,18653.100115088233,18643.79149881483,18634.224861887975,18624.39904129589,18614.31291640732,18603.965736493952,18593.356761996776,18582.485199252704,18571.35020049459,18559.950863851234,18548.286233347335,18536.35526929396,18524.157146197394,18511.691972031073,18498.95979468332,18485.96046450096,18472.693634289306,18459.15875931215,18445.355097291784,18431.281708408977,18416.93733805319,18402.32204613841,18387.43792129384,18372.286550705183,18356.86889799432,18341.185303219347,18325.235482874526,18309.018529890327,18292.532913633415,18275.776415696582,18258.748644350537,18241.45537405631,18223.901723334176,18206.091090385227,18188.025153091337,18169.70386901519,18151.125475400266,18132.28648917085,18113.18171329854,18093.809787997427,18074.18206760302,18054.30898125581,18034.197417523326,18013.850724400072,17993.26870930758,17972.447639094367,17951.38024003597,17930.056113357005,17908.48029747387,17886.671632956353,17864.643236152817,17842.403164910447,17819.954418575264,17797.294937992094,17774.417605504605,17751.31024495527,17727.96652310976,17704.4098913508,17680.656971635464,17656.71864675257,17632.600402701602,17608.30232869274,17583.819117146817,17559.140063695377,17534.255476414197,17509.18694200333,17483.952487528408,17458.563902501344,17433.028005750377,17407.34664542008,17381.516698971394,17355.530073181566,17329.37723679015,17303.075884887377,17276.644599574924,17250.09568668961,17223.436973225784,17196.671807335333,17169.799058327662,17142.813116669713,17115.70500552059,17088.486535957214,17061.177504531235,17033.791148337175,17006.33649001918,16978.81833777099,16951.237285335985,16923.589712007128,16895.867784078328,16868.074108373094,16840.23012888,16812.35062056822,16784.446166077083,16756.52315571608,16728.58378746486,16700.626066973236,16672.643807561162,16644.63080374175,16616.60504098392,16588.58434668688,16560.581273493426,16532.604038061676,16504.656521065044,16476.738267192286,16448.844485147463,16420.96612977988,16393.10785145869,16365.291429896992,16337.531748660036,16309.839136897774,16282.219369344877,16254.673666320721,16227.198693729391,16199.786563059683,16172.428516284006,16145.141914675509,16117.945483343172,16090.851889989592,16063.869032663468,16037.00003975961,16010.243270018957,15983.592312528543,15957.035986721521,15930.58191909953,15904.252790345436
13003,"Atkinson County, Georgia",8357.705117136633,8355.679143548756,8353.475621563317,8351.12124811891,8348.631606379178,8346.015485114045,8343.277772206317,8340.420737868437,8337.445471807645,8334.352032535116,8331.140137807202,8327.809330196143,8324.35885040888,8320.788030112937,8317.096240244913,8313.282751175671,8309.34691242594,8305.288158787776,8301.105960777053,8296.799798126089,8292.369223729926,8287.813835520094,8283.133276430355,8278.327211603804,8273.395387373836,8268.337634345742,8263.15380173426,8257.843757106499,8252.407386381945,8246.84458549786,8241.155296563535,8235.339725623766,8229.398100606086,8223.330627122186,8217.137488467926,8210.818845623324,8204.37483725256,8197.805565285853,8191.111301352742,8184.292876128265,8177.351085947342,8170.286615302223,8163.100036842508,8155.791811375125,8148.362287864349,8140.811703431795,8133.140147730145,8125.3485155104,8117.438743472483,8109.412490141827,8101.271076753785,8093.015487253606,8084.646368296444,8076.1640292473685,8067.568442181346,8058.8592303507485,8050.0371707357035,8041.105988162214,8032.069013661374,8022.9287252995555,8013.686748178409,8004.343854434868,7994.8999632411405,7985.354140804716,7975.704605773794,7965.951720755981,7956.101700444642,7946.1600796415605,7936.130772961364,7926.016074831505,7915.8166594922695,7905.531580996786,7895.158273211011,7884.692755313709,7874.1383048834805,7863.503953139805,7852.796030606308,7842.018698751214,7831.173949987335,7820.2616076720715,7809.279326107417,7798.222590539955,7787.089482238278,7775.890667545767,7764.633556504116,7753.323206588337,7741.962478063738,7730.552033985918,7719.09034020077,7707.573665344481,7695.998727752711,7684.374889118075,7672.709749538979,7661.008431374722,7649.27411948771,7637.508061243475,7625.709566510649,7613.876007660993,7602.004215110659,7590.101569405071,7578.175505406191,7566.231044821546,7554.271532721064,7542.298637537094,7530.312351064375,7518.3109884600735,7506.291611841946,7494.259049284364,7482.220821262562,7470.181987220411,7458.14609176309,7446.115164657077,7434.089720830149,7422.068760371395,7410.049769069067,7398.034013400043,7386.029279782398,7374.040857213594,7362.07258886617,7350.126872087752,7338.204658401055,7326.30545350387,7314.427317269078,7302.568322896386,7290.734794485804,7278.932762074566,7267.166476249464,7255.43875166099,7243.750967023339,7232.103065114405,7220.493552775784,7208.919528878455,7197.382657357998,7185.890035470325,7174.4464119762315,7163.055083284625,7151.717893452509,7140.435234184998,7129.2060448353095,7118.027812404762,7106.897762801751,7095.8214029611845,7084.804464939483,7073.850776590504,7062.962695069289,7052.141106832089,7041.385427636341,7030.693602540683,7020.062105904948,7009.493149381418,6998.993537889057
13005,"Bacon County, Georgia",11313.959010154567,11311.81819226961,11309.485133062195,11306.988036564402,11304.343167901687,11301.559539539026,11298.64203367868,11295.592770534386,11292.412644227343,11289.101466742242,11285.658696495258,11282.083605647225,11278.375136740573,11274.532313630381,11270.5541826701,11266.439660807884,11262.187723334217,11257.797408676231,11253.267766901668,11248.597824981996,11243.786657533024,11238.833361873621,11233.737057991917,11228.496867794553,11223.111954857848,11217.58153674708,11211.904835656174,11206.081078200492,11200.109495416811,11193.989315117587,11187.719782405376,11181.300351368647,11174.730489182864,11168.009638369875,11161.137216797903,11154.112617681532,11146.935209581747,11139.604318958392,11132.119387270262,11124.480382127234,11116.687243857235,11108.739807634003,11100.637803477044,11092.380856251659,11083.96848566894,11075.400106285762,11066.674959091537,11057.793015181058,11048.755390346229,11039.56292535701,11030.21611696609,11020.715117908858,11011.059736903428,11001.24943865063,10991.283343834006,10981.16019175819,10970.879734636603,10960.44519624533,10949.85944093831,10939.124371867434,10928.240930982587,10917.209099031612,10906.027895560332,10894.695378912542,10883.20864961433,10871.566943182437,10859.776664418128,10847.843720850986,10835.772026925535,10823.563504001248,10811.218080352552,10798.733691168822,10786.106278554384,10773.330023898148,10760.407787180058,10747.350273244905,10734.164972318338,10720.856508770403,10707.42664111553,10693.874262012552,10680.195398264696,10666.383210819573,10652.434158246082,10638.361603500041,10624.175088318994,10609.880886054216,10595.482194398452,10580.979135385958,10566.368755392466,10551.645025135207,10536.80248473585,10521.853506794647,10506.808485462147,10491.674249237925,10476.454778663572,10461.151206322711,10445.76181684097,10430.282046886017,10414.706504778562,10399.045393750588,10383.309467350806,10367.505877709262,10351.639199007635,10335.71142747925,10319.721981409051,10303.667701133629,10287.543487240766,10271.356193750918,10255.117302400236,10238.834520564675,10222.513120823121,10206.155940957371,10189.76338395214,10173.333417995063,10156.861577312662,10140.349416773792,10123.809386687533,10107.250095698888,10090.677723553647,10074.09602109839,10057.506310280487,10040.90748414809,10024.296006850145,10007.668327803261,9991.034904506747,9974.406120284337,9957.789299286589,9941.189248251918,9924.608256506634,9908.046095964904,9891.50002112879,9874.964816677937,9858.443208066741,9841.947872663091,9825.487489584772,9809.068089512533,9792.693054690086,9776.363118924102,9760.07636758422,9743.828237603037,9727.613657592436,9711.442735237211,9695.326383419755,9679.271991103024,9663.284170022353,9647.364754685463,9631.512802372457,9615.724593135827,9599.99362980044,9584.324362468238,9568.730002837283
13007,"Baker County, Georgia",2885.7801493292964,2874.0285387341264,2861.7126463698696,2849.09727789258,2836.3579340840383,2823.6104778855347,2810.9323825082847,2798.3736995139207,2785.9686886712166,2773.738475099352,2761.697333114603,2749.8548346839084,2738.2154145370637,2726.7823431665156,2715.557670603387,2704.540898194692,2693.7311207677108,2683.1275253819977,2672.7289003746887,2662.5327324409004,2652.5364567041374,2642.737644212424,2633.1340017807247,2623.7231462458913,2614.5017721210124,2605.466439353151,2596.6138964450056,2587.941080476735,2579.4451171059627,2571.123317962136,2562.9725124225674,2554.9885408104697,2547.1674347536664,2539.5055444617824,2531.9995387262334,2524.6464049202327,2517.44344899879,2510.38824204197,2503.4772570339837,2496.7058549174344,2490.0697857841124,2483.5652624198065,2477.1889603043073,2470.9380176114014,2464.8100352088786,2458.8030766585252,2452.91532112862,2447.1425857690306,2441.4800586138995,2435.9235620396503,2430.469541337463,2425.1150647132745,2419.8578232877803,2414.696131096433,2409.6289250894406,2404.655598295267,2399.772543670762,2394.9747517434503,2390.258164807321,2385.619456166877,2381.0560301371356,2376.56602204363,2372.1482982224034,2367.802456020018,2363.5288079392053,2359.3247577974316,2355.185360409972,2351.1073498385854,2347.088063919538,2343.125444263604,2339.2180362560675,2335.3649890567203,2331.566055599864,2327.8214671574424,2324.1282172079887,2320.4831317766693,2316.884268684587,2313.3299614484713,2309.8188192806792,2306.3497270891926,2302.921845477621,2299.5346107451965,2296.186967116254,2292.876746635936,2289.6028670650526,2286.364290070715,2283.1599842700475,2279.9889252301864,2276.85009546828,2273.742484451489,2270.665051026434,2267.616924035569,2264.597618906751,2261.606564958942,2258.643076720484,2255.7063539290994,2252.7954815318935,2249.909429685349,2247.0471362098638,2244.2083148670677,2241.392889658074,2238.600604986479,2235.831051486441,2233.0836660226864,2230.357731690505,2227.6523778157507,2224.9666205639433,2222.3002930505754,2219.65362405569,2217.026603355604,2214.4190536922724,2211.8306307732846,2209.2608232718703,2206.708952826895,2204.1741741043897,2201.656108640139,2199.155233584887,2196.671756810716,2194.2057090642775,2191.756943966795,2189.325138014066,2186.909790576457,2184.5102238989075,2182.1257723528493,2179.7568844138536,2177.4040167389653,2175.067394766473,2172.7470549465493,2170.442844741252,2168.1544226245205,2165.8812580821814,2163.622635402706,2161.3784805227388,2159.1495148672298,2156.9361493320985,2154.7385933088626,2152.556854684643,2150.390739842163,2148.239853659745,2146.1035995113157,2143.9813494862283,2141.8736856017817,2139.781253381307,2137.7044261066844,2135.6433647806334,2133.5980181267128,2131.5681225893204,2129.5532023336946,2127.552569245911,2125.5664015780712,2123.5955706634304
13009,"Baldwin County, Georgia",45537.168901231664,45529.547011145776,45521.029636465406,45511.68209981756,45501.53468835378,45490.59893787025,45478.87777051417,45466.36924552874,45453.070904189175,45438.979535854654,45424.092826331624,45408.409406391176,45391.92819857612,45374.64907347027,45356.572510097,45337.699298760046,45318.03067231957,45297.56809317451,45276.31318270519,45254.2679105497,45231.43444670928,45207.81494895813,45183.41156272813,45158.22643159225,45132.26219984172,45105.5217489501,45078.00787229152,45049.72327431428,45020.67057054068,44990.852252952165,44960.271037868224,44928.93095653154,44896.83600418342,44863.98991672255,44830.396170705164,44796.05798334494,44760.97831251302,44725.15977730612,44688.60586499095,44651.3231388035,44613.31786264905,44574.59556316842,44535.161029737916,44495.0183144694,44454.17073221027,44412.62086054343,44370.37030888458,44327.425221501675,44283.79779479631,44239.49853749087,44194.53591995736,44148.91637421739,44102.64429394216,44055.72203445251,44008.14991271885,43959.9261167516,43911.05535344112,43861.55990114107,43811.45971896357,43760.76964474474,43709.49939504463,43657.653565147244,43605.231629060545,43552.22793951645,43498.631758216616,43444.44484689115,43389.70411330766,43334.442566761376,43278.68342345242,43222.44010648574,43165.71624587121,43108.50567852351,43050.792448262204,42992.55203855391,42933.80357421987,42874.60103562497,42814.98213280752,42754.97142538781,42694.58032256817,42633.80708313297,42572.63681544864,42511.04147746363,42449.008779526295,42386.60262904838,42323.86709651366,42260.83202844013,42197.51399145068,42133.916272273134,42070.02887774019,42005.828534789485,41941.294744259394,41876.48344470603,41811.43963136009,41746.19338716603,41680.763175754044,41615.15584143995,41549.366609225304,41483.37908479738,41417.17367384115,41350.794178279546,41284.28435101633,41217.673516218885,41150.98104966704,41084.216378753066,41017.378982481605,40950.45839146977,40883.436724195584,40816.342385326934,40749.219374198234,40682.09706149994,40614.99593969065,40547.9276229971,40480.89484741422,40413.89147070511,40346.902475598414,40279.93520484258,40213.034981854675,40146.23228148519,40079.54921944894,40012.99955232501,39946.588677556785,39880.31363345197,39814.16309918256,39748.12591472484,39682.23871045736,39616.53594655344,39551.04186788801,39485.772541471364,39420.735856449275,39355.93152410288,39291.35107784875,39226.97803518527,39162.82214940879,39098.923705146604,39035.30942368021,38971.99789243278,38908.999564969105,38846.31676099565,38783.94366636053,38721.8663330535,38660.06942949879,38598.584091005956,38537.442109286734,38476.66468246512,38416.264923560746,38356.247860488875,38296.610436060386,38237.34150798181,38178.42184885529,38119.86367919332,38061.704420219874
13011,"Banks County, Georgia",19205.673504394057,19202.136707221696,19198.19355969133,19193.890636851396,19189.25307016472,19184.29356421439,19179.018240496913,19173.42903607646,19167.52642834333,19161.309538504716,19154.777326286043,19147.92878533519,19140.762630769983,19133.277905807743,19125.47383502856,19117.349591493577,19108.904530450312,19100.13813989016,19091.049967772266,19081.639643214607,19071.906909241705,19061.85153653759,19051.47332337808,19040.772075919336,19029.74780390062,19018.40065482402,19006.73076132898,18994.73824071418,18982.42319493753,18969.785693180624,18956.82590720907,18943.544625041188,18929.942642149937,18916.020657113186,18901.779271613774,18887.218990439455,18872.340221482948,18857.14323790261,18841.628716437095,18825.79876305234,18809.655367762814,18793.200202167303,18776.43461944891,18759.35965437504,18741.97602329741,18724.284124152062,18706.283922520648,18687.977472150003,18669.369652813064,18650.464584372716,18631.2654630793,18611.774561570575,18591.993228871746,18571.92189039544,18551.56004794173,18530.906234502865,18509.961986028993,18488.737023090835,18467.240016180043,18445.477275109264,18423.452749012176,18401.168026343457,18378.62233487879,18355.812541714877,18332.73316728866,18309.384548260132,18285.78335415857,18261.944461810916,18237.87821612975,18213.590430113334,18189.082384845595,18164.350829496118,18139.38798132016,18114.182100041195,18088.741754379236,18063.091650655973,18037.24894414147,18011.224715152464,17985.023969052407,17958.645636251385,17932.082572206204,17905.321557420324,17878.356706031358,17851.217404622854,17823.92379464142,17796.48946815994,17768.921907077183,17741.222483117806,17713.386457832366,17685.40298259733,17657.262514923714,17628.990764574497,17600.608321147734,17572.128927295693,17543.561004640498,17514.907653774135,17486.16665425848,17457.330464625255,17428.390093847076,17399.36565446164,17370.277160375335,17341.138023565876,17311.957122263753,17282.738800952222,17253.48287036731,17224.184607497824,17194.83591687766,17165.449856267656,17136.046518792264,17106.63932243412,17077.23766033066,17047.846900774162,17018.46838721171,16989.099438245208,16959.73334909068,16930.373595064968,16901.04081718843,16871.748877640206,16842.507872838916,16813.324133442646,16784.200224348937,16755.134944694808,16726.123327856734,16697.16049715816,16668.26310923932,16639.4467279604,16610.722332350953,16582.097246160425,16553.57513785812,16525.15602063321,16496.83625239475,16468.608608765833,16440.477636742016,16412.461406991286,16384.57188177683,16356.817422347885,16329.202788939761,16301.72914077382,16274.394036057478,16247.191431984213,16220.11469038799,16193.177740697933,16166.39464040856,16139.774776647726,16113.32399655286,16087.044607270958,16060.935375958588,16034.991529781879,16009.204755916528,15983.580468193897,15958.13508464076
13013,"Barrow County, Georgia",81069.93458075792,81034.53326990869,80996.27576260854,80955.95754683793,80914.08623492156,80870.9826719512,80826.85179500056,80781.8170245121,80735.95813164105,80689.31781536383,80641.92154042455,80593.78359780519,80544.90471620116,80495.28441698673,80444.92031652224,80393.80387367363,80341.92671055543,80289.28165672955,80235.86114695983,80181.65534606327,80126.65524346622,80070.85250140625,80014.23945411832,79956.80831988544,79898.55097421078,79839.46025219157,79779.52922942722,79718.75121722883,79657.119762619,79594.62853696788,79531.27114300526,79467.04345091617,79401.94161204464,79335.9616085942,79269.09925362794,79201.3501910685,79132.70989569802,79063.17351478897,78992.73746942668,78921.40328571596,78849.1722459021,78776.04465062823,78702.01981893543,78627.09608826262,78551.2708144466,78474.54037172202,78396.89968466647,78318.35088273075,78238.90623439511,78158.5754484279,78077.36508275697,77995.27854446942,77912.31608981188,77828.47482419029,77743.74870217,77658.12832225401,77571.6145559928,77484.23780684285,77396.02493186708,77306.99441283848,77217.15635623998,77126.51249326463,77035.0561798155,76942.7723965057,76849.63779445394,76755.64940613187,76660.86353869353,76565.33055016604,76469.08437828657,76372.14254050261,76274.50613397188,76176.15983556224,76077.07190185184,75977.19623053285,75876.56022914451,75775.25090396806,75673.32798544184,75570.82891389531,75467.76883954898,75364.14062251452,75259.9148327947,75155.03975028344,75049.49053649393,74943.37229406914,74836.75659586622,74729.69082434662,74622.19977493165,74514.28565600271,74405.92808890097,74297.0841079276,74187.71559554558,74077.91513796292,73967.75668476807,73857.28880161235,73746.54029939233,73635.52023424997,73524.21790757241,73412.60286599211,73300.63929830246,73188.39981227691,73075.95689769859,72963.35849101591,72850.6356480731,72737.80254411009,72624.85647376254,72511.77785106185,72398.53454129075,72285.17347202825,72171.76809827688,72058.36699399045,71945.00370263316,71831.69673717956,71718.44958011458,71605.25068343348,71492.07347409478,71378.92953795237,71265.89502321697,71153.0208098183,71040.34365896946,70927.88621316678,70815.65699618994,70703.65041310196,70591.8467502491,70480.22665060988,70368.85185416136,70257.78028311829,70147.05261263167,70036.69574452909,69926.72280731497,69817.1331561703,69707.91237295281,69599.03254089647,69490.51019371844,69382.41327345412,69274.78676124192,69167.66199309222,69061.05665988728,68954.9748073814,68849.40683620062,68744.3295018431,68639.71730050736,68535.6228914685,68432.0997405273,68329.18356578547,68226.8965956775,68125.24756897063,68024.23173476491,67923.83085249306,67824.01319192063,67724.79950404797,67626.25261714838
13015,"Bartow County, Georgia",107127.42076964871,107084.71563433323,107038.45051582305,106989.41457197492,106938.1034741075,106884.82585924694,106829.77685048153,106773.0727505363,106714.7894227179,106654.96812724209,106593.6350970101,106530.80713431507,106466.48888783467,106400.68471481366,106333.3977537452,106264.6258187427,106194.36727361471,106122.62178614225,106049.388803898,105974.66609760601,105898.45240313411,105820.74704367961,105741.54992890346,105660.86082753044,105578.6798449973,105495.00828354675,105409.84751641816,105323.19898219775,105235.06418481885,105145.44454843315,105054.34174088025,104961.76122048883,104867.70860157155,104772.18894929539,104675.20677968183,104576.76605960674,104476.8702068005,104375.52188050475,104272.72616838041,104168.4963876029,104062.84515744721,103955.78324287175,103847.31955451828,103737.46114871204,103626.21322746169,103513.57913845922,103399.55989994813,103284.1686519075,103167.4339113391,103049.37987518708,102930.02554825252,102809.38474319346,102687.46608052481,102564.27298861848,102439.80370370326,102314.05112615551,102187.02563304894,102058.78138785208,101929.36647066484,101798.81611405825,101667.15270307462,101534.38577522754,101400.5120205017,101265.5152813531,101129.36663844265,100992.0697212333,100853.71476915383,100714.3812957766,100574.12476411289,100432.97658661284,100290.94412516554,100148.01069109894,100004.13554517992,99859.25700846939,99713.42183095451,99566.75976996015,99419.36017245833,99271.28079120026,99122.5477847164,98973.15571731643,98823.06755908919,98672.2146859028,98520.56698449703,98368.27676157457,98215.44672862005,98062.14603891,97908.41260974079,97754.25312242872,97599.64302230999,97444.52651874055,97288.85467680781,97132.75830471232,96976.3405104904,96819.66970360857,96662.78751417974,96505.70879296315,96348.42161136448,96190.88726143568,96033.05984059743,95875.03970058507,95716.92528806654,95558.7819863714,95400.65270490128,95242.55787913027,95084.49547060464,94926.44096694302,94768.353178614,94610.29583209894,94452.36623213501,94294.62856111195,94137.12734266928,93979.88744169631,93822.91406433226,93666.19275796604,93509.68941843844,93353.41986532118,93197.48288622365,93041.94373972062,92886.8495391509,92732.2292526172,92578.09370298628,92424.4355678889,92271.22937971969,92118.45019338065,91966.17666444654,91814.48139787278,91663.41503397524,91513.01079899159,91363.28450508117,91214.23455032516,91065.8419187264,90918.07053033271,90770.94053952857,90624.53598726918,90478.91163012342,90334.10521391411,90190.13747371788,90047.01213386521,89904.71590794044,89763.21849878175,89622.48683914643,89482.5850287835,89343.57739514188,89205.50624741249,89068.3972633889,88932.25948946731,88797.08534064647,88662.85060052774,88529.51442131512,88397.10044696706,88265.68400594103
13017,"Ben Hill County, Georgia",17063.91570318044,17059.197228549743,17054.009441167902,17048.394439197065,17042.375072440722,17035.96361891599,17029.167248954844,17021.990116704666,17014.43575444633,17006.50701209545,16998.20700242726,16989.539169275646,16980.50694230725,16971.114149582056,16961.36484629217,16951.263115955433,16940.813189576336,16930.019358203983,16918.88592157391,16907.417218628936,16895.61760712089,16883.491381187272,16871.04277129614,16858.275943125263,16845.195128634143,16831.80455996688,16818.10837906153,16804.11063740681,16789.815296042107,16775.22621400745,16760.347221652544,16745.182450215278,16729.735962064897,16714.01168518581,16698.013413177607,16681.744805255013,16665.209386247916,16648.410522786573,16631.35173795622,16614.037347225654,16596.471534792094,16578.658230642133,16560.601110551725,16542.30359608622,16523.768854600334,16504.99979923816,16485.999025321602,16466.770296155228,16447.31896873822,16427.64990421515,16407.76737288397,16387.67505419597,16367.376036755815,16346.872818321512,16326.167305804445,16305.260785078628,16284.156201331385,16262.86126643794,16241.383047516521,16219.727186986933,16197.897902570556,16175.897987290373,16153.728809470937,16131.390312738386,16108.88102238296,16086.202602722497,16063.366528341317,16040.383360837664,16017.26087196095,15994.004043611734,15970.615067841736,15947.093346853819,15923.435493001996,15899.635655239716,15875.699924141742,15851.644802964573,15827.4822896835,15803.220471120336,15778.863522943415,15754.411709667582,15729.861384654208,15705.204990111175,15680.439415195675,15655.584133968337,15630.653206594516,15605.656310201846,15580.599003986863,15555.482729215006,15530.304809220619,15505.058449406928,15479.73760657332,15454.359731184131,15428.939284133561,15403.486022755049,15378.005977336821,15352.50145112192,15326.971020308169,15301.4095340482,15275.810765098158,15250.188623014412,15224.557275259502,15198.926232998561,15173.301733406292,15147.686739666979,15122.080940974469,15096.480752532203,15070.880135889005,15045.28812366983,15019.71905537863,14994.182474733729,14968.684945527506,14943.230051626422,14917.818396970979,14892.44760557576,14867.112322582314,14841.814598950103,14816.569306978452,14791.386425835666,14766.273080966974,14741.23354409449,14716.269233217254,14691.378712611213,14666.55769282921,14641.80190737959,14617.123372250197,14592.53354210541,14568.040355666773,14543.648911625578,14519.361468642848,14495.177445349358,14471.093420345625,14447.103187484732,14423.209575611329,14399.426190940081,14375.761998228474,14352.22308353589,14328.8126542236,14305.531038954778,14282.375687694492,14259.341171709697,14236.421546291604,14213.627315071131,14190.969457616844,14168.455172982187,14146.088737410697,14123.871504335999,14101.801904381828,14079.875445361988,14058.084712280393,14036.433732384545,14014.935688093741
13019,"Berrien County, Georgia",19583.923337417113,19579.454474370694,19574.50590267697,19569.122952596692,19563.329269286867,19557.13628097233,19550.549242138764,19543.569629459886,19536.19787503495,19528.433390746377,19520.27571175292,19511.72463877429,19502.779894509644,19493.44166582715,19483.71043608084,19473.586764828277,19463.071471819738,19452.165561667058,19440.87015850823,19429.186551405848,19417.116188418455,19404.66057640399,19391.821280950477,19378.59990880801,19364.99833347583,19351.018604552333,19336.66277466331,19321.93289893966,19306.83103501735,19291.359222548126,19275.51962407903,19259.315108061295,19242.748561543212,19225.82277096618,19208.540422164708,19190.904100366402,19172.916290191977,19154.579339402997,19135.89605848106,19116.87075773753,19097.50761827068,19077.81048361292,19057.782859730843,19037.427915025182,19016.748480330836,18995.747048916855,18974.425715340123,18952.78877436635,18930.84317697785,18908.595108220452,18886.04983950206,18863.211728592614,18840.084219624146,18816.669843090724,18792.970215848472,18768.986039585903,18744.721234948407,18720.186983822223,18695.393367977595,18670.348305149346,18645.057549036817,18619.52468930391,18593.751151579065,18567.736197455277,18541.476940730394,18514.976153123163,18488.250778874113,18461.315780211014,18434.182191851472,18406.857121002948,18379.34374736274,18351.641323117965,18323.74517294562,18295.647205959336,18267.35703317753,18238.89754880824,18210.285030791696,18181.53066068496,18152.64052366192,18123.61560851332,18094.451807646707,18065.139917086493,18035.676869002225,18006.088862620127,17976.39416510913,17946.605615591623,17916.73099634538,17886.77303280356,17856.729393554702,17826.592690342728,17796.356569813594,17766.0435466932,17735.671838425216,17705.254010202985,17674.79823113507,17644.308274245293,17613.783516472693,17583.218938671576,17552.608286307437,17521.969031929035,17491.318541210734,17460.668734021565,17430.02777075158,17399.400052311867,17368.78622013454,17338.18315617277,17307.58493137395,17277.002875563037,17246.45408752472,17215.950156239553,17185.499314570236,17155.106439261595,17124.773050940592,17094.497314116314,17064.274038373787,17034.10634522793,17004.01151359561,16974.00124013002,16944.084057472952,16914.265334254836,16884.547275094694,16854.928920600163,16825.406147367506,16795.974850908693,16766.648789828738,16737.44092901285,16708.360367021654,16679.413093857373,16650.601990963827,16621.926831226458,16593.384278972306,16564.967950445225,16536.68127809674,16508.539275055085,16480.55185769432,16452.72582075957,16425.064837367012,16397.569459003906,16370.237115528567,16343.062115170376,16316.03819391478,16289.17677398487,16262.489717305169,16235.984801639865,16209.666650427233,16183.53673277963,16157.593363483507,16131.8317029994,16106.243757461918,16080.833795576249,16055.615888441263
