Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,730.5896571330849,892.3557508877477,1072.4384900982166,1265.6650592533476,1468.6677435578106,1679.2667352723724,1896.032713023736,2118.070385377652,2344.7802797757313,2575.8139084654867,2810.94629527292,3050.035202313151,3293.0349010453115,3539.914822901868,3790.662809771355,4045.312994697967,4303.903004125187,4566.465689993128,4833.039633262143,5103.683270140067,5378.45256803357,5657.4005875167095,5940.577487118528,6228.035816299765,6519.835449713185,6816.032800439904,7116.68321937251,7421.84102105518,7731.559483683697,8045.891480300235,8364.893409074048,8688.614266609951,9017.101573192109,9350.4033302684,9688.568020450453,10031.644607513632,10379.682536397002,10732.732781257177,11090.84437455909,11454.043840285613,11822.358109517872,12195.818189227088,12574.459162274556,12958.3201874117,13347.444499280007,13741.879408411092,14141.680244701,14546.873002884113,14957.431228820256,15373.340198496513,15794.60018876399,16221.226477337805,16653.249342797095,17090.714064584994,17533.680923008687,17982.227162719322,18436.387517490053,18896.038368546822,19361.07133760946,19831.421397101472,20307.06687015003,20788.02943058593,21274.374102943708,21766.209262461456,22263.686478722808,22766.86023577138,23275.46111696463,23789.242302686645,24308.046731057028,24831.80709793091,25360.545856898956,25894.375219287373,26433.497154157856,26978.19264718276,27528.347224744066,28083.50044632332,28643.337803587736,29207.67136078535,29776.439754745068,30349.708194876668,30927.668463170714,31510.638914198717,32098.788397886194,32691.540637613085,33288.497506184234,33889.40165379607,34494.127707753796,35102.682272471415,35715.20392947165,36331.963237386146,36953.20374917623,37578.401333246184,38207.1286326783,38839.10843568474,39474.18168281512,40112.307466956496,40753.56303333344,41398.143779507955,42046.27774673757,42697.54135290357,43351.50047191838,44007.86867011153,44666.46259787018,45327.201989639165,45990.10966392094,46655.31152327564,47323.010307182936,47992.924188948346,48664.59833243735,49337.72941692162,50012.10771989454,50687.61711707149,51364.2350823895,52042.03268800759,52721.17457075061,53401.5876272744,54082.78739980798,54764.44363008378,55446.31559048098,56128.25208402557,56810.19144439033,57492.16153589475,58174.27975350524,58856.66146541914,59538.9033463192,60220.6195100678,60901.534371583504,61581.46107608559,62260.30149909403,62938.0462464295,63614.774654213245,64290.65303169871,64965.56098725948,65639.04038196299,66310.77956121127,66980.55588298322,67648.23571783461,68313.77444889816,68977.2164718834,69638.69519507675,70298.35894248572,70955.84436351384,71610.77885909891,72262.90602154486,72912.05822440986,73558.15662250643,74201.21115190139,74841.32052991579,75478.67225512506,76113.10787213387,76744.19094923495
B,215.2039203606269,297.90694472204433,394.6123921332514,502.18153197928524,618.624017924654,742.6888883133528,873.579824855957,1010.8190274892752,1154.096445631819,1303.245444531098,1458.1646499738408,1618.7948036871385,1785.129035512328,1957.1645384386309,2134.905765016912,2318.3811711907897,2507.618737606719,2702.6422777210514,2903.4776741492337,3110.1596389749216,3322.7200652551383,3541.188965751648,3765.594476239463,3995.9658929291672,4232.333260898842,4474.722873535177,4723.160860264378,4977.673207227568,5238.285757280816,5505.0247520502735,5777.916691631683,6056.975941312691,6342.216280820606,6633.653312916048,6931.304463392972,7235.188981078651,7545.327937833667,7861.745093813215,8184.457163304295,8513.4521152383,8848.720018826249,9190.257236073281,9538.06642177866,9892.156523535788,10252.542781732178,10619.246729549486,10992.298770860183,11371.687976053508,11757.345662630603,12149.218290618783,12547.270837759192,12951.486799506785,13361.86818903036,13778.435537212492,14201.227892649633,14630.303919903554,15065.66293123946,15507.135849699322,15954.574209308446,16407.877523318017,16866.993284205073,17331.91696367251,17802.692012649135,18279.40986128955,18762.20965373647,19251.11396141233,19745.80780896748,20246.010319846755,20751.533844757254,21262.283961668232,21778.2594758112,22299.552419679894,22826.348053030226,23358.913193916535,23897.09792203185,24440.412852747206,24988.522735096147,25541.21856040661,26098.41756230079,26660.163216695262,27226.62524180084,27798.099598122768,28374.730603630167,28955.925291215655,29541.277906260606,30130.519795415225,30723.510382114542,31320.237166578434,31920.815725811543,32525.48971360347,33134.47569841492,33747.24793085862,34363.38241761724,34982.599230709384,35604.730856423805,36229.722195319424,36857.630562225386,37488.62568624097,38122.908013583,38760.05990273316,39399.660045269804,40041.42686209311,40685.175315412635,41330.81690874723,41978.359686925134,42627.90823608392,43279.63899172832,43933.27554521508,44588.385321852176,45244.677658485954,45901.94834574257,46560.079628028005,47219.04020352803,47878.88522420823,48539.75626460699,49201.575362821626,49863.88946527462,50526.389462616105,51188.8479222937,51851.119088552434,52513.13888243472,53174.92490178036,53836.57642122671,54498.19076086986,55159.39444142387,55819.83332571706,56479.253286340536,57137.48029302167,57794.42041262405,58450.05980914751,59104.46474372808,59757.7799835533,60409.891922676004,61060.38555108306,61708.97866137547,62355.4687572699,62999.73305359871,63641.72847630996,64281.491662467364,64919.13896025036,65554.80010837538,66188.14824163239,66818.84996110007,67446.67563387455,68071.47473392764,68693.17584210678,69311.78664613517,69927.39394061164,70540.16362701073,71149.95439093829,71756.37814666305
C,1938.8448411706513,2241.1491443146065,2570.088954081648,2918.316520031307,3281.0523195588544,3655.198409563409,4038.7125921562997,4430.301099988817,4829.080066126656,5234.513868059704,5646.235374255248,6063.98943807121,6487.653313088178,6917.12285656836,7352.317792642335,7793.220815558683,8239.818297442143,8692.089441924949,9150.02098124042,9613.625991941106,10082.913645795375,10557.889315074406,11038.554579528538,11524.914502914075,12016.982809410874,12514.767964406106,13018.277598026472,13527.518543612345,14042.496837717843,14563.218599861362,15089.694007182983,15621.920833601213,16159.895529471158,16703.61626477605,17253.082929127257,17808.297131764273,18369.26220155468,18935.984382190447,19508.464515893007,20086.671647579093,20670.57677748252,21260.157786320204,21855.399435292067,22456.29336608117,23062.83810085359,23675.039042258522,24292.911755803583,24916.427489719918,25545.49283807303,26180.03128730686,26819.98706231905,27465.32512646096,28116.03118153764,28772.111667807854,29433.593763984085,30100.526669003277,30772.894509207043,31450.494085594048,32133.145364468623,32820.72213439183,33513.152006181466,34210.41641291204,34912.550609914906,35619.64367477798,36331.838208175264,37049.146913454366,37771.20762375722,38497.69709618211,39228.396319327825,39963.19051329366,40702.06912967945,41445.12585158555,42192.55859361281,42944.65643298029,43701.24398956471,44461.771428100205,45225.86155288612,45993.27759924951,46763.92323354505,47537.8425531553,48315.22008649036,49096.38079298818,49881.48108438743,50669.86194329784,51461.07551105714,52254.82557579152,53050.957487258,53849.45815684453,54650.45605756983,55454.221224083645,56260.993654947146,57070.19636303435,57881.36915950272,58694.21034126508,59508.54146328875,60324.307338595485,61141.57603826165,61960.538891418044,62781.420742897244,63603.77097474991,64427.13993637079,65251.23068507869,66075.85112207357,66900.9139924365,67726.4368851297,68552.54223299652,69379.43039779027,70206.81067811485,71034.22779900277,71861.38071778599,72688.06134770956,73514.15455793176,74339.63817352388,75164.58297547042,75989.15266691952,76813.27466964911,77636.47653294264,78458.44189428019,79278.94148702503,80097.83314042383,80915.06177960648,81730.65942558607,82544.74519525917,83357.43599764677,84168.34759068038,84977.11823802703,85783.49259240861,86587.30031824071,87388.45609163278,88186.95960038806,88982.89554400354,89776.43194457109,90567.46267796672,91355.56216195825,92140.44586873158,92921.91385007898,93699.85073739913,94474.22574169705,95245.09265358419,96012.5898432784,96776.87000269863,97537.60118660604,98294.44331704889,99047.1666159763,99795.6255826924,100539.7589938564,101279.58990348259,102015.22564294019,102746.85782095358,103474.34977407346,104197.30143230798
D,9743.42950671625,11582.987624017616,13600.287983628958,15744.647539380863,17983.005247934365,20293.86964243333,22663.035089656558,25081.468719261353,27542.98382435545,30043.80881130914,32581.346907289128,35153.78314334707,37760.22228720317,40399.90131578718,43072.22425490391,45777.03215642252,48514.19218220098,51283.521619952764,54084.890107876265,56918.349864799064,59783.92613678753,62681.61847949546,65611.40080689425,68573.27215722398,71567.29196366532,74593.48417985771,77651.86903943591,80742.4633265564,83865.28037589745,87020.3356300589,90207.67178905029,93427.25510975614,96679.04557957473,99963.01614844202,103279.15272883205,106627.45419575668,110007.93238676534,113420.61832708471,116865.50635129704,120342.40786373959,123851.14882966375,127391.59754905538,130963.66465663482,134567.30312185694,138202.508248911,141869.3176767211,145567.8271007401,149297.87055554727,153058.9198847704,156850.5457567921,160672.43890369497,164524.41012126204,168406.39026897657,172318.43027002184,176260.70111128155,180233.50059688068,184236.75077032432,188269.31138310116,192330.17671159972,196418.64821184071,200534.3345194769,204677.15144979267,208847.3219977053,213045.37633776315,217272.15016333645,221527.74549382084,225810.12408257576,230117.4659148949,234448.54732877942,238802.74101493787,243180.01601678634,247580.93773044873,252006.66790475592,256458.89062149532,260936.64553484463,265436.8104138469,269957.2468409493,274496.62570684764,279054.4272104869,283630.9408590612,288227.2654680134,292845.30916103587,297486.01527920767,302145.62348432635,306821.5727155949,311512.1816359756,316216.5910207978,320934.763757758,325667.48484691983,330416.36140071426,335182.8289446206,339963.5776478699,344755.95885360485,349558.24774980475,354369.44029966544,359189.253241598,364018.1240892303,368857.2111314062,373707.869932179,378567.50520127063,383433.5118265611,388304.1794551744,393178.4147028656,398055.74115402036,402936.2993616543,407820.8468474144,412710.60015870555,417603.88596792106,422498.0466138262,427391.3316821011,432282.5412213316,437171.02574300964,442056.6862215322,446939.97409420274,451821.8910622739,456702.04100506485,461577.6452718988,466446.8438488724,471308.29593074636,476161.17992094555,481005.1934315591,485840.5532833396,490667.99550570466,495488.2439602397,500299.02814136446,505098.1971340015,509884.2366370908,514656.1426663235,519413.4215541413,524156.0899497359,528884.6748190501,533600.2033478073,538302.0576746296,542987.6857636207,547655.3783851746,552303.9375101959,556932.6763100997,561541.4191568103,566130.501622763,570700.7704809032,575253.1598086727,579785.6689644787,584296.2341603203,588783.4600971299,593246.4640488168,597684.8758622665,602098.8379573422,606489.005326883,610856.5455367062,615200.6237386425,619518.7981566989
E,1080.1702820813546,1238.473379189349,1414.2742255660417,1603.3885782403527,1803.1525305222792,2011.8834680478506,2228.5040170842776,2452.361543950087,2683.0284078359196,2920.269115835961,3163.936414982313,3413.9402441641187,3670.261143038105,3932.8857758154227,4201.811013787331,4477.066288924157,4758.680793668448,5046.678370978903,5341.085845108186,5641.942369650791,5949.2836198695195,6263.142836642844,6583.550830800406,6910.540011810272,7244.144651787593,7584.394536052291,7931.319186580585,8284.947887998396,8645.309687581374,9012.434040244512,9386.35113129367,9767.07756277233,10154.62921043322,10549.023989306768,10950.281853701163,11358.424797202317,11773.476852673843,12195.465082814737,12624.408833154534,13060.295171349671,13503.113518886605,13952.860383967665,14409.53936151105,14873.161133150845,15343.743467236995,15821.31121883536,16305.899324118787,16797.496419877076,17296.025886844425,17801.428212609328,18313.664819589565,18832.71806503221,19358.59124101363,19891.30857443947,20430.915227044694,20977.478645802952,21531.000181537438,22091.28947610681,22658.17934726941,23231.557220803632,23811.36513050799,24397.599718200996,24990.312233721346,25589.608534927676,26195.648800578405,26808.462416158225,27427.69261695518,28053.020158855754,28684.232738189516,29321.224991729156,29963.998496690507,30612.661770732535,31267.43027195726,31928.613143553863,32596.043735649684,33269.16269561945,33947.586865803576,34631.07897648507,35319.54764588964,36013.04738018563,36711.77857348398,37416.08750783836,38126.14629171146,38841.27482184294,39561.00684548613,40285.035415740305,41013.202539584985,41745.499177879996,42482.06524536534,43223.18961066142,43969.130113005296,44719.281716998266,45473.15551692653,46230.430636469915,46990.9176375317,47754.55852023851,48521.426722940516,49291.72712221117,50065.700734857004,50842.86626972967,51622.736213048025,52404.986662956566,53189.40713864028,53975.900580324684,54764.48334927589,55555.28522780044,56348.52049177006,57143.871784546165,57940.836198975056,58739.07747910965,59538.361452756195,60338.55603147432,61139.631210576925,61941.65906913033,62744.81373328292,63549.01059972649,64353.72012369036,65158.58173246446,65963.33188274817,66767.80406065026,67571.9287816889,68375.73359079155,69179.3430622953,69982.87973588673,70785.90608389069,71588.00471897608,72388.87752093552,73188.32222970224,73986.2324453502,74782.59762809401,75577.50309828887,76371.12814438358,77163.34341980782,77953.65542920883,78741.72861347566,79527.32363886971,80310.29739702452,81090.60300494598,81868.28980501209,82643.50336497318,83416.40572941575,84186.6069718849,84953.70543029663,85717.42519259789,86477.58675436712,87234.10701881404,87986.99929677985,88736.37330673708,89482.4351747897,90225.01522090413,90963.64196705748
F,1282.3780272454046,1604.1497249260372,1964.481977489574,2352.829677461557,2762.3291751147685,3188.5306160735668,3628.501697723393,4080.386488216864,4542.919438063305,5015.336106195935,5497.1145400196065,5987.893673376317,6487.502422649247,6995.795770364361,7512.662262519149,8038.0802263724,8572.0324479922,9114.490609609504,9665.436601174864,10224.889228125965,10792.860977458346,11369.358617092586,11954.383206161949,12547.940751790718,13150.048492606658,13760.715403519904,14379.949645589304,15007.758624865817,15644.148992392531,16289.127895050862,16942.707583248637,17604.881186964005,18275.64046426042,18954.98034910979,19642.89895139251,20339.39755689747,21044.48062732194,21758.157216561915,22480.42655505729,23211.243601399638,23950.5669233239,24698.365304614752,25454.61774510662,26219.313460683676,26992.45188327985,27774.042660878826,28564.109101833626,29362.61083523172,30169.421376330734,30984.437852869687,31807.586007414448,32638.82019735772,33478.123394919116,34325.507187145035,35181.01177590879,36044.707404774264,36916.57310310087,37796.33700169136,38683.75945313934,39578.67334686134,40480.984109096804,41390.66970290807,42307.78062818051,43232.43992162227,44164.84275363634,45105.00946805931,46052.4558520553,47006.75003509705,47967.60033091127,48934.85523747845,49908.50343703311,50888.673796063624,51875.63536531221,52869.779965176815,53870.87705953008,54878.18711221841,55891.201800703784,56909.602987161896,57933.26271848211,58962.243226267565,59996.79692683497,61037.3664212149,62084.16795505596,63136.31096910722,64193.18487746698,65254.38632977677,66319.7057153205,67389.12716302439,68462.8285414571,69541.18145882974,70624.51756210912,71712.04971299479,72803.14329301719,73897.38197013638,74994.52011523947,76094.4828021407,77197.3658075814,78303.43561122997,79413.00580270748,80525.45466734143,81640.15439137029,82756.68942813155,83874.79126598714,84994.33842832349,86115.35647355142,87238.01799510633,88362.60515217515,89488.71261696181,90615.69691753094,91743.13056048367,92870.71811627208,93998.29621919944,95125.83356741988,96253.43092293869,97381.32106419074,98509.40272841969,99637.00114632094,100763.66040348593,101889.04993621718,103012.9645315282,104135.32432714348,105256.17481149845,106375.68682373963,107494.02875943198,108610.64670824855,109725.01295397712,110836.75385331226,111945.6196403431,113051.48442655346,114154.34620082176,115254.32682942098,116351.66961790672,117446.21983538008,118537.35172305044,119624.64322347731,120707.79694331624,121786.64015331844,122861.1247883311,123931.32744729717,124997.44939325558,126059.71352255922,127117.62793694103,128170.6833290435,129218.53360683918,130260.95817574553,131297.8619386245,132329.27529578304,133355.35414497272,134376.37988138988,135392.14384675823,136402.0441409622
G,197.8981447300555,258.906375396999,329.16170542523867,406.6709701446284,490.18504559827244,578.9319872162192,672.4319562565717,770.4093799006724,872.6955004148416,979.2131667424587,1089.9266092893133,1204.8267884100105,1323.938224333477,1447.2880741756335,1574.9083019361697,1706.846475017721,1843.1501428846996,1983.8645438533456,2129.0365791068643,2278.7192051477614,2432.9639834865934,2591.8216365164462,2755.3420496026006,2923.5761538614265,3096.5759700164567,3274.3916495406575,3457.0734893107497,3644.671943874264,3837.237625449557,4034.821637702934,4237.4757481450715,4445.244951540506,4658.1740777537225,4876.30921949965,5099.697732343681,5328.388234701657,5562.430607839845,5801.876646696034,6046.774824353467,6297.155376930033,6553.0498555469185,6814.49392485931,7081.527363056393,7354.194061861376,7632.542026531451,7916.623375857842,8206.497088469465,8502.19676450632,8803.714167268992,9111.051355502048,9424.223258986685,9743.257678540733,10068.19528601866,10399.089624311542,10736.007107347114,11079.028687320337,11428.200883853266,11783.438846472769,12144.670615400712,12511.860595978938,12885.00955866928,13264.154639053537,13649.369337833543,14040.763520831038,14438.483326251053,14842.598796103788,15252.904449386177,15669.210260989099,16091.403177781052,16519.447118608117,16953.382974293985,17393.328607639975,17839.47885342497,18292.09683605323,18751.115199348442,19216.155158711714,19686.960217797383,20163.386598773453,20645.4032423216,21133.091807637215,21626.64667242926,22126.37493292046,22632.45609317744,23144.40218579392,23661.868723551484,24184.6413729749,24712.628550534962,25245.861422648395,25784.49390567789,26328.8026659322,26879.04250809031,27434.754598769367,27995.551719809508,28561.18979505213,29131.53979493063,29706.587736470447,30286.434683289004,30871.296745595813,31461.423859856925,32056.433433814076,32655.912790703078,33259.5950882898,33867.3188200554,34479.02781519627,35094.77123862409,35714.70359096582,36339.05876189131,36967.579990786064,37599.81205233779,38235.45345891376,38874.3034445953,39516.26196517768,40161.32969817015,40809.60804279595,41461.29908573797,42116.35511717532,42774.26760998728,43434.68382560133,44097.35288202561,44762.125753848806,45428.95527224028,46097.89612494992,46769.10485630832,47442.738709555924,48118.36096039293,48795.52975939113,49473.93252646778,50153.36372305027,50833.72485207604,51515.02445799263,52197.37812675757,52881.00647525649,53565.791051089975,54251.179980683366,54936.789419596105,55622.34954043309,56307.70453284473,56992.81260352687,57677.74597622091,58362.69089171369,59047.8555106665,59732.78965499251,60417.00170506778,61100.15239062615,61782.02313872974,62462.516073768944,63141.65401746242,63819.58048885704,64496.55970432806,65172.37715027278,65846.43399501713
H,169.14035060365225,228.0359387271765,296.30314852304315,371.9680743157277,453.77984605919056,540.9501892722038,632.9729839368789,729.5388220898349,830.4402588745396,935.5572503791732,1044.8085366082996,1158.1376052988974,1275.5194618790565,1396.9308917668734,1522.3526966015354,1651.7800814091615,1785.2077905026501,1922.628085624233,2064.03459683201,2209.426239427542,2358.800347147209,2512.15346737215,2669.4813632522855,2830.780839134942,2996.0491076313688,3165.281323572616,3338.473018365642,3515.6201131417233,3696.718918756457,3881.766456414892,4070.76003940724,4263.68965719939,4460.545424791806,4661.319076904696,4866.00396797802,5074.5950721714835,5287.088983364526,5503.484344458584,5723.7752889835,5947.939458874656,6175.956282856582,6407.809347857884,6643.48639901124,6882.979339653411,7126.284231325226,7373.401293771606,7624.33596280841,7879.069202032163,8137.550260211917,8399.73745799845,8665.600008133693,8935.118015450742,9208.282476873832,9485.095281418344,9765.569210190835,10049.728402419802,10337.562400036266,10628.967798252277,10923.853438295855,11222.155189624102,11523.83594992325,11828.885645108594,12137.321229324578,12449.18668494468,12764.552873922226,13083.425911368036,13405.624292707555,13730.985834481151,14059.400476109486,14390.810279893507,14725.209431014448,15062.644237533845,15403.213130393482,15747.060256684243,16094.099465568837,16444.053386630254,16796.73017987688,17152.00919043779,17509.84094856278,17870.247169622384,18233.320754107775,18599.225787630905,18968.042487710496,19339.436025793024,19713.173877201654,20089.101809544416,20467.138899980873,20847.277535222063,21229.58341153057,21614.195534720486,22001.238340222993,22390.41292310185,22781.474892337952,23174.26302530276,23568.68154654385,23964.70012778495,24362.353887925943,24761.74339304289,25162.987628659605,25565.847410814935,25970.077845239666,26375.515741862408,26782.0551100707,27189.647158710897,27598.300296088237,28008.080129966806,28419.09503903417,28831.186880248253,29244.10153145565,29657.668688451107,30071.7702167257,30486.34015146681,30901.36469755818,31316.882229579885,31732.98327335684,32149.62743972208,32566.545499118205,32983.55319704842,33400.51656844559,33817.3519376723,34234.02591852083,34650.55541421305,35067.00761740067,35483.44918097464,35899.65690640733,36315.41500689702,36730.56995822149,37145.018690076,37558.70858607338,37971.63748374392,38383.85367453542,38795.45492451966,39206.37793322615,39616.36490702017,40025.23997506379,40432.87878382407,40839.20849707311,41244.20779588811,41647.906878651265,42050.38746104986,42451.74055419351,42851.76191841439,43250.23703138873,43647.01916146615,44042.01416971141,44435.1805099042,44826.52922853934,45216.12396482652,45604.080950690615,45990.31052371257,46374.55781787887
I,556.5040905668149,699.3162051798112,860.4433809855818,1035.280683978739,1220.8498571616724,1415.2297709673082,1617.1568002238814,1825.8308680913342,2040.7013761493681,2261.4302163583934,2487.7794052418153,2719.5767188335285,2956.7294686931155,3199.154202611218,3446.7806660229116,3699.5761761295594,3957.509530940302,4220.544981364446,4488.651371291104,4761.813069163948,5040.012122335491,5323.22896401301,5611.442417838619,5904.634105270536,6202.790456596844,6505.894983902764,6813.93177476944,7126.88551769131,7444.74150207612,7767.4861405335205,8095.108390723355,8427.589168433944,8764.909636667255,9107.053205615655,9454.005532661931,9805.754522379277,10162.29032653127,10523.60590929605,10889.690023045245,11260.51249951652,11636.04547953832,12016.26626017079,12401.15729470579,12790.706192666896,13184.905719809376,13583.75379812024,13987.255049542528,14395.386229305957,14808.086054881522,15225.304184865061,15647.003454219684,16073.159874275792,16503.76263273107,16938.814093650464,17378.32979746622,17822.33936429152,18270.834022604955,18723.68893523861,19180.79347447409,19642.07054659896,20107.476591906787,20577.00158469709,21050.669033275408,21528.535979953198,22010.692862834196,22497.155445503035,22987.699693872564,23482.121263188543,23980.283007715232,24482.1149807354,24987.614434550305,25496.845820479743,26009.94078886197,26527.09029708508,27048.194125613823,27572.894654131207,28100.942673618465,28632.183903895435,29166.558993620543,29704.103520290886,30244.94799024207,30789.317838648418,31337.329066622777,31888.54226026436,32442.64777106233,32999.44260899467,33558.8239890474,34120.789331214546,34685.43626049815,35252.962606908346,35823.54710438116,36396.78959981593,36972.35952848545,37550.041047638464,38129.70925126369,38711.33017008992,39294.96077158597,39880.74895996078,40468.86847744123,41058.99502469884,41650.793173589154,42244.04143599787,42838.59863897656,43434.40392474268,44031.47675067952,44629.916889336244,45229.884206444774,45831.163815476015,46433.403693882676,47036.36954568277,47639.90083151706,48243.91076864909,48848.386330965164,49453.38824897439,50059.05098374243,50665.32349425957,51271.82922016375,51878.31141025207,52484.584733925054,53090.535281186705,53696.12056264445,54301.369509509146,54906.382473595135,55511.25887059645,56115.68488077073,56719.35657417838,57322.05862430783,57923.64752959748,58524.05161343573,59123.27102416094,59721.37773506138,60318.514144654815,60914.592319108866,61509.246607379166,62102.228260305965,62693.36185232709,63282.545281477855,63869.74976939115,64455.019861297376,65038.47342602451,65620.24125607191,66200.0324979181,66777.54265461405,67352.56368093187,67924.96214012749,68494.67920394072,69061.73065259514,69626.20687479818,70188.27286774108,70747.80110871006,71304.42928386576
J,254.58142248732776,315.13531634206026,384.4018389082518,461.0045306159422,544.1259958561827,633.2976744714076,728.257217127157,828.8836789997482,935.1250437023742,1046.989344925534,1164.5088335612506,1287.7306504669536,1416.7227966735861,1551.5529737163117,1692.2908094721247,1839.0154272674301,1991.8052530097184,2150.7370909953465,2315.8888113066355,2487.3417034290387,2665.176119717946,2849.472331723504,3040.3105317876025,3237.7720215611366,3441.938073123042,3652.888651733729,3870.7044758698185,4095.4670270583247,4327.258549876675,4566.162370240819,4812.262299694519,5065.63487633605,5326.357045267922,5594.507676260802,5870.167563753524,6153.419426853074,6444.347909334584,6743.0403370310905,7049.58065299404,7364.032074193502,7686.459791378739,8016.934220824867,8355.531004332835,8702.33100922946,9057.42032836738,9420.890280125119,9792.841115445988,10173.344389900933,10562.421039753235,10960.104681047422,11366.444803595377,11781.506770976357,12205.37182053697,12638.137063391174,13079.915484420319,13530.838488090902,13991.000599002999,14460.33028854217,14938.771079802535,15426.312428689687,15922.989723920666,16428.884287023942,16944.123372339498,17468.880167018673,18003.373750262275,18547.736997262833,19101.74498427715,19665.18537397817,20237.946952710474,20820.019630490257,21411.494441005347,22012.563541615258,22623.520213351032,23244.748254161008,23876.21065201071,24517.439693848173,25168.124170251293,25828.107335976725,26497.386909959874,27176.115075314985,27864.598479334956,28563.29823349158,29272.508666763883,29991.605888993217,30720.14207472166,31457.85434516517,32204.655227050163,32960.632652613356,33726.049959601885,34501.34589127328,35286.93271091839,36082.20592948433,36886.63917922948,37699.915324530426,38521.888605915774,39352.58464006616,40192.200419814384,41041.1043141453,41899.718167658735,42767.52728509833,43643.946005543425,44528.60859530047,45421.31305483289,46322.02111876094,47230.85825586179,48148.11366906952,49074.20133597031,50008.78208075378,50951.179233807925,51900.95334845853,52857.82878859821,53821.69372868659,54792.60015375011,55770.76385938222,56756.56439906118,57749.986473830235,58750.24153197498,59756.77870515462,60769.22112333798,61787.36591480355,62811.18420613938,63840.82112224308,64876.59578632201,65918.83422569654,66966.84669989679,68019.8944103126,69077.46539399377,70139.24052763288,71205.09352756532,72275.09094976919,73349.49218986527,74428.74607575657,75512.70664489736,76600.40454514438,77691.15685242388,78784.4979837885,79880.17969741738,80978.17109261581,82078.65860981574,83182.04603057538,84288.78539599267,85398.07485731973,86508.97552673948,87620.84560085711,88733.28724972368,89846.14661683612,90959.51381913727,92073.72294701575,93189.35206430616,94305.9981211293,95422.47200407884
