Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,634.6801953109045,725.9745797631259,789.8676857793331,835.9666135454158,870.5412052014217,897.669106515561,920.0463832616025,939.3882655456704,956.8694423614978,973.2066713527494,988.8936298545068,1004.2756694966613,1019.5241568088413,1034.7855678846927,1050.1751307376278,1065.7254507148182,1081.4644300719394,1097.4299715357388,1113.6504829629862,1130.1191303943187,1146.8340098189,1163.7983248457626,1181.0203776007306,1198.5035874133941,1216.237978392269,1234.2193144367416,1252.443712371587,1270.907591207857,1289.6076721428817,1308.5397456591131,1327.6913154926128,1347.062719726007,1366.6544463866362,1386.4632099505347,1406.4819513424313,1426.6998379357467,1447.1022635525956,1467.668860988133,1488.3800896243874,1509.2557754463867,1530.311186648562,1551.5500491274388,1572.9645464816385,1594.5353200118773,1616.231468720968,1638.010549313819,1659.8445692050632,1681.7839668108245,1703.8215000900113,1759.5964735571774,1873.9452363945288,2031.1160290029525,2219.333565613132,2437.2960934480634,2683.5440022026924,2958.28466221025,3262.0244796094057,3596.5470418200775,3963.835307853781,4366.088110727754,4805.908658883172,5285.8228286896565,5808.270059562914,6376.035530877517,6991.815845581827,7657.913741499167,8376.370821335151,9149.65470782443,9979.49819875448,10866.572213527656,11811.04139398883,12813.523410945312,13873.15644714383,14987.176301533407,16151.92096917773,17364.277021942045,18618.806295803846,19907.2261283092,21220.36946414154,22549.948901141695,23884.948181183157,25211.2328312973,26514.734844354847,27782.96738313036,29001.119492544098,30152.01371877661,31220.869908037417,32195.336742675085,33061.88849934327,33806.44273446249,34419.92601295853,34895.8095112095,35227.56492999416,35410.077781453,35444.07739185728,35331.9399530188,35076.586688153206,34683.295011870956,34161.280282191,33520.34103149156,32770.65005916523,31923.932445855255,30993.019408612425,29990.580302308717,28929.294141648086,27822.276784917616,26680.98894445049,25515.837698470415,24337.505690989252,23156.947338973172,21983.52541997973,20823.483371314738,19683.0497699084,18568.533751918345,17485.84798602444,16438.051049623253,15427.349373941783,14456.2546251648,13527.531843086548,12642.316418585466,11800.133872001428,11000.814922989604,10244.495198705023,9531.215216823795,8859.437407253772,8227.517284667792,7634.16594873784,7078.443302840951,6559.079268713478,6073.906470582087,5621.022902088909,5198.828235649264,4806.022211938547,4441.127794308872,4102.167212987217,3787.394245899552,3495.30470835956,3224.6364530686233,2974.250318926997,2742.6132099354936,2528.2887279537495,2330.0197644803693,2146.718381354519,1977.4658107559399,1821.3963175218323,1677.4119789450556,1544.5357762759763,1421.9020235675005,1308.7528320331717,1204.4381100471744,1108.408526452638
B,317.1586689480763,385.0486259646284,436.01402286480135,476.24380989590264,509.69332991014113,538.8775957447788,565.4242960439985,590.3389341007842,614.2981442865378,637.6976688511941,660.8046513017662,683.8029605770668,706.7733522382975,729.7876942446857,752.9028121262846,776.1277026910641,799.4712389624962,822.9494291041719,846.5731194085482,870.3344891465036,894.2297622636174,918.2573303550296,942.4177461476922,966.7076157213041,991.119884833285,1015.6527074664336,1040.3024124196218,1065.0634623687142,1089.9284538665713,1114.8870585489935,1139.925591512185,1165.0502910594316,1190.265716697074,1215.5701685893553,1240.9556875584267,1266.4080550843423,1291.9067933050608,1317.423518276883,1342.939118172821,1368.4837988688803,1394.0803979153295,1419.7366153601001,1445.4450137487856,1471.1830181246441,1496.9129160285943,1522.5818574992204,1548.1559933668668,1573.7048854086945,1599.2228868529462,1657.0729214064847,1771.2984395690082,1926.878848593978,2112.5772644361396,2327.2785169390804,2569.6715672042833,2840.036126371124,3138.9263422617796,3468.1182544967755,3829.5712756962394,4225.445446133672,4658.2834411330705,5130.546060892868,5644.603009838268,6203.149686726847,6808.786986353685,7463.724114857793,8169.907082686266,8929.685340147247,9744.68550640189,10615.494017064175,11542.197985471228,12525.315741449605,13563.927296639142,14655.266350379441,15795.696920427443,16982.115690864142,18209.178950199996,19468.802206748904,20752.05856940395,22050.888401001936,23354.61522485622,24649.570462982934,25922.168332832225,27160.368641333,28349.899127909077,29474.21266887619,30519.077855099036,31472.60221713916,32321.74582407148,33052.914747804476,33657.32321838017,34128.614680935585,34460.403860419676,34647.64027320532,34690.89409827544,34592.3102972295,34354.54085099217,33982.50407062758,33484.94828166365,32871.19298141585,32150.919354983846,31335.334711842286,30436.78351338217,29467.470297186585,28439.615707987217,27365.888682693934,26257.44362253452,25124.435357749342,23977.281300185485,22826.65792067731,21681.743428328526,20548.73224469809,19433.79014552275,18343.162850182533,17282.716616386184,16255.547034767716,15263.911577738465,14310.364991567923,13397.70910453609,12527.150034096643,11698.305752241586,10911.089720119839,10165.71345608137,9462.292493468854,8799.377316742617,8175.405135688995,7589.162735391898,7039.7798895140195,6526.055000000235,6045.886245197694,5597.431173431962,5179.1453723089635,4789.78086689006,4427.90933616323,4091.5945875652706,3779.1284417380257,3489.0430177098906,3220.110732895781,2971.22468762513,2740.8770577367586,2527.6528915349145,2330.315982347127,2147.798784691432,1979.202414276385,1823.679282614954,1680.1431311397473,1547.62700598909,1425.2754300851402,1312.3408535749008,1208.1836538302168,1112.2649464351266
C,1235.8935096913917,1371.3178712035424,1467.0098521531074,1536.9512712288338,1590.2191533465111,1632.6831406754495,1668.2027436707997,1699.215175133685,1727.3817163157505,1753.7054882599857,1778.8738140001283,1803.3655028557062,1827.4117671428535,1851.2119857725988,1874.9232803446894,1898.5860499507676,1922.235746514521,1945.9229082845848,1969.6849729396047,1993.510750975122,2017.3968750120919,2041.3468210222534,2065.370894684679,2089.4720876927213,2113.636894116661,2137.8609588411855,2162.139495513933,2186.46720948216,2210.8382977927427,2235.2447143702507,2259.6686047100557,2284.114494535573,2308.586411117507,2333.081791758493,2357.5914837931023,2382.0997445878374,2406.5842415411366,2431.0137893084916,2455.3646752550567,2479.6706686163006,2503.9577527294523,2528.234681707715,2552.4929804402586,2576.706944592231,2600.833640604749,2624.8129056948987,2648.606430218454,2672.294257207953,2695.8702752618374,2770.439817196045,2933.0246554897144,3159.0557004967472,3430.142458796965,3743.472373980754,4096.1443187850855,4487.769363934299,4918.393024835775,5389.946225449872,5904.61339743422,6464.84869653367,7073.647544112684,7733.830589644554,8448.034595898696,9219.337231343476,10050.631765674189,10944.2177924457,11902.002448463822,12926.412246698677,14018.874649985057,15179.39763276537,16407.332067424453,17702.616644031543,19063.328976676105,20485.17152121818,21962.794245044784,23491.62127245575,25064.311536122746,26670.138791295758,28297.464754850153,29935.91689651891,31571.999430821,33188.64291382418,34769.08692180343,36298.67142216556,37760.139878890404,39133.59870944604,40402.15672510595,41551.87168666673,42567.49987662867,43433.22285994216,44139.06045423809,44677.94190345832,45042.80500377539,45228.213095401785,45235.33829881129,45067.20050646194,44727.46660656276,44222.47820224153,43562.97178885014,42760.388033348674,41826.66786007242,40775.53351703653,39621.917493344416,38380.65203512147,37066.684387384616,35695.5309257115,34280.73012153279,32834.66096546383,31370.123764127402,29900.335460688548,28436.655079816053,26986.74465405446,25558.308964342395,24159.191856061872,22796.800148021197,21475.11759307149,20197.107017942835,18966.11341017991,17785.801058441753,16657.85019895766,15581.954279824535,14558.172538955307,13586.934192324317,12668.543943646613,11801.32561833693,10983.445293598577,10213.502016726947,9490.519675763915,8813.091718831503,8178.647793889117,7584.934626662008,7030.070948853087,6512.54546859251,6030.605394680617,5581.826060943573,5164.065887436182,4775.487435570465,4414.557408115649,4079.8916610987217,3769.5718930086227,3481.788423901959,3214.9611958377463,2967.7269871917993,2738.939412656753,2527.5145450297073,2332.043350833022,2151.2664707866365,1984.070389343395,1829.4828483071565,1686.6728468327979,1554.9408921170193
D,7668.6005213120725,8602.217587543839,9255.479323748184,9726.440084560008,10078.94500830286,10354.40314430494,10580.114962327374,10773.37904184605,10946.007811029163,11105.163887142277,11255.762662680047,11401.231660240612,11543.242023923209,11683.228880489172,11822.321661804172,11960.821051403222,12098.988936259353,12237.19231990868,12375.70429794974,12514.453157214331,12653.422390917065,12792.644319904703,12932.199996474656,13072.119396624976,13212.315945035123,13352.768097485903,13493.452276886213,13634.342330842972,13775.409531661102,13916.611461172692,14057.842360855882,14199.138436506097,14340.53351902847,14482.02028459483,14623.550254643684,14765.033795880223,14906.340120276314,15047.28500912072,15187.739345832853,15327.9142556332,15467.972461006902,15607.973674229663,15747.874597367709,15887.528922277837,16026.687330607365,16164.997493794172,16302.237384227352,16438.891767759138,16574.93148709553,17023.06621196864,18009.476377098777,19383.566132847718,21032.64851255358,22939.2003361559,25085.295442440423,27468.429325818044,30088.818474192853,32958.26123710812,36090.176661185214,39499.7125437042,43205.37431611919,47224.73510916266,51574.39275861333,56273.70261059307,61341.05084841849,66791.4635507782,72637.79343177614,78896.08674377658,85576.63645283137,92681.50529452435,100208.9854535765,108160.94736396059,116528.31003942667,125287.96701620748,134410.53790627577,143871.20428795603,153628.48568410065,163620.48080182448,173779.4834680939,184044.93527321145,194336.8819295098,204553.16965842512,214592.63857611077,224365.8377158869,233766.45978079003,242671.0283319954,250973.04299382947,258582.7408155328,265401.18967925257,271324.7253406946,276284.4920442786,280228.8039556141,283105.3043033024,284871.0752197494,285524.29589193227,285074.8068745826,283536.4802762461,280940.2930033958,277346.22079307656,272819.37659437524,267428.4844505974,261254.65724033446,254388.87537966852,246922.19164994705,238946.80476837562,230559.37308844418,221846.55676985468,212888.340439645,203767.3037819013,194568.59556101295,185366.7528097181,176214.05737311233,167162.711540523,158265.77798194662,149573.62524765896,141115.04954219106,132912.14966710142,124989.35467133443,117373.03101294018,110076.72128542815,103100.92103636064,96448.32425468108,90123.90056450546,84131.68208966528,78462.55961306303,73106.18824203593,68054.95816970836,63303.94353346427,58845.249961162604,54663.08295278182,50743.62760375623,47075.459328180616,43649.53043776799,40455.081209406344,37476.70362171001,34700.80185146714,32115.76606651937,29711.97242576163,27480.737983909068,25409.675783405863,23487.04932664383,21702.640619707036,20047.66542723871,18514.77327244136,17096.996173599997,15785.081834992016,14570.74842103623,13446.689627421965,12406.543839346625,11444.894131515724,10557.200684456215
E,660.4159296746095,749.1743132206959,814.572808566497,865.0997196977106,906.1937977206297,941.3227829849345,972.7367331071445,1001.8306340157569,1029.5451372086818,1056.4333253791515,1082.8694653062307,1109.1116758875687,1135.275254984998,1161.4622486281678,1187.7533471897098,1214.1628131674347,1240.7043492822245,1267.401432779331,1294.2704028936682,1321.3013079661473,1348.4896464261665,1375.8341877922617,1403.3369638670126,1430.9949361038123,1458.7989193904427,1486.7464305122217,1514.8330866629906,1543.0525522269763,1571.396538778794,1599.8535006918048,1628.4071933761466,1657.064562701892,1685.8307928624588,1714.7038509019471,1743.674486715142,1772.7262330475096,1801.8354054951988,1830.969155742131,1860.1051363442286,1889.2783950522253,1918.515472556619,1947.8253264815512,1977.1993313848054,2006.6112787578097,2036.0173770256351,2065.356251546997,2094.588644523857,2123.795527261042,2152.9703701511,2224.7802189758195,2370.6931788591523,2570.707942014605,2809.8658520013887,3086.4535335657997,3398.5625965168224,3746.390321440308,4130.506573580819,4553.091814902573,5016.573537088516,5523.6485730880095,6077.514476373968,6681.276244601514,7337.937413426337,8050.927716557944,8823.573431879577,9658.736437859989,10558.975574406242,11527.362426601827,12566.104409572217,13676.157946849107,14857.888682675162,16112.21001704855,17438.289908762425,18833.049248012634,20292.349008788657,21812.708384226735,23387.877084022824,25008.212488867288,26662.99572178202,28342.5250044835,30033.77860914895,31719.93728832344,33384.16254573479,35011.38869167647,36583.603067337375,38079.78310535723,39481.59579304231,40773.430653099975,41938.04690222885,42957.31634101302,43818.98170627397,44513.72012762819,45032.058479555104,45366.11407901247,45515.139127916176,45480.417511438296,45263.88921712134,44870.45623482515,44310.15577357698,43593.88741645432,42733.108388601395,41741.43799224123,40634.32249485504,39427.15890637385,38135.45231570887,36775.44117311169,35361.80082336234,33908.02806577797,32427.96524846687,30935.79624313965,29443.944971426976,27961.13562136786,26496.007208358213,25057.30587452173,23653.29982937234,22288.657552552824,20966.915586182156,19691.9856666011,18468.089961722275,17297.320882018474,16179.613770009435,15115.269940730324,14104.968906259237,13149.238718161636,12246.45479643922,11394.801746976167,10592.919954374793,9839.897040897824,9134.343606633758,8473.596760156746,7855.32724872144,7277.601749393003,6738.88067262102,6237.355260122255,5770.480157747502,5336.0115504952755,4932.03094192948,4556.94515417938,4209.318220449123,3887.1304190905107,3588.4762848385253,3311.696180301346,3055.362432341104,2818.2793320739033,2599.3159609951476,2396.98715709973,2209.967914455832,2037.088901263327,1877.3314877442397,1729.8277461427488,1593.8499465716613
F,1315.1650861721016,1514.4462223152404,1655.6490108193047,1759.1344630244466,1838.149265429853,1901.2776832288612,1954.1746942748125,2000.4194617971807,2042.4542937345077,2081.757520946735,2119.342577999614,2155.915324670996,2191.817869952436,2227.3441219023775,2262.7250627909007,2298.02020710719,2333.2813623281877,2368.5822340331065,2403.977106687139,2439.449281115365,2474.993692996131,2510.6152334212743,2546.328728786463,2582.138101044112,2618.0241809894374,2653.9818680482394,2690.00512315363,2726.0868528249634,2762.2189091678383,2798.3896340167694,2834.574310305273,2870.781763252768,2907.019881189097,2943.2867546929688,2979.57067659196,3015.8501419625118,3052.0938481299304,3088.2579276341926,3124.312342609331,3160.3065086032243,3196.2783657721598,3232.241744565186,3268.1863657241097,3304.0778402835,3339.8576695706865,3375.4432452057604,3410.782316028782,3445.987768667216,3481.0526852129806,3582.787081552515,3799.830840839517,4100.289155010292,4460.294759550951,4876.446685467676,5345.17791531999,5866.210604902301,6439.841099125881,7068.848343415677,7756.360869931946,8505.882266337207,9321.64764283098,10207.692072076325,11167.838412226081,12206.514916751321,13327.936963676017,14535.565842137892,15832.367613020437,17222.026319219854,18706.915907862483,20287.535947686938,21963.514518753203,23735.277418199435,25600.73929241731,27554.598550735653,29590.097836493962,31701.49763869526,33879.23268615562,36109.05148816498,38375.35791285518,40664.18328161047,42957.1314471613,45230.7394920122,47461.799559953644,49629.83993715775,51710.6014270367,53675.968268707176,55501.81301944785,57167.96722822666,58652.2737931225,59931.602415248446,60990.9228932065,61819.24120373277,62405.47924238597,62740.78340379714,62825.736501582454,62663.57377168629,62258.42442509332,61618.27479789873,60757.60009356463,59691.933470325224,58437.529475473886,57013.31734327943,55440.23848113628,53739.12326563255,51930.9585435739,50037.611009674874,48078.433916767906,46071.16525642831,44034.08850423451,41986.02648964357,39943.283087538766,37917.03973646642,35918.47000938884,33958.92513030834,32049.130502114596,30194.973671495285,28400.86895701613,26671.75765342004,25013.019844810988,23427.207891771184,21914.029774789567,20473.70090292634,19106.954030591663,17814.33490531674,16593.55178028969,15442.076703109542,14357.99373751521,13339.9874653085,12386.120657947704,11492.784503240391,10656.818293559474,9875.589284009553,9146.989790199223,8468.562379695626,7836.884047763502,7248.9337525007095,6702.122912322101,6194.295405959467,5723.505845946155,5287.042343616804,4882.346548404746,4507.186727294102,4159.639469447895,3838.0896862080745,3541.0099766853195,3266.407252213211,3012.5014065562063,2777.719526733076,2560.689333345491,2360.2391805780294,2175.384159066941
G,240.07339726820695,285.7514216063227,320.4935796761194,348.3788920274475,372.00102268381863,393.00057965943483,412.434550185435,430.9519325316755,448.98842165616185,466.7970173536743,484.5484164341539,502.36036003690634,520.2839980428938,538.3656762844844,556.6425868867742,575.1210827669368,593.8078252723088,612.7143446353928,631.8489980090251,651.2080532282185,670.7904821258227,690.5967439631086,710.6287811770885,730.8861087551992,751.3655764190253,772.0672256055136,792.9900567716112,814.1320039116259,835.4899345572261,857.0589539265594,878.8316167581065,900.812767156912,923.006239364352,945.4119498933662,968.0258975284589,990.840163325696,1013.8429106127062,1037.017053718682,1060.349777797245,1083.8618673750725,1107.5694199845943,1131.4783027418591,1155.584152346535,1179.8723750819106,1204.318146814894,1228.8864129960139,1253.5548437683608,1278.3704226331652,1303.329259412998,1355.6343168713513,1455.8179810804254,1591.5639747878688,1753.6868052738616,1941.6696404997333,2154.7848000021704,2393.675093785809,2659.2530543760013,2953.514414045287,3278.6730877137206,3637.1865281398677,4031.907681165581,4465.72490417759,4941.558034346883,5462.696935289705,6032.472290950098,6654.022190137901,7330.386750353366,8065.068775952803,8861.085557563576,9720.696614031736,10645.826929937777,11638.882465004543,12701.059240295202,13831.947238443896,15030.332028389827,16295.488198624425,17624.45013466424,19011.480510140565,20449.7642917595,21933.036363743966,23451.936833898213,24993.54607269781,26544.37471906146,28091.836500136065,29620.119811068194,31110.07751945032,32544.120371406647,33906.342415788786,35178.605111970755,36341.19099203342,37379.1651732981,38279.88734999491,39030.06050034141,39617.45946662903,40036.818819320484,40284.87534752997,40358.851313388455,40259.029953177465,39991.687110538616,39564.2056032404,38984.5828939069,38263.566797871674,37415.010762465914,36452.90696475755,35391.36478678783,34245.56783123768,33030.52821370673,31760.274384689288,30448.957632520338,29110.850460963436,27759.051884085366,26403.593360606577,25054.112952908476,23720.269486831967,22411.22884676743,21132.683959549802,19889.089364698448,18685.20039081932,17526.013677039384,16414.352377285537,15350.776463526743,14336.154000310798,13371.69249932403,12458.399693836447,11595.017436361844,10780.040079883383,10012.404374311418,9291.481146626982,8616.115778429506,7983.795534404648,7392.3323729225895,6839.933155050995,6325.19735525901,5846.425700839212,5401.134498414885,4987.142732078672,4602.597623914925,4245.974633999658,3915.902497289249,3610.395282293058,3327.5807038679245,3065.834816242373,2823.7675016233675,2600.222470196322,2394.104828677407,2203.9529067815356,2028.4685229337917,1866.509284633187,1717.083416316321,1579.3497593573861,1452.60718165107
H,223.0875405879165,267.49456551237745,301.4765279524935,328.8665134027138,352.09667928312086,372.7010636654675,391.6645396636387,409.58869182552445,426.87549262680716,443.7560956420492,460.38533490819765,476.8692324926804,493.25205889204216,509.57424959844514,525.8681783883585,542.1378770641338,558.3880448401234,574.6281079265386,590.8646623832726,607.0935505539493,623.3133685049411,639.5240071631315,655.7266481947852,671.9201163032118,688.1015599899146,704.2714662987628,720.4291062362776,736.5725093910075,752.698463933529,768.8018947766672,784.876062149637,800.9266393263345,816.9582139451707,832.9715054901899,848.9633652910687,864.926776523116,880.8508542072726,896.7199975510089,912.5250686718125,928.2856413590199,944.0167947490828,959.7247200510825,975.4067205467256,991.0512115903483,1006.6377206089127,1022.1368871020102,1037.530401634275,1052.8604553777654,1068.125451809622,1104.6083454033185,1178.0148935333455,1278.3747970809538,1398.2278840629895,1536.721925561987,1692.900858977881,1866.8545378270044,2058.8537224011743,2269.968175491674,2501.3854148442683,2754.4212893195586,3030.637519293347,3331.540565891316,3658.57654908722,4013.4001664469815,4397.605233452875,4812.538430274997,5259.382826805966,5739.577578418223,6254.112774794175,6803.331382889016,7387.27070779064,8006.246792323284,8659.686276730998,9345.87246937312,10062.556920976938,10807.837572375302,11578.424612678553,12369.327551996888,13175.039259599627,13990.603709777622,14809.431092317385,15623.060825475277,16423.07873950502,17202.027919440527,17951.03472440052,18659.779148908165,19319.364692352956,19922.331604186933,20460.464437732833,20925.163026482303,21310.815563110147,21613.310183191592,21828.48355178532,21952.983167309503,21986.996578409766,21931.696966798663,21788.560068732513,21560.49283782328,21252.86349200251,20871.40806329122,20422.08884586679,19911.861576324784,19348.46542496894,18739.55976625737,18092.814793919508,17416.20462575342,16716.814590540165,16001.1076398033,15275.706390665791,14547.391014593612,13822.024019558728,13103.605662654943,12396.105433978497,11703.543740655905,11029.702862790875,10376.60842406188,9745.748267673178,9138.798971639722,8557.594093347512,8002.947873522625,7474.6551139469675,6972.697507978973,6497.246475377776,6048.410446227006,5625.290131173769,5226.910423599957,4852.519507193083,4501.584660129585,4173.357921268454,3866.5085384900613,3579.871005514018,3312.470597576032,3063.522338944849,2832.1232135297632,2617.0401550682914,2417.185944105064,2231.627492515521,2059.5858435059067,1900.3588613046088,1752.9838120822099,1616.5567992104839,1490.288752192711,1373.4989223212103,1265.6148826773472,1166.0966101637769,1074.248748942403,989.4524244545861,911.1604370585316,838.8949689893575,772.2475843590969,710.874573238656
I,568.1366139292347,659.7788104068566,726.4517292778723,777.0232119982185,817.2114914623526,850.6871968119216,879.8470218860949,906.1900340704256,930.7322643695176,954.0791335493791,976.6431552640033,998.7107248572823,1020.4157520107973,1041.8757285021893,1063.1841459013413,1084.36325355239,1105.4338619971647,1126.4270611459422,1147.3664307242586,1168.2465645381667,1189.0676184522,1209.8339436215915,1230.5540775959466,1251.232051114324,1271.8629197918494,1292.447870731916,1312.987512938365,1333.4818277960435,1353.930169070805,1374.3302223285568,1394.674387783286,1414.969902110884,1435.2234508673898,1455.4373259117715,1475.6094254059253,1495.7332538146775,1515.7979219057802,1535.7869436264198,1555.6898846504675,1575.5310339504895,1595.3295879199986,1615.0941288476145,1634.8226249170586,1654.502430207161,1674.1102846918538,1693.6123142401761,1712.9876982605222,1732.287361026722,1751.5101653990782,1804.551038242672,1916.1705334991643,2070.2666247108727,2254.793984440591,2468.131105705822,2708.5555205773544,2976.0180222692106,3270.7662488651595,3594.317378659138,3948.3769974656666,4334.854110689729,4756.043720445492,5214.156609334555,5711.313469499493,6249.962118101652,6832.462923136178,7460.81224412725,8136.773194411532,8862.502472364948,9639.503318516474,10468.333048580711,11349.11507396636,12282.40721154126,13267.47139101955,14301.899797343776,15382.520606368453,16506.69597571538,17669.75007063204,18864.50503397512,20083.024939608487,21318.184967034333,22560.42102104683,23797.374099169036,25016.7121165593,26207.456955182093,27356.454166850177,28448.325474589376,29469.703636012382,30409.239987146677,31254.363914457528,31991.834271411375,32612.74547553355,33110.341729537715,33477.734508565496,33709.192529651824,33804.243986801004,33763.90207610107,33589.65198549316,33285.15831137408,32857.87203259059,32315.875429389733,31667.659406523344,30923.310279736314,30094.25699517338,29191.890444702512,28227.682191226806,27213.646588183496,26160.62626601328,25078.587706249575,23977.757208581326,22868.617880094378,21760.341788050868,20659.348897395153,19571.999600605,18504.73551406188,17463.64418573224,16452.141307339563,15472.80543732657,14528.494943346366,13622.29983997635,12755.732091977876,11928.708510722452,11141.41894311647,10394.334503925013,9687.815382158256,9020.632096419486,8391.417050019467,7799.140541722447,7243.104405434279,6722.2596571408785,6234.620827595184,5778.450448652193,5352.303881110003,4955.027693211493,4585.271566554359,4241.145998722304,3920.984892806613,3623.3621699712444,3347.091769452808,3091.1041566145814,2853.903256286971,2634.078860790225,2430.401744384153,2241.8134339550406,2067.4262090156512,1906.4006819979563,1757.6399528264456,1620.165739937286,1493.1140811446533,1375.731679466585,1267.3759031249842,1167.5071400457773
J,243.4753313358322,285.59506208325234,319.9340922253742,349.6171068137026,376.5776572348059,402.0024993199317,426.6342808860274,450.9102631662684,475.11714609980555,499.4110627384962,523.8947180661124,548.6379413093082,573.6652638589368,599.0018142177674,624.6687864725219,650.6670079347048,676.9992150860278,703.6723206672885,730.6915047416508,758.0546902024862,785.7622495814626,813.8153013430225,842.2157064507378,870.9633285687476,900.0577821966399,929.5014960533366,959.2954250995432,989.4390292013389,1019.9302731301798,1050.7649375965236,1081.9370433597958,1113.4545767190982,1145.3241096494578,1177.5476715228406,1210.122749108152,1243.0422865712371,1276.2946854748789,1309.8622080096225,1343.7318108367283,1377.9299056597636,1412.4774371487508,1447.383332136218,1482.6444996172036,1518.245830749252,1554.160198852416,1590.3484594092579,1626.786366169828,1663.5308672348629,1700.5791401329966,1774.282389579115,1912.3732861528454,2098.673613566074,2321.1408063772246,2579.4643585962144,2873.005635592495,3202.985664617859,3571.019578294614,3980.2202831754657,4434.050607035724,4936.368083893336,5491.629630939953,6104.440172260284,6779.552660892008,7522.314504449968,8338.255749025193,9232.799236075043,10211.382724493365,11280.204403377073,12444.989334916889,13710.631785321157,15081.737225027102,16563.736025311322,18160.579890214536,19874.183912537035,21705.468292529633,23656.181402029837,25724.960451226558,27906.53195894337,30194.008135153435,32581.22903261642,35057.20810657902,37605.34603507022,40207.70106083183,42847.14493598076,45500.74265019994,48139.47543609136,50735.67354334186,53263.1782414584,55690.87940303937,57983.70416737861,60113.01680647794,62052.72863778843,63774.28846348996,65249.66300739544,66462.0388854965,67397.4811505881,68042.1264510089,68387.13998970119,68435.27017490783,68191.44588046966,67661.60981449272,66857.5068407417,65798.93380796594,64506.43840344596,63000.89615089746,61305.89340828624,59448.12521993721,57453.263086880244,55346.83591048924,53154.23304369145,50900.408984680646,48606.63956820409,46292.87978357588,43979.03338517852,41684.22416033469,39421.762868175,37202.49397967836,35037.67957126905,32938.90628287568,30913.715682585153,28965.18052059257,27096.79682460987,25312.60885221047,23616.17443031407,22006.452893867183,20481.742066242994,19041.141410205077,17684.53780587977,16410.66428229665,15215.347596334905,14094.987325877946,13046.736124404017,12068.49504978254,11157.475556474983,10309.155436025969,9519.586664195476,8785.468617778259,8104.1480746037905,7473.249820552638,6889.039412436852,6347.972926805193,5847.005792698618,5383.562825291909,4955.538225893699,4560.927581532621,4196.9056506892,3860.9683535405684,3550.927742739932,3264.901101183882,3001.3109420123983,2758.8621396256563
