Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,1265.6093126350052,1157.054448553557,1091.017998836184,1052.7940738309223,1032.8004745906921,1024.8160686452238,1024.7345051870461,1029.9483579323814,1038.6742312593628,1049.8258774147973,1062.6553375136295,1076.6390537298355,1091.5165739650383,1107.064058193407,1123.104143786685,1139.5834946189307,1156.45493716552,1173.6555539679077,1191.1361447520267,1208.8995552582257,1226.9403938168625,1245.2451364689748,1263.792140873573,1282.566659454859,1301.5726757030725,1320.804602081375,1340.2560320579962,1359.919818150307,1379.7880719248196,1399.8540538098687,1420.1224594054436,1440.5761827837473,1461.197561362684,1481.974593596823,1502.900938977401,1523.9759180323206,1545.2045123261496,1566.6003575831096,1588.173596715858,1609.8713211785243,1631.647597956271,1653.474365970201,1675.3414360773588,1697.256491070733,1719.2450856792523,1741.3506465677904,1763.5929441793894,1785.8658632487532,1808.1548793485806,2262.0779018647727,2652.5355278292013,3017.834778080447,3388.2972582277152,3772.9458886901016,4181.493579903255,4620.576709082028,5096.560616150484,5613.507486178948,6175.337659839467,6785.739190112077,7447.710850562233,8164.362886290242,8938.865045544513,9773.398877460699,10669.753208740114,11629.714638287318,12654.569571737462,13743.481507484059,14895.1752432311,16108.410765921848,17380.527976270376,18705.121037265908,20075.24118135086,21483.998856239494,22922.31870924656,24375.892959999117,25830.500845457187,27272.91414909734,28687.370265184305,30052.669619860233,31349.57262209933,32561.683083259562,33670.67416844924,34654.95745659659,35497.849169370726,36187.96598285808,36712.76599296536,37060.060822091364,37224.71621341078,37207.888644791405,37009.53051168641,36632.5964225632,36086.619257586026,35385.50204133439,34541.03464432956,33567.957550667794,32484.74895473561,31310.54449016874,30062.10085173295,28756.965744650224,27413.21428396114,26047.250800847472,24673.48989191338,23305.2258181776,21954.170259821512,20629.748229479483,19340.885014427742,18095.372186430846,16898.35139686338,15752.31910019262,14659.278012685321,13622.404067289299,12642.935344642061,11720.217698383849,10852.312240687314,10038.855237164447,9279.097695642868,8570.946648173276,7911.034701725202,7296.90993807606,6727.139422091875,6199.507020874341,5711.072475732612,5258.635411857445,4840.422255963594,4454.622507350572,4099.001578861153,3770.910088913558,3468.0303420953587,3189.0283241192406,2932.3785610120594,2696.346489961294,2478.9901407867037,2278.6664151975097,2094.4026967262516,1925.1311286215437,1769.6743841495522,1626.7456665939812,1495.068873769681,1373.9273207922295,1262.6596281221587,1160.542292928995,1066.7989123465795,980.600183473075,901.1768301868202,828.1277648662333,761.0497522272279,699.5104951920832,643.0516245024048,591.1886987191265,543.4187350600188
B,775.5044684741958,718.80738525077,690.6290087090907,680.7467835362572,682.6145325687033,692.0603442918305,706.377675861062,723.8882212542159,743.4590550570286,764.4223790437039,786.3243539884404,808.8498769165769,831.8546228319631,855.2095283926317,878.8106284287869,902.63297525836,926.6517640504044,950.8301131342898,975.1393221112361,999.5814036697487,1024.1513382189312,1048.839939189022,1073.633863682457,1098.5256646384314,1123.5139888600766,1148.5886159787422,1173.7415710709229,1198.9671908169655,1224.2621235010731,1249.627003137404,1275.0675265761897,1300.5579874979715,1326.0747129122917,1351.6032244268902,1377.1382382477022,1402.683665178862,1428.2526106226971,1453.8698969246366,1479.5454267578962,1505.2126438275843,1530.8159452978252,1556.322638214278,1581.7229395041377,1607.0299759761392,1632.279784320554,1657.5313111091898,1682.8137821940209,1707.9966313153043,1733.0649184814529,2175.507734266427,2557.427827515692,2915.9493032478317,3280.500422538264,3659.731854622811,4063.030712745187,4496.809053791633,4967.230989827174,5478.223398202156,6033.577481812053,6636.856227553857,7290.945873500052,7998.831817058446,8763.547280154125,9587.149679042412,10471.299940533387,11417.644277896148,12427.328174746184,13499.414470380225,14632.531184648633,15825.334623773522,17075.094054996007,18375.437134792068,19719.474741861555,21100.387632681413,22509.252090412836,23932.09860636342,25355.075181359956,26765.325280174755,28147.576516344136,29481.33826493859,30748.04892837908,31931.92776586791,33015.35223381829,33977.559110351096,34802.51792102099,35479.30932626019,35995.867948058425,36340.429319965566,36507.999332632346,36499.61681581314,36315.109723104455,35957.167210913336,35434.81356929989,34761.282218547654,33947.75631310682,33008.28870158018,31960.58867936904,30823.04279245555,29611.75816342977,28343.669345365113,27036.29916971536,25705.600167316898,24365.603324131323,23029.30875668249,21708.245962069508,20411.758667714385,19148.663858749613,17926.692666784245,16751.030810720833,15624.322985316652,14548.698931063605,13527.385129265615,12561.733224238615,11651.241075913267,10794.13887155452,9990.17269561804,9238.705282844605,8537.768594975703,7884.1313838208125,7275.447269589998,6710.366539674743,6186.758805056663,5701.7682343550705,5252.27213918777,4836.555262602196,4452.862094771939,4099.008585257025,3772.391254610695,3470.731181275956,3192.728326428049,2936.8881850046314,2701.502475065187,2484.650819697019,2284.708708984348,2100.7232037786516,1931.6434512062194,1776.3054406546723,1633.4320037729485,1501.7540478681801,1380.5654725701047,1269.2150269512622,1166.9867426146038,1073.1092019557636,986.7555381630625,907.1580621486884,833.9218285707313,766.6489212698502,704.9106836498395,648.250746227626,596.1850266332707,548.2094226579875
C,2099.5635325066733,1948.2866181872132,1857.6013778351598,1806.2858353608517,1780.5617250290627,1771.5189891715977,1773.2991244140005,1782.2014298015436,1795.703271296997,1812.2793482881054,1830.8832337806584,1850.784563006677,1871.6266780850092,1893.101106650772,1914.9630436022092,1937.1429054871153,1959.578039243763,1982.1826119267807,2004.889949155238,2027.7056423416088,2050.6228319196175,2073.623801746608,2096.6799996519417,2119.7732553758683,2142.90926490205,2166.0792905387007,2189.274745128804,2212.487308203899,2235.708925984081,2258.93439025854,2282.172367286149,2305.3974010878746,2328.584363580821,2351.717557442112,2374.790716108898,2397.807003778349,2420.7790154076574,2443.732042281305,2466.6791847343475,2489.5483262901316,2512.2786868781027,2534.8346791848526,2557.205908654124,2579.4071734868116,2601.4784646409585,2623.48496583176,2645.4592440455926,2667.258581714691,2688.8675392328346,3339.474457675252,3892.977461381722,4404.42236509609,4916.937931963475,5443.513116335499,5997.649903744152,6588.271553928729,7223.74473667953,7909.022263925372,8648.73416640565,9447.076174071819,10307.185840247243,11232.289469094017,12225.631854625093,13289.062082357832,14423.894876894967,15631.427826477062,16912.295970608422,18264.459844957175,19685.39083304094,21172.671131089563,22722.197350543694,24325.409189135335,25973.2764391896,27657.030189313366,29365.476453795938,31081.46569015132,32788.24743525172,34470.53305493998,36110.342913766406,37683.68279189434,39169.10676274532,40548.70914871992,41802.55266974297,42907.13163483586,43844.60510035972,44603.205622398884,45169.796400234656,45531.568158158385,45683.50446221226,45627.492489989345,45363.89782549836,44896.305300346314,44235.45484301227,43396.80234672532,42393.437936365626,41241.69801767829,39962.01042132953,38575.557372190946,37101.0500258446,35558.13496781717,33967.08535390099,32346.43888571597,30712.72954050907,29081.288317800554,27465.70547082543,25877.057877046776,24326.063390522002,22822.182883297886,21371.824247451612,19978.34794627604,18644.59467959532,17374.81280596282,16170.956903368184,15032.736012554135,13958.323005502822,12947.725411200337,12000.465964080162,11114.423507230225,10285.914914395311,9512.309844254447,8792.169973325477,8123.075194734602,7501.688768166694,6924.319868113467,6388.985838019708,5893.635621982228,5435.6670498580925,5011.9379374215305,4619.6899003590515,4257.368382430472,3923.164261871548,3614.987565269339,3330.46957203527,3067.601290472927,2825.211793758699,2601.999992060498,2396.5138242481617,2207.15025789345,2032.3094571238057,1871.1037536550898,1722.7130708519203,1586.2304208482622,1460.6736033414184,1344.9852055920394,1238.1803736817797,1139.7535416332819,1049.1945238474534,965.9511443402378,889.4331157099977,819.0120391375156,754.0314950668385
D,13285.144246409765,12233.092704189356,11590.513842539518,11214.714078488865,11012.774780636017,10924.423321547049,10909.917903465875,10944.064680222204,11009.653968856925,11096.233880081028,11196.620774270315,11305.794756732848,11421.282004257617,11540.9527517321,11663.120918458459,11787.297791257777,11913.04945307644,12039.788723194652,12167.062354099196,12294.912555325995,12423.29937493285,12552.109967554956,12681.158733256123,12810.33116124031,12939.67828818742,13069.154882087641,13198.716002632358,13328.3177827467,13457.91742858955,13587.48915550138,13717.095615041224,13846.593840744677,13975.841830714644,14104.754102093699,14233.301691064133,14361.512152847921,14489.469561706725,14617.331896798272,14745.175420885349,14872.58973833105,14999.231731571443,15124.903234290054,15249.551031417874,15373.266859133368,15496.287404862458,15618.994307278548,15741.581658490117,15863.234881244842,15983.870693443354,19835.68474186841,23109.597595332572,26131.804179945593,29157.817219666867,32264.9838375544,35533.517742137454,39016.52547598434,42763.833475223335,46805.120886261066,51168.23352673286,55878.54550678671,60955.365169973105,66418.65758322128,72288.63468811927,78577.60408694202,85294.99023839786,92450.26990742677,100049.27432347983,108082.68192976284,116538.45895647805,125405.27634406481,134662.19402919227,144262.6517799085,154157.2169501224,164297.76549175655,174621.91132986313,185032.3180949689,195433.2591595217,205736.75377044315,215838.26768395753,225596.8999377502,234885.2765935968,243595.37024656904,251605.66180288195,258771.76440398637,264981.17613591446,270155.800095361,274207.9379507432,277050.47150699893,278642.08497968694,278982.1590551055,278060.67276655685,275887.10705042834,272515.0185450595,268027.4784934724,262494.2082321866,256006.23447012476,248681.6834722599,240645.16300475175,232007.28615589437,222886.42616674735,213407.125659089,203684.66834204996,193822.2905703511,183917.24824553443,174057.65298101678,164316.94381643474,154765.30659401027,145465.5004233383,136462.0942803415,127781.4969869614,119446.1247225314,111485.98449112553,103917.10523608365,96741.38796586158,89950.87490623248,83548.42324490834,77533.63559637094,71895.53405049657,66613.06235561839,61671.427315362744,57063.12301472939,52774.23584845221,48784.816854509845,45072.45438715581,41625.46151823726,38431.601804179474,35474.96304243963,32736.026980132534,30197.625820440862,27850.286313339806,25682.81747714396,23682.124284866877,21833.221335364182,20123.395962511826,18545.36085460336,17090.93737885224,15750.911405653553,14515.033308583956,13373.0319790006,12319.291529573253,11348.621123710349,10455.230485672439,9632.806524999543,8874.51333651117,8173.972539064933,7527.968980280692,6933.244956044541,6386.249295715819,5883.1630397663175,5419.8994397803035,4992.1714231709575
E,1193.3295302997249,1114.6074793662265,1072.9819942294891,1055.198148584437,1052.750627420553,1060.207232077335,1074.036860974235,1092.0439103685826,1112.744239888075,1135.2597728898493,1158.9930506017106,1183.5290561919337,1208.6759924584578,1234.2633122268774,1260.1540229966677,1286.3146701402545,1312.7125712510465,1339.2994973879916,1366.0379786208894,1392.9313124462083,1419.9738994345878,1447.1544430748845,1474.4559633989402,1501.8687584556487,1529.392587565175,1557.0164000047994,1584.7313593939725,1612.5309255427546,1640.4108544518162,1668.371173916313,1696.4187001279186,1724.5250876512418,1752.6640154776478,1780.8193812484628,1808.985301254973,1837.166110438426,1865.3763623900263,1893.6436989717195,1921.979482496706,1950.3094336279364,1978.5714597928993,2006.7290995525914,2034.7715226015105,2062.7135297676627,2090.5955530125575,2118.4836554312124,2146.410612944796,2174.230369973212,2201.9263745587064,2755.547594996007,3231.6431650670756,3676.7916105222316,4127.824724535818,4595.687661717073,5092.127990785571,5625.139062970546,6202.376978655379,6828.690868755663,7508.755243464482,8246.962036262732,9046.883466494653,9912.23131028524,10846.794612459009,11853.214520798996,12933.696221911408,14090.455934439498,15325.146664760385,16637.004482563083,18024.779062715043,19487.274822984906,21021.68470397398,22620.929404376056,24277.309143181727,25983.188792062574,27728.41983501308,29496.823486638954,31272.25601985345,33039.64204890213,34780.895077163186,36471.50882731105,38089.04704077997,39614.15929433667,41025.01853432991,42295.704148719095,43405.710980770345,44340.42025493031,45083.5601211813,45618.977610612164,45938.613473780766,46041.640770919825,45925.705216408154,45591.98218720506,45049.58282162282,44312.97466528259,43394.289541791615,42309.49587224505,41079.482516470256,39726.32267560594,38269.47749794339,36729.80418900226,35129.30652777083,33488.28321922252,31824.70055656424,30155.47952400532,28495.965151707926,26858.896774804438,25256.196961391575,23698.474900179117,22193.228300154045,20744.848226989354,19356.94412855034,18034.329836104927,16779.46740144291,15592.417109080878,14471.561788326331,13417.116011601083,12428.757765041779,11504.394189981915,10640.246732254684,9833.615227180137,9083.049854777744,8386.043567332385,7739.096710742124,7138.317842901379,6581.6346220643645,6066.898760977102,5591.365700593656,5151.706397215631,4744.999556880179,4369.615638715068,4023.6502693607536,3704.8951433100033,3410.8402865239486,3139.360936957388,2889.232641732191,2659.0899570490524,2447.404038715435,2252.4826421455637,2072.6359013268234,1906.938171124209,1754.5351263239672,1614.4783158246835,1485.7377624055573,1367.2019627264108,1257.836459775653,1157.1194315238477,1064.5227981983958,979.4729473315856,901.3549071479558,829.5123465642955,763.2583409930246
F,2559.399699157758,2345.7921039583043,2218.305002354888,2146.865135358717,2111.9145458671314,2100.7832188559823,2105.126289269069,2119.661541921462,2140.7830362541677,2166.3047746471902,2194.7249078644372,2224.993915435185,2256.5964239549808,2289.087484573758,2322.1142390468676,2355.5748108517737,2389.3780937716183,2423.400525064939,2457.5465819162605,2491.8241036282134,2526.2233815014524,2560.7197023520453,2595.2733779917326,2629.8601458794474,2664.4890011159796,2699.1479305572475,2733.8257559566878,2768.512302949351,2803.1984010519045,2837.8794636362763,2872.569462141969,2907.2330421727024,2941.835684913475,2976.3566125669813,3010.788788353611,3045.138916511451,3079.427442296283,3113.692609692553,3147.9521529072777,3182.107372445199,3216.075823585039,3249.8097786859444,3283.2962271874812,3316.556875609639,3349.6481475528244,3382.661183697871,3415.642362937736,3448.3967584000834,3480.903998168785,4332.576550867373,5059.425613221925,5733.381274729666,6410.954877674083,7109.107120407539,7845.6345769037725,8632.407061109727,9480.630046704551,10397.088455201716,11388.193956679746,12459.833637418236,13616.553343544683,14863.049303617754,16204.075243405336,17642.58719143649,19180.858769100294,20821.158229515237,22564.89534960113,24409.930237038647,26353.455117154703,28392.79107692954,30522.97916405782,32733.015787667762,35011.17551626723,37345.99559837676,39722.626527048735,42117.964622155574,44509.26599331737,46875.59756027127,49192.141539533426,51425.55542064717,53545.753467082795,55527.28915117056,57341.66119493035,58955.14118687518,60341.67778797414,61483.49530455905,62360.75425114371,62953.93467640322,63254.43499360189,63263.358999126336,62979.686962426145,62407.00522554349,61559.211381179164,60457.06597103052,59118.06606920047,57564.52004649525,55824.85253549119,53928.769135823575,51902.48039387619,49773.75251339874,47571.5150512782,45322.32032886437,43049.77211937991,40775.908178609214,38520.46106215189,36299.644117239535,34128.92278842374,32022.00026196949,29988.333040165293,28033.138204412193,26160.77075716242,24377.41980423793,22686.074878313368,21086.536297464034,19576.40376645238,18155.812012278093,16824.19721082995,15578.652474704593,14414.042887536578,13326.703055010586,12314.647143922648,11374.48960456906,10501.535014763384,9690.577077540696,8938.831704592318,8243.415199046392,7600.656510902554,7006.112972276802,6455.885347943668,5947.786389563739,5479.265236284763,5047.369804469517,4648.749785820442,4280.565981284433,3941.171360921283,3628.7327479132064,3341.2014028299795,3076.313023628913,2831.8072313323173,2606.4363046188378,2399.047697055702,2208.364839424444,2033.0038173953872,1871.4733715276511,1722.3850139135152,1585.0306365378754,1458.6947349452482,1342.6019436507497,1235.922560576588,1137.772547052069,1047.2278314625041
G,533.8177170784079,498.81181191741405,482.4533878465633,478.05140883360247,481.3384538576653,489.6064012401145,501.1051958057402,514.7556100404826,529.8313705160261,545.907922818536,562.697902995025,580.002515896501,597.7332573362273,615.8103672479698,634.1696235974641,652.79783053989,671.681425691585,690.7986966884924,710.1329804106405,729.6875927273476,749.4611845111949,769.4494947311666,789.6453573405956,810.0451306764248,830.6496908404924,851.4544402158945,872.4558361335276,893.6514316462742,915.039875529004,936.6219946516726,958.402388671753,980.3666384007798,1002.5012890665098,1024.7982954413264,1047.2550218422405,1069.8742421308891,1092.6641397135365,1115.6403030342199,1138.8113438769383,1162.1348364282187,1185.5748789147563,1209.1104205886672,1232.7352617274857,1256.4580536341684,1280.3022986370895,1304.3063500900453,1328.4888669177287,1352.7636534864048,1377.1205204832802,1738.3633340925876,2052.951236129867,2351.2423986674876,2657.5624983755147,2979.1192485482334,3323.9733767209236,3697.8754483907956,4106.499399484528,4553.806751571879,5043.775673622052,5580.326030141141,6166.982094608696,6807.482287496647,7505.739691458329,8265.058909213212,9088.5767530262,9979.548170381004,10940.968106195513,11974.276700945933,13080.624805882468,14261.24124558833,15516.244857801219,16842.622791082267,18236.756125447606,19694.914238562025,21211.270426396106,22774.979071287748,24374.709332240647,25999.44522377374,27635.14368319269,29261.641588263286,30859.55196441452,32411.133074207955,33895.52130244144,35287.09781381754,36563.963624489545,37708.43784290166,38700.43171651251,39519.07679916484,40150.53588110775,40587.35076738156,40820.43175287548,40844.092736861785,40660.88904486788,40279.19931863002,39705.537102653034,38951.0833691947,38033.23432562924,36971.57724115922,35783.37609969952,34488.4068421909,33108.92840349192,31666.052558837793,30178.259821538322,28663.713317410926,27139.84063089249,25621.761510616925,24122.746419264095,22654.86826139695,21227.4874301931,19847.25375935805,18519.45084940526,17249.79597930808,16041.884931996921,14896.864537483958,13814.076737699601,12794.372542600822,11837.997978988655,10943.346508412904,10107.039360910396,9326.663371926585,8601.006451125855,7927.748521284588,7303.514673955755,6724.4883081083,6188.685777434918,5694.031951138499,5237.82084504477,4816.727525790171,4427.834748219607,4069.552533141935,3740.0012266338226,3436.981276722585,3157.975587492262,2900.861804919694,2664.4444213668567,2447.37921797392,2248.151618880204,2065.0766912241647,1896.4704298382294,1741.4332893913418,1599.1351071053393,1468.6484984537262,1348.9620035845396,1238.9800873203574,1137.685396852222,1044.58061132617,959.1588114083579,880.8667630620905,809.1092344533888,743.2489959509913,682.6175994005096
H,530.0896019903078,496.3136243223995,480.719590173461,476.69823826689395,480.0335488934694,488.0504873222845,499.02147657795183,511.88210709488965,525.9171280911967,540.7092639129079,555.9766800896545,571.5248333041709,587.2677445349898,603.127877692205,619.0428523838174,635.0003258796316,650.9874608803144,666.9833743337412,682.9721732184826,698.9573333236484,714.937667281851,730.9093062844215,746.8657069835017,762.803974690114,778.7251712573091,794.6248223141101,810.4997881635284,826.3483050785701,842.1699853022383,857.9668122959658,873.7438615508179,889.4876658577239,905.1859187549173,920.8317134713353,936.4235429266195,951.9652997311169,967.4662761858766,982.9425215542285,998.4009112544012,1013.8048909858372,1029.124244345866,1044.341794759005,1059.4534054769642,1074.467979578643,1089.4074599701307,1104.3068293847086,1119.1842713695826,1133.9672435626885,1148.6485787686393,1437.8326423789445,1686.4895714789875,1918.9215014303204,2154.3315468856854,2398.404232757781,2657.2366298297625,2934.960197949413,3235.524219193748,3561.4055328935665,3914.9821051096583,4298.476186473878,4713.66901642512,5162.406276454382,5646.565529440622,6167.405976879902,6725.945508188683,7323.201104988631,7959.8838770320035,8635.414328380653,9348.95550515298,10099.702154720102,10885.998673754637,11703.936555497721,12549.299917866187,13417.930107819593,14304.369623788132,15200.023481757795,16096.367980776671,16985.49641305377,17857.983673210027,18701.118521427266,19503.358496126588,20254.861196195965,20944.580930064374,21559.435754079812,22089.2503683105,22526.996205114523,22864.857895166362,23095.142021894364,23214.381781761884,23222.880078851842,23120.144677347893,22907.479916068925,22590.22804228844,22176.427490894166,21672.82991463478,21088.06106802953,20433.156322426945,19719.645433609592,18957.623258191343,18157.789776251433,17331.31456342391,16488.40775159001,15638.040090034061,14788.581681361371,13947.52917142043,13121.009524994173,12314.752319539904,11533.80823240666,10781.631616443403,10060.083098514551,9370.656886799781,8715.501720049082,8095.582933704019,7510.673725807042,6959.725213668904,6442.641074929856,5959.074439838043,5507.814682516192,5086.830459908486,4694.6509374980715,4330.443285090859,3992.865625093218,3680.1012415350265,3390.1554374870702,3121.941841278288,2874.3454433069537,2645.9695446257742,2435.1416337021933,2240.397452618403,2060.907806233237,1895.7151459669508,1743.7207362380614,1603.6857517730268,1474.5627529553833,1355.7411954310965,1246.545568645273,1146.225444211192,1053.9554759103032,968.914651314385,890.6489945615987,818.7396293901068,752.7248261563313,692.1060653626402,636.3480376573511,584.9536451460018,537.6690252953279,494.23790765370467,454.3836466519674,417.81120495325604,384.2071534530146,353.24470082993264
I,1167.1766487802622,1077.9372599719663,1027.7322507911317,1002.6843473207341,993.8343922111619,995.4242621082942,1003.6903501493208,1016.2748510701729,1031.5789128606789,1048.6476666208487,1066.8303006823387,1085.6751992864586,1104.9699382600895,1124.52908367758,1144.205583056349,1163.9640588739262,1183.7718323279373,1203.5803509088896,1223.3528072515126,1243.0979981706403,1262.8160985808588,1282.5003738807984,1302.137193608709,1321.7195208284288,1341.2550047684772,1360.741875366063,1380.1785399701157,1399.563658047422,1418.8961411826285,1438.1767354395456,1457.4145689363913,1476.5974372863047,1495.713264932504,1514.7557307968186,1533.7242682796873,1552.6240652601616,1571.466064095901,1590.2688636247417,1609.0431492456175,1627.7483273773087,1646.3505353858577,1664.8308888387378,1683.1854815048537,1701.4253853545424,1719.5766505595725,1737.6803054931447,1755.7579400372524,1773.7264500232297,1791.5781045295455,2232.2667580391044,2608.9427192106723,2958.8218855711375,3311.189403772108,3674.8280655957924,4059.0058399836053,4469.94689847946,4913.555128486737,5393.467770827665,5913.151441557643,6475.823539932157,7084.031241812462,7740.422507906158,8447.698452235589,9207.654015032642,10021.752679672112,10891.477918048951,11817.889830279648,12800.21296814979,13837.334347050624,14928.219808140735,16070.645383633124,17259.192248268053,18488.034879029536,19751.46034076852,21041.919709406193,22347.389861818683,23655.94612531193,24956.537455124853,26235.910174392167,27476.048156957888,28660.528158890265,29775.273723938582,30804.366152137845,31728.82171170734,32533.68698201773,33208.383290082595,33741.05063833743,34119.86886722756,34339.00558027931,34397.970369318005,34295.0799582006,34031.24136330119,33613.23989453001,33051.819937880384,32355.966922487467,31537.514174327705,30611.953287466436,29595.654262830285,28503.046217605355,27349.60219687298,26151.65284153229,24924.261837211092,23680.763872315572,22433.716812507682,21194.5040263534,19972.566401802498,18776.746527736017,17614.910270547385,16492.59971816356,15413.03681132396,14378.866364804218,13393.64065414493,12459.15668955565,11575.42069389272,10741.190000887087,9956.594274438065,9221.364837680903,8533.915064317845,7891.404038594441,7291.798817733678,6734.000060660664,6216.123016049809,5735.546466977469,5289.360256215063,4876.009589638627,4493.884072118852,4140.932234304764,3814.6703393699313,3512.9194539420814,3234.4602205963856,2977.8702714601864,2741.503412378227,2523.491302897216,2322.2524000790577,2136.8721951742914,1966.3324794323576,1809.495277531151,1665.1028475770086,1531.9002260586494,1409.1975972836071,1296.3579693310019,1192.675626043337,1097.3854649776604,1009.6629974055716,928.7412174811526,854.2310976043211,785.7391622628778,722.8389307194158,665.0739984509364,611.9580371488505,562.9826993570496
J,498.31994713315896,481.60413221618643,479.8578610009892,487.546555625451,501.21161308811367,518.7068950807957,538.6752478808429,560.3053273118363,583.06105766284,606.6438040729649,630.8559015634597,655.5629482228759,680.7144011392019,706.2613840545669,732.1638722708587,758.4198720268,785.0249075212532,811.9671455545106,839.2379842568375,866.8428090296658,894.782624766918,923.0564321094382,951.6612333399247,980.5970032909008,1009.8652308155555,1039.4623749011007,1069.3864387294122,1099.6370052313155,1130.2152370865874,1161.1249723510487,1192.3728998932006,1223.944235348247,1255.8255706331543,1288.009669811128,1320.4954690916186,1353.2880768303164,1386.3987735291512,1419.847449392175,1453.6465756919984,1487.7484403133712,1522.1127883886625,1556.7167332237188,1591.5547562978668,1626.6387072639116,1661.9978039481346,1697.678632350301,1733.7045593805976,1769.975754007498,1806.4817139352062,2290.1330304173816,2713.8616194453657,3118.3335582220643,3536.3627251989374,3977.6961811589235,4453.45653945195,4971.783043565758,5540.828238776829,6166.559228004993,6855.086451928849,7612.566215657172,8444.777593238308,9357.926946883375,10358.600081685532,11452.769632972622,12646.372230991246,13945.676501279744,15356.804890672474,16884.036832870293,18531.441789032342,20303.360841085127,22202.826910710308,24228.775532123986,26379.36214326943,28652.62965710889,31043.72444236551,33540.582729898226,36130.13462538892,38799.425514577924,41530.658691984354,44296.22659718308,47068.66994100293,49821.96743035774,52524.07207526433,55133.85103055209,57614.27046574376,59933.22477678589,62052.80862313599,63931.724391107935,65538.58158304861,66850.98952245286,67842.33638702176,68490.71581845605,68788.18055100588,68736.82571958737,68335.48880521167,67592.1867742158,66527.833256434,65168.907621375794,63538.49059789989,61666.55371119594,59590.484014956266,57347.31135940728,54969.3362287605,52490.398063571134,49945.458301713035,47366.6038086212,44780.67139114367,42212.93534983397,39685.118415232406,37215.387590596314,34818.169365546804,32506.814418697042,30291.509255960522,28177.928481466937,26168.15339175891,24266.11700877428,22474.45310412013,20792.103743729243,19214.450025251823,17738.274502234075,16362.418982424748,15083.450077217703,13895.705834482324,12792.48191603412,11770.53578892034,10826.374203006566,9955.140534812073,9150.636909819945,8407.402166936621,7722.623212885494,7092.854153908312,6513.940216544754,5981.022601694063,5490.015840600377,5038.7317003588005,4624.648455264741,4244.861456891381,3896.083134089655,3575.003127193604,3279.939098589427,3009.3391934735128,2761.431957635859,2534.2539429059398,2325.6497071527083,2133.6157506106997,1957.2354784830795,1795.5607619781013,1647.5374619868153,1512.0146162359956,1387.7444392881323,1273.4051013154735
