Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,299.2455807103003,338.8558856938451,360.09600273512154,368.90767581996977,369.39230309622957,364.3719541125778,355.80254585032026,345.0072804341855,332.9132848054119,320.13427760104094,307.0854612092918,294.0680294945014,281.2468042840379,268.7416895743671,256.6443342758702,244.98477097912624,233.7761210701014,223.03407338655592,212.76678950770832,202.955520653591,193.58242760183097,184.63429173906172,176.10240510825588,167.97214473606078,160.22042801166901,152.827713378761,145.77718296834612,139.0547425987629,132.64901595486526,126.54643149734534,120.72929592542759,115.1824105844845,109.89199236041449,104.84567367964218,100.03250250911815,95.44294235631924,91.06885925590673,86.90089571568971,82.92701113798223,79.13621911711056,75.51858561307586,72.0652289515542,68.76831982389656,65.62108128712889,62.617788763951864,59.75377004274145,57.02540527754819,54.43094628791139,51.961937692256754,49.606757952051595,47.355635008443805,45.20064641728429,43.1357193491269,41.15663058922851,39.26100653754899,37.448323208751084,35.71990623220061,34.07893085196636,32.531186396256544,31.102201202424126,29.7717982117971,28.50534520469693,27.276366594944548,26.066543429860356,24.86571339026421,23.671870790475488,22.491166578312974,21.33790833509494,20.234560275639257,19.21174324826288,18.30823473478283,17.588090329391164,17.079353598296436,16.64562255595037,16.173779555707934,15.58832754333116,14.85139005698923,13.96271122725826,12.959655777121661,11.917209021969853,10.947976869600264,10.202185820217558,9.864515199155557,9.930785093105046,10.110221681465092,10.169740499885656,9.961463953732373,9.422721318086795,8.576048737745941,7.529189227222895,6.475092670746262,5.691915822260448,5.533085688064992,5.861978575537762,6.249754163290647,6.463763255840543,6.36848394784239,5.925521624089093,5.193608959511771,4.3286059191790835,3.583499758298527,3.3084050222148145,3.5724205974643177,3.9178682832949705,4.152480214891021,4.161345274354689,3.905400573430967,3.4214314535075983,2.8220714856148215,2.295802470426216,2.106954438257607,2.3106834174724433,2.5761445936378973,2.762284816438077,2.7838961162106015,2.610792813086791,2.267811516991678,1.834811127643952,1.446672834556125,1.2933001170341532,1.4558190230257708,1.6908980830902645,1.8751010336557725,1.931766506008186,1.8282911624178604,1.5761296961396303,1.2307948314127064,0.8918573234609048,0.7029459584923371,0.8051114502261029,1.0416719265809742,1.2670371841824888,1.393164135191272,1.3728772748167952,1.1998686813174064,0.908698016000217,0.5747925232213116,0.3144470303852976,0.2846298976265427,0.3922671277444567,0.4576761820665841,0.5051645874884846,0.5361034798466775,0.5436244070511349,0.5280408017224619,0.4968479811919294,0.46472314750139654,0.45004115079883206,0.43829845510979637,0.4241298035661579,0.40862483682758033
B,146.43454681379833,176.35949166663266,194.60826623274244,204.9163069743582,209.83359720564718,211.09759185997683,209.90418086479897,207.05774632096265,203.12291149104607,198.47513729803114,193.37219437252864,188.00650594857416,182.48905467724424,176.905880396552,171.32741401928538,165.78722790509318,160.30919614307965,154.918446354475,149.63510293231573,144.4629859187254,139.40593841407966,134.46948403949926,129.66076198335784,124.9826907757771,120.43285434489326,116.01007939945714,111.71388730842699,107.54449410096854,103.50280784765131,99.58808257371206,95.79677084841506,92.12601457917054,88.57328986092158,85.13640697614414,81.8135103948471,78.60307877457218,75.50392400769631,72.51427782024888,69.63013712146385,66.8474905943976,64.16279291783921,61.57296476631053,59.07539281006597,56.66792971509285,54.348894143110975,52.11707075157315,49.97171019366466,47.9138514391062,45.93935750824578,44.04093412116576,42.212601759024466,40.44969579835818,38.748866511081125,37.1080790644856,35.52661352124184,34.00506483939801,32.54534287238029,31.150672368992883,29.826288365628145,28.59592179625096,27.443884235321,26.34129139065574,25.26618301994709,24.203522930761295,23.145198980539025,22.09002307659537,21.04373117611975,20.018983286175988,19.03536346370242,18.11937981551145,17.304464498290372,16.64845601914995,16.182997397854443,15.784350389327773,15.349315256582818,14.809075491984212,14.129197817248457,13.309632183443695,12.384711770990036,11.423152989659329,10.528055478575126,9.836902106212921,9.519144773330414,9.57967036798667,9.747935135785331,9.802735938357397,9.603714329191263,9.091356553632945,8.286993548885643,7.29280094401034,6.291799059925251,5.547852909406113,5.396384353871581,5.711625038058933,6.0844357613863655,6.28994637905167,6.197124665929324,5.768776316570406,5.061544945202843,4.225912085730766,3.506197191735744,3.240557636475229,3.496562630292197,3.832066177372253,4.0599019888531185,4.06818130114005,3.8188423312883657,3.34765027700344,2.76419731664044,2.251902609205155,2.0680122943529287,2.2663582969383484,2.5249196173604576,2.7061377856870172,2.726912676494439,2.55780254299192,2.2230240170214506,1.8004521090577565,1.4216202082084695,1.271720082213751,1.429789618189518,1.658502178695953,1.8376131696069302,1.892448929336722,1.7912547381203487,1.545194818013582,1.2083523328928518,0.877729388455467,0.6932470322193126,0.7922296332965715,1.021808031857675,1.240451361614093,1.3626451119253749,1.342572448132508,1.1741142115579475,0.8908489195055029,0.5660527652605468,0.31269961808957447,0.28327255425440706,0.38739861188191693,0.45055133792391205,0.49629510346538197,0.5259764060737011,0.5329580922873881,0.5175543504073933,0.48703071049712965,0.45560404438239843,0.4410695185306463,0.42939070638916227,0.4153748200440225,0.40007718508555795
C,527.8217276061271,580.1360185860518,606.0585433480267,614.2051056570278,610.5147556842134,599.0675605156939,582.6864352858354,563.2767702634308,542.1706381141325,520.2466773791854,498.0968525650645,476.1490872254589,454.6343881561638,433.7195251249461,413.53103846074373,394.1066426229105,375.4600082028401,357.60884243980684,340.56020922409465,324.2824421537068,308.74539139554975,293.9256995249776,279.8066423874185,266.36306827256624,253.55770541825063,241.35849493136374,229.73741233081898,218.6704675475524,208.13769668335692,198.1161219489741,188.57680295490877,179.4944448912098,170.8459412022398,162.61037358667528,154.76901199750648,147.30531464203776,140.20491004777756,133.45179006449834,127.02587730364374,120.90865778964357,115.08329892371995,109.53464948388705,104.24923962495112,99.21528087851063,94.42266615295593,89.86296973346994,85.52944728202732,81.41812591141502,77.51487676159445,73.80094723953562,70.26043372446398,66.88028176593718,63.65028608384495,60.563090568409365,57.614188280184656,54.80192145005707,52.12748147924525,49.594908939299934,47.21218492237686,45.01513850229269,42.97306300369118,41.03464509539276,39.16051266651726,37.3232348264839,35.507321905011196,33.709225452117124,31.937338238118958,30.211994253633346,28.565468709576482,27.041978037163396,25.697679887909324,24.622829444814126,23.85057376809765,23.18881438472568,22.478795968658112,21.61444633026716,20.542376416337568,19.261880310066214,17.824935231062668,16.336201535348806,14.953022715358768,13.885425399939303,13.390858590701349,13.44844790563686,13.65899283211079,13.709904045350907,13.402867612483098,12.653844992531708,11.493073036418913,10.065063986965562,8.628605478890407,7.556760538810509,7.3231127056263325,7.732468555374885,8.216421884890668,8.47546897437519,8.335264192372028,7.746619995766716,6.785506929787088,5.653053628002394,4.6755468123249795,4.304431293008187,4.623506924116081,5.042753947135172,5.323056033375661,5.321670257686547,4.99024106488741,4.3748002697683965,3.6157670570898857,2.9479479815835514,2.7005369679510043,2.9388734697836676,3.2511184230755714,3.4670635384236705,3.483977091963973,3.265560293241139,2.841947285208483,2.309705144227906,1.831833880070111,1.637766435914125,1.8233759965373473,2.0940438146938334,2.304578698279328,2.3649397759533475,2.2368823037370222,1.9339576650131047,1.521513370525856,1.1166930583813113,0.888436494046916,1.0018127197809037,1.270284478662988,1.525581262471906,1.6666623247285823,1.6394159059491749,1.436659233645111,1.0981385223229507,0.7105289734846362,0.40743477562696656,0.3691664570603895,0.48910290271175694,0.5609892402278115,0.6124120943078865,0.645023687216743,0.6511470333639569,0.6311933449844408,0.5936620321384795,0.5551407027116431,0.5363772587633931,0.5210406334018874,0.5030850160206068,0.4837373597619028
D,2965.525257880179,3292.884363706895,3459.5091939450695,3517.6528429735577,3503.387684600683,3441.531885041217,3349.2805102976895,3238.2588049702017,3116.6039950449067,2989.6935468708407,2861.1567685228542,2733.618972584159,2608.5051139141647,2486.844978780011,2369.420009980125,2256.4697574539655,2148.085453497733,2044.3813561449026,1945.4058415586123,1850.971243411156,1760.8984877170426,1675.0493844884095,1593.3256583402672,1515.5774607193162,1441.5817157713932,1371.146951398086,1304.10588883182,1240.3154426358649,1179.6566699122488,1121.9920745542145,1067.149280382834,1014.9782994510443,965.3419734165385,918.115973541765,873.1888006939267,830.4617853449838,789.8489753575138,751.2545986995829,714.5606802529327,679.6589367959342,646.4506858813844,614.8468458365073,584.7679357629522,556.144075536796,528.9149858085398,503.0299880031147,478.4480043198751,455.1432407201986,433.0340864364514,412.013909406434,391.9919525365335,372.89333477920115,354.6590511329511,337.24597264236183,320.62684639807543,304.79029553679675,289.74081924129507,275.4987927404032,262.1064544665941,249.75873313231722,238.28485369812955,227.40107934641006,216.88942968078578,206.5976807261319,196.43936492857148,186.3937711554759,176.50594469546436,166.88668725840404,157.71255697541133,149.22586839884767,141.73469250232708,135.7328196098449,131.39688521032355,127.67452248739964,123.69636741269221,118.8813724135333,112.93680637296909,105.8582546297577,97.92961897837235,89.72311766899901,82.0992854075364,76.20697335559785,73.45402011776447,73.71615158711447,74.81391337413174,75.04563895330111,73.33170481042117,69.21453044260613,62.85857835828251,55.05035407719358,47.19840613039529,41.333326060258365,40.03262537515168,42.226711528247094,44.82546947474857,46.205888262447736,45.42323131642332,42.2110364390408,36.98111580995399,30.82355598610047,25.506717901710505,23.47723686829582,25.186563148307687,27.437027869912647,28.937125527960646,28.91594980510121,27.112409255633708,23.775227305507304,19.662942252319137,16.0439072653201,14.696290385407426,15.971572768266293,17.645214582438342,18.800140607529638,18.882866051448946,17.69785113873916,15.40750111057748,12.53216622477493,9.950141755777548,8.897667994663818,9.890552690532523,11.341062198714742,12.46827610413072,12.787947042539699,12.094401360683474,10.460539116286402,8.237834078054801,6.056333725678398,4.824659249828337,5.430362732691186,6.8694901819396,8.237897118044364,8.992890956450918,8.843840742215145,7.7521771500035666,5.931392484092605,3.84704067836993,2.216737296331643,2.008963714580452,2.6511083515899525,3.03536630977701,3.3098199767329586,3.483356553414989,3.5147886699281474,3.4063326085049983,3.203608303505832,2.9956393414181894,2.8937738012346568,2.8103717758772118,2.712985752906688,2.6081969099548363
E,248.68517289112754,281.8103046775478,300.3867653668858,309.13339596562446,311.27690874910735,309.01805685924097,303.8714165191777,296.854427360063,288.67867489165127,279.81436149934814,270.5810266813147,261.21405689670775,251.84487208904093,242.57275048797587,233.47696866153967,224.58994110181342,215.9318712658927,207.52497692266388,199.3855233330426,191.5092430826802,183.89232642098048,176.53368567873332,169.43487125748933,162.59245023031258,155.9964797535239,149.63906841874922,143.51366711720792,137.61506903971306,131.9394059972393,126.48093973029408,121.23063269380134,116.18072371108596,111.32414523198779,106.65452333286152,102.16617771657675,97.85412171251812,93.71405848723359,89.74097652076942,85.92734377437407,82.26591732375687,78.75016236168617,75.37425219798914,72.13306825955175,69.02220009031899,66.03794535129454,63.177309820541275,60.438007393180634,57.819836395179884,55.31645367229434,52.917987953183754,50.616204725125954,48.404506385610816,46.27793224234023,44.2331585132282,42.26849832640076,40.3839017201959,38.58095564316376,36.86288395406651,35.23534612723363,33.72511760098109,32.31311379552487,30.965122027581756,29.655035844244658,28.364855022982518,27.084685571640374,25.81273972843939,24.555335961976752,23.326898971225717,22.149959685535766,21.05515526463209,20.081229098616546,19.29437372851122,18.728524556447464,18.241816261056474,17.71611836635713,17.072599768336648,16.271728734950667,15.313272906123014,14.236299293746088,13.11917428168056,12.079563625755375,11.274432453767995,10.897063134454942,10.948931689455966,11.12298525797101,11.170135477689463,10.932319042196113,10.342497700971373,9.424658259390817,8.293812578725827,7.155997576142999,6.308275224704441,6.128183470991828,6.471533490832859,6.879105710367311,7.100388171504205,6.989423772246106,6.504810266689038,5.709700265022743,4.771801233529986,3.963375494587906,3.661240226666309,3.9397184235510068,4.306114572445435,4.553448640310507,4.558012524528697,4.277746189130044,3.752237664792152,3.1027230488399016,2.5320865052463555,2.3248602646315932,2.540042891957331,2.8214734923681015,3.017870161600939,3.037853743442045,2.84905996883147,2.4781394558631207,2.0107577097847,1.5915951229978846,1.4243469750579203,1.5956350188535158,1.8443184109264155,2.038704412844901,2.0970275303308332,1.9845220504022891,1.7134220413735655,1.3429613528550763,0.9793736157535973,0.7758922422719321,0.8827956071942753,1.132367156522865,1.3700013623600382,1.502378575611774,1.4795028468896358,1.2947019265108064,0.9846272644979615,0.629254010579499,0.3518810141890562,0.3189251642004365,0.4317899889092395,0.5000163939902246,0.549279173473326,0.5810557424368019,0.5881270884903188,0.570841070378975,0.5371124179833355,0.5024227323193498,0.4861483063058907,0.4730092984194978,0.45735186904258085,0.4403239679380774
F,523.6357893732727,598.0218082642181,638.9973432891977,657.3272734110192,660.4322063939584,653.4126610905223,639.8019467022242,621.990270743719,601.6545407098887,579.9074490846269,557.5051724862024,535.000035025249,512.6990937086971,490.8292515826101,469.5668751878009,448.97732261994906,429.09542653483817,409.9600799543746,391.5960227020964,373.97934011242654,357.08719646091413,340.90415792295954,325.4219961430043,310.62128856134046,296.4672047352897,282.93061135824956,269.9865610152516,257.61429218296195,245.79721942848238,234.51458823832616,223.73810891423204,213.44341738205713,203.60833375878346,194.21286235251765,185.23919166249067,176.67169437905858,168.49690915182055,160.69937932168608,153.25857669651793,146.15544847739233,139.37273244711884,132.89495697024074,126.70844099303453,120.80129404351042,115.16341623141179,109.78649824821613,104.66402136713388,99.79304453663423,95.15835084511842,90.73864551314928,86.51599435789464,82.47582405295593,78.60692212836769,74.90143697059825,71.35487782254931,67.9661147835557,64.73737880938596,61.674261712242,58.78711447971765,56.12239731743223,53.643024475222944,51.28546843227675,49.00110770416495,46.756226842843226,44.53201643665163,42.324573110314624,40.144899524941,38.01890437802387,35.98740240344101,34.10611437145387,32.445667088709314,31.121505421135026,30.181101544083063,29.37864881234697,28.5105587264624,27.440885713049134,26.101327124811302,24.491223240536872,22.677557265098436,20.79495532945258,19.045686490639955,17.69966273178567,17.088095598442486,17.19170812284784,17.49390434271198,17.586398500287657,17.210171498651153,16.255470901702694,14.761810934165648,12.917972481587622,11.06200309033945,9.681216967615724,9.394380913132933,9.950807026436939,10.605637038479362,10.96320201436124,10.79314519723891,10.030422008323889,8.77530004688329,7.293359090238682,6.015491093768293,5.537900190904245,5.972744742537416,6.54079603661814,6.923820878299062,6.931806921952301,6.500351269701427,5.69066047142148,4.6895505247384985,3.8094468750309467,3.4883844154279013,3.814111452268074,4.238600581797858,4.534085789605595,4.56307956351604,4.2769887148644665,3.716114378496681,3.009652012768927,2.375691399548164,2.1212166442114526,2.3749739080643244,2.7429174710266837,3.029944530390674,3.1150356235732484,2.9467822996109883,2.5433871191601263,1.9926636544963772,1.4520364895153102,1.1485412197318445,1.3041832157281918,1.668750836659336,2.0155102854289546,2.2081680793645786,2.173729656557091,1.9024993758607776,1.4480805168931394,0.9273752800352318,0.5205847864309576,0.4709087274185324,0.6344847688089154,0.7330982098841001,0.8040285730105604,0.8494921091634295,0.8590944746350127,0.8333829654847645,0.7838465175393423,0.7329157063924846,0.7086498547142325,0.688957895899701,0.66566391751925,0.640429879777039
G,104.57884738718553,122.8352398810875,133.73167722975185,139.63929179519823,142.17512777422903,142.43959817629104,141.18894438295987,138.930688190101,136.02016586360105,132.69267776974195,129.1089300536006,125.38831188715245,121.59863793814169,117.79206769764158,114.01102831837328,110.2746969100015,106.59625741606366,102.98984934169953,99.46658423018665,96.02736433196108,92.67324189717107,89.40645455337815,86.23038360358838,83.1458300697078,80.15033798055843,77.24233164001276,74.42074547373848,71.68502402919862,69.0351202348673,66.46998192284484,63.986898946207035,61.58367333453165,59.25834218142527,57.009177644523106,54.83468694548909,52.73361237001597,50.70493022232902,48.74726288016513,46.85795224185957,45.03438054928335,43.274218164008495,41.57542356730808,39.93624336015619,38.35521226322802,36.8311531168997,35.36317688124858,33.950682636052875,32.594247366010876,31.291304664905724,30.03729192592334,28.828462314525733,27.66188485430818,26.535444426999245,25.447841772460805,24.39859348868805,23.388032031809402,22.417305716086616,21.48837871391476,20.604491657031698,19.781289137644,19.00882302972841,18.268408856062244,17.54584879457778,16.831431678362318,16.1199329956581,15.410614889862424,14.707226159527517,14.01800225836061,13.355665295223995,12.737424034134737,12.184973894265232,11.736990588209137,11.417035683786716,11.141893742947296,10.84193546003661,10.470742119544788,10.00510559610641,9.445028354500371,8.813723449650091,8.157614526623352,7.546335820632292,7.072732157033553,6.851570113309371,6.892280380914044,7.008920720303313,7.046446288266709,6.906457705529606,6.547201056753375,5.98356789053508,5.287095219407891,4.585965519840707,4.065006732238353,3.9593755117731932,4.186245435250706,4.455938340069606,4.60530809407544,4.539224102481741,4.2305713078699725,3.7202501901896987,3.11717676675813,2.5982825922609982,2.4085147587514593,2.5994195908078144,2.8506377756966277,3.0222365132943687,3.030473628512422,2.846766975296732,2.4976944366278047,2.06499392452051,1.6855633800246923,1.5514607732243906,1.7047150334342058,1.9047888786391631,2.045969317999185,2.0643408204628515,1.937198396084884,1.6830475960261462,1.3616045125536076,1.073795779040467,0.9617585699658671,1.0874670676979732,1.269151109857199,1.4120942112172927,1.4573919736269714,1.3799606848100492,1.18853731836544,0.9256795337670858,0.667765676364129,0.5249947773806736,0.6060965019965423,0.7922101430022581,0.969818612654432,1.0698374962646489,1.0552308726933497,0.9210113143498609,0.6942398871922989,0.4340261507277358,0.2315281580118537,0.20980016569087032,0.2956897723856222,0.34823824448484453,0.38671113202905133,0.41213053607872796,0.4189731005227518,0.4074490428188367,0.38350215399355997,0.35880979864230056,0.3480039026863612,0.33950190239955913,0.32902090178660676,0.31742918867383235
H,110.34136983748304,130.7370299199356,143.07854436636777,149.94249910053358,153.08681675579413,153.70876436235483,152.6322848148183,150.411622101534,147.4360858708652,143.96487803514725,140.1763312513021,136.20395996100387,132.12525807072404,128.00060547196145,123.87964978896505,119.78662608409616,115.73904652580734,111.75519775213577,107.84983016885201,104.02638974892008,100.28824412970361,96.6398091030097,93.08650435226905,89.63076733921145,86.27126675887588,83.0074446690659,79.83915867779771,76.76668194330048,73.79070148209959,70.91074528883686,68.12430397605061,65.42927155840735,62.82376681704032,60.306133299549316,57.874939320000685,55.528977958927456,53.26726719842722,51.08844912352047,48.98945331840008,46.967153254917356,45.018778767142976,43.14191605136691,41.33450766609844,39.594852532066234,37.921605932218235,36.31377951172179,34.77074127796354,33.29319620073031,31.877931922353387,30.519367933224416,29.212920549667132,27.955003014644113,26.74302549775682,25.57539509524555,24.451515829989518,23.371788651506684,22.33761143595393,21.351378986127045,20.41698912687964,19.551713179275588,18.743821874563242,17.97198321110502,17.219968765279653,16.47665369148217,15.7360167221239,14.997140167632514,14.264209916451946,13.546515435042448,12.858449767880659,12.219509537459283,11.654294944287702,11.204509439255265,10.891156010515134,10.625367035434238,10.333197627743505,9.965332035270817,9.497083639941067,8.928394957775993,8.28383763889444,7.612612467512159,6.988549361941814,6.510107374593124,6.2983901359656205,6.352316993344665,6.480593087482746,6.5290708471763805,6.399959658839856,6.051825866505382,5.499592771822806,4.8145406340599965,4.124306670102488,3.6128850544536677,3.5140249653421693,3.7365384596832487,3.997238294008173,4.143110084597267,4.085039655585978,3.7978130389648372,3.32011647457962,2.7545364101309064,2.267559501174923,2.0895726111224913,2.2651567016721468,2.493171378189609,2.648586659839965,2.6567126129531817,2.4921998235081166,2.1790393971325273,1.7905629591028815,1.4494426543449213,1.3276911474329463,1.4604575872859966,1.6325032568351217,1.7532701625043083,1.7680782318873791,1.6575856323282163,1.4377887709207584,1.1600222945089724,0.9109590896869583,0.8126102827987052,0.9165575827544963,1.0663165598618403,1.1835950445484247,1.2198052214592643,1.1542998896096706,0.9943724623852539,0.775256967541863,0.5601280472057298,0.4401009578732691,0.5044280895831497,0.6531156726226139,0.7946205489237937,0.8737798900861697,0.8610458350448584,0.7524854900706329,0.5697809287698476,0.3602291920845735,0.19674228829231472,0.17772561604054288,0.24491582126820804,0.2857149779689016,0.3152713706424692,0.3344685238420221,0.33906195757851004,0.32926462644801485,0.3097469196317718,0.289636660896121,0.2803554503960726,0.2729039057050275,0.2639526704781834,0.25417956040124806
I,248.59079266065527,285.7454953557769,306.7825817466685,316.8875143784353,319.6219801570446,317.4262952781125,311.98709582500425,304.4431460939065,295.5936962262288,285.96970216473244,275.93352678842206,265.7521278107002,255.57618096635244,245.51918241508022,235.67122436331937,226.0696733046778,216.73755197019264,207.6996830073164,198.97394064675643,190.5548935691459,182.43735124124052,174.61918522612098,167.10123692729107,159.87871916571933,152.93921874854786,146.27264708823537,139.87056004787146,133.72615794117698,127.83428133629951,122.18765762710451,116.7750236804587,111.58661350518612,106.61357256059303,101.8479577564681,97.28273745308212,92.91179146118833,88.72990569030591,84.73095971041832,80.90574500857923,77.24547136688628,73.74224624788513,70.38907479456954,67.17985983038105,64.10940185920936,61.173399065392026,58.36844731371487,55.69204014941142,53.14381399025392,50.71621099122998,48.39789171988029,46.17941591659114,44.05324265493172,42.01373034165394,40.05713671669261,38.18161885316536,36.387233157372556,34.67593536879744,33.05158056010611,31.52074387322116,30.111205806515308,28.801878389583713,27.556126450570723,26.345995685546473,25.152212658506848,23.964184801373488,22.780000413993857,21.606428664141127,20.458919587514238,19.361604087738034,18.347293936362753,17.457481772864977,16.759670435498712,16.281455502387693,15.879907871657238,15.436699905734155,14.872873196651446,14.148838566048411,13.264376065170387,12.258634974869157,11.210133805602636,10.236760297434879,9.495771420036313,9.179991452166135,9.276354551801157,9.485292226235423,9.57105627306904,9.38412795782946,8.861218013971737,8.025266642878055,6.9854435138583435,5.937147764149722,5.162007998916787,5.01752414170487,5.357092058622585,5.751511004863934,5.974209894168019,5.893326855447286,5.471709232787441,4.766913585447696,3.931205687860123,3.2115605296308924,2.9496623155387223,3.209043840043812,3.5432699317559564,3.7713442965618116,3.7852377519952185,3.5483858013476537,3.0956886336682263,2.533511123763419,2.0396828321978986,1.8634980052934755,2.054489865296996,2.300863604419302,2.473741434778405,2.495348515206831,2.3382228769124924,2.0252154234786803,1.6294899308640236,1.2745230474026397,1.1341042938037829,1.2809083850315477,1.4918361399083946,1.6568720171011342,1.707793463074437,1.6156319178302887,1.3906728149080032,1.082455581384129,0.7797736378726583,0.6106743985247436,0.7003048607079919,0.9074011922967681,1.1043297656179445,1.2144251963303092,1.196633024016641,1.0455097121837442,0.7912226482623382,0.49955014360725064,0.27188143349701754,0.24504771293691482,0.338133025419307,0.39462522663009975,0.4354849548483485,0.4619657957210441,0.4682330133757072,0.4545999496620168,0.4275280241518392,0.3996267341391616,0.38666807178073365,0.37624124588255003,0.3637543691877734,0.35014368010243013
J,100.42034369569556,116.28993011453846,126.07915503526885,131.75536710864625,134.64472226270658,135.63972552823103,135.3481911607209,134.17424830460322,132.40007603296178,130.211973157772,127.73778555155285,125.07420586568247,122.27726061440775,119.39171834839934,116.45548076485716,113.48817749492736,110.50508012789436,107.52229909361819,104.55350193579054,101.6042811266368,98.68026083708651,95.78767119017563,92.93331530183572,90.1217530940436,87.35489034732338,84.63504129356994,81.96461442516208,79.34611249496285,76.78213147479826,74.27437062345001,71.82305107385577,69.4285073850162,67.09109931800695,64.81121183597881,62.58925510415763,60.42566448984437,58.320902620759576,56.27522150769654,54.28748352084381,52.35632745348792,50.480597105988835,48.659341285779874,46.891813807367676,45.17747349233232,43.51598416932714,41.90721467407906,40.35123884938814,38.84960052646591,37.40038261302942,35.999179794730054,34.64245552120769,33.32754211338127,32.05264076344888,30.816821534887772,29.62002336245429,28.463054052183878,27.347590281391142,26.276177598669822,25.252797827237167,24.296941513573604,23.397446728894508,22.53237502960998,21.68511991000053,20.844406802217012,20.00429307628066,19.164168040083123,18.328752939386366,17.50810095782276,16.717597216895122,15.977958775976385,15.31523463231029,14.777338312214125,14.396783100508072,14.070233660438063,13.71092851659424,13.261071033315929,12.691829414691737,12.003336704559377,11.224690786505942,10.41395438386768,9.658155059730014,9.073285216927706,8.803075720366817,8.866226209972082,9.02697872608518,9.08543588676797,8.914725720810978,8.461001667733644,7.743442577783926,6.854252711938801,5.958661741903815,5.294924750113315,5.166365134553067,5.4713966968953835,5.833649542439009,6.037360517556822,5.956666047197627,5.555602134886075,4.888104362722894,4.09800789138428,3.4190474601230543,3.174857386767229,3.4359410274566997,3.778979761264997,4.01511301931817,4.031243215211472,3.7886925986790976,3.3232032555941666,2.744937107968478,2.2384759139533146,2.0628212678384084,2.276322588859215,2.5545176083819827,2.752136202241321,2.7813017583403985,2.6107490598874223,2.265824285395645,1.8284850086833142,1.4373001988738345,1.2874502203953913,1.4652430422916294,1.7214408635378742,1.9237663858435228,1.9898823555794867,1.8846974867508959,1.6203664609970965,1.2562899275915587,0.899114503442108,0.7027327730906011,0.8195291997688641,1.0849770843255189,1.3386211328010131,1.4823515052088865,1.4635524304805934,1.275102206465543,0.9553731999309671,0.5882318465621567,0.3030386509619661,0.27443187277997416,0.39838472667370334,0.47474228161152526,0.5310889728456738,0.5688118522422598,0.5799085738437246,0.5646352180969195,0.5315062918531422,0.4972947283680512,0.4830320649461907,0.47203025771573837,0.45812095935976743,0.4425532868484375
