Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,36.17318915987383,44.12949660160984,52.82646351742912,61.88711121159712,71.05745236977853,80.1687068966519,89.10948528636023,97.81009033960919,106.22660153626448,114.33533808653003,122.12515579510571,129.59178121419814,136.73935526098143,143.57431294410722,150.1042866433374,156.3403816717856,162.29420750910097,167.97660157473297,173.398328906397,178.5713988050755,183.507239738529,188.2164936087752,192.70902401361448,196.99465511187847,201.0833058938252,204.98426242587533,208.70627336493624,212.25754995840208,215.645766565241,218.87844290355653,221.96299267010284,224.9063415784474,227.71507824834597,230.39545420574245,232.95338388276926,235.3944446177468,237.72387848420277,239.94683759797869,242.06833801151686,244.09309155917228,246.0255901037762,247.87010553663586,249.6306897775346,251.31117477473188,252.91517250496338,254.44607497344055,255.90705421385113,257.30104593337177,258.63123463370704,259.90084823658344,261.1129042288276,262.27020965603583,263.3753611225748,264.4307447915808,265.4385363849602,266.4007011833893,267.31899402631416,268.19495931195104,269.0298797390054,269.8236195148249,270.5790095446007,271.29978988739464,271.989099593556,272.64947670472134,273.2828582538148,273.89058026504796,274.4733777539196,275.0313847272162,275.5641341830115,276.07055811066687,276.5489874908307,276.99598511623213,277.4104849087957,277.80255091515363,278.1806383261042,278.550618980528,278.9157813653877,279.2768306157286,279.63188851467805,279.9764934934459,280.30360063132406,280.603581655687,280.86443907435046,281.08695489377106,281.29137492180223,281.4940146408389,281.7053781918449,281.9301583743526,282.16723664646315,282.4096831248464,282.64475658474083,282.8539044599538,283.01343791273007,283.1329561064872,283.24193696924533,283.35651340088396,283.4861948785237,283.63386745652593,283.79579376649355,283.9616130172703,284.11434099494096,284.23037006283164,284.3052036915524,284.3702026607527,284.43866376493617,284.5186047560878,284.61286697747244,284.7191153636346,284.82983844039836,284.9323483248675,285.00878072542565,285.05551356570874,285.0952275356022,285.1376714959389,285.1887802510168,285.2507305990695,285.32194133226636,285.39707323671223,285.4670290924475,285.51895367344827,285.54740333505964,285.5690628152649,285.5924417090423,285.62285364459433,285.6626014952678,285.71097737955324,285.76426266108564,285.81572794864405,285.85563309615173,285.8744095026477,285.88280726261786,285.8908243271952,285.90452738127306,285.92718944058726,285.9592898517161,285.99851429208036,286.0397547699431,286.07510962440983,286.0938967808815,286.10251230943453,286.11326635495755,286.1245327567148,286.13625096211007,286.1489219486943,286.1625545141573,286.1766652763271,286.19027867317044,286.20216508952416,286.2133406494597,286.2241957894465,286.2346787138132
B,10.39999999999999,14.49364256926507,19.1924126048633,24.25060200625634,29.501184247521497,34.831069358499406,40.16314113931168,45.446321238314404,50.64551847159107,55.73828293684194,60.71007160191882,65.5507807038922,70.25580409549818,74.82228362560689,79.24848573303821,83.53519380504817,87.68389699055702,91.69605547435835,95.573504488853,99.31919267908854,102.93608737492076,106.42704808411638,109.79483042882165,113.0424555832061,116.17329966898228,119.19063184447155,122.09763472002132,124.89740435800512,127.59295040813093,130.18733781313355,132.68379307324244,135.0854538399711,137.3953685828979,139.61649658966607,141.75170796598383,143.80378363562417,145.7754153453044,147.66926996723828,149.48812634411465,151.23470301868227,152.9116166563851,154.52138204536243,156.0664120964489,157.5490178431745,158.97140844176454,160.3356911711396,161.64387143291557,162.89779301370623,164.09960804440522,165.25160561728066,166.35592907738095,167.4145760145976,168.42939826366495,169.40210190416028,170.33424726050367,171.2272489019584,172.08237564263047,172.90075054146882,173.68330415215905,174.42968320378634,175.14217912827922,175.82393050563567,176.47756272120378,177.10518796568192,177.70840523511845,178.28830033091205,178.84544585981158,179.37990123391597,179.89121267067438,180.37841319288606,180.84002262870055,181.27283514274794,181.67539947008936,182.05697998720282,182.42539913174298,182.78607930004057,183.14204284710252,183.49391208661177,183.83990929092755,184.17585669108513,184.49517647679596,184.78889079644748,185.04578515389318,185.26593655511795,185.46853265890132,185.66935834370958,185.87857328785907,186.10071196951662,186.3346836666995,186.57377245727506,186.8056372189613,187.01231162932635,187.1708472331331,187.29024287572142,187.3992056199331,187.51366378261338,187.64300677381,187.79008509677394,187.9512103479586,188.11615521702063,188.2681534868192,188.3839000334165,188.458889921408,188.52408201369053,188.59271069878676,188.6727570601466,188.7670496835469,188.87326465709157,188.98392557121156,189.08640351866484,189.16291709453643,189.20984711864617,189.24976922705886,189.29240894875588,189.3436868681246,189.40577433715026,189.4770934754159,189.55231717010238,189.62236907598862,189.6744236154512,189.70305409217377,189.7249082593117,189.74846825860615,189.77903028949322,189.81888953955024,189.86734018449573,189.92067538818955,189.9721873026325,190.01216706796703,190.0310826621505,190.0396660395067,190.0478630436712,190.06170386953545,190.0844417928574,190.1165531702617,190.15573743923926,190.19691711814775,190.23223780621123,190.25108135763517,190.25980334820898,190.27063962905137,190.28197747972985,190.29375607286605,190.30647133426075,190.3201316887532,190.33425806022058,190.34788387157857,190.35979094522796,190.37098600003435,190.38185611246735,190.3923503012514
C,83.67501100004569,96.79611483668256,110.82193320119538,125.23652144468028,139.69405245278168,153.96642961970272,167.90473936466952,181.41751583289962,194.44870859278825,206.97003574965757,218.9703386119872,230.44775297296667,241.41186492723625,251.8752566400601,261.8520003742583,271.36081470397625,280.42096898601966,289.0505304607502,297.26733448531036,305.09080509008066,312.53944236260537,319.63054629357845,326.38022826525827,332.8044344288664,338.9191311451635,344.73931001361825,350.2791233504687,355.55188418872183,360.5700670107559,365.3458432147213,369.8911494314996,374.2171644277123,378.33452397132635,382.2533208316537,385.9831047793516,389.53288258642266,392.911120782193,396.12611006601634,399.1858877408134,402.0980031787824,404.8696487493927,407.5076598193835,410.01851475276464,412.4083349108164,414.6828846520892,416.84757133240413,418.9074453048524,420.8672087238567,422.73188349089406,424.50649618117944,426.1957504860061,427.8040272052504,429.3353842473734,430.7935566294193,432.1819564770169,433.5036730243782,434.76147261429963,435.95779869816107,437.0947032310054,438.172337723548,439.194896374011,440.1677723242923,441.0955175693175,441.98184295704056,442.8296181884422,443.6408718175319,444.4167912513461,445.15772274994947,445.863171426434,446.53180124691994,447.16143503055457,447.74763569396015,448.28952920001683,448.800584788683,449.29209178926527,449.77192274804827,450.244533428294,450.7109628102423,451.1688330911105,451.61234968509376,452.03230122336504,452.4160595540746,452.7479176793451,453.02996233671183,453.2884317863369,453.5439817419316,453.80992999230233,454.0922564013505,454.3896029080727,454.6932735265602,454.9872343459997,455.2481135306727,455.446081771358,455.59408426691016,455.7289071601276,455.87010795895355,456.0292224977702,456.20976493739767,456.40722776509506,456.6090817945602,456.794776165929,456.9357383457766,457.02689752559144,457.10626405779755,457.18938725304275,457.2856423829695,457.39835773228526,457.5248145987633,457.65624729324134,457.7778431396231,457.86874247487725,457.92495128400884,457.97298287333314,458.0238873797788,458.08439276496324,458.15697156772615,458.2398409041304,458.3269624674613,458.40804252822704,458.4685319341584,458.5024172230111,458.52865254754335,458.55662933061905,458.5922074018427,458.6379295332687,458.69302143940166,458.7533917771962,458.81163214605675,458.8570170878379,458.8790645436142,458.88977685904445,458.8999843229387,458.91621433191494,458.941989867669,458.97782949697375,459.02124737168026,459.06675322871666,459.1058523900888,459.12706000419803,459.13724181421964,459.1496343252345,459.16251472259376,459.1758168789558,459.19006952464986,459.20528233138054,459.2209459122275,459.23603182164544,459.24924382404504,459.261656036968,459.27368324901937,459.285273688473
D,365.9550620939966,434.31728295030007,507.9081888278562,583.8398607921068,660.1726838628367,735.6243211504366,809.3552344711353,880.8474867790566,949.7818535904861,1015.9949708615038,1079.4197805884046,1140.0417217227937,1197.9106060618067,1253.0933117428146,1305.6652890134037,1355.7281505264748,1403.3867325023684,1448.739231385735,1491.8826275655244,1532.9228668003632,1571.96077891196,1609.0905201071296,1644.399637601402,1677.974809887764,1709.9028411170866,1740.2651178931203,1769.1383865724667,1796.5947532645773,1822.7016879861385,1847.5250240910043,1871.1292456660112,1893.574623030509,1914.9184616911039,1935.2151023416616,1954.515920863303,1972.8693283244074,1990.3207866026394,2006.9148127849073,2022.6944010824145,2037.6998486810808,2051.969536940486,2065.539931393869,2078.445581748131,2090.71912188383,2102.391269855185,2113.4908278900725,2124.0446823900315,2134.0779045884397,2143.6170369330703,2152.68850426237,2161.317049352638,2169.525732883501,2177.335933437908,2184.7673475021375,2191.837989465791,2198.5641916217965,2204.960604166409,2211.040195199207,2216.8139064326665,2222.2830934186222,2227.4693836537344,2232.4003881895856,2237.0994586326965,2241.5856871445358,2245.873906441514,2249.974689794985,2253.894351031247,2257.6349445315404,2261.194265232051,2264.565848623907,2267.7389707531815,2270.691635101026,2273.4199795559107,2275.991673662806,2278.4634272765543,2280.874835401204,2283.2483781900037,2285.5894209454063,2287.886214119068,2290.109893311848,2292.2144792738086,2294.136877904215,2295.798612007424,2297.210942828327,2298.504910621186,2299.7833207883486,2301.112484129128,2302.5222168398027,2304.005840513617,2305.520182140778,2306.98557410846,2308.2858542007993,2309.2727626237142,2310.011245417604,2310.6839765080767,2311.387700500358,2312.1794943150912,2313.076767188337,2314.0572606715705,2315.0590486316873,2315.9805372509973,2316.680465027228,2317.1339895668434,2317.529097553701,2317.942368249449,2318.419978139484,2318.978330791698,2319.6040568564727,2320.2540140666824,2320.855287237693,2321.3051882673626,2321.5841812753165,2321.822820663398,2322.0753475997417,2322.37479035671,2322.73329361058,2323.142118441544,2323.571642333713,2323.971359175109,2324.2698792576734,2324.4377631867765,2324.568058353139,2324.7067499500245,2324.8825302136456,2325.1078533430205,2325.3789354999703,2325.6757548091227,2325.9620513579107,2326.185327196572,2326.2942959556035,2326.34777416841,2326.3987121067375,2326.4790068925877,2326.6058757476058,2326.781855993079,2326.994805049936,2327.217900438747,2327.409639779726,2327.5139103718057,2327.5642559955377,2327.625351837422,2327.688790342956,2327.754249705195,2327.82431156502,2327.8990246143026,2327.975904595906,2328.0499343036845,2328.1147897465535,2328.175714127866,2328.2347333907423,2328.291596667013
E,37.83545826927384,43.87451656656893,50.51327267960537,57.473028446404385,64.56576776072768,71.66570729570283,78.68858972681764,85.5801876196786,92.30467053613276,98.84070236755139,105.1759376613873,111.30298754144209,117.22063419264646,122.92947254463975,128.4311785392264,133.7301378963265,138.83134415994604,143.73953982574326,148.45969694904258,152.9978957525834,157.3600544358268,161.55179132683153,165.57842990239754,169.44545589295166,173.15861267798186,176.7233833914613,180.1450316995704,183.42860180069678,186.5789186509017,189.60078459991703,192.49907008853376,195.27843829787588,197.9433815152078,200.49822113393463,202.94710765360207,205.29402067989625,207.54276937985117,209.69710130275772,211.76079506852784,213.73749163756045,215.63068414839395,217.44371791770664,219.17979044031665,220.8419513891816,222.43310261539915,223.9559981482063,225.41324419498028,226.8072511080342,228.14071726853615,229.41644547612876,230.63706360316056,231.80502458707406,232.92260643040572,233.9919122007862,235.01487003094033,235.99323311868673,236.9285797269383,237.82231318370208,238.67561217625672,239.48827847326473,240.2629311012988,241.00307975982787,241.71167492332165,242.39110784125032,243.04321053808428,243.6692558132943,244.26995724135193,244.84546917172878,245.39538672889708,245.91874581232946,246.41402309649882,246.8778884346373,247.3089852573388,247.71718573560628,248.11082010862177,248.49567766434032,248.87500673949006,249.24951471957235,249.61736803886137,249.97419218040454,250.31307167602233,250.62455010630828,250.89681593728935,251.13021413934626,251.34493190519595,251.5574643393511,251.77843643148208,252.01260305641725,252.25884897414298,252.51018882980344,252.75376715370075,252.97085836129492,253.13754306609138,253.26337592575874,253.3782343953135,253.49859032111112,253.63415763041718,253.78789233140702,253.95599251316605,254.12789834568957,254.28629207988286,254.40709804756116,254.48572685551406,254.5541816164235,254.6260530886323,254.70953870443216,254.80754719590698,254.917698594933,255.0323242331785,255.13846674210376,255.21788005296156,255.26688695386073,255.30866417632902,255.35314729535577,255.40638580551067,255.47060048868747,255.5441834141032,255.62169793829878,255.6938787051388,255.7476316458114,255.77743696944245,255.8003044154345,255.82486472116366,255.85650677794598,255.89756711244212,255.94732988665706,256.00202689794025,256.05483757898554,256.09588899783137,256.1154946388448,256.12459010260693,256.13326947134857,256.1476476975692,256.17102429920203,256.20388335961337,256.2438935276032,256.2859080174045,256.32196460868397,256.3412990015205,256.3503538671544,256.3615348091823,256.3732102431476,256.38531886103016,256.3983627592403,256.412350914852,256.42679918560293,256.4407303098943,256.4529125292384,256.464364704672,256.4754789820147,256.4862043837861
F,49.92963715830219,62.57532033511673,76.50551872067945,91.09729375193022,105.92977490407853,120.72186206743805,135.28647550705,149.50482884774453,163.3003561117491,176.6297100513301,189.4702016001603,201.8105690124805,213.6535383035274,225.0058485973943,235.8764859470105,246.28037628066838,256.23354605884896,265.7510636352803,274.84815919158217,283.5423211862584,291.8503307635217,299.78791938255904,307.36978145101347,314.6107191173433,321.525867082005,328.12949073887523,334.4351134632175,340.4555166116804,346.2027402436744,351.68864157239483,356.9250273551752,361.9230216199204,366.69324740242683,371.2458267463827,375.5903807033678,379.73602933285355,383.69139401234247,387.464946033293,391.06503265066243,394.4995613792477,397.77608109907123,400.9017820553813,403.8834958586526,406.72769548458507,409.4404952741048,412.02765093336365,414.49455953373945,416.8462320332262,419.088143770201,421.2258599512105,423.2645869507811,425.2091723002964,427.0641046879978,428.83351395898495,430.5211711152145,432.1304883155017,433.66451887551943,435.125957267798,436.5170532931611,437.8376885146699,439.0927420900348,440.28861203127934,441.4306798125168,442.52331036994997,443.56985210187145,444.5726368686633,445.53297999279783,446.45118025883625,447.32651991343005,448.1572646653201,448.9406636853368,449.67104968655156,450.3468513855621,450.98489725005777,451.5993187293056,452.1999458222394,452.7923070774591,453.37762959323095,453.9528390174875,454.51055954782726,455.0391139315151,455.5225234654825,455.94090065242517,456.2962319114454,456.6218779506155,456.9444005215989,457.28091091977615,457.6390699842446,458.01708809781906,458.40372518703134,458.77829072213075,459.11064371708324,459.362314705287,459.54961129574696,459.7200933743633,459.89929251299,460.1022606859084,460.3335702698283,460.5873140438868,460.8471051896492,461.0860772911083,461.26688433468485,461.3827668003527,461.4833664717711,461.589175156288,461.7125451381708,461.85785425177806,462.0215058815574,462.1919289620476,462.34957797787723,462.46693296376486,462.5386534845038,462.59969443134366,462.6647173050698,462.742646386373,462.8367564143759,462.94467258663394,463.0583705591345,463.164176446298,463.24276682097667,463.28611586928275,463.3193693950375,463.3550527113566,463.40098083206027,463.4605421173939,463.53269827402755,463.61198435505656,463.68850876000096,463.7479532348058,463.77631209307356,463.78956433961184,463.8022036380905,463.82297475057186,463.8565961019972,463.9037597801848,463.9611315358316,464.0213507825126,464.0730305966813,464.10077680675954,464.11379201714374,464.1298145161604,464.14652817189597,464.1638432084069,464.182469153723,464.2024177041463,464.22300272424917,464.2428402468762,464.26018628519125,464.27648353169116,464.29228811684385,464.30752894949336
G,9.09999999999999,11.873351066960153,14.993410699197588,18.312002944634674,21.72881313322153,25.176332551020245,28.608921218956215,31.996751619130492,35.31968172688244,38.56521100762548,41.72559124429859,44.79571010455942,47.773736330208465,50.65883293952203,53.450776920835054,56.15081309101288,58.76055208062934,61.28152344584247,63.71542602835428,66.06458309030927,68.33127825807742,70.51768380048706,72.62586319235805,74.65800476118822,76.6164697958211,78.50352139710493,80.32134391708287,82.07204295899278,83.75764548252575,85.38019509710718,86.94180081266771,88.44449389999365,89.89024133227542,91.28094578510763,92.61844563648897,93.90451496682222,95.14086367697023,96.32918204379367,97.47119957017912,98.56859662151088,99.62299100290784,100.63593795922347,101.60893017504584,102.54339777469762,103.44070832223603,104.30216682145276,105.12901571587432,105.92239553694601,106.68360958756845,107.41403774553316,108.11497474598127,108.78763017673425,109.43312847829372,110.05250894384143,110.64672571923933,111.21664780302957,111.76305904643442,112.2866581533564,112.78803002730949,113.2669616267672,113.72482308611995,114.16350376733543,114.58458612896047,114.98934572612077,115.37875121052119,115.75346433044554,116.11383993075671,116.45992595289658,116.79146343488603,117.10788651132508,117.40832241339257,117.69079666612546,117.95427203797055,118.20448306576927,118.44628542312601,118.68304391859618,118.91663249568617,119.14743423285347,119.37434134350647,119.59475517600474,119.80458621365868,119.99825407472989,120.16876830940629,120.31580505748015,120.45148976182438,120.58598033183718,120.72581366283721,120.87390563606348,121.02955111867554,121.18842396375328,121.34257701029709,121.48044208322774,121.58723215596461,121.66840859317062,121.74263681280917,121.82051560744856,121.9082936800165,122.00786964380003,122.11679202244551,122.22825924995878,122.33111967070492,122.40987153940844,122.46135085150499,122.50614390904164,122.55332027463012,122.60835230216874,122.6731809020077,122.74621554094927,122.8223342422477,122.89288358560933,122.94567870719243,122.97811930296375,123.0056718703503,123.03518470237543,123.07082798255284,123.11413129126956,123.16398360578594,123.21663330023573,123.26568814562587,123.30211530983681,123.32200714428755,123.33705455661493,123.35337941806826,123.37480791269024,123.40299791295959,123.43743897979104,123.47545236253538,123.51219099897948,123.54063951534621,123.55387371960124,123.55954324973249,123.56495931908246,123.57458522249566,123.59082883641167,123.61404261886501,123.64252360948524,123.67251342949697,123.69819828171977,123.711718711351,123.71778945090445,123.72546977282225,123.7335483698581,123.74198249142145,123.75114805010324,123.76105240195194,123.77133434647371,123.7812641266322,123.7899216313333,123.79806686779395,123.80599098918691,123.81365410596852
H,8.89999999999999,12.011238621228085,15.535844054162984,19.302069533220326,23.193184080238588,27.130174168496335,31.05918769633616,34.94458979934884,38.76193870671127,42.49564809145826,46.13567858470561,49.67511446624012,53.11090270351967,56.441231421242925,59.665093524276415,62.78325779244701,65.79700078527082,68.70759169589424,71.51657283714151,74.22627442710274,76.83904646922389,79.35716681436901,81.7828438308346,84.11847124219538,86.36669547772259,88.53008617444964,90.61114663417833,92.61231382347911,94.53595845919646,96.38448164137598,98.16039898149428,99.86615934886441,101.50413835882817,103.07663837275645,104.58588849804876,106.0340445881337,107.4231892320535,108.755379669324,110.0327548253727,111.25740414524542,112.43133484428971,113.55647190815492,114.63465809279221,115.66765392445434,116.65713769969605,117.60470548537361,118.51187111864516,119.38002872367613,120.2108028260219,121.00591207877127,121.76696311105222,122.49545052238527,123.19275688268337,123.86015273225205,124.4987965817892,125.10973491238533,125.69390217552339,126.25212079307883,126.78506739861929,127.29249588581197,127.77609443778695,128.23816119365557,128.6806165116166,129.1050029689562,129.5124853620481,129.9038507063534,130.27950823642067,130.63948940588602,130.9834478874729,131.31065957299228,131.62002257334254,131.90923024529044,132.17736446669892,132.43104395539908,132.6758435578959,132.91562623609457,133.1525430673,133.38703324421755,133.61782407495232,133.84193098300972,134.0546575072952,134.2495953021141,134.41875906242157,134.56252536829527,134.69438753099442,134.8252821646631,134.9622465352349,135.10841856043302,135.26303680977023,135.42144050454874,135.57506951786038,135.71146437458657,135.81472118127843,135.8913279642539,135.96103310725454,136.03460338149083,136.11838242191251,136.21429072720878,136.319825659808,136.42806144587797,136.52764917532573,136.6028168017976,136.6506201473367,136.69200289422363,136.73574060300416,136.7871220173108,136.84801809995244,136.9168820329143,136.9887492173577,137.05523727362046,137.10454604121648,137.13433529180804,137.15958110814088,137.18663465921668,137.21936078924355,137.25917533660805,137.30504513387518,137.35348800778826,137.39857277926896,137.4319192634174,137.45001762703288,137.46375561278592,137.47860846326319,137.49799277321804,137.5233885315983,137.55433912154592,137.5884513203975,137.6213952996836,137.6469046251292,137.65883950480617,137.66416023153818,137.6692416096977,137.67793800807365,137.69232853729906,137.712717049851,137.73763214005072,137.7638271440634,137.78628013989845,137.79820236687834,137.80365337321095,137.81045431515145,137.81757857945897,137.8249863575028,137.8329920097781,137.84160028702678,137.85050633023738,137.85909567064505,137.8665940925138,137.8736409700885,137.8804822189121,137.88708550223512
I,25.41107527253837,31.952509827089663,39.190324567724545,46.79943482340644,54.55989220242969,62.32425675378056,69.99372975285252,77.50480638590271,84.81575810502832,91.90202136596248,98.74973347721352,105.35098657156567,111.70518714498982,117.81392429091235,123.68007783732057,129.30971940615964,134.70962301278175,139.88621951093063,144.84616336147332,149.59739200923255,154.14760238949967,158.50406902860092,162.67365007550902,166.66334762206804,170.48043783539157,174.13183351031554,177.62413100281273,180.96361022999207,184.15623497124983,187.2079110440362,190.12460043760242,192.91197413773403,195.5754654764532,198.12027013201896,200.5513461289273,202.8734138379108,205.09095680219443,207.208384121638,209.23012224882493,211.16040232722375,213.00326467608141,214.7625587904231,216.4419433410526,218.04488617455178,219.57466431328106,221.0343639553791,222.426880474763,223.7548910891351,225.02141529781028,226.2295682508373,227.38225542996656,228.48217264091258,229.53180601335401,230.53343200093357,231.4891173812582,232.40071925589896,233.26988505039105,234.0980525142337,234.88639649782613,235.63464326147005,236.34564814041676,237.0232173924114,237.6705320801439,238.2901480712484,238.88399603830376,239.4533814588332,239.9989846153045,240.52086059512985,241.01843929066598,241.49052539921416,241.93529842302001,242.34915883636114,242.73110384414144,243.09143185108107,243.43877518243062,243.77911791536403,244.1157958789784,244.4494966542939,244.77825957425398,245.0974757237251,245.39988793949698,245.67559081028247,245.91228394090743,246.11134290420384,246.2931742482024,246.47391624331718,246.66395202823878,246.86790960993466,247.0846618636489,247.30732653290238,247.52326622949272,247.7140884334942,247.8563352986206,247.96008953892996,248.05419597022393,248.1539962335714,248.26852498980006,248.4005099194963,248.54637172300534,248.69622412043117,248.83387385163638,248.93682067624255,249.0010539307563,249.05644276852502,249.11518562351097,249.18462891777594,249.26736701715686,249.3612422312662,249.45934481349167,249.55001296099636,249.61683281471878,249.65665408112915,249.69030242794042,249.72644129515095,249.77034056571392,249.823929065585,249.88579456372264,249.9511837720878,250.01200234564428,250.0568148823583,250.08089169414592,250.09910914688825,250.11883016824237,250.1446460965526,250.1785452227124,250.21991279016441,250.26553099490081,250.3095789854626,250.34363286294024,250.3594598077736,250.36647387047842,250.37317160046126,250.384672469071,250.40373771513288,250.4307703449484,250.46381513229548,250.49855861842806,250.5283291120768,250.544107869117,250.55128182003787,250.5602388318566,250.56962318676509,250.57938066030806,250.58992439580447,250.60125985850988,250.61298483561646,250.62428943625292,250.6341534932796,250.64341911831326,250.65241048867335,250.6610853227865
J,10.599999999999989,13.167867711446764,16.035381127070824,19.08313013395513,22.230276291041086,25.42211485790289,28.621157359367835,31.802287888697272,34.947874000167275,38.046207954403805,41.0892643959942,44.07106455929203,46.98823512062204,49.83824011511575,52.619111803480564,55.33011846932399,57.9709190762961,60.541242022532906,63.04107173219406,65.4709764310566,67.83160853932722,70.123653690824,72.34783234385756,74.50505129834161,76.59644266377624,78.62315306821094,80.58634654565029,82.48720453605404,84.3269259031067,86.1067687797544,87.82811571334624,89.49235789407936,91.10087346766137,92.65502753531011,94.15617215375397,95.60564633523163,97.00477572683607,98.35487677117655,99.65736701021923,100.9136683280791,102.12516133163011,103.29318535050527,104.41903843709663,105.50397736655528,106.54921763679134,107.55593346847404,108.52525780503157,109.4582167393537,110.3560444952217,111.22009853470675,112.05165340662086,112.85190074022012,113.62194924520476,114.36282471171916,115.0754700103518,115.76074509213532,116.41942698854649,117.0522098115062,117.6596700823825,118.24141799700035,118.79893944013303,119.33435648234381,119.8494377786188,120.34559856836678,120.82390067541948,121.2850525080312,121.72940905887931,122.15697190506378,122.56738920810749,122.95995571395609,123.33361275297796,123.68590759946355,124.01530786812309,124.3287811515931,124.6322442781177,124.92978550777447,125.22366453247447,125.51431247596231,125.80033189381606,126.07849677344738,126.3437525341013,126.58921602685645,126.80624808736975,126.99395064395765,127.1674595041108,127.33968380073158,127.51892392018905,127.70887150231908,127.90860944042412,128.11261188127347,128.310744225103,128.4882631256155,128.62631566916815,128.73148374754848,128.82772148171307,128.9288870093711,129.04314800004875,129.17298165508942,129.3151747076536,129.46082342271887,129.59533359707993,129.69842055934868,129.76577273763684,129.8243065766655,129.88614490418547,129.95860313074894,130.04427399725682,130.14102757495897,130.24201126545387,130.33564980068888,130.40564524296005,130.44840115858204,130.4845927204935,130.52355088189023,130.57095759830628,130.6288953376187,130.69584708004746,130.76669631815523,130.83272705684766,130.88162381337324,130.907975448684,130.9276841639407,130.9492353428774,130.97793529221983,131.0160821228561,131.06296574983662,131.11486789237415,131.16506207384379,131.2038136217829,131.2214786326913,131.22856676520064,131.23534296964223,131.24810274643997,131.27024202072965,131.30225714235885,131.34174488588712,131.38340245058575,131.41902746043792,131.43753174334717,131.4455763136323,131.45594332928914,131.4669059662767,131.47840591486474,131.49098209192596,131.5046457154712,131.51888030464903,131.5326416797461,131.54461298178285,131.55588112700332,131.56686130313352,131.57749483301788
