Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,730.5896571330849,891.7969592387905,1068.2403839710184,1252.3595497119443,1439.0371292384543,1624.8516589931892,1807.526912597445,1985.6206503209164,2158.2089419290796,2324.7758506336263,2485.0601041489986,2638.9422709709497,2786.474771866468,2927.7598539276228,3062.9274180929333,3192.179852302564,3315.732571629365,3433.788173284597,3546.5501523401745,3654.2490495026145,3757.105665486071,3855.3264952437103,3949.1038859907285,4038.630542032364,4124.102580822329,4205.704356823733,4283.61004826348,4357.9836571322585,4428.979019014836,4496.747277591187,4561.4384076129745,4623.193111518788,4682.145426121954,4738.422722610524,4792.145706547279,4843.428417869733,4892.378266543932,4939.101002202078,4983.700189370803,5026.273377020442,5066.913612143228,5105.709439753292,5142.744902886665,5178.09954260127,5211.848397976931,5244.062006115369,5274.806402140201,5304.14976591823,5332.1601144760725,5360.071555324683,5388.093599855245,5415.954222851434,5444.986811693071,5478.023457616478,5515.128113163208,5555.809192147933,5600.705515628611,5650.319719347201,5705.211637585534,5766.083830363007,5833.733827997181,5908.85032366707,5992.262972492822,6084.913724936028,6187.848048328622,6302.196684364916,6429.208630673554,6570.2894329680885,6727.001596101397,6901.064584065684,7094.374298130059,7308.998335063449,7547.217971654122,7811.590667783257,8104.950495503698,8430.408139039962,8791.400391049101,9191.631338538777,9635.113718431672,10126.351554920788,10670.34220364415,11272.57635168478,11939.056827037475,12676.227993804116,13490.807535484713,14390.267472424746,15382.889070020883,16477.762838721035,17684.78478469032,19014.180904580655,20476.296821688145,22082.461738595885,23845.069131737946,25777.576751399647,27894.247942983664,30208.480428102153,32733.81642159677,35484.69329439332,38476.44111804504,41725.12096230695,45244.81498893659,49047.92588992199,53146.86553974308,57554.03939146479,62281.456326409825,67336.60659527655,72723.76763570034,78445.93420607282,84504.77805982245,90898.77751107568,97619.2408089161,104654.70366547552,111991.70105780661,119614.19718289643,127499.0644585004,135619.20348580743,143946.3176746638,152450.66504448708,161097.60932544706,169849.77169458527,178670.45759810705,187523.5276827439,196370.9564409927,205174.8360644039,213899.83873541365,222513.0671015572,230982.59260824867,239279.05024492112,247376.4968229849,255252.25183117457,262886.337970042,270262.5661481699,277367.6961589876,284191.24696263403,290725.24080473953,296966.112391014,302912.93314739026,308565.88405618875,313926.2556203762,318997.7304142599,323787.4259639812,328302.8334882229,332551.8034045102,336542.74643188633,340285.9587234516,343792.3089927685,347072.2754318971,350135.95811248734,352994.206157138,355658.20674753,358138.5851425134
B,215.2039203606269,297.5363070836494,391.800660251596,493.18770040145813,598.417657852839,705.2616518279254,812.1936446348402,918.1974099586697,1022.5711876658457,1124.8622144125152,1224.7742804682682,1322.09997983611,1416.7409000234597,1508.6343065764247,1597.7407485114863,1684.0710563823388,1767.6508018842785,1848.50569339655,1926.6694137727927,2002.1981040232636,2075.1487530659742,2145.5765337512407,2213.534878579342,2279.0827161327584,2342.2863463148806,2403.210153080001,2461.916924652925,2518.4678535289727,2572.9225390879706,2625.3417885581634,2675.7898076270467,2724.3291336274033,2771.0205696423973,2815.923184505569,2859.09431280084,2900.589554862506,2940.4627772252948,2978.7674278055797,3015.5592074353012,3050.8926145567834,3084.82013872143,3117.39226058972,3148.657451931212,3178.6621756245413,3207.4508856574253,3235.066027126651,3261.5480362380918,3286.940429614014,3311.287649026194,3335.722040785514,3360.408256639631,3385.069575570819,3410.942972325021,3440.6789488102368,3474.3375212485853,3511.4661985978673,3552.677751458923,3598.460609813509,3649.3601292765834,3706.058696810572,3769.330919621531,3839.8525903174323,3918.4355464731793,4006.0008285663425,4103.570618494061,4212.251273250743,4333.264896976447,4467.9860028920875,4617.941908463512,4784.812735401512,4970.4506202655175,5176.875633467669,5406.31534113024,5661.265319488821,5944.489573386312,6259.020536272916,6608.206742695205,6995.656380671653,7425.276652408315,7901.449340433309,8429.032774182895,9013.36183000146,9660.265839629328,10375.999833022674,11167.083781860874,12040.763325391119,13005.062275173725,14068.782615082197,15241.500651178842,16533.109486690242,17953.620114392703,19513.986953533513,21226.184543813997,23103.207545389858,25158.823312641158,27405.976115574227,29857.754315720413,32528.10622022688,35431.83766424622,38584.458269930816,41999.6025011773,45689.31532184381,49665.66431332424,53940.72535868818,58526.211652397265,63429.55038406117,68655.12265685725,74206.10362114858,80084.4244434314,86288.98472342062,92811.84868351786,99642.42885198422,106768.21805098161,114174.240952164,121838.7026265407,129735.95316759929,137839.1332686504,146119.93430647755,154545.25584774817,163079.24559423773,171686.60589454358,180332.4703660905,188980.01717270142,197592.3895474074,206135.12862202903,214576.03302101733,222883.70198784216,231029.0955909593,238986.4549986444,246733.1530604709,254249.10173958287,261517.8170616089,268525.7123234826,275261.92192348064,281718.0210610731,287889.83443920664,293775.8069254427,299375.5349619205,304689.76653019415,309721.6091490161,314477.540532626,318964.47963303205,323189.74717032374,327161.25821000314,330888.8217341999,334382.8579932536,337653.43751367147,340710.2929166868,343563.93295235216,346225.23417557165,348704.5445551343
C,1938.8448411706513,2240.1147880589688,2562.3718644148594,2894.0044638963095,3227.195130976987,3556.7550532965224,3879.2664678182373,4192.599001138416,4495.419304845466,4787.02062091378,5067.085480152704,5335.511164447892,5592.457086564557,5838.156074743507,6072.880466672286,6297.011803658337,6510.949051083743,6715.069037975527,6909.7477109233805,7095.400442927183,7272.425446237104,7441.1969404855745,7602.065396341082,7755.37982664453,7901.492513574816,8040.7357874542695,8173.424483735092,8299.855942999326,8420.310026007124,8535.060616402228,8644.378191346657,8748.517374320549,8847.720891855837,8942.219573536238,9032.232351997263,9117.966262926197,9199.616502647454,9277.374494652246,9351.427211356198,9421.95100613924,9489.114046567449,9553.076314393078,9613.98960555453,9671.997530176377,9727.235512569348,9779.830791230328,9829.90241884237,9877.572587246177,9922.962850918597,9968.001526521797,10013.05731690833,10057.738527947222,10104.105081782698,10156.504732205001,10215.020015713042,10278.858421489447,10348.950074967253,10426.007858035602,10510.819503310764,10604.377285838078,10707.80518704864,10822.046909937988,10948.242504110338,11087.68300149879,11241.795539640965,11412.114402233054,11600.324984396511,11808.315533141611,12038.177691789038,12292.20649996991,12572.92145409372,12883.052418822776,13225.599383804514,13603.911168035651,14021.685933755363,14482.971186445271,14992.222025416053,15554.210178815636,16174.082100055322,16857.591510277627,17611.101944611615,18441.586752172872,19356.649088978666,20364.3941661491,21473.23162058122,22692.482806889035,24032.447026235102,25504.401526330643,27120.59227693376,28893.585200251273,30836.033298663457,32961.752794411215,35285.816826967246,37824.555453036395,40595.2230065442,43613.904174400894,46896.80984971489,50461.1846557728,54325.30213438513,58508.26685346246,63026.71956458844,67895.24296920108,73128.41642983744,78740.79483858478,84746.4417869454,91154.01821060356,97968.3848413203,105192.90924755715,112829.41676660211,120875.96765229729,129322.1793135166,138154.42450062215,147356.719794033,156910.04610410155,166787.00957209434,176955.50475684763,187381.91962628905,198030.83813622693,208860.96808023914,219827.64097354008,230886.8066867583,241994.8814811219,253105.87275864053,264173.7168893359,275155.22245255124,286009.9037138717,296698.25206256565,307183.63592790475,317433.4240653045,327418.8087065746,337114.1262667842,346498.1671677038,355553.31506181456,364265.33443138655,372623.04141421756,380620.5719318999,388255.35913087707,395526.3221898119,402433.8662765121,408981.3925364729,415176.5742206547,421027.69856567256,426543.6139721657,431733.9698334451,436610.8581038435,441187.2002497775,445475.5231291593,449487.9736639896,453237.7311977748,456738.48716906115,460003.3006679085
D,9743.42950671625,11576.732492134284,13553.516929124786,15597.036609215396,17655.5409719948,19694.617906153322,21691.551830600863,23632.135942088244,25507.439547995877,27312.6801379649,29045.655243589263,30705.588817187207,32293.44062191379,33810.65916002804,35258.95632230975,36640.76682208108,37958.6414740046,39214.984909582825,40412.1961665088,41552.93498341826,42639.74780566974,43675.02289909521,44660.99197612494,45599.878058197486,46493.92511801493,47345.24605048961,48155.83976130255,48927.59116690353,49662.271295851715,50361.61344839552,51027.327095178916,51661.017814868275,52264.21503778834,52838.37204592212,53384.86597291098,53904.99780405457,54399.99276099463,54871.05241265066,55319.3461706811,55745.97464643653,56151.987044233916,56538.38116135644,56906.10338805363,57256.048707541304,57589.06069600161,57905.93152258295,58207.40194940004,58494.228834069254,58767.16325746756,59037.79973021742,59308.38869761787,59576.597612879574,59854.77190577234,60168.953449035944,60519.60563070009,60901.925750266375,61321.42315859909,61782.29697060536,62289.184002769354,62847.935223420245,63465.179496242556,64146.45425567832,64898.45847408809,65728.7797737323,66645.80366654399,67658.54158988806,68776.89150286494,70011.94066652445,71375.9688070096,72882.44811555672,74546.16489947212,76383.14279821442,78410.99493746963,80649.37913298716,83120.00085541102,85846.61323028014,88855.35756936493,92174.2624034114,95833.58179262692,99867.13546739404,104312.32354516446,109210.12653045914,114605.22602453928,120545.34116925215,127080.09433705261,134264.5004050873,142159.351505585,150831.21702585684,160352.40093307098,170797.36787577087,182241.3970511112,194766.7583637994,208463.26378664066,223428.26736054034,239764.81623550016,257569.8638053804,276941.58309490455,297984.6299501445,320810.1219134635,345534.51702556584,372260.86047966644,401081.0203372071,432087.4658909799,465373.1609520715,501028.859965541,539114.6823339766,579669.1917017663,622722.5569568739,668296.2594532388,716389.9786600808,766953.9649043775,819918.9982222323,875201.3842511371,932698.8865262689,992258.7233712712,1.053698757564098e6,1.1168262148577808e6,1.1814358909535767e6,1.24728543648271e6,1.3141098636663822e6,1.3816456862392952e6,1.4496300381335737e6,1.5177829524339952e6,1.585821351267013e6,1.653477753227663e6,1.7204993461782245e6,1.7866369631344806e6,1.8516569460379004e6,1.9153493511122847e6,1.9775269557181473e6,2.0380204696352722e6,2.0966867452915732e6,2.15340511918821e6,2.208076237257486e6,2.2606196230044714e6,2.3109869309254773e6,2.3591509314212995e6,2.4050946664275583e6,2.4488114491459946e6,2.4903135831878595e6,2.529640136203169e6,2.5668351725085834e6,2.6019470822378965e6,2.6350300071819066e6,2.666154053778744e6,2.6953953085916936e6,2.722827976967601e6,2.7485244692865005e6,2.772564307703342e6,2.7950307993233944e6,2.816003709201303e6
E,1080.1702820813546,1237.8631432331922,1409.6941636555773,1588.8773492069233,1770.829919340308,1952.4852275138985,2131.791331203374,2307.4315040303395,2478.5412655561245,2644.6125571989205,2805.3590409179865,2960.617280281825,3110.375625995596,3254.667401169233,3393.5526048598826,3527.157565687989,3655.623263255728,3779.08388359368,3897.6785888449617,4011.5732763204746,4120.92916177382,4225.899186114924,4326.628140028818,4423.264102300298,4515.96090484172,4604.86520758067,4690.1175126435155,4771.852164355393,4850.1973552603895,4925.2802459067525,4997.2291017285825,5066.166411430292,5132.209980239798,5195.472929908508,5256.063698711338,5314.086041446686,5369.639044703771,5422.820156828715,5473.726936564071,5522.453027299994,5569.088218629345,5613.718446347693,5656.42579245331,5697.288485147183,5736.3808988330065,5773.773554117173,5809.533117808793,5843.729124012704,5876.431421158793,5909.124566855361,5942.045831858229,5974.85091919704,6009.147290066321,6048.364592863777,6092.573762627712,6141.173027386358,6194.9335021104525,6254.461757732238,6320.433196204822,6393.69534135482,6475.209982255657,6565.806170299009,6666.48214334736,6778.370193172272,6902.725685405219,7040.905185567581,7194.4055612199745,7364.908821286968,7554.282593613256,7764.580124963665,7998.062640320358,8257.194233432641,8544.691213279617,8863.594177601124,9217.26850617783,9609.404360831217,10044.073590977277,10525.664989114961,11058.932503929294,11649.203787959501,12302.382534075774,13024.948475479241,13823.979198546209,14707.077477929834,15682.18340390858,16758.11906057185,17944.65101204133,19252.49030247112,20693.289331348744,22279.124439273874,24022.263173508247,25936.13714059841,28035.43416613152,30336.09829473572,32855.048320185015,35608.33911271475,38612.28202046636,41884.29542557973,45442.90291189801,49307.55498846855,53495.625846291114,58022.735774754605,62904.64140997389,68157.22109354827,73796.03433898506,79831.67179064697,86271.19188641677,93120.26188849048,100383.11070481346,108060.36479190845,116144.44312958975,124624.4855862137,133487.18955628303,142716.1361744805,152286.43795250697,162168.24548596717,172329.91052263547,182737.68952673604,193351.58070561133,204127.747014969,215022.62402745517,225992.77479213267,236991.87013120312,247973.05067576104,258892.12043191516,269707.3879738335,280377.75750707224,290864.73959753074,301133.8528468322,311154.45217906544,320898.8733874614,330343.81422675005,339469.72864746395,348260.6269152225,356703.6480482939,364791.2398234206,372519.33845940966,379885.55307115486,386889.1656242599,393532.5679149691,399822.535682154,405766.62918144034,411373.0809764456,416651.032261219,421612.20911556465,426269.2771086618,430634.5568701619,434720.03841053933,438538.8396267679,442104.663077808,445430.60189909855
F,1282.3780272454046,1602.990730978295,1955.7698998642772,2325.203683347362,2700.779167926841,3075.449152268399,3444.504166129544,3804.936454402108,4154.795120146682,4492.96202505383,4818.839690402555,5132.121794147485,5432.855167666903,5721.191583739804,5997.343106338016,6261.673152670984,6514.575617200186,6756.422810182369,6987.593073340198,7208.523082181095,7419.633327840351,7621.318885131152,7813.949721551735,7997.89919451169,8173.550174898467,8341.264186456825,8501.384253619177,8654.234901505602,8800.122173776334,8939.347675389452,9072.21236423578,9199.000152925737,9319.98220490491,9435.416934454046,9545.550006689064,9650.614337561032,9750.830154176343,9846.41407436882,9937.57968612564,10024.52928631823,10107.456004044521,10186.543800628893,10261.967469622223,10333.89263680185,10402.475760171594,10467.86412996175,10530.195868629085,10589.613966644116,10646.261344923198,10702.595301850219,10759.0630555642,10815.143833447786,10873.472224270336,10939.627752914255,11013.717142643494,11094.73155775925,11183.879789336093,11282.094826057677,11390.409971664643,11510.12570568753,11642.716022853727,11789.42760936317,11951.765311843566,12131.43416367551,12330.320586631009,12550.455728749066,12794.073846348856,13063.680330143618,13362.05242291737,13692.23921952488,14057.591238634148,14461.745331762293,14908.70222943911,15402.931737191904,15949.37343274906,16553.436666040034,17221.080228908675,17958.699977130596,18773.204256376877,19672.322765923163,20664.60996642575,21759.445079921465,22967.06064202667,24298.394343410833,25764.821297817576,27378.96096750125,29154.76673580498,31107.525907160874,33253.850210900484,35610.84818240251,38195.80308474247,41027.60743837218,44126.89191801063,47516.025352644516,51218.68220460397,55257.08210622728,59653.68896531688,64432.43811367844,69618.73132417664,75239.17362698301,81317.17011452228,87873.44170892703,94928.78387815144,102504.04132766122,110619.47584209,119288.10537464365,128517.83319717934,138314.55572052448,148682.09576806283,159619.15432643757,171112.86702399395,183145.86123950797,195697.45977563,208742.74203413626,222245.1353153148,236161.40698324252,250446.08442318885,265051.04314630496,279919.8113310661,294990.99373994826,310203.870353858,325498.18908750225,340810.10060670186,356075.4130411685,371233.80557376397,386228.60124142637,401004.27311398555,415509.13818334165,429697.0607483321,443527.2095408054,456963.0222197861,469974.0598475674,482534.9456061196,494625.0765547812,506228.11579522974,517335.09123501467,527941.6964562299,538045.7769993624,547647.3303023635,556750.5618100364,565365.6526186666,573503.7186715108,581176.7076231731,588397.7296658821,595183.3500862507,601551.3371264135,607518.9357768559,613102.8879521957,618321.4128892266,623193.4745894177,627737.17139011
G,197.8981447300555,258.6359092123852,327.1154079729558,400.13937596677886,475.5348574113022,551.8308880381601,628.0246273891407,703.4520677350284,777.6572432217099,850.3487268933287,921.3380395312411,990.4945432505059,1057.7592087522087,1123.0958317547909,1186.4829245636306,1247.9318051364671,1307.4630328986061,1365.0968505039082,1420.8584294398343,1474.787454441966,1526.923888802785,1577.306324733112,1625.9720345554565,1672.9617690353582,1718.3208994152858,1762.093424579557,1804.3222412814412,1845.0491441431573,1884.3148274515017,1922.1607310891109,1958.6303602688074,1993.766062361079,2027.6090515902335,2060.199409034396,2091.576082625512,2121.7768871493413,2150.838504493333,2178.7972993621597,2205.6909884982783,2231.5564928531885,2256.4294336103494,2280.344132185181,2303.333610225065,2325.429589609342,2346.6624924493176,2367.06144108825,2386.6542581013655,2405.470674184117,2423.5409561330134,2441.740143786176,2460.1806670844035,2478.6359856761956,2498.066523787753,2520.5413685153176,2546.10970949415,2574.427429326168,2605.987310879782,2641.1875568259793,2680.475492138139,2724.4108622680305,2773.6306210351,2828.6993215659304,2890.295519383832,2959.1913497893397,3036.2466140668007,3122.3966222502263,3218.6802105800007,3326.270562108763,3446.475538984095,3580.737682448517,3730.653345232878,3897.9766972300504,4084.652027023963,4292.866550284422,4525.050790539931,4783.878579177676,5072.312793000932,5393.579326577664,5751.199115445069,6149.136834378636,6591.802618830548,7084.052064929655,7631.2067167184,8239.057804058064,8913.723957713008,9662.039513572381,10491.602859027229,11410.776432970542,12428.692249269654,13554.984719130185,14799.598827943984,16173.493503945734,17688.719077374877,19358.41728047588,21196.654946483894,23217.21491352226,25434.320637873214,27863.302171976433,30520.59941026249,33423.63954237005,36588.69680522369,40031.050726764835,43766.399371876745,47810.860385792694,52180.6307952536,56888.3636263706,61944.15945369103,67357.17783971259,73135.60038779904,79284.82042725029,85803.51577094752,92687.5028290834,99930.36803427173,107522.875444381,115448.18048752417,123684.62242244794,132208.40234171087,140993.31761396452,150006.87366245588,159212.25403257777,168572.15492443703,178048.66799297085,187600.30649228158,197184.12957164945,206759.08871128646,216285.9050630792,225725.0042704508,235038.52848647238,244192.1808246183,253155.08586209026,261898.65887284145,270397.98806827277,278631.8474595089,286582.5469307356,294235.3384793679,301580.1762238897,308610.5259096516,315321.7329742712,321711.0225021213,327778.6259258144,333528.9125982666,338967.2994904462,344100.023701486,348934.3466108927,353480.1213136373,357748.2532915297,361749.42948192055,365494.130362993,368994.02628733416,372261.4441401098,375308.2013190875
H,169.14035060365225,227.7659335167264,294.2619240913356,365.45774874421863,439.1891261852794,513.9820317760519,588.8234318004386,663.0345693000867,736.1427849636362,807.8388899847749,877.9167863868122,946.2292435417294,1012.7013124719398,1077.282434512314,1139.9384359591324,1200.6691198579967,1259.485026896473,1316.3979585129314,1371.4260064654613,1424.6028574672073,1475.963659154105,1525.5431991999938,1573.3759507257666,1619.500563692369,1663.9612243259658,1706.8013976794116,1748.0638734222805,1787.7907658408622,1826.0235149776095,1862.8044849516455,1898.1787831405939,1932.1907596920917,1964.88363445102,1996.2994969595072,2026.479306456928,2055.4628918799012,2083.2889495597024,2109.995800855681,2135.6237477386994,2160.212409433854,2183.7999164042753,2206.4229103511193,2228.1165442135743,2248.9144821688583,2268.848899632218,2287.9504832569282,2306.2484309342963,2323.7744017773175,2340.5608476986663,2357.3727657328986,2374.3286479993485,2391.2474773007198,2408.9616246625487,2429.2496519302194,2452.149583001076,2477.351919837456,2505.259748392663,2536.191413730152,2570.501361517129,2608.6336164317127,2651.0918078290742,2698.311219623738,2750.815252775,2809.197231255055,2874.114782383621,2946.2783718153,3026.471561688517,3115.574530778921,3214.564326156443,3324.5148631853003,3446.608587003946,3582.133083344818,3732.506959300814,3899.3178866287167,4084.3228614937784,4289.4482044697315,4516.819202517263,4768.7234521515875,5047.636513774217,5356.33257400625,5697.885679836649,6075.669738622217,6493.369591861934,6954.9361470323065,7464.486976280284,8026.596276573227,8646.327727228752,9329.234489914752,10081.35678698256,10908.935108950167,11818.2872191927,12816.327026705172,13910.612725008652,15109.346792150425,16421.222206751536,17854.42709883306,19417.250172941825,21118.531876455796,22967.66304984045,24974.48920172616,27147.700405448428,29495.00770417638,32024.155521568624,34742.91350134375,37658.843606595605,40776.83556587905,44099.87956221143,47630.219403608,51369.328623076566,55316.77912640457,59467.82924199483,63816.05227925936,68353.79456102019,73071.82641527764,77956.56554912045,82991.94222990594,88161.0772981357,93446.1292426061,98826.14783124735,104278.36066465784,109780.2993290987,115309.7217991949,120843.06581747344,126356.67706915743,131828.40255823926,137237.50217403276,142563.6886560802,147788.1421570459,152894.14243645003,157866.97398811224,162693.51890945082,167362.95056903915,171866.32006816438,176196.4452564923,180347.71567892496,184317.23908286347,188103.82845620054,191707.05961119145,195127.27116154623,198366.3283601437,201428.27127768067,204317.44576708964,207038.46940401598,209596.35462817005,211997.34745635826,214248.10023613798,216355.0470236571,218324.41112613786,220162.92630350002,221877.5716918612,223474.99003434798
I,556.5040905668149,698.7645653445924,856.2913795164942,1022.0969253530642,1191.4355030047368,1361.1102783309589,1528.9658281505242,1693.603906432437,1854.0954884619487,2009.882118240425,2160.637761388138,2306.1673357832988,2446.4352060670262,2581.45536215434,2711.272090904672,2836.000285663641,2955.7719789820794,3070.7136603719196,3180.9582558745983,3286.667762205213,3388.0003474091454,3485.1061342043786,3578.127324944551,3667.210073431317,3752.5075188735977,3834.165680181586,3912.3242571656424,3987.116630536292,4058.6698680109025,4127.110167267112,4192.565638811781,4255.15854302526,4315.006180864752,4372.220893864314,4426.910064134857,4479.176114364142,4529.116524742036,4576.827324713011,4622.405303750533,4665.943169688597,4707.529527385198,4747.2488787223165,4785.181622605927,4821.404054965998,4855.988368756485,4889.002653955343,4920.510897564511,4950.580834444599,4979.280960121957,5007.865754681825,5036.556464161877,5065.0806790702645,5094.788504290735,5128.544491899907,5166.4050311165365,5207.856541219872,5253.5258236820055,5303.899200913624,5359.515899677715,5421.053794220079,5489.281298504346,5564.8516076168635,5648.552486609317,5741.276646087825,5844.012256248054,5957.82419314005,6083.884688465798,6223.509037070909,6378.155975195565,6549.427680474529,6739.085868140021,6949.044686790018,7181.411182629192,7438.541195812416,7723.039733804309,8037.760971379235,8385.850997907653,8770.690551468324,9195.934770841623,9665.676744089342,10184.449318948304,10757.225102830336,11389.432163471465,12086.882146056358,12855.627733131862,13702.39007069229,14634.606652199785,15660.431318584377,16788.730233282313,18028.656537497216,19389.476335903022,20881.330154841526,22515.30277413272,24303.423227075004,26258.44034664469,28392.37373188711,30717.40379811272,33246.530508468,35993.57136890425,38973.02270757638,42197.727250008116,45679.136872850686,49428.7845920035,53458.2729460678,57778.93583278379,62398.2685569696,67321.05112667878,72551.00937840267,78090.77946514975,83940.25844603422,90093.1044590271,96540.5249207135,103271.92191756374,110274.38056062468,117528.61737279152,125011.66681899205,132699.2837540512,140565.71837147407,148580.57948875116,156710.68336634678,164923.13934169128,173185.2379380921,181462.1907644091,189718.91306463035,197922.38824416662,206041.5451825479,214045.84690455248,221906.78955619538,229598.9017674079,237099.61267591495,244388.63830973947,251449.01191563933,258266.56591231626,264829.7771009075,271129.463223985,277160.4492840689,282920.14447865903,288407.16824249533,293621.3502136817,298564.8327486955,303243.0315428484,307661.9028666609,311827.8734424116,315748.0200052122,319431.3239239691,322887.4375609015,326125.73282888235,329155.3121145302,331986.09507383493,334628.4153713613,337092.13524089777
J,254.58142248732776,314.82877066592846,382.09135919682905,453.64833643680606,527.6510957863231,602.8419320359632,678.3525397203906,753.594720423695,828.1500752909799,901.734941111771,974.1498709175731,1045.2427888061093,1114.921606718658,1183.1143668103603,1249.7631837352578,1314.8392136643147,1378.3235582281811,1440.2000106680216,1500.459192674051,1559.105847407752,1616.147526766575,1671.5933567948828,1725.4540713169413,1777.7452815258016,1828.4884380175831,1877.705921346201,1925.4209964687122,1971.6578127453104,2016.441403970362,2059.7984746445427,2101.7590887826454,2142.353929951899,2181.6135999075505,2219.568618592866,2256.2494241391305,2291.6863728656467,2325.909729980382,2358.949631357314,2390.838929672781,2421.610800769589,2451.297523064467,2479.9304775480614,2507.540147784942,2534.1561199135926,2559.8070826464245,2584.520827269761,2608.324247643849,2631.2468075815436,2653.3189068163183,2675.65428326718,2698.3762712005496,2721.1791201687265,2745.2938859703495,2773.3873856476425,2805.5265026011266,2841.279546647503,2881.299778205318,2926.1217389948606,2976.348593061678,3032.73443153429,3096.1386685192138,3167.3328003927454,3247.2437605819578,3336.9281785756953,3437.565261214933,3550.4419841775193,3676.992635404724,3818.8412728830126,3977.802184304805,4155.879887068491,4355.298087997927,4578.511016301743,4828.247185202172,5107.584236793084,5419.949494114475,5769.119961152452,6159.2901041794785,6595.052791213569,7081.443664152783,7624.148230288259,8229.504301015113,8904.501991832418,9656.816469732516,10494.864348872034,11427.604676133124,12465.077436288158,13618.4737990704,14900.136119174109,16323.573331342643,17903.199932847016,19654.0591488907,21592.802835476068,23737.809677688456,26109.1851896966,28728.5774543664,31617.66828910041,34799.09343871782,38297.42505399174,42139.18161138431,46352.67288094327,50965.172490863275,56003.06490247611,61493.85852123595,67466.20704766443,73949.4325604031,80968.37793599027,88544.69411116303,96699.12986634212,105451.48358340046,114817.85171522346,124804.57910030686,135413.77507256542,146644.18030355425,158490.20358377075,170934.11698613278,183950.06089583092,197508.04968066022,211573.5167245532,226100.61769723057,241035.01971448105,256320.20220263855,271897.2620273944,287699.5126298343,303655.8099808848,319696.78143374337,335754.66275927465,351759.22103412467,367641.3286065068,383337.23693247105,398788.4036050256,413938.8810758623,428737.78166020574,443140.7929818683,457110.0359481776,470612.6251149523,483622.93516346434,496121.94950274506,508094.7494403177,519530.51410008955,530423.8508871278,540776.6139925864,550593.4129872504,559880.8825808746,568647.9812231036,576908.7278835502,584679.5597843225,591976.8994480594,598817.1714825369,605219.3490356453,611203.9511745733,616790.8373581596
