Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,448390.49217366794,448294.21709754353,448189.246870346,448080.0491967121,447969.62905391585,447859.97940908885,447752.41270970064,447647.7479169661,447546.49954668,447448.9434879268,447355.20820266765,447265.34158238163,447179.2928456464,447096.9845328175,447018.325319658,446943.1833208962,446871.42089152214,446802.909479324,446737.5214220233,446675.11458481103,446615.5536567187,446558.7124938503,446504.47402310616,446452.72165282094,446403.3377086068,446356.2118895534,446311.2401575169,446268.32473711984,446227.3741098052,446188.2986209069,446151.0098393975,446115.42499944125,446081.4653038739,446049.05592420296,446018.1260006076,445988.60864193883,445960.44090514176,445933.5609822348,445907.90859198454,445883.42699630396,445860.06208514795,445837.7623765128,445816.4790164367,445796.1657789991,445776.7790663214,445758.27790856647,445740.6239639388,445723.77773726673,445707.6998915948,445643.4253988486,445578.7094814473,445514.2700498457,445446.8533261831,445369.498125736,445282.10243553366,445185.9417936893,445079.49615083175,444961.5862725915,444830.89816569164,444685.7724166569,444524.32267993933,444344.9419376996,444145.6872384742,443924.35333269835,443678.4971548938,443405.48178908904,443102.40165520494,442765.9995503743,442392.6657875434,441978.4381954724,441518.96752736525,441009.53031859396,440444.93909658014,439819.42231424944,439126.6235508076,438359.6015117408,437510.75003301795,436571.93516065984,435534.42128910765,434388.5472163578,433123.72259712504,431728.427942842,430190.20361593395,428495.98679613083,426632.3709857365,424584.8375598669,422337.68214619113,419874.0146249308,417175.8177577527,414225.43329254957,411005.81917874835,407499.2425844219,403687.2284057906,399550.5592672219,395070.0508158373,390230.6914950779,385019.33628917293,379423.78732394916,373432.83508243645,367036.63647959376,360232.6678437369,353024.7702323954,345419.83971248404,337427.9234106581,329062.8774498112,320349.3781762683,311319.51950108196,302008.4707870661,292454.50039444224,282701.22325573536,272801.8396894912,262810.75369731395,252781.73022489113,242768.424499775,232828.2506133076,223017.0375547882,213385.14846341798,203977.7308713831,194837.83535641286,186003.62127601745,177505.61151799382,169366.9934373258,161606.56119446713,154237.46457701613,147266.51215992944,140694.5947718774,134519.05673764664,128733.33751401221,123327.55000258663,118288.79459648307,113602.46985933943,109252.17541997078,105220.84844115138,101490.98299094109,98044.93587202589,94864.44703124416,91931.5526722685,89229.38081232988,86742.15130343803,84454.51079986992,82351.06889280802,80417.70294274937,78641.44083531052,77010.31809259138,75512.68748365797,74137.68710733602,72875.46562631466,71717.17093521256,70654.3874089312,69679.17691481432,68784.37734213653
B,439671.9190995545,439607.502149583,439535.46834484226,439459.21504721104,439381.0416244065,439302.4920013989,439224.60460576706,439148.05169298983,439073.2802619928,439000.5598022821,438930.04930797295,438861.84638129885,438795.9729220365,438732.42814114655,438671.1976196242,438612.23365558183,438555.480880077,438500.8868539847,438448.39623461396,438397.9400257039,438349.4511212957,438302.8660617443,438258.1249721403,438215.16592430306,438173.92374384566,438134.33639034344,438096.3444555751,438059.89116352325,438024.92236748844,437991.38407476485,437959.22138307185,437928.3818741743,437898.8151133088,437870.47264918225,437843.30801397323,437817.2767233311,437792.3362701477,437768.4447543562,437745.55988366524,437723.64098183933,437702.6490521022,437682.54677713616,437663.298519082,437644.8703195399,437627.2298995684,437610.34665968455,437594.1916798648,437578.73444000556,437563.94411209977,437504.5734129683,437444.5797611241,437384.6830324663,437321.78267716087,437249.2112874341,437166.87126038433,437075.9748575799,436975.04694436205,436862.9347729603,436738.3527303417,436599.6807102971,436445.07771608577,436272.96705240355,436081.4462424358,435868.3577503686,435631.31238404126,435367.73129425396,435074.7740514987,434749.2588848068,434387.66185265913,433986.11684298696,433540.3820627616,433045.8524400646,432497.47397674114,431889.62804898183,431216.130635298,430470.2323165221,429644.5419270569,428731.1595154979,427721.6054354676,426606.5096835351,425375.6085016088,424017.7443769361,422520.85602283163,420872.30606925517,419059.12706773495,417067.2859205955,414881.6138444963,412485.80637043115,409862.4798508377,406994.5968166158,403865.7056908251,400458.6906716203,396755.72323536786,392738.262136645,388387.79185955407,383689.76270026155,378631.38716328377,373200.76292094047,367386.91207697656,361180.1403707129,354577.69119958114,347582.84012471454,340201.7560561119,332443.59293914866,324321.1182107944,315857.4032590168,307082.61219755124,298029.8975010493,288735.4244083721,279240.5419258135,269595.8981490075,259853.45929174664,250064.76343254716,240281.43245132832,230558.94143582004,220951.49062904954,211508.2450867364,202273.57018635675,193290.0255764129,184595.6418518616,176221.17272998588,168190.37169646734,160522.80649019312,153232.5995519084,146327.651811273,139810.04318156667,133678.34238106522,127927.2234780174,122547.9671892371,117528.76586693688,112856.04952183015,108514.38397028364,104487.55205538764,100758.76818819741,97311.01586443961,94126.6208578784,91188.11558551052,88479.03323772417,85983.90780013023,83687.65309384256,81575.13049386477,79632.407863709,77846.66378846925,76206.05005761076,74699.01693786359,73314.77668927192,72043.53581531777,70876.48411184967,69805.23593000736,68821.87426939412,67919.25084720578
C,579392.3470195844,579216.3424643921,579028.1443980593,578834.7082958497,578640.6907781523,578449.1589096176,578262.1118304172,578080.7750324114,577905.8977575059,577737.8564817455,577576.7983066363,577422.7460775136,577275.569774227,577135.0996795752,577001.1464668988,576873.4590986534,576751.779478367,576635.8657276051,576525.4792303352,576420.3604138403,576320.2621458347,576224.9533244675,576134.218725129,576047.8453993584,575965.6202338014,575887.3430992867,575812.8250282713,575741.8882148423,575674.3660050636,575610.0958325161,575548.9182783427,575490.6839702728,575435.2507577161,575382.4837117636,575332.2551251862,575284.4445124357,575238.9385737617,575195.6264185993,575154.4004905656,575115.159682704,575077.8076508748,575042.2528137558,575008.4083528421,574976.1922124462,574945.5270996979,574916.3404845442,574888.5645997496,574862.1302034191,574836.968616087,574736.8683244626,574636.4934172664,574536.8283007335,574433.0497348057,574314.9152509716,574182.3014957289,574037.1594727442,573877.3584784726,573701.2867045024,573507.1617065821,573292.7239432735,573055.4098962749,572793.0941146989,572503.1990560506,572182.8058903568,571828.6931499309,571437.403479516,571005.1468891314,570527.6923828557,570000.3668587237,569418.0551087279,568775.1656227352,568065.6637570115,567282.947163286,566419.7003756773,565467.8939019104,564418.7842233183,563262.8251427176,561989.8721414242,560589.0783807689,559048.4935320969,557355.0595087474,555494.6104660548,553451.866145429,551210.9229764666,548755.5452789927,546068.2065472517,543130.0035470584,539920.6563157995,536418.585769279,532602.8112693598,528453.2127749064,523948.8999358561,519068.15544310363,513788.4350285024,508087.3098058841,501947.4659773709,495353.82910617953,488292.4337961287,480750.4738889479,472716.7497798538,464188.6948250639,455171.1734961902,445672.53463359765,435704.72447734186,425284.0636824421,414439.4820815003,403208.5159616369,391632.2698739161,379755.449512564,367629.05436605366,355315.44677147333,342878.59635681607,330381.97968828917,317889.2191161322,305468.76188942394,293187.6132856834,281106.7683379226,269281.50209457934,257765.03080592456,246605.16586941373,235840.9257976705,225502.8663134083,215616.45954894053,206200.51524888584,197266.18579611563,188817.4443895772,180853.84713014457,173370.03797410132,166356.34970954794,159799.17422093326,153682.5584513612,147988.06626301975,142696.14728592406,137786.40346133593,133238.01112439798,129029.15352248111,125138.15396642311,121544.4982428078,118228.83464181334,115172.18869696293,112355.42279104516,109760.86492793541,107372.19808637946,105174.28815363736,103152.32594530696,101292.43363109935,99581.98101406622,98009.5718680943,96564.3252441085,95235.9423542881,94015.1015877776
D,3.581943655972078e6,3.5808834874187093e6,3.5797422315103277e6,3.5785646548039285e6,3.5773807950554173e6,3.576210490771558e6,3.575066716905784e6,3.57395746969997e6,3.5728876732717385e6,3.5718598451740555e6,3.570875018363288e6,3.56993341770286e6,3.5690342778383596e6,3.568176572009224e6,3.5673591423967206e6,3.5665804298357586e6,3.565838826346956e6,3.5651328260438237e6,3.5644609417965296e6,3.563821549224512e6,3.5632131024374017e6,3.5626341575542064e6,3.5620833717135997e6,3.5615594152693064e6,3.561060956508258e6,3.560586746391887e6,3.560135606667937e6,3.559706429870458e6,3.5592981792569333e6,3.558909843201206e6,3.5585404302636296e6,3.558189013079549e6,3.557854709619688e6,3.5575366831901413e6,3.557234142432383e6,3.556946341323258e6,3.5566725789409894e6,3.5564121690679737e6,3.5561644479651926e6,3.555928792844098e6,3.555704610395752e6,3.5554913367908206e6,3.555288437679579e6,3.5550954081919095e6,3.5549117729372997e6,3.554737086004847e6,3.5545709309632536e6,3.5544128839055276e6,3.5542625252124616e6,3.553664881897697e6,3.553066058704106e6,3.5524718016648465e6,3.5518535495808953e6,3.5511507302423315e6,3.5503626261766707e6,3.549500824652294e6,3.5485528026289633e6,3.547509118627568e6,3.5463593390494706e6,3.545090227189048e6,3.543686766072768e6,3.542136543538563e6,3.540424495717311e6,3.538533562504635e6,3.5364449176468416e6,3.5341383607281847e6,3.5315917469777176e6,3.5287803543235776e6,3.5256768769975468e6,3.522251425535057e6,3.518471326369527e6,3.5143013017201787e6,3.5097027379330886e6,3.5046328403915344e6,3.4990446282326956e6,3.4928869343476593e6,3.4861038777471e6,3.478635988342156e6,3.4704195996419084e6,3.461384522029639e6,3.451454017880642e6,3.440544801562225e6,3.4285669839315005e6,3.415426711426648e6,3.4010278580991114e6,3.385266482659941e6,3.3680303192158067e6,3.349198777269e6,3.3286433623716054e6,3.306238214630504e6,3.281861660559569e6,3.2553868559207655e6,3.22668142729592e6,3.195607472086714e6,3.1620268753834185e6,3.125829617812037e6,3.0869176116958996e6,3.0451982621519854e6,3.0005847481324296e6,2.9529986088524517e6,2.9024102767589544e6,2.848832531801186e6,2.792298287550527e6,2.7328612840363355e6,2.6706007066833796e6,2.605669953063426e6,2.53827402839195e6,2.4686408850712385e6,2.3970216747701433e6,2.3237071081554717e6,2.2490587134461356e6,2.173451493310467e6,2.097261685552976e6,2.0208706001052218e6,1.9446932849705773e6,1.8691409123777607e6,1.7945926462862084e6,1.7213972738173294e6,1.6498949218411667e6,1.5803962415898151e6,1.5131602765651143e6,1.4483962343237803e6,1.3862834837833743e6,1.3269611202834535e6,1.2705204014194754e6,1.2170075150818622e6,1.1664405117527233e6,1.1188057095374218e6,1.074060551494069e6,1.0321358701547813e6,992946.2985468495,956389.2849784722,922353.2549530525,890719.2694660978,861364.1293320863,834157.3218689818,808967.8062742816,785670.6227589626,764146.8927350331,744279.2942835076,725948.9911449031,709045.6385180949,693466.9448166988,679117.6355341944,665904.1349788628,653738.4502081565,642540.3260064499,632237.1622757151,622759.4409090143,614041.2179760769,606022.7015801801
E,566073.827967888,565969.8040666946,565856.732257505,565739.1591224096,565620.1422765825,565501.7140004113,565385.2202651291,565271.5103149371,565161.1284028649,565054.3791950982,564951.4192680422,564852.3241737294,564757.0691448208,564665.6014270635,564577.8527346964,564493.7122973131,564413.0617566545,564335.7896845703,564261.7834729411,564190.9143878248,564123.0587379455,564058.1001407618,563995.9294323878,563936.4365980406,563879.5092580103,563825.0411108021,563772.9310160752,563723.0829946431,563675.4062236219,563629.8112300502,563586.2088781928,563544.5147878609,563504.6481579612,563466.5317664974,563430.0919705691,563395.2587063718,563361.965474792,563330.1470251929,563299.7388652225,563270.6795820394,563242.9104263893,563216.3753126066,563191.020818613,563166.7961859186,563143.6533196215,563121.5467884074,563100.4338245502,563080.2701453104,563061.0114730371,562983.9410667076,562906.2659988161,562828.8613174132,562747.8074139201,562654.7089946448,562549.4492184789,562433.5763817518,562305.2669006379,562163.1089363832,562005.5314319691,561830.5509923754,561635.9145435669,561419.7091919658,561179.6231137858,560913.0349818314,560617.044115815,560288.5232556802,559924.0304913099,559519.7124032332,559071.3030646883,558574.1240416236,558023.045215953,557412.4997563824,556736.3781653963,555987.8902088681,555159.5640030714,554243.2460146792,553230.0087511718,552110.3030007858,550873.8703890827,549509.3721330643,548004.3849745628,546345.4011802403,544517.8142622034,542506.2803549366,540295.0085425947,537866.88401757,535203.3829623973,532284.5725497553,529089.1734798163,525596.18096832,521785.1498059348,517634.7191078066,513122.5496378519,508225.3238087559,502919.5980767292,497186.36514532013,491008.51839648973,484369.8301968941,477254.9968971556,469650.06468778115,461549.1104185557,452953.2402201086,443866.9892682781,434298.43854159245,424259.98328518344,413776.4743277879,402881.51742002,391612.70711662906,380011.66783661017,368126.77113742026,356018.3717701761,343749.1799924097,331382.1741279389,318981.2306006815,306615.8718784132,294354.93264413974,282261.7778098328,270394.5705614091,258809.9036638373,247559.29780630063,236685.47389740043,226222.65452359474,216199.97799456742,206639.76679876464,197556.2823770115,188956.2013370369,180841.5314296168,173209.02794608037,166050.68696262658,159354.13089457038,153104.39792979474,147283.78986369068,141873.21203823105,136852.45046174823,132200.69192757033,127896.05458938133,123916.66527690523,120241.73214366738,116851.54469776212,113726.7346972919,110847.77025439704,108196.5642904809,105756.39545739167,103511.73665167239,101447.38672383838,99549.09055052913,97803.87353980786,96200.02791670655,94726.3722705287,93372.3226460432,92128.30223937957
F,794142.5119932425,793944.5256101011,793728.2664544593,793503.0198068086,793275.0417856536,793048.491811724,792826.1184323654,792609.6461124417,792400.1665547667,792198.2747702888,792004.2579562708,791818.2340773988,791640.1142689708,791469.7522441515,791306.9709137887,791151.5071644238,791003.0842123104,790861.4424900413,790726.3227561773,790597.4344556031,790474.5000221421,790357.259882203,790245.4722595796,790138.8956442775,790037.2855052477,789940.4120193009,789848.0579328889,789760.018562104,789676.1017809353,789596.1192029103,789519.884607253,789447.2232228323,789377.9685102117,789311.9621616477,789249.0541010917,789189.1024841872,789131.9736577728,789077.5364840623,789025.6628073493,788976.2317916194,788929.1282100804,788884.2424451592,788841.4704885035,788800.7139409806,788761.8800126786,788724.8815229051,788689.6369001891,788656.062167787,788624.0736880226,788496.6076257611,788368.6122864982,788241.3938166575,788108.7190496823,787957.3189860912,787787.0275723722,787600.3510741723,787394.4962878209,787167.3362982236,786916.5147462756,786639.0480021418,786331.549751849,785991.1929138959,785614.5523618252,785197.7478384904,784736.4933719316,784226.1827199629,783661.7599940357,783037.5758287366,782347.3859160979,781584.3510055986,780740.987442881,779809.2037979063,778780.1378564904,777643.9599350409,776389.871627789,775006.1058067897,773479.8024308346,771797.2632693562,769943.8164647741,767903.2784754307,765657.9482917844,763188.6074364093,760474.5066941462,757493.9748109413,754224.8194965397,750643.046859914,746722.7431847847,742436.0749296224,737753.3876854876,732645.6769801847,727084.9631259515,721042.1213748794,714486.8001661125,707387.4211258483,699712.4319039324,691436.9773438929,682539.1120274984,672998.295455961,662795.4584936971,651913.61009324,640347.3658353485,628101.399314641,615185.171718858,601613.0897934614,587405.5765051694,572600.4192972648,557247.3993050787,541401.465496222,525122.784462266,508480.4830995396,491559.763796228,474448.463155931,457234.14877928986,440004.99935010495,422856.32567047,405881.852150489,389167.2686504835,372790.6206012868,356827.36827999266,341345.6659904529,326401.4812304576,312039.037017625,298295.51921938034,285198.8059260151,272765.95248089655,261003.8538366804,249913.16097560027,239487.54573854138,229714.47426906342,220575.7286847461,212049.72535466374,204111.31444105093,196733.65835099318,189888.6067251351,183547.3336584398,177679.60411846812,172255.31083992653,167245.9165672362,162624.45409466026,158364.4626465786,154439.25670873426,150824.17031349463,147496.42006079675,144434.86695021013,141618.8223861179,139028.8949544958,136647.43744072705,134458.5278687424,132446.9629354842,130598.35267293843,128899.67491623177
G,480391.3132667128,480344.7090379436,480292.9772618521,480238.4277650157,480182.6206122183,480126.60115845664,480071.07118517946,480016.4839910884,479963.140557633,479911.22189055436,479860.83454911516,479812.0439952795,479764.8646419955,479719.2958553714,479675.3280163842,479632.9290942823,479592.0619999997,479552.6916875193,479514.7811805141,479478.28431016026,479443.15619675315,479409.3543805181,479376.8387796982,479345.5678916081,479315.4980299616,479286.5875755528,479258.7966191202,479232.08696134674,479206.42211093183,479181.76564009296,479158.08050255064,479135.33127711347,479113.48382517614,479092.50529071945,479072.36410031066,479053.02996310283,479034.47386706533,479016.6672100656,478999.58110880427,478983.18771913607,478967.4603001346,478952.37321409327,478937.90192652424,478924.0230061591,478910.7141249488,478897.9540580634,478885.7226838923,478873.9988128472,478862.7610580739,478817.5001157836,478771.63955183973,478725.7719999063,478677.45318609645,478621.4028076503,478557.5317976831,478486.77065529337,478407.91025755747,478319.9899825249,478221.9321333759,478112.3805403595,477989.7909593167,477852.8159362306,477699.830463167,477528.98641673627,477338.22985963785,477125.33202930546,476887.82404850976,476622.92730354413,476327.5527137559,475998.3007315483,475631.42409986135,475222.8216052326,474767.9658498403,474261.7955216272,473698.71463389957,473072.592525326,472376.6813412089,471603.6825927075,470745.68723249214,469793.89448755526,468738.60864293826,467569.2390417323,466274.27730802825,464841.4310567112,463257.86259158264,461509.53513185156,459581.1399701869,457456.0964727164,455116.58257149067,452544.51329825085,449721.8075128207,446629.31503080734,443246.7497521419,439552.6896610784,435525.1639041221,431144.8791088535,426393.5422900253,421253.11513075966,415705.8433055608,409734.58873235405,403328.0336706913,396480.14144996635,389187.5997394332,381449.925975999,373270.13167336024,364661.73250061815,355646.0765030001,346248.7039746886,336499.402628799,326434.7168427256,316103.0157962037,305556.2718222651,294848.2854464132,284035.2453075889,273180.2157323221,262347.38092411694,251597.3665149529,240987.43432330637,230574.6727712268,220412.53342464712,210546.73249137355,201015.45074356114,191852.42087300966,183085.0240161174,174732.58491672573,166806.78666890808,159314.60367741936,152257.57170089774,145631.97640022868,139429.23206004588,133637.9264134037,128243.64951411073,123230.13117853549,118579.51388442067,114273.04390600347,110290.87597094545,106612.90675016721,103219.85005116243,100093.2368522507,97214.85396829886,94566.36638107906,92130.70752557268,89892.07514259861,87835.77752946383,85947.43293894827,84213.55104502323,82621.86473157717,81161.31756877189,79821.35583536403,78591.9980111897,77464.22850056771
H,281509.9594039907,281463.1204098994,281411.2459396597,281356.6395600946,281300.85923244036,281244.9500199343,281189.61383835966,281135.3040526092,281082.32112664264,281030.84501816303,280980.9806447141,280932.7911932964,280886.2884079349,280841.4685585235,280798.31858818163,280756.8027879918,280716.88019165804,280678.51178033225,280641.6565389798,280606.2641545386,280572.2855948106,280539.6743381784,280508.38633254083,280478.3761869153,280449.5962911256,280422.00122822734,280395.5474736593,280370.1933952428,280345.89925129246,280322.6255108926,280300.3320098365,280278.9803459478,280258.5336000874,280238.9563361534,280220.2146010813,280202.27592484397,280185.1093161652,280168.68426721613,280152.9699461022,280137.93670960295,280123.5561799701,280109.80124492745,280096.64605767024,280084.06603686593,280072.03786665405,280060.5394966456,280049.55014192394,280039.04778060433,280029.01013082213,279988.8019655014,279948.2432296417,279907.7984557651,279865.4101333897,279816.66642749903,279761.50731870154,279700.74735512154,279633.427877098,279558.8063584603,279476.0566327121,279384.13598153315,279281.86010502215,279168.2236435661,279042.0119407755,278901.8481329143,278746.20899649465,278573.4529051118,278381.7738829092,278169.15072369884,277933.34646606224,277671.9083933511,277382.1478938397,277061.1497432057,276705.71629025147,276312.2950333706,275876.97814419796,275395.5024676084,274863.2021198985,274275.09341245826,273625.82840957603,272909.4994787949,272119.63716260163,271249.2101784261,270290.6191529714,269235.9018809568,268076.88479492743,266804.7200422859,265409.8415191117,263881.9648701603,262210.12236040464,260383.54732867575,258391.8220080704,256224.09350665027,253869.04273509595,251314.884406707,248549.8255235767,245564.51485280102,242350.67471832375,238900.55322221614,235206.94852871235,231263.4338781296,227067.89831312164,222621.99526723227,217929.19407360593,212994.83844018957,207826.54515622475,202438.4467864579,196849.1976379514,191079.40854704857,185151.66393465147,179091.9123308999,172932.1238642625,166705.23021775918,160444.01657282506,154181.44696926198,147953.08547472922,141793.8154612607,135735.40220386765,129806.63894880733,124035.25183155976,118446.13443128506,113059.52903599775,107891.19774181869,102954.22725958176,98258.19681770215,93808.63484445712,89607.27472911183,85653.56281945424,81944.39666167267,78474.42513744984,75236.24662383208,72221.29544488288,69419.77310167528,66821.33387722266,64415.22417433081,62190.5171073,60135.85683515863,58239.99992320777,56492.33306025571,54882.873073146606,53401.87713825521,52039.5709872031,50786.95138102352,49635.73036911339,48578.2470892216,47607.032789663775,46715.110292444595,45896.14594480891,45144.44257740497,44454.577146477575,43821.42963619254,43240.3780686159
I,426708.6484792952,426613.78655155597,426509.85591803363,426401.3426109231,426291.27134379826,426181.6574376602,426073.83831771644,425968.6598045152,425866.66443037236,425768.15643724723,425673.29221505823,425582.14659432217,425494.6944916785,425410.88239141565,425330.64093021734,425253.85845514486,425180.41563050676,425110.2000983268,425043.0984751369,424978.9813490582,424917.7244663262,424859.21118710935,424803.33239618957,424749.97834370425,424699.0369019029,424650.40225566435,424603.97405078856,424559.6573939957,424517.36284790037,424477.0024345678,424438.4884285736,424401.73805088736,424366.6722890404,424333.2158971256,424301.2973957979,424270.84907227365,424241.80696394295,424214.1082443886,424187.69071772683,424162.4954126801,424138.4660967733,424115.5492763331,424093.69419648853,424072.85284117016,424052.97993311123,424034.0329338467,424015.9720437137,423998.7556116263,423982.3418042906,423916.86716665776,423851.05981837213,423785.6075651245,423717.2796299034,423639.1881259218,423551.24590912496,423454.7485905329,423348.23701028427,423230.596154826,423100.5893515896,422956.6514856246,422797.00568393344,422620.1628519952,422424.3195663981,422207.432021534,421967.2414000408,421701.3180565258,421406.99297294975,421081.2816378137,420720.8832674967,420322.1808062553,419881.21348469314,419393.6942201649,418854.9238282098,418259.6855121176,417602.24418411986,416876.3464653902,416075.1528158648,415191.36763403437,414217.16747154936,413143.9135520478,411962.148664788,410661.5971646472,409231.1563706963,407659.20402759686,405933.81458346033,404042.0761306835,401970.02617683494,399702.6516446548,397223.9395299297,394518.16485316626,391570.0980196514,388363.85039151064,384882.82796324836,381109.7313617479,377027.2178318151,372621.43866756395,367880.0465269165,362791.39302718453,357344.56358659366,351529.7030706034,345343.1313244796,338786.5440346303,331864.21181989845,324583.06645794964,316953.28388889064,308994.4628268139,300732.7650441058,292197.25309489865,283419.9195834496,274437.7440040714,265296.63298653706,256044.10446269638,246727.70632688614,237395.4968529826,228099.6375735241,218891.60750219636,209818.62251427214,200923.84356065243,192249.13996171206,183832.46777769842,175705.11245176266,167891.9240575433,160413.90679976047,153286.93986144196,146520.8866813129,140119.95802062543,134084.90229035998,128412.5828091576,123096.3750649069,118126.4566949509,113491.13071076013,109176.71356626735,105168.55136066876,101451.22753696259,98008.9356452038,94825.10857961953,91883.23584231776,89167.65941985357,86663.57380579787,84356.45769741981,82231.68331140492,80275.72836393639,78476.10731620959,76821.24137451727,75299.80633324772,73901.19389526009,72615.75553063367,71434.79209689365,70350.00239471866,69353.53382083,68438.28511942773
J,798976.2585640542,798923.7984728105,798866.2259581725,798805.8161749813,798744.1036964965,798682.117812561,798620.5526475823,798559.8607298093,798500.347525202,798442.2024955406,798385.5432254944,798330.4476875702,798276.9439926822,798225.0452378076,798174.755126376,798126.0548707738,798078.9199255955,798033.3266292172,797989.2484166985,797946.6489954347,797905.4923667408,797865.7438800853,797827.3701959383,797790.3358682444,797754.60256691,797720.1332200577,797686.8917850653,797654.8432485674,797623.9536251647,797594.1886413285,797565.5127884459,797537.8915724935,797511.2914837212,797485.6799966517,797461.025570082,797437.2976470812,797414.466654966,797392.5034035158,797371.3777838206,797351.0603636431,797331.5227765015,797312.7377216694,797294.6789641757,797277.3213348055,797260.6407300986,797244.6141123503,797229.2195096127,797214.4334460776,797200.232039415,797142.8303226669,797084.4967334014,797026.0384623089,796964.2550974985,796892.2029506526,796809.754378863,796718.1036626461,796615.6185642201,796500.9864768928,796372.7288513761,796228.9873159694,796067.6430066909,795886.8234255877,795684.2716785116,795457.416572601,795203.3940566966,794919.0861990147,794601.027308352,794245.3054940902,793847.5616250144,793402.9893293168,792906.275699676,792351.5794036905,791732.4301486767,791041.569935546,790270.9519075328,789411.7403501926,788454.1807018593,787387.6552562497,786200.5967369591,784880.0789109796,783411.8118058154,781780.1417094802,779968.0067165258,777956.9963415471,775727.7036188206,773258.7770059309,770526.8062824584,767506.3225499764,764169.8226785345,760488.8947736069,756434.6303422073,751976.0897831382,747080.1809283762,741711.6590430668,735833.8753110041,729413.0209307952,722415.9747459224,714809.2111897913,706558.8336676905,697631.0433519935,687999.4970133326,677644.7721201424,666550.9423576493,654705.7354306192,642101.5673309099,628746.3815868961,614660.1729993743,599870.0080361196,584410.1401258634,568326.2943463741,551684.5965280404,534559.1222578357,517029.3359307998,499181.0884032183,481114.8808545762,462936.5815270721,444749.4342864979,426654.3485595445,408755.40029732895,391153.6794070049,373939.1197773568,357190.68249161344,340981.38187299145,325374.3350708512,310418.38954775635,296148.7039030421,282591.9564055279,269764.51611644187,257671.8096302352,246308.9637005583,235665.06012801215,225722.70730278554,216459.53520857837,207848.6706283321,199860.49239968404,192462.9302540599,185622.43479820946,179306.0458660215,173481.39259302788,168116.15291875103,163177.71065080442,158635.2496457766,154460.00325992904,150625.0182787966,147103.80090057943,143871.36681743924,140904.93793841652,138183.92238068406,135688.6057199724,133400.30754635663,131302.138687942
