Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,299.2455807103003,338.8558856938451,360.09600273512154,368.90767581996977,369.39230309622957,364.3719541125778,355.80254585032026,345.0072804341855,332.9132848054119,320.13427760104094,307.0854612092918,294.0680294945014,281.2468042840379,268.7416895743671,256.6443342758702,244.98477097912624,233.7761210701014,223.03407338655592,212.76678950770832,202.955520653591,193.58242760183097,184.63429173906172,176.10240510825588,167.97214473606078,160.22042801166901,152.827713378761,145.77718296834612,139.0547425987629,132.64901595486526,126.54643149734534,120.72929592542759,115.1824105844845,109.89199236041449,104.84567367964218,100.03250250911815,95.44294235631924,91.06885925590673,86.90089571568971,82.92701113798223,79.13621911711056,75.51858561307586,72.0652289515542,68.76831982389656,65.62108128712889,62.617788763951864,59.75377004274145,57.02540527754819,54.42496503622897,51.94289107556386,50.25511214437064,51.31618261793146,55.77236434254433,62.58141176949704,69.12745735109284,75.81679629006321,83.70533560709394,92.68904484815002,102.87015593826743,114.36312212697479,127.20612854332938,141.41516379539542,157.22017256746892,174.80544843013465,194.35174486689746,216.05366202786212,240.14793473316075,266.90390944904243,296.6101996815805,329.5746035080787,366.1241035770721,406.6160135653089,451.48691634327974,501.21822993446585,556.3185215083339,617.3235023727271,684.7960279738658,759.3179236846532,841.6357950076108,932.6209881531788,1033.1413603330261,1144.0601284077507,1266.2358688868767,1400.51656537908,1547.979267258671,1710.1041244378703,1888.2664378425338,2083.6888986088475,2297.4415880833426,2530.4446303169057,2784.0572151434617,3060.350845174628,3360.9755707919344,3687.0512413036095,4039.167504944639,4417.580144689029,4823.8416527320915,5259.573472947081,5725.241699880789,6220.142978478811,6742.512638563236,7291.72576785065,7867.746675215416,8468.764994613874,9091.11354477042,9729.56616422987,10380.581030384017,11040.662676631982,11704.198662283705,12363.460118329489,13010.22622975503,13638.901296452332,14242.755627335266,14813.407243240377,15341.416927941704,15820.50832083714,16245.229882369584,16609.336642910406,16906.130066377405,17132.09524693885,17285.649733788818,17365.128887849303,17369.046395901387,17298.767638035086,17157.341515506618,16947.94335648726,16674.0764879353,16341.080424007763,15955.012023672449,15521.925795263807,15047.988971461036,14539.902517522998,14004.02945678322,13446.609707618647,12873.85968211231,12291.986498905213,11705.703458659918,11119.122797227346,10536.583729704838,9962.652468224285,9401.04621940344,8853.608605038571,8322.347148378365,7809.3152470320165,7316.424919778879,6844.342774121626,6393.334449402804,5963.848175866754,5556.502253024459,5171.221939407681,4807.453769521699,4464.796299887178
B,146.43454681379833,176.35949166663266,194.60826623274244,204.9163069743582,209.83359720564718,211.09759185997683,209.90418086479897,207.05774632096265,203.12291149104607,198.47513729803114,193.37219437252864,188.00650594857416,182.48905467724424,176.905880396552,171.32741401928538,165.78722790509318,160.30919614307965,154.918446354475,149.63510293231573,144.4629859187254,139.40593841407966,134.46948403949926,129.66076198335784,124.9826907757771,120.43285434489326,116.01007939945714,111.71388730842699,107.54449410096854,103.50280784765131,99.58808257371206,95.79677084841506,92.12601457917054,88.57328986092158,85.13640697614414,81.8135103948471,78.60307877457218,75.50392400769631,72.51427782024888,69.63013712146385,66.8474905943976,64.16279291783921,61.57296476631053,59.07539281006597,56.66792971509285,54.348894143110975,52.11707075157315,49.97171019366466,47.90915883734171,45.924432011349566,44.62839830099429,45.875350947318914,50.31384049496897,56.9733522164298,63.37414284148119,69.9199225484879,77.62904489471245,86.4092014820221,96.36419343628044,107.60916534983912,120.18631398686847,134.1166269015119,149.62579828586922,166.8960228817734,186.10650018210646,207.4500962130707,231.16047006452587,257.50302287332846,286.76217326997033,319.2412790950777,355.2626373994123,395.1780024481914,439.41608717854183,488.449554384661,542.7773891502612,602.9248892160899,669.4436649799311,742.9034910034454,824.034571823982,913.6884396500021,1012.7123787973009,1121.9482965572106,1242.2327231965999,1374.3910921071276,1519.4714855515058,1678.9129663252716,1854.0510647737717,2046.0713629184015,2256.009494456622,2484.754030279635,2733.6201520882187,3004.610807239793,3299.319027803227,3618.823160421958,3963.686866314043,4334.150477077689,4731.709432214926,5157.923739892618,5613.239440130492,6096.975248880919,6607.427130689549,7143.99448589191,7706.649244464425,8293.6567783651,8901.497000241727,9525.150875375795,10161.22828317995,10806.391515827474,11455.260266839252,12100.411341628605,12733.94287169582,13350.483916227578,13943.556051911486,14505.064330325924,15025.871232959493,15499.87427882437,15921.743931650262,16285.34886552597,16584.084474082378,16814.40544296028,16974.62294318641,17062.94231106154,17077.71607896329,17020.069814031598,16892.78122234378,16698.744715554447,16441.168861968195,16125.093594264325,15756.302595588048,15340.58291675851,14883.837764228268,14392.54893101141,13872.927605955607,13331.067868111486,12773.041051335656,12204.935179642853,11631.44266563017,11056.67056616075,10484.942284417664,9920.797587703295,9367.963422451889,8828.35274715301,8304.024132561532,7797.080086792689,7309.484252413432,6841.969877830383,6394.866918683696,5968.684318983691,5564.097744112443,5181.089975498611,4819.162420906771,4477.964369297943
C,527.8217276061271,580.1360185860518,606.0585433480267,614.2051056570278,610.5147556842134,599.0675605156939,582.6864352858354,563.2767702634308,542.1706381141325,520.2466773791854,498.0968525650645,476.1490872254589,454.6343881561638,433.7195251249461,413.53103846074373,394.1066426229105,375.4600082028401,357.60884243980684,340.56020922409465,324.2824421537068,308.74539139554975,293.9256995249776,279.8066423874185,266.36306827256624,253.55770541825063,241.35849493136374,229.73741233081898,218.6704675475524,208.13769668335692,198.1161219489741,188.57680295490877,179.4944448912098,170.8459412022398,162.61037358667528,154.76901199750648,147.30531464203776,140.20491004777756,133.45179006449834,127.02587730364374,120.90865778964357,115.08329892371995,109.53464948388705,104.24923962495112,99.21528087851063,94.42266615295593,89.86296973346994,85.52944728202732,81.40907599450331,77.48605102266623,74.77165675187861,76.00622757538802,82.02693163202213,91.34133004617063,100.28632106918009,109.389839603599,120.09190861564073,132.23002293892878,145.92463166049146,161.31191259494153,178.42203183938167,197.25286646300856,218.09187430756458,241.16108263905326,266.6738786495503,294.85837233200607,325.995255238658,360.4038793663511,398.42310973985934,440.41119856826293,486.74578524494893,537.8385867516319,594.1973514594564,656.3787327884131,724.9655857396673,800.5669655262582,883.8181275730979,975.371635528548,1076.074021093061,1186.9124146937595,1308.859516300434,1442.8722212927812,1589.8916204603972,1750.8376872559945,1926.8984515916645,2119.7155876057745,2330.7970677659987,2561.4634610352537,2812.8479328717126,3085.9020954261073,3382.08582222989,3703.6428777514243,4052.3333141178555,4429.316557346505,4835.151407344936,5270.025501881642,5735.579514548916,6233.513388355313,6764.263704916927,7326.990073930639,7919.696600796724,8541.661070009824,9192.810728013861,9871.161197548276,10572.73215203314,11291.871763640875,12024.781471983286,12767.727574736233,13514.695395078967,14257.390586502243,14986.990774448528,15697.494475411251,16381.645836475174,17030.37251202708,17633.42564502894,18183.904387941926,18675.72782973489,19101.903015915716,19454.891207985576,19730.519095042422,19926.64719877403,20041.021661142244,20071.5569687175,20019.244974283443,19886.92802274735,19677.6145620365,19394.69890152534,19043.64869507261,18630.808937424976,18162.5784772703,17645.53475731757,17086.95067196644,16493.848540232488,15873.158807146683,15231.823920736293,14576.84327204604,13913.676134944646,13247.141548882433,12582.31970940089,11924.5519881947,11278.270966803124,10645.849498232314,10029.82468957214,9432.785595825491,8857.163322590986,8303.965554101029,7773.724682695026,7267.175355985552,6785.240309061132,6328.026824212477,5895.070656038864,5486.0712703334575
D,2965.525257880179,3292.884363706895,3459.5091939450695,3517.6528429735577,3503.387684600683,3441.531885041217,3349.2805102976895,3238.2588049702017,3116.6039950449067,2989.6935468708407,2861.1567685228542,2733.618972584159,2608.5051139141647,2486.844978780011,2369.420009980125,2256.4697574539655,2148.085453497733,2044.3813561449026,1945.4058415586123,1850.971243411156,1760.8984877170426,1675.0493844884095,1593.3256583402672,1515.5774607193162,1441.5817157713932,1371.146951398086,1304.10588883182,1240.3154426358649,1179.6566699122488,1121.9920745542145,1067.149280382834,1014.9782994510443,965.3419734165385,918.115973541765,873.1888006939267,830.4617853449838,789.8489753575138,751.2545986995829,714.5606802529327,679.6589367959342,646.4506858813844,614.8468458365073,584.7679357629522,556.144075536796,528.9149858085398,503.0299880031147,478.4480043198751,455.0934021794423,432.8753248135252,417.43355998506615,423.8706774650569,456.7265185673279,507.7406016690665,556.7260422596801,606.551090760368,665.1130843167736,731.5013374359795,806.3607648820487,890.4226923499492,983.8356249663761,1086.5699750506942,1200.1849386714566,1325.8789683196424,1464.801332365326,1618.1810121345452,1787.5319941350551,1974.5759877584362,2181.140444040752,2409.157911033109,2660.6660338016677,2937.8892683795398,3243.566351953797,3580.6965890343413,3952.426491934589,4362.049839422467,4813.0076767204155,5308.846522756098,5854.139383509033,6454.204754839472,7114.308857516226,7839.658615948201,8635.401658184372,9506.600063977936,10459.742043002097,11503.70136760481,12646.696233616012,13896.01215646339,15258.001971172449,16738.115927866816,18344.495580745883,20089.4239310044,21982.720944672295,24031.133469142773,26238.33523317264,28606.112072465618,31143.905733352694,33861.559808442544,36762.33072452178,39842.81323929887,43093.5658919338,46511.84435171503,50098.4112536333,53843.852396241855,57728.100889186346,61722.13371426108,65806.62319484403,69962.46515553568,74158.04117345855,78349.19941017243,82488.58615761383,86543.5987136272,90474.3849097907,94230.69981122113,97755.36219770319,101008.78543357093,103955.32879041227,106553.8285714493,108759.59941217766,110546.03109646631,111897.50100902449,112797.51964603974,113230.29913108419,113197.25363017814,112710.42763076205,111782.89563417212,110430.00135179341,108679.38017652195,106564.31910054246,104118.6469943267,101377.43462260898,98380.52201773669,95167.23869758096,91776.5397490465,88247.54575686019,84620.09583839306,80926.27619418828,77194.65873299366,73455.23122336806,69739.39741044703,66073.68678441324,62473.299529564836,58954.16905504253,55532.48924320472,52223.53912418295,49034.43063865422,45969.4430612831,43033.965082217655,40234.41488048429,37572.41342179109,35046.178870686184,32654.809235911736
E,248.68517289112754,281.8103046775478,300.3867653668858,309.13339596562446,311.27690874910735,309.01805685924097,303.8714165191777,296.854427360063,288.67867489165127,279.81436149934814,270.5810266813147,261.21405689670775,251.84487208904093,242.57275048797587,233.47696866153967,224.58994110181342,215.9318712658927,207.52497692266388,199.3855233330426,191.5092430826802,183.89232642098048,176.53368567873332,169.43487125748933,162.59245023031258,155.9964797535239,149.63906841874922,143.51366711720792,137.61506903971306,131.9394059972393,126.48093973029408,121.23063269380134,116.18072371108596,111.32414523198779,106.65452333286152,102.16617771657675,97.85412171251812,93.71405848723359,89.74097652076942,85.92734377437407,82.26591732375687,78.75016236168617,75.37425219798914,72.13306825955175,69.02220009031899,66.03794535129454,63.177309820541275,60.438007393180634,57.814252968136984,55.29868696029267,53.62256002776414,54.933799806497184,59.957203912077965,67.55586156032564,74.85764994263754,82.31528531452992,91.09430592014685,101.08218187442901,112.3920752459571,125.15010773244893,139.39834664021137,155.15414627682418,172.6692242817599,192.14473269012692,213.777581715527,237.77964649399667,264.4082674423304,293.9555795600505,326.7344708259322,363.07850066390336,403.34189994304677,447.91184993502054,497.2596776823634,551.9040215540908,612.3932922875772,679.3056776054337,753.2491422155101,834.8539727065428,924.9226343153055,1024.387633768531,1134.1817071135667,1255.236664933689,1388.4833923481024,1534.8462766378873,1695.4903373395266,1871.9951078015115,2065.840260989445,2278.3576336439555,2510.7312262807122,2764.0002597519842,3039.6614071229133,3339.944259456655,3666.661384487095,4021.098553513741,4404.014741401778,4815.84030176609,5258.33970067644,5733.365586257918,6241.601751966871,6782.5483313922705,7354.629533424492,7957.43776706135,8591.191966838076,9254.27092241797,9943.122048858184,10652.562969416731,11379.123195916662,12119.356499094047,12867.529143466123,13615.61372307774,14354.975580510527,15079.640593166727,15782.312149926238,16453.791519756607,17083.607336625602,17664.50904541137,18189.992765631385,18652.552240703495,19044.044369280717,19359.671423953347,19596.68853903189,19752.1932437717,19823.41203472205,19810.75726676832,19716.60705098137,19543.504727654294,19294.38675126261,18974.444703274006,18589.886335232663,18146.977537859075,17652.171983233533,17112.77266829572,16535.955994251137,15928.792171681423,15298.34513723787,14651.77952519331,13994.827503336115,13332.558955116707,12670.282005865494,12013.543044223967,11366.992873684194,10733.230084418117,10114.981706669545,9515.017719582978,8935.940268347314,8378.89178314794,7844.5141565492895,7333.650037045972,6847.328572182966,6385.732999826241,5948.450489936311,5535.230866831564
F,523.6357893732727,598.0218082642181,638.9973432891977,657.3272734110192,660.4322063939584,653.4126610905223,639.8019467022242,621.990270743719,601.6545407098887,579.9074490846269,557.5051724862024,535.000035025249,512.6990937086971,490.8292515826101,469.5668751878009,448.97732261994906,429.09542653483817,409.9600799543746,391.5960227020964,373.97934011242654,357.08719646091413,340.90415792295954,325.4219961430043,310.62128856134046,296.4672047352897,282.93061135824956,269.9865610152516,257.61429218296195,245.79721942848238,234.51458823832616,223.73810891423204,213.44341738205713,203.60833375878346,194.21286235251765,185.23919166249067,176.67169437905858,168.49690915182055,160.69937932168608,153.25857669651793,146.15544847739233,139.37273244711884,132.89495697024074,126.70844099303453,120.80129404351042,115.16341623141179,109.78649824821613,104.66402136713388,99.7820560702516,95.12336349810643,91.93644796706666,93.68717931769724,101.46892684175431,113.41104147786915,124.88080965693581,136.5652006436424,150.3035620401088,165.89767075395244,183.50884789671568,203.318545589641,225.3736707643065,249.68054638157872,276.6151289286262,306.47094551546564,339.5317884395865,376.10170723267845,416.5531967374413,461.3097026204989,510.8219865818405,565.5679770327014,626.0527690955637,692.8275807596748,766.5690639013881,848.0199433800695,937.9606974781486,1037.209560331634,1146.622521930114,1267.0819824741716,1399.7246266535283,1545.87415188609,1706.8423513468886,1883.9273495387542,2078.4136022923103,2291.564516176127,2524.9964365488568,2780.9264575397456,3061.4069024325286,3368.2548548398913,3703.0521587034864,4067.1519287504134,4462.576916644696,4892.3975348986505,5359.05786967466,5864.21927176515,6408.760356592664,6993.074433776781,7619.483567744093,8290.408504655974,9006.589440142796,9767.066651155837,10569.339459867097,11412.597518657105,12296.911278318941,13219.766916807483,14175.946419189026,15157.960148457492,16160.784725137,17179.46373831817,18205.9028332998,19228.867105164856,20236.350540732634,21220.13121014241,22170.22326684961,23074.094005677427,23917.537398933862,24690.87432788167,25385.508806010846,25991.537927052726,26498.254922668908,26899.56602707058,27192.182500182185,27372.63281511034,27437.65363059224,27388.273395712164,27228.12942445801,26961.086938041484,26591.54595654247,26126.860313371028,25575.66854775035,24946.686309863573,24248.8807460556,23492.262438123016,22686.567220668254,21841.397345688805,20966.36219109534,20071.174561893196,19163.48986932468,18250.07135805165,17338.029192100985,16434.820483215168,15546.660247418036,14676.93570703614,13829.240492455798,13007.23477382746,12214.356108017591,11452.065140842402,10721.15535767626,10022.697329848877,9358.019180723255,8727.311252729047,8129.964770312819,7565.595299243419
G,104.57884738718553,122.8352398810875,133.73167722975185,139.63929179519823,142.17512777422903,142.43959817629104,141.18894438295987,138.930688190101,136.02016586360105,132.69267776974195,129.1089300536006,125.38831188715245,121.59863793814169,117.79206769764158,114.01102831837328,110.2746969100015,106.59625741606366,102.98984934169953,99.46658423018665,96.02736433196108,92.67324189717107,89.40645455337815,86.23038360358838,83.1458300697078,80.15033798055843,77.24233164001276,74.42074547373848,71.68502402919862,69.0351202348673,66.46998192284484,63.986898946207035,61.58367333453165,59.25834218142527,57.009177644523106,54.83468694548909,52.73361237001597,50.70493022232902,48.74726288016513,46.85795224185957,45.03438054928335,43.274218164008495,41.57542356730808,39.93624336015619,38.35521226322802,36.8311531168997,35.36317688124858,33.950682636052875,32.591358369711834,31.282116801033037,30.43557300159817,31.355783980472307,34.516768255885964,39.24365826346571,43.790555581909274,48.45313922374861,53.959252592987475,60.24909765095355,67.4031936349671,75.51077665850849,84.60971563460181,94.72362689890348,106.02394888594182,118.65238197918248,132.75028200926565,148.4711187882008,165.99935483177708,185.54425309595345,207.3327363365549,231.6093597628194,258.6363110373993,288.7019833060934,322.1526125306763,359.37086200548663,400.7676750935718,446.7822978385567,497.88227896464315,554.5602033783294,617.4271868534601,687.1892444551473,764.5711169611486,850.3156025919573,945.1835570108025,1049.9498967959862,1165.5612320246387,1293.2579161226035,1434.2449009919173,1589.6604616127509,1760.5761960434183,1947.9968670748422,2153.252075977219,2378.215800991348,2624.517214650065,2893.4614719284496,3186.02971024387,3503.002044908606,3846.123151454624,4217.269674021499,4617.497678282272,5047.028853652168,5505.319541795,5992.671412391101,6509.910380288186,7056.4324670409715,7630.113786756773,8227.527001783594,8846.484220796261,9484.763960910615,10138.156766157392,10800.444277658473,11464.726788414004,12126.081008701438,12778.264652475911,13413.169098398484,14021.343114935913,14595.809846505736,15130.01702270328,15616.289235728142,16046.14420406995,16413.89701576099,16715.63168783286,16947.16815420673,17104.321507141172,17185.89829867945,17192.676337565976,17125.586702957422,16985.931479972605,16777.426026835114,16505.035107248266,16173.813509097543,15789.030017691683,15357.10134609642,14884.67144322067,14378.278167958064,13844.429332373817,13289.850487822401,12720.295663955523,12140.892523898428,11556.92827153799,10973.84967370328,10396.352992704873,9827.345224966266,9269.756230374232,8726.53058819078,8200.438600214184,7692.864948212794,7204.684762273013,6736.944024261713,6290.84669545629,5866.766960304924,5464.4859209604465,5083.923042921424
H,110.34136983748304,130.7370299199356,143.07854436636777,149.94249910053358,153.08681675579413,153.70876436235483,152.6322848148183,150.411622101534,147.4360858708652,143.96487803514725,140.1763312513021,136.20395996100387,132.12525807072404,128.00060547196145,123.87964978896505,119.78662608409616,115.73904652580734,111.75519775213577,107.84983016885201,104.02638974892008,100.28824412970361,96.6398091030097,93.08650435226905,89.63076733921145,86.27126675887588,83.0074446690659,79.83915867779771,76.76668194330048,73.79070148209959,70.91074528883686,68.12430397605061,65.42927155840735,62.82376681704032,60.306133299549316,57.874939320000685,55.528977958927456,53.26726719842722,51.08844912352047,48.98945331840008,46.967153254917356,45.018778767142976,43.14191605136691,41.33450766609844,39.594852532066234,37.921605932218235,36.31377951172179,34.77074127796354,33.28965021036006,31.86665224706595,30.92639083460198,31.71844619361244,34.66591861224504,39.108567846944865,43.37639528034513,47.73308496135403,52.856766803069604,58.681982100985586,65.27423183011307,72.70642818655165,81.00255210228318,90.17211495247754,100.36061646300324,111.68405226936912,124.25579461232168,138.19767195921685,153.65782566549575,170.8045299267997,189.8177343727181,210.889012221263,234.22156027886908,260.0372208754888,288.6068786203707,320.22869936547204,355.21719162253686,393.90320464917767,436.6339284488751,483.76818161820586,535.7657937318091,593.16238214231,656.4911983090888,726.2824300831658,803.0632017072005,887.3542669036223,979.8170000827638,1081.3561814224456,1192.8136504049073,1314.9397602132015,1448.3933777312034,1593.7438266007796,1751.8283708511005,1923.9133624490842,2111.014168389488,2313.8304816834866,2532.7463213587057,2767.9481500598395,3020.4060541816025,3291.1365801307975,3580.4668853438075,3888.02626622126,4212.810326627086,4554.5025752176,4913.15136775427,5287.734996678439,5676.110195575369,6075.1898609984355,6482.899224255626,6897.190173087046,7314.7083057539,7730.79089573059,8140.449639817704,8540.27027930834,8926.108261730737,9292.758839812654,9634.320899922886,9946.791634919164,10226.635199209279,10469.773876135352,10671.797857801595,10830.242418498096,10943.832801175498,11011.214425507455,11031.115883708833,11004.07257360765,10931.71443116852,10815.749771324445,10658.094099539972,10461.894688812694,10230.821650478949,9968.55291704951,9678.848034224884,9365.887797285095,9033.718851791014,8686.311541333103,8327.619413798782,7961.622882944349,7591.435500798061,7219.788269934682,6849.5469598223945,6483.712118718237,6124.764209968074,5774.013907810583,5432.855963227623,5102.711408664662,4784.908933449259,4479.970084565967,4188.147705876981,3909.809970571929,3645.4324055858474,3395.0322941320997,3158.307380686524,2935.050497055466
I,248.59079266065527,285.7454953557769,306.7825817466685,316.8875143784353,319.6219801570446,317.4262952781125,311.98709582500425,304.4431460939065,295.5936962262288,285.96970216473244,275.93352678842206,265.7521278107002,255.57618096635244,245.51918241508022,235.67122436331937,226.0696733046778,216.73755197019264,207.6996830073164,198.97394064675643,190.5548935691459,182.43735124124052,174.61918522612098,167.10123692729107,159.87871916571933,152.93921874854786,146.27264708823537,139.87056004787146,133.72615794117698,127.83428133629951,122.18765762710451,116.7750236804587,111.58661350518612,106.61357256059303,101.8479577564681,97.28273745308212,92.91179146118833,88.72990569030591,84.73095971041832,80.90574500857923,77.24547136688628,73.74224624788513,70.38907479456954,67.17985983038105,64.10940185920936,61.173399065392026,58.36844731371487,55.69204014941142,53.13738511969191,50.695747465366466,49.03599621467662,50.02729106477931,54.26484039479845,60.7429044033695,66.96382390598012,73.30094051125843,80.74873040081536,89.2013828273538,98.74707121866521,109.48481759773468,121.44102516548675,134.6202289206168,149.22667454886346,165.4202189452314,183.35563051349564,203.1987837912895,225.15279540863233,249.4486624879665,276.3324522249544,306.0652204684542,338.92301172052134,375.2071748190499,415.2876811102043,459.5709422999818,508.4843672768969,562.4763631290564,622.0163351441588,687.5886105138472,759.8170284927805,839.4283109854515,927.1437029659207,1023.6780123263634,1129.739609877067,1246.0264265364708,1373.4307117541064,1513.1748195305113,1666.3931711413975,1834.0937822104659,2017.1582627094215,2216.345239923731,2432.781767688507,2668.173109672146,2923.8848102975453,3200.8566595516672,3499.6026929855807,3820.3732103508924,4164.481171572849,4533.301013861671,4927.285241035817,5345.953489238487,5787.979236189643,6252.9680645930075,6741.019283478751,7250.802681259685,7779.490288093698,8322.994352310325,8878.587770972925,9443.57935080866,10013.523176284476,10582.215623472945,11143.009602879987,11691.35079674648,12221.685046411101,12727.01478934228,13199.386117299571,13633.355441614389,14024.06974894752,14365.922187875734,14652.833597969391,14881.301954521932,15049.397315578935,15155.073407852853,15196.387380314181,15173.819713044211,15089.332580283062,14945.010067447585,14743.231885766869,14488.066939061733,14184.328408320089,13836.868027025655,13450.674955066139,13031.351360813975,12584.367325911358,12115.110727740994,11628.96534018784,11131.378463609137,10626.66648631388,10118.639490410216,9611.294677120435,9108.816382950214,8614.696009364023,8130.846165252084,7659.287118620699,7202.074110565829,6761.135800798183,6337.291400062113,5930.9840987962325,5542.811729848439,5173.515860291116,4823.199412021524,4491.516818734757,4178.248282419705
J,100.42034369569556,116.28993011453846,126.07915503526885,131.75536710864625,134.64472226270658,135.63972552823103,135.3481911607209,134.17424830460322,132.40007603296178,130.211973157772,127.73778555155285,125.07420586568247,122.27726061440775,119.39171834839934,116.45548076485716,113.48817749492736,110.50508012789436,107.52229909361819,104.55350193579054,101.6042811266368,98.68026083708651,95.78767119017563,92.93331530183572,90.1217530940436,87.35489034732338,84.63504129356994,81.96461442516208,79.34611249496285,76.78213147479826,74.27437062345001,71.82305107385577,69.4285073850162,67.09109931800695,64.81121183597881,62.58925510415763,60.42566448984437,58.320902620759576,56.27522150769654,54.28748352084381,52.35632745348792,50.480597105988835,48.659341285779874,46.891813807367676,45.17747349233232,43.51598416932714,41.90721467407906,40.35123884938814,38.84637021712026,37.39011567502572,36.475907653733195,37.74402077397407,41.81862133794529,47.863669936695565,53.68170134640134,59.66162243958205,66.73536122714872,74.8346685853038,84.07041477238451,94.56512510535907,106.37646303714452,119.5447931586187,134.3009200945176,150.8390860699357,169.35498477443406,190.06210937134196,213.21577318287942,239.10560848624345,268.04783729084744,300.38525669109276,336.48723886636964,376.76165554231153,421.6948271524908,471.8255246497299,527.7374834368776,590.0594532607986,659.465198212372,736.6714463556142,822.5551710316648,918.1258173233716,1024.4359029005702,1142.5802516523784,1273.6959936871942,1418.9578330336442,1579.7804365994243,1757.977480034453,1955.351523863367,2173.655054404241,2414.590483768605,2679.8089382442745,2971.4139857857795,3292.269425440272,3644.9715200078,4031.7438507551624,4454.437317415966,4914.681989867561,5415.4434794631325,5959.952086549792,6550.381129476237,7187.825968529822,7872.388498647991,8605.35499332189,9388.842912701328,10222.971290421729,11105.713334394499,12033.183106967632,13003.219862625927,14013.620559868907,15059.118325477872,16131.330360346732,17220.663159431813,18320.27547506002,19421.035117201365,20510.5620609461,21574.016872146487,22599.96954198264,23577.239102015956,24492.357000157306,25330.060051246714,26079.155511854595,26731.010824934445,27276.179199835602,27704.824147729065,28011.993940038574,28196.132531115258,28255.824119486046,28190.171820715463,28002.828009398912,27700.098025313673,27288.496126994458,26774.95896526239,26169.10775885221,25481.755579533266,24723.56346173086,23905.124994689875,23037.726635761195,22131.954974090295,21197.38186013911,20243.73421063002,19280.894050374987,18317.737114740743,17360.46502491081,16415.094956335353,15487.631623032123,14583.765934159745,13706.771531999157,12858.9410567131,12042.831617944395,11261.243825184456,10515.438762730675,9805.549011375604,9131.912592607257
