Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,36.17318915987383,44.12949660160984,52.82646351742912,61.88711121159712,71.05745236977853,80.1687068966519,89.10948528636023,97.81009033960919,106.22660153626448,114.33533808653003,122.12515579510571,129.59178121419814,136.73935526098143,143.57431294410722,150.1042866433374,156.3403816717856,162.29420750910097,167.97660157473297,173.398328906397,178.5713988050755,183.507239738529,188.2164936087752,192.70902401361448,196.99465511187847,201.0833058938252,204.98426242587533,208.70627336493624,212.25754995840208,215.645766565241,218.87844290355653,221.96299267010284,224.9063415784474,227.71507824834597,230.39545420574245,232.95338388276926,235.3944446177468,237.72387848420277,239.94683759797869,242.06833801151686,244.09309155917228,246.0255901037762,247.87010553663586,249.6306897775346,251.31117477473188,252.91517250496338,254.44607497344055,255.90705421385113,257.30137790501976,258.6322992909677,259.96308073891,261.3034944996493,262.63837678526767,264.0354488060136,265.6398099649982,267.4537453757814,269.4508949176454,271.6632257235043,274.1156623882663,276.8360429512268,279.8595256656685,283.22612079381486,286.97015093768255,291.13313189204905,295.76227743542825,300.9100366631597,306.63314259808254,312.9942846198496,320.0640518625924,327.920954002086,336.65142125575005,346.35077408432636,357.12291755015553,369.0824956643975,382.35806866643736,397.0921347002947,413.4411298146239,431.5779259758252,451.68863246650466,473.97473026314276,498.6624512656253,526.0028828184456,556.2719677107034,589.7714418488417,626.8247515064943,667.7683597682258,712.9766522374892,762.8647532384645,817.8885258160612,878.5443357972002,945.3436917982011,1018.8023387404542,1099.4852723359297,1188.0108891870252,1285.0509867865771,1391.3171623289986,1507.4731167260368,1634.1877540516095,1772.1744654209242,1922.1909945838222,2085.0310409000685,2261.383106121312,2451.8464001461543,2657.019868024819,2877.501480550198,3113.8681144641882,3366.4620711466177,3635.459788183514,3920.9740399691163,4223.051993496272,4541.578895084396,4876.073030436785,5225.915730924903,5590.392515658216,5968.663694877501,6359.531467972738,6761.602650981832,7173.432742015274,7593.513018638988,8020.092508331834,8451.289631548338,8885.267334109887,9320.226081229252,9754.277761468922,10185.548254923426,10612.300564189398,11032.926638526524,11445.872366271833,11849.718011342226,12243.218096706925,12625.29287698567,12995.000466853633,13351.591682071798,13694.462922311375,14023.14608920655,14337.296367585723,14636.791401775525,14921.637410583267,15191.890425561294,15447.656289186529,15689.157889011216,15916.789087390138,16130.956541687443,16332.08000011955,16520.602865062363,16697.06024983152,16862.012099111736,17015.994999124745,17159.52283990738,17293.144483316155,17417.42328014347,17532.8917600833
B,10.39999999999999,14.49364256926507,19.1924126048633,24.25060200625634,29.501184247521497,34.831069358499406,40.16314113931168,45.446321238314404,50.64551847159107,55.73828293684194,60.71007160191882,65.5507807038922,70.25580409549818,74.82228362560689,79.24848573303821,83.53519380504817,87.68389699055702,91.69605547435835,95.573504488853,99.31919267908854,102.93608737492076,106.42704808411638,109.79483042882165,113.0424555832061,116.17329966898228,119.19063184447155,122.09763472002132,124.89740435800512,127.59295040813093,130.18733781313355,132.68379307324244,135.0854538399711,137.3953685828979,139.61649658966607,141.75170796598383,143.80378363562417,145.7754153453044,147.66926996723828,149.48812634411465,151.23470301868227,152.9116166563851,154.52138204536243,156.0664120964489,157.5490178431745,158.97140844176454,160.3356911711396,161.64387143291557,162.8981144818989,164.10063401351712,165.31158594999224,166.53882601421756,167.76653553985352,169.05978732755597,170.5591942657198,172.26700145924798,174.15808454977383,176.2642092811437,178.61047291130592,181.224963675134,184.1430332190148,187.4048988957155,191.04541544808262,195.10661033936762,199.63623366229336,204.68731810946605,210.31725926271838,216.5894690057745,223.57530266084763,231.35407969961992,240.01308374324276,249.6485493255842,260.365365499702,272.27918044012944,285.51958831955125,300.2301511863287,316.56839896450003,334.70831395472925,354.8370924080466,377.15725504510937,401.8960044094857,429.3053290982042,459.66200376175334,493.26850436713477,530.4487456253316,571.5394621675479,616.9149927817889,666.9900690988366,722.2198155922531,783.0994831953975,850.1388461877534,923.8515256066817,1004.7996939160465,1093.5981501246529,1190.914319786261,1297.4546547032587,1413.877323422965,1540.845252243315,1679.0649865260339,1829.28654448528,1992.2951138253297,2168.771419577569,2359.3076639866495,2564.495887458085,2784.9272883915123,3021.1724166618806,3273.5707411302315,3542.2986036137518,3827.470550189848,4129.1374549288375,4447.191512116736,4781.163909992982,5130.451692667716,5494.3583601878145,5872.064722508563,6262.398123266007,6663.992563931073,7075.4305061278465,7495.230015195321,7921.667444918884,8352.886856156669,8787.073399977904,9222.44635207143,9657.132757397356,10089.268457129929,10517.12198169416,10939.086551192358,11353.603856198326,11759.24441834121,12154.75049638776,12539.027783166466,12911.115694082066,13270.242312656806,13615.78171090965,13947.244229578544,14264.26305105618,14566.691100867347,14854.511395014988,15127.759227917126,15386.522170576984,15631.005498207094,15861.585836260248,16078.655477623824,16282.621652431957,16473.91694236152,16653.06760369755,16820.626683079467,16977.124994648973,17123.07177132461,17259.012921617577,17385.510279256217,17503.095566788415
C,83.67501100004569,96.79611483668256,110.82193320119538,125.23652144468028,139.69405245278168,153.96642961970272,167.90473936466952,181.41751583289962,194.44870859278825,206.97003574965757,218.9703386119872,230.44775297296667,241.41186492723625,251.8752566400601,261.8520003742583,271.36081470397625,280.42096898601966,289.0505304607502,297.26733448531036,305.09080509008066,312.53944236260537,319.63054629357845,326.38022826525827,332.8044344288664,338.9191311451635,344.73931001361825,350.2791233504687,355.55188418872183,360.5700670107559,365.3458432147213,369.8911494314996,374.2171644277123,378.33452397132635,382.2533208316537,385.9831047793516,389.53288258642266,392.911120782193,396.12611006601634,399.1858877408134,402.0980031787824,404.8696487493927,407.5076598193835,410.01851475276464,412.4083349108164,414.6828846520892,416.84757133240413,418.9074453048524,420.86766909637237,422.733362910739,424.58898539850753,426.4497206980266,428.29713747795523,430.22065560973726,432.4103414272558,434.8686372576609,437.5594676851172,440.5225077881582,443.7878501625593,447.38882745229637,451.36770984916404,455.77249777335817,460.64317658095314,466.0282676125787,471.9828157321123,478.5677228975961,485.8484679043198,493.8970086505453,502.79401481584017,512.6288912337133,523.4997778916147,535.5144368732379,548.7895917468486,563.4535364904918,579.6495267770764,597.5358019677687,617.2855851119926,639.0895830654172,663.1519194216379,689.6926764696858,718.9579973573703,751.2201963725893,786.777758943325,825.9561958719926,869.1022303717976,916.5751754705763,968.7734792813293,1026.137605202155,1089.150031916252,1158.3348350117715,1234.2289977115165,1317.3721956567922,1408.354067462542,1507.8183129381102,1616.462693087258,1735.0244284096582,1864.188121283308,2004.6428195184355,2157.122129867588,2322.4040136488097,2501.302137206122,2694.5213709856594,2902.6756795701635,3126.379206795641,3366.245453465532,3622.866877326666,3896.599597991672,4187.634162499437,4496.098108086508,4822.053909397783,5165.401598885003,5525.673532696844,5902.263918249078,6294.468511297844,6701.454753811097,7122.027081160162,7554.78851202886,7998.281988318655,8450.977225558121,8911.091039099032,9376.697340562805,9845.902309494515,10316.83750267772,10787.532476922253,11256.017199759423,11720.450169585132,12179.110797985206,12630.32261710944,13072.53619970172,13504.376909943243,13924.636898946505,14332.244923959324,14726.32365707926,15106.15016637578,15471.146386012666,15820.86474514533,16155.088382733937,16473.74117477424,16776.80768404645,17064.33315821623,17336.490653483823,17593.637513020483,17836.153845802703,18064.440644361148,18278.930518226192,18480.160255180883,18668.69998922497,18845.099897087155,19009.890863405773,19163.646867100175,19306.96241663403,19440.402533954162
D,365.9550620939966,434.31728295030007,507.9081888278562,583.8398607921068,660.1726838628367,735.6243211504366,809.3552344711353,880.8474867790566,949.7818535904861,1015.9949708615038,1079.4197805884046,1140.0417217227937,1197.9106060618067,1253.0933117428146,1305.6652890134037,1355.7281505264748,1403.3867325023684,1448.739231385735,1491.8826275655244,1532.9228668003632,1571.96077891196,1609.0905201071296,1644.399637601402,1677.974809887764,1709.9028411170866,1740.2651178931203,1769.1383865724667,1796.5947532645773,1822.7016879861385,1847.5250240910043,1871.1292456660112,1893.574623030509,1914.9184616911039,1935.2151023416616,1954.515920863303,1972.8693283244074,1990.3207866026394,2006.9148127849073,2022.6944010824145,2037.6998486810808,2051.969536940486,2065.539931393869,2078.445581748131,2090.71912188383,2102.391269855185,2113.4908278900725,2124.0446823900315,2134.0801681937764,2143.6243190498544,2153.10427602075,2162.5993714494743,2172.018694133877,2181.8133146457376,2192.940034071407,2205.4107557107586,2219.0425330630046,2234.033044438437,2250.5313826922816,2268.702473090148,2288.755710233208,2310.928834664972,2335.4188054011593,2362.464891335546,2392.338512238166,2425.339826220597,2461.791340947379,2502.0473536250165,2546.5049022969783,2595.6038796508556,2649.8270330183655,2709.704223703108,2775.809354465218,2848.773266230256,2929.300131425322,3018.1675598521288,3116.2265986870066,3224.4139195214334,3343.732981623751,3475.2664369331987,3620.224781250673,3779.9468865536733,3955.9000009963015,4149.684031509845,4363.005947276538,4597.638575833838,4855.547929554022,5138.907151907842,5450.096517464554,5791.701758539501,6166.381625934987,6576.818872528107,7025.946480480531,7516.967705086841,8053.356074774618,8638.787494360204,9276.70746695788,9970.600087620385,10724.181531898945,11541.3992835187,12426.391228540204,13382.799788149629,14413.854484723392,15522.806476874339,16712.925036843786,17987.399113058145,19348.299773128045,20796.91441467936,22334.233475727793,23960.94016422878,25676.932604811118,27480.316147537313,29368.503844470757,31338.40209595164,33386.26216598534,35506.51186810169,37692.53299759129,39937.34749682939,42233.551712462046,44572.41185836356,46944.39489067629,49340.047943243975,51749.965260739846,54164.137819887146,56572.462637916025,58965.41923595566,61334.034461470605,63669.477369192704,65963.4892172205,68208.67441439464,70398.4631882056,72526.93606659872,74589.12206000517,76580.85600618766,78498.73471782563,80340.02892333482,82103.16990189208,83787.34119324086,85392.08040821328,86917.2792188956,88363.50532417651,89732.28788761624,91025.31897962643,92244.43118255145,93391.65050078346,94469.57090501153,95480.99010191944,96428.62486057112,97315.11425128502,98143.34605593547,98916.33671491298,99636.9652406789
E,37.83545826927384,43.87451656656893,50.51327267960537,57.473028446404385,64.56576776072768,71.66570729570283,78.68858972681764,85.5801876196786,92.30467053613276,98.84070236755139,105.1759376613873,111.30298754144209,117.22063419264646,122.92947254463975,128.4311785392264,133.7301378963265,138.83134415994604,143.73953982574326,148.45969694904258,152.9978957525834,157.3600544358268,161.55179132683153,165.57842990239754,169.44545589295166,173.15861267798186,176.7233833914613,180.1450316995704,183.42860180069678,186.5789186509017,189.60078459991703,192.49907008853376,195.27843829787588,197.9433815152078,200.49822113393463,202.94710765360207,205.29402067989625,207.54276937985117,209.69710130275772,211.76079506852784,213.73749163756045,215.63068414839395,217.44371791770664,219.17979044031665,220.8419513891816,222.43310261539915,223.9559981482063,225.41324419498028,226.80758121841794,228.14177290972287,229.48083559540964,230.83406982930748,232.18511427546306,233.60392379901324,235.24104549035354,237.09876342921564,239.14976204563544,241.42741287350097,243.95783857857415,246.77020904648302,249.90130017035662,253.3929338420937,257.28104681299294,261.6090350914061,266.4261910490976,271.7872138879432,277.7512364544652,284.3835430191933,291.75754046773113,299.954779263318,309.06495344683015,319.186879645515,330.4282301434895,342.90771426030074,356.75826647731276,372.12706820240214,389.17554776995695,408.0818868471663,429.0380020260337,452.25169277393354,477.9559394316086,506.4090070788238,537.8944455343654,572.7220426981153,611.224237249045,653.7476675456996,700.6776400513445,752.4409173175587,809.5057179842372,872.3815454404321,941.5953449402148,1017.6809728924386,1101.2231743676136,1192.8617104421942,1293.2913581985945,1403.2490777403423,1523.4302739068871,1654.5398069804182,1797.3306342312126,1952.603722855164,2121.199997873493,2303.864299782511,2501.2601457275036,2714.056212087212,2942.925759275074,3188.5268431732575,3451.292580263535,3731.4967652358337,4029.3523849710923,4345.00962018192,4678.458780753137,5029.323294370634,5397.084172791695,5781.118957224823,6180.671501801043,6594.611760348505,7021.595207217578,7460.206432559669,7908.945787631874,8366.042276445281,8829.56335938127,9297.59875092789,9768.253622064352,10239.512687020862,10709.34594828714,11175.84882952382,11637.234567010793,12091.748645208976,12537.757564003641,12973.80726323781,13398.615014396899,13811.03181998916,14210.10344143372,14595.03857608538,14965.19947827298,15320.083664809894,15659.422815973907,15983.09793889737,16291.057393966998,16583.31689279971,16860.025348955824,17121.522172692323,17368.174800743367,17600.37479609368,17818.54867768324,18023.232810386195,18215.000307957045,18394.404998818765,18561.98209371857,18718.313075010487,18864.00207814416,18999.623567758823
F,49.92963715830219,62.57532033511673,76.50551872067945,91.09729375193022,105.92977490407853,120.72186206743805,135.28647550705,149.50482884774453,163.3003561117491,176.6297100513301,189.4702016001603,201.8105690124805,213.6535383035274,225.0058485973943,235.8764859470105,246.28037628066838,256.23354605884896,265.7510636352803,274.84815919158217,283.5423211862584,291.8503307635217,299.78791938255904,307.36978145101347,314.6107191173433,321.525867082005,328.12949073887523,334.4351134632175,340.4555166116804,346.2027402436744,351.68864157239483,356.9250273551752,361.9230216199204,366.69324740242683,371.2458267463827,375.5903807033678,379.73602933285355,383.69139401234247,387.464946033293,391.06503265066243,394.4995613792477,397.77608109907123,400.9017820553813,403.8834958586526,406.72769548458507,409.4404952741048,412.02765093336365,414.49455953373945,416.84681751561,419.09002080190743,421.32840361478486,423.5793246269227,425.8187508217517,428.1576921465558,430.83320411619735,433.8484805579684,437.1591604136986,440.8157511924678,444.85699502015177,449.3259260966449,454.27699753667315,459.7720714020419,465.8632544899855,472.61365810814044,480.0949023917361,488.3863038688887,497.57330193074563,507.74993889936627,519.0217440947472,531.5057641790702,545.3305631567023,560.6374702908029,577.5798943014565,596.326631904812,617.0663492589107,640.0076115932735,665.3788832088992,693.4319148218095,724.4368013695648,758.6852182036104,796.5036664004742,838.253618605536,884.3315190330248,935.1699945776948,991.2311971779209,1052.995229244883,1120.9949722613437,1195.8199378869072,1278.1162679580252,1368.5863063117827,1467.9524261322774,1576.9430146880131,1696.3547312689852,1827.058081603234,1969.997417856865,2126.1721538228835,2296.5166608127083,2481.9742182284544,2683.5506248959227,2902.3139907594123,3139.383353279382,3395.737567171953,3672.237762405871,3969.748327618791,4289.1359485009725,4631.242285085147,4996.595083421517,5385.501213589233,5798.183509443275,6234.77801711804,6695.201997539193,7178.874350049797,7685.0241267979445,8212.743929879469,8760.949159542663,9328.056205347444,9912.200473332245,10511.429450509164,11123.68472811994,11746.553779180698,12377.419140653406,13013.70115120421,13652.848647989082,14292.161139898599,14928.929788713769,15560.618280320481,16184.8524915629,16799.31123240439,17401.842241822746,17990.533161207724,18563.70060877058,19119.845000339912,19657.73054838498,20176.335979708878,20674.8416791007,21152.607960142126,21609.310476671126,22044.82091961556,22459.097196887466,22852.183430733054,23224.300436621343,23575.9228987264,23907.559415793006,24219.74882273852,24513.074826569376,24788.26586140162,25046.097595137733,25287.319009296836,25512.653304036994,25722.884021692487,25918.823798936515,26101.24515016083
G,9.09999999999999,11.873351066960153,14.993410699197588,18.312002944634674,21.72881313322153,25.176332551020245,28.608921218956215,31.996751619130492,35.31968172688244,38.56521100762548,41.72559124429859,44.79571010455942,47.773736330208465,50.65883293952203,53.450776920835054,56.15081309101288,58.76055208062934,61.28152344584247,63.71542602835428,66.06458309030927,68.33127825807742,70.51768380048706,72.62586319235805,74.65800476118822,76.6164697958211,78.50352139710493,80.32134391708287,82.07204295899278,83.75764548252575,85.38019509710718,86.94180081266771,88.44449389999365,89.89024133227542,91.28094578510763,92.61844563648897,93.90451496682222,95.14086367697023,96.32918204379367,97.47119957017912,98.56859662151088,99.62299100290784,100.63593795922347,101.60893017504584,102.54339777469762,103.44070832223603,104.30216682145276,105.12901571587432,105.92257423403848,106.68418003485952,107.45276422204472,108.23298765991827,109.01429558784777,109.83900131472458,110.79879698597888,111.89533234592503,113.11267918373883,114.47216139009078,115.9908509750068,117.68795234490858,119.58761742105868,121.71737488280374,124.10145043842091,126.76905632079566,129.7534695443614,133.09175961248818,136.82423946855266,140.9956839128013,145.6566691081179,150.86358695254629,156.67864507929036,163.17068050027416,170.41529313725118,178.49626708622435,187.50785709264065,197.55480493219986,208.75233941085415,221.22814553995113,235.12112227465326,250.58279196162403,267.7837905228517,286.913942300249,308.18226005565316,331.81782157772926,358.0696625320486,387.20054306398055,419.50400266838676,455.3064663248967,494.9672444979096,538.8787478335884,587.4542751186577,641.1195851510507,700.3439421171452,765.6434955523166,837.5812803409494,916.7597678838401,1003.7669794343275,1099.2087968559113,1203.738427970566,1318.0565423248436,1442.9058591115086,1578.9764399519834,1726.912855031589,1887.3771984973257,2061.04917947059,2248.6111895800504,2450.588726269676,2667.39464478786,2899.4013927648166,3146.9394655683477,3410.21804270067,3689.1524925309823,3983.535614410687,4293.0662733052,4617.32342914615,4955.556052535705,5306.807022595026,5670.031889008016,6044.087193446561,6427.5594407293775,6818.852275435171,7216.354833281059,7618.436424271782,8023.315334276851,8429.152005141814,8834.194399251715,9236.772287108908,9635.206093119068,10027.894486367804,10413.39289015297,10790.407062075234,11157.74343152995,11514.369359434633,11859.410895067596,12192.145904650077,12511.97826765752,12818.51599179952,13111.516939045096,13390.816484343813,13656.327513621456,13908.090900771402,14146.325534641006,14371.291487354978,14583.28061717986,14782.62573793932,14969.76973848239,15145.198097773984,15309.383747701262,15462.78762506537,15605.92014752479,15739.318167141035,15863.49422085294
H,8.89999999999999,12.011238621228085,15.535844054162984,19.302069533220326,23.193184080238588,27.130174168496335,31.05918769633616,34.94458979934884,38.76193870671127,42.49564809145826,46.13567858470561,49.67511446624012,53.11090270351967,56.441231421242925,59.665093524276415,62.78325779244701,65.79700078527082,68.70759169589424,71.51657283714151,74.22627442710274,76.83904646922389,79.35716681436901,81.7828438308346,84.11847124219538,86.36669547772259,88.53008617444964,90.61114663417833,92.61231382347911,94.53595845919646,96.38448164137598,98.16039898149428,99.86615934886441,101.50413835882817,103.07663837275645,104.58588849804876,106.0340445881337,107.4231892320535,108.755379669324,110.0327548253727,111.25740414524542,112.43133484428971,113.55647190815492,114.63465809279221,115.66765392445434,116.65713769969605,117.60470548537361,118.51187111864516,119.3802693411058,120.21157122502316,121.04634579594052,121.89037583450572,122.73340063173502,123.6190834518663,124.64143538300924,125.80182662338675,127.08310551250639,128.50601511160954,130.08676150309506,131.84342737354478,133.7988130862404,135.9788394389946,138.40572462229844,141.10629889052146,144.11102518440873,147.4536920877776,151.1707980977987,155.30260610210837,159.8943658254954,164.99632683963148,170.66373856307095,176.95744087058375,183.94364972643376,191.69532084624413,200.29412264833155,209.83044962298897,220.4034223324851,232.12241547422332,245.1050465998969,259.47853176610886,275.3854795007066,292.98395515985237,312.4474809280233,333.9656024898899,357.7413201779085,383.98586137990526,412.93397504874196,444.84565175623305,480.0061236931489,518.7257204909392,561.3244284245669,608.1253900435315,659.4824343565294,715.7826098266391,777.4461843713303,844.9184630192772,918.6167966952672,998.9628735335608,1086.40680553653,1181.4270586069106,1284.5253997544044,1396.1415846026703,1516.6628071572056,1646.478020081717,1785.9775729806684,1935.5409462283462,2095.406439461691,2265.712478246378,2446.5597146635905,2638.009839526735,2840.025888477357,3052.3447556315646,3274.617440133949,3506.433864317321,3747.3044011776456,3996.512896022716,4253.216024632392,4516.532572834031,4785.535284141335,5059.136801048074,5336.157959158123,5615.439939626663,5895.839992588392,6176.148932669889,6455.155876043947,6731.7313780015975,7004.82251297352,7273.401603821347,7536.519366137265,7793.336846698123,8043.120219622141,8285.219165481503,8519.10330876552,8744.338807806122,8960.582322164919,9167.570871164713,9365.182968774297,9553.384030848505,9732.176198676223,9901.598337766738,10061.767089797982,10212.911459440638,10355.273341077214,10489.106113729506,10614.681302754356,10732.333212807465,10842.415257968649,10945.267365082304,11041.21638823337,11130.614432412103,11213.825085199645,11291.19291142756
I,25.41107527253837,31.952509827089663,39.190324567724545,46.79943482340644,54.55989220242969,62.32425675378056,69.99372975285252,77.50480638590271,84.81575810502832,91.90202136596248,98.74973347721352,105.35098657156567,111.70518714498982,117.81392429091235,123.68007783732057,129.30971940615964,134.70962301278175,139.88621951093063,144.84616336147332,149.59739200923255,154.14760238949967,158.50406902860092,162.67365007550902,166.66334762206804,170.48043783539157,174.13183351031554,177.62413100281273,180.96361022999207,184.15623497124983,187.2079110440362,190.12460043760242,192.91197413773403,195.5754654764532,198.12027013201896,200.5513461289273,202.8734138379108,205.09095680219443,207.208384121638,209.23012224882493,211.16040232722375,213.00326467608141,214.7625587904231,216.4419433410526,218.04488617455178,219.57466431328106,221.0343639553791,222.426880474763,223.7552788202553,225.0226563485668,226.28809338261863,227.56133408641296,228.8286380867391,230.15297425758405,231.668910988572,233.37821934962932,235.25567152522132,237.32991823354286,239.62293444197297,242.15913056628284,244.969396477272,248.08882551085716,251.54697214900997,255.37963466119163,259.627438684049,264.3353777059916,269.55191606940537,275.3303977676959,281.73069121710324,288.81920658805944,296.6688958051883,305.3599635518892,314.97946622454606,325.62320504561524,337.3982884693495,350.42314910780954,364.82754373086414,380.7544870058657,398.3574161152774,417.8020591905766,439.27401502553255,462.97883646289574,489.1420303943986,518.009752968213,549.8450303171805,584.9211628888302,623.5416716678883,666.0425040596363,712.7920338899143,764.1908306528657,820.6511340939746,882.5888071137786,950.4590351512392,1024.7595420993584,1106.03059030519,1194.8443330683624,1291.7363587637783,1397.2478538316814,1511.9565284988269,1636.4765126928366,1771.4518746235472,1917.4474182017993,2074.9612949230477,2244.4946216094972,2426.5509982238505,2621.620841656216,2830.0154130829605,3051.9199225153798,3287.4723509939713,3536.761898478233,3799.7527839916365,4076.1224282764742,4365.439123208778,4667.192864275659,4980.771715393074,5305.274775262133,5639.637827430222,5982.745243209314,6333.419529258813,6690.276382336814,7051.810752597105,7416.538469534093,7782.990842057611,8149.610178901874,8514.83170310916,8877.190051291518,9235.313262505122,9587.85787586285,9933.576900492499,10271.362601946399,10600.240139033283,10919.339952504426,11227.944587040685,11525.46149903227,11811.41563637112,12085.436128306445,12347.334068201144,12597.034589354336,12834.513118384808,13059.795373677593,13273.00930315002,13474.429646707445,13664.351006814995,13843.085413566734,14010.97079018661,14168.428810512898,14315.908388676096,14453.842776161524,14582.650085325748,14702.783239078371,14814.711854145646,14918.882121104265
J,10.599999999999989,13.167867711446764,16.035381127070824,19.08313013395513,22.230276291041086,25.42211485790289,28.621157359367835,31.802287888697272,34.947874000167275,38.046207954403805,41.0892643959942,44.07106455929203,46.98823512062204,49.83824011511575,52.619111803480564,55.33011846932399,57.9709190762961,60.541242022532906,63.04107173219406,65.4709764310566,67.83160853932722,70.123653690824,72.34783234385756,74.50505129834161,76.59644266377624,78.62315306821094,80.58634654565029,82.48720453605404,84.3269259031067,86.1067687797544,87.82811571334624,89.49235789407936,91.10087346766137,92.65502753531011,94.15617215375397,95.60564633523163,97.00477572683607,98.35487677117655,99.65736701021923,100.9136683280791,102.12516133163011,103.29318535050527,104.41903843709663,105.50397736655528,106.54921763679134,107.55593346847404,108.52525780503157,109.45842745007316,110.35671552539985,111.26801146363377,112.19711751711066,113.13024700505221,114.1198857246508,115.2804342745994,116.61416360706079,118.10182859086261,119.77094679132402,121.64388395313225,123.745918979117,126.10878983683213,128.76872352128387,131.7580830265898,135.1158558955549,138.88653184601353,143.1197876202743,147.86983965968113,153.1971238023726,159.17009856361702,165.86526459947748,173.36716470681216,181.76959991828238,191.17606813594585,201.70163858020607,213.47613092423703,226.64413864952314,241.36502904585902,257.81581198993103,276.1901881284046,296.7004512827569,319.58635278727803,345.1152055446598,373.58188402599495,405.31020429907625,440.65497073790226,479.99338359808496,523.7482518134477,572.3909983907074,626.4416604094787,686.469509719519,753.0810274598897,826.9078807716668,908.6494126352868,999.0777069381497,1099.0375884746322,1209.4383856510447,1331.1873007425013,1465.2298647432485,1612.5926002671165,1774.3834329804165,1951.7849023385347,2145.9303595132137,2357.9105977128565,2588.862155090013,2839.968256403426,3112.4381463019085,3407.2833396935544,3725.374450163183,4067.5424325003833,4434.576594489426,4827.10597552326,5245.33790472564,5689.300099836695,6158.879840685761,6653.782638173607,7173.196359269156,7715.966960684482,8280.774328919953,8866.112808576007,9470.003280610988,10090.11560180975,10724.041027768028,11369.283672081669,12023.028020281827,12682.282832735556,13344.146053427441,14005.79717561334,14664.32200249815,15316.865052241314,15960.806752766084,16593.75527259439,17213.435190940283,17817.792626434613,18405.051612283274,18973.707126899888,19522.46426055432,20050.33864221788,20556.621340765152,21040.76859816248,21502.401825921108,21941.367812227603,22357.817385867158,22752.00840497174,23124.276150193728,23475.04662644021,23804.954236805508,24114.728499958223,24405.091532270773,24676.758815120193,24930.54823394022,25167.33795640569,25387.973276632998
