Region,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
A,96.27507612438069,104.97022719759798,109.19767363389656,110.42014279618672,109.64964482698554,107.56669938822108,104.66479273462039,101.24837028603054,97.55605875320043,93.73528525914583,89.8666202860212,86.04873673521308,82.30831282894462,78.65921315952926,75.14199876175064,71.76242937405914,68.51141219818112,65.38805730062518,62.40683721236519,59.56092809221764,56.84116286840674,54.23847074419302,51.75237028523736,49.383944214149096,47.125819053390956,44.97173203652267,42.91542039702642,40.95062731459382,39.075488898347885,37.28878150936305,35.584839956268866,33.95969556735611,32.409379670944304,30.92992359533048,29.517358668803354,28.16773679700998,26.87992290696036,25.652390250322128,24.481595680553824,23.36491115601632,22.29970863511005,21.2833600761644,20.313237437562748,19.386712677720652,18.501157754958967,17.65394462765721,16.846226672123976,16.077845671841487,64.27449274621551,64.71591740134761,64.43943160163542,67.41672366250896,77.3552004471129,87.39569020231647,96.16064184442848,106.44564285750596,117.9098782402657,130.68810689979557,145.12574903487382,161.44973671747937,179.38074223978697,199.25469922540321,221.33390577585362,245.8561778044898,273.01536580474715,303.0801338840987,336.40210483065755,373.33376283086056,414.2275920711136,459.4706681070951,509.4372087713439,564.5912220136948,625.5167823307384,692.7987634419032,767.022039066684,848.8514787229582,938.8148723580318,1037.5138715522191,1145.874072749848,1264.8246192328168,1395.2946542829604,1538.2243269079952,1694.216819803144,1863.6158103944103,2047.5334258695766,2247.1554136757877,2463.667521260324,2698.1968671781515,2950.3844652030734,3219.6141138012026,3506.576594326505,3812.0141786313307,4136.6691385686245,4480.508451384581,4839.359320759414,5211.355205904963,5595.548965223726,5990.952241512749,6396.198602842706,6803.968635856843,7207.897611341523,7604.930519911404,7991.91630182597,8365.045960846826,8713.499273542946,9029.858675186297,9311.048714015877,9553.970392623865,9753.277138706851,9899.383566244112,9991.085992177323,10029.023472422805,10013.305725116139,9940.173886467404,9811.2130585194,9631.889091370209,9407.417592034875,9139.895514970238,8834.214080395399,8498.009758023674,8138.6180806679895,7760.432242858676,7369.096617450998,6970.952417086681,6571.917388052052,6175.538034230766,5785.719223634407,5405.7875114256,5038.755406103562,4686.324737143624,4350.294439368665,4031.3269788194,3729.865450210274,3446.0471189152263,3180.4888407816943,2932.894358975662,2702.171859938626,2487.2295088918618,2287.6405035680937,2103.4419070619065,1933.36595005866,1776.2621074388412,1631.1227427191534,1497.630608933403,1375.0003763219424,1262.221481021361,1158.2946911021102,1062.7835262813564,975.2104941168781,894.7995726777882,0.0
B,64.41694997137972,72.03380474087419,76.2532976312284,78.17342280454795,78.54962300748991,77.88739563186141,76.55291277722267,74.77143099694842,72.7204597107932,70.51049430905493,68.20292667415106,65.87345926241073,63.54478088988617,61.23052152233356,58.963964042429666,56.752775504836904,54.59402609242875,52.49061937056331,50.45620891008207,48.48890440827961,46.58505955139901,44.741089603992805,42.9590478371008,41.24218045748319,39.58735350221798,37.99193476818277,36.453292052065876,34.9687960347311,33.53829272360383,32.1626916930752,30.839508897442556,29.56676086558423,28.342464126489745,27.164635209038693,26.031290642180807,24.940453183457862,23.891515791423103,22.88487069098312,21.918901825816306,20.991929737108876,20.102274966094342,19.24825805404828,18.428199542136213,17.640419971663846,16.883239883784995,16.15497981975591,15.457239859176184,14.790327905844833,59.37069913140226,59.99365184439989,59.89672865770342,62.90035530535363,72.57138972688733,82.34002704978252,90.89640280424976,100.92791321796778,112.11217140168742,124.58204261857134,138.67202004460717,154.60299421147886,172.11066368203694,191.52080996788573,213.0884920671806,237.04536632740337,263.5810897872957,292.9572427551226,325.51516669195064,361.5970321476376,401.54500967213255,445.73478022548795,494.52962269699356,548.3784633233986,607.8459277593241,673.4974136838381,745.8983187759284,825.6903894650419,913.3824115590245,1009.55408003038,1115.0957519325411,1230.9011819263617,1357.8641246726725,1496.8883541044077,1648.549953576454,1813.1790015202437,1991.8411471393865,2185.672076099211,2395.8074740651823,2623.3265195934628,2867.883034221987,3128.8911257906702,3407.015019204722,3702.96743625244,4017.461098722886,4350.47027709093,4698.0291592925205,5058.375536977692,5430.6242423433105,5813.850843963984,6206.771706263624,6602.449171131768,6994.851074866611,7381.0840686025695,7758.163116963284,8122.474728354284,8463.714951777614,8774.791061465525,9052.714696502053,9294.473092677119,9494.882482558642,9644.643776805946,9742.438857260853,9788.695859199508,9783.330981218836,9722.491015508227,9607.45080677054,9443.245542313136,9234.674900379612,8983.544609943852,8694.383724551337,8374.469121875685,8030.801033518548,7667.565206274244,7290.206938284676,6904.947740635402,6517.608629706392,6131.700800501418,5751.118903047838,5379.2562887803015,5019.2013223002095,4672.716345106736,4341.6655515464945,4026.8319148960345,3728.783867190186,3447.752323757816,3184.3950065612094,2938.505272367884,2709.0823477863546,2495.1254375939357,2296.254706287698,2112.522599977771,1942.722630155752,1785.744075239764,1640.613730858482,1507.0331197471678,1384.2402485916632,1271.2408739541818,1167.051703468086,1071.2481818423037,983.3616606132489,902.623422188346,0.0
C,176.00455519229956,188.19806633270377,193.43610220971345,194.0175176974128,191.5318685347911,187.04707920034855,181.33679800572622,174.87727490558268,168.0412757603484,161.05817510925147,154.05222912281624,147.17630328634198,140.47009465182919,133.95321267652628,127.68736824531823,121.67962028637169,115.91375076206975,110.3864972697869,105.1188164949973,100.09826800553526,95.30882136720174,90.73459933850665,86.37332577061397,82.22516555688333,78.27713451484328,74.51807101530869,70.93681342914488,67.52220977850561,64.2701725475423,61.17755417337173,58.234308069933945,55.43321255654644,52.767045952613216,50.2285865774852,47.810612750471364,45.505938674016306,43.31215516249449,41.2259280336109,39.24080786160664,37.35203182919565,35.55483711899569,33.84446091369841,32.216140395932825,30.665112748362503,29.18661515363715,27.775884794441822,26.434396330544587,25.16158733229736,100.10029162438707,100.37490719614402,99.6651165329655,103.77856592763408,118.13448383419268,132.61375524270727,145.1420229846816,159.80099427165771,176.07177397014618,194.12499792024346,214.4377633085768,237.31404699862173,262.3157815762024,289.8950586481177,320.3931656937672,354.11274042592015,391.2896704149682,432.2565903845758,477.4545062757553,527.3255241317759,582.3117499959325,642.8894859928056,709.5018657236174,782.7165937253353,863.2467876088864,951.8064737668916,1049.1096785920345,1155.9590806007377,1272.9530012933503,1400.7937606552994,1540.584848672111,1693.4340233493567,1860.4490426927202,2042.7443206258308,2240.9431689623298,2455.377697473796,2687.33873174118,2938.203000193207,3209.347231258962,3502.07054652041,3815.7744999193483,4149.598494453241,4504.312839050442,4880.7444927523775,5279.720414601221,5701.125222618335,6139.843828513204,6593.636871191376,7061.395310050708,7541.959907180866,8033.724109094196,8528.054954789866,9017.521328873629,9498.638862592592,9967.810156255835,10420.66079489967,10844.581600941881,11230.96611986331,11576.246087720881,11876.82036135211,12126.39514651037,12313.607594580277,12436.850414657234,12496.616668526913,12492.760572157,12420.457226708239,12281.148603740556,12080.844947760783,11825.266243343262,11516.471288654775,11159.864936510832,10764.240071743232,10338.059484262152,9886.406764467762,9415.944300054765,8934.329452770147,8448.74140653848,7963.597259432641,7483.80915604323,7013.6882645533415,6557.175488614697,6116.61576957204,5694.492188341493,5291.918977095671,4909.743824588117,4548.392336937969,4208.857601916878,3890.9995560579773,3593.6557236153017,3315.6636009944673,3056.6459448504133,2816.76590591777,2594.5578631097646,2388.666841555951,2197.909932742103,2021.9622083303889,1859.8923142075994,1710.45261703315,1572.4091459719139,1445.2466239857777,1328.382889820409,1220.840766510506,0.0
D,1060.1685533687623,1141.2559083817437,1177.5767063985827,1183.8597485111686,1170.3042838595147,1143.7738657745608,1109.2472058135208,1069.7964282308767,1027.8280976830133,984.8268107680487,941.600660427911,899.1398645003146,857.7058291358644,817.4296125036199,778.712560961822,741.6034888019954,706.0003031322963,671.8842472943174,639.3925720172488,608.4467871108004,578.9448831949239,550.7858406070036,523.9564442927808,498.45876104875515,474.21011637126094,451.1397239508942,429.176797477714,408.2506135250992,388.3360557269134,369.4129375765524,351.4171840801114,334.3034598616305,318.0264295463967,302.5407577589949,287.80110912409236,273.7623822688447,260.40987301578116,247.7211027816261,235.6551210942216,224.18244834644065,213.2736049311984,202.89911124127957,193.02948766983582,183.63525460930896,174.68693245286977,166.15504159339343,158.0470577261426,150.3586930655415,597.6433147648754,598.8231935912645,594.2570392590947,618.2520839515728,702.8193385634454,788.1040656605815,861.8015243764935,948.0220233316204,1043.6840013953351,1149.7795780979372,1269.1118604214148,1403.4611162808196,1550.2225342048878,1712.0478212520102,1890.9332126754803,2088.64485779311,2306.556918657879,2546.6137504662906,2811.392654140229,3103.4773260308366,3425.45146249012,3780.099165530184,4170.02464934828,4598.563787089751,5069.897541554531,5588.212158838084,6157.693885036213,6783.056600559908,7467.889404943626,8216.388700247093,9035.077612269526,9930.504148997365,10909.21631841727,11977.817630724381,13140.272504852439,14398.853327536463,15761.375439170508,17236.163444133806,18831.541946807374,20555.41489739396,22405.14774110231,24376.55407093465,26474.804638803198,28705.428624846092,31073.955209205797,33580.596703295596,36197.257571381495,38912.00611613743,41719.349543914315,44613.51401955514,47586.13927997852,50588.3320934967,53577.74495776869,56534.244250658776,59437.00351419197,62260.57735295594,64930.75361995328,67395.92467147687,69633.14332071086,71619.21030109456,73314.56661467184,74648.39470933657,75607.22013566845,76189.80775749077,76391.08544775419,76177.31513464439,75552.37259281683,74548.26609155229,73195.37246887907,71502.3519761627,69498.68025135154,67235.96502470081,64764.042241334166,62112.75054040595,59322.3634999206,56440.71886397828,53512.88633761309,50567.003329139065,47634.80221530117,44745.158043352945,41924.68133928777,39189.571607931655,36557.01356837749,34036.030025419626,31633.98548695476,29355.14013401141,27206.807463104593,25189.515594700246,23297.183515318888,21523.73002392943,19867.59845152552,18330.30313860467,16903.352626807868,15578.693701396403,14349.309282504431,13213.500555331537,12165.684770706226,11198.12420170667,10303.163730734608,9477.721366700955,8718.222932937391,8018.516395896675,0.0
E,104.02390119351048,113.07180918953918,117.57313509538517,119.01684582702569,118.42827617119042,116.49373528231195,113.7099501919646,110.38191207219143,106.74920776677754,102.95992705585286,99.0950943127657,95.25502890878204,91.46771775733987,87.7486923671014,84.14043738317991,80.65054065857498,77.27207208427853,74.00621162905543,70.86908511629167,67.85564987939608,64.95859718371457,62.17070837404572,59.492834346986456,56.92734003046303,54.468147208285586,52.11009472674357,49.848021432068094,47.67677102125299,45.59499357167101,43.60235185735576,41.69409033206978,39.866629899593136,38.116391463757736,36.439795928411286,34.83326419735704,33.29323157966496,31.81844959920477,30.40815997027005,29.059283183218213,27.769155650051744,26.53511378283008,25.354493993574465,24.224632694347065,23.142866297152295,22.10653121406267,21.112963857072714,20.16367923979078,19.258672273448155,77.07040632954488,77.67506789143533,77.40468140282826,81.05390349313677,93.0984192752669,105.25977616600142,115.87283672709088,128.3094811138925,142.15796425473684,157.5775044139283,174.9804395937307,194.63644880864865,216.20535160106112,240.08607817998734,266.58813195445396,295.99086601632234,328.52086013483176,364.4927643701966,404.318088076742,448.40933854485456,497.1790230647356,551.0788256705872,610.545459570593,676.1215909861319,748.4879565281606,828.3262057968077,916.3179883921872,1013.2372635073378,1119.7057503860597,1236.4326117031123,1364.4982560183,1504.987158501468,1658.983794322447,1827.5869180369746,2011.53390726697,2211.271812341745,2428.12452502471,2663.5010551725713,2918.8104126421567,3195.3990699390342,3492.9925114963385,3811.0311623851785,4150.430698128073,4512.16946995483,4897.225829096006,5305.725732026655,5733.232931409013,6177.84674883045,6638.688199595594,7114.833299738555,7604.932209374302,8100.954269225605,8595.870198447124,9086.250951830334,9568.550726685708,10038.455256409165,10483.508957395525,10894.956907767726,11268.810303391056,11601.03928001889,11884.896699189956,12108.39936724404,12269.191777766442,12367.005864470886,12400.943527257321,12365.35872226832,12260.939234273432,12093.154834306872,11867.207248423772,11584.666897571824,11250.60585753661,10873.823908900256,10462.819373805649,10022.676529027385,9560.211195802709,9083.48442175318,8600.081039974555,8114.669907420123,7632.503483536455,7158.340983453728,6696.556068056258,6249.732964775648,5820.608066104057,5410.577825459615,5020.761576482806,4651.758534177921,4304.637338189003,3979.389312476084,3674.9331332378374,3390.1874459052733,3124.8100004702274,2878.9644428948714,2651.205963916128,2440.1688330892216,2244.6588057192985,2064.3499278339914,1898.2961733092448,1745.217010721276,1603.8456231013304,1473.6556461778555,1354.0496244854778,1244.0204066636265,0.0
F,197.98638314144978,216.25915564169622,225.24664765072248,227.97802115513934,226.54997392947598,222.3733793585202,216.47231992379795,209.479557675318,201.89178447738504,194.0168140181902,186.02387887206635,178.11980842808669,170.3620248190955,162.78133036293275,155.4637493647367,148.42295211358294,141.64172226914206,135.11973386396755,128.88830057413486,122.934433460984,117.24013993927838,111.78762262324335,106.5766153019465,101.61013903006199,96.87348594689672,92.35408641192589,88.03937078462025,83.91678116880621,79.98257802476962,76.23459565744895,72.6613844206737,69.25471262068788,66.00634856375825,62.90806055627013,59.95161690432144,57.128826414581,54.43717371022274,51.87367671337324,49.43101572971011,47.10358153902041,44.885764921155555,42.7719566558543,40.75654752291916,38.83392830209789,36.998489773241886,35.24462271607308,33.57473240217291,31.988479764328076,127.46606226154597,127.99533926299455,127.21846984051979,132.6747669753006,151.4000635910735,170.2914137188418,186.67649819996132,205.85478635163975,227.15998959719138,250.82155194769587,277.4667441339983,307.49825029266844,340.35683795330146,376.640552070603,416.8045233349892,461.25446655868996,510.310651968637,564.4227259272313,624.1841652992132,690.1899126385621,763.0349104992363,843.3635627177039,931.7836449749594,1029.0659414157003,1136.1779214494088,1254.0883072519298,1383.7658209992849,1526.303375955212,1682.5391614780626,1853.4468045823,2040.5379893435183,2245.3301836462297,2469.340855375086,2714.1007422629787,2980.5318832049074,3269.155314401706,3581.7726366260235,3920.3036751291056,4286.6682551623635,4682.687244134459,5107.71070530326,5560.713854232918,6042.841751072178,6555.321208766953,7099.379040264167,7674.989221915985,8275.45456003932,8897.865316394522,9540.81657153746,10202.836962263968,10881.848400456896,11566.244257891685,12245.966520707474,12916.227595782999,13572.081925396618,14207.513288291999,14805.157207904707,15353.019992185995,15845.933808856636,16278.681033956116,16642.301362726357,16920.719303311627,17111.300640296868,17214.314376641243,17229.149429184898,17148.673679634914,16974.47351998107,16714.58350000547,16376.648049196612,15963.252321294223,15481.702289539702,14944.184759995353,14362.44421283259,13743.517798244664,13096.713293365252,12432.853445118544,11762.09864421617,11090.692861080086,10425.615237058943,9773.071469477945,9138.745584317337,8526.003330082362,7938.4109136127445,7377.656090057714,6845.051625858174,6341.273066695267,5867.72953997168,5424.293278541592,5009.394272690318,4621.4624725759395,4259.9914480816515,3925.205937844362,3615.08639523964,3327.750252697904,3061.5531105865625,2816.0445640922426,2589.9274316221163,2381.457513768724,2188.9095719846455,2011.5649332582416,1848.610262545746,1698.6777567066765,0.0
G,46.604228769190456,51.731776091454066,54.549496836523105,55.807152797306486,56.01945376175587,55.529973277091614,54.58719409116205,53.34343345537059,51.91866707854081,50.38734143923145,48.79055383571318,47.179353283916896,45.56878662416642,43.96783898716237,42.3989221018976,40.867094282720274,39.370312480260424,37.91050700528362,36.49687035377846,35.128113407132304,33.80181623504183,32.51560081989311,31.27088809010081,30.069861646445787,28.9104544087987,27.7909564326456,26.70965777355326,25.664850414846796,24.656470838972524,23.68513754222795,22.7492254371071,21.84745193735469,20.97853445666584,20.141190408918618,19.3341372077586,18.556096037523133,17.806656999667496,17.086101261292043,16.393389668271197,15.727419001408208,15.087086041403325,14.471287569078385,13.87892036511704,13.30888121028562,12.760066885341587,12.231374171035782,11.723871045241623,11.237754773261884,45.26094229031372,45.86056394394029,45.86755193333235,48.31881380994366,56.050378446096374,63.87100996712712,70.76114238971667,78.8603977360385,87.92027503260195,98.05784914890393,109.55159301635302,122.58958104278977,136.97502308616734,152.9854730635873,170.84404643070147,190.75655709839873,212.8978303325277,237.507980795571,264.896744965726,295.37458978805455,329.25198220772114,366.87663168682576,408.60249462883615,454.85575539237567,506.1703282129862,563.080887727633,626.1221085735494,695.9111841171232,772.9987485014561,857.9953602153363,951.7927449369496,1055.2858446169498,1169.3696012059345,1294.9617337040609,1432.8462513171344,1583.5684651285376,1748.3274597309573,1928.3951616647757,2125.043497470378,2339.513901225854,2572.0692732397283,2822.705785430151,3092.4924820133674,3382.56527866554,3694.0600910634253,4027.5257569563482,4380.284795268583,4751.336818828212,5140.427159265706,5547.271825198788,5971.254573206799,6406.555061662676,6847.892220725026,7292.5417105330325,7737.673763434307,8179.794302638808,8608.399172742043,9015.65599761799,9397.372528311478,9749.301345889635,10064.685786073409,10331.70104652188,10546.743973938575,10707.986375851931,10813.040138824254,10855.029575266926,10832.834808205065,10750.014409164007,10609.932191646547,10412.761552079566,10162.139346579748,9865.80093327352,9531.281747812362,9163.02987055153,8767.39685689227,8352.439099391651,7925.798247817673,7492.182991488699,7057.031976521659,6625.595300669048,6202.7443401827695,5791.305646642159,5394.27689929299,5013.518335575238,4650.617294114847,4306.469978417181,3982.1679350580325,3677.9692207782573,3393.0566990047496,3126.613198911729,2878.3828839518346,2648.487587219801,2435.6588555063877,2238.6323829740913,2056.297613134766,1888.3445905155536,1733.881893925046,1591.6863134460382,1460.547162805295,1339.9617334078548,1229.3578241743364,1127.7695106219874,0.0
H,46.838994091232166,51.87447023968372,54.606379565138184,55.78032765433596,55.90921250603998,55.336181574531224,54.30978575054854,52.98292596662071,51.47610847949932,49.864373448993774,48.189451417720534,46.50278536148403,44.81984941132714,43.149970341830794,41.51580018990376,39.9225963338144,38.36841132575455,36.85524135239183,35.39238444119559,33.97855972795708,32.61125663229467,31.288005637530773,30.01014562547323,28.779895789769796,27.595062898268054,26.453754568097622,25.354078416376126,24.294143950358546,23.273740399922872,22.293501056102798,21.351663888698283,20.446745860421288,19.57726393396507,18.741735072051767,17.93867623736969,17.16660867875919,16.425048949100415,15.71432111401947,15.03323649921714,14.380529632759362,13.754935042720604,13.155187257188686,12.580020804239098,12.028170211945337,11.498370008393351,10.989354721662664,10.502361319645445,10.037649782180267,40.20816532076151,40.55873585972216,40.4447738764743,42.38832237546944,48.74370589066757,55.15910879751209,60.7599635799765,67.31947802358332,74.62151863766309,82.74972574830548,91.92065117887711,102.27587651094251,113.63646145616048,126.21170279056395,140.16380786120936,155.63913641960642,172.75609138282096,191.67902220256758,212.62315921044518,235.80425763657865,261.43807271108386,289.76049951146115,320.9981506340242,355.4334529542559,393.42125688073094,435.3168891727295,481.4756765895202,532.3003477099049,588.1087074402998,649.2650028822097,716.3289307810911,789.8623161933588,870.4269841754009,958.5910254547324,1054.7172720146805,1159.0170860293779,1272.1647526414404,1394.8785231742831,1527.8766489513905,1671.842509755651,1826.575031728887,1991.7253206053056,2167.728501420136,2355.0507715542867,2554.158328389009,2765.0588831303007,2985.3106707756765,3213.8401344772155,3450.121496107681,3693.6046935037443,3943.514650582746,4195.535565007958,4445.903045889437,4692.801193626309,4934.355633416322,5168.29328396485,5388.098369766903,5589.249148506479,5769.789090902781,5927.74461239714,6059.7516037515325,6159.788466637399,6226.893646503313,6261.213644934119,6262.569603563114,6228.361494532738,6159.27001346856,6058.413257393005,5928.763255060339,5771.387117247547,5589.117400274746,5386.605395287237,5168.331294179099,4936.970482236948,4696.0304418795995,4449.561973245011,4201.3601153453055,3953.7119096575875,3709.166157781585,3469.9715242228126,3238.1785136177464,3014.9511789492026,2801.522343207609,2598.4392244526293,2406.1097028918434,2224.7070670308176,2054.6602721413647,1895.8569119508622,1747.6668629520623,1609.459987109096,1480.9959348913997,1362.3061510521127,1252.6196061795783,1151.2210119101187,1057.4832798917905,971.2142995578218,891.9224972191962,818.9643476356808,751.7033674039432,689.8654309273891,633.1475102850449,581.0515675766363,0.0
I,94.86192773919905,103.9306335223622,108.51330711044841,110.0712671249357,109.61390613802209,107.81911994369014,105.17851320128162,101.99537414293201,98.50799312508747,94.86422218901649,91.14562073598532,87.45210264373205,83.81210026281173,80.24146119834455,76.7824750725346,73.44282463802722,70.21553218001424,67.10162318986886,64.11712607865906,61.25688273206407,58.513279216776965,55.87879091975421,53.3540524853735,50.94144180141535,48.63464623848279,46.42820487585618,44.31665679283441,42.29454609525385,40.36041333257788,38.51400599421558,36.75037768623278,35.065761847012766,33.456391914732535,31.918501327736664,30.44832352428429,29.042108330714825,27.69871955429005,26.417526661798064,25.195305046658092,24.02931590680396,22.91682044016281,21.855079844692426,20.841355318300486,19.8729080589259,18.946999264554165,18.06089013305035,17.216432087362364,16.413807335662142,65.47463763283534,65.80734828562976,65.45225324769115,68.32793522107752,78.09150398158005,87.94221679683207,96.49731859199176,106.51158024867695,117.64085545842204,130.00680323628745,143.9378659650399,159.64580169113694,176.84283193823185,195.84328559710008,216.88754486406398,240.19062149327706,265.9233435150105,294.3250835760046,325.71133513602575,360.39837031705633,398.70246124131603,440.9673215622216,487.51926452820743,538.7703919551441,595.2383160921933,657.4413279976576,725.8977187297937,801.1936495252536,883.7851818304496,974.2001624851279,1073.2539195014556,1181.7648872598636,1300.551500140752,1430.440793950888,1571.9523430994866,1725.3894441365096,1891.7384527768484,2072.049953848605,2267.3745321800707,2478.7121147250555,2705.7746767635476,2948.066833514788,3206.2476281407758,3481.0224282622485,3773.096601500558,4082.5135299327144,4405.779164251189,4741.392140647451,5088.65349973191,5446.82944059093,5814.860515990177,6186.571746123897,6556.587289849351,6922.33221473177,7281.1453619487875,7629.782569059018,7958.821062076727,8261.697782708085,8535.511949207166,8777.33351144908,8982.175579378194,9141.1110175343,9252.528523840725,9316.398135810208,9332.209473903566,9295.859279458495,9208.030071327737,9072.9849879242,8894.778953619745,8674.703598940367,8416.672184013642,8127.355325935794,7813.188394219316,7478.01725778282,7126.966938318532,6766.053180129046,6400.928660687461,6035.055730265489,5672.319481202355,5316.207744250707,4969.918369955991,4635.325984190764,4314.417144492767,4008.1622055986013,3717.3238237061873,3442.291891758781,3183.8270655842693,2941.8727373017705,2715.576422464191,2504.085614055704,2307.1161083780516,2124.774386014903,1955.9549474685348,1799.6210477267757,1654.8659416923397,1521.4350412695549,1398.612437987616,1285.4383646264077,1180.9634337400223,1084.789702174989,996.4685738886656,915.2487014022695,0.0
J,52.46009124368618,57.572514637999234,60.409783191176416,61.71247848490543,61.985883935473,61.56516497865266,60.69191777311164,59.51320460723582,58.14502966125997,56.65927004639241,55.09553792401766,53.503694887940924,51.89875487503082,50.29011143146977,48.70025560205329,47.134945178351245,45.59329637822532,44.07821251883638,42.5994212638185,41.1566286938272,39.74848665570789,38.373684146813275,37.03432769396932,35.73330133432387,34.469346852323156,33.241434992105724,32.04853649796132,30.88962340297644,29.76498383621265,28.675852882536788,27.621215952357716,26.6000887723618,25.611487069334885,24.65442656989069,23.72792300074218,22.830992115233926,21.963251450108146,21.125619695126716,20.317420177475924,19.53758714166713,18.785054832206697,18.058757493581993,17.357629370328254,16.680604706977647,16.02661774801402,15.394602737930768,14.786063534731852,14.20140666298255,57.40171674791816,58.33358926541973,58.45827109256936,61.78336481037343,72.05214684596922,82.44857178934478,91.65071621703441,102.48509842595126,114.63208732737667,128.25762551697574,143.74153540630607,161.34430927879225,180.81958110296648,202.55174707613958,226.85510591074774,254.02251590430183,284.30785768200803,318.0588906625039,355.7218142620909,397.74386907553514,444.572295697777,496.7136296406202,554.6962959855914,619.1492550137817,690.860213130582,770.618028013502,859.2115573399403,957.5596483333796,1066.5254456094235,1187.0585192908572,1320.5178259793577,1468.267105164297,1631.6700963349294,1812.134992954799,2011.0103749783589,2229.292722726607,2468.9266128895474,2731.970723472748,3020.4837324820455,3336.4998714417106,3680.92790492762,4054.2644313999604,4458.54055906882,4895.908854762259,5368.521885309172,5877.78373206258,6420.854380209123,6997.046184872836,7606.763556130819,8250.377522100978,8927.790315696806,9631.546338660992,10354.724893190203,11093.829762493277,11845.206927029942,12604.168099709328,13355.18574401367,14086.208587521833,14790.164963254554,15459.867910256515,16083.845779489238,16641.69781833374,17125.474270204657,17529.786327035956,17848.247527581338,18066.207548642276,18178.299327503944,18187.14724057426,18095.085726953515,17898.94826221555,17601.720890324,17214.559629648033,16748.437285743377,16209.300618621937,15607.04680214035,14955.945523094946,14269.68564471415,13556.747497514227,12827.440289085996,12092.706486206645,11362.845929676943,10643.903572546116,9942.352825226615,9263.17209420712,8610.864580246334,7988.178228648023,7397.562145624144,6840.495455850463,6316.388932187964,5824.653272993644,5365.239674276776,4938.442267946634,4542.461005027866,4175.2463858474985,3834.9849811324525,3521.217378217208,3232.4340831402055,2966.428879022691,2721.0155577324786,2495.3166607116586,2288.298173615722,2098.168858414652,0.0
