,date,county,state,FIP,cases,deaths
16112,2020-03-28,Baker,Georgia,13007,1,1
16113,2020-03-28,Baldwin,Georgia,13009,2,0
16114,2020-03-28,Barrow,Georgia,13013,7,1
16115,2020-03-28,Bartow,Georgia,13015,117,1
16116,2020-03-28,Ben Hill,Georgia,13017,2,0
16117,2020-03-28,Bibb,Georgia,13021,13,0
16118,2020-03-28,Bryan,Georgia,13029,7,0
16119,2020-03-28,Bulloch,Georgia,13031,1,0
16120,2020-03-28,Burke,Georgia,13033,3,0
16121,2020-03-28,Butts,Georgia,13035,5,0
16122,2020-03-28,Calhoun,Georgia,13037,3,0
16123,2020-03-28,Camden,Georgia,13039,2,0
16124,2020-03-28,Carroll,Georgia,13045,64,0
16125,2020-03-28,Catoosa,Georgia,13047,3,0
16126,2020-03-28,Charlton,Georgia,13049,1,0
16127,2020-03-28,Chatham,Georgia,13051,15,0
16128,2020-03-28,Chattahoochee,Georgia,13053,1,0
16129,2020-03-28,Chattooga,Georgia,13055,1,0
16130,2020-03-28,Cherokee,Georgia,13057,54,1
16131,2020-03-28,Clarke,Georgia,13059,35,2
16132,2020-03-28,Clayton,Georgia,13063,57,1
16133,2020-03-28,Clinch,Georgia,13065,1,0
16134,2020-03-28,Cobb,Georgia,13067,185,9
16135,2020-03-28,Coffee,Georgia,13069,7,0
16136,2020-03-28,Colquitt,Georgia,13071,5,0
16137,2020-03-28,Columbia,Georgia,13073,12,0
16138,2020-03-28,Coweta,Georgia,13077,20,2
16139,2020-03-28,Crisp,Georgia,13081,6,0
16140,2020-03-28,Dawson,Georgia,13085,2,0
16141,2020-03-28,DeKalb,Georgia,13089,246,3
16142,2020-03-28,Decatur,Georgia,13087,4,0
16143,2020-03-28,Dodge,Georgia,13091,1,0
16144,2020-03-28,Dougherty,Georgia,13095,224,17
16145,2020-03-28,Douglas,Georgia,13097,35,1
16146,2020-03-28,Early,Georgia,13099,16,1
16147,2020-03-28,Effingham,Georgia,13103,4,0
16148,2020-03-28,Fannin,Georgia,13111,3,0
16149,2020-03-28,Fayette,Georgia,13113,26,3
16150,2020-03-28,Floyd,Georgia,13115,27,1
16151,2020-03-28,Forsyth,Georgia,13117,22,1
16152,2020-03-28,Franklin,Georgia,13119,2,0
16153,2020-03-28,Fulton,Georgia,13121,378,13
16154,2020-03-28,Glynn,Georgia,13127,7,0
16155,2020-03-28,Gordon,Georgia,13129,14,1
16156,2020-03-28,Greene,Georgia,13133,1,0
16157,2020-03-28,Gwinnett,Georgia,13135,131,1
16158,2020-03-28,Habersham,Georgia,13137,1,0
16159,2020-03-28,Hall,Georgia,13139,31,0
16160,2020-03-28,Haralson,Georgia,13143,2,0
16161,2020-03-28,Harris,Georgia,13145,2,0
16162,2020-03-28,Hart,Georgia,13147,1,0
