County,ICU,Ventilators,Licensed
Fulton,538,846,4637
Gwinnett,82,120,960
Cobb,119,169,1413
DeKalb,168,401,2378
Chatham,78,226,1612
Clayton,34,32,406
Cherokee,15,45,84
Henry,40,45,215
Forsyth,24,60,231
Richmond,264,122,1936
Muscogee,61,71,939
Hall,85,99,557
Paulding,8,15,112
Bibb,117,182,1168
Houston,36,33,276
Columbia,0,0,0
Douglas,8,20,108
Coweta,19,22,186
Clarke,104,71,359
Carroll,18,27,274
Lowndes,48,23,483
Fayette,37,26,172
Newton,10,9,97
Whitfield,34,49,282
Bartow,21,15,112
Floyd,65,77,279
Dougherty,50,74,443
Walton,7,5,77
Rockdale,16,20,138
Glynn,24,26,417
Barrow,6,9,56
Bulloch,24,9,189
Troup,20,22,276
Walker,0,0,0
Catoosa,0,7,36
Jackson,0,3,90
Spalding,22,17,160
Liberty,0,9,25
Effingham,0,0,25
Gordon,8,8,69
Camden,5,7,40
Laurens,16,15,190
Colquitt,10,13,158
Baldwin,12,26,150
Thomas,35,29,264
Habersham,4,5,53
Coffee,10,11,88
Polk,0,0,25
Tift,20,32,60
Murray,0,0,42
Oconee,0,0,0
Bryan,0,0,0
Ware,22,18,231
Harris,0,0,0
Lumpkin,0,0,0
Pickens,6,9,52
Sumter,10,17,76
Gilmer,0,0,0
Wayne,12,5,88
Lee,0,0,0
Haralson,0,2,25
White,0,0,0
Madison,0,0,0
Jones,0,0,0
Toombs,8,7,57
Monroe,0,2,25
Peach,0,3,25
Decatur,10,7,80
Upson,28,21,115
Stephens,6,10,96
Hart,0,0,0
Tattnall,0,9,25
Grady,4,3,60
Fannin,5,0,0
Chattooga,0,0,0
Dawson,0,0,0
Butts,0,3,25
Crisp,16,8,73
Union,5,15,120
Burke,0,0,40
Franklin,8,7,112
Emanuel,8,0,72
Mitchell,0,5,25
Putnam,0,2,25
McDuffie,0,4,25
Meriwether,0,0,89
Dodge,6,6,94
Worth,0,1,25
Washington,0,0,56
Elbert,4,2,47
Pierce,0,0,0
Berrien,0,0,63
Brantley,0,0,0
Lamar,0,0,0
Banks,0,0,0
Appling,3,5,49
Morgan,0,4,25
Long,0,0,0
Pike,0,0,0
Cook,0,0,60
Ben Hill,5,5,75
Greene,0,7,25
Rabun,0,2,25
Dade,0,0,0
Telfair,0,0,0
Jefferson,0,3,37
Brooks,0,3,25
Jeff Davis,4,2,25
Oglethorpe,0,0,0
McIntosh,0,0,0
Screven,0,1,25
Dooly,0,0,0
Jasper,0,0,17
Macon,0,0,49
Charlton,0,0,0
Bleckley,0,0,25
Crawford,0,0,0
Heard,0,0,0
Towns,0,3,25
Pulaski,6,3,49
Bacon,4,2,25
Candler,6,0,25
Chattahoochee,0,0,0
Evans,0,1,49
Lanier,0,0,25
Early,0,0,25
Wilkes,0,0,25
Johnson,0,0,0
Irwin,0,0,34
Wilkinson,0,0,0
Montgomery,0,0,0
Terrell,0,0,0
Wilcox,0,0,0
Jenkins,0,2,25
Hancock,0,0,0
Marion,0,0,0
Seminole,0,0,65
Twiggs,0,0,0
Atkinson,0,0,0
Taylor,0,0,0
Turner,0,0,0
Wheeler,0,0,0
Lincoln,0,0,0
Randolph,0,2,25
Treutlen,0,0,0
Clinch,0,14,25
Calhoun,0,0,0
Talbot,0,0,0
Stewart,0,0,0
Miller,0,10,25
Warren,0,0,0
Schley,0,0,0
Echols,0,0,0
Baker,0,0,0
Glascock,0,0,0
Clay,0,0,0
Webster,0,0,0
Quitman,0,0,0
Taliaferro,0,0,0
